"S1794-31082016000100001-col","","Nieto Rojas, Jorge Hernando","Revista Criminalidad; 58(1); 7-8","Revista Criminalidad","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082016000100001&lang=pt" 
"S0718-19572016000100011-chl","Nuclear DNA content in Gelidium chilense (Gelidiales, Rhodophyta) from the Chilean coast","Salvador-Soler, Noemi, Macaya, Erasmo C, Rull-Lluch, Jordi, Gómez-Garreta, Amelia","Revista de biología marina y oceanografía; 51(1); 113-122","Revista de biología marina y oceanografía","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572016000100011&lang=pt" 
"S0718-19572016000100009-chl","Molecular taxonomy and community dynamics of Actinobacteria in marine sediments off central Chile","Musleh, Selim S, Gomez-Uchida, Daniel, Espinoza, Carola, Ruiz-Tagle, Nathaly, Fonseca, Alexis, Gallardo, Víctor A","Revista de biología marina y oceanografía; 51(1); 89-100","Revista de biología marina y oceanografía","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572016000100009&lang=pt" 
"S0718-19572016000100002-chl","Seasonal shift in the taxonomic diversity of rocky reef fishes in the southwestern Gulf of California","Barjau-González, Emelio, Rodríguez-Romero, Jesús, Galván-Magaña, Felipe, Maldonado-García, Minerva","Revista de biología marina y oceanografía; 51(1); 11-19","Revista de biología marina y oceanografía","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572016000100002&lang=pt" 
"S0718-19572016000100005-chl","Consumo de oxígeno del pargo flamenco Lutjanus guttatus (Perciformes: Lutjanidae) durante su cultivo larval","Abdo-de la Parra, M. Isabel, León-López, M. Celene, Rodríguez-Ibarra, L. Estela, Rodríguez-Montes de Oca, Gustavo A, Velasco-Blanco, Gabriela, Román-Reyes, José Cristóbal","Revista de biología marina y oceanografía; 51(1); 51-59","Revista de biología marina y oceanografía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572016000100005&lang=pt" 
"S0718-19572016000100010-chl","Decreasing of bacterial content in Isochrysis galbana cultures by using some antibiotics","Molina-Cárdenas, Ceres A, Sánchez-Saavedra, M. del Pilar, Licea-Navarro, Alexei Fedorovish","Revista de biología marina y oceanografía; 51(1); 101-112","Revista de biología marina y oceanografía","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572016000100010&lang=pt" 
"S0718-19572016000100012-chl","Variaciones espaciales y temporales de la abundancia de peces juveniles en la laguna costera Barra de Navidad, Jalisco, México: Efectos del huracán","González-Sansón, Gaspar, Aguilar-Betancourt, Consuelo, Kosonoy-Aceves, Daniel, Lucano-Ramírez, Gabriela, Ruiz-Ramírez, Salvador, Flores-Ortega, Juan Ramón","Revista de biología marina y oceanografía; 51(1); 123-136","Revista de biología marina y oceanografía","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572016000100012&lang=pt" 
"S1413-85572016000100055-scl","Desenvolvimento motor e autoconceito de escolares com transtorno do desenvolvimento da coordenação","Beltrame, Thais Silva, Cardoso, Fernando Luiz, Alexandre, Juliano Maestri, Bernardi, Carla Simon","Psicologia Escolar e Educacional; 20(1); 55-67","Psicologia Escolar e Educacional","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-85572016000100055&lang=pt" 
"S1413-85572016000100013-scl","Actividad física de adolescentes: implicación de sustancias nocivas, modalidad practicada y familia","González, José Ignacio Álvaro, Ortega, Félix Zurita, Garófano, Virginia Viciana, Martínez, Asunción Martínez, Sánchez, Susana García, Díaz, Manuel Estévez","Psicologia Escolar e Educacional; 20(1); 13-22","Psicologia Escolar e Educacional","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-85572016000100013&lang=pt" 
"S1413-85572016000100033-scl","Libras na educação de surdos: o que dizem os profissionais da escola?","Silva, Carine Mendes da, Silva, Daniele Nunes Henrique","Psicologia Escolar e Educacional; 20(1); 33-44","Psicologia Escolar e Educacional","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-85572016000100033&lang=pt" 
"S1413-85572016000100157-scl","Reflexión colectiva sistemática: un estudio orientado al desarrollo profesional docente","Catalán-Ahumada, Jorge, Castro, Pablo J.","Psicologia Escolar e Educacional; 20(1); 157-167","Psicologia Escolar e Educacional","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-85572016000100157&lang=pt" 
"S1413-85572016000100069-scl","Considerações Sobre a Habilidade de Compreensão em Leitura e Formas de sua Avaliação","Oliveira, Katya Luciane de, Lúcio, Patrícia Silva, Miguel, Fabiano Koich","Psicologia Escolar e Educacional; 20(1); 69-77","Psicologia Escolar e Educacional","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-85572016000100069&lang=pt" 
"S0080-62342016000200188-scl","Care - The Essence of the Nursing Professional Identity","Oguisso, Taka, Freitas, Genival Fernandes de","Revista da Escola de Enfermagem da USP; 50(2); 188-193","Revista da Escola de Enfermagem da USP","Inglês, Espanhol, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000200188&lang=pt" 
"S0080-62342016000200194-scl","Poor sleep quality in patients with resistant hypertension: is there an association?","López-Huamanrayme, Eddy, Atamari-Anahui, Noé, Pereira-Victorio, César Johan","Revista da Escola de Enfermagem da USP; 50(2); 194-195","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000200194&lang=pt" 
"S0080-62342016000200272-scl","Subset of nursing diagnoses for the elderly in Primary Health Care","Clares, Jorge Wilker Bezerra, Guedes, Maria Vilaní Cavalcante, Silva, Lúcia de Fátima da, Nóbrega, Maria Miriam Lima da, Freitas, Maria Célia de","Revista da Escola de Enfermagem da USP; 50(2); 272-278","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000200272&lang=pt" 
"S0080-62342016000200200-scl","Risk factors for postpartum urinary incontinence","Leroy, Lígia da Silva, Lúcio, Adélia, Lopes, Maria Helena Baena de Moraes","Revista da Escola de Enfermagem da USP; 50(2); 200-207","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000200200&lang=pt" 
"S0080-62342016000200239-scl","Care production for tuberculosis cases:analysis according to the elements of the Chronic Care Model","Silva, Daiane Medeiros da, Farias, Hérika Brito Gomes de, Villa, Tereza Cristina Scatena, Sá, Lenilde Duarte de, Brunello, Maria Eugênia Firmino, Nogueira, Jordana de Almeida","Revista da Escola de Enfermagem da USP; 50(2); 239-246","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000200239&lang=pt" 
"S0080-62342016000200286-scl","Outsourcing and &quot;dismantling&quot; of steady jobs at hospitals","Souza, Helton Saragor de, Mendes, Áquilas Nogueira","Revista da Escola de Enfermagem da USP; 50(2); 286-294","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000200286&lang=pt" 
"S0080-62342016000200263-scl","Phlebitis associated with peripheral intravenous catheters in adults admitted to hospital in the Western Brazilian Amazon","Enes, Sandra Maria Sampaio, Opitz, Simone Perufo, Faro, André Ricardo Maia da Costa de, Pedreira, Mavilde de Luz Gonçalves","Revista da Escola de Enfermagem da USP; 50(2); 263-271","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000200263&lang=pt" 
"S0080-62342016000200232-scl","Self-care agency and quality of life in the preoperative period of coronary artery bypass graft surgery","Araújo, Raul Amaral de, Silva, Telma Marques da, Ramos, Vânia Pinheiro","Revista da Escola de Enfermagem da USP; 50(2); 232-238","Revista da Escola de Enfermagem da USP","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000200232&lang=pt" 
"S0080-62342016000200279-scl","Sleep, quality of life and mood of nursing professionals of pediatric intensive care units","Guerra, Priscilla Caetano, Oliveira, Nilton Ferraro, Terreri, Maria Teresa de Sande e Lemos Ramos Ascensão, Len, Claudio Arnaldo","Revista da Escola de Enfermagem da USP; 50(2); 279-285","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000200279&lang=pt" 
"S1981-57942016000100011-scl","A invenção colonial das línguas da América","SEVERO, Cristine Gorski","Alfa : Revista de Linguística (São José do Rio Preto); 60(1); 11-28","Alfa : Revista de Linguística (São José do Rio Preto)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942016000100011&lang=pt" 
"S1981-57942016000100061-scl","Uma microanálise de cartas oficiais Norte-rio-grandenses","MELO, Felipe Morais de, LIMA, Maria Hozanete Alves de","Alfa : Revista de Linguística (São José do Rio Preto); 60(1); 61-78","Alfa : Revista de Linguística (São José do Rio Preto)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942016000100061&lang=pt" 
"S1981-57942016000100029-scl","Demonstrativos na România medieval: uma análise comparativa em uma perspectiva funcional","CAMBRAIA, César Nardelli, MELO, Teresa Cristina Alves de, VILAÇA, Cynthia Elias de Leles, SALTARELLI, Thiago César Viana Lopes","Alfa : Revista de Linguística (São José do Rio Preto); 60(1); 29-59","Alfa : Revista de Linguística (São José do Rio Preto)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942016000100029&lang=pt" 
"S1981-57942016000100147-scl","Professor da escola básica representado na escrita reflexiva acadêmica do aluno mestre","SILVA, Wagner Rodrigues, ESPINDOLA, Elaine","Alfa : Revista de Linguística (São José do Rio Preto); 60(1); 147-173","Alfa : Revista de Linguística (São José do Rio Preto)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942016000100147&lang=pt" 
"S1981-57942016000100079-scl","Cartografias das línguas: glossários para livros de literatura","MEDEIROS, Vanise","Alfa : Revista de Linguística (São José do Rio Preto); 60(1); 79-93","Alfa : Revista de Linguística (São José do Rio Preto)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942016000100079&lang=pt" 
"S1981-57942016000100095-scl","Evolución léxico-terminológica de las enfermedades raras: revisión de los diccionarios de la real academia española","RIDAO RODRIGO, Susana, RODRÍGUEZ MUÑOZ, Francisco J.","Alfa : Revista de Linguística (São José do Rio Preto); 60(1); 95-118","Alfa : Revista de Linguística (São José do Rio Preto)","Inglês, Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942016000100095&lang=pt" 
"S1981-57942016000100175-scl","Variabilidade e dispersão vocálica em Português Brasileiro e Inglês Britânico: um estudo de caso","MARUSSO, Adriana S.","Alfa : Revista de Linguística (São José do Rio Preto); 60(1); 175-201","Alfa : Revista de Linguística (São José do Rio Preto)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942016000100175&lang=pt" 
"S1981-57942016000100119-scl","Desenvolvimento da protoargumentação na interação adulto-bebê","VASCONCELOS, Angelina N. de, LEITÃO, Selma","Alfa : Revista de Linguística (São José do Rio Preto); 60(1); 119-146","Alfa : Revista de Linguística (São José do Rio Preto)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942016000100119&lang=pt" 
"S1517-75992016000300116-scl","Formação inicial e o repertório para teclado em grupo","Braga, Simone Marques","Per Musi; (33); 116-129","Per Musi","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-75992016000300116&lang=pt" 
"S1517-75992016000300079-scl","A Arte da improvisação musical ao teclado no Renascimento italiano: a didática do contraponto segundo","Porto, Delphim Rezende","Per Musi; (33); 79-96","Per Musi","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-75992016000300079&lang=pt" 
"S1517-75992016000300097-scl","Bach&#039;s Well-Tempered Clavier: Pedagogical Approaches and the Different Styles of Preludes","Carvalho, Larissa Paggioli de","Per Musi; (33); 97-115","Per Musi","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-75992016000300097&lang=pt" 
"S2175-79682016000100225-scl","SHAVIT, Zohar. Poetics of children’s literature. Atenas e Londres: The University of Georgia Press, 2009. 200p.","Lima, Lia Araujo Miranda de","Cadernos de Tradução; 36(1); 225-234","Cadernos de Tradução","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-79682016000100225&lang=pt" 
"S2175-79682016000100236-scl","Leprince de Beamont, Jeanne-Marie, La Belle et la bête, 1756/ Bela e a Fera; tradução de Marie-Hélène Catherine Torres; Ilustrações de Laurent Cardon – 1. ed. – São Paulo: Poetisa, 2014. 55p.","Riconi, Andréia, Gonçalves, Davi","Cadernos de Tradução; 36(1); 236-244","Cadernos de Tradução","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-79682016000100236&lang=pt" 
"S2175-79682016000100217-scl","Resenhas","Hanes, Vanessa","Cadernos de Tradução; 36(1); 217-224","Cadernos de Tradução","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-79682016000100217&lang=pt" 
"S2175-79682016000100246-scl","ENTREVISTA COM SÉRGIO MEDEIROS","Debus, Eliane Santana Dias","Cadernos de Tradução; 36(1); 246-251","Cadernos de Tradução","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-79682016000100246&lang=pt" 
"S2175-79682016000100135-scl","“THE PENITENT WAG” E “THE FUNNY-MAN WHO REPENTED”: DISCUTINDO TRANSPOSIÇÕES DO CONTO “O ENGRAÇADO ARREPENDIDO”, DE MONTEIRO LOBATO","Carter, Rosemary de Paula Leite","Cadernos de Tradução; 36(1); 135-154","Cadernos de Tradução","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-79682016000100135&lang=pt" 
"S2175-79682016000100195-scl","EXPLORANDO A DIFERENÇA CULTURAL ATRAVÉS DA TRADUÇÃO DE LITERATURA INFANTIL","Metcalf, Eva-Maria, Pontes, Newton de Castro","Cadernos de Tradução; 36(1); 195-215","Cadernos de Tradução","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-79682016000100195&lang=pt" 
"S2175-79682016000100079-scl","PRINCESA BRAMBILLA - IMAGENS/TEXTO","Barbosa, Maria Aparecida","Cadernos de Tradução; 36(1); 79-91","Cadernos de Tradução","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-79682016000100079&lang=pt" 
"S2175-79682016000100092-scl","L’OEUVRE OUVERTE DE TOMI UNGERER : TRADUCTIONS PALIMPSESTES ET TRANSFERTS INTERCULTURELS","Schneider, Anne, Willer, Thérèse","Cadernos de Tradução; 36(1); 92-113","Cadernos de Tradução","Francês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-79682016000100092&lang=pt" 
"S2183-184X2016000100009-prt","Algumas reflexões sobre o artigo 163.º, n.º 5 do CPA: o «novo» princípio do aproveitamento do acto administrativo","Conde, Edmilson Wagner dos Santos","e-Pública: Revista Eletrónica de Direito Público; 3(1); 146-164","e-Pública: Revista Eletrónica de Direito Público","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2183-184X2016000100009&lang=pt" 
"S2183-184X2016000100012-prt","Direito à Saúde dos Refugiados: Perspectivas do Direito Português","Oliveira, Ricardo Filipe Rodrigues de","e-Pública: Revista Eletrónica de Direito Público; 3(1); 207-229","e-Pública: Revista Eletrónica de Direito Público","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2183-184X2016000100012&lang=pt" 
"S2183-184X2016000100003-prt","O bail-in enquanto novo paradigma para a resolução bancária: discricionariedade e dever de cuidado","Machado, Pedro","e-Pública: Revista Eletrónica de Direito Público; 3(1); 01-12","e-Pública: Revista Eletrónica de Direito Público","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2183-184X2016000100003&lang=pt" 
"S2183-184X2016000100011-prt","Fundamentos e evolução da limitação constitucional da duração do tempo de trabalho no brasil","Coimbra, Rodrigo","e-Pública: Revista Eletrónica de Direito Público; 3(1); 184-206","e-Pública: Revista Eletrónica de Direito Público","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2183-184X2016000100011&lang=pt" 
"S2183-184X2016000100013-prt","Algumas reflexões sobre o artigo 6.º da Convenção Europeia dos Direitos do Homem: Direito a um processo equitativo e a uma decisão num prazo razoável","Botelho, Catarina Santos, Vaz, Manuel Afonso","e-Pública: Revista Eletrónica de Direito Público; 3(1); 230-242","e-Pública: Revista Eletrónica de Direito Público","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2183-184X2016000100013&lang=pt" 
"S2183-184X2016000100001-prt","As dimensões esquecidas das medidas de resolução bancária","Garoupa, Nuno","e-Pública: Revista Eletrónica de Direito Público; 3(1); 01-12","e-Pública: Revista Eletrónica de Direito Público","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2183-184X2016000100001&lang=pt" 
"S2183-184X2016000100006-prt","Em torno de uma novidade na contagem dos prazos de impugnação: da nova alínea b) do n.º 3 do artigo 58.º do CPTA","Caldeira, Marco","e-Pública: Revista Eletrónica de Direito Público; 3(1); 89-108","e-Pública: Revista Eletrónica de Direito Público","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2183-184X2016000100006&lang=pt" 
"S2183-184X2016000100005-prt","A extensão dos efeitos da sentença no processo administrativo revisto","Carvalho, Ana Celeste","e-Pública: Revista Eletrónica de Direito Público; 3(1); 109-123","e-Pública: Revista Eletrónica de Direito Público","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2183-184X2016000100005&lang=pt" 
"S2183-184X2016000100010-prt","O Ministério Público no atual contencioso administrativo português","Silva, Cláudia Alexandra dos Santos","e-Pública: Revista Eletrónica de Direito Público; 3(1); 165-183","e-Pública: Revista Eletrónica de Direito Público","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2183-184X2016000100010&lang=pt" 
"S2183-184X2016000100004-prt","As metamorfoses da justiça urgente: notas breves sobre a reforma do CPTA","Gomes, Carla Amado","e-Pública: Revista Eletrónica de Direito Público; 3(1); 50-64","e-Pública: Revista Eletrónica de Direito Público","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2183-184X2016000100004&lang=pt" 
"S2183-184X2016000100014-prt","Instabilidade regulatória no domínio das energias renováveis: apontamentos jurisprudenciais sobre conflitos intraambientais e outros","Gomes, Carla Amado","e-Pública: Revista Eletrónica de Direito Público; 3(1); 243-266","e-Pública: Revista Eletrónica de Direito Público","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2183-184X2016000100014&lang=pt" 
"S2183-184X2016000100002-prt","Os instrumentos de recapitalização bancária do Mecanismo Europeu de Estabilidade","Gião, João","e-Pública: Revista Eletrónica de Direito Público; 3(1); 13-28","e-Pública: Revista Eletrónica de Direito Público","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2183-184X2016000100002&lang=pt" 
"S2183-184X2016000100007-prt","Breves notas sobre os regimes especiais de tutelar cautelar no Código de Processo nos Tribunais Administrativos revisto","Pação, Jorge","e-Pública: Revista Eletrónica de Direito Público; 3(1); 109-123","e-Pública: Revista Eletrónica de Direito Público","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2183-184X2016000100007&lang=pt" 
"S1870-39252016000100339-mex","Gloria Ciria Valdéz Gardea y Manuel Salvador Galindo Bect, coordinadores, (2013), Pesquerías globalizadas","García Cárdenas, Eric","Región y sociedad; 28(65); 339-346","Región y sociedad","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252016000100339&lang=pt" 
"S2183-184X2016000100008-prt","A responsabilidade civil da Administração por atos administrativos afetados por vícios externos e a eventual relevância negativa do comportamento lícito alternativo","Fernandes, Débora Melo","e-Pública: Revista Eletrónica de Direito Público; 3(1); 124-145","e-Pública: Revista Eletrónica de Direito Público","Português","2016","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S2183-184X2016000100008&lang=pt" 
"S1870-39252016000100263-mex","Política de la verticalidad: drones, territorio y población en América Latina","Arteaga Botello, Nelson","Región y sociedad; 28(65); 263-292","Región y sociedad","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252016000100263&lang=pt" 
"S1870-39252016000100109-mex","Satisfacción turística del visitante fronterizo en Baja California, México","Bringas Rábago, Nora L., Toudert, Djamel","Región y sociedad; 28(65); 109-147","Región y sociedad","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252016000100109&lang=pt" 
"S1870-39252016000100149-mex","Turismo termal en la Ruta de la Salud, en Michoacán: potencial de desarrollo regional","Ortiz Paniagua, Carlos Francisco, Arévalo Pacheco, Georgina Jatzire","Región y sociedad; 28(65); 149-186","Región y sociedad","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252016000100149&lang=pt" 
"S1870-39252016000100045-mex","Abreviaturas del poder porfirista en el espacio urbano hermosillense","Gutiérrez C., Andrés Abraham","Región y sociedad; 28(65); 45-79","Región y sociedad","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252016000100045&lang=pt" 
"S1870-39252016000100187-mex","Patrones de organización social en la gestión de residuos sólidos urbanos en el continuo regional Distrito Federal-Estado de México","Núñez Espinoza, Juan Felipe","Región y sociedad; 28(65); 187-233","Región y sociedad","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252016000100187&lang=pt" 
"S0187-358X2016000100009-mex","Los usuarios como base para el desarrollo de colecciones: la biblioteca pública","Calva González, Juan José","Investigación bibliotecológica; 30(68); 9-13","Investigación bibliotecológica","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-358X2016000100009&lang=pt" 
"S0187-358X2016000100199-mex","Carrión Jorge, Librerías, Barcelona: Anagrama, 2013. 324p. ISBN: 978-968-867-979-1 (Argumentos)","Alfaro López, Héctor Guillermo","Investigación bibliotecológica; 30(68); 199-201","Investigación bibliotecológica","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-358X2016000100199&lang=pt" 
"S0718-34372016000100016-chl","BERMÚDEZ SOTO, JORFE (2014): FUNDAMENTOS DE DERECHO AMBIENTAL","González Ogaz, Teresita","Revista chilena de derecho; 43(1); 359-362","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000100016&lang=pt" 
"S0718-34372016000100001-chl","EDITORIAL","Goldenberg Serrano, Juan Luis","Revista chilena de derecho; 43(1); 5-6","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000100001&lang=pt" 
"S0187-358X2016000100203-mex","Passarelli, Brasilina; Joseph Dean Straubhaar; Aurora Cuevas-Cerveró, Handbook of Research on Comparative Approaches to the Digital Age Revolution in Europe and the Americas, Hershey (Pensilvania): IGI Global, 2015, 531p. ISBN: 978-164-66-8740-0. DOI: 10.4018/978-1-4666-8740-0","Osuna Alarcón, Maria R.","Investigación bibliotecológica; 30(68); 203-207","Investigación bibliotecológica","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-358X2016000100203&lang=pt" 
"S0187-358X2016000100051-mex","El crecimiento de la literatura sobre la ley de Bradford","Urbizagástegui Alvarado, Rubén","Investigación bibliotecológica; 30(68); 51-72","Investigación bibliotecológica","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-358X2016000100051&lang=pt" 
"S0101-66282016000100024-scl","Goldmann e o estruturalismo genético","Löwy, Michael","Serviço Social &amp; Sociedade; (125); 24-40","Serviço Social &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282016000100024&lang=pt" 
"S0101-66282016000100189-scl","Aplausos eternos à Myrian Veras Baptista","Acosta, Ana Rojas, Fávero, Eunice Teresinha, Silva, Maria Liduína de Oliveira e, Oliveira, Rita de Cassia Silva","Serviço Social &amp; Sociedade; (125); 189-192","Serviço Social &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282016000100189&lang=pt" 
"S0101-66282016000100193-scl","Nota sobre Myrian Veras Baptista","Löwy, Michael","Serviço Social &amp; Sociedade; (125); 193-193","Serviço Social &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282016000100193&lang=pt" 
"S0101-66282016000100011-scl","O estruturalismo genético de Lucien Goldmann e o estudo da prática do serviço social","Baptista, Myrian Veras","Serviço Social &amp; Sociedade; (125); 11-23","Serviço Social &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282016000100011&lang=pt" 
"S0101-66282016000100005-scl","Editorial","Sant&#039; Ana, Raquel Santos","Serviço Social &amp; Sociedade; (125); 5-10","Serviço Social &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282016000100005&lang=pt" 
"S0718-34372016000100015-chl","PALLAVECINI MAGNERE, JULIO (2015): DERECHO PÚBLICO FINANCIERO","Masbernat, Patricio","Revista chilena de derecho; 43(1); 355-358","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000100015&lang=pt" 
"S0718-34372016000100002-chl","SOBRE EL CARÁCTER SECUNDARIO Y DISCRECIONAL DEL REMEDIO DEL CUMPLIMIENTO ESPECÍFICO EN EL COMMON LAW: PERSPECTIVA HISTÓRICA Y APROXIMACIÓN ACTUAL","Severin Fuster, Gonzalo","Revista chilena de derecho; 43(1); 7-37","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000100002&lang=pt" 
"S0718-34372016000100012-chl","ALCANCE Y LÍMITES DEL PRINCIPIO DE PROPORCIONALIDAD","Riofrío Martínez-Villalba, Juan Carlos","Revista chilena de derecho; 43(1); 283-309","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000100012&lang=pt" 
"S0034-98872016000400023-chl","Andropausia y vulnerabilidad en salud: ¿cuándo empezamos a educar a los hombres y a los profesionales de la salud?","Cortés, Manuel E, Bernal, Yanara A, Vigil, Pilar","Revista médica de Chile; 144(4); 541-543","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000400023&lang=pt" 
"S0034-98872016000400005-chl","Utilidad del estudio contrastado precoz del tracto digestivo superior después de cirugía bariátrica: ¿se justifica su uso rutinario?","Medina, Francisco J, Miranda-Merchak, Andrés, Martínez, Alonso, Sánchez, Felipe, Bravo, Sebastián, Contreras, Juan Eduardo, Alliende, Isabel, Canals, Andrea","Revista médica de Chile; 144(4); 451-455","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000400005&lang=pt" 
