"S0104-12902010000300012-scl","A visita domiciliária na Estratégia de Saúde da Família: conhecendo as percepções das famílias","Cruz, Mariene Mirian, Bourget, Monique Marie Marthe","Saúde e Sociedade; 19(3); 605-613","Saúde e Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902010000300012&lang=pt" 
"S1028-47962010000300007-cub","Herramientas para el diseño de las condiciones del proceso de secado por aspersión de extractos vegetales para uso farmacéutico","López Hernández, Orestes D., Martínez Álvarez, Luis Octavio","Revista Cubana de Plantas Medicinales; 15(3); 152-158","Revista Cubana de Plantas Medicinales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1028-47962010000300007&lang=pt" 
"S1808-18512010000300009-scl","Espondilite tuberculosa: uma revisão de 31 pacientes do Hospital Santa Marcelina","Rodrigues, Luiz Cláudio Lacerda, Bortoletto, Adalberto, Matsumoto, Marcelo Hide","Coluna/Columna; 9(3); 298-303","Coluna/Columna","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-18512010000300009&lang=pt" 
"S1808-18512010000300007-scl","Artrodese Cervical C1-C2 pelas técnicas de Harms e Magerl","Sousa, Cristina Maria Varino, Silva, Luís Pires, Santos, Cláudia, Silva, Eurico, Figueiredo, José","Coluna/Columna; 9(3); 287-292","Coluna/Columna","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-18512010000300007&lang=pt" 
"S0864-34662010000300010-cub","Evolución de la colaboración médica cubana en 100 años del Ministerio de Salud Pública","Marimón Torres, Nestor, Martínez Cruz, Evelyn","Revista Cubana de Salud Pública; 36(3); 254-262","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300010&lang=pt" 
"S0864-34662010000300004-cub","Investigaciones en Sistemas y Servicios de Salud en Cuba y su proyección hasta el 2015","Rojo Pérez, Nereida, Laria Menchaca, Sara, Castell-Florit Serrate, Pastor, Pérez Piñero, Julia, Barroso Romero, Zoila, Bayarre Vea, Héctor","Revista Cubana de Salud Pública; 36(3); -","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300004&lang=pt" 
"S0864-21412010000300013-cub","Multimedias educativas","Vidal Ledo, María, Rodríguez Díaz, Alfredo","Educación Médica Superior; 24(3); 430-441","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000300013&lang=pt" 
"S0864-21412010000300001-cub","Guías prácticas de Bioquímica como solución pedagógica en el escenario del laboratorio clínico del proyecto políclinico universitario","Madiedo Albolatrachs, Mayra, Escobar Carmona, Edelby, Puga Garcia, Arturo, Puga Madiedo, Gloria María, Oliva Díaz, Samuel, Cabrera Rendon, Onel","Educación Médica Superior; 24(3); 275-289","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000300001&lang=pt" 
"S0864-21412010000300002-cub","Vínculo universidad-sociedad a través de la percepción de médicos y pacientes diabéticos sobre su enfermedad","Socarrás Suárez, María Matilde, Bolet Astoviza, Miriam, Lara Rodríguez, Rosa Francisca","Educación Médica Superior; 24(3); 290-299","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000300002&lang=pt" 
"S0864-21412010000300003-cub","Variables de calidad para una Guía de autoevaluación de programas de posgrado en ciencias médicas","Barrios Osuna, Irene, Roque González, Rosalba","Educación Médica Superior; 24(3); 300-306","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000300003&lang=pt" 
"S0864-21412010000300004-cub","La aplicación del sistema de evaluación en la asignatura de Morfofisiología Humana III, desde la perspectiva del profesor","Lima Sarmiento, Leiram, Pérez Esquivel, Guillermo de Jesús, Díaz Molleda, Maritza, Rodriguez Milera, José David, Montano Luna, José Antonio","Educación Médica Superior; 24(3); 307-319","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000300004&lang=pt" 
"S0864-21412010000300008-cub","Los recursos educativos abiertos y la protección del derecho de autor","Zacca González, Grisel, Diego Olite, Francisca","Educación Médica Superior; 24(3); 360-372","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000300008&lang=pt" 
"S0864-21412010000300005-cub","Propuesta de sistema de trabajo metodológico para la carrera de Licenciatura en Enfermería","Pernas Gómez, Marta, Sierra Figueredo, Simón, Zubizarreta Estévez, Magdalena, Leyva Hidalgo, Maritza","Educación Médica Superior; 24(3); 320-343","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000300005&lang=pt" 
"S0864-21412010000300007-cub","Actividad, acciones y operaciones en el proceso diagnóstico","Blanco Aspiazú, Miguel Ángel, Morales González, Héctor Andrés, Rodríguez Collar, Tomás Lázaro","Educación Médica Superior; 24(3); 352-359","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000300007&lang=pt" 
"S0864-21412010000300006-cub","Bases teóricas para la integración de las ciencias básicas biomédicas en una disciplina: Theoretical bases","Castillo Abreus, Diana Aurora, Carbonell Paneque, Salvador Antonio, Barrios Herrero, Liliam, Vázquez Naranjo, Odalys","Educación Médica Superior; 24(3); 344-351","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000300006&lang=pt" 
"S0864-21412010000300009-cub","Importancia y características fundamentales de la literatura docente","Rosell Puig, Washington, Domínguez López, Juan Carlos","Educación Médica Superior; 24(3); 373-378","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000300009&lang=pt" 
"S0864-21412010000300010-cub","Caracterización de los contenidos sobre el adulto mayor en la formación del médico y especialista en medicina general integral","Alfonso García, Adianez","Educación Médica Superior; 24(3); 379-386","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000300010&lang=pt" 
"S0864-21412010000300011-cub","Propuesta de estrategia para la evaluación del desempeño laboral de los médicos en Cuba","Salas Perea, Ramón Syr","Educación Médica Superior; 24(3); 387-417","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000300011&lang=pt" 
"S0864-21412010000300012-cub","Medio siglo de educación médica superior revolucionaria (1959-2009)","Carreño de Celis, Ramón, Salgado González, Lourdes, Fernández Oliva, Berta","Educación Médica Superior; 24(3); 418-429","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000300012&lang=pt" 
"S0864-34662010000300001-cub","Interdisciplina e Intersectorialidad","Rojas Ochoa, Francisco","Revista Cubana de Salud Pública; 36(3); 197-197","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300001&lang=pt" 
"S0864-34662010000300002-cub","Cultura sobre maternidad y paternidad y su repercusión en la concepción de la infertilidad","Díaz Bernal, Zoe, García Jordá, Dailys","Revista Cubana de Salud Pública; 36(3); 198-203","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300002&lang=pt" 
"S0864-34662010000300005-cub","Introducción de resultados de la investigación-desarrollo en el sistema de salud cubano","Núñez Sellés, Alberto J.","Revista Cubana de Salud Pública; 36(3); 215-222","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300005&lang=pt" 
"S0864-34662010000300007-cub","Aspectos metodológicos críticos en las evaluaciones económicas de salud en el contexto cubano","García Fariñas, Anaí, Gálvez González, Ana María, García Rodríguez, José Félix","Revista Cubana de Salud Pública; 36(3); 233-235","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300007&lang=pt" 
"S0864-34662010000300013-cub","Neurología de la resiliencia y desastres","Naranjo Álvarez, Rolando J.","Revista Cubana de Salud Pública; 36(3); 270-274","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300013&lang=pt" 
"S0864-34662010000300014-cub","Elogio de un alumno a su maestro salubrista","Suárez Rosas, Luis","Revista Cubana de Salud Pública; 36(3); 274-275","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300014&lang=pt" 
"S0864-34662010000300015-cub","Introducción al Encuentro de Egresados de las Maestrías de la Escuela Nacional de Salud Pública*","Castell-Florit Serrate, Pastor","Revista Cubana de Salud Pública; 36(3); 275-277","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300015&lang=pt" 
"S0864-34662010000300016-cub","La Salud, la Enfermedad, la Responsabilidad y la Calidad de la Vida*","González Pérez, Ubaldo","Revista Cubana de Salud Pública; 36(3); 277-279","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300016&lang=pt" 
"S0864-34662010000300017-cub","Red Iberoamericana de Epidemiología y Sistemas de Información en Cáncer","Fernández Garrote, Leticia M.","Revista Cubana de Salud Pública; 36(3); 279-280","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300017&lang=pt" 
"S0864-34662010000300018-cub","Gestión organizacional para la formación doctoral local en Ciencias de la Salud en Holguín","Ochoa Alonso, Alcides Abad, Rodríguez Cabrera, Aida","Revista Cubana de Salud Pública; 36(3); 280-284","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300018&lang=pt" 
"S0864-34662010000300019-cub","Mejoras en el acceso a la información de los ensayos clínicos","Acosta Martínez, Maylén, Rodríguez Valdés, Daylis, Viada González, Carmen, Ramos Suzarte, Mayra, Corrales Reyna, Eduardo, Frías Blanco, Aliuska, Santiesteban González, Yanela, Wilkinson Brito, Bárbara, Martínez Pérez, Liana, Troche Concepción, Mayelin, Valencia Jarvis, Natacha, Valencia Jarvis, María Esther, Torres Gemeil, Olga","Revista Cubana de Salud Pública; 36(3); 285-288","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300019&lang=pt" 
"S1729-519X2010000300001-cub","EDITORIAL","Alemañy Pérez, Eduardo","Revista Habanera de Ciencias Médicas; 9(3); 293-294","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300001&lang=pt" 
"S1729-519X2010000300002-cub","Museo de medicina tropical Carlos J. Finlay: fuente inagotable de conocimientos","Cabrera Cantelar, Nereyda, Morales Pérez, Mayasil, Cantelar Martínez, Beatriz, Cantelar de Francisco, Nereyda, Lorié Cantelar, Daniel, Cabrera Cantelar, Marienne","Revista Habanera de Ciencias Médicas; 9(3); 295-298","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300002&lang=pt" 
"S1729-519X2010000300003-cub","El profesor Francisco Lancis y Sánchez en el centenario de su nacimiento","Ponce Zerquera, Francisco","Revista Habanera de Ciencias Médicas; 9(3); 299-302","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300003&lang=pt" 
"S1729-519X2010000300005-cub","Factores de riesgo y enfermedades consecuentes de la aterosclerosis en pacientes diabéticos","Díaz-Perera, Georgia, Concepción Quero, Fidel, Quintana Setién, Carlos, Alemañy Pérez, Eduardo","Revista Habanera de Ciencias Médicas; 9(3); 313-320","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300005&lang=pt" 
"S1729-519X2010000300007-cub","El tumor del internista: Reporte de un caso","Serra Valdés, Miguel A, Herrera Galiano, Ana","Revista Habanera de Ciencias Médicas; 9(3); 331-335","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300007&lang=pt" 
"S1729-519X2010000300008-cub","Miastenia grave: Reporte de cuatro casos","Cruz Rodríguez, Javier, Jiménez López, Mildrey, Hidalgo Mesa, Carlos","Revista Habanera de Ciencias Médicas; 9(3); 336-341","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300008&lang=pt" 
"S1729-519X2010000300009-cub","Cáncer de mama metastático estudio de serie de casos: Instituto Nacional Oncología y Radiobiología 2000-2003","Cáceres Lavernia, Haslen Hassiul, Camacho Rodríguez, Rolando, Ropero Toirac, Ramón De Jesús, Barreras González, Javier Ernesto, Cruz Camejo, Yaniurka","Revista Habanera de Ciencias Médicas; 9(3); 342-352","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300009&lang=pt" 
"S1729-519X2010000300010-cub","Algunos aspectos básicos de la anestesia convencional en oftalmología","García Alcolea, Eglis Esteban","Revista Habanera de Ciencias Médicas; 9(3); 353-362","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300010&lang=pt" 
"S1729-519X2010000300011-cub","Caracterización clínico-epidemiológica de pacientes operados de catarata por técnica de blumenthal","Seoane Larrinaga, Michel, Triana Casado, Idalia, Copello Noblet, Mirta, Hernández Baguer, Raisa, Molina Cisneros, Ceija","Revista Habanera de Ciencias Médicas; 9(3); 373-363","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300011&lang=pt" 
"S1729-519X2010000300012-cub","Coledocolitiasis: Opciones actuales de tratamiento laparoscópico y endoscópico","Barreras González, Javier Ernesto, Ruiz Torres, Julián, Torres Peña, Rafael, Martínez Alfonso, Miguel Angel, Faife Faife, Bárbara C, Hernández Gutiérrez, José Manuel, Brizuela Quintanilla, Raúl","Revista Habanera de Ciencias Médicas; 9(3); 374-384","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300012&lang=pt" 
"S1729-519X2010000300013-cub","Tratamiento de la escafocefalia por la técnica de green y wininstaken (1999-2009)","Garmendía García, Fermín, López Díaz, Zoila del S","Revista Habanera de Ciencias Médicas; 9(3); 385-394","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300013&lang=pt" 
"S1729-519X2010000300014-cub","Comportamiento de la tensión arterial en un barrio del municipio Cárdenas: Estado Tachira. Venezuela","Paramio Rodríguez, Agustín, Cala Solozábal, Juan Carlos","Revista Habanera de Ciencias Médicas; 9(3); 395-402","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300014&lang=pt" 
"S1729-519X2010000300015-cub","Como escribir el resumen de un artículo científico en inglés","Almeida Uriarte, Ana Margarita, Matías Crespo, Rita M, Fernández Hernández, Jesús","Revista Habanera de Ciencias Médicas; 9(3); 403-414","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300015&lang=pt" 
"S1729-519X2010000300017-cub","Caracterización de los facilitadores y su criterio en la impartición de Morfofisiología II a estudiantes de medicina en los policlínicos, curso 2008-09","Segura Martínez, Noraima, Pérez Martínez, Elsi, Pérez Loyola, Maritza","Revista Habanera de Ciencias Médicas; 9(3); 423-432","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300017&lang=pt" 
"S1729-519X2010000300018-cub","El paradigma médico social y la competencia comunicativa del profesional de ciencias medicas","Legón, Maritza de la Rosa, Vega González, Nelia, Brito Gómez, Lourdes","Revista Habanera de Ciencias Médicas; 9(3); 433-440","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300018&lang=pt" 
"S1729-519X2010000300019-cub","Satisfacción laboral en enfermeras de la atención primaria municipio Pinar del Rio, 2009","Hernández Ledesma, Yunia, Aguirre Raya, Dalila A, Díaz Díaz, Bárbara, Curbelo, Juan Carlos","Revista Habanera de Ciencias Médicas; 9(3); 441-451","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300019&lang=pt" 
"S1729-519X2010000300004-cub","La lesión aterosclerótica en la muerte súbita cardíaca","Ochoa Montes, Luis Alberto, González Lugo, Mileidys, Tamayo Vicente, Nidia D, Romero del Sol, Juana M, Correa Azahares, Dennis P, Miguélez Nodarse, Ramón, Fernández-Britto Rodríguez, José E","Revista Habanera de Ciencias Médicas; 9(3); 303-312","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300004&lang=pt" 
"S1729-519X2010000300006-cub","Comportamiento de la retinopatía diabética en salas de medicina del Hospital Dr. Salvador Allende 2003-2005","López López, Jorge, Triana Casado, Idalia, González Fernández, Nelson","Revista Habanera de Ciencias Médicas; 9(3); 321-330","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300006&lang=pt" 
"S1729-519X2010000300016-cub","Relación entre la nueva formación en enfermería y el postgrado de la carrera","Segura Massó, Arturo Alexander, Cruz Isern, Yunelis","Revista Habanera de Ciencias Médicas; 9(3); 415-422","Revista Habanera de Ciencias Médicas","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2010000300016&lang=pt" 
"S1561-31942010000300001-cub","","Pérez Labrador, Joaquín","Revista de Ciencias Médicas de Pinar del Río; 14(3); -1","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942010000300001&lang=pt" 
"S1561-31942010000300002-cub","Estratificación de riesgo de VIH/SIDA","Díaz Rodríguez, Delia Rosa, Menéndez Bernal, Héctor A, Sánchez Cámara, Luanda, Verga Tirado, Belkys, Márquez Jaca, Sergio","Revista de Ciencias Médicas de Pinar del Río; 14(3); 2-7","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942010000300002&lang=pt" 
"S1561-31942010000300003-cub","Intervención educativa sobre infecciones de transmisión sexual en adolescentes","Fernández Borbón, Hugo, Cuní González, Víctor","Revista de Ciencias Médicas de Pinar del Río; 14(3); 8-13","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942010000300003&lang=pt" 
"S1561-31942010000300005-cub","Comportamiento clínico epidemiológico de la bacteriuria asintomática en el adulto mayor femenino","Herrera Rodríguez, Liudmila, Llera Clausell, Teresa, Rodríguez Quiñones, Juan R, Castillo García, Idelma, Gorte Quiñones, Annia D","Revista de Ciencias Médicas de Pinar del Río; 14(3); 20-25","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942010000300005&lang=pt" 
"S1561-31942010000300006-cub","La enseñanza del inglés en las ciencias médicas: su repercusión social","Valdés Linares, María Teresa, González Valdés, Sisely, Díaz Cabeza, Idania, Verdayes Vives, Aniuska, Díaz Lobo, Luis Manuel","Revista de Ciencias Médicas de Pinar del Río; 14(3); 26-31","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942010000300006&lang=pt" 
"S1561-31942010000300007-cub","Tareas comunicativas para el desarrollo de la expresión oral en inglés en 4to año de Medicina","Benítez Gener, Aurora, Pérez Martínez, Dionisio, Labrador Labrador, Ernesto, Pino Ledesma, Liudmila, Pagani Lobo, Bertalina","Revista de Ciencias Médicas de Pinar del Río; 14(3); 32-37","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942010000300007&lang=pt" 
"S1561-31942010000300008-cub","Pertinencia de la concepción humanista desde los fundamentos socioeducativos y filosófico-educativos en la formación médica","Hernández Rodríguez, Ileana Maria, Pereda Rodríguez, Justo Luis, Díaz Lobo, Luis Manuel","Revista de Ciencias Médicas de Pinar del Río; 14(3); 38-43","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942010000300008&lang=pt" 
"S1561-31942010000300009-cub","Tumor de testículo enmascarado por una orquiepididimitis: presentación de un caso","Castillo García, Idelma, Llera Clausell, Teresita, Caveda Rizo, Yanet, Acosta Fuentes, Alfonso, Baños Hernández, Ihosvany","Revista de Ciencias Médicas de Pinar del Río; 14(3); 44-49","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942010000300009&lang=pt" 
"S1561-31942010000300010-cub","Quiste de mesenterio gigante: reporte de un caso en el Hospital Provincial Estatal de Bengo, República Popular de Angola","Iglesias Díaz, Gladys, Flores Iribar, Aramis, Fernández Machado, Eduardo","Revista de Ciencias Médicas de Pinar del Río; 14(3); 50-55","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942010000300010&lang=pt" 
"S1561-31942010000300011-cub","Satisfactoria evolución y sobrevida en una paciente portadora del carcinoma uretral","Castillo García, Idelma, Llera Clausell, Teresita, Gorte Quiñones, Annia Dolores, Armas Ampudia, Ileana, Amador González, Rosa María","Revista de Ciencias Médicas de Pinar del Río; 14(3); 56-61","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942010000300011&lang=pt" 
"S1561-31942010000300012-cub","Hernia diafragmática traumática crónica: a propósito de un caso","Valdés Ferro, Joselín, Díaz Díaz, José Daniel","Revista de Ciencias Médicas de Pinar del Río; 14(3); 62-67","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942010000300012&lang=pt" 
"S1561-31942010000300004-cub","Evaluación de factores de riesgo en accidentes oculares graves infantiles","Sixto Fuentes, Sahely, Boffill Corrales, Acela, Jalilo Hernández, Sandra María, González Pérez, Dayamí de la Caridad","Revista de Ciencias Médicas de Pinar del Río; 14(3); 14-19","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942010000300004&lang=pt" 
"S0873-74442010000200002-prt","Da propriedade intelectual à economia do conhecimento (Segunda parte) (conclusão do artigo publicado na edição anterior)","Dowbor, Ladislau","Economia Global e Gestão; 15(2); 9-24","Economia Global e Gestão","Português","2010","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-74442010000200002&lang=pt" 
"S0873-74442010000200003-prt","Estratégias das grandes empresas para o mercado brasileiro da base da pirâmide","Zilber, Silvia Novaes, Silva, Francisco Lourenço da","Economia Global e Gestão; 15(2); 25-50","Economia Global e Gestão","Português","2010","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-74442010000200003&lang=pt" 
"S0873-74442010000200004-prt","Determinantes e implicações da satisfação dos médicos face aos medicamentos genéricos","Neto, Maria Cândida, Pinho, José Carlos, Macedo, Isabel","Economia Global e Gestão; 15(2); 51-72","Economia Global e Gestão","Português","2010","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-74442010000200004&lang=pt" 
"S0873-74442010000200005-prt","O impacto da diversidade do género na eficiência da gestão e sua influência no PNB de um país","Reis, Felipa Lopes dos, Torcato, Silvia Mota","Economia Global e Gestão; 15(2); 73-89","Economia Global e Gestão","Português","2010","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-74442010000200005&lang=pt" 
"S0873-74442010000200006-prt","O Balanced Scorecard como instrumento de medida de desempenho das forças policiais - estudo de casos","Gomes, Patrícia, Mendes, Sílvia, Carvalho, João","Economia Global e Gestão; 15(2); 91-114","Economia Global e Gestão","Português","2010","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-74442010000200006&lang=pt" 
"S0873-74442010000200007-prt","Divulgación de información sobre responsabilidad social por los bancos chilenos: una aproximación desde la teoría de la legitimidad","Gómez, Nagore Aranguren, Cerna, Luis Martinez","Economia Global e Gestão; 15(2); 115-135","Economia Global e Gestão","Espanhol","2010","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-74442010000200007&lang=pt" 
"S0873-74442010000200008-prt","Conflitos de interesse: reflexões ao regime do pós-emprego público","Nunes, Pedro","Economia Global e Gestão; 15(2); 137-157","Economia Global e Gestão","Português","2010","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-74442010000200008&lang=pt" 
"S0873-74442010000200009-prt","O risco sistémico","Murteira, Mário","Economia Global e Gestão; 15(2); 161-166","Economia Global e Gestão","Português","2010","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-74442010000200009&lang=pt" 
"S0873-74442010000200001-prt","A regulação da economia de mercado","Murteira, Mário","Economia Global e Gestão; 15(2); 4-4","Economia Global e Gestão","Português","2010","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-74442010000200001&lang=pt" 
"S0864-34662010000300011-cub","Necesidad de integración de salubristas, epidemiólogos y clínicos en la atención de pacientes con enfermedades crónicas","Espinosa Brito, Alfredo, Ordúñez García, Pedro O.","Revista Cubana de Salud Pública; 36(3); 262-266","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300011&lang=pt" 
"S0864-34662010000300006-cub","El costo en salud y la corresponsabilidad clínica desde un enfoque gerencial","Carnota Lauzán, Orlando","Revista Cubana de Salud Pública; 36(3); 222-232","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300006&lang=pt" 
"S0864-34662010000300008-cub","La protección social en salud como enfrentamiento a una crisis económica","Hadad Hadad, Jorge Luis, Valdés Llanes, Elías","Revista Cubana de Salud Pública; 36(3); 235-248","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300008&lang=pt" 
"S0864-34662010000300009-cub","Desafíos para alcanzar universalidad con equidad en salud en América Latina en el siglo XXI*","Suárez Jiménez, Julio Manuel","Revista Cubana de Salud Pública; 36(3); 248-254","Revista Cubana de Salud Pública","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662010000300009&lang=pt" 
