"S1413-70542008000100015-scl","Produção da tangerineira &#039;ponkan&#039; após poda de recuperação","Mendonça, Vander, Ramos, José Darlan, Araújo Neto, Sebastião Elviro de, Rufini, José Carlos Moraes","Ciência e Agrotecnologia; 32(1); 103-109","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100015&lang=pt" 
"S0037-86822008000100012-scl","Manifestações otoneurológicas associadas à terapia anti-retroviral","Vieira, Andrêza Batista Cheloni, Greco, Dirceu Bartolomeu, Teófilo, Márcia Miliane Maciel, Gonçalves, Denise Utsch","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 65-69","Revista da Sociedade Brasileira de Medicina Tropical","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100012&lang=pt" 
"S0037-86822008000100013-scl","Chagas disease as a mechanistic model for testing a novel hypothesis","Mosovich, Serge A., Mady, Charles, Lopes, Neuza, Ianni, Barbara, Dias, João Carlos Pinto, Correia, Dalmo, Farkouh, Michael E.","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 70-72","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100013&lang=pt" 
"S0037-86822008000100008-scl","Perfil de dissolução in vitro de comprimidos de primaquina disponíveis para tratamento de malária no Brasil","Rodrigues, Letícia Norma Carpentieri, Watanabe, Sayuri Pereira, Ferraz, Humberto Gomes","Revista da Sociedade Brasileira de Medicina Tropical; 41(1); 41-45","Revista da Sociedade Brasileira de Medicina Tropical","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822008000100008&lang=pt" 
"S0004-27302008000100018-scl","Hipotireoidismo neonatal transitório causado pelo uso de amiodarona durante a gestação: relato de dois casos e revisão da literatura","Pavan-Senn, Carla C., Nesi-França, Suzana, Pelaez, Julita, Pereira, Rosana M., Boguszewski, Margaret C. da S., Sandrini Neto, Romolo, Lacerda Filho, Luiz de","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 126-130","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100018&lang=pt" 
"S1413-70542008000100003-scl","Características fisiológicas do feijoeiro em várzeas tropicais afetadas por doses e manejo de nitrogênio","Santos, Alberto Baêta dos, Fageria, Nand Kumar","Ciência e Agrotecnologia; 32(1); 23-31","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100003&lang=pt" 
"S1413-70542008000100044-scl","Processamento mínimo de tangerinas sob duas temperaturas","Damiani, Clarissa, Vilas Boas, Eduardo Valério de Barros, Pinto, Daniella Moreira","Ciência e Agrotecnologia; 32(1); 308-313","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100044&lang=pt" 
"S0004-27302008000100005-scl","Update on the etiology, diagnosis and therapeutic management of sexual precocity","Brito, Vinicius Nahime, Latronico, Ana Claudia, Arnhold, Ivo J. P., Mendonça, Berenice Bilharinho","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 18-31","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100005&lang=pt" 
"S0004-27302008000100006-scl","Análise crítica do uso dos índices do Homeostasis Model Assessment (HOMA) na avaliação da resistência à insulina e capacidade funcional das células-beta pancreáticas","Vasques, Ana Carolina J., Rosado, Lina Enriqueta F. P. L., Alfenas, Rita de Cássia G., Geloneze, Bruno","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 32-39","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100006&lang=pt" 
"S0004-27302008000100010-scl","Blood pressure and cardiorenal responses to antihypertensive therapy in obese women","Rosa, Eduardo Cantoni, Zanella, Maria Tereza, Kohlmann, Nárcia Elisa Bellucci, Ferreira, Sandra Roberta Gouveia, Plavnik, Frida Liane, Ribeiro, Artur Beltrame, Kohlmann Jr., Osvaldo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 65-75","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100010&lang=pt" 
"S0004-27302008000100011-scl","Análise da taxa metabólica de repouso avaliada por calorimetria indireta em mulheres obesas com baixa e alta ingestão calórica","Rodrigues, Alessandra E., Marostegan, Patrícia Freire, Mancini, Marcio C., Dalcanale, Lorença, Melo, Maria Edna de, Cercato, Cíntia, Halpern, Alfredo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 76-84","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100011&lang=pt" 
"S0004-27302008000100013-scl","Premature thelarche: clinical and laboratorial assessment by immunochemiluminescent assay","Borges, Maria F., Pacheco, Kátia D., Oliveira, Andréia A., Rita, Cláudia V. C., Pacheco, Karla D., Resende, Elisabete A. M., Lara, Beatriz H. J., Ferreira, Beatriz P.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 93-100","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100013&lang=pt" 
"S1413-70542008000100042-scl","Aspectos sanitários do cultivo da alface americana, irrigada com águas recptoras de efluentes urbanos","Biscaro, Guilherme Augusto, Guimarães-Tomazela, Andréa Bogatti, Cruz, Raimundo Leite, Lopes, Marcelo Domingos Chamma","Ciência e Agrotecnologia; 32(1); 295-301","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100042&lang=pt" 
"S0873-21592008000100001-prt","Infecção respiratória por bactérias do complexo cepacia: Evolução clínica em doentes com fibrose quística","Correia, Susana, Nascimento, Catarina, Pereira, Luísa, Cunha, Mónica V, Sá-Correia, Isabel, Barreto, Celeste","Revista Portuguesa de Pneumologia; 14(1); 5-26","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000100001&lang=pt" 
"S0873-21592008000100002-prt","Validação da versão em português da escala London Chest Activity of Daily Living (LCADL) em doentes com doença pulmonar obstrutiva crónica","Pitta, Fábio, Probst, Vanessa S, Kovelis, Demétria, Segretti, Nicoli O, Leoni, Aline MT, Garrod, Rachel, Brunetto, Antonio F","Revista Portuguesa de Pneumologia; 14(1); 27-47","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000100002&lang=pt" 
"S0873-21592008000100003-prt","Desmame de ventilação não invasiva: Experiência com períodos de descontinuação","Damas, C, Andrade, C, Araújo, JP, Almeida, J, Bettencourt, P","Revista Portuguesa de Pneumologia; 14(1); 49-53","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000100003&lang=pt" 
"S0873-21592008000100004-prt","Ecoendoscopia brônquica: Aspectos práticos e aplicabilidade clínica","Bugalho, António, Doris, Michael K, Hamacher, Juerg, Eberhardt, Ralf, Herth, Felix J","Revista Portuguesa de Pneumologia; 14(1); 55-88","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000100004&lang=pt" 
"S0873-21592008000100005-prt","Fibrose quística: Revisão","Damas, C, Amorim, A, Gomes, I","Revista Portuguesa de Pneumologia; 14(1); 89-112","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000100005&lang=pt" 
"S0873-21592008000100006-prt","Stress oxidativo na lesão pulmonar neonatal","Rocha, Gustavo","Revista Portuguesa de Pneumologia; 14(1); 113-126","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000100006&lang=pt" 
"S0873-21592008000100007-prt","Sarcoidose extratorácica","Costa, Filipa, Arrobas, Ana","Revista Portuguesa de Pneumologia; 14(1); 127-140","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000100007&lang=pt" 
"S0873-21592008000100008-prt","Os abcessos pulmonares em revisão","Gonçalves, Ana Moura, Falcão, Luiz Menezes, Ravara, Luciano","Revista Portuguesa de Pneumologia; 14(1); 141-149","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000100008&lang=pt" 
"S0873-21592008000100009-prt","Pneumonia por Pneumocystis e citomegalovírus no doente VIH - A propósito de dois casos clínicos","Lourenço, Sofia, Amaral, Marta, Almeida, Raquel, Marcelino, Paulo, Marum, Susan, Milheiro, M.ª Adelaide, Oliveira, Judite, Mourão, Luís","Revista Portuguesa de Pneumologia; 14(1); 151-157","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000100009&lang=pt" 
"S0873-21592008000100010-prt","Aspectos respiratórios da doença de Pompe: Relato de caso","Moura, Ewandro LR, Jabuonski, Thiago A, Amado, Veronica M","Revista Portuguesa de Pneumologia; 14(1); 159-164","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000100010&lang=pt" 
"S1415-54192008000100001-scl","Odontologia baseada em evidências: o fundamento da decisão clínica","Faber, Jorge","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(1); 5-5","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000100001&lang=pt" 
"S1415-54192008000100002-scl","Dispositivos de ultra-som, para realização de osteotomias em expansões maxilares cirurgicamente assistidas, aparentemente, proporcionam vantagens para o paciente","Polido, Waldemar Daudt","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(1); 17-17","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000100002&lang=pt" 
"S1415-54192008000100003-scl","Expansão Rápida da Maxila e Constrição Alternadas (ERMC-Alt) e técnica de Protração Maxilar Ortopédica Efetiva: extrapolação de conhecimentos prévios para fundamentação biológica","Consolaro, Alberto, Consolaro, Maria Fernanda M-O.","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(1); 18-23","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000100003&lang=pt" 
"S1415-54192008000100005-scl","Avaliação clínica e radiográfica da influência do fenobarbital (Gardenal®) na movimentação ortodôntica: estudo em coelhos","Pithon, Matheus Melo, Ruellas, Antônio Carlos de Oliveira","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(1); 34-42","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000100005&lang=pt" 
"S1415-54192008000100007-scl","Alterações no volume nasal de pacientes submetidos a disjunção da maxila","Muniz, Renata da Fonseca Lacerda e, Cappellette Jr., Mario, Carlini, Daniela","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(1); 54-59","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000100007&lang=pt" 
"S1415-54192008000100015-scl","Gerenciamento de riscos na prática ortodôntica: como se proteger de eventuais problemas legais","Cruz, Ricardo Machado, Chaves Cruz, Carla Pádua Andrade","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(1); 141-156","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000100015&lang=pt" 
"S1415-54192008000100006-scl","Tratamento da má oclusão de Classe II de Angle em duas fases: avaliação da efetividade e eficácia por meio do índice PAR","Calheiros, Anderson de Albuquerque, Miguel, José Augusto Mendes, Moura, Pollyana Marques, Almeida, Marco Antonio de Oliveira","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(1); 43-53","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000100006&lang=pt" 
"S1415-54192008000100008-scl","Caninos permanentes retidos por palatino: diagnóstico e terapêutica: uma sugestão técnica de tratamento","Cappellette, Mario, Cappellette Jr., Mario, Fernandes, Luciana Cappellette Monteiro, Oliveira, Arnaldo Pinto de, Yamamoto, Lúcia Hatsue, Shido, Flávio Toshiki, Oliveira, Walter Cerveira de","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(1); 60-73","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000100008&lang=pt" 
"S1415-54192008000100009-scl","O índice de necessidade de tratamento ortodôntico como um método de avaliação em saúde pública","Dias, Patricia Fernanda, Gleiser, Rogerio","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(1); 74-81","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000100009&lang=pt" 
"S1415-54192008000100010-scl","Análise crítica dos diversos métodos de avaliação e registro das más oclusões","Pinto, Edvaldo de Melo, Gondim, Pedro Paulo da Costa, Lima, Niedje Siqueira de","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(1); 82-91","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000100010&lang=pt" 
"S1415-54192008000100011-scl","Diferenças biomecânicas entre a técnica lingual e a labial","Monini, André da Costa, Gandini Jr, Luiz Gonzaga, Gandini, Marcia Regina Elisa Aparecida S., Figueiredo, José Fernando Barros de","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(1); 92-100","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000100011&lang=pt" 
"S1415-54192008000100012-scl","Correlação entre padrão facial e relação sagital entre os arcos dentários no estágio de dentadura decídua: considerações epidemiológicas","Silva Filho, Omar Gabriel da, Queiroz, Ana Paula Corrêa de, Herkrath, Fernando José, Silva, Guilherme Ferreira Bibiano","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(1); 101-112","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000100012&lang=pt" 
"S1415-54192008000100013-scl","Avaliação da angulação e inclinação dos elementos dentários em pacientes adultos jovens portadores de fissura transforame incisivo bilateral","Reis, Andréia Caixeta, Capelozza Filho, Leopoldino, Ozawa, Terumi Okada, Cavassan, Arlete de Oliveira","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(1); 113-123","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000100013&lang=pt" 
"S1415-54192008000100014-scl","Estudo cefalométrico das alterações dentoesqueléticas da má oclusão de Classe II, divisão 1 tratada com o aparelho de Herbst com cantiléver","Nahás, Ana Carla Raphaelli, Henriques, José Fernando Castanha, Janson, Guilherme, Tompson, Bryan D., Woodside, Donald G.","Revista Dental Press de Ortodontia e Ortopedia Facial; 13(1); 124-140","Revista Dental Press de Ortodontia e Ortopedia Facial","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192008000100014&lang=pt" 
"S0365-66912008000200011-esp","Proliferación angiomatosa retiniana no relacionada con degeneración macular asociada a la edad: Buena respuesta al tratamiento con terapia fotodinámica","Torrón-Fernández-Blanco, C., Ferrer-Novella, E., Ruiz-Moreno, O., Pablo-Júlvez, L.E., Honrubia-López, F.M.","Archivos de la Sociedad Española de Oftalmología; 83(2); 121-124","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000200011&lang=pt" 
"S0365-66912008000200017-esp","Ptosis palpebral: Tipos, exploración y tratamiento quirúrgico","Castroviejo-Bolívar, María","Archivos de la Sociedad Española de Oftalmología; 83(2); 143-144","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000200017&lang=pt" 
"S0365-66912008000200010-esp","Enfermedad de Coats de comienzo en adulto","Andonegui, J., Aranguren, M., Berástegui, L.","Archivos de la Sociedad Española de Oftalmología; 83(2); 117-120","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000200010&lang=pt" 
"S0365-66912008000200002-esp","Lentes de contacto blandas medicadas","Álvarez-Lorenzo, C., Concheiro-Nine, A.","Archivos de la Sociedad Española de Oftalmología; 83(2); 73-74","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000200002&lang=pt" 
"S0365-66912008000200007-esp","Linfomas orbitarios: Presentación de nueve casos","Rey-Porca, C., Pérez-Encinas, M., González, F.","Archivos de la Sociedad Española de Oftalmología; 83(2); 95-104","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000200007&lang=pt" 
"S1413-70542008000100034-scl","Variabilidade espacial de atributos químicos e produtividade da cultura do café em duas safras agrícolas","Silva, Fábio Moreira da, Souza, Zigomar Menezes de, Figueiredo, Carlos Augusto Pereira de, Vieira, Luciano Henrique de Souza, Oliveira, Ezequiel de","Ciência e Agrotecnologia; 32(1); 231-241","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100034&lang=pt" 
"S1413-70542008000100035-scl","Adubação e produção de Paspalum em dois níveis de fertilidade de Latossolo Vermelho-Amarelo: estabelecimento e manutenção","Primavesi, Odo, Primavesi, Ana Cândida, Batista, Luiz Alberto Rocha, Godoy, Rodolfo","Ciência e Agrotecnologia; 32(1); 242-250","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100035&lang=pt" 
"S1413-70542008000100040-scl","Uso de diferentes aditivos em silagem de capim-elefante","Rezende, Adauton Vilela de, Gastaldello Junior, Adilson Luis, Valeriano, Alexandre Rocha, Casali, André Oliveira, Medeiros, Lucilene Tavares, Rodrigues, Ricardo","Ciência e Agrotecnologia; 32(1); 281-287","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100040&lang=pt" 
"S1413-70542008000100045-scl","Respostas fisiológicas de caprinos de diferentes grupos genéticos no semi-árido paraibano","Souza, Bonifácio Benicio de, Souza, Expedito Danusio de, Silva, Rosangela Maria Nunes da, Cezar, Marcílio Fontes, Santos, José Romulo Soares dos, Silva, Gustavo de Assis","Ciência e Agrotecnologia; 32(1); 314-320","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100045&lang=pt" 
"S1413-70542008000100013-scl","Indução de florescimento de plantas de ciclâmen após a aplicação de GA3","Mielke, Erica, Cuquel, Francine Lorena, Koehler, Henrique Soares, Geiss, Jonas","Ciência e Agrotecnologia; 32(1); 87-92","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100013&lang=pt" 
"S1413-70542008000100027-scl","Caracterização físico-química e enzimática de uva &#039;Patricia&#039; cultivada na região de Primavera do Leste - MT","Santana, Merce Teodora Aguil, Siqueira, Heloísa Helena de, Lacerda, Richardson Júnior, Lima, Luiz Carlos de Oliveira","Ciência e Agrotecnologia; 32(1); 186-190","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100027&lang=pt" 
"S1413-70542008000100026-scl","Vegetable crops deformation assays for package height definition: a new approach","Luengo, Rita de Fátima Alves, Calbo, Adonai Gimenez, Jacomino, Angelo Pedro","Ciência e Agrotecnologia; 32(1); 180-185","Ciência e Agrotecnologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000100026&lang=pt" 
"S0004-27302008000100004-scl","Síndrome de Kallmann: uma revisão histórica, clínica e molecular","Ribeiro, Rogério Silicani, Abucham, Julio","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(1); 8-17","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000100004&lang=pt" 
"S0034-76122008000100008-scl","Eficiência dos gastos municipais em saúde e educação: uma investigação através da análise envoltória no estado do Rio de Janeiro","Faria, Flavia Peixoto, Jannuzzi, Paulo de Martino, Silva, Silvano José da","Revista de Administração Pública; 42(1); 155-177","Revista de Administração Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122008000100008&lang=pt" 
"S0021-75572008000100016-scl","Vírus causadores de infecção respiratória: na simplicidade mora a inteligência","Vieira, Sandra E., Thomazelli, Luciano M.","Jornal de Pediatria; 84(1); 95-96","Jornal de Pediatria","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572008000100016&lang=pt" 
"S0021-75572008000100017-scl","Métodos estatísticos e epidemiológicos em estudos de prevalência: odds ratio versus razão de prevalência","Rodrigues, Anabel Nunes","Jornal de Pediatria; 84(1); 96-97","Jornal de Pediatria","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572008000100017&lang=pt" 
"S1516-84842008000100005-scl","Estudo da doença de Gaucher em Santa Catarina","Ferreira, Jovino S., Ferreira, Vera Lúcia P. C., Ferreira, David C.","Revista Brasileira de Hematologia e Hemoterapia; 30(1); 5-11","Revista Brasileira de Hematologia e Hemoterapia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842008000100005&lang=pt" 
"S1516-84842008000100021-scl","Uso de contraceptivos orais induzindo trombose mesentérica","Simão, Josiane L., De Nadai, Livia C., Giacon, Patrícia P., Lopes, Márcia Aparecida M.","Revista Brasileira de Hematologia e Hemoterapia; 30(1); 75-77","Revista Brasileira de Hematologia e Hemoterapia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842008000100021&lang=pt" 
"S1516-84842008000100018-scl","Estudo da anomalia de Pelger-Huët em núcleo familiar","Calderan, Patrícia H. O., Campiolo, Dimas J., Saavedra, Omar S.G., Bonini-Domingos, Cláudia R.","Revista Brasileira de Hematologia e Hemoterapia; 30(1); 68-69","Revista Brasileira de Hematologia e Hemoterapia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842008000100018&lang=pt" 
"S0103-84782008000100047-scl","Modelo empírico para estimar o preço da carcaça bovina pago pelo consumidor","Silveira, Vicente Celestino Pires, Viana, João Garibaldi Almeida, Oliveira, Carolina Balbée de","Ciência Rural; 38(1); 270-272","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000100047&lang=pt" 
"S0103-84782008000100009-scl","Teor de clorofila e perfil de sais minerais de Chlorella vulgaris cultivada em solução hidropônica residual","Bertoldi, Fabiano Cleber, Sant&#039;Anna, Ernani, Oliveira, Jorge Luiz Barcelos","Ciência Rural; 38(1); 54-58","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000100009&lang=pt" 
"S0103-84782008000100018-scl","Alterações morfofisiológicas em folhas de Coffea arabica L. cv. &quot;Oeiras&quot; sob influência do sombreamento por Acacia mangium Willd","Gomes, Inês Angélica Cordeiro, Castro, Evaristo Mauro de, Soares, Angela Maria, Alves, José Donizeti, Alvarenga, Maria Inês Nogueira, Alves, Eduardo, Barbosa, João Paulo Rodrigues Alves Delfino, Fries, Daniela Deitos","Ciência Rural; 38(1); 109-115","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000100018&lang=pt" 
"S0103-84782008000100012-scl","Concentrações de citocinina e carvão ativado na micropropagação de pimenta-do-reino","Moura, Elisa Ferreira, Menezes, Ilmarina Campos de, Lemos, Oriel Filgueira de","Ciência Rural; 38(1); 72-76","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000100012&lang=pt" 
"S0103-84782008000100001-scl","Biology and thermal requirements of Telenomus remus reared on fall armyworm Spodoptera frugiperda eggs","Bueno, Regiane Cristina Oliveira de Freitas, Carneiro, Tatiana Rodrigues, Pratissoli, Dirceu, Bueno, Adeney de Freitas, Fernandes, Odair Aparecido","Ciência Rural; 38(1); 1-6","Ciência Rural","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000100001&lang=pt" 
"S0103-84782008000100010-scl","Preferência de Bemisia tabaci biótipo B em linhagens mutantes de algodoeiro","Vidal Neto, Francisco das Chagas, Silva, Fanuel Pereira da, Bleicher, Ervino, Melo, Francisco Ivaldo Oliveira","Ciência Rural; 38(1); 59-64","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000100010&lang=pt" 
"S0103-84782008000100007-scl","Índices de qualidade e crescimento de mudas de café produzidas em tubetes","Marana, João Paulo, Miglioranza, Édison, Fonseca, Ésio de Pádua, Kainuma, Roberto Hiroshi","Ciência Rural; 38(1); 39-45","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000100007&lang=pt" 
"S0103-84782008000100006-scl","Metodologia para estimar a estabilidade do conjunto muda x substrato de cafeeiro","Favarin, José Laércio, Favarin Junior, José Laércio, Reis, André Rodrigues dos, Camargo, Fabiana Taveira","Ciência Rural; 38(1); 34-38","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000100006&lang=pt" 
"S0103-84782008000100015-scl","Aspectos técnico-ambientais da produção orgânica na região citrícola do Vale do Rio Caí, RS","Panzenhagen, Nestor Valtir, Koller, Otto Carlos, Vaquil, Paulo Dabdab, Souza, Paulo Vitor Dutra de, Dal Soglio, Fábio Kessler","Ciência Rural; 38(1); 90-95","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000100015&lang=pt" 
"S0103-84782008000100017-scl","Discriminação de variedades de citros em imagens CCD/CBERS-2","Sanches, Ieda Del&#039;Arco, Gürtler, Salete, Formaggio, Antonio Roberto","Ciência Rural; 38(1); 103-108","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000100017&lang=pt" 
"S0103-84782008000100026-scl","Degenerative progressive hereditary mieloencefalopathy (Weaver Syndrome) in Gir calves","Oliveira, Pedro Carlos Lucas de, Coelho, Humberto Eustáquio, Medeiros, Alessandra Aparecida de, Rieck, Susana Elisa, Souza, Juliana Meirelles de, Alvarenga, Rodrigo Rodrigues","Ciência Rural; 38(1); 161-165","Ciência Rural","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000100026&lang=pt" 
