"S0103-90162000000400020-scl","Isolamento e caracterização de bactérias degradadoras do herbicida diuron","Roque, Milton Ricardo de Abreu, Melo, Itamar Soares de","Scientia Agricola; 57(4); 723-728","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400020&lang=pt" 
"S0037-86822000000600019-scl","Relatório sobre a IV Jornada sobre Doenças Tropicais e I Encontro de Malária do Baixo Amazonas","","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 625-627","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600019&lang=pt" 
"S0037-86822000000600018-scl","Relatório das Oficinas de Trabalho da XVI Reunião Anual de Pesquisa Aplicada em Doença de Chagas e IV Reunião de Pesquisa Aplicada em Leishmanioses","","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 619-623","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600018&lang=pt" 
"S0037-86822000000600020-scl","Adrelírio José Rios Gonçalves","Tavares, Walter","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 629-629","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600020&lang=pt" 
"S0037-86822000000600005-scl","Filariose bancroftiana em áreas urbanas do Estado de Alagoas, nordeste do Brasil: estudo em população geral","Rocha, Eliana M. Mauricio da, Fontes, Gilberto, Brito, Ana C., Silva, Tatiana R.C., Medeiros, Zulma, Antunes, Carlos M.F.","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 545-551","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600005&lang=pt" 
"S0037-86822000000600002-scl","Prevalência de tripanossomíase americana, sífilis, toxoplasmose, rubéola, hepatite B, hepatite C e da infecção pelo vírus da imunodeficiência humana, avaliada por intermédio de testes sorológicos, em gestantes atendidas no período de 1996 a 1998 no Hospital Universitário Regional Norte do Paraná (Universidade Estadual de Londrina, Paraná, Brasil)","Reiche, Edna Maria Vissoci, Morimoto, Helena Kaminami, Farias, Grazieli Nogueira, Hisatsugu, Kátia Regina, Geller, Lilian, Gomes, Ana Carolina Lima Frade, Inoue, Helena Yurika, Rodrigues, Gisele, Matsuo, Tiemi","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 519-527","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600002&lang=pt" 
"S0037-86822000000600003-scl","Serial heart rate changes in rats inoculated by conjunctival instillation of Trypanosoma cruzi obtained from bug faeces","Ollarves, Adalinda, Dávila, Diego F., Gottberg, Carlos F., Ramoni-Perazzi, Paolo","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 529-533","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600003&lang=pt" 
"S0037-86822000000600007-scl","Susceptibilidade de Rhodnius neglectus, Rhodnius robustus e Triatoma infestans (Hemiptera, Reduviidae, Triatominae) à infecção por duas cepas de Trypanosoma cruzi (Kinetoplastidae, Trypanosomatidae) utilizando xenodiagnóstico artificial","Martins, Luciamáre Perinetti Alves, Rosa, João Aristeu da, Castanho, Roberto Esteves Pires, Sauniti, Guilherme Lopes, Medeiros Júnior, Hermano","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 559-563","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600007&lang=pt" 
"S0037-86822000000600010-scl","Monitoramento de pacientes com AIDS para o desenvolvimento de doença por citomegalovirus (CMV) usando-se PCR multiplex","Terra, Ana Paula Sarreta, Silva-Vergara, Mario León, Gomes, Roseli Aparecida S., Pereira, Carla Lisandra L., Simpson, Andrew J.G., Caballero, Otávia Luísa","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 583-589","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600010&lang=pt" 
"S0037-86822000000600008-scl","Programa ACHEI: Atenção ao Chagásico com Educação Integral no Município de Maringá e Região Noroeste do Paraná, Brasil","Araújo, Silvana Marques de, Andó, Míriam Hitomi, Cassarotti, Dirceu José, Mota, Daniela Cristina Grégio D&#039;Arce, Borges, Silvana Maria Ribeiro, Gomes, Mônica Lúcia","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 565-572","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600008&lang=pt" 
"S0037-86822000000600006-scl","Identificação de rotavirus associado ao sorotipo G2 em Yucatan, México","Gonzales-loza, María del R., Polanco-Marín, Giraldo G., Puerto-Solis, Marylin","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 553-557","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600006&lang=pt" 
"S0037-86822000000600014-scl","Hipogamaglobulinemia como fator de risco para infecção por Cryptococcus neoformans: a propósito de dois casos","Pires Neto, Roberto da Justa, Guimarães, Márcia Cristina, Moya, Maria Janete, Oliveira, Fabíola Reis, Louzada Júnior, Paulo, Martinez, Roberto","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 603-608","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600014&lang=pt" 
"S0100-40422000000600007-scl","Inclusion complex of the antiviral drug acyclovir with cyclodextrin in aqueous solution and in solid phase","Rossel, Carlos von Plessing, Sepúlveda Carreño, Jacqueline, Rodríguez-Baeza, Mario, Alderete, Joel Bernabé","Química Nova; 23(6); 749-752","Química Nova","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600007&lang=pt" 
"S0100-40422000000600006-scl","Investigação de Er3+ nos dois sítios cristalográficos de Gd2SiO5 através da fotoluminescência resolvida no tempo","Camargo, Andrea S. S. de, Simoneti, Jandira Ap., Davolos, Marian R., Bell, Maria José V., Nunes, Luiz Antonio de O.","Química Nova; 23(6); 742-748","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600006&lang=pt" 
"S0100-40422000000600001-scl","","Barreiro, Eliezer J., Alves, Oswaldo Luiz","Química Nova; 23(6); 719-719","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600001&lang=pt" 
"S0100-40422000000600002-scl","Reação de geração de oxigênio em eletrodos de Mn2O3 suportados em aço inoxidável","Varela, Hamilton, Câmara, Giuseppe A., Scatena Júnior, Hélio, Gonzalez, Ernesto R.","Química Nova; 23(6); 721-726","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600002&lang=pt" 
"S0100-40422000000600005-scl","New antagonist agents of neuropeptide y receptors","Aldana, Ignacio, Rivero, Isabel, Rivero, Argimiro, Huenchuñir, Patricio, Frigola, Carmen, Alonso, Maria Luisa, Monge, Antonio, Caignard, D. H., Renard, P.","Química Nova; 23(6); 737-741","Química Nova","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600005&lang=pt" 
"S0100-40422000000600004-scl","Especiação de metais-traço em sedimentos de florestas de manguezais com Avicennia e Rhizophora","Andrade, Regina Célia Bastos de, Patchineelam, Sambasiva Rao","Química Nova; 23(6); 733-736","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600004&lang=pt" 
"S0100-40422000000600008-scl","Studies on formation of chromium niobates","Prasad, Shiva, Barros, Jaqueline V., Leite, Valderí Duarte","Química Nova; 23(6); 753-756","Química Nova","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600008&lang=pt" 
"S0100-40422000000600019-scl","Computadores em educação química: estrutura atômica e tabela periódica","Eichler, Marcelo, Del Pino, José Claudio","Química Nova; 23(6); 835-840","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600019&lang=pt" 
"S0100-40422000000600017-scl","Economia de átomos, engenharia molecular e catálise organometálica bifásica: conceitos moleculares para tecnologias limpas","Dupont, Jairton","Química Nova; 23(6); 825-831","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600017&lang=pt" 
"S0100-40422000000600011-scl","Detectores potenciométricos para sistemas de análise por injecção em fluxo, evolução e aplicação","Couto, Cristina M. C. M., Montenegro, M. Conceição B. S. M.","Química Nova; 23(6); 774-784","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600011&lang=pt" 
"S0100-40422000000600015-scl","Ligações hidrogênio fortes em ácidos dicarboxílicos e diaminas aromáticas","Rodrigues, José Augusto R.","Química Nova; 23(6); 812-817","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600015&lang=pt" 
"S0100-40422000000600014-scl","Eletrodos modificados com polímeros perfluorados e sulfonados: aplicações em análises ambientais","Fungaro, Denise Alves, Brett, Christopher M. A.","Química Nova; 23(6); 805-811","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600014&lang=pt" 
"S0100-40422000000600022-scl","A inovação tecnológica e o avanço científico: a química em perspectiva&lt;A NAME=&quot;top1&quot;&gt;&lt;/A&gt;","Moura, André Farias de","Química Nova; 23(6); 851-853","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600022&lang=pt" 
"S0100-40422000000600020-scl","Hückel and Möbius annulenes: relationships between their Hückel-level orbitals and their Hückel-level energies","Langler, Richard Francis, Salgado, Guillermo, Mendizabal, Carlos","Química Nova; 23(6); 841-844","Química Nova","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600020&lang=pt" 
"S0100-40422000000600016-scl","Interações entre corantes e argilas em suspensão aquosa","Neumann, Miguel G., Gessner, Fergus, Cione, Ana P. P., Sartori, Rogério A., Cavalheiro, Carla C. Schmitt","Química Nova; 23(6); 818-824","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600016&lang=pt" 
"S0100-40422000000600018-scl","Estudo eletroquímico do azul de metileno adsorvido sobre sílica gel quimicamente modificada com óxido de nióbio","Schiavo, Débora de Almeida, Perez, Elizabeth Fátima, Kubota, Lauro Tatsuo","Química Nova; 23(6); 832-834","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600018&lang=pt" 
"S0037-86822000000600009-scl","Tegumentary leishmaniasis in Northern Argentina: distribution of infection and disease, in three municipalities of Salta, 1990-1992","Sosa-Estani, Sergio, Segura, Elsa Leonor, Salomón, Oscar Daniel, Gómez, Adolfo, Peralta, Mario, Coutada, Virgilio, Ruiz, Luis Medina","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 573-582","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600009&lang=pt" 
"S0037-86822000000600012-scl","Diagnóstico laboratorial dos protozoários entéricos oportunistas em Goiânia, GO","Manzi, Ricardo Souza, García-Zapata, Marco Tulio A.","Revista da Sociedade Brasileira de Medicina Tropical; 33(6); 597-598","Revista da Sociedade Brasileira de Medicina Tropical","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000600012&lang=pt" 
"S0100-40422000000600003-scl","Dióxido de titânio sol-gel: propriedades e comportamento eletrocrômico","Zoppi, Rita Aparecida, Mortean, Nelson Henrique Ribeiro","Química Nova; 23(6); 727-732","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600003&lang=pt" 
"S0100-40422000000600009-scl","Fenóis halogenados e/ou sulfatados de macroalgas marinhas","Carvalho, Luciana Retz de, Roque, Nidia F.","Química Nova; 23(6); 757-764","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600009&lang=pt" 
"S0100-40422000000600010-scl","Avaliação da contaminação humana por hidrocarbonetos policíclicos aromáticos (HPAs) e seus derivados nitrados (NHPAs): uma revisão metodológica","Pereira Netto, Annibal D., Moreira, Josino C., Dias, Ana Elisa X. O., Arbilla, Graciela, Ferreira, Luiz Filipe V., Oliveira, Anabela S., Barek, Jiri","Química Nova; 23(6); 765-773","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600010&lang=pt" 
"S0100-40422000000600012-scl","Propriedades e aplicações de clusters trinucleares de carboxilatos de rutênio","Alexiou, Anamaria D. P., Dovidauskas, Sergio, Toma, Henrique E.","Química Nova; 23(6); 785-793","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600012&lang=pt" 
"S0100-40422000000600013-scl","Reações de ozonólise de olefinas em fase gasosa","Nunes, Fabíola Maria Nobre, Pereira, Pedro Afonso de Paula, Andrade, Jailson B. de","Química Nova; 23(6); 794-804","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600013&lang=pt" 
"S0100-40422000000600021-scl","A produção do salitre no Brasil colonial","Ferraz, Márcia Helena Mendes","Química Nova; 23(6); 845-850","Química Nova","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422000000600021&lang=pt" 
"S1135-57272000000500012-esp","Brote de gastroenteritis en una residencia de ancianos de Albacete","Mayoral Cortes, José María, Mateo Ramos, Antonio, Pons Sánchez, Mª del Carmen, Herrera Calvet, Isabel, Gutiérrez Avila, Guillermo, Vivo Rodríguez, Amparo, García Fernández, Marcelino, Herrera Guilbert, Dionisio, Martínez Navarro, Ferrán","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500012&lang=pt" 
"S1135-57272000000500009-esp","Brote de criptosporidiosis en Guadarrama (Comunidad Autónoma de Madrid)","Rodríguez-Salinas Pérez, Enrique, Aragón Peña, Andrés-José, Allue Tango, Marta, Lópaz Pérez, María Angeles, Jiménez Maldonado, Mariana, Domínguez Rodríguez, María José","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500009&lang=pt" 
"S1135-57272000000500011-esp","Coste-beneficio del tratamiento farmacológico de la parálisis cerebral con espasticidad en México","Arroyave Loaiza, Gilma, Jarillo Soto, Edgar C., Garfias Garnica, Maria Guadalupe, Ribera Ibarra, Doris Beatriz, Uribe Zamarripa, José Alfonso","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500011&lang=pt" 
"S1135-57272000000500008-esp","Anisákiasis en pescados frescos comercializados en el norte de Córdoba","de la Torre Molina, Rafaela, Pérez Aparicio, José, Hernández Bienes, Manuel, Jurado Pérez, Rafael, Martínez Ruso, Antonio, Morales Franco, Emilio","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500008&lang=pt" 
"S0100-736X2000000400003-scl","Infecção e enfermidade neurológica pelo herpesvírus bovino tipo 5 (BHV-5): coelhos como modelo experimental","Beltrão, Nilzane, Flores, Eduardo F., Weiblen, Rudi, Silva, Adriana M., Roehe, Paulo M., Irigoyen, Luiz F.","Pesquisa Veterinária Brasileira; 20(4); 144-150","Pesquisa Veterinária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2000000400003&lang=pt" 
"S0100-736X2000000400001-scl","Editorial","","Pesquisa Veterinária Brasileira; 20(4); -","Pesquisa Veterinária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2000000400001&lang=pt" 
"S0100-736X2000000400002-scl","A retrospective search for bovine respiratory syncytial virus (BRSV) antigens in histological specimens by immunofluorescence and immunohistochemistry","Flores, Eduardo F., Weiblen, Rudi, Medeiros, Margareti, Botton, Sônia A., Irigoyen, Luiz F., Driemeier, David, Schuch, Luis F., Moraes, Mauro","Pesquisa Veterinária Brasileira; 20(4); 139-143","Pesquisa Veterinária Brasileira","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2000000400002&lang=pt" 
"S0100-736X2000000400004-scl","Flutuação sazonal de Dermatobia hominis em peles bovinas oriundas de matadouro","Brito, Luciana Gatto, Borja, Gonzalo Efrain Moya","Pesquisa Veterinária Brasileira; 20(4); 151-154","Pesquisa Veterinária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2000000400004&lang=pt" 
"S0100-736X2000000400005-scl","Mormo em eqüídeos nos Estados de Pernambuco e Alagoas","Mota, Rinaldo A., Brito, Marilene F., Castro, Fabrício J. C., Massa, Marcos","Pesquisa Veterinária Brasileira; 20(4); 155-159","Pesquisa Veterinária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2000000400005&lang=pt" 
"S0100-736X2000000400006-scl","A conglutination test for rapid detection of antibodies against Babesia bigemina","Madruga, Claudio R., Kessler, Raul H., Schenk, Maria A. M., Miguita, Midori","Pesquisa Veterinária Brasileira; 20(4); 161-166","Pesquisa Veterinária Brasileira","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2000000400006&lang=pt" 
"S0100-736X2000000400008-scl","Infecção natural pelo Vírus Sincicial Respiratório Bovino (BRSV) no Estado de Alagoas","Peixoto, Paulo V., Mota, Rinaldo A., Brito, Marilene F., Corbellini, Luís G., Driemeier, David, Souza, Maria Izabel de","Pesquisa Veterinária Brasileira; 20(4); 171-175","Pesquisa Veterinária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2000000400008&lang=pt" 
"S1135-57272000000500007-esp","Distribución y tendencia de la tuberculosis por grupos de edades y por municipios en Ciudad de la Habana, Cuba (1986-1998)","Borroto Gutiérrez, Susana, Armas Pérez, Luis, González Ochoa, Edilberto, Peláez Sánchez, Otto, Arteaga Yero, Ana Luisa, Sevy Court, José","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500007&lang=pt" 
"S1516-44462000000600002-scl","Epidemiologia","Fleitlich, Bacy W, Goodman, Robert","Revista Brasileira de Psiquiatria; 22(); 02-06","Revista Brasileira de Psiquiatria","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462000000600002&lang=pt" 
"S1516-44462000000600011-scl","Princípios gerais do emprego de psicofármacos","Brasil, Heloisa Helena A","Revista Brasileira de Psiquiatria; 22(); 40-41","Revista Brasileira de Psiquiatria","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462000000600011&lang=pt" 
"S1516-44462000000600007-scl","Transtornos afetivos","Fu I, Lee, Curatolo, Eliana, Friedrich, Sonia","Revista Brasileira de Psiquiatria; 22(); 24-27","Revista Brasileira de Psiquiatria","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462000000600007&lang=pt" 
"S1516-44462000000600010-scl","Autismo infantil","Assumpção Jr, Francisco B, Pimentel, Ana Cristina M","Revista Brasileira de Psiquiatria; 22(); 37-39","Revista Brasileira de Psiquiatria","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462000000600010&lang=pt" 
"S1516-44462000000600013-scl","Interconsulta psiquiátrica na pediatria","Zavaschi, Maria Lucrécia Scherer, Lima, Dênio, Palma, Regina Beatriz","Revista Brasileira de Psiquiatria; 22(); 48-51","Revista Brasileira de Psiquiatria","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462000000600013&lang=pt" 
"S1516-44462000000600014-scl","Morbidade psiquiátrica em crianças com alterações neurológicas","Duran, Rodrigo Vidovix da Rocha, Goodman, Robert","Revista Brasileira de Psiquiatria; 22(); 52-54","Revista Brasileira de Psiquiatria","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462000000600014&lang=pt" 
"S1516-44462000000600005-scl","Transtorno obsessivo-compulsivo","Rosario-Campos, Maria Conceição do, Mercadante, Marcos T","Revista Brasileira de Psiquiatria; 22(); 16-19","Revista Brasileira de Psiquiatria","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462000000600005&lang=pt" 
"S1516-44462000000600008-scl","Transtornos alimentares","Appolinário, José Carlos, Claudino, Angélica M","Revista Brasileira de Psiquiatria; 22(); 28-31","Revista Brasileira de Psiquiatria","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462000000600008&lang=pt" 
"S1135-57272000000500014-esp","La obsesión metodológica","Soriguer Escofet, Federico J.C","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500014&lang=pt" 
"S1135-57272000000500017-esp","Los medicamentos ante las nuevas realidades económicas","Lobo, Félix, Velasquez, Germán","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500017&lang=pt" 
"S1135-57272000000500001-esp","¿Cuánta tuberculosis queremos?","Caylà, Joan A., Jansà, Josep M.","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500001&lang=pt" 
"S1135-57272000000500016-esp","La salud pública ante los desafíos de un nuevo siglo informe SESPAS 2000. Cuarta edición","Álvarez Dardet, Carlos, Peiró, Salvador","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500016&lang=pt" 
"S1135-57272000000500010-esp","Grado de cumplimiento de la legislación e impartición de enseñanzas anti-tabaco en los centros escolares españoles","Hernández-Mezquita, Miguel Angel, Barrueco, Miguel, Jiménez-Ruiz, Carlos Andrés, Torrecilla, Miguel, González Bustos, Mar, Plaza, Mª Dolores","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500010&lang=pt" 
"S1135-57272000000500002-esp","Donaciones de medicamentos: ¿una ayuda o un problema?","Darder Mayer, Marta, Sanz Barbero, Belén","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500002&lang=pt" 
"S1135-57272000000500005-esp","Eficiencia en la atención primaria de salud: una revisión crítica de las medidas de frontera","Puig-Junoy, Jaume","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500005&lang=pt" 
"S1135-57272000000500006-esp","Marco legislativo y estrategia de la industria tabaquera en relación a la publicidad del tabaco en España","Elder, John, Cortés Blanco, Manuel, Sarriá Santamera, Antonio","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500006&lang=pt" 
"S1135-57272000000500013-esp","Transmisión horizontal de tuberculosis entre niños de una guardería","Anibarro García, Luis, Vázquez-Vizoso, Francisco, Sanjurjo Rivo, Ana, García García, Juan Carlos","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500013&lang=pt" 
"S1135-57272000000500015-esp","Incidencia y mortalidad por cáncer en España. Patrones y tendencia","Miñarro, R, Black, RJ, Martínez, C, Navarro, C, Garau, I, Izarzugaza, I, Ardanar, E, Vergara, A, Galcerán, J, Alonso, R, Mateos, A, Rodríguez, M","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500015&lang=pt" 
"S1135-57272000000500003-esp","Recomendaciones para el control de la colesterolemia en España","Villar Álvarez, Fernando, Mata López, Pedro, Plaza Pérez, Ignacio, Pérez Jiménez, Francisco, Maiques Galán, Antonio, Casasnovas Lenguas, José Antonio, Banegas Banegas, José Ramón, Tomás Abadal, Luis, Rodríguez Artalejo, Fernando, Gil López, Enrique","Revista Española de Salud Pública; 74(5-6); -","Revista Española de Salud Pública","Espanhol","2000","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272000000500003&lang=pt" 
"S1516-44462000000600003-scl","Transtorno de déficit de atenção/hiperatividade","Rohde, Luis Augusto, Barbosa, Genário, Tramontina, Silzá, Polanczyk, Guilherme","Revista Brasileira de Psiquiatria; 22(); 07-11","Revista Brasileira de Psiquiatria","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462000000600003&lang=pt" 
"S1516-44462000000600004-scl","Transtorno da conduta e comportamento anti-social","Bordin, Isabel AS, Offord, David R","Revista Brasileira de Psiquiatria; 22(); 12-15","Revista Brasileira de Psiquiatria","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462000000600004&lang=pt" 
"S1516-44462000000600009-scl","O adolescente e o uso de drogas","Marques, Ana Cecília Petta Roselli, Cruz, Marcelo S","Revista Brasileira de Psiquiatria; 22(); 32-36","Revista Brasileira de Psiquiatria","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462000000600009&lang=pt" 
"S1516-44462000000600012-scl","Psicofarmacoterapia","Brasil, Heloisa Helena A, Belisário Filho, José F","Revista Brasileira de Psiquiatria; 22(); 42-47","Revista Brasileira de Psiquiatria","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462000000600012&lang=pt" 
"S1516-44462000000600015-scl","Instrumentos de avaliação","Duarte, Cristiane S, Bordin, Isabel AS","Revista Brasileira de Psiquiatria; 22(); 55-58","Revista Brasileira de Psiquiatria","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462000000600015&lang=pt" 
"S1516-44462000000600006-scl","Transtornos de ansiedade","Castillo, Ana Regina GL, Recondo, Rogéria, Asbahr, Fernando R, Manfro, Gisele G","Revista Brasileira de Psiquiatria; 22(); 20-23","Revista Brasileira de Psiquiatria","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462000000600006&lang=pt" 
