"S0100-72032011001100001-scl","A mulher e o uso de álcool","Mendes, Maria Célia, Cunha, José Renato Ferreira da, Nogueira, Antônio Alberto","Revista Brasileira de Ginecologia e Obstetrícia; 33(11); 323-327","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011001100001&lang=pt" 
"S0256-95742011001100008-sza","Caring for doctors is caring for the community - RuDASA","Bateman, Chris","SAMJ: South African Medical Journal; 101(11); 794-796","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100008&lang=pt" 
"S0256-95742011001100009-sza","Stabilise medical schemes, reduce NHI patient burden - Discovery","Bateman, Chris","SAMJ: South African Medical Journal; 101(11); 797-797","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100009&lang=pt" 
"S0256-95742011001100010-sza","Medical ethics and the payment of fees before treatment","McQuoid-Mason, David","SAMJ: South African Medical Journal; 101(11); 798-799","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100010&lang=pt" 
"S0256-95742011001100011-sza","The Consumer Protection Act: No-fault liability of health care providers","Slabbert, M Nöthling, Pepper, Michael S","SAMJ: South African Medical Journal; 101(11); 800-801","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100011&lang=pt" 
"S0256-95742011001100012-sza","Bryan Kies","Bryer, Alan, Mayosi, Bongani, Jacobs, Marian, Madhari, Anil","SAMJ: South African Medical Journal; 101(11); 802-802","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100012&lang=pt" 
"S0256-95742011001100013-sza","Deon Ronaldus Rautenbach (1950 - 2011)","Bam, Erich","SAMJ: South African Medical Journal; 101(11); 802-802","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100013&lang=pt" 
"S0256-95742011001100014-sza","An Uneasy story : the nationalising of South African mission hospitals 1960 - 1976. a personal account","Cameron, David","SAMJ: South African Medical Journal; 101(11); 803-803","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100014&lang=pt" 
"S0256-95742011001100015-sza","Supporting registration of child-focused clinical trials in Africa: The Child Strategy Project","Abrams, Amber L, Opiyo, Newton, Cotton, Mark, Crowley, Siobhan, Okebe, Joseph, Wiysonge, Charles Shey","SAMJ: South African Medical Journal; 101(11); 804-804","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100015&lang=pt" 
"S0256-95742011001100016-sza","Genetic profiling in breast cancer","Edge, J, Panieri, E","SAMJ: South African Medical Journal; 101(11); 805-805","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100016&lang=pt" 
"S0256-95742011001100017-sza","A reduction of necrotising enterocolitis at Groote Schuur Hospital nursery","Joolay, Y, Rhoda, N R, Tooke, L, Horn, A R, Harrison, M C","SAMJ: South African Medical Journal; 101(11); 806-806","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100017&lang=pt" 
"S0256-95742011001100018-sza","Purchasing of medical equipment in public hospitals: the mini-HTA tool","Govender, Moreshnee, Mueller, Debjani B, Basu, Debashis","SAMJ: South African Medical Journal; 101(11); 807-808","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100018&lang=pt" 
"S0256-95742011001100019-sza","Tuberculosis in a South African prison: a transmission modelling analysis","Johnstone-Robertson, Simon, Lawn, Stephen D, Welte, Alex, Bekker, Linda-Gail, Wood, Robin","SAMJ: South African Medical Journal; 101(11); 809-813","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100019&lang=pt" 
"S0256-95742011001100020-sza","Professionalism and the intimate examination - are chaperones the answer?","Dhai, Ames, Gardner, Jillian, Guidozzi, Yolande, Howarth, Graham, Vorster, Merryll","SAMJ: South African Medical Journal; 101(11); 814-816","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100020&lang=pt" 
"S0256-95742011001100021-sza","A public health approach to the impact of climate change on health in southern Africa: identifying priority modifiable risks","Myers, J, Young, T, Galloway, M, Manyike, P, Tucker, T","SAMJ: South African Medical Journal; 101(11); 817-819","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100021&lang=pt" 
"S0256-95742011001100022-sza","Responding to climate change in southern Africa: the role of research","Myers, J, Young, T, Galloway, M, Manyike, P, Tucker, T","SAMJ: South African Medical Journal; 101(11); 820-822","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100022&lang=pt" 
"S0256-95742011001100023-sza","Is non-therapeutic aspirin use in children a problem in South Africa?","Donald, Kirsten, Hall, Susan, Seaton, Cylene, Tanyanyiwa, Donald","SAMJ: South African Medical Journal; 101(11); 823-828","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100023&lang=pt" 
"S0256-95742011001100024-sza","Baseline chest radiographic features of HIV-infected children eligible for antiretroviral therapy","Plessis, Vicci du, Andronikou, Savvas, Struck, Gabriel, McKerrow, Neil, Stoker, Aisne","SAMJ: South African Medical Journal; 101(11); 829-834","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100024&lang=pt" 
"S0256-95742011001100025-sza","The prevalence of intentional and unintentional injuries in selected Johannesburg housing settlements","Mendes, J F, Mathee, A, Naicker, N, Becker, P, Naidoo, S","SAMJ: South African Medical Journal; 101(11); 835-838","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100025&lang=pt" 
"S0256-95742011001100026-sza","Recommendations for the management of adult chronic myeloid leukaemia in South Africa","Louw, V J, Dreosti, L, Ruff, P, Jogessar, V, Moodley, D, Novitzky, N, Patel, M, Schmidt, A, Willem, P","SAMJ: South African Medical Journal; 101(11); 840-846","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011001100026&lang=pt" 
"S1130-01082011001100005-esp","Appendicular pseudodiverticula and acute appendicitis: Our 12-year experience","Manzanares-Campillo, María del Carmen, Martín-Fernández, Jesús","Revista Española de Enfermedades Digestivas; 103(11); 582-585","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100005&lang=pt" 
"S1130-01082011001100003-esp","The burden and management of patients with IBS: results from a survey in Spanish gastroenterologists","Almansa, Cristina, Díaz-Rubio, Manuel, Rey, Enrique","Revista Española de Enfermedades Digestivas; 103(11); 570-575","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100003&lang=pt" 
"S0212-16112011000800006-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Liver failure and liver transplantation","Montejo González, J. C., Mesejo, A., Bonet Saris, A.","Nutrición Hospitalaria; 26(); 27-31","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800006&lang=pt" 
"S0212-16112011000800016-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Neurocritical patient","Acosta Escribano, J., Herrero Meseguer, I., Conejero García-Quijada, R.","Nutrición Hospitalaria; 26(); 72-75","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800016&lang=pt" 
"S0212-16112011000800014-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Multiple trauma patient","Blesa Malpica, A. L., García de Lorenzo y Mateos, A., Robles González, A.","Nutrición Hospitalaria; 26(); 63-66","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800014&lang=pt" 
"S0018-229X2011000200001-sza","The Union of South Africa censuses 1911-1960: an incomplete record","Christopher, A.J.","Historia; 56(2); 01-18","Historia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2011000200001&lang=pt" 
"S0018-229X2011000200002-sza","The state and the profession: initiatives and responses to the organisation of the accounting profession in South Africa, 1904-1951","Verhoef, Grietjie","Historia; 56(2); 19-42","Historia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2011000200002&lang=pt" 
"S0018-229X2011000200003-sza","Die geskiedenis van Afrikanerbetrokkenheid in die Rhodesiese tabakbedryf (1890-1980)","Hendrich, Gustav","Historia; 56(2); 43-58","Historia","Africaner","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2011000200003&lang=pt" 
"S0018-229X2011000200004-sza","Kent gij dat volk: the Anglo-Boer War and Afrikaner identity in postmodern perspective","Boje, John, Pretorius, Fransjohan","Historia; 56(2); 59-72","Historia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2011000200004&lang=pt" 
"S0018-229X2011000200005-sza","Militêre verhore in die Oranje-Vrystaat tydens die Anglo-Boereoorlog, 1899-1902","de Bruin, Jaco, Wessels, André","Historia; 56(2); 73-93","Historia","Africaner","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2011000200005&lang=pt" 
"S0018-229X2011000200006-sza","Narratives from North Africa: South African prisoner-of-war experience following the fall of Tobruk, June 1942","Horn, Karen","Historia; 56(2); 94-112","Historia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2011000200006&lang=pt" 
"S0018-229X2011000200007-sza","The Retief Massacre of 6 February 1838 revisited","Grobler, Jackie","Historia; 56(2); 113-132","Historia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2011000200007&lang=pt" 
"S0018-229X2011000200008-sza","Die rol en bydrae van die Stedelike Stigting tot die politieke hervorming van Suid-Afrika: 1976-1995","Hoogenraad-Vermaak, Salomon","Historia; 56(2); 133-153","Historia","Africaner","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2011000200008&lang=pt" 
"S0018-229X2011000200009-sza","Teologiese twis rondom sinodale koersveranderinge in die Nederduitse Gereformeerde Kerk, 1982-1990","Merwe, Barend van der, Oelofse, Marietjie","Historia; 56(2); 154-168","Historia","Africaner","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2011000200009&lang=pt" 
"S0018-229X2011000200010-sza","How school history textbooks position a textual community through the topic of racism","Morgan, Katalin, Henning, Elizabeth","Historia; 56(2); 169-190","Historia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2011000200010&lang=pt" 
"S0018-229X2011000200011-sza","Wanneer &#039;n Geskiedenisdepartement sy materiële erfenis verloor","Visser, Wessel","Historia; 56(2); 191-192","Historia","Africaner","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2011000200011&lang=pt" 
"S0018-229X2011000200012-sza","","","Historia; 56(2); 193-239","Historia","Africaner","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2011000200012&lang=pt" 
"S0212-16112011000800017-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Cardiac patient","Jiménez Jiménez, F. J., Cervera Montes, M., Blesa Malpica, A. L.","Nutrición Hospitalaria; 26(); 76-80","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800017&lang=pt" 
"S0212-16112011000800003-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Nutritional assessment","Ruiz-Santana, S., Arboleda Sánchez, J. A., Abilés, J.","Nutrición Hospitalaria; 26(); 12-15","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800003&lang=pt" 
"S0212-16112011000800007-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Severe acute pancreatitis","Bordejé Laguna, L., Lorencio Cárdenas, C., Acosta Escribano, J.","Nutrición Hospitalaria; 26(); 32-36","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800007&lang=pt" 
"S0212-16112011000800001-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Introduction and methodology","Mesejo, A., Vaquerizo Alonso, C., Acosta Escribano, J., Ortiz Leiba, C., Montejo González, J.C.","Nutrición Hospitalaria; 26(); 1-6","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800001&lang=pt" 
"S0212-16112011000800013-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Critically-ill burnt patient","García de Lorenzo y Mateos, A., Ortiz Leyba, C., Sánchez, S. M.","Nutrición Hospitalaria; 26(); 59-62","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800013&lang=pt" 
"S0212-16112011000800012-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Obese patient","Mesejo, A., Sánchez Álvarez, C., Arboleda Sánchez, J. A.","Nutrición Hospitalaria; 26(); 54-58","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800012&lang=pt" 
"S0212-16112011000800005-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Acute renal failure","López Martínez, J., Sánchez-Izquierdo Riera, J. A., Jiménez Jiménez, F. J.","Nutrición Hospitalaria; 26(); 21-26","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800005&lang=pt" 
"S0212-16112011000800015-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Septic patient","Ortiz Leyba, C., Montejo González, J. C., Vaquerizo Alonso, C.","Nutrición Hospitalaria; 26(); 67-71","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800015&lang=pt" 
"S0212-16112011000800002-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Indications, timing and routes of nutrient delivery","Fernández-Ortega, J. F., Herrero Meseguer, J. I., Martínez García, P.","Nutrición Hospitalaria; 26(); 7-11","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800002&lang=pt" 
"S0212-16112011000800010-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Hyperglycemia and diabetes mellitus","Vaquerizo Alonso, C., Grau Carmona, T., Juan Díaz, M.","Nutrición Hospitalaria; 26(); 46-49","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800010&lang=pt" 
"S0212-16112011000800004-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Macronutrient and micronutrient requirements","Bonet Saris, A., Márquez Vácaro, J. A., Serón Arbeloa, C.","Nutrición Hospitalaria; 26(); 16-20","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800004&lang=pt" 
"S0212-16112011000800011-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Oncohematological patient","Planas, M., Fernández-Ortega, J. F., Abilés, J.","Nutrición Hospitalaria; 26(); 50-53","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800011&lang=pt" 
"S0212-16112011000800008-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Respiratory failure","Grau Carmona, T., López Martínez, J., Vila García, B.","Nutrición Hospitalaria; 26(); 37-40","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800008&lang=pt" 
"S0212-16112011000800009-esp","Guidelines for specialized nutritional and metabolic support in the critically-ill patient: Update. Consensus SEMICYUC-SENPE: Gastrointestinal surgery","Sánchez Álvarez, C., Zabarte Martínez de Aguirre, M., Bordejé Laguna, L.","Nutrición Hospitalaria; 26(); 41-45","Nutrición Hospitalaria","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112011000800009&lang=pt" 
"S1852-73532011000200001-arg","As várias faces de um ator político","Ostrensky, Eunice","Revista latinoamericana de filosofía; 37(2); 167-188","Revista latinoamericana de filosofía","Português","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532011000200001&lang=pt" 
"S1852-73532011000200002-arg","Una lectura epistémica de la falsedad material cartesiana","Zerbudis, Ezequiel","Revista latinoamericana de filosofía; 37(2); 189-212","Revista latinoamericana de filosofía","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532011000200002&lang=pt" 
"S1852-73532011000200003-arg","La vida propia del experimento: Un análisis crítico de la autonomía de la experimentación","Zuppone, Romina","Revista latinoamericana de filosofía; 37(2); 213-238","Revista latinoamericana de filosofía","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532011000200003&lang=pt" 
"S1852-73532011000200004-arg","","Forciniti, Martín S.","Revista latinoamericana de filosofía; 37(2); 239-241","Revista latinoamericana de filosofía","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532011000200004&lang=pt" 
"S1852-73532011000200005-arg","¿Qué es la justicia? Argumentos filosóficos sobre lo justo y lo injusto. Discusión sobre los cupos de raza y género","Oliveira, Martín","Revista latinoamericana de filosofía; 37(2); 241-243","Revista latinoamericana de filosofía","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532011000200005&lang=pt" 
"S1852-73532011000200006-arg","La Filosofía Moral de J. Ferrater Mora","García Valiña, Luis L.","Revista latinoamericana de filosofía; 37(2); 244-246","Revista latinoamericana de filosofía","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532011000200006&lang=pt" 
"S1852-73532011000200007-arg","Patricio Garrahan: (1938-2011)","Guariglia, Osvaldo","Revista latinoamericana de filosofía; 37(2); 247-247","Revista latinoamericana de filosofía","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532011000200007&lang=pt" 
"S1852-73532011000200008-arg","Horacio Arló-Costa: (1956-2011)","Cassini, Alejandro","Revista latinoamericana de filosofía; 37(2); 248-250","Revista latinoamericana de filosofía","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532011000200008&lang=pt" 
"S0719-04332011000200002-chl","THE ARGENTINE ECONOMY AFTER TWO CENTURIES","BUERA, FRANCISCO, NAVARRO, GASTÓN, NICOLINI, JUAN PABLO","Latin american journal of economics; 48(2); 133-156","Latin american journal of economics","Inglês","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-04332011000200002&lang=pt" 
"S0719-04332011000200003-chl","A UNIFIED GROWTH MODEL FOR INDEPENDENT CHILE","FUENTES, J. RODRIGO","Latin american journal of economics; 48(2); 157-179","Latin american journal of economics","Inglês","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-04332011000200003&lang=pt" 
"S0719-04332011000200004-chl","TWO HUNDRED YEARS OF COLOMBIAN ECONOMIC GROWTH: THE ROLE OF TFP","RIASCOS, ALVARO J","Latin american journal of economics; 48(2); 181-198","Latin american journal of economics","Inglês","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-04332011000200004&lang=pt" 
"S0719-04332011000200005-chl","VENEZUELA&#039;S GROWTH EXPERIENCE","BELLO, OMAR D, BLYDE, JUAN S, RESTUCCIA, DIEGO","Latin american journal of economics; 48(2); 199-226","Latin american journal of economics","Inglês","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-04332011000200005&lang=pt" 
"S0719-04332011000200006-chl","CATCH-UP GROWTH FOLLOWED BY STAGNATION: MEXICO, 1950-2010","KEHOE, TIMOTHY J, MEZA, FELIFE","Latin american journal of economics; 48(2); 227-268","Latin american journal of economics","Inglês","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-04332011000200006&lang=pt" 
"S0719-04332011000200001-chl","TWO CENTURIES OF ECONOMIC GROWTH: LATIN AMERICA AT ITS BICENTENNIAL CELEBRATION","SOTO, RAIMUNDO, ZURITA, FELIFE","Latin american journal of economics; 48(2); 113-132","Latin american journal of economics","Inglês","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-04332011000200001&lang=pt" 
"S2077-33232011000200002-bol","El Memorial de Charcas (1582)","Claros Arispe, Edwin","Revista Ciencia y Cultura; (27); 25-62","Revista Ciencia y Cultura","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232011000200002&lang=pt" 
"S2077-33232011000200003-bol","Annotaciones generales de la` lengva aymara (1584)","Claros Arispe, Edwin","Revista Ciencia y Cultura; (27); 68-80","Revista Ciencia y Cultura","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232011000200003&lang=pt" 
"S2077-33232011000200001-bol","Repartimiento de tierras por el Inca Huayna Capac (1556)","Claros Arispe, Edwin","Revista Ciencia y Cultura; (27); 7-22","Revista Ciencia y Cultura","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232011000200001&lang=pt" 
"S2077-33232011000200006-bol","Historia del santuario de Nuestra Señora de Copacabana (1653)","de la Calancha, Antonio, Claros Arispe, Edwin","Revista Ciencia y Cultura; (27); 131-151","Revista Ciencia y Cultura","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232011000200006&lang=pt" 
"S2077-33232011000200004-bol","Descripción y relación de la ciudad de La Paz (1586)","Claros Arispe, Edwin","Revista Ciencia y Cultura; (27); 83-103","Revista Ciencia y Cultura","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232011000200004&lang=pt" 
"S2077-33232011000200005-bol","Llegada de uno de los discípulos del Redentor al Nuevo Mundo. La Santa Cruz de Carabuco (1621)","Ramos Gavilán, Alonso, Claros Arispe, Edwin","Revista Ciencia y Cultura; (27); 106-129","Revista Ciencia y Cultura","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232011000200005&lang=pt" 
"S2077-33232011000200008-bol","La cruz de Carabuco en Bolivia (1897)","Bandelier, Adolfo F., Claros Arispe, Edwin","Revista Ciencia y Cultura; (27); 166-189","Revista Ciencia y Cultura","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232011000200008&lang=pt" 
"S2077-33232011000200007-bol","Tiahuanacu, el Balbec del nuevo mundo (1877)","Squier, Ephraim George, Claros Arispe, Edwin","Revista Ciencia y Cultura; (27); 153-163","Revista Ciencia y Cultura","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232011000200007&lang=pt" 
"S2077-33232011000200009-bol","La lengua de los antiguos indios de los Lagos Titicaca y Poopó y Río Desaguadero (1906)","Ballivián, Manuel V., Claros Arispe, Edwin","Revista Ciencia y Cultura; (27); 191-197","Revista Ciencia y Cultura","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232011000200009&lang=pt" 
"S0188-49992011000400002-mex","Biodisponibilidad y fraccionamiento de metales pesados en suelos agrícolas enmendados con biosólidos de origen municipal","GONZÁLEZ-FLORES, Eduardo, TORNERO-CAMPANTE, Mario Alberto, SANDOVAL-CASTRO, Engelberto, PÉREZ-MAGAÑA, Andrés, GORDILLO-MARTÍNEZ, Alberto José","Revista internacional de contaminación ambiental; 27(4); 290-301","Revista internacional de contaminación ambiental","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992011000400002&lang=pt" 
"S0188-49992011000400003-mex","Effects of sewage sludge and sewage sludge compost amendment on soil properties and Zea mays L. plants (heavy metals, quality and productivity)","VACA, Rocío, LUGO, Jorge, MARTÍNEZ, Ricardo, ESTELLER, María V., ZAVALETA, Hilda","Revista internacional de contaminación ambiental; 27(4); 304-311","Revista internacional de contaminación ambiental","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992011000400003&lang=pt" 
"S0188-49992011000400004-mex","Monitoreo de la concentración de nitrato en el acuífero del Valle de Puebla","BRENES, Ruby, CADENA, Arturo, RUIZ-GUERRERO, Rosario","Revista internacional de contaminación ambiental; 27(4); 313-321","Revista internacional de contaminación ambiental","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992011000400004&lang=pt" 
"S0188-49992011000400005-mex","Nuevo método para extraer Imazapyr del suelo sin el uso de solventes orgánicos","SOTO-BARAJAS, Milton, PRADO, Blanca, RAYMUNDO, Elías, HIDALGO, Claudia, ETCHEVERS, Jorge","Revista internacional de contaminación ambiental; 27(4); 323-332","Revista internacional de contaminación ambiental","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992011000400005&lang=pt" 
"S0188-49992011000400006-mex","Cálculo de indicadores de ecoeficiencia para dos empresas ladrilleras mexicanas","RINCÓN, Eric, WELLENS, Ann","Revista internacional de contaminación ambiental; 27(4); 333-345","Revista internacional de contaminación ambiental","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992011000400006&lang=pt" 
"S0188-49992011000400007-mex","Gestión de los residuos sólidos municipales en la ciudad del Gran Santiago de Chile: desafíos y oportunidades","VÁSQUEZ, Óscar C.","Revista internacional de contaminación ambiental; 27(4); 347-355","Revista internacional de contaminación ambiental","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992011000400007&lang=pt" 
"S0188-49992011000400008-mex","Hongos micorrízicos arbusculares y la fitorremediación de plomo","ALVARADO, Carlos J., DASGUPTA-SCHUBERT, Nabanita, AMBRIZ, Enrique, SÁNCHEZ-YAÑEZ, Juan M., VILLEGAS, Javier","Revista internacional de contaminación ambiental; 27(4); 357-364","Revista internacional de contaminación ambiental","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992011000400008&lang=pt" 
