"S0103-90162008000400006-scl","Temperature and modified atmosphere affect the quality of okra","Finger, Fernando Luiz, Della-Justina, Maria Edith, Casali, Vicente Wagner Dias, Puiatti, Mário","Scientia Agricola; 65(4); 360-364","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000400006&lang=pt" 
"S0717-73482008000300012-chl","XII. Modos ventilatorios en ventilación no invasiva","FERRERO R, GERARDO","Revista chilena de enfermedades respiratorias; 24(3); 240-250","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000300012&lang=pt" 
"S0717-73482008000300013-chl","XIII. Equipamiento en ventilación no invasiva","DÍAZ P, ORLANDO","Revista chilena de enfermedades respiratorias; 24(3); 251-262","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000300013&lang=pt" 
"S0717-73482008000300014-chl","XIV. Ventilación mecánica no invasiva en pediatría","CORRALES V, RAÚL J","Revista chilena de enfermedades respiratorias; 24(3); 263-265","Revista chilena de enfermedades respiratorias","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482008000300014&lang=pt" 
"S1413-78522008000400008-scl","Estudo anatômico do nervo isquiático em cadáveres: determinação de parâmetros de segurança para a via de acesso póstero-lateral do quadril","Auletta, Leandro Luis, Manoel, Bárbara de Oliveira, Mongon, Maurício Leal Dias, Caron, Mauro Duarte","Acta Ortopédica Brasileira; 16(4); 230-232","Acta Ortopédica Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522008000400008&lang=pt" 
"S1413-78522008000400012-scl","Fixação interna de fragmento osteocondral originado de osteocondrite dissecante do joelho","Vaz, Carlos Eduardo Sanches, Guarniero, Roberto, Santana, Paulo José de, Dal Molin, Éden, Morandini, Paulo Henrique","Acta Ortopédica Brasileira; 16(4); 247-249","Acta Ortopédica Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522008000400012&lang=pt" 
"S1413-78522008000400001-scl","Correlação entre o posicionamento dos parafusos pediculares no corpo vertebral e sua força de arrancamento","Rodrigues, Luciano Miller Reis, Fujiki, Edison Noburu., Yonezaki, Adriano Masayuki, Puertas, Eduardo Barros, Wajchenberg, Marcelo, Milani, Carlo","Acta Ortopédica Brasileira; 16(4); 197-200","Acta Ortopédica Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522008000400001&lang=pt" 
"S1413-78522008000400002-scl","Influência da manipulação prévia no tratamento e na recidiva local dos sarcomas de tecidos moles","Teixeira, Luiz Eduardo Moreira, Araújo, Ivana Duval, Miranda, Ricardo Horta, Magalhães, Gustavo Albergaria de, Ghedini, Daniel Ferreira, Andrade, Marco Antônio Percope de","Acta Ortopédica Brasileira; 16(4); 201-206","Acta Ortopédica Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522008000400002&lang=pt" 
"S1413-78522008000400003-scl","Lesão do ligamento cruzado anterior (LCA) do joelho em população indígena do estado do Amazonas, Brasil","Stewien, Eduardo Telles de Menezes, Melo, Elson Santos de, Pereira, Mauricio Alexandre de Meneses, Camargo, Osmar Pedro Arbix de","Acta Ortopédica Brasileira; 16(4); 204-206","Acta Ortopédica Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522008000400003&lang=pt" 
"S0211-57352008000200016-esp","Armando Bauleo, in memoriam","Gómez Esteban, Rosa","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 477-481","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200016&lang=pt" 
"S0211-57352008000200002-esp","Manuel Desviat y la contrarreforma psiquiátrica","","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 267-267","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200002&lang=pt" 
"S0211-57352008000200003-esp","A propósito de los trastornos límite","López Herrero, Luis-Salvador, González Lucas, María Elena, Linares Álvarez, Laura","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 271-283","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200003&lang=pt" 
"S0211-57352008000200008-esp","La singularidad del neologismo","Álvarez, José María, Peña, Juan de la","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 359-363","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200008&lang=pt" 
"S0211-57352008000200006-esp","La capacidad de los pacientes para tomar decisiones: una tarea todavía pendiente","Simón-Lorda, Pablo","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 327-350","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200006&lang=pt" 
"S0211-57352008000200010-esp","Entrevista con Geoffrey Lloyd","Colina, F., Jalón, M.","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 375-390","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200010&lang=pt" 
"S0211-57352008000200011-esp","¿Mujeres verdaderas o máscaras de la feminidad?: Personajes femeninos en la obra de Sándor Márai","Vaccari, Francisco","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 391-400","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200011&lang=pt" 
"S0211-57352008000200014-esp","Sobre la oportunidad de la rehabilitación psicosocial tras un primer brote: un caso clínico","Baldor Tubet, Isabel, Jerez Álvarez, Mª Carmen, Rullas Trincado, Margarita, González Cases, Juan","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 433-449","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200014&lang=pt" 
"S0211-57352008000200015-esp","Un programa de seguimiento comunitario de personas con enfermedad mental","Contreras, José Antonio, Navarro, Daniel","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 451-475","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200015&lang=pt" 
"S0211-57352008000200013-esp","Pre-juicios a la hora de pensar la nueva patología psiquiátrica","Manchado Romero, Segundo","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 421-432","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200013&lang=pt" 
"S0211-57352008000200005-esp","Funciones psicológicas y tratamiento de las rumiaciones obsesivas en el duelo","Payás Puigarnau, Alba","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 309-325","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200005&lang=pt" 
"S0211-57352008000200017-esp","","","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 485-522","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200017&lang=pt" 
"S0211-57352008000200001-esp","Ciencia y pseudociencia en salud mental: el &quot;síndrome de alienación parental&quot; (SAP): La apariencia científica como justificación para su uso en litigios por la custodia de los hijos","Escudero, Antonio","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 265-266","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200001&lang=pt" 
"S0211-57352008000200007-esp","Creacionismo","Munro, Alice","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 353-355","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200007&lang=pt" 
"S0211-57352008000200009-esp","Los neologismos","Morselli, Enrico, Vaccari, Francisco","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 365-371","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200009&lang=pt" 
"S0211-57352008000200012-esp","La melancolía hispana, entre la enfermedad, el carácter nacional y la moda social","Pujante, David","Revista de la Asociación Española de Neuropsiquiatría; 28(2); 401-418","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352008000200012&lang=pt" 
"S1413-78522008000400004-scl","Avaliação da neurólise ulnar na neuropatia hansênica","Jambeiro, Jorge Eduardo de Schoucair, Barbosa Júnior, Aryon de Almeida, Reis, Mitermayer Galvão, Guedes, Alex, Cordeiro Neto, Antero Tavares","Acta Ortopédica Brasileira; 16(4); 207-213","Acta Ortopédica Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522008000400004&lang=pt" 
"S1413-78522008000400005-scl","Estudo da influência do torque de inserção na resistência ao arrancamento dos parafusos pediculares","Leite, Vânia Custódio, Shimano, Antônio Carlos, Gonçalves, Gilson Antonio Pereira, Kandziora, Frank, Defino, Helton Luiz Aparecido","Acta Ortopédica Brasileira; 16(4); 214-216","Acta Ortopédica Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522008000400005&lang=pt" 
"S1413-78522008000400006-scl","Artroplastia total do quadril de Spotorno®","Macedo, Carlos Alberto de Souza, Scheidt, Rodrigo Benedet, Palma, Humberto Moreira, Rosito, Ricardo, Weissheimer Junior, Walmor, Galia, Carlos Roberto","Acta Ortopédica Brasileira; 16(4); 217-222","Acta Ortopédica Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522008000400006&lang=pt" 
"S1413-78522008000400007-scl","Cobertura do terço distal da perna com retalhos de perfurantes pediculados","Rezende, Marcelo Rosa de, Rabelo, Neilor Teófilo Araújo, Benabou, Joseph Elias, Wei, Teng Hsiang, Mattar Junior, Rames, Zumiotti, Arnaldo Valdir, Paula, Emygdio José Leomil de","Acta Ortopédica Brasileira; 16(4); 223-229","Acta Ortopédica Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522008000400007&lang=pt" 
"S1413-78522008000400009-scl","Lesões musculoesqueléticas na temporada de 2006 em atletas da seleção brasileira feminina principal de canoagem velocidade","Hensel, Paula, Perroni, Milena Gomes, Leal Junior, Ernesto Cesar Pinto","Acta Ortopédica Brasileira; 16(4); 233-237","Acta Ortopédica Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522008000400009&lang=pt" 
"S1413-78522008000400010-scl","Efeitos da estimulação elétrica neuromuscular no músculo sóleo de ratos: análise morfométrica e metabólica","Durigan, João Luiz Quagliotti, Cancelliero, Karina Maria, Guirro, Rinaldo Roberto de Jesus, Silva, Carlos Alberto da, Polacow, Maria Luiza Ozores","Acta Ortopédica Brasileira; 16(4); 238-241","Acta Ortopédica Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522008000400010&lang=pt" 
"S1413-78522008000400011-scl","Implicações sociais enfrentadas pelas famílias que possuem pacientes com sarcoma ósseo","Stolagli, Virginia Pinheiro, Evangelista, Maria Rosa Barral, Camargo, Olavo Pires de","Acta Ortopédica Brasileira; 16(4); 242-246","Acta Ortopédica Brasileira","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522008000400011&lang=pt" 
"S0100-85872008000200007-scl","Não é meu, nem é seu, mas tudo faz parte do axé: algumas considerações preliminares sobre o tema da propriedade de terreiros de candomblé","Baptista, José Renato de Carvalho","Religião &amp; Sociedade; 28(2); 138-155","Religião &amp; Sociedade","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-85872008000200007&lang=pt" 
"S0100-85872008000200009-scl","De la sanidad del cuerpo a la sanidad del alma: estudio sobre la lógica de construcción de las identidades colectivas en el neo-pentecostalismo argentino","Algranti, Joaquín","Religião &amp; Sociedade; 28(2); 179-209","Religião &amp; Sociedade","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-85872008000200009&lang=pt" 
"S0103-64402008000400001-scl","Comparative study of the cytotoxic effect of resilon against two cell lines","Economides, Nickolaos, koulaouzidou, Elisabeth A., Gogos, Christos, Kolokouris, Ioannis, Beltes, Panagiotis, Antoniades, Demetrios","Brazilian Dental Journal; 19(4); 291-295","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400001&lang=pt" 
"S0103-64402008000400002-scl","Quantitative radiographic evaluation of periapical bone resorption in dog&#039;s teeth contaminated with bacterial endotoxin (LPS) associated or not with calcium hydroxide","Silva, Léa Assed Bezerra da, Silva, Raquel Assed Bezerra da, Branco, Luis Guilherme Siqueira, Navarro, Valéria Pontelli, Nelson-Filho, Paulo","Brazilian Dental Journal; 19(4); 296-300","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400002&lang=pt" 
"S0103-64402008000400003-scl","In vitro antimicrobial activity of endodontic pastes with propolis extracts and calcium hydroxide: a preliminary study","Rezende, Giovanna Pires da Silva Ribeiro de, Costa, Luciane Ribeiro de Rezende Sucasas da, Pimenta, Fabiana Cristina, Baroni, Daniela Abrão","Brazilian Dental Journal; 19(4); 301-305","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400003&lang=pt" 
"S0103-64402008000400006-scl","Arginine and glutamate levels in the gingival crevicular fluid from patients with chronic periodontitis","Téllez, Narda, Aguilera, Natalia, Quiñónez, Belkis, Silva, Elizabeth, González, Luis Enrique, Hernández, Luis","Brazilian Dental Journal; 19(4); 318-322","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400006&lang=pt" 
"S0103-64402008000400008-scl","Fracture resistance of weakened roots restored with composite resin and glass fiber post","Zogheib, Lucas Villaça, Pereira, Jefferson Ricardo, Valle, Accácio Lins do, Oliveira, Jonas Alves de, Pegoraro, Luiz Fernando","Brazilian Dental Journal; 19(4); 329-333","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400008&lang=pt" 
"S0103-64402008000400012-scl","Bite force in temporomandibular dysfunction (TMD) and healthy complete denture wearers","Hotta, Patrícia Tiemy Hirono, Hotta, Takami Hirono, Bataglion, César, Pavão, Rogério Fávaro, Siéssere, Selma, Regalo, Simone Cecílio Hallak","Brazilian Dental Journal; 19(4); 354-357","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400012&lang=pt" 
"S0103-64402008000400013-scl","Relation between implant/abutment vertical misfit and torque loss of abutment screws","Barbosa, Gustavo Augusto Seabra, Bernardes, Sérgio Rocha, Neves, Flávio Domingues das, Fernandes Neto, Alfredo Júlio, Mattos, Maria da Glória Chiarello de, Ribeiro, Ricardo Faria","Brazilian Dental Journal; 19(4); 358-363","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400013&lang=pt" 
"S0103-64402008000400005-scl","Prevalence of endodontically treated teeth in a Brazilian adult population","Hollanda, Augusto César Braz, Alencar, Ana Helena Gonçalves de, Estrela, Cyntia Rodrigues de Araújo, Bueno, Mike Reis, Estrela, Carlos","Brazilian Dental Journal; 19(4); 313-317","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400005&lang=pt" 
"S0103-64402008000400014-scl","Improvement of XTT assay performance for studies involving Candida albicans biofilms","Silva, Wander José da, Seneviratne, Jayampath, Parahitiyawa, Nipuna, Rosa, Edvaldo Antonio Ribeiro, Samaranayake, Lakshman Perera, Cury, Altair Antoninha Del Bel","Brazilian Dental Journal; 19(4); 364-369","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400014&lang=pt" 
"S0103-64402008000400004-scl","Computed tomography assessment of the efficiency of different techniques for removal of root canal filling material","Dall&#039;agnol, Cristina, Hartmann, Mateus Silveira Martins, Barletta, Fernando Branco","Brazilian Dental Journal; 19(4); 306-312","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400004&lang=pt" 
"S0103-64402008000400007-scl","Short-Term effect of COX-2 selective inhibitor as an adjunct for the treatment of periodontal disease: a clinical double-blind study in humans","Pinho, Márcia de Noronha, Pereira, Leonardo Bíscaro, Souza, Sérgio Luís Scombatti de, Palioto, Daniela Bazan, Grisi, Márcio Fernando de Moraes, Novaes Jr., Arthur Belém, Taba Jr., Mario","Brazilian Dental Journal; 19(4); 323-328","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400007&lang=pt" 
"S0103-64402008000400011-scl","Effect of microwave disinfection on physical and mechanical properties of acrylic resins","Consant, Rafael Leonardo Xediek, Vieira, Erica Brenoe, Mesquita, Marcelo Ferraz, Mendes, Wilson Batista, Arioli-Filho, João Neudenir","Brazilian Dental Journal; 19(4); 348-353","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400011&lang=pt" 
"S0103-64402008000400015-scl","Evaluation of iris color stability in ocular prosthesis","Reis, Ricardo César dos, Dias, Reinaldo Brito e, Carvalho, Jose Carlos Mesquita","Brazilian Dental Journal; 19(4); 370-374","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400015&lang=pt" 
"S0103-56652008000200001-scl","Editorial","Arantes, Esther Maria M.","Psicologia Clínica; 20(2); -","Psicologia Clínica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-56652008000200001&lang=pt" 
"S0103-56652008000200008-scl","A extração da verdade e as técnicas inquisitórias voltadas para a criança e o adolescente","Aleixo, Klelia Canabrava","Psicologia Clínica; 20(2); 103-111","Psicologia Clínica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-56652008000200008&lang=pt" 
"S0103-56652008000200006-scl","Dor e desamparo: filhos e pais, 40 anos depois","Arantes, Maria Auxiliadora de Almeida Cunha","Psicologia Clínica; 20(2); 75-87","Psicologia Clínica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-56652008000200006&lang=pt" 
"S0103-56652008000200019-scl","Dissertações de Mestrado","","Psicologia Clínica; 20(2); 231-246","Psicologia Clínica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-56652008000200019&lang=pt" 
"S0103-56652008000200018-scl","Teses de Doutorado","","Psicologia Clínica; 20(2); 223-228","Psicologia Clínica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-56652008000200018&lang=pt" 
"S0103-56652008000200004-scl","Direitos Humanos: com Marx","Escobar, Carlos Henrique","Psicologia Clínica; 20(2); 47-59","Psicologia Clínica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-56652008000200004&lang=pt" 
"S0103-56652008000200005-scl","Diversidade sexual humana: notas para a discussão no âmbito da psicologia e dos direitos humanos","Toneli, Maria Juracy Filgueiras","Psicologia Clínica; 20(2); 61-73","Psicologia Clínica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-56652008000200005&lang=pt" 
"S0103-56652008000200009-scl","Diga-me agora... O depoimento sem dano em análise","Brito, Leila Maria Torraca de","Psicologia Clínica; 20(2); 113-125","Psicologia Clínica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-56652008000200009&lang=pt" 
"S0717-68482008000200005-chl","Haroldo Quinteros: la forma-Diario y los tiempos del testimonio","PERIS BLANES, JAUME","Acta literaria; (37); 55-66","Acta literaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482008000200005&lang=pt" 
"S0717-68482008000200008-chl","Jorge Luis Borges e Maurice Blanchot: Os pharmakós da escritura","Guimarães, Rodrigo","Acta literaria; (37); 97-109","Acta literaria","Português","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482008000200008&lang=pt" 
"S0717-68482008000200010-chl","Feminismo, género y diferencia(s) de Nelly Richard","FRANKEN, M. ANGÉLICA","Acta literaria; (37); 119-122","Acta literaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482008000200010&lang=pt" 
"S0102-79722008000300019-scl","Polifasia cognitiva e a estrutura icônica da representação social da morte","Nascimento, Alexsandro Medeiros do, Roazzi, Antonio","Psicologia: Reflexão e Crítica; 21(3); 499-508","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300019&lang=pt" 
"S0102-79722008000300018-scl","Representações sociais da depressão em jovens universitários com e sem sintomas para desenvolver a depressão","Fonseca, Aline Arruda da, Coutinho, Maria da Penha de Lima, Azevedo, Regina Lígia Wanderlei de","Psicologia: Reflexão e Crítica; 21(3); 492-498","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300018&lang=pt" 
"S0102-79722008000300021-scl","Programa &quot;PERCEP&quot; para controle experimental de pesquisa em julgamento temporal em humanos","Costa, Valéria Catelli Infantozzi, Paula, Eldereis de, Bueno, José Lino Oliveira, Xavier, Gilberto Fernando","Psicologia: Reflexão e Crítica; 21(3); 518-524","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300021&lang=pt" 
"S0102-79722008000300009-scl","Estresse e autoconceito em pais e mães de crianças com a síndrome do X-frágil","Cherubini, Zuleika Ana, Bosa, Cleonice Alves, Bandeira, Denise Ruschel","Psicologia: Reflexão e Crítica; 21(3); 409-417","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300009&lang=pt" 
"S0102-79722008000300012-scl","Teoria da mente e estados mentais de primeira e segunda ordem","Roazzi, Antonio, Santana, Suely de Melo","Psicologia: Reflexão e Crítica; 21(3); 437-445","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300012&lang=pt" 
"S0085-56262008000400020-scl","A new host record for Philornis (Diptera, Muscidae)","Franz, Ismael, Couri, Márcia S.","Revista Brasileira de Entomologia; 52(4); 669-670","Revista Brasileira de Entomologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400020&lang=pt" 
"S0085-56262008000400002-scl","General trends in world biogeographic literature: a preliminary bibliometric analysis","Morrone, Juan J., Guerrero, José C.","Revista Brasileira de Entomologia; 52(4); 493-499","Revista Brasileira de Entomologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400002&lang=pt" 
"S0085-56262008000400001-scl","Cem anos da Entomologia Forense no Brasil (1908-2008)","Pujol-Luz, José Roberto, Arantes, Luciano Chaves, Constantino, Reginaldo","Revista Brasileira de Entomologia; 52(4); 485-492","Revista Brasileira de Entomologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400001&lang=pt" 
"S0085-56262008000400007-scl","Dipterofauna do arquipélago de Fernando de Noronha (Pernambuco, Brasil)","Couri, Márcia Souto, Barros, Gabriel Pinto da Silva, Orsini, Marcelo Pinheiro","Revista Brasileira de Entomologia; 52(4); 588-590","Revista Brasileira de Entomologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400007&lang=pt" 
"S0085-56262008000400005-scl","Revisão das espécies de Melanosmicra Ashmead (Hymenoptera, Chalcididae)","Navarro-Tavares, Andrea Barbieri, Tavares, Marcelo Teixeira","Revista Brasileira de Entomologia; 52(4); 550-574","Revista Brasileira de Entomologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400005&lang=pt" 
"S0085-56262008000400015-scl","Occurrence, biology and behavior of Liogenys fuscus Blanchard (Insecta, Coleoptera, Scarabaeidae) in Aquidauana, Mato Grosso do Sul, Brazil","Rodrigues, Sérgio Roberto, Barbosa, Crislany de Lima, Puker, Anderson, Abot, Alfredo Raul, Ide, Sergio","Revista Brasileira de Entomologia; 52(4); 637-640","Revista Brasileira de Entomologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400015&lang=pt" 
"S0085-56262008000400019-scl","Culex nigripalpus Theobald (Diptera, Culicidae) feeding habit at the Parque Ecológico do Tietê, São Paulo, Brazil","Laporta, Gabriel Z., Crivelaro, Thaís B., Vicentin, Elaine C., Amaro, Priscila, Branquinho, Maria S., Sallum, Maria Anice M.","Revista Brasileira de Entomologia; 52(4); 663-668","Revista Brasileira de Entomologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400019&lang=pt" 
"S0085-56262008000400021-scl","Primeiro registro de Anopheles (Kerteszia) homunculus Komp (Diptera, Culicidae) no Estado do Espírito Santo, Brasil","Sallum, Maria Anice Mureb, Urbinatti, Paulo Roberto, Malafronte, Rosely dos Santos, Resende, Helder Ricas, Cerutti Jr, Crispim, Natal, Delsio","Revista Brasileira de Entomologia; 52(4); 671-673","Revista Brasileira de Entomologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400021&lang=pt" 
"S0102-79722008000300002-scl","Pesquisa e prática clínica: construindo articulações teóricas","Féres-Carneiro, Terezinha","Psicologia: Reflexão e Crítica; 21(3); 349-355","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300002&lang=pt" 
"S0102-79722008000300004-scl","Caracterização de brincadeiras de crianças em idade escolar","Cordazzo, Scheila Tatiana Duarte, Vieira, Mauro Luís","Psicologia: Reflexão e Crítica; 21(3); 365-373","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300004&lang=pt" 
"S0102-79722008000300005-scl","O contexto das brincadeiras das crianças ribeirinhas da Ilha do Combu","Teixeira, Sônia Regina dos Santos, Alves, José Moysés","Psicologia: Reflexão e Crítica; 21(3); 374-382","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300005&lang=pt" 
"S0102-79722008000300006-scl","Interação entre crianças com necessidades especiais em contexto lúdico: possibilidades de desenvolvimento","Souza, Carolina Molina Lucenti de, Batista, Cecilia Guarnieri","Psicologia: Reflexão e Crítica; 21(3); 383-391","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300006&lang=pt" 
