"S1516-84842016000200158-scl","Involvement of cranial nerves in a patient with secondary central nervous system lymphoma","Azevedo, Roberta Dantas, Reis, Fabiano, Delamain, Marcia Torresan, Souza, Cármino Antônio de","Revista Brasileira de Hematologia e Hemoterapia; 38(2); 158-160","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000200158&lang=pt" 
"S0001-37652016000300959-scl","An examination of soil and water conservation practices in the paddy fields of Guilan province, Iran","ASHOORI, DARYOUSH, BAGHERI, ASGHAR, ALLAHYARI, MOHAMMAD S., AL-RIMAWI, AHMAD S.","Anais da Academia Brasileira de Ciências; 88(2); 959-971","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000300959&lang=pt" 
"S0001-37652016000300791-scl","Application of modified simplex on the development of a preconcentration system for cadmium determination in sediments, food and cigarettes","SANTOS, QUEILA O., MORENO, ISLANIA, SANTOS, LEANDRO DOS, SANTOS, ALDENOR G., SOUZA, VALDINEI S., BEZERRA, MARCOS A.","Anais da Academia Brasileira de Ciências; 88(2); 791-799","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000300791&lang=pt" 
"S0001-37652016000300989-scl","Branching, flowering and fruiting of Jatropha curcas treated with ethephon or benzyladenine and gibberellins","Costa, Anne P., Vendrame, Wagner, Nietsche, Sílvia, Crane, Jonathan, Moore, Kimberly, Schaffer, Bruce","Anais da Academia Brasileira de Ciências; 88(2); 989-998","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000300989&lang=pt" 
"S0001-37652016000300847-scl","Dating of fossil human teeth and shells from Toca do Enoque site at Serra das Confusões National Park, Brazil","KINOSHITA, ANGELA, SULLASI, HENRY L., ASFORA, VIVIANE K., AZEVEDO, RENATA L., GUZZO, PEDRO, GUIDON, NIEDE, FIGUEIREDO, ANA MARIA G., KHOURY, HELEN, PESSIS, ANNE-MARIE, BAFFA, OSWALDO","Anais da Academia Brasileira de Ciências; 88(2); 847-855","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000300847&lang=pt" 
"S0001-37652016000300751-scl","Relevance of Hydrodynamic Effects for the Calculation of Outer Surface Potential of Biological Membrane Using Electrophoretic Data","SILVA JUNIOR, IZAN M., CASTRO, MARIA CLÍCIA S., SILVA, DILSON, CORTEZ, CÉLIA M.","Anais da Academia Brasileira de Ciências; 88(2); 751-763","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000300751&lang=pt" 
"S0001-37652016000301045-scl","A contribution to the identification of charcoal origin in Brazil II - Macroscopic characterization of Cerrado species","GONÇALVES, THAÍS A.P., NISGOSKI, SILVANA, OLIVEIRA, JULIA S., MARCATI, CARMEN R., BALLARIN, ADRIANO W., MUÑIZ, GRACIELA I.B.","Anais da Academia Brasileira de Ciências; 88(2); 1045-1054","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000301045&lang=pt" 
"S0001-37652016000301011-scl","Probiotic level effects on growth performance, carcass traits, blood parameters, cecal microbiota, and immune response of broilers","POURAKBARI, MOHAMMADREZA, SEIDAVI, ALIREZA, ASADPOUR, LEILA, MARTÍNEZ, ANDRÉS","Anais da Academia Brasileira de Ciências; 88(2); 1011-1021","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000301011&lang=pt" 
"S0001-37652016000301079-scl","Influence of Duroc breed inclusion into Polish Landrace maternal line on pork meat quality traits","GUZEK, DOMINIKA, GŁĄBSKA, DOMINIKA, GŁĄBSKI, KRZYSZTOF, WIERZBICKA, AGNIESZKA","Anais da Academia Brasileira de Ciências; 88(2); 1079-1088","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000301079&lang=pt" 
"S0001-37652016000300765-scl","Tunneling effects in resonant acoustic scattering of an air bubble in unbounded water","SIMÃO, ANDRÉ G., GUIMARÃES, LUIZ G.","Anais da Academia Brasileira de Ciências; 88(2); 765-790","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000300765&lang=pt" 
"S0001-37652016000300891-scl","The influence of fire on the assemblage structure of foraging birds in grasslands of the Serra da Canastra National Park, Brazil","Reis, Matheus G., Fieker, Carolline Z., Dias, Manoel M.","Anais da Academia Brasileira de Ciências; 88(2); 891-901","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000300891&lang=pt" 
"S0001-37652016000300923-scl","Mesothelin as a biomarker for ovarian carcinoma: a meta-analysis","MADEIRA, KRISTIAN, DONDOSSOLA, EDUARDO R., FARIAS, BRUNA F. DE, SIMON, CARLA S., ALEXANDRE, MARIA C.M., SILVA, BRUNO R., ROSA, MARIA INÊS","Anais da Academia Brasileira de Ciências; 88(2); 923-932","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000300923&lang=pt" 
"S0001-37652016000301069-scl","Physiological behavior of bean&#039;s seeds and grains during storage","CASSOL, FLÁVIA D.R., FORTES, ANDRÉA M.T., MENDONÇA, LORENA C., BUTURI, CAMILA V., MARCON, THAÍS R.","Anais da Academia Brasileira de Ciências; 88(2); 1069-1077","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000301069&lang=pt" 
"S1518-70122016000200223-scl","Produtividade, variação da eficiência técnica e tecnológica na agricultura dos municípios cearences","Araújo, William Bruno Cerqueira, Araujo, Jair Andrade","Interações (Campo Grande); 17(2); 223-233","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000200223&lang=pt" 
"S1678-77572016000300239-scl","The effects of supplemental melatonin administration on the healing of bone defects in streptozotocin-induced diabetic rats","YILDIRIMTURK, Senem, BATU, Sule, ALATLI, Canan, OLGAC, Vakur, FIRAT, Deniz, SIRIN, Yigit","Journal of Applied Oral Science; 24(3); 239-249","Journal of Applied Oral Science","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572016000300239&lang=pt" 
"S1678-77572016000300188-scl","Effects of cervical mobilization and exercise on pain, movement and function in subjects with temporomandibular disorders: a single group pre-post test","CALIXTRE, Letícia Bojikian, GRÜNINGER, Bruno Leonardo da Silva, HAIK, Melina Nevoeiro, ALBURQUERQUE-SENDÍN, Francisco, OLIVEIRA, Ana Beatriz","Journal of Applied Oral Science; 24(3); 188-197","Journal of Applied Oral Science","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572016000300188&lang=pt" 
"S2175-78602016000200427-scl","Are the wing&#039;s cells alive? Study case in Vriesea trichomes","Kowalski, Vanessa Koza, Pereira, Pamella Paula Diniz Alves, Oliveira, Fernanda Maria Cordeiro de, Costa, Maria Eugênia, Tardivo, Rosangela Capuano","Rodriguésia; 67(2); 427-435","Rodriguésia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000200427&lang=pt" 
"S1678-77572016000300211-scl","Effect of green tea extract on bonding durability of an etch-and-rinse adhesive system to caries-affected dentin","CARVALHO, Carolina, FERNANDES, Fernando Pelegrim, FREITAS, Valeria da Penha, FRANÇA, Fabiana Mantovani Gomes, BASTING, Roberta Tarkany, TURSSI, Cecilia Pedroso, AMARAL, Flávia Lucisano Botelho","Journal of Applied Oral Science; 24(3); 211-217","Journal of Applied Oral Science","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572016000300211&lang=pt" 
"S1678-77572016000300250-scl","Liver proteome of mice with different genetic susceptibilities to the effects of fluoride","KHAN, Zohaib Nisar, LEITE, Aline de Lima, CHARONE, Senda, SABINO, Isabela Tomazini, MARTINI, Tatiana, PEREIRA, Heloísa Aparecida Barbosa da Silva, OLIVEIRA, Rodrigo Cardoso, BUZALAF, Marília Afonso Rabelo","Journal of Applied Oral Science; 24(3); 250-257","Journal of Applied Oral Science","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572016000300250&lang=pt" 
"S1518-70122016000200193-scl","Territórios da Cidadania do estado de Mato Grosso: uma avaliação socioeconômica utilizando o índice FIRJAN","Cócaro, Henri, Cardoso, Raquel Finamor, Pereira, José Roberto","Interações (Campo Grande); 17(2); 193-209","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000200193&lang=pt" 
"S1678-77572016000300223-scl","CO2 laser and/or fluoride enamel treatment against in situ/ex vivo erosive challenge","JORDÃO, Maísa Camillo, FORTI, Gustavo Manzano, NAVARRO, Ricardo Scarparo, FREITAS, Patrícia Moreira, HONÓRIO, Heitor Marques, RIOS, Daniela","Journal of Applied Oral Science; 24(3); 223-228","Journal of Applied Oral Science","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572016000300223&lang=pt" 
"S1678-77572016000300204-scl","Effect of addition of nano-hydroxyapatite on physico-chemical and antibiofilm properties of calcium silicate cements","GUERREIRO-TANOMARU, Juliane Maria, VÁZQUEZ-GARCÍA, Fernando Antonio, BOSSO-MARTELO, Roberta, BERNARDI, Maria Inês Basso, FARIA, Gisele, TANOMARU FILHO, Mario","Journal of Applied Oral Science; 24(3); 204-210","Journal of Applied Oral Science","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572016000300204&lang=pt" 
"S1518-70122016000200163-scl","Conselho Municipal de Saúde sob a ótica de seus conselheiros: estudo realizado em uma capital brasileira","Lopes, Bruno de Jesus, Silva, Edson Arlindo, Martins, Simone","Interações (Campo Grande); 17(2); 163-172","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000200163&lang=pt" 
"S1678-77572016000300291-scl","Tissue dissolution and modifications in dentin composition by different sodium hypochlorite concentrations","TARTARI, Talita, BACHMANN, Luciano, MALIZA, Amanda Garcia Alves, ANDRADE, Flaviana Bombarda, DUARTE, Marco Antonio Hungaro, BRAMANTE, Clovis Monteiro","Journal of Applied Oral Science; 24(3); 291-298","Journal of Applied Oral Science","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572016000300291&lang=pt" 
"S2175-78602016000200347-scl","Economia de pólen favorecida pela heteranteria em Desmocelis villosa (Melastomataceae)","Ferreira, Queroanne Isabel Xavier, Araújo, Francielle Paulina de","Rodriguésia; 67(2); 347-355","Rodriguésia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000200347&lang=pt" 
"S2175-78602016000200533-scl","What is the name of the babassu? A note on the confusing use of scientific names for this important palm tree","Cavallari, Marcelo Mattos, Toledo, Marcos Miranda","Rodriguésia; 67(2); 533-538","Rodriguésia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000200533&lang=pt" 
"S2175-78602016000200445-scl","Behuria, Bertolonia, Cambessedesia, Huberia e Mouriri, e chave para identificação de gêneros de Melastomataceae no Estado do Paraná","Goldenberg, Renato, Bacci, Lucas Freitas, Bochorny, Thuane","Rodriguésia; 67(2); 445-454","Rodriguésia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000200445&lang=pt" 
"S2175-78602016000200455-scl","A tribo Senecioneae (Asteraceae) em Minas Gerais, Brasil","Teles, Aristônio M., Stehmann, João Renato","Rodriguésia; 67(2); 455-487","Rodriguésia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000200455&lang=pt" 
"S1678-77572016000300229-scl","Frequency of periodontal pathogens and Helicobacter pylori in the mouths and stomachs of obese individuals submitted to bariatric surgery: a cross-sectional study","PATARO, André Luiz, CORTELLI, Sheila Cavalca, ABREU, Mauro Henrique Nogueira Guimarães, CORTELLI, José Roberto, FRANCO, Gilson Cesar Nobre, AQUINO, Davi Romeiro, COTA, Luis Otavio Miranda, COSTA, Fernando Oliveira","Journal of Applied Oral Science; 24(3); 229-238","Journal of Applied Oral Science","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572016000300229&lang=pt" 
"S1518-70122016000200290-scl","Développement durable, paysage, lien social en Seine-Eure (Normandie)","Dris, Nassima","Interações (Campo Grande); 17(2); 290-299","Interações (Campo Grande)","Francês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000200290&lang=pt" 
"S1518-70122016000200339-scl","Ignacy Sachs&#039;s conceptsand the contribution to studies in Local Development: a small reflection","Coutinho, Dolores Pereira Ribeiro, Pompeu, Adriano Marinheiro, Oliveira Junior, Marcos Fermau de","Interações (Campo Grande); 17(2); 339-346","Interações (Campo Grande)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000200339&lang=pt" 
"S1678-77572016000300218-scl","Selective 5-HT7 receptor agonists LP 44 and LP 211 elicit an analgesic effect on formalin-induced orofacial pain in mice","DEMİRKAYA, Kadriye, AKGÜN, Özlem Martı, ŞENEL, Buğra, ÖNCEL TORUN, Zeynep, SEYREK, Melik, LACİVİTA, Enza, LEOPOLDO, Marcello, DOĞRUL, Ahmet","Journal of Applied Oral Science; 24(3); 218-222","Journal of Applied Oral Science","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572016000300218&lang=pt" 
"S1678-77572016000300271-scl","Effects of budlein A on human neutrophils and lymphocytes","KNOB, Carollinie Dias, SILVA, Milena, GASPAROTO, Thaís Helena, OLIVEIRA, Carine Ervolino, AMÔR, Nádia Ghinelli, ARAKAWA, Nilton Syogo, COSTA, Fernando Batista, CAMPANELLI, Ana Paula","Journal of Applied Oral Science; 24(3); 271-277","Journal of Applied Oral Science","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572016000300271&lang=pt" 
"S1678-77572016000300198-scl","Evaluation of the remineralization capacity of CPP-ACP containing fluoride varnish by different quantitative methods","SAVAS, Selcuk, KAVRÌK, Fevzi, KUCUKYÌLMAZ, Ebru","Journal of Applied Oral Science; 24(3); 198-203","Journal of Applied Oral Science","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572016000300198&lang=pt" 
"S2175-78602016000200489-scl","Euphorbiaceae na Serra Geral de Licínio de Almeida, Bahia, Brasil","Hurbath, Fernanda, Torres, Daniela Santos Carneiro, Roque, Nádia","Rodriguésia; 67(2); 489-531","Rodriguésia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000200489&lang=pt" 
"S2175-78602016000200379-scl","Biologia reprodutiva de Campylocentrum micranthum (Orchidaceae, Angraecinae)","Cabral, Paulo Roberto de Medeiros, Pansarin, Emerson Ricardo","Rodriguésia; 67(2); 379-386","Rodriguésia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000200379&lang=pt" 
"S2175-78602016000200387-scl","Biologia reprodutiva e flores de óleo em Cipura paludosa (Iridaceae)","Santos, Juliana Silva dos, Athiê-Souza, Sarah Maria, Almeida, Natan Messias, Castro, Cibele Cardoso de","Rodriguésia; 67(2); 387-393","Rodriguésia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000200387&lang=pt" 
"S1678-77572016000300299-scl","Fifty years of Brazilian Dental Materials Group: scientific contributions of dental materials field evaluated by systematic review","ROSA, Wellington Luiz de Oliveira, SILVA, Tiago Machado, LIMA, Giana da Silveira, SILVA, Adriana Fernandes, PIVA, Evandro","Journal of Applied Oral Science; 24(3); 299-307","Journal of Applied Oral Science","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572016000300299&lang=pt" 
"S1678-77572016000300278-scl","TNF-alpha expression, evaluation of collagen, and TUNEL of Matricaria recutita L. extract and triamcinolone on oral ulcer in diabetic rats","OLIVEIRA, Bruna Vasconcelos, BARROS SILVA, Paulo Goberlânio, NOJOSA, Jacqueline de Santiago, BRIZENO, Luiz André Cavalcante, FERREIRA, Jamile Magalhães, SOUSA, Fabrício Bitú, MOTA, Mário Rogério Lima, ALVES, Ana Paula Negreiros Nunes","Journal of Applied Oral Science; 24(3); 278-290","Journal of Applied Oral Science","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572016000300278&lang=pt" 
"S1870-46702016000100003-mex","La justicia social desde un nuevo enfoque de la justicia. Análisis del mandato de la organización internacional del trabajo conforme al concepto moderno de la justicia (segunda parte)","Hernández Pulido, J. Ricardo","Revista latinoamericana de derecho social; (22); -","Revista latinoamericana de derecho social","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46702016000100003&lang=pt" 
"S1808-86942016000300263-scl","The role of aspirin desensitization in patients with aspirin-exacerbated respiratory disease (AERD)","Spies, Jonas Willian, Valera, Fabiana Cardoso Pereira, Cordeiro, Daniel Loiola, Mendonça, Taís Nociti de, Leite, Marcelo Gonçalves Junqueira, Tamashiro, Edwin, Arruda, Luiza Karla, Anselmo-Lima, Wilma Terezinha","Brazilian Journal of Otorhinolaryngology; 82(3); 263-268","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000300263&lang=pt" 
"S1808-86942016000300304-scl","Temporal processing in postlingual adult users of cochlear implant","Duarte, Maycon, Gresele, Amanda Dal Piva, Pinheiro, Maria Madalena Canina","Brazilian Journal of Otorhinolaryngology; 82(3); 304-309","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000300304&lang=pt" 
"S1808-86942016000300326-scl","Speech nasality and nasometry in cleft lip and palate","Larangeira, Fabiane Rodrigues, Dutka, Jeniffer de Cássia Rillo, Whitaker, Melina Evangelista, Souza, Olívia Mesquita Vieira de, Lauris, José Roberto Pereira, Silva, Mariana Jales Felix da, Pegoraro-Krook, Maria Inês","Brazilian Journal of Otorhinolaryngology; 82(3); 326-333","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000300326&lang=pt" 
"S1870-46702016000100005-mex","Empleo y protecciones sociales, ¿dos caras de la misma moneda? reflexiones en torno a la regulación del servicio doméstico en Argentina","Poblete, Lorena","Revista latinoamericana de derecho social; (22); -","Revista latinoamericana de derecho social","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46702016000100005&lang=pt" 
"S1808-86942016000300334-scl","Speech recognition in individuals with sensorineural hearing loss","Andrade, Adriana Neves de, Iorio, Maria Cecilia Martinelli, Gil, Daniela","Brazilian Journal of Otorhinolaryngology; 82(3); 334-340","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000300334&lang=pt" 
"S1870-46702016000100002-mex","La jubilación a edad ordinaria reducida de los pilotos de líneas aéreas desde la perspectiva de la sostenibilidad del sistema de seguridad social en España","Elorza Guerrero, Fernando","Revista latinoamericana de derecho social; (22); -","Revista latinoamericana de derecho social","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46702016000100002&lang=pt" 
"S1808-86942016000300275-scl","Partial laryngectomy in glottic cancer: complications and oncological results","Graciano, Agnaldo José, Sonagli, Marina, Silva, Ana Gabriela Clemente da, Fischer, Carlos Augusto, Chone, Carlos Takahiro","Brazilian Journal of Otorhinolaryngology; 82(3); 275-280","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000300275&lang=pt" 
"S0120-41572016000200007-col","La lipocalina asociada con la gelatinasa de neutrófilos como factor temprano de predicción de la función retardada del injerto renal","Nieto-Ríos, John Fredy, Serna-Higuita, Lina María, Ocampo-Kohn, Catalina, Aristizábal-Alzate, Arbey, Vélez-Echeverry, Catalina, Vanegas-Ruíz, Juan José, Bedoya, Ana María, Lopera, Sandra Lucía, Rojano-Held, Nury, Giraldo, Nelson Darío, Zuluaga-Valencia, Gustavo Adolfo","Biomédica; 36(2); 213-219","Biomédica","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572016000200007&lang=pt" 
"S0120-41572016000200011-col","Medication errors in outpatient care in Colombia, 2005-2013","Machado-Alba, Jorge E., Moncada, Juan Carlos, Moreno-Gutiérrez, Paula Andrea","Biomédica; 36(2); 251-257","Biomédica","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572016000200011&lang=pt" 
"S0120-41572016000200017-col","Presencia de Aedes ( Stegomyia ) aegypti (Linnaeus, 1762) y su infección natural con el virus del dengue en alturas no registradas para Colombia","Ruiz-López, Freddy, González-Mazo, Ana, Vélez-Mira, Andrés, Gómez, Giovan F., Zuleta, Luisa, Uribe, Sandra, Vélez-Bernal, Iván Darío","Biomédica; 36(2); 303-308","Biomédica","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572016000200017&lang=pt" 
"S0120-41572016000200001-col","Aedes aegypti en el área rural: implicaciones en salud pública","Olano, Víctor Alberto","Biomédica; 36(2); 169-173","Biomédica","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572016000200001&lang=pt" 
"S0120-41572016000200014-col","Tratamiento farmacológico y deterioro de la función pulmonar en pacientes con diabetes de tipo 2: un estudio de corte transversal","Vargas, Henry A., Rondón, Martín, Dennis, Rodolfo","Biomédica; 36(2); 276-284","Biomédica","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572016000200014&lang=pt" 
"S1870-46702016000100013-mex","Mangarelli, Cristina, Acoso y violencia en el trabajo. Enfoque jurídico","Delgado Rivera, Carlos Eduardo","Revista latinoamericana de derecho social; (22); -","Revista latinoamericana de derecho social","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46702016000100013&lang=pt" 
"S0120-41572016000200012-col","Asociación entre la fuerza de las piernas y el área de sección muscular transversal del músculo cuádriceps femoral y el grado de actividad física en octogenarios","Latorre-Román, Pedro Á., Arévalo-Arévalo, Juan Manuel, García-Pinillos, Felipe","Biomédica; 36(2); 258-264","Biomédica","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572016000200012&lang=pt" 
"S1808-86942016000300251-scl","Innovative therapeutic targets in chronic sinusitis with nasal polyps","Bachert, Claus","Brazilian Journal of Otorhinolaryngology; 82(3); 251-252","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000300251&lang=pt" 
"S0120-41572016000200004-col","Síndrome de Li-Fraumeni","Ossa, Carlos Andrés, Molina, Gustavo, Cock-Rada, Alicia María","Biomédica; 36(2); 182-187","Biomédica","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572016000200004&lang=pt" 
"S0120-41572016000200009-col","Acción de la estreptozotocina en un modelo experimental de inducción neonatal de la diabetes","Bequer, Leticia, Gómez, Tahiry, Molina, José Luis, Artiles, Daniel, Bermúdez, Rosa, Clapés, Sonia","Biomédica; 36(2); 230-238","Biomédica","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572016000200009&lang=pt" 
"S0120-41572016000200010-col","Las células dendríticas generadas en presencia de vitamina D3 y activadas con lipopolisacáridos incrementan la producción de IL-1 β, IL-8 e IL-10 y disminuyen su capacidad de inducir LT CD4 + CD25 hi Foxp3 +","Muñoz, Sindy M., Rodríguez, Luz Stella","Biomédica; 36(2); 239-250","Biomédica","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572016000200010&lang=pt" 
"S1870-46702016000100006-mex","El Instituto Mexicano del Seguro Social ante el pago de gastos médicos erogados por derechohabientes en el extranjero","Romero Reyes, Alejandro","Revista latinoamericana de derecho social; (22); -","Revista latinoamericana de derecho social","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46702016000100006&lang=pt" 
"S1870-46702016000100010-mex","La transparencia sindical en el ejercicio de recursos públicos","Kurczyn Villalobos, Patricia","Revista latinoamericana de derecho social; (22); -","Revista latinoamericana de derecho social","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46702016000100010&lang=pt" 
"S1870-46702016000100011-mex","Mugnolo, Juan Pablo y Zavala Gamboa, Óscar (coords.), Panorama del derecho del trabajo y de la seguridad social en América Latina","Cilia Luna, Gloria del Mar, Aparicio Velázquez, José Alfonso","Revista latinoamericana de derecho social; (22); -","Revista latinoamericana de derecho social","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46702016000100011&lang=pt" 
"S1870-46702016000100012-mex","Sánchez Castañeda, Alfredo y Morales Ramírez, María Ascensión, El derecho a la seguridad social y a la protección social","Camacho Solís, Julio Ismael","Revista latinoamericana de derecho social; (22); -","Revista latinoamericana de derecho social","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46702016000100012&lang=pt" 
"S1870-46702016000100001-mex","Un análisis de la seguridad y salud en el trabajo en el sistema empresarial cubano","Céspedes Socarrás, Gustavo Manuel, Martínez Cumbrera, Jorge Manuel","Revista latinoamericana de derecho social; (22); -","Revista latinoamericana de derecho social","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46702016000100001&lang=pt" 
"S0718-34292016000300008-chl","La polinización en los sistemas de producción agrícola: revisión sistemática de la literatura","García García, Marta, Ríos Osorio, Leonardo Alberto, Álvarez del Castillo, Javier","Idesia (Arica); 34(3); 53-68","Idesia (Arica)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292016000300008&lang=pt" 
"S0719-367X2016000100004-chl","Publicidad ilícita, productos saludables y autorregulación","Perelló Oliver, Salvador, Muela Molina, Clara, Hormigos Ruiz, Jaime","Cuadernos.info; (38); 51-67","Cuadernos.info","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-367X2016000100004&lang=pt" 
"S0256-95742016000600033-sza","Hepatitis B infection in HIV-1-infected patients receiving highly active antiretroviral therapy in Lomé, Togo: Prevalence and molecular consequences","Patassi, A A, Benaboud, S, Landoh, D E, Salou, M, Claver Dagnra, A, Saka, B, Krivine, A, Meritet, J-F, Pitché, P, Salmon-Ceron, D","SAMJ: South African Medical Journal; 106(6); 634-639","SAMJ: South African Medical Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742016000600033&lang=pt" 
"S1679-78252016000601054-scl","Path Planning for Unmanned Underwater Vehicle in 3D Space with Obstacles Using Spline-Imperialist Competitive Algorithm and Optimal Interval Type-2 Fuzzy Logic Controller","Zakeri, Ehsan, Farahat, Said, Moezi, Seyed Alireza, Zare, Amin","Latin American Journal of Solids and Structures; 13(6); 1054-1085","Latin American Journal of Solids and Structures","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252016000601054&lang=pt" 
