"S0103-05822009000100005-scl","Soropositividade para doença celíaca em crianças e adolescentes com baixa estatura","Gueiros, Ana Carla L. N., Silva, Giselia Alves P.","Revista Paulista de Pediatria; 27(1); 28-32","Revista Paulista de Pediatria","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822009000100005&lang=pt" 
"S1516-44462009000100017-scl","Physical exercise for pathological gamblers","Angelo, Daniela Lopes, Tavares, Hermano, Bottura, Henrique Moura Leite, Zilberman, Monica L.","Revista Brasileira de Psiquiatria; 31(1); 76-76","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100017&lang=pt" 
"S1516-44462009000100015-scl","Moléculas que marcam o tempo: implicações para os fenótipos circadianos","Pereira, Danyella Silva, Tufik, Sergio, Pedrazzoli, Mario","Revista Brasileira de Psiquiatria; 31(1); 63-71","Revista Brasileira de Psiquiatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100015&lang=pt" 
"S1516-44462009000100023-scl","Fundamentos e prática em hospital-dia e reabilitação psicossocial","Mateus, Mario Dinis","Revista Brasileira de Psiquiatria; 31(1); 83-83","Revista Brasileira de Psiquiatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100023&lang=pt" 
"S1516-44462009000100022-scl","Cannabis e saúde mental: uma revisão sobre a droga de abuso e o medicamento","Kessler, Felix","Revista Brasileira de Psiquiatria; 31(1); 82-82","Revista Brasileira de Psiquiatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100022&lang=pt" 
"S1516-44462009000100021-scl","Bipolar patients treated for hepatitis C with interferon alpha","Quarantini, Lucas C., Powell, Vania B., Nery-Fernandes, Fabiana, Oliveira, Irismar R. de, Miranda-Scippa, Angela","Revista Brasileira de Psiquiatria; 31(1); 80-81","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100021&lang=pt" 
"S1516-44462009000100024-scl","ERRATA","","Revista Brasileira de Psiquiatria; 31(1); 84-84","Revista Brasileira de Psiquiatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100024&lang=pt" 
"S1516-44462009000100016-scl","Mentalization-based treatment for patients with borderline personality disorder: an overview","Eizirik, Mariana, Fonagy, Peter","Revista Brasileira de Psiquiatria; 31(1); 72-75","Revista Brasileira de Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100016&lang=pt" 
"S1516-35982009000300005-scl","Seed controlled deterioration of three interspecific elephant grass × pearl millet hybrids","Pozitano, Marina, Usberti, Roberto","Revista Brasileira de Zootecnia; 38(3); 428-434","Revista Brasileira de Zootecnia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300005&lang=pt" 
"S1516-35982009000300024-scl","Influência do nitrogênio degradável no rúmen sobre a degradabilidade in situ, os parâmetros ruminais e a eficiência de síntese microbiana em novilhos alimentados com cana-de-açúcar","Silveira, Roselene Nunes da, Berchielli, Telma Teresinha, Canesin, Roberta Carrilho, Messana, Juliana Duarte, Fernandes, Juliano José de Resende, Pires, Alexandre Vaz","Revista Brasileira de Zootecnia; 38(3); 570-579","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300024&lang=pt" 
"S0004-282X2009000100006-scl","Olfaction and essential tremor","Quagliato, Lucas Barasnevicius, Viana, Maura Aparecida, Quagliato, Elizabeth Maria Aparecida Barasnevicius, Simis, Samuel","Arquivos de Neuro-Psiquiatria; 67(1); 21-24","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100006&lang=pt" 
"S0004-282X2009000100009-scl","Obstructive Sleep Apnea (OSA) and depressive symptoms","Dominici, Michele, Gomes, Marleide da Mota","Arquivos de Neuro-Psiquiatria; 67(1); 35-39","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100009&lang=pt" 
"S0004-282X2009000100013-scl","Concepts of color, shape, size and position in ten children with Rett syndrome","Velloso, Renata de Lima, Araújo, Ceres Alves de, Schwartzman, José Salomão","Arquivos de Neuro-Psiquiatria; 67(1); 50-54","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100013&lang=pt" 
"S0004-282X2009000100018-scl","Stereotactic biopsies of brain lesions","Teixeira, Manoel Jacobsen, Fonoff, Erich Talamoni, Mandel, Mauricio, Alves, Hélvio Leite, Rosemberg, Sérgio","Arquivos de Neuro-Psiquiatria; 67(1); 74-77","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100018&lang=pt" 
"S0004-282X2009000100019-scl","Mechanical hypernociception in experimental autoimmune encephalomyelitis","Rodrigues, David Henrique, Sachs, Daniela, Teixeira, Antonio Lucio","Arquivos de Neuro-Psiquiatria; 67(1); 78-81","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100019&lang=pt" 
"S0004-282X2009000100036-scl","HTLV-1 and neurological conditions: when to suspect and when to order a diagnostic test for HTLV-1 infection?","Araújo, Abelardo Q.C., Leite, Ana Claudia C., Lima, Marco Antonio S.D., Silva, Marcus Tulius T.","Arquivos de Neuro-Psiquiatria; 67(1); 132-138","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100036&lang=pt" 
"S0104-59702009000100003-scl","Como la vara de Moisés: la herencia patológica como argumento para la vigilancia médica del matrimonio consanguíneo en México, 1870-1900","González Soriano, Fabricio","História, Ciências, Saúde-Manguinhos; 16(1); 35-52","História, Ciências, Saúde-Manguinhos","Inglês, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100003&lang=pt" 
"S0104-59702009000100004-scl","Impacto de la pandemia de gripa de 1918-1919 sobre el perfil de mortalidad general en Boyacá, Colombia","Ospina Díaz, Juan Manuel, Martínez Martín, Abel Fernando, Herrán Falla, Oscar Fernando","História, Ciências, Saúde-Manguinhos; 16(1); 53-81","História, Ciências, Saúde-Manguinhos","Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100004&lang=pt" 
"S0104-59702009000100005-scl","Salvar para a eternidade: princípios de ciência médica na época de Montaigne e Cervantes","Lopes, Marcos Antônio","História, Ciências, Saúde-Manguinhos; 16(1); 83-94","História, Ciências, Saúde-Manguinhos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100005&lang=pt" 
"S0104-59702009000100006-scl","Jesus tem dentes metal-free no país dos banguelas?: odontologia dos desejos e das vaidades","Emmerich, Adauto, Castiel, Luis David","História, Ciências, Saúde-Manguinhos; 16(1); 95-107","História, Ciências, Saúde-Manguinhos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100006&lang=pt" 
"S0104-59702009000100008-scl","Proposta metodológica para análise de dados qualitativos em dois níveis","Pondé, Milena Pereira, Mendonça, Milena Siqueira Santos, Caroso, Carlos","História, Ciências, Saúde-Manguinhos; 16(1); 129-143","História, Ciências, Saúde-Manguinhos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100008&lang=pt" 
"S0104-59702009000100009-scl","Frei José Mariano da Conceição Veloso e a divulgação de técnicas industriais no Brasil colonial: discussão de alguns conceitos das ciências químicas","Luna, Fernando J.","História, Ciências, Saúde-Manguinhos; 16(1); 145-155","História, Ciências, Saúde-Manguinhos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100009&lang=pt" 
"S0104-59702009000100010-scl","Human action in a Genomic Era: debates on human nature","Rotondaro, Tatiana Gomes","História, Ciências, Saúde-Manguinhos; 16(1); 157-170","História, Ciências, Saúde-Manguinhos","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100010&lang=pt" 
"S0104-59702009000100012-scl","Tradição, memória e arquivo da brasilidade: sobre o inconsciente em Mário de Andrade","Birman, Joel","História, Ciências, Saúde-Manguinhos; 16(1); 195-216","História, Ciências, Saúde-Manguinhos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100012&lang=pt" 
"S0104-59702009000100014-scl","A pesquisa em etnobotânica e o retorno do conhecimento sistematizado à comunidade: um assunto complexo","Patzlaff, Rubia Graciela, Peixoto, Ariane Luna","História, Ciências, Saúde-Manguinhos; 16(1); 237-246","História, Ciências, Saúde-Manguinhos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100014&lang=pt" 
"S0104-59702009000100002-scl","Máquinas e argumentos: das tecnologias de suporte da vida à definição de morte cerebral","Kind, Luciana","História, Ciências, Saúde-Manguinhos; 16(1); 13-34","História, Ciências, Saúde-Manguinhos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100002&lang=pt" 
"S0104-59702009000100007-scl","Práticas de mediação na pesquisa epidemiológica sob o ponto de vista etnográfico","Silva, Luís Augusto Vasconcelos da","História, Ciências, Saúde-Manguinhos; 16(1); 109-128","História, Ciências, Saúde-Manguinhos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100007&lang=pt" 
"S1516-44462009000100014-scl","Ataques de pânico são realmente inofensivos? O impacto cardiovascular do transtorno de pânico","Sardinha, Aline, Nardi, Antonio Egidio, Zin, Walter Araújo","Revista Brasileira de Psiquiatria; 31(1); 57-62","Revista Brasileira de Psiquiatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462009000100014&lang=pt" 
"S1516-35982009000300007-scl","Influência da luminosidade no comportamento de onze espécies forrageiras perenes de verão","Soares, André Brugnara, Sartor, Laércio Ricardo, Adami, Paulo Fernando, Varella, Alexandre Costa, Fonseca, Lidiane, Mezzalira, Jean Carlos","Revista Brasileira de Zootecnia; 38(3); 443-451","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300007&lang=pt" 
"S1516-35982009000300008-scl","Alterações na composição morfológica em função do estádio de maturação em cultivares de milho para produção de silagem","Zopollatto, Maity, Nussio, Luiz Gustavo, Mari, Lucas José, Schmidt, Patrick, Duarte, Aildson Pereira, Mourão, Gerson Barreto","Revista Brasileira de Zootecnia; 38(3); 452-461","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300008&lang=pt" 
"S1516-35982009000300011-scl","Mapeamento de locos de características quantitativas para desempenho no cromossomo 4 de suínos","Silva, Kleibe de Moraes, Guimarães, Simone Eliza Facioni, Lopes, Paulo Sávio, Nascimento, Carlos Souza do, Lopes, Marcos Soares, Amaral, Mayara Morena Del Cambre","Revista Brasileira de Zootecnia; 38(3); 474-479","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300011&lang=pt" 
"S1516-35982009000300012-scl","Exigência nutricional de lisina digestível para galinhas poedeiras de 54 a 70 semanas de idade","Cupertino, Edwiney Sebastião, Gomes, Paulo Cezar, Albino, Fernando Teixeira, Donzele, Juarez Lopes, Mello, Heloisa Helena de Carvalho, Schmidt, Marlene, Calderano, Arele Arlindo","Revista Brasileira de Zootecnia; 38(3); 480-487","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300012&lang=pt" 
"S1516-35982009000300015-scl","Exigência de metionina+cistina para aves de reposição leves e semipesadas de 1 a 4 semanas de idade alimentadas com rações farelada e triturada","Silva, Edson Lindolfo da, Silva, José Humberto Vilar da, Bertechini, Antônio Gilberto, Rodrigues, Paulo Borges, Jordão Filho, José, Pucci, Luiz Eduardo Avelar","Revista Brasileira de Zootecnia; 38(3); 500-507","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300015&lang=pt" 
"S1516-35982009000300018-scl","Perfil de ácidos graxos na carne de novilhos de diferentes idades e grupos genéticos terminados em confinamento","Metz, Patrícia Alessandra Meneguzzi, Menezes, Luís Fernando Glasenapp de, Santos, Angélica Pereira dos, Brondani, Ivan Luiz, Restle, João, Lanna, Dante Pazzanese Duarte","Revista Brasileira de Zootecnia; 38(3); 523-531","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300018&lang=pt" 
"S1516-35982009000300019-scl","Lipid profile of lamb meat from different genotypes submitted to diets with different energy levels","Costa, Roberto Germano, Batista, Ana Sancha Malveira, Azevedo, Paulo Sérgio de, Queiroga, Rita de Cássia Ramos do Egypto, Madruga, Marta Suely, Araújo Filho, José Teodorico de","Revista Brasileira de Zootecnia; 38(3); 532-538","Revista Brasileira de Zootecnia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300019&lang=pt" 
"S1516-35982009000300023-scl","Rumen dynamics of neutral detergent fiber in cattle fed low-quality tropical forage and supplemented with nitrogenous compounds","Sampaio, Cláudia Batista, Detmann, Edenio, Lazzarini, Isis, Souza, Marjorrie Augusto de, Paulino, Mário Fonseca, Valadares Filho, Sebastião de Campos","Revista Brasileira de Zootecnia; 38(3); 560-569","Revista Brasileira de Zootecnia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300023&lang=pt" 
"S1516-35982009000300020-scl","Estudo alométrico dos tecidos da carcaça de cordeiros Santa Inês puros ou mestiços com Texel, Ile de France e Bergamácia","Garcia, Iraides Ferreira Furusho, Perez, Juan Ramón Olalquiaga, Pereira, Idalmo Garcia, Costa, Tharcilla Isabella Rodrigues, Martins, Marina Oliveira","Revista Brasileira de Zootecnia; 38(3); 539-546","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300020&lang=pt" 
"S1516-35982009000300010-scl","Interação genótipo × ambiente para produção de leite de bovinos da raça Holandesa entre bacias leiteiras no estado do Paraná","Paula, Meiby Carneiro de, Martins, Elias Nunes, Silva, Luiz Otávio Campos da, Oliveira, Carlos Antonio Lopes de, Valotto, Altair Antônio, Ribas, Newton Pohl","Revista Brasileira de Zootecnia; 38(3); 467-473","Revista Brasileira de Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982009000300010&lang=pt" 
"S0104-59702009000100011-scl","Quantidade, qualidade, harmonia e adequação: princípios-guia da sociedade sem fome em Josué de Castro","Lima, Eronides da Silva","História, Ciências, Saúde-Manguinhos; 16(1); 171-194","História, Ciências, Saúde-Manguinhos","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100011&lang=pt" 
"S0004-282X2009000100001-scl","Editorial","Spina-França, Antonio","Arquivos de Neuro-Psiquiatria; 67(1); -","Arquivos de Neuro-Psiquiatria","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100001&lang=pt" 
"S0004-282X2009000100014-scl","Prognostic value of proton magnetic resonance spectroscopy findings in near drowning patients: reversibility of the early metabolite abnormalities relates with a good outcome","Aragão, Maria de Fátima Vasco, Law, Meng, Netto, João Prola, Valença, Marcelo Moraes, Naidich, Thomas","Arquivos de Neuro-Psiquiatria; 67(1); 55-57","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100014&lang=pt" 
"S0004-282X2009000100034-scl","Spoiled gradient recalled acquisition in the steady state for magnetic resonance imaging diagnosis of Cushing disease","Leães, Carolina G.S., Pereira-Lima, Júlia F.S., Lenhardt, Rene, Silveira, Vera M.F., Ferreira, Nelson P., Oliveira, Miriam C.","Arquivos de Neuro-Psiquiatria; 67(1); 127-129","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100034&lang=pt" 
"S0104-59702009000100001-scl","Carta dos editores","Benchimol, Jaime, Martins, Ruth B.","História, Ciências, Saúde-Manguinhos; 16(1); 7-8","História, Ciências, Saúde-Manguinhos","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100001&lang=pt" 
"S0004-282X2009000100003-scl","Clinical and molecular neuroimaging characteristics of Brazilian patients with Parkinson&#039;s disease and mutations in PARK2 or PARK8 genes","Barsottini, Orlando G.P., Felício, Andre C., Aguiar, Patricia de Carvalho, Godeiro-Junior, Clecio, Shih, Ming C., Hoexter, Marcelo Q., Bressan, Rodrigo A., Ferraz, Henrique B., Andrade, Luiz Augusto F.","Arquivos de Neuro-Psiquiatria; 67(1); 7-11","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100003&lang=pt" 
"S0004-282X2009000100016-scl","Botulinum toxin type A in the treatment of lower-limb spasticity in children with cerebral palsy","Camargo, Carlos Henrique F., Teive, Hélio A.G., Zonta, Marise, Silva, Gilmar C., Oliveira, Marcelo R., Roriz, Maurício M., Brandi, Ivar V., Becker, Nilson, Scola, Rosana Hermínia, Werneck, Lineu César","Arquivos de Neuro-Psiquiatria; 67(1); 62-68","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100016&lang=pt" 
"S0004-282X2009000100020-scl","Immunohistochemical identification of plasma protein deposits in the wall of lenticulostriate arteries in patients with long-standing hypertension, with and without lipohyalinosis","Andrade, Magda Rocha, Pittella, José Eymard Homem","Arquivos de Neuro-Psiquiatria; 67(1); 82-89","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100020&lang=pt" 
"S0004-282X2009000100038-scl","Congenital muscular dystrophy. Part I: a review of phenotypical and diagnostic aspects","Reed, Umbertina Conti","Arquivos de Neuro-Psiquiatria; 67(1); 144-168","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100038&lang=pt" 
"S0104-59702009000100015-scl","Medicina, ciência e poder: as relações entre França, Alemanha e Brasil no período de 1919 a 1942","Sá, Magali Romero, Benchimol, Jaime L., Kropf, Simone, Viana, Larissa, Silva, André Felipe Cândido da","História, Ciências, Saúde-Manguinhos; 16(1); 247-261","História, Ciências, Saúde-Manguinhos","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702009000100015&lang=pt" 
"S0004-282X2009000100035-scl","Diffusion magnetic resonance imaging in transient global amnesia","Godeiro-Junior, Clecio, Miranda-Alves, Maramélia Araújo de, Massaro, Ayrton Roberto","Arquivos de Neuro-Psiquiatria; 67(1); 130-131","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000100035&lang=pt" 
"S0864-34662009000100002-spa","Las crisis y la salud","Rojas Ochoa, Francisco","Revista Cubana de Salud Pública; 35(1); -","Revista Cubana de Salud Pública","Espanhol","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662009000100002&lang=pt" 
"S0864-34662009000100001-spa","Salud Pública Revolucionaria Cubana","Rojas Ochoa, Francisco","Revista Cubana de Salud Pública; 35(1); -","Revista Cubana de Salud Pública","Espanhol","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662009000100001&lang=pt" 
"S0864-34662009000100017-spa","Situación de salud, una herramienta para la gerencia en los posgrados","Dávila, Fanny, Gómez, Wuilman, Hernández, Tulia","Revista Cubana de Salud Pública; 35(1); -","Revista Cubana de Salud Pública","Espanhol","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662009000100017&lang=pt" 
"S0864-34662009000100014-spa","Globalización, salud y solidaridad: una vision diferente","Marimón Torres, Nestor, Martínez Cruz, Evelyn","Revista Cubana de Salud Pública; 35(1); -","Revista Cubana de Salud Pública","Espanhol","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662009000100014&lang=pt" 
"S0864-34662009000100013-spa","Potencialidades del graduado de Gestión de Información en Salud dentro de la organización de salud","Vidal Ledo, María, Rodríguez Díaz, Alfredo J, García, Eduardo Manrique, Delgado Ramos, Ariel","Revista Cubana de Salud Pública; 35(1); -","Revista Cubana de Salud Pública","Espanhol","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662009000100013&lang=pt" 
"S0864-34662009000100012-spa","Impacto de la especialidad en bioestadística sobre su claustro y sobre la Salud Pública Cubana, 1974-2006","Couturejuzón González, Lourdes, Columbié Pileta, Miday","Revista Cubana de Salud Pública; 35(1); -","Revista Cubana de Salud Pública","Espanhol","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662009000100012&lang=pt" 
"S0864-34662009000100009-spa","Algunos componentes del estado de salud de la mujer cubana","Herrera Alcázar, Violeta R, Torres Vidal, Rosa María","Revista Cubana de Salud Pública; 35(1); -","Revista Cubana de Salud Pública","Espanhol","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662009000100009&lang=pt" 
"S0864-34662009000100008-spa","Revolución y salud del niño en Cuba","Santana Espinosa, María Cecilia","Revista Cubana de Salud Pública; 35(1); -","Revista Cubana de Salud Pública","Espanhol","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662009000100008&lang=pt" 
"S0864-34662009000100007-spa","La enfermería en la Salud Pública Cubana","Torres Esperón, Julia Maricela, Urbina Laza, Omayda","Revista Cubana de Salud Pública; 35(1); -","Revista Cubana de Salud Pública","Espanhol","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662009000100007&lang=pt" 
"S0864-34662009000100005-spa","Hitos y transformaciones en el área de Higiene y Epidemiología","Noriega Bravo, Vivian","Revista Cubana de Salud Pública; 35(1); -","Revista Cubana de Salud Pública","Espanhol","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662009000100005&lang=pt" 
"S0864-34662009000100004-spa","La intersectorialidad y el desarrollo de la Salud Pública en Cuba","Castell-Florit Serrate, Pastor, Gispert Abreu, Estela de los Ángeles","Revista Cubana de Salud Pública; 35(1); -","Revista Cubana de Salud Pública","Espanhol","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662009000100004&lang=pt" 
"S0864-34662009000100019-spa","La enfermedad y el sentido del sufrimiento","Zamora Marín, René","Revista Cubana de Salud Pública; 35(1); -","Revista Cubana de Salud Pública","Espanhol","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662009000100019&lang=pt" 
"S0864-34662009000100018-spa","La enfermedad y el sentido del sufrimiento","Zamora Marín, René","Revista Cubana de Salud Pública; 35(1); -","Revista Cubana de Salud Pública","Espanhol","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662009000100018&lang=pt" 
"S0120-53072009000100010-col","El cuidado familiar: una revisión crítica","de la Cuesta Benjumea, Carmen","Investigación y Educación en Enfermería; 27(1); 96-102","Investigación y Educación en Enfermería","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072009000100010&lang=pt" 
"S0120-53072009000100011-col","El diálogo de saberes como posición humana frente al otro: referente ontológico y pedagógico en la educación para la salud","Bastidas Acevedo, Miriam, Pérez Becerra, Francy Nelly, Torres Ospina, Julio Nicolás, Escobar Paucar, Gloria, Arango Córdoba, Adriana, Peñaranda Correa, Fernando","Investigación y Educación en Enfermería; 27(1); 104-111","Investigación y Educación en Enfermería","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072009000100011&lang=pt" 
"S0120-53072009000100012-col","Desarrollo de la investigación en enfermería: estudio diagnóstico","Cianelli, Rosina, Urrutia, María Teresa, Ferrer, Lilian, Poupin, Lauren, Masalán, Patricia, Villegas, Natalia, Arratia, Alejandrina, Ferrer, Ximena","Investigación y Educación en Enfermería; 27(1); 112-117","Investigación y Educación en Enfermería","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072009000100012&lang=pt" 
"S0120-53072009000100013-col","Mapa de cuidados para pacientes sometidos a procedimientos en servicios de medicina nuclear","Sola, Cayetano Fernández, Granero Molina, José, Aguilera Manrique, Gabriel","Investigación y Educación en Enfermería; 27(1); 118-130","Investigación y Educación en Enfermería","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072009000100013&lang=pt" 
"S0120-53072009000100007-col","El proceso de adaptación en las mujeres con cáncer de mama","Londoño Calle, Yenly Catherine","Investigación y Educación en Enfermería; 27(1); 70-77","Investigación y Educación en Enfermería","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072009000100007&lang=pt" 
"S0120-53072009000100006-col","Consumo de alcohol y tabaco en estudiantes de pregrado de una universidad privada de Medellín, 2007","Rodríguez Gázquez, María de los Ángeles, Álvarez Gómez, Matilde, Martínez Sánchez, Lina María, Carrillo Trujillo, Diana, Mejía Espinosa, Sergio Andrés, Valencia Ruiz, Ana María, Escobar Espinosa, María Alejandra, Marín González, María Fernanda","Investigación y Educación en Enfermería; 27(1); 60-68","Investigación y Educación en Enfermería","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072009000100006&lang=pt" 
"S0120-53072009000100005-col","Atención de la urgencia en casa: una reacción automática","Lopera Betancur, Martha Adiela","Investigación y Educación en Enfermería; 27(1); 54-59","Investigación y Educación en Enfermería","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072009000100005&lang=pt" 
"S0120-53072009000100004-col","Utilización de la música en busca de la asistencia humanizada en el hospital","Corrêa, Ione, Guedelha Blasi, Debora","Investigación y Educación en Enfermería; 27(1); 46-53","Investigación y Educación en Enfermería","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072009000100004&lang=pt" 
"S0120-53072009000100003-col","La unidad de cuidado intensivo, un lugar para quedarse solo","Beltrán Salazar, Óscar Alberto","Investigación y Educación en Enfermería; 27(1); 34-45","Investigación y Educación en Enfermería","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072009000100003&lang=pt" 
"S0120-53072009000100002-col","La evaluación del cuidado de enfermería: un compromiso disciplinar","Gaviria Noreña, Dora Lucía","Investigación y Educación en Enfermería; 27(1); 24-33","Investigación y Educación en Enfermería","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072009000100002&lang=pt" 
"S0120-53072009000100001-col","Reflexiones en torno a la escritura de artículos científicos: el apartado Metodología","Pastor Durango, María del Pilar","Investigación y Educación en Enfermería; 27(1); 20-22","Investigación y Educación en Enfermería","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072009000100001&lang=pt" 
