"S0034-89101986000300009-spa","Identificação de Aedes (Stegomyia) Albopictus (Skuse) no Brasil","Forattini, Oswaldo Paulo","Revista de Saúde Pública; 20(3); 244-245","Revista de Saúde Pública","Inglês, Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300009&lang=pt" 
"S0074-02761986000100011-scl","Bolivian phlebotomines. II Psychodopygus Yucumensis n.sp., a new man-biting phlebotomine sandfly from subandean region (Diptera, Psychodidae)","Le Pont, F., Caillard, T., Tibayrenc, M., Desjeux, P.","Memórias do Instituto Oswaldo Cruz; 81(1); 79-85","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100011&lang=pt" 
"S0074-02761986000100012-scl","Atividade moluscicida de alguns produtos naturais sobre Biomphalaria glabrata","Mendes, Nelymar Martineli, Souza, Cecília Pereira de, Araújo, Neusa, Pereira, José Pedro, Katz, Naftale","Memórias do Instituto Oswaldo Cruz; 81(1); 87-91","Memórias do Instituto Oswaldo Cruz","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100012&lang=pt" 
"S0074-02761986000100013-scl","Mosquitos no Parque Nacional da Serra dos Orgãos, Estado do Rio de Janeiro, Brasil: III. Preferência horária para hematofagia","Guimarães, Anthony Érico, Victório, Vânia M. N.","Memórias do Instituto Oswaldo Cruz; 81(1); 93-103","Memórias do Instituto Oswaldo Cruz","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100013&lang=pt" 
"S0074-02761986000100015-scl","Contribuição ao estudo morfológico de ovos e ninfas de Triatoma brasiliensis neiva, 1911 (hemiptera, reduviidae, triatominae)","Jurberg, José, Gonçalves, Teresa Cristina M., Costa, Jane Margaret, Souza, Wanderley de","Memórias do Instituto Oswaldo Cruz; 81(1); 111-120","Memórias do Instituto Oswaldo Cruz","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100015&lang=pt" 
"S0074-02761986000100016-scl","Lymnaea columella: two new Brazilian localities in the states of Amazonas and Bahia","Paraense, W. Lobato","Memórias do Instituto Oswaldo Cruz; 81(1); 121-123","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100016&lang=pt" 
"S0074-02761986000100017-scl","Infecção experimental de Lutzomyia whitmani em cães infectados com Leishmania braziliensis braziliensis","Vexenat, Julio A., Barretto, Air C., Rosa, Ana de Cassia O. C.","Memórias do Instituto Oswaldo Cruz; 81(1); 125-126","Memórias do Instituto Oswaldo Cruz","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100017&lang=pt" 
"S0074-02761986000100018-scl","Are asian monkeys the original mammalian hosts of Trypanosoma conorhini","Deane, Leonidas M., Deane, Maria P., Lourenço-de-Oliveira, Ricardo","Memórias do Instituto Oswaldo Cruz; 81(1); 127-129","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100018&lang=pt" 
"S0074-02761986000100019-scl","Anothor Trypanosoma, distinct from T. cruzi, multiplies in the lumen of the anal glands the opossum Didelphis marsupialis","Deane, Maria P., Jansen, Ana Maria","Memórias do Instituto Oswaldo Cruz; 81(1); 131-132","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100019&lang=pt" 
"S0074-02761986000100020-scl","Experimental infection of Lutzomyia longipalpis fed on a patient with cutaneous leishmaniasis due to Leishmania mexicana amazonensis","Deane, Leonidas M., Rangel, Elizabeth Ferreira, Paes-Oliveira, Manoel, Grimaldi Junior, Gabriel, Momen, Hooman, Souza, Nataly de, Wermelinger, Eduardo D., Barbosa, André F.","Memórias do Instituto Oswaldo Cruz; 81(1); 133-134","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100020&lang=pt" 
"S0074-02761986000100014-scl","O foco brasileiro de oncocercose: novas observações feitas nas áreas dos rios Mucajaí e Catrimâni, Território de Roraima","Moraes, Mário Augusto Pinto de, Shelley, Anthony J., Dias, Antonio Paulino A. Luna","Memórias do Instituto Oswaldo Cruz; 81(1); 105-109","Memórias do Instituto Oswaldo Cruz","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100014&lang=pt" 
"S0074-02761986000100008-scl","Comportamento experimental de amostras de Schistosoma mansoni em relação às formas clínicas de esquistossomose: I. Estudo em camundongos","Conceição, Mario José da, Coura, José Rodrigues","Memórias do Instituto Oswaldo Cruz; 81(1); 61-66","Memórias do Instituto Oswaldo Cruz","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000100008&lang=pt" 
"S0004-282X1986000100014-scl","","","Arquivos de Neuro-Psiquiatria; 44(1); 94-104","Arquivos de Neuro-Psiquiatria","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1986000100014&lang=pt" 
"S0004-282X1986000100013-scl","Condrossarcoma intracraniano: relato de um caso","Arruda, Walter Oleschko, Cardoso, Moema de Araújo, Pedroso, Ari Antônio, Rebuffi, Vanda Fátima, Coelho, Affonso","Arquivos de Neuro-Psiquiatria; 44(1); 89-93","Arquivos de Neuro-Psiquiatria","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1986000100013&lang=pt" 
"S0004-282X1986000100005-scl","Enxaqueca complicada: a propósito de três casos","Sanvito, Wilson Luiz, Monzillo, Paulo Hélio","Arquivos de Neuro-Psiquiatria; 44(1); 44-50","Arquivos de Neuro-Psiquiatria","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1986000100005&lang=pt" 
"S0004-282X1986000100003-scl","Simple and safe heparin regimen for acute ischaemia","Bittencourt, P. R. M., Padilha, S., Mazer, S.","Arquivos de Neuro-Psiquiatria; 44(1); 32-37","Arquivos de Neuro-Psiquiatria","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1986000100003&lang=pt" 
"S0004-282X1986000100001-scl","Ultrastructure of developing human muscle: the problem of multinucleation of striated muscle cells","Minguetti, Guilberto, Mair, W. G. P.","Arquivos de Neuro-Psiquiatria; 44(1); 1-14","Arquivos de Neuro-Psiquiatria","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1986000100001&lang=pt" 
"S0004-282X1986000100002-scl","Teste imunoenzimático (Elisa) no diagnóstico da neurocisticercose: estudo de diferentes extratos antigênicos na detecção de anticorpos IgG em amostras de soro e de líquido cefalorraqueano","Costa, Julia Maria","Arquivos de Neuro-Psiquiatria; 44(1); 15-31","Arquivos de Neuro-Psiquiatria","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1986000100002&lang=pt" 
"S0004-282X1986000100004-scl","Papel da gastroplastia no tratamento da apnéia obstrutiva durante o sono","Reimão, Rubens, Lemmi, Helio, Cowan, George, Golden, Emmel B.","Arquivos de Neuro-Psiquiatria; 44(1); 38-43","Arquivos de Neuro-Psiquiatria","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1986000100004&lang=pt" 
"S0004-282X1986000100006-scl","Estado confusional e enxaqueca infantil: relato de um caso","Carvalho, Deusvenir de Souza, Zukerman, Eliova, Hannuch, Suzanmeire Negro Minatti, Levyman, Célio","Arquivos de Neuro-Psiquiatria; 44(1); 51-54","Arquivos de Neuro-Psiquiatria","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1986000100006&lang=pt" 
"S0004-282X1986000100007-scl","Lesões hipoatenuantes dos gânglios da base associadas a quadro pirâmido-extrapiramidal: relato dos casos de dois irmãos","Barbosa, Egberto Reis, Culchebachi, Maria Denise Bernardes, Navarro, Jessie Medeiros, Scaff, Milberto, Canelas, Horácio Martins","Arquivos de Neuro-Psiquiatria; 44(1); 55-59","Arquivos de Neuro-Psiquiatria","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1986000100007&lang=pt" 
"S0004-282X1986000100008-scl","Forma de heidenhain da doença de creutzfeldt-jakob: relato de um caso","Pinto Junior, Luciano Ribeiro, Lancellotti, Carmem Lucia Penteado, Onozuka, Angela Pires, Landivar, Alejandro Peralta, Sanvito, Wilson Luiz","Arquivos de Neuro-Psiquiatria; 44(1); 60-66","Arquivos de Neuro-Psiquiatria","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1986000100008&lang=pt" 
"S0004-282X1986000100009-scl","Encefalopatia hemi-mioclônica pós anóxica: registro de um caso","Moreira Filho, Pedro F., Freitas, Marcos R. G.","Arquivos de Neuro-Psiquiatria; 44(1); 67-72","Arquivos de Neuro-Psiquiatria","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1986000100009&lang=pt" 
"S0004-282X1986000100010-scl","Narcolefsia e apnéia do sono concomitantes: registro de caso","Reimão, Rubens, Lemmi, Helio","Arquivos de Neuro-Psiquiatria; 44(1); 73-77","Arquivos de Neuro-Psiquiatria","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1986000100010&lang=pt" 
"S0004-282X1986000100011-scl","Ácido valpróico, cabelos cacheados e ganho de peso","Bittencourt, Paulo R. M.","Arquivos de Neuro-Psiquiatria; 44(1); 78-81","Arquivos de Neuro-Psiquiatria","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1986000100011&lang=pt" 
"S0004-282X1986000100012-scl","Ptose palpebral bilateral com paralisia unilateral do olhar vertical para cima: registro de caso","Brasil Neto, Joaquim Pereira, Tosta, Elza Dias, Henriques, Fernando Guilhon","Arquivos de Neuro-Psiquiatria; 44(1); 82-88","Arquivos de Neuro-Psiquiatria","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1986000100012&lang=pt" 
"S0102-64451986000100018-scl","Bom proveito","Dowbor, Ladislau","Lua Nova: Revista de Cultura e Política; 2(4); 86-88","Lua Nova: Revista de Cultura e Política","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451986000100018&lang=pt" 
"S0102-64451986000100009-scl","Os fantasmas","Branco, Renato Castelo","Lua Nova: Revista de Cultura e Política; 2(4); 42-43","Lua Nova: Revista de Cultura e Política","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451986000100009&lang=pt" 
"S0102-64451986000100003-scl","Com os partidos, tudo bem no ano que vem","","Lua Nova: Revista de Cultura e Política; 2(4); 11-21","Lua Nova: Revista de Cultura e Política","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451986000100003&lang=pt" 
"S0102-64451986000100007-scl","A arte da sedução","Lisboa, Marijane","Lua Nova: Revista de Cultura e Política; 2(4); 33-35","Lua Nova: Revista de Cultura e Política","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451986000100007&lang=pt" 
"S0102-64451986000100001-scl","Democracia e representação","Moisés, José Álvaro","Lua Nova: Revista de Cultura e Política; 2(4); 04-05","Lua Nova: Revista de Cultura e Política","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451986000100001&lang=pt" 
"S0102-64451986000100002-scl","Liberdade, liberdades","Ribeiro, Renato Janine","Lua Nova: Revista de Cultura e Política; 2(4); 07-10","Lua Nova: Revista de Cultura e Política","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451986000100002&lang=pt" 
"S0102-64451986000100010-scl","Divertissement, opus 56, n.º 6","Ferreira, Oliveiros S.","Lua Nova: Revista de Cultura e Política; 2(4); 44-50","Lua Nova: Revista de Cultura e Política","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451986000100010&lang=pt" 
"S0102-64451986000100008-scl","As mulheres se defendem","","Lua Nova: Revista de Cultura e Política; 2(4); 36-41","Lua Nova: Revista de Cultura e Política","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451986000100008&lang=pt" 
"S0102-64451986000100006-scl","Bolero de machão só se canta na prisão","Correa, Mariza","Lua Nova: Revista de Cultura e Política; 2(4); 28-32","Lua Nova: Revista de Cultura e Política","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451986000100006&lang=pt" 
"S0102-64451986000100004-scl","A cidade e os cidadãos","Jacobi, Pedro","Lua Nova: Revista de Cultura e Política; 2(4); 22-26","Lua Nova: Revista de Cultura e Política","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451986000100004&lang=pt" 
"S0102-64451986000100005-scl","Violência e sedução nas relações homem/mulher","","Lua Nova: Revista de Cultura e Política; 2(4); 27-27","Lua Nova: Revista de Cultura e Política","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451986000100005&lang=pt" 
"S0102-64451986000100019-scl","","","Lua Nova: Revista de Cultura e Política; 2(4); 89-89","Lua Nova: Revista de Cultura e Política","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451986000100019&lang=pt" 
"S0034-75901986000100010-scl","A formação de consultores de organização","Toledo, Estevam de","Revista de Administração de Empresas; 26(1); 99-102","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100010&lang=pt" 
"S0034-75901986000100002-scl","A reestruturação urbana de São Paulo (Brasil): aspectos administrativos","Delorenzo Neto, Antonio","Revista de Administração de Empresas; 26(1); 17-23","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100002&lang=pt" 
"S0034-75901986000100008-scl","Considerações sobre as insuficiências do pensamento estabelecido em estratégia empresarial","Carvalho e Silva, Tânia Maria Limeira de","Revista de Administração de Empresas; 26(1); 85-90","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100008&lang=pt" 
"S0034-75901986000100007-scl","A importância estratégica e o funcionamento do serviço de inteligência empresarial","Degent, Ronald Jean","Revista de Administração de Empresas; 26(1); 77-83","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100007&lang=pt" 
"S0034-75901986000100015-scl","Carvalho, Célia Pezzolo de. Ensino noturno: realidade e ilusão","Cordeiro, Jaime Francisco Parreira","Revista de Administração de Empresas; 26(1); 124-125","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100015&lang=pt" 
"S0034-75901986000100013-scl","Carnoy, Martin. Educação, economia e estado (base e superestrutura, relações e mediações)","Catani, Afrânio Mendes","Revista de Administração de Empresas; 26(1); 121-123","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100013&lang=pt" 
"S0034-75901986000100011-scl","Indústrias de processo contínuo: novos rumos para a organização do trabalho","Toledo, José Carlos de, Ferro, José Roberto, Truzzi, Oswaldo Mário Serra","Revista de Administração de Empresas; 26(1); 103-105","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100011&lang=pt" 
"S0034-75901986000100014-scl","Bresser Pereira, Luiz Carlos. Pactos políticos do populismo à redemocratização","Costa, Sérgio Amad","Revista de Administração de Empresas; 26(1); 123-124","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100014&lang=pt" 
"S0034-75901986000100001-scl","A natureza jurídica das atividades das Bolsas de Valores","Mattos Filho, Ary Oswaldo","Revista de Administração de Empresas; 26(1); 05-15","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100001&lang=pt" 
"S0034-75901986000100003-scl","Como reduzir a incerteza em previsão de vendas","Motta, Jorge","Revista de Administração de Empresas; 26(1); 25-42","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100003&lang=pt" 
"S0034-75901986000100004-scl","Tecnologia de informação nos serviços: o impacto na configuração do trabalho","Rodrigues, Suzana Braga, Barbosa, Francisco Vidal, Luz, Talita Ribeiro da, Kilimnik, Zélia Miranda","Revista de Administração de Empresas; 26(1); 43-56","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100004&lang=pt" 
"S0034-75901986000100005-scl","O autonomismo e a questão da organização","Motta, Fernando C. Prestes","Revista de Administração de Empresas; 26(1); 57-66","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100005&lang=pt" 
"S0034-75901986000100006-scl","Multinacionalização de empresas de pequeno e médio porte: algumas considerações","Gallo, Miguel Angel, Lacueva, Fernando, Santomá, Javier","Revista de Administração de Empresas; 26(1); 69-75","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100006&lang=pt" 
"S0034-75901986000100009-scl","A metodologia científica e o estudo das organizações","Gutierrez, Gustavo Luis","Revista de Administração de Empresas; 26(1); 91-96","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100009&lang=pt" 
"S0034-75901986000100012-scl","Linhart, Robert. Lenin, os camponeses, Taylor","Catani, Afrânio Mendes","Revista de Administração de Empresas; 26(1); 107-120","Revista de Administração de Empresas","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901986000100012&lang=pt" 
"S0037-86821986000100003-scl","Características da morte súbita tida como não esperada na doença de Chagas","Prata, Aluizio, Lopes, Edison Reis, Chapadeiro, Edmundo","Revista da Sociedade Brasileira de Medicina Tropical; 19(1); 9-12","Revista da Sociedade Brasileira de Medicina Tropical","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821986000100003&lang=pt" 
"S0037-86821986000100006-scl","Sintomatologia intestinal na fase crônica da esquistossomose mansoni","Peixinho, Eleonora L., André, Sumaia B., Bina, José Carlos","Revista da Sociedade Brasileira de Medicina Tropical; 19(1); 27-30","Revista da Sociedade Brasileira de Medicina Tropical","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821986000100006&lang=pt" 
"S0037-86821986000100013-scl","Inquérito sobre presença de HBsAg em habitantes de Lábrea-Amazonas","Alecrim, W. D., Marreiros, L. S, Alecrim, M. G. C., Santos, I. K. F. Miranda","Revista da Sociedade Brasileira de Medicina Tropical; 19(1); 58-59","Revista da Sociedade Brasileira de Medicina Tropical","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821986000100013&lang=pt" 
"S0037-86821986000100001-scl","O problema do Aedes aegypti no Brasil","Tauil, Pedro Luiz","Revista da Sociedade Brasileira de Medicina Tropical; 19(1); 1-3","Revista da Sociedade Brasileira de Medicina Tropical","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821986000100001&lang=pt" 
"S0037-86821986000100002-scl","A key for identifying faecal smears to detect domestic infestations of triatomine bugs","Schofield, C.J., Williams, N.G., Kirk, M.L., Garcia Zapata, M.T., Marsden, P.D.","Revista da Sociedade Brasileira de Medicina Tropical; 19(1); 5-8","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821986000100002&lang=pt" 
"S0037-86821986000100012-scl","Ocorrência de um Tiarídeo (mollusca) no Lago da Pampulha Belo Horizonte, MG, Brasil","Carvalho, Omar dos Santos","Revista da Sociedade Brasileira de Medicina Tropical; 19(1); 57-57","Revista da Sociedade Brasileira de Medicina Tropical","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821986000100012&lang=pt" 
"S0037-86821986000100004-scl","Hemoglobinopatias no Distrito Federal, Brasil","Tavares-Neto, J., Naoum, Paulo C., Adorno, José, Azevêdo, Paula, Brito, Fátima, Caldas, Márcia, Couto, Márcia, Costa, Karina, Martinelli, Cláudio, Gonzalez, Alberto, Assad, Anna, Mortoza, Luciana, Reis, Fábio, Silva, M.M.C., Silva, Paulo, Vieira, Marta","Revista da Sociedade Brasileira de Medicina Tropical; 19(1); 13-19","Revista da Sociedade Brasileira de Medicina Tropical","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821986000100004&lang=pt" 
"S0037-86821986000100005-scl","Capillaria hepatica: alguns aspectos imunopatológicos da infecção espúria e da infecção verdadeira","Nascimento, Ivana, Sadigursky, Moysés","Revista da Sociedade Brasileira de Medicina Tropical; 19(1); 21-25","Revista da Sociedade Brasileira de Medicina Tropical","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821986000100005&lang=pt" 
"S0037-86821986000100007-scl","Trypanosoma cruzi-like bloodstream trypomastigotes in bats from the State of Piauí, Northeastern Brazil","Pinto, Artur da S., Bento, Dalva N. da Costa","Revista da Sociedade Brasileira de Medicina Tropical; 19(1); 31-34","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821986000100007&lang=pt" 
"S0037-86821986000100008-scl","Schistosoma mansoni: immunodepression of hepatic schistosome granuloma formation in mice infected by Trypanosoma cruzi","Genaro, O., Brener, Z., Coelho, P.M.Z.","Revista da Sociedade Brasileira de Medicina Tropical; 19(1); 35-37","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821986000100008&lang=pt" 
"S0037-86821986000100009-scl","Evolution of sarcoma 180 (ascitic tumor) in mice infected with Schistosoma mansoni","Pereira, Fausto Edmundo Lima, Raso, Pedro, Coelho, Paulo Marcos Zech","Revista da Sociedade Brasileira de Medicina Tropical; 19(1); 39-42","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821986000100009&lang=pt" 
"S0037-86821986000100011-scl","Patologia da forma aguda, toxêmica, da esquistossomose mansoni","Raso, Pedro, Pedroso, Enio Roberto Pietra, Neves, Jayme","Revista da Sociedade Brasileira de Medicina Tropical; 19(1); 45-55","Revista da Sociedade Brasileira de Medicina Tropical","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821986000100011&lang=pt" 
"S0037-86821986000100014-scl","Roedores da Região Neotrópica e Patógenos de Importância para o Homem","Teixeira, Antonio","Revista da Sociedade Brasileira de Medicina Tropical; 19(1); 60-60","Revista da Sociedade Brasileira de Medicina Tropical","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821986000100014&lang=pt" 
"S0037-86821986000100010-scl","Encontro de um caso de filariose provavelmente autóctone no Estado do Ceará","Almeida, Y. M., Vasconcelos, I.A.B., Vasconcelos, A. W., Alencar, J. E.","Revista da Sociedade Brasileira de Medicina Tropical; 19(1); 43-43","Revista da Sociedade Brasileira de Medicina Tropical","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821986000100010&lang=pt" 
"S0034-71671986000100011-scl","Educação continuada","Ribeiro, Circe de Melo","Revista Brasileira de Enfermagem; 39(1); 79-81","Revista Brasileira de Enfermagem","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671986000100011&lang=pt" 
"S0034-71671986000100010-scl","Reativação do serviço de educação continuada da divisão de enfermagem do Hospital Prof. Edgard Santos: relato de experiência","Silva, Ana Lígia Cumming e, Oliva, Darci Santa Rosa de, Costa, Vera Márcia Leal, Lustosa, Lialva da S. R.","Revista Brasileira de Enfermagem; 39(1); 71-78","Revista Brasileira de Enfermagem","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671986000100010&lang=pt" 
"S0034-71671986000100005-scl","Experiência participativa mobilizadora de enfermagem: condições prévias para o autocuidado","Noronha, Rachel","Revista Brasileira de Enfermagem; 39(1); 34-43","Revista Brasileira de Enfermagem","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671986000100005&lang=pt" 
"S0034-71671986000100002-scl","Associação Brasileira de Enfermagem 1926-1986","Carvalho, Amália Correia de","Revista Brasileira de Enfermagem; 39(1); 7-12","Revista Brasileira de Enfermagem","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671986000100002&lang=pt" 
"S0034-71671986000100001-scl","Associação Brasileira de Enfermagem (ABEn): 60 anos e a enfermagem brasileira","","Revista Brasileira de Enfermagem; 39(1); 5-5","Revista Brasileira de Enfermagem","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671986000100001&lang=pt" 
"S0034-71671986000100003-scl","Aplicabilidade da assistência de enfermagem na administração de medicamentos","Rodrigues, Ana Maria, Silva, Cleide Lima da, Souza, Jacqueline Santos de, Chaves, Rutinéa Monteiro","Revista Brasileira de Enfermagem; 39(1); 13-27","Revista Brasileira de Enfermagem","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671986000100003&lang=pt" 
"S0034-71671986000100004-scl","Conversando com as mães sobre amamentação: relato de experiências","Vale, Eucléa Gomes, Albuquerque, Maria Terezinha de","Revista Brasileira de Enfermagem; 39(1); 28-33","Revista Brasileira de Enfermagem","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671986000100004&lang=pt" 
"S0034-71671986000100007-scl","Assistência de enfermagem a pacientes em fase terminal","Ferraz, Aidê Ferreira, Carvalho, Daclé Vilma de, Costa, Tânia Maria Picardi Faria, Carvalho, Wilson Souza","Revista Brasileira de Enfermagem; 39(1); 50-60","Revista Brasileira de Enfermagem","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671986000100007&lang=pt" 
"S0034-71671986000100006-scl","Tração cutânea continua em crianças com luxação congênita de quadril","Momiy, Izabel, Nunes, Ivani Aparecida, Valente, Sofia Maria Taffil Bello","Revista Brasileira de Enfermagem; 39(1); 44-49","Revista Brasileira de Enfermagem","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671986000100006&lang=pt" 
"S0034-71671986000100009-scl","Ética e legislação na enfermagem: comentários gerais","Oliveira, Maria Ivete Ribeiro de","Revista Brasileira de Enfermagem; 39(1); 67-70","Revista Brasileira de Enfermagem","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671986000100009&lang=pt" 
"S0034-71671986000100008-scl","Envolvimento emocional do acadêmico de enfermagem com o paciente reflexos dessa experiência na vida futura do profissional","Santos, Rita dos, Ayres, Maria Goretti Ferreira, Cardoso, Selma de Castro, Corrêa, Denise de Assis","Revista Brasileira de Enfermagem; 39(1); 61-66","Revista Brasileira de Enfermagem","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671986000100008&lang=pt" 
"S0102-311X1986000100010-scl","Aos nossos leitores e colaboradores","","Cadernos de Saúde Pública; 2(1); 107-108","Cadernos de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1986000100010&lang=pt" 
"S0102-311X1986000100002-scl","A hospitalização como fator de seleção em estudo de casos e controles","Klein, Carlos Henrique","Cadernos de Saúde Pública; 2(1); 13-18","Cadernos de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1986000100002&lang=pt" 
