"S0004-282X1967000400010-scl","Errata","","Arquivos de Neuro-Psiquiatria; 25(4); -","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000400010&lang=pt" 
"S0037-86821967000300006-scl","Tratamento do tétano com diazepam","Edelweiss, Egomar L., Martins, Sofia M.","Revista da Sociedade Brasileira de Medicina Tropical; 1(3); 147-158","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000300006&lang=pt" 
"S0037-86821967000300001-scl","Carta ao editor","Rassi, Anis","Revista da Sociedade Brasileira de Medicina Tropical; 1(3); -","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000300001&lang=pt" 
"S0037-86821967000300002-scl","Alterações da função ventilatória na blastomicose pulmonar: correlação radiológica e espirográfica","Simão, Antônio Tufik, Tavares, Walter, Tomassini, Marita Cutrim da Cunha, Krakowski, Dawid, Silva, J. Rodrigues da","Revista da Sociedade Brasileira de Medicina Tropical; 1(3); 79-90","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000300002&lang=pt" 
"S0037-86821967000300004-scl","The use of long acting sulfonamides, alone or with pyrimethamine, in malaria (with special reference to sulformetoxine)","Herrero, J.","Revista da Sociedade Brasileira de Medicina Tropical; 1(3); 103-136","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000300004&lang=pt" 
"S0037-86821967000300003-scl","Movimentos migratórios e sua importância na epidemiologia de doenças parasitárias no Brasil","Barretto, Mauro Pereira","Revista da Sociedade Brasileira de Medicina Tropical; 1(3); 91-102","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000300003&lang=pt" 
"S0034-89101967000100009-scl","Projeção da população em idade escolar e das necessidades para o seu atendimento, no estado de São Paulo: 1965-1980","Santos, Jair Lício Ferreira","Revista de Saúde Pública; 1(1); 59-78","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000100009&lang=pt" 
"S0034-89101967000100008-scl","A mortalidade por malformação congênita no município de São Paulo no período de 1940 a 1964","Laurenti, Ruy","Revista de Saúde Pública; 1(1); 51-58","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000100008&lang=pt" 
"S0034-89101967000100006-scl","Prevalência da cárie dental em brancos e não brancos","Souza, José Maria Pacheco de, Arrillaga, Alberto Nuñez, Ochoa, Fernando Vernaza, Rocha, Oswaldo","Revista de Saúde Pública; 1(1); 38-43","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000100006&lang=pt" 
"S0034-89101967000100005-scl","Financiamento dos serviços de saúde pública","Mascarenhas, Rodolfo dos Santos","Revista de Saúde Pública; 1(1); 24-37","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000100005&lang=pt" 
"S0034-89101967000100002-scl","Condições sanitárias das águas de irrigação de hortas do município de São Paulo: I. Determinação da intensidade de poluição fecal através NMP de coliformes e de E. coli","Christovão, Dacio de Almeida, Iaria, Sebastião Timo, Candeias, José Alberto N.","Revista de Saúde Pública; 1(1); 3-11","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000100002&lang=pt" 
"S0034-89101967000100001-scl","","","Revista de Saúde Pública; 1(1); 1-2","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000100001&lang=pt" 
"S0034-89101967000100004-scl","Health knowledge of prostitutes in Saigon, Vietnam: a study of health attitudes and habits relating to venereal diseases taken from a group of prostitutes","Marcondes, Ruth Sandoval, Edmonds, Scott W.","Revista de Saúde Pública; 1(1); 18-23","Revista de Saúde Pública","Inglês","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000100004&lang=pt" 
"S0034-89101967000100003-scl","Condições sanitárias das águas de irrigação de hortas do município de São Paulo: II. Isolamento de vírus entéricos","Christovão, Dácio de Almeida, Candeias, José Alberto N., Iaria, Sebastião Timo","Revista de Saúde Pública; 1(1); 12-17","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000100003&lang=pt" 
"S0034-89101967000100007-scl","Mortalidade infantil no município de São Paulo: análise do seu comportamento nos últimos 15 anos","Milanesi, Maria Lucila, Laurenti, Ruy","Revista de Saúde Pública; 1(1); 44-50","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000100007&lang=pt" 
"S0034-89101967000100014-scl","","","Revista de Saúde Pública; 1(1); 111-114","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000100014&lang=pt" 
"S0034-89101967000100012-scl","Nôvo meio para isolamento de enterobacteriáceas e diferenciação simultânea das colônias de Proteus e Providência","Iaria, Sebastião Timo, Cotillo Z., Luis","Revista de Saúde Pública; 1(1); 108-109","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000100012&lang=pt" 
"S0034-89101967000100013-scl","Modificação do agar fenil-alanina usado na identificação de enterabacteriáceas","Iaria, Sebastião Timo, Cotillo Z., Luis","Revista de Saúde Pública; 1(1); 110-110","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000100013&lang=pt" 
"S0034-89101967000100005-spa","Financiamento dos serviços de saúde pública","Mascarenhas, Rodolfo dos Santos","Revista de Saúde Pública; 1(1); 24-37","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000100005&lang=pt" 
"S0034-89101967000100003-spa","Condições sanitárias das águas de irrigação de hortas do município de São Paulo: II. Isolamento de vírus entéricos","Christovão, Dácio de Almeida, Candeias, José Alberto N., Iaria, Sebastião Timo","Revista de Saúde Pública; 1(1); 12-17","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000100003&lang=pt" 
"S0034-89101967000100013-spa","Modificação do agar fenil-alanina usado na identificação de enterabacteriáceas","Iaria, Sebastião Timo, Cotillo Z., Luis","Revista de Saúde Pública; 1(1); 110-110","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000100013&lang=pt" 
"S0034-89101967000100004-spa","Health knowledge of prostitutes in Saigon, Vietnam: a study of health attitudes and habits relating to venereal diseases taken from a group of prostitutes","Marcondes, Ruth Sandoval, Edmonds, Scott W.","Revista de Saúde Pública; 1(1); 18-23","Revista de Saúde Pública","Inglês","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000100004&lang=pt" 
"S0034-89101967000100012-spa","Nôvo meio para isolamento de enterobacteriáceas e diferenciação simultânea das colônias de Proteus e Providência","Iaria, Sebastião Timo, Cotillo Z., Luis","Revista de Saúde Pública; 1(1); 108-109","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000100012&lang=pt" 
"S0034-89101967000100002-spa","Condições sanitárias das águas de irrigação de hortas do município de São Paulo: I. Determinação da intensidade de poluição fecal através NMP de coliformes e de E. coli","Christovão, Dacio de Almeida, Iaria, Sebastião Timo, Candeias, José Alberto N.","Revista de Saúde Pública; 1(1); 3-11","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000100002&lang=pt" 
"S0034-89101967000100001-spa","","","Revista de Saúde Pública; 1(1); 1-2","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000100001&lang=pt" 
"S0034-89101967000100006-spa","Prevalência da cárie dental em brancos e não brancos","Souza, José Maria Pacheco de, Arrillaga, Alberto Nuñez, Ochoa, Fernando Vernaza, Rocha, Oswaldo","Revista de Saúde Pública; 1(1); 38-43","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000100006&lang=pt" 
"S0034-89101967000100007-spa","Mortalidade infantil no município de São Paulo: análise do seu comportamento nos últimos 15 anos","Milanesi, Maria Lucila, Laurenti, Ruy","Revista de Saúde Pública; 1(1); 44-50","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000100007&lang=pt" 
"S0034-89101967000100014-spa","","","Revista de Saúde Pública; 1(1); 111-114","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000100014&lang=pt" 
"S0034-89101967000100009-spa","Projeção da população em idade escolar e das necessidades para o seu atendimento, no estado de São Paulo: 1965-1980","Santos, Jair Lício Ferreira","Revista de Saúde Pública; 1(1); 59-78","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000100009&lang=pt" 
"S0034-89101967000100010-spa","Fluosilicato de zinco na prevenção de cárie dental em ratos","Viegas, Yvette","Revista de Saúde Pública; 1(1); 79-91","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000100010&lang=pt" 
"S0034-89101967000100008-spa","A mortalidade por malformação congênita no município de São Paulo no período de 1940 a 1964","Laurenti, Ruy","Revista de Saúde Pública; 1(1); 51-58","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000100008&lang=pt" 
"S0034-89101967000100010-scl","Fluosilicato de zinco na prevenção de cárie dental em ratos","Viegas, Yvette","Revista de Saúde Pública; 1(1); 79-91","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000100010&lang=pt" 
"S0034-89101967000100011-scl","O desenvolvimento das ciências da conduta aplicadas à saúde, na América Latina","Piovesan, Armando","Revista de Saúde Pública; 1(1); 92-107","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000100011&lang=pt" 
"S0034-89101967000100011-spa","O desenvolvimento das ciências da conduta aplicadas à saúde, na América Latina","Piovesan, Armando","Revista de Saúde Pública; 1(1); 92-107","Revista de Saúde Pública","Português","1967","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101967000100011&lang=pt" 
"S0037-86821967000200003-scl","Novos esquistossomicidas","Argento, Carlos A., Neves, Paulo F., Galvão, Fernando A., Penna, Delvaux R., Silva, J. Rodrigues da","Revista da Sociedade Brasileira de Medicina Tropical; 1(2); 37-48","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000200003&lang=pt" 
"S0037-86821967000200004-scl","Mecanismo de ação dos sulfamídicos de ação retardada","Ghione, Mario","Revista da Sociedade Brasileira de Medicina Tropical; 1(2); 49-58","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000200004&lang=pt" 
"S0037-86821967000200005-scl","Salmonelose septicêmica prolongada em face às doutrinas de Kiel e de Montevidéu","Neves, Jayme","Revista da Sociedade Brasileira de Medicina Tropical; 1(2); 59-68","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000200005&lang=pt" 
"S0037-86821967000200001-scl","Biópsia per-oral do intestino delgado em 150 casos de diferentes enteroparasitoses","Figueiredo, Norton de, Rubens, Júlio, Carvalho, Heleno Tinoco de, Silva, J. Rodrigues da","Revista da Sociedade Brasileira de Medicina Tropical; 1(2); 13-22","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000200001&lang=pt" 
"S0037-86821967000200006-scl","Cianose e morte durante a terapêutica antimonial em paciente com esquistossomose pulmonar e glomerulonefrite, e que apresentara púrpura e icterícia","Salgado, João Amílcar, Veloso, Cid, Oliveira, Celso Affonso de, Elian, Arnaldo Antônio","Revista da Sociedade Brasileira de Medicina Tropical; 1(2); 69-77","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000200006&lang=pt" 
"S0037-86821967000200002-scl","Estudos sôbre reservatórios e vetores silvestres do Trypanosoma cruzi: XVII. Contribuição para o estudo dos focos naturais da tripanossomose americana, com especial referência à região nordeste do Estado de São Paulo, Brasil","Barretto, M. P.","Revista da Sociedade Brasileira de Medicina Tropical; 1(2); 23-36","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000200002&lang=pt" 
"S0004-282X1967000100006-scl","Kinetografia: interpretação dos kinetogramas em um caso de atetose unilateral","Moreira, Milton B.","Arquivos de Neuro-Psiquiatria; 25(1); 46-50","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000100006&lang=pt" 
"S0004-282X1967000100004-scl","Complicação rara e reversível de síndrome convulsiva: hipotonia generalizada e alterações da atividade intelectual","Lison, Michel Pierre, Ribeiro, M. V. Moura, Mega, Décio","Arquivos de Neuro-Psiquiatria; 25(1); 30-39","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000100004&lang=pt" 
"S0004-282X1967000100001-scl","Fenilcetonúria: estudo clínico e mediante biópsia cerebral","Diament, Aron J., Lefèvre, Antonio B.","Arquivos de Neuro-Psiquiatria; 25(1); 1-16","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000100001&lang=pt" 
"S0004-282X1967000100002-scl","Convulsions in childhood: electroencephalographs aspects","Pupo, Paulo Pinto, Reis Filho, Isnard","Arquivos de Neuro-Psiquiatria; 25(1); 17-24","Arquivos de Neuro-Psiquiatria","Inglês","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000100002&lang=pt" 
"S0004-282X1967000100003-scl","Rinoliquorréia e hidrocefalia por gliose do aqueduto cerebral","Pereira, Walter C., Lima Neto, A. Xavier de, Tenuto, Rolando A.","Arquivos de Neuro-Psiquiatria; 25(1); 25-29","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000100003&lang=pt" 
"S0004-282X1967000100005-scl","Leptomeningite e tumor da região optoquiasmática","Silva, J. A. Gonçalves da, Saraiva, Sylvio, Spina-França, A.","Arquivos de Neuro-Psiquiatria; 25(1); 40-45","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000100005&lang=pt" 
"S0004-282X1967000100007-scl","Análises de livros","","Arquivos de Neuro-Psiquiatria; 25(1); 51-56","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000100007&lang=pt" 
"S0034-75901967000100009-scl","","Weil, Kurt E.","Revista de Administração de Empresas; 7(22); 141-145","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000100009&lang=pt" 
"S0034-75901967000100002-scl","Algumas observações sôbre o conceito de lucro da transformação","Dias, Ivan Pinto","Revista de Administração de Empresas; 7(22); 37-46","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000100002&lang=pt" 
"S0034-75901967000100008-scl","","Woo, Kenia Mei-Ling","Revista de Administração de Empresas; 7(22); 139-140","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000100008&lang=pt" 
"S0034-75901967000100007-scl","Curso de pós-graduação em administração de empresas","","Revista de Administração de Empresas; 7(22); 10-12","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000100007&lang=pt" 
"S0034-75901967000100004-scl","Previsão, contrôle e custo do atraso no crediário","Del Re, Luigi","Revista de Administração de Empresas; 7(22); 71-87","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000100004&lang=pt" 
"S0034-75901967000100003-scl","O setor agropecuário: chave do desenvolvimento latino-americano","Funes, Julio César","Revista de Administração de Empresas; 7(22); 47-70","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000100003&lang=pt" 
"S0034-75901967000100001-scl","Modêlo de desenvolvimento econômico a dois setores","Pereira, Luiz Carlos Bresser","Revista de Administração de Empresas; 7(22); 15-35","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000100001&lang=pt" 
"S0034-75901967000100005-scl","Engenharia econômica e desenvolvimento","Nakano, Yoshiaki","Revista de Administração de Empresas; 7(22); 89-112","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000100005&lang=pt" 
"S0034-75901967000100006-scl","A mentalidade administrativa","Summer Jr, Charles E.","Revista de Administração de Empresas; 7(22); 113-137","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000100006&lang=pt" 
"S0037-86821967000100009-scl","Experiências com um nôvo antihelmíntico - Triclorofenol piperazina (CI- 416) - no tratamento da ancilostomíase, ascaridíase e tricuríase","Camillo-Coura, Léa, Carvalho, Heleno Tinoco de, Florêncio, Cléber, Brasil, Hugo Americano do, Silva, José Rodrigues da","Revista da Sociedade Brasileira de Medicina Tropical; 1(1); 57-64","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000100009&lang=pt" 
"S0037-86821967000100005-scl","Implicações hemodinâmicas na esquistossomose mansônica - Estudo do gradiente pressórico portal","Coutinho, Amaury","Revista da Sociedade Brasileira de Medicina Tropical; 1(1); 29-36","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000100005&lang=pt" 
"S0037-86821967000100004-scl","O problema da hepatite crônica na esquistossomose mansônica","Andrade, Zilton A.","Revista da Sociedade Brasileira de Medicina Tropical; 1(1); 19-26","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000100004&lang=pt" 
"S0037-86821967000100003-scl","Perspectivas de controle da esquistossomose no Brasil","Silva, José Rodrigues da","Revista da Sociedade Brasileira de Medicina Tropical; 1(1); 13-18","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000100003&lang=pt" 
"S0037-86821967000100001-scl","Apresentação","Silva, J. Rodrigues da","Revista da Sociedade Brasileira de Medicina Tropical; 1(1); -","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000100001&lang=pt" 
"S0037-86821967000100002-scl","Professor José Lima Pedreira de Freitas","Pessoa, Samuel B.","Revista da Sociedade Brasileira de Medicina Tropical; 1(1); 9-12","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000100002&lang=pt" 
"S0037-86821967000100008-scl","Ensaios terapêuticos com um novo antibiótico, acefaloridina (Ceporan)","Silva, Rodrigues da, Coura, J Rodrigues, Lopes, Paulo A.","Revista da Sociedade Brasileira de Medicina Tropical; 1(1); 51-56","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000100008&lang=pt" 
"S0037-86821967000100006-scl","Perfusão de cadáveres para recuperação de Schistosoma mansoni - Técnica e resultados preliminares","Cheever, Allen W.","Revista da Sociedade Brasileira de Medicina Tropical; 1(1); 39-42","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000100006&lang=pt" 
"S0037-86821967000100007-scl","Considerações sobre o diagnóstico parasitológico da esquistossomose mansoni","Oliveira, Celso Affonso de","Revista da Sociedade Brasileira de Medicina Tropical; 1(1); 43-50","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000100007&lang=pt" 
"S0006-87051967000100018-scl","Absorção de nutrientes por plantas de amendoim na cultura de outono","Coelho, Fernando A. Soares, Tella, Romeu de","Bragantia; 26(unico); 235-252","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100018&lang=pt" 
"S0006-87051967000100031-scl","Absorção de nutrientes pela planta de amendoim em cultura de primavera","Coelho, Fernando A. Soares, Tella, Romeu de","Bragantia; 26(unico); 393-408","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100031&lang=pt" 
"S0006-87051967000100032-scl","Emprêgo de herbicidas na cultura da cana-de-açúcar em dois tipos de solo do Estado de São Paulo e sua influência na produtividade","Oliveira, Hélcio de, Ometto, José Carlos","Bragantia; 26(unico); 409-421","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100032&lang=pt" 
"S0006-87051967000100030-scl","Absorção de nutrientes pela cultura do feijoeiro","Haag, H. P., Malavolta, E., Gargantini, H., Garcia Blanco, H.","Bragantia; 26(unico); 381-391","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100030&lang=pt" 
"S0006-87051967000100028-scl","Efeito de adubos fosfatados e calcário na produção de forragem de soja perene (Glycine javanica L.) em &quot;terra de cerrado&quot;","Neme, N. A., Lovadini, L. A. C.","Bragantia; 26(unico); 365-371","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100028&lang=pt" 
"S0006-87051967000100025-scl","Respostas do feijoeiro à aplicação de diversos tipos de matéria orgânica não decomposta, na presença de adubações minerais com P, PK, NPou NPK","Miyasaka, Shiro, Freire, E. S., Igue, Toshio, Teófilo Sobrinho, J., Almeida, Luiz D&#039;Artagnan de","Bragantia; 26(unico); 335-344","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100025&lang=pt" 
"S0006-87051967000100024-scl","Comportamento de variedades de alface na região de Campinas","Bernardi, José Botter, Igue, Toshio","Bragantia; 26(unico); 329-334","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100024&lang=pt" 
"S0006-87051967000100021-scl","Adubação mineral do feijoeiro X: Efeitos de N, P, K, Se de uma mistura de micronutrientes, em terra-roxa-legítima e terra-roxa-misturada","Miyasaka, Shiro, Freirek, E. S., Mascarenhas, H. A. A., Igue, Toshio, Paranhos, Sérgio Bicudo","Bragantia; 26(unico); 287-302","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100021&lang=pt" 
"S0006-87051967000100020-scl","Comportamento de videiras Seibel na região de São Roque, no Estado de São Paulo","Ribas, Wilson Corrêa","Bragantia; 26(unico); 265-286","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100020&lang=pt" 
"S0006-87051967000100017-scl","Efeito da adubação verde do feijoeiro &quot;da sêca&quot; com Crotalaria juncea L., empregando-se toda a vegetação ou retirando-se do campo as hastes despojadas de suas fôlhas","Mascarenhas, H. A. A., Miyasaka, S., Lovadini, L. A. C., Freire, E. S., Teófilo Sobrinho, J., Cruz, Luciano Pais, Nery, Clóvis, Andrade, Fernando Goulart de","Bragantia; 26(unico); 219-234","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100017&lang=pt" 
"S0006-87051967000100014-scl","Efeitos sõbre a produção do feijoeiro, da aplicação de diversos tipos de matéria orgânica, não decomposta, na presença de adubação mineral com P, NP, PK","Miyasaka, Shiro, Lovadini, L.A.C., Freire, E.S., van Raij, Bernardo","Bragantia; 26(unico); 187-196","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100014&lang=pt" 
"S0006-87051967000100013-scl","Determinação do vírus do enrolamento em hastes velhas de batatal para sementes","Cupertino, F. P., Costa, A. S.","Bragantia; 26(unico); 181-186","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100013&lang=pt" 
"S0006-87051967000100012-scl","Adubação mineral do feijoeiro: IX - Efeitos de N, P, K, Se de uma mistura de micronutrientes, em &quot;terra-roxa-misturada&quot; préviamente tratada, ou não, com calcário dolomítico e adubação verde com labelabe","Miyasaka, Shiro, Mascarenhas, H. A. A., Freire, E. S., Igue, Toshio, Di Sordi, Guido","Bragantia; 26(unico); 161-180","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100012&lang=pt" 
"S0006-87051967000100009-scl","Observações sôbre o efeito da luz no crescimento da tiririca, Cyperus rotundus L.","Magalhães, Antônio Celso","Bragantia; 26(unico); 131-142","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100009&lang=pt" 
"S0006-87051967000100008-scl","Comportamento de novas variedades holandesas de batatinha","Curi, Sérgio Monteiro","Bragantia; 26(unico); 119-129","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100008&lang=pt" 
"S0006-87051967000100010-scl","Adubação da soja: V - Efeitos da inoculação das sementes com Rhizobiume da subseqüente &quot;peletização&quot; com pasta de carbonato de cálcio na ausência e na presença da calagem e da adubação nitrogenada","Mascarenhas, H. A. A., Miyasaka, Shiro, Freire, E. S., Di Sordi, Guido, Lopes, Eli S.","Bragantia; 26(unico); 143-154","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100010&lang=pt" 
"S0006-87051967000100011-scl","Estudo do sistema radicular do mamoeiro (Carica papayaL.) em solo podzolizado variação Marília","Inforzato, Romeu, Carvalho, Antônio Mendes de","Bragantia; 26(unico); 155-159","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100011&lang=pt" 
"S0006-87051967000100044-scl","Estudos sobre a conservação de sementes de repôlho","Zink, Eduardo, Camargo, Leocádio de Souza","Bragantia; 26(unico); LIII-LVIII","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100044&lang=pt" 
"S0006-87051967000100043-scl","A citricultura no município de Limeira estudada através de fotografias aéreas verticais","Coelho, Arnaldo Guido de Souza","Bragantia; 26(unico); LI-LII","Bragantia","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87051967000100043&lang=pt" 
