"S0041-47512012000200012-sza","Musiekentrepreneurskap: &#039;n Onmisbare element van die tersiêre musiekkurrikulum","van Zuilenburg, Paul Loeb","Tydskrif vir Geesteswetenskappe; 52(2); 322-336","Tydskrif vir Geesteswetenskappe","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-47512012000200012&lang=pt" 
"S0120-02832012000100003-col","A COMPARATIVE STUDY OF MINERALOGICAL TRANSFORMATIONS IN FIRED CLAYS FROM THE LABOYOS VALLEY, UPPER MAGDALENA BASIN (COLOMBIA)","Castellanos A., Oscar Mauricio, Ríos R., Carlos Alberto, Ramos G., Miguel Angel, Plaza P., Eric Vinicio","Boletin de Geología; 34(1); 43-55","Boletin de Geología","Inglês","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-02832012000100003&lang=pt" 
"S0120-02832012000100002-col","ANÁLISIS ESTRUCTURAL AL NORESTE DEL VOLCÁN NEVADO DEL RUÍZ, COLOMBIA - APORTE A LA EXPLORACIÓN GEOTÉRMICA","Mejía, Eliana L., Velandia, Francisco, Zuluaga, Carlos A., López, Julián A., Cramer, Thomas","Boletin de Geología; 34(1); 27-41","Boletin de Geología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-02832012000100002&lang=pt" 
"S0120-02832012000100005-col","¿HUESO FÓSIL O SIMPLE ROCA? ESPECTROSCOPIA FTIR Y CRITERIOS PARA LA IDENTIFICACIÓN DE ESTRUCTURAS ÓSEAS FOSILIZADAS","Jerez-Jaimes, Javier H., García-Gómez, Silvia Elizabeth, Cruz-Guevara, Luis Enrique","Boletin de Geología; 34(1); 67-80","Boletin de Geología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-02832012000100005&lang=pt" 
"S0120-02832012000100004-col","HALLAZGO DE YACIMIENTOS DE SALES DE POTASIO EN COLOMBIA","González Oviedo, Leopoldo, Espinosa Baquero, Armando","Boletin de Geología; 34(1); 57-65","Boletin de Geología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-02832012000100004&lang=pt" 
"S0120-02832012000100007-col","DESARROLLO DE UNA FUENTE SÍSMICA PORTÁTIL PARA ADQUISICIÓN SÍSMICA DE ALTA RESOLUCIÓN","Pinto, Omar, Rivera, Diego, Ojeda, Germán, Martínez, Alexander","Boletin de Geología; 34(1); 89-98","Boletin de Geología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-02832012000100007&lang=pt" 
"S0120-02832012000100006-col","INFLUENCIA DE LA COMPOSICIÓN MINERAL DE ROCAS ARCILLOSAS EN LA ESTABILIDAD DE POZOS PETROLEROS","Amorocho P., R., Badillo, Juán","Boletin de Geología; 34(1); 81-88","Boletin de Geología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-02832012000100006&lang=pt" 
"S0120-02832012000100009-col","UNIDADES, PETROGRAFÍA Y COMPOSICIÓN QUÍMICA DEL COMPLEJO MIGMATÍTICO DE MITÚ EN LOS ALREDEDORES DE MITÚ: RESPUESTA","Rodríguez G., Gabriel","Boletin de Geología; 34(1); 105-107","Boletin de Geología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-02832012000100009&lang=pt" 
"S0120-02832012000100008-col","UNIDADES, PETROGRAFÍA Y COMPOSICIÓN QUÍMICA DEL COMPLEJO MIGMATÍTICO DE MITÚ EN LOS ALREDEDORES DE MITÚ: RÉPLICA","López I., Julián A.","Boletin de Geología; 34(1); 101-103","Boletin de Geología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-02832012000100008&lang=pt" 
"S0120-48232012000100012-col","Observatorios y veedurías: Experiencias de Crítica Mediática y de construcción de ciudadanía","TÉLLEZ GARZÓN, MARÍA PATRICIA","Signo y Pensamiento; 31(60); 166-185","Signo y Pensamiento","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-48232012000100012&lang=pt" 
"S0120-48232012000100013-col","Reporting on Victims of Violence: Press Coverage of the Extrajudicial Killings in Colombia","RODRÍGUEZ, SANDRA MILENA","Signo y Pensamiento; 31(60); 186-213","Signo y Pensamiento","Inglês","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-48232012000100013&lang=pt" 
"S0120-48232012000100010-col","Language teaching materials as mediators for ICC development: a challenge for materials developers","RICO TRONCOSO, CARLOS","Signo y Pensamiento; 31(60); 130-154","Signo y Pensamiento","Inglês","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-48232012000100010&lang=pt" 
"S0120-48232012000100011-col","Mediaciones, comunicación y colonialidad: encuentros y desencuentros de los estudios culturales y la comunicación en Latinoamérica","VALENCIA RINCÓN, JUAN CARLOS","Signo y Pensamiento; 31(60); 156-165","Signo y Pensamiento","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-48232012000100011&lang=pt" 
"S0120-48232012000100014-col","Escándalo y medios: bomba poderosa","Sierra Gutiérrez, Luis Ignacio","Signo y Pensamiento; 31(60); 210-213","Signo y Pensamiento","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-48232012000100014&lang=pt" 
"S0304-28472012000100017-col","Aliso en Simbiosis Dual con Frankia y Endomicorrizas y Respuesta a Boro en un Andisol","Medina Sierra, Marisol, Velásquez Restrepo, Jesús Oswaldo, Pinzón Sarmiento, Luz Mary","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6467-6476","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100017&lang=pt" 
"S0304-28472012000100014-col","Efecto del Polimorfismo del Intrón 6 del Gen LTF Bovino con Algunas Enfermedades de Alta Incidencia en la Producción Lechera","Rodríguez Colorado, Nancy, López Herrera, Albeiro, Echeverri Zuluaga, Julián","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6439-6445","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100014&lang=pt" 
"S0304-28472012000100015-col","Efecto de la Adición ex vivo del Lipopolisacárido de Escherichia coli sobre la Absorción de Lisina en Cerdos Destete","Gutiérrez Vergara, Cristian, Román Ochoa, Yony, Peláez Jaramillo, Carlos, Ciro Galeano, Johana, López Herrera, Albeiro, Parra Suescún, Jaime","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6447-6457","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100015&lang=pt" 
"S0304-28472012000100012-col","Calibración y Validación del Modelo SIMBA-POP en la Zona Bananera del Urabá Antioqueño, Colombia","Guarín Giraldo, Germán Wbeimar, Ochoa, Andrés","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6419-6429","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100012&lang=pt" 
"S0304-28472012000100013-col","Aptitud del Suelo de la Zona Costera del Departamento de Córdoba (Colombia) para la Piscicultura","Oviedo Pastrana, Misael Enrique, Puerta Avilés, Óscar Antonio, Bru Cordero, Samir Benicio, Atencio García, Víctor Julio, Pardo Carrasco, Sandra Clemencia","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6431-6438","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100013&lang=pt" 
"S0304-28472012000100010-col","Determinación del Área Foliar en Fotografías Tomadas con una Cámara Web, un Teléfono Celular o una Cámara Semiprofesional","Rincón Guerrero, Natalia, Olarte Quintero, Manuel Andrés, Pérez Naranjo, Juan Carlos","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6399-6405","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100010&lang=pt" 
"S0304-28472012000100011-col","Propuesta de un Diseño Agroecológico para un Parque Natural Multifuncional (Finca Agualinda, Vereda Olarte en Usme, Bogotá D.C. - Colombia)","García Peña, Sandra Milena, Montoya Restrepo, Iván Alonso, Montoya Restrepo, Luz Alexandra","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6407-6417","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100011&lang=pt" 
"S0304-28472012000100018-col","Physiological and Physico-Chemical Characterization of the Soursop Fruit (Annona muricata L. cv. Elita)","Márquez Cardozo, Carlos Julio, Villacorta Lozano, Verónica, Yepes Betancur, Diana Paola, Ciro Velásquez, Héctor José, Cartagena Valenzuela, José Régulo","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6477-6486","Revista Facultad Nacional de Agronomía, Medellín","Inglês","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100018&lang=pt" 
"S0121-81232012000200002-col","Tratamiento de la artrosis de la articulación trapeciometacarpiana con prótesis de resuperficialización de policaprolactona degradable basada en poliuretano (Artelon®)","Vergara Amador, Enrique, Penagos, Rodrigo","Revista Colombiana de Reumatología; 19(2); 72-77","Revista Colombiana de Reumatología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232012000200002&lang=pt" 
"S0121-81232012000200003-col","Artritis indiferenciada: experiencia en dos centros ambulatorios de reumatología, Medellín, Colombia","Muñoz Grajales, Carolina, Ramírez Gómez, Luis Alberto, González Naranjo, Luis Alonso, Restrepo Escobar, Mauricio, Vásquez Duque, Gloria M, Acosta Reyes, Jorge Luis","Revista Colombiana de Reumatología; 19(2); 78-83","Revista Colombiana de Reumatología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232012000200003&lang=pt" 
"S0121-81232012000200001-col","Importancia de desarrollar guías de práctica clínica en reumatología","Medina, Yimy F, Quintana L, Gerardo","Revista Colombiana de Reumatología; 19(2); 69-70","Revista Colombiana de Reumatología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232012000200001&lang=pt" 
"S0121-81232012000200006-col","Neumonía organizante criptogénica asociada a síndrome de Felty: Cryptogenic organizing pneumonia associated with Felty&#039;s syndrome","Gómez Aldana, Andrés José, Gutiérrez Dávila, Juan Martín, Díaz Jiménez, María Claudia, Fernández-Ávila, Daniel G","Revista Colombiana de Reumatología; 19(2); 99-104","Revista Colombiana de Reumatología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232012000200006&lang=pt" 
"S0121-81232012000200007-col","Síndrome pulmón riñón en vasculitis sistémica por inmunoglobulina A secundaria a linfoma","Ocampo Ramírez, David Andrés, Restrepo Valencia, César A","Revista Colombiana de Reumatología; 19(2); 105-113","Revista Colombiana de Reumatología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232012000200007&lang=pt" 
"S0121-81232012000200004-col","Papel de la enfermedad periodontal en el desarrollo de entidades inflamatorias de etiología autoinmune: implicaciones clínicas y desafíos terapeúticos","Bautista Molano, Wilson, Unriza Puin, Sonia R, Munevar, Juan Carlos, Lafaurie, Gloria, Valle Oñate, Rafael Raúl, Romero Sánchez, María Consuelo","Revista Colombiana de Reumatología; 19(2); 84-91","Revista Colombiana de Reumatología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232012000200004&lang=pt" 
"S0121-81232012000200005-col","Fractura patológica atribuible a la terapia con bisfosfonatos","Restrepo, Ricardo César, Vargas Grajales, Francisco, Felipe-Díaz, Oscar Jaír, Velásquez Franco, Carlos Jaime, Zapata-Castellanos, Aura Ligia, Valencia, Jaime Alberto","Revista Colombiana de Reumatología; 19(2); 92-98","Revista Colombiana de Reumatología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232012000200005&lang=pt" 
"S0120-48232012000100005-col","La formación de investigadores en ciencias sociales y humanas: agencia y estructura socioeducativa en la periferia de la sociedad del conocimiento","FUENTES NAVARRO, RAÚL","Signo y Pensamiento; 31(60); 62-72","Signo y Pensamiento","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-48232012000100005&lang=pt" 
"S0120-48232012000100004-col","La tarea hermenéutica de las ciencias humanas","ÁVILA PENAGOS, RAFAEL","Signo y Pensamiento; 31(60); 44-60","Signo y Pensamiento","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-48232012000100004&lang=pt" 
"S0120-48232012000100007-col","La construcción discursiva de los problemas globales. El multiculturalismo: residuos, commodities y seudofusiones","FORD, ANIBAL","Signo y Pensamiento; 31(60); 85-95","Signo y Pensamiento","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-48232012000100007&lang=pt" 
"S0120-48232012000100006-col","De la comunicación a la cultura: Perder el &quot;objeto&quot; para ganar el proceso","MARTÍN-BARBERO, JESÚS","Signo y Pensamiento; 31(60); 76-84","Signo y Pensamiento","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-48232012000100006&lang=pt" 
"S0120-48232012000100001-col","Signo y Pensamiento, 30 años: testimonio y comienzo de una época","ARIZMENDI, JOSÉ VICENTE","Signo y Pensamiento; 31(60); 14-15","Signo y Pensamiento","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-48232012000100001&lang=pt" 
"S0120-48232012000100003-col","A tecnocultura atual e suas tendências futuras","SANTAELLA, LUCIA","Signo y Pensamiento; 31(60); 30-43","Signo y Pensamiento","Português","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-48232012000100003&lang=pt" 
"S0120-48232012000100002-col","The Identity of Communication Research","DONSBACH, WOLFGANG","Signo y Pensamiento; 31(60); 18-29","Signo y Pensamiento","Inglês","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-48232012000100002&lang=pt" 
"S0120-48232012000100009-col","Communicative Citizenship, Preliminary Approaches","TAMAYO GÓMEZ, CAMILO ANDRÉS","Signo y Pensamiento; 31(60); 106-128","Signo y Pensamiento","Inglês","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-48232012000100009&lang=pt" 
"S0120-48232012000100008-col","La mutation inachevée de la sphère publique","LÉVY, PIERRE","Signo y Pensamiento; 31(60); 96-103","Signo y Pensamiento","Francês","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-48232012000100008&lang=pt" 
"S0304-28472012000100016-col","Scolytinae (Coleoptera: Curculionidae) Asociados a Dos Maderas en un Bosque muy Húmedo Premontano (Antioquia, Colombia)","Pulgarín Díaz, John Alexander","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6459-6466","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100016&lang=pt" 
"S0304-28472012000100019-col","Cambios en la Actividad Antioxidante en Frutos de Mortiño (Vaccinium meridionale Sw.) durante su Desarrollo y Maduración","Gaviria Montoya, Carlos, Hernández Arredondo, Juan David, Lobo Arias, Mario, Medina Cano, Clara Inés, Rojano, Benjamín Alberto","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 87-6495","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100019&lang=pt" 
"S0304-28472012000100009-col","Acumulación de Grados-Día en un Cultivo de Pepino (Cucumis sativus L.) en un Modelo de Producción Aeropónico","Hoyos García, Dubián, Morales Osorio, Juan Gonzalo, Chavarría Ardila, Héctor, Montoya Ríos, Ana Paola, Correa Londoño, Guillermo, Jaramillo Villegas, Sonia del Carmen","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6389-6398","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100009&lang=pt" 
"S0304-28472012000100008-col","Caracterización Citogenética de Cinco Genotipos de Papa Criolla, Solanum phureja (Juz. et Buk.)","Gómez Pulgarín, Tiani Melissa, López Ortiz, Juan Bautista, Pineda Tuirán, Rosana, Galindo López, Leonardo Fabio, Arango Isaza, Rafael, Morales Osorio, Juan Gonzalo","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6379-6387","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100008&lang=pt" 
"S0304-28472012000100001-col","Isolation and Characterization of Potential Phytase-Producing Fungi from Environmental Samples of Antioquia (Colombia)","Ocampo Betancur, Maritza, Patiño Cervantes, Luisa Fernanda, Marín Montoya, Mauricio, Salazar Yepes, Mauricio, Gutiérrez Sánchez, Pablo Andrés","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6291-6303","Revista Facultad Nacional de Agronomía, Medellín","Inglês","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100001&lang=pt" 
"S0304-28472012000100003-col","Efecto del Fosfito de Potasio en Combinación con el Fungicida Metalaxyl + Mancozeb en el Control de Mildeo Velloso (Peronospora destructor Berk) en Cebolla de Bulbo (Allium cepa L.)","Velandia Monsalve, Jorge, Viteri Rosero, Silvio Edgar, Rubio Cárdenas, Nubia Janeth, Tovar Duarte, Fabián Octavio","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6317-6325","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100003&lang=pt" 
"S0304-28472012000100002-col","Evaluación in vitro de Microorganismos Nativos por su Antagonismo contra Moniliophthora roreri Cif &amp; Par en Cacao (Theobroma cacao L.)","Villamil Carvajal, Jorge Enrique, Blanco Valbuena, Jorge Orlando, Viteri Rosero, Silvio Edgar","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6305-6315","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100002&lang=pt" 
"S0304-28472012000100005-col","Distribución Diferencial de Bacterias con Potencial Biocontrolador de Spongospora subterranea en Plantas de Papa (Solanum tuberosum cv. Diacol Capiro)","Soler Arango, Juliana, Posada Uribe, Luisa Fernanda, Pérez Naranjo, Juan Carlos","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6337-6348","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100005&lang=pt" 
"S0304-28472012000100004-col","Evaluación in vitro de Inductores de Resistencia sobre Mycosphaerella fijiensis Morelet","Mogollón Ortiz, Ángela María, Castaño Zapata, Jairo","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6327-6336","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100004&lang=pt" 
"S0304-28472012000100007-col","Revisión: Spongospora subterranea f.sp. subterranea y su Virus Asociado Potato mop-top virus (PMTV), Dos Patógenos Reemergentes en los Cultivos de Papa de Colombia","Osorio Giraldo, Inés, Gutiérrez, Pablo Andrés, Marín Montoya, Mauricio","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6361-6378","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100007&lang=pt" 
"S0304-28472012000100006-col","Actividades Enzimáticas en Consorcios Bacterianos de Suelos Bajo Cultivo de Papa con Manejo Convencional y Bajo Pastizal","Avellaneda-Torres, Lizeth Manuela, Melgarejo Muñoz, Luz Marina, Narváez Cuenca, Carlos Eduardo, Sánchez Nieves, Jimena","Revista Facultad Nacional de Agronomía, Medellín; 65(1); 6349-6360","Revista Facultad Nacional de Agronomía, Medellín","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0304-28472012000100006&lang=pt" 
"S0121-54692012000100010-col","Revistas Científicas Estudiantiles de Psicología en Latinoamérica","ARBAIZA-BAYONA, ANA LUCÍA","Revista Colombiana de Psicología; 21(1); 151-164","Revista Colombiana de Psicología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-54692012000100010&lang=pt" 
"S0121-54692012000100011-col","Sabadini, A. A. Z. P., Sampaio, M. I. C. &amp; Koller, S. H. (Coords.) (2009). Publicar em Psicologia: um Enfoque para a Revista Científica y [Versión digital]","SERRANO, CATALINA","Revista Colombiana de Psicología; 21(1); 167-169","Revista Colombiana de Psicología","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-54692012000100011&lang=pt" 
"S0034-71672012000300014-scl","Fatores ambientais como coadjuvantes na comunicação e no cuidar do idoso hospitalizado","Prochet, Teresa Cristina, Silva, Maria Julia Paes da","Revista Brasileira de Enfermagem; 65(3); 488-494","Revista Brasileira de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672012000300014&lang=pt" 
"S1851-17242012000100001-arg","El misterio del sueño de Adán entre los primeros cristianos","Alby, Juan Carlos","Circe de clásicos y modernos; 16(1); 1-12","Circe de clásicos y modernos","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17242012000100001&lang=pt" 
"S1851-17242012000100002-arg","Los datos geográficos en la obra de Tito Livio, un estado de la cuestión","Moreno, Agustín","Circe de clásicos y modernos; 16(1); 15-29","Circe de clásicos y modernos","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17242012000100002&lang=pt" 
"S1851-17242012000100003-arg","El análisis antisténico de los nombres: Un modelo nominalista","Perrone, Daniel","Circe de clásicos y modernos; 16(1); 31-43","Circe de clásicos y modernos","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17242012000100003&lang=pt" 
"S1851-17242012000100004-arg","Los alcances de la crítica contra la justicia ateniense en la comedia Avispas de Aristófanes","Schere, María Jimena","Circe de clásicos y modernos; 16(1); 45-57","Circe de clásicos y modernos","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17242012000100004&lang=pt" 
"S1851-17242012000100005-arg","Quid tibi surrupui?: La configuración léxica y semántica del furtum en Aulularia","Suárez, Marcela A., Vazquez, Romina","Circe de clásicos y modernos; 16(1); 59-71","Circe de clásicos y modernos","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17242012000100005&lang=pt" 
"S1690-31102012000200003-ven","Polimorfismos del gen UCP-3 en individuos con Síndrome Metabólico del Municipio Maracaibo-Venezuela","Almarza, Johan, Arráiz, Nailet, Bermúdez, Valmore, Prieto, Carem, Escalona, Carolina","Revista Venezolana de Endocrinología y Metabolismo; 10(2); 65-71","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102012000200003&lang=pt" 
"S1690-31102012000200002-ven","Adiposidad, estado pro-inflamatorio y resistencia a la insulina durante la menopausia","Barrios, Yubire, Carías, Diamela","Revista Venezolana de Endocrinología y Metabolismo; 10(2); 51-64","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102012000200002&lang=pt" 
"S1690-31102012000200006-ven","XIII Congreso Sociedad Venezolana de Endocrinología y Metabolismo, 2012","","Revista Venezolana de Endocrinología y Metabolismo; 10(2); 94-118","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102012000200006&lang=pt" 
"S1690-31102012000200005-ven","Manejo de la diabetes gestacional: Protocolo del Servicio de Endocrinología del Instituto Autónomo Hospital Universitario de los Andes","Lima, Marcos M, Villalobos, Marjorie, Aguirre, Miguel, Uzcátegui, Lilia, Paoli, Mariela","Revista Venezolana de Endocrinología y Metabolismo; 10(2); 88-93","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102012000200005&lang=pt" 
"S1690-31102012000200004-ven","Consenso Latinoamericano: Niños pequeños para la edad gestacional","Boguszewski, Margaret CS, Mericq, Verónica, Bergada, Ignacio, Damiani, Durval, Belgorosky, Alicia, Gunczler, Peter, Ortiz, Teresa, Llano, Mauricio, Domené, Horacio M, Calzada-León, Raúl, Blanco, Armando, Barrientos, Margarita, Procel, Patricio, Lanes, Roberto, Jaramillo, Orlando","Revista Venezolana de Endocrinología y Metabolismo; 10(2); 72-87","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102012000200004&lang=pt" 
"S1690-31102012000200001-ven","Endocrinología y poesía","León Guevara, Adelis","Revista Venezolana de Endocrinología y Metabolismo; 10(2); 49-50","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102012000200001&lang=pt" 
"S0864-03192012000200001-cub","La Enfermería Pediátrica en los cuidados para la salud infantil","Urbina Laza, Omayda","Revista Cubana de Enfermería; 28(2); 84-84","Revista Cubana de Enfermería","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03192012000200001&lang=pt" 
"S0864-03192012000200002-cub","La Sección de Pediatría de la Sociedad Cubana de Enfermería y la Red ENSI-Cuba por la salud de las niñas y los niños","Torres Esperón, Maricela","Revista Cubana de Enfermería; 28(2); 85-85","Revista Cubana de Enfermería","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03192012000200002&lang=pt" 
"S0864-03192012000200004-cub","Algunas recomendaciones para las presentaciones orales","Urbina Laza, Omayda, Torres Esperón, Maricela","Revista Cubana de Enfermería; 28(2); 94-98","Revista Cubana de Enfermería","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03192012000200004&lang=pt" 
"S0864-03192012000200005-cub","Calidad de vida en niños y adolescentes con epilepsia","Iglesias Moré, Serguei, Fabelo Roche, Justo Reinaldo, Rojas Velázquez, Yailen, González Pal, Salvador, Ramirez Muñoz, Annelie","Revista Cubana de Enfermería; 28(2); 99-111","Revista Cubana de Enfermería","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03192012000200005&lang=pt" 
"S0864-03192012000200006-cub","Diseño de criterios, indicadores y estándares para evaluar calidad de la atención de enfermería en servicios pediátricos","López Sánchez, Irene, Torres Esperón, Maricela, Casanova González, María Felicia, Martínez Barreto, Elvira","Revista Cubana de Enfermería; 28(2); 112-117","Revista Cubana de Enfermería","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03192012000200006&lang=pt" 
"S0864-03192012000200007-cub","Introducción del Manual de Enfermedades Prevalentes de la infancia en la enseñanza de Enfermería en Cuba","Díaz Lemus, Margarita","Revista Cubana de Enfermería; 28(2); 118-124","Revista Cubana de Enfermería","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03192012000200007&lang=pt" 
