"S0104-12902011000400007-scl","Formação dos profissionais de saúde para o SUS: significado e cuidado","Batista, Karina Barros Calife, Gonçalves, Otília Simões Janeiro","Saúde e Sociedade; 20(4); 884-899","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000400007&lang=pt" 
"S1413-81232011001300019-scl","Democracia e reforma psiquiátrica no Brasil","Delgado, Paulo Gabriel Godinho","Ciência &amp; Saúde Coletiva; 16(12); 4701-4706","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300019&lang=pt" 
"S1413-81232011001300018-scl","Entrevista com Benedetto Saraceno","Alves, Domingos Sávio","Ciência &amp; Saúde Coletiva; 16(12); 4695-4700","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300018&lang=pt" 
"S1413-81232011001300024-scl","Internações por condições sensíveis à atenção primária no estado de São Paulo","Rehem, Tania Cristina Morais Santa Barbara, Egry, Emiko Yoshikawa","Ciência &amp; Saúde Coletiva; 16(12); 4755-4766","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300024&lang=pt" 
"S1413-81232011001300023-scl","Consumo de álcool entre estudantes do ensino médio do município de Passos - MG","Campos, Juliana Alvares Duarte Bonini, Almeida, Jussara de Castro, Garcia, Patrícia Petromili Nordi Sasso, Faria, João Bosco","Ciência &amp; Saúde Coletiva; 16(12); 4745-4754","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300023&lang=pt" 
"S1413-81232011001300028-scl","Padrões espaciais da tuberculose e sua associação à condição de vida no município de Ribeirão Preto","Hino, Paula, Villa, Tereza Cristina Scatena, Cunha, Tarcísio Neves da, Santos, Claudia Benedita dos","Ciência &amp; Saúde Coletiva; 16(12); 4795-4802","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300028&lang=pt" 
"S1413-81232011001300037-scl","","Schechtman, Alfredo","Ciência &amp; Saúde Coletiva; 16(12); 4885-4886","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300037&lang=pt" 
"S1413-81232011001300032-scl","Logic models from an evaluability assessment of pharmaceutical services for people living with HIV/AIDS","Esher, Angela, Santos, Elizabeth Moreira dos, Azeredo, Thiago Botelho, Luiza, Vera Lucia, Osorio-de-Castro, Claudia Garcia Serpa, Oliveira, Maria Auxiliadora","Ciência &amp; Saúde Coletiva; 16(12); 4833-4844","Ciência &amp; Saúde Coletiva","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300032&lang=pt" 
"S1413-81232011001300038-scl","Errata","","Ciência &amp; Saúde Coletiva; 16(12); 4887-4887","Ciência &amp; Saúde Coletiva","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232011001300038&lang=pt" 
"S1415-65552011000600003-scl","Trabalhadores afastados por transtornos mentais e de comportamento: o retorno ao ambiente de trabalho e suas consequências na vida laboral e pessoal de alguns bancários","Olivier, Marilene, Perez, Cristiani Storch, Behr, Simone da Costa Fernandes","Revista de Administração Contemporânea; 15(6); 993-1015","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600003&lang=pt" 
"S1415-65552011000600004-scl","Um &quot;Pas de Deux&quot; da estratégia com a arte: as práticas do grupo Corpo de Balé","Saraiva, Ernani Viana, Carrieri, Alexandre de Pádua, Aguiar, Ana Rosa Camillo, Brito, Valéria da Glória Pereira","Revista de Administração Contemporânea; 15(6); 1016-1039","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600004&lang=pt" 
"S1415-65552011000600005-scl","Administração pública de Québec: um caso de mudança cultural","Silva, Lindomar Pinto da, Fadul, Élvia","Revista de Administração Contemporânea; 15(6); 1040-1058","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600005&lang=pt" 
"S1415-65552011000600006-scl","Relações quantitativas entre orientação para o mercado, desempenho organizacional e a percepção externa de sucesso em instituições de pesquisas tecnológicas afiliadas à ABIPTI","Paim, Newton Amaral, Lara, José Edson, Christino, Juliana Maria Magalhães","Revista de Administração Contemporânea; 15(6); 1059-1077","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600006&lang=pt" 
"S1415-65552011000600007-scl","Análise de decisões sobre uso de tecnologia: um estudo no setor de telefonia móvel fundamentado nos axiomas da economia comportamental","Cappellozza, Alexandre, Sanchez, Otavio Prospero","Revista de Administração Contemporânea; 15(6); 1078-1099","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600007&lang=pt" 
"S1415-65552011000600009-scl","Por que os gestores postergam investimentos em tecnologia da informação?um estudo de caso","Malaquias, Rodrigo Fernandes, Albertin, Alberto Luiz","Revista de Administração Contemporânea; 15(6); 1120-1136","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600009&lang=pt" 
"S0104-83332011000200001-scl","Apresentação","Corrêa, Mariza, Beleli, Iara","Cadernos Pagu; (37); 7-8","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200001&lang=pt" 
"S0104-83332011000200012-scl","Emma Vermelha e o espectro do &quot;Tráfico de Mulheres&quot;","Blanchette, Thaddeus","Cadernos Pagu; (37); 287-297","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200012&lang=pt" 
"S0104-83332011000200006-scl","La ablación genital femenina en comunidades emberá chamí","González Henao, Raquel","Cadernos Pagu; (37); 163-183","Cadernos Pagu","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200006&lang=pt" 
"S0104-83332011000200010-scl","Prefácio à Emma Goldman: tráfico de Mulheres","Rago, Margareth","Cadernos Pagu; (37); 263-271","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200010&lang=pt" 
"S0104-83332011000200009-scl","Tráfico de mulheres","Goldman, Emma","Cadernos Pagu; (37); 247-262","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200009&lang=pt" 
"S0104-83332011000200019-scl","Trabalho e relações sociais de sexo: uma aventura coletiva com Danièle Kergoat","Santos, Naira Pinheiro dos","Cadernos Pagu; (37); 433-436","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200019&lang=pt" 
"S0104-83332011000200018-scl","À flor da pedra: Formas tumulares e processos sociais nos cemitérios brasileiros","Sáez, Oscar Calavia","Cadernos Pagu; (37); 427-431","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200018&lang=pt" 
"S0104-83332011000200020-scl","Projetos profissionais e/ou maternidade: críticas a um dilema/sofrimento feminino (ainda) contemporâneo","Tatagiba, Ana Paula","Cadernos Pagu; (37); 437-444","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200020&lang=pt" 
"S0482-50042011000600011-scl","Amiloidose-mieloma múltiplo apresentando-se como pseudomiopatia","Santos, Mário Sérgio F, Soares, Bianca, Mendes, Osvaldo, Carvalho, Cintia Moura, Casimiro, Rossana Fonseca","Revista Brasileira de Reumatologia; 51(6); 651-654","Revista Brasileira de Reumatologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042011000600011&lang=pt" 
"S0482-50042011000600001-scl","Ressonância magnética na artrite reumatoide","Nogueira-Barbosa, Marcello H","Revista Brasileira de Reumatologia; 51(6); 537-538","Revista Brasileira de Reumatologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042011000600001&lang=pt" 
"S0482-50042011000600002-scl","Atividade física e sua associação com qualidade de vida em pacientes com osteoartrite","Figueiredo Neto, Esmeraldino Monteiro de, Queluz, Thais Thomaz, Freire, Beatriz Funayama Alvarenga","Revista Brasileira de Reumatologia; 51(6); 544-549","Revista Brasileira de Reumatologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042011000600002&lang=pt" 
"S0482-50042011000600013-scl","Opinião de uma amostra de reumatologistas brasileiros sobre biossimilares","Azevedo, Valderilio Feijó, Felippe, Lúcio Ricardo, Machado, Denise Magalhães","Revista Brasileira de Reumatologia; 51(6); 667-671","Revista Brasileira de Reumatologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042011000600013&lang=pt" 
"S0482-50042011000600012-scl","Gangrena de pavilhão auricular como primeira manifestação de síndrome do anticorpo antifosfolípide","Sá, Erika Bettini de, Passos, Adson da Silva, Cecconi, Mariana, Barbo, Maria Lourdes Peris, Martinez, José Eduardo, Novaes, Gilberto Santos","Revista Brasileira de Reumatologia; 51(6); 658-661","Revista Brasileira de Reumatologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042011000600012&lang=pt" 
"S0482-50042011000600008-scl","Influência de elementos meteorológicos na dor de pacientes com osteoartrite: revisão da literatura","Figueiredo, Evânia Claudino Queiroga de, Figueiredo, Giovannini Cesar, Dantas, Renilson Targino","Revista Brasileira de Reumatologia; 51(6); 622-628","Revista Brasileira de Reumatologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042011000600008&lang=pt" 
"S0482-50042011000600007-scl","Incidência de infecções em artroplastias de quadril e joelho em pacientes com artrite reumatoide e osteoartrite","Cunha, Bernardo Matos da, Oliveira, Sandro Barbosa de, Santos-Neto, Leopoldo","Revista Brasileira de Reumatologia; 51(6); 609-615","Revista Brasileira de Reumatologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042011000600007&lang=pt" 
"S0482-50042011000600010-scl","Associação de osteomielite tibial e pneumonite por tuberculose miliar em paciente com lúpus eritematoso sistêmico","Rosa, Vitor Emer Egypto, Martin, Daniel, Lyrio, André Marun, Teixeira, Maria Aparecida Barone, Provenza, José Roberto","Revista Brasileira de Reumatologia; 51(6); 645-647","Revista Brasileira de Reumatologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042011000600010&lang=pt" 
"S0482-50042011000600014-scl","Colesterol e cloroquina","Borba, Eduardo Ferreira","Revista Brasileira de Reumatologia; 51(6); 673-673","Revista Brasileira de Reumatologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042011000600014&lang=pt" 
"S0034-89102011000600016-scl","Fatores associados à perda funcional em idosos residentes no município de Maceió, Alagoas","Costa e Silva, Maria do Desterro da, Guimarães, Helen Arruda, Trindade Filho, Euclides Maurício, Andreoni, Solange, Ramos, Luiz Roberto","Revista de Saúde Pública; 45(6); 1137-1144","Revista de Saúde Pública","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102011000600016&lang=pt" 
"S0034-89102011000600018-scl","Política de práticas integrativas em Recife: análise da participação dos atores","Santos, Francisco Assis da Silva, Sousa, Islândia Maria Carvalho de, Gurgel, Idê Gomes Dantas, Bezerra, Adriana Falangola Benjamin, Barros, Nelson Filice de","Revista de Saúde Pública; 45(6); 1154-1159","Revista de Saúde Pública","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102011000600018&lang=pt" 
"S0034-89102011000600023-spa","Construindo pontes entre ciência, política e práticas em saúde coletiva","Bosi, Maria Lúcia Magalhães, Gastaldo, Denise","Revista de Saúde Pública; 45(6); 1197-1200","Revista de Saúde Pública","Inglês, Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102011000600023&lang=pt" 
"S0034-89102011000600008-spa","Pertussis booster vaccine for adolescents and young adults in São Paulo, Brazil","Freitas, Angela Carvalho, Okano, Valdir, Pereira, Júlio Cesar Rodrigues","Revista de Saúde Pública; 45(6); 1162-1171","Revista de Saúde Pública","Inglês","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102011000600008&lang=pt" 
"S0104-83332011000200011-scl","Emma Goldman e a experiência das mulheres das classes trabalhadoras no Brasil","Schettini, Cristiana","Cadernos Pagu; (37); 273-285","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200011&lang=pt" 
"S0104-83332011000200002-scl","O ato de testemunhar: violência, gênero e subjetividade","Das, Veena","Cadernos Pagu; (37); 9-41","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200002&lang=pt" 
"S0104-83332011000200003-scl","Género en transición: sentido común, mujeres y guerra","Theidon, Kimberly","Cadernos Pagu; (37); 43-78","Cadernos Pagu","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200003&lang=pt" 
"S0104-83332011000200004-scl","A guerra das mães: dor e política em situações de violência institucional","Vianna, Adriana, Farias, Juliana","Cadernos Pagu; (37); 79-116","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200004&lang=pt" 
"S0104-83332011000200005-scl","Campos de estupro: as mulheres e a guerra na Bósnia","Peres, Andréa Carolina Schvartz","Cadernos Pagu; (37); 117-162","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200005&lang=pt" 
"S0104-83332011000200007-scl","No olho do furacão: conjugalidades homossexuais e o direito à visita íntima na Penitenciária Feminina da Capital","Padovani, Natália Corazza","Cadernos Pagu; (37); 185-218","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200007&lang=pt" 
"S0104-83332011000200008-scl","&quot;Femicídios&quot; e as mortes de mulheres no Brasil","Pasinato, Wânia","Cadernos Pagu; (37); 219-246","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200008&lang=pt" 
"S0104-83332011000200013-scl","Frankenstein e o espectro do desejo","Miskolci, Richard","Cadernos Pagu; (37); 299-322","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200013&lang=pt" 
"S0104-83332011000200014-scl","Cruzando fronteiras: prostituição e imigração","Mayorga, Claudia","Cadernos Pagu; (37); 323-355","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200014&lang=pt" 
"S0104-83332011000200015-scl","Quem chegar por último é mulher do padre: as Cartas de Perdão de concubinas de padres na baixa Idade Média portuguesa","Silva, Edlene Oliveira","Cadernos Pagu; (37); 357-386","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200015&lang=pt" 
"S0104-83332011000200016-scl","Gênero, infância e relações de poder: interrogações epistemológicas","Marchi, Rita de Cássia","Cadernos Pagu; (37); 387-406","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200016&lang=pt" 
"S0104-83332011000200017-scl","A nova família e a ordem jurídica","Moraes, Maria Lygia Quartim de","Cadernos Pagu; (37); 407-425","Cadernos Pagu","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332011000200017&lang=pt" 
"S0482-50042011000600003-scl","Alterações oftalmológicas decorrentes do tratamento do lúpus eritematoso sistêmico juvenil","Fraga, Melissa Mariti, Len, Claudio Arnaldo, Finamor, Luciana Peixoto dos Santos, Matos, Kimble Teixeira Fonseca, Muccioli, Cristina, Hilário, Maria Odete Esteves, Terreri, Maria Teresa Ramos Ascensão","Revista Brasileira de Reumatologia; 51(6); 554-557","Revista Brasileira de Reumatologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042011000600003&lang=pt" 
"S0482-50042011000600004-scl","Autoanticorpos na artrite reumatoide inicial: coorte Brasília - resultados de uma análise seriada de três anos","Mota, Licia Maria Henrique da, Santos Neto, Leopoldo Luiz dos, Pereira, Ivânio Alves, Burlingame, Rufus, Ménard, Henri A, Laurindo, Ieda Maria Magalhães","Revista Brasileira de Reumatologia; 51(6); 564-571","Revista Brasileira de Reumatologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042011000600004&lang=pt" 
"S0864-21412011000400015-cub","La educación médica del futuro","Jaim Etcheverry, Guillermo","Educación Médica Superior; 25(4); 550-556","Educación Médica Superior","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412011000400015&lang=pt" 
"S0102-09352011000600029-scl","Valor nutricional de componentes da planta e dos coprodutos da Agave sisalana para alimentação de ruminantes","Brandão, L.G.N., Pereira, L.G.R., Azevêdo, J.A.G., Santos, R.D., Aragão, A.S.L., Voltolini, T.V., Neves, A.L.A., Araújo, G.G.L., Brandão, W.N.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1493-1501","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600029&lang=pt" 
"S0101-28002011000400001-scl","Em busca do fator de impacto","Bastos, Marcus Gomes","Jornal Brasileiro de Nefrologia; 33(4); 393-393","Jornal Brasileiro de Nefrologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002011000400001&lang=pt" 
"S0101-28002011000400012-scl","Espironolactona melhora a vasodilatação fluxo mediada em indivíduos com síndrome metabólica","Lovisi, Julio Cesar Moraes, Ezequiel, Daniele Andrade Guedes, Costa, Monica Barros, Bicalho, Thaís Chehuen, Barros, Fernanda Castro, Souza, Gustavo do Carmo e, Paula, Rogério Baumgratz de","Jornal Brasileiro de Nefrologia; 33(4); 463-466","Jornal Brasileiro de Nefrologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002011000400012&lang=pt" 
"S0101-28002011000400007-scl","Avaliação do conhecimento sobre doença periodontal em uma amostra de nefrologistas e enfermeiros que atuam com doença renal crônica pré-dialítica","Bastos, Jessica do Amaral, Vilela, Eduardo Machado, Henrique, Mirelle Nery, Daibert, Patrícia de Castro, Fernandes, Ludmila Féo Machado de Carvalho, Paula, Diana Albuquerque Alvim de, Chaves, Maria das Graças Afonso Miranda, Bastos, Marcus Gomes","Jornal Brasileiro de Nefrologia; 33(4); 431-435","Jornal Brasileiro de Nefrologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002011000400007&lang=pt" 
"S0101-28002011000400008-scl","Assessment of a five-year survival on hemodialysis in Brazil: a cohort of 3,082 incident patients","Matos, Jorge Paulo Strogoff de, Almeida, Jorge Reis, Guinsburg, Adrian, Marelli, Cristina, Barra, Ana Beatriz Lesqueves, Vasconcellos, Marcos Sandro, José D&#039;Almeida Filho, Eufrônio, Hoette, Marcos, Ruzany, Frederico, Lugon, Jocemir Ronaldo","Jornal Brasileiro de Nefrologia; 33(4); 436-441","Jornal Brasileiro de Nefrologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002011000400008&lang=pt" 
"S0101-28002011000400011-scl","Situação do hiperparatireoidismo secundário autônomo no Brasil: dados do censo brasileiro de paratireoidectomia","Oliveira, Rodrigo Bueno de, Silva, Eduardo Neves da, Charpinel, Douglas Moraes Freire, Gueiros, José Edevanilson Barros, Neves, Carolina Lara, Sampaio, Elisa de Albuquerque, Barreto, Fellype de Carvalho, Karohl, Cristina, Ribeiro, Melani Custódio, Moysés, Rosa Maria Affonso, Jorgetti, Vanda, Carvalho, Aluizio Barbosa de","Jornal Brasileiro de Nefrologia; 33(4); 457-462","Jornal Brasileiro de Nefrologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002011000400011&lang=pt" 
"S1984-29612011000400001-scl","Editorial","Machado, Rosangela Zacarias","Revista Brasileira de Parasitologia Veterinária; 20(4); -","Revista Brasileira de Parasitologia Veterinária","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612011000400001&lang=pt" 
"S1984-29612011000400002-scl","Why is it important to correctly identify Haemonchus species?","Amarante, Alessandro Francisco Talamini do","Revista Brasileira de Parasitologia Veterinária; 20(4); 263-268","Revista Brasileira de Parasitologia Veterinária","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612011000400002&lang=pt" 
"S1984-29612011000400014-scl","First record of notoedric mange in ocelot (Leopardus pardalis Linnaeus, 1758) in the amazon region, Brazil","Scofield, Alessandra, Santos, Rafaelle Cunha dos, Carvalho, Nadino, Martins, Áurea Linhares, Góes-Cavalcante, Gustavo","Revista Brasileira de Parasitologia Veterinária; 20(4); 334-337","Revista Brasileira de Parasitologia Veterinária","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612011000400014&lang=pt" 
"S1984-29612011000400011-scl","Seroprevalence of IgG antibodies against Anaplasma marginale in cattle from south Mozambique","Tembue, António Amélia Mucalane, Silva, Jenevaldo Barbosa da, Silva, Fábio Jorge Moreira da, Pires, Marcus Sandes, Baldani, Cristiane Divan, Soares, Cleber Oliveira, Massard, Carlos Luiz, Fonseca, Adivaldo Henrique da","Revista Brasileira de Parasitologia Veterinária; 20(4); 318-324","Revista Brasileira de Parasitologia Veterinária","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612011000400011&lang=pt" 
"S1984-29612011000400016-scl","Scanning electron microscopy on Gotocotyla acanthura (Monogenea, Gotocotylidae) from Pomatomus saltatrix (Ostheichthyes, Pomatomidae) in Brazil","Pamplona-Basilio, Maria Clara, Barbosa, Helene Santos, Cohen, Simone Chinicz","Revista Brasileira de Parasitologia Veterinária; 20(4); 342-346","Revista Brasileira de Parasitologia Veterinária","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612011000400016&lang=pt" 
"S1984-29612011000400013-scl","First record of Neobenedenia melleni (Monogenea: Capsalidae) in sea-farmed cobia (Rachycentron canadum) in Brazil","Kerber, Claudia Ehlers, Sanches, Eduardo Gomes, Santiago, Mauricio, Luque, José Luis","Revista Brasileira de Parasitologia Veterinária; 20(4); 331-333","Revista Brasileira de Parasitologia Veterinária","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612011000400013&lang=pt" 
"S1984-29612011000400015-scl","Effects of destruxin A on Rhipicephalus (Boophilus) microplus ticks (Acari: Ixodidae)","Gôlo, Patrícia Silva, Angelo, Isabele da Costa, Camargo, Mariana Guedes, Perinotto, Wendell Marcelo de Souza, Bittencourt, Vânia Rita Elias Pinheiro","Revista Brasileira de Parasitologia Veterinária; 20(4); 338-341","Revista Brasileira de Parasitologia Veterinária","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612011000400015&lang=pt" 
"S1984-29612011000400017-scl","Induction of complete courtship ritual in Amblyomma cajennense using 2,6-dichlorophenol at female-equivalent quantities","Gachoka, Kennedy Kiriira, Ferreira, Lorena Lopes, Louly, Carla Cristina Braz, Borges, Lígia Miranda Ferreira","Revista Brasileira de Parasitologia Veterinária; 20(4); 347-350","Revista Brasileira de Parasitologia Veterinária","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612011000400017&lang=pt" 
"S1984-29612011000400018-scl","Occurrence of anti-Toxoplasma gondii antibodies in cattle and pigs slaughtered, State of Rio de Janeiro","Luciano, Daniela Martins, Menezes, Rodrigo Caldas, Ferreira, Luiz Cláudio, Nicolau, José Leonardo, Neves, Leandro Batista das, Luciano, Raquel Martins, Dahroug, Magyda Arabia Araji, Amendoeira, Maria Regina Reis","Revista Brasileira de Parasitologia Veterinária; 20(4); 351-353","Revista Brasileira de Parasitologia Veterinária","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612011000400018&lang=pt" 
"S1516-18462011000600001-scl","Muito a comemorar e mais ainda a percorrer","Bianchini, Esther Mandelbaum Gonçalves","Revista CEFAC; 13(6); 975-976","Revista CEFAC","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462011000600001&lang=pt" 
"S1516-18462011000600018-scl","A relação da postura corporal, da respiração oral e do estado nutricional em crianças: uma revisão de literatura","Machado, Patrícia Girarde, Mezzomo, Carolina Lisbôa","Revista CEFAC; 13(6); 1109-1118","Revista CEFAC","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462011000600018&lang=pt" 
"S1516-18462011000600014-scl","Percepção de sabores em pacientes com acidente vascular encefálico","Alves, Leda Maria Tavares, Dantas, Roberto Oliveira","Revista CEFAC; 13(6); 1081-1085","Revista CEFAC","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462011000600014&lang=pt" 
"S1516-18462011000600019-scl","Dialogia mãe-filho em contextos de depressão materna: revisão de literatura","Carlesso, Janaína Pereira Pretto, Souza, Ana Paula Ramos de","Revista CEFAC; 13(6); 1119-1126","Revista CEFAC","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462011000600019&lang=pt" 
"S1516-18462011000600011-scl","Adaptação para a língua Portuguesa e aplicação de protocolo de avaliação das disartrias de origem central em pacientes com Doença de Parkinson","Fracassi, Angélica Suelen, Gatto, Ana Rita, Weber, Silke, Spadotto, André Augusto, Ribeiro, Priscila Watson, Schelp, Arthur Oscar","Revista CEFAC; 13(6); 1056-1065","Revista CEFAC","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462011000600011&lang=pt" 
"S0325-29572011000400001-arg","45 años de Acta Bioquímica Clínica Latinoamericana","Torres, Alberto Nicolás, Castagnino, Juan Miguel, Pollio, Laura Susana","Acta bioquímica clínica latinoamericana; 45(4); 595-595","Acta bioquímica clínica latinoamericana","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572011000400001&lang=pt" 
"S0325-29572011000400002-arg","Una nueva distinción para Acta Bioquímica Clínica Latinoamericana","","Acta bioquímica clínica latinoamericana; 45(4); 597-598","Acta bioquímica clínica latinoamericana","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572011000400002&lang=pt" 
"S0325-29572011000400003-arg","Relato histórico del Instituto de Biología y Medicina Experimental","Charreau, Eduardo","Acta bioquímica clínica latinoamericana; 45(4); 599-719","Acta bioquímica clínica latinoamericana","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572011000400003&lang=pt" 
"S0325-29572011000400004-arg","Pancreolauril sérico: prueba bioquímica no invasiva para evaluar función pancreática exocrina","López Mingorance, Fabiana Norma, Tiscornia, Osvaldo Manuel, Negri, Gustavo Alberto, Di Carlo, María Beatriz","Acta bioquímica clínica latinoamericana; 45(4); 721-725","Acta bioquímica clínica latinoamericana","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572011000400004&lang=pt" 
