"S1413-86702008000200002-scl","Congenital toxoplasmosis: public health policy concerns","Vanni, Tazio, Ribeiro, Rodrigo A., Varella, Ivana S., Polanczyk, Carisi A., Fonseca, Benedito A. L., Kuchenbecker, Ricardo","Brazilian Journal of Infectious Diseases; 12(2); 107-107","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000200002&lang=pt" 
"S0104-11692008000200012-scl","Social reproduction and anemia in infancy","Fujimori, Elizabeth, Duarte, Luciane Simões, Minagawa, Áurea Tamami, Laurenti, Daniela, Montero, Rosali Maria Juliano Marcondes","Revista Latino-Americana de Enfermagem; 16(2); 245-251","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200012&lang=pt" 
"S0104-11692008000200013-scl","The meanings of quality of life: interpretative analysis based on experiences of people in burns rehabilitation","Costa, Maria Cristina Silva, Rossi, Lídia Aparecida, Lopes, Lívia Mara, Cioffi, Caroline Lopes","Revista Latino-Americana de Enfermagem; 16(2); 252-259","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200013&lang=pt" 
"S0104-11692008000200014-scl","Ways of coping with AIDS: opinion of mothers with HIV children","Silva, Richardson Augusto Rosendo da, Rocha, Vera Maria da, Davim, Rejane Marie Barbosa, Torres, Gilson de Vasconcelos","Revista Latino-Americana de Enfermagem; 16(2); 260-265","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200014&lang=pt" 
"S0104-11692008000200016-scl","Randomized controlled clinical trial on two perineal trauma suture techniques in normal delivery","Almeida, Sandra Ferreira Silva de, Riesco, Maria Luiza Gonzalez","Revista Latino-Americana de Enfermagem; 16(2); 272-279","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200016&lang=pt" 
"S0104-11692008000200017-scl","Adolescent maternity in a low income community: experiences revealed by oral history","Hoga, Luiza Akiko Komura","Revista Latino-Americana de Enfermagem; 16(2); 280-286","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200017&lang=pt" 
"S0104-11692008000200018-scl","Explanatory factors for the variation in hospitalizations","Chaves, Lucieli Dias Pedreschi, Anselmi, Maria Luiza","Revista Latino-Americana de Enfermagem; 16(2); 287-292","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200018&lang=pt" 
"S0104-11692008000200019-scl","Low-income families&#039; perceptions on the use of drugs by one of their members","Martins, Mayra, Santos, Manoel Antonio dos, Pillon, Sandra Cristina","Revista Latino-Americana de Enfermagem; 16(2); 293-298","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200019&lang=pt" 
"S0104-11692008000200020-scl","Antisocial behavior and alcohol consumption by school adolescents","García, Karla Selene López, Costa Junior, Moacyr Lobo da","Revista Latino-Americana de Enfermagem; 16(2); 299-305","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200020&lang=pt" 
"S0104-11692008000200021-scl","Tuberculosis contact control in Brazil: a liberature review (1984-2004)","Gazetta, Cláudia Eli, Santos, Maria de Lourdes Sperli Geraldes, Vendramini, Sílvia Helena Figueiredo, Poletti, Nadia Antonia Aparecida, Pinto Neto, José Martins, Villa, Tereza Cristina Scatena","Revista Latino-Americana de Enfermagem; 16(2); 306-313","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200021&lang=pt" 
"S0104-11692008000200024-scl","Social support and social network in family nursing: reviewing concepts","Pedro, Iara Cristina da Silva, Rocha, Semiramis Melani Melo, Nascimento, Lucila Castanheira","Revista Latino-Americana de Enfermagem; 16(2); 324-327","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200024&lang=pt" 
"S0104-42302008000200012-scl","Acid-base disarrangement and gastric intramucosal acidosis predict outcome from major trauma","Calvete, José O., Schonhorst, Leonardo, Moura, Diego M., Friedman, Gilberto","Revista da Associação Médica Brasileira; 54(2); 116-121","Revista da Associação Médica Brasileira","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302008000200012&lang=pt" 
"S0100-69912008000200015-scl","Cistectomia radical laparoscópica com reservatório ileal","Branco, Anibal Wood, Kondo, William, Branco Filho, Alcides José, Stunitz, Luciano Carneiro, George, Marco Aurélio de","Revista do Colégio Brasileiro de Cirurgiões; 35(2); 149-150","Revista do Colégio Brasileiro de Cirurgiões","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912008000200015&lang=pt" 
"S0100-69912008000200001-scl","O &quot;bypass&quot; gástrico por minilaparotomia na era da cirurgia videolaparoscópica","Coelho, Antonio Cláudio Jamel","Revista do Colégio Brasileiro de Cirurgiões; 35(2); 70-71","Revista do Colégio Brasileiro de Cirurgiões","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912008000200001&lang=pt" 
"S0100-69912008000200002-scl","Relações anatômicas das glândulas paratireóides cervicais com a tireóide: estudo em 53 tireoidectomias","Botelho, João Bosco, Anjos, Gecildo Soriano dos, Gomes Filho, Juber Machado, Pires, Givanildo de Pádua, Ferreira, Daniele Memória Ribeiro, Souza, Fernando Bezerra de Melo e, Leite, Tarick de Oliveira","Revista do Colégio Brasileiro de Cirurgiões; 35(2); 72-78","Revista do Colégio Brasileiro de Cirurgiões","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912008000200002&lang=pt" 
"S0100-69912008000200003-scl","A influência do uso do &quot;clamp&quot; ou braçadeira no acúmulo de coágulos em drenos pleurais tubulares","Lima, Alexandre Garcia de, Rocha, Elen Renate Figueira, Seabra, José Cláudio Teixeira, Mussi, Ricardo Kalaf, Santos, José Geraldo dos, Contrera Toro, Ivan Felizardo","Revista do Colégio Brasileiro de Cirurgiões; 35(2); 79-82","Revista do Colégio Brasileiro de Cirurgiões","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912008000200003&lang=pt" 
"S0100-69912008000200007-scl","Efeitos do dimetilsulfóxido no estresse oxidativo e na regeneração hepática pós-hepatectomia em ratos","Melo, José Ulisses de Souza, Vasconcelos, Paulo Roberto Leitão de, Santos, Jefferson Menezes Viana, Campos Júnior, Manoel Messias, Barreto, Marcus Vinicius Amaral, Kimura, Osamu de Sandes","Revista do Colégio Brasileiro de Cirurgiões; 35(2); 103-108","Revista do Colégio Brasileiro de Cirurgiões","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912008000200007&lang=pt" 
"S0100-69912008000200009-scl","Esôfago de Barrett: aspectos fisiopatológicos e moleculares da seqüência metaplasia-displasia-adenocarcinoma - artigo de revisão","Volkweis, Bernardo Silveira, Gurski, Richard Ricachenevsky","Revista do Colégio Brasileiro de Cirurgiões; 35(2); 114-123","Revista do Colégio Brasileiro de Cirurgiões","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912008000200009&lang=pt" 
"S0100-69912008000200012-scl","Ensinar cirurgia: como e para quem?","Jesus, Lisieux Eyer de","Revista do Colégio Brasileiro de Cirurgiões; 35(2); 136-140","Revista do Colégio Brasileiro de Cirurgiões","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912008000200012&lang=pt" 
"S0100-69912008000200010-scl","Aspectos endoscópicos no manejo da úlcera péptica gastroduodenal","Giordano-Nappi, José, Maluf Filho, Fauze","Revista do Colégio Brasileiro de Cirurgiões; 35(2); 124-131","Revista do Colégio Brasileiro de Cirurgiões","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912008000200010&lang=pt" 
"S0100-69912008000200014-scl","Cisto de colédoco em adulto: anomalia da junção do colédoco com o ducto pancreático submetido à ressecção do cisto e à derivação biliar e pancreática","Speranzini, Manlio Basilio, Abreu, Rone Antônio Alves, Pacheco, Raphael Braun Petty","Revista do Colégio Brasileiro de Cirurgiões; 35(2); 146-148","Revista do Colégio Brasileiro de Cirurgiões","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912008000200014&lang=pt" 
"S0104-11692008000200002-scl","Competencies for educational activities in nursing","Leonello, Valéria Marli, Oliveira, Maria Amélia de Campos","Revista Latino-Americana de Enfermagem; 16(2); 177-183","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200002&lang=pt" 
"S0104-11692008000200015-scl","Use and cost of medication in low risk pregnant women","Maeda, Sayuri Tanaka, Secoli, Sílvia Regina","Revista Latino-Americana de Enfermagem; 16(2); 266-271","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200015&lang=pt" 
"S0104-11692008000200022-scl","Ten years of new injury severity score (NISS): is it a possible change?","Nogueira, Lilia de Souza, Domingues, Cristiane de Alencar, Campos, Miriam de Araújo, Sousa, Regina Márcia Cardoso de","Revista Latino-Americana de Enfermagem; 16(2); 314-319","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200022&lang=pt" 
"S1020-49892008000400005-spa","Patrón alimentario y acceso a los alimentos en familias desplazadas en el municipio de Girón, Santander, Colombia","Prada Gómez, Gloria Esperanza, Herrán Falla, Oscar Fernando, Ortiz Cárdenas, Rosario","Revista Panamericana de Salud Pública; 23(4); 257-263","Revista Panamericana de Salud Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892008000400005&lang=pt" 
"S0034-89102008000200024-spa","Competencia en el sector salud: análisis de la reforma sueca (1992 - 1995)","Mould Quevedo, Joaquín F, Salinas Escudero, Guillermo, Contreras Hernández, Iris, Garrido Solano, Carlos","Revista de Saúde Pública; 42(2); 356-364","Revista de Saúde Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102008000200024&lang=pt" 
"S0034-89102008000200010-spa","Dominio cultural del autocuidado en diabeticos tipo 2 con y sin control glucémico en México","Salcedo-Rocha, Ana L, Alba-García, Javier E García de, Sevila, Elizabeth","Revista de Saúde Pública; 42(2); 256-264","Revista de Saúde Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102008000200010&lang=pt" 
"S0034-89102008000200009-spa","Relación entre médicos y pacientes con VIH: influencia en apego terapéutico y calidad de vida","Herrera, Cristina, Campero, Lourdes, Caballero, Marta, Kendall, Tamil","Revista de Saúde Pública; 42(2); 249-255","Revista de Saúde Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102008000200009&lang=pt" 
"S0034-89102008000200010-scl","Dominio cultural del autocuidado en diabeticos tipo 2 con y sin control glucémico en México","Salcedo-Rocha, Ana L, Alba-García, Javier E García de, Sevila, Elizabeth","Revista de Saúde Pública; 42(2); 256-264","Revista de Saúde Pública","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102008000200010&lang=pt" 
"S0034-89102008000200009-scl","Relación entre médicos y pacientes con VIH: influencia en apego terapéutico y calidad de vida","Herrera, Cristina, Campero, Lourdes, Caballero, Marta, Kendall, Tamil","Revista de Saúde Pública; 42(2); 249-255","Revista de Saúde Pública","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102008000200009&lang=pt" 
"S0034-89102008000200024-scl","Competencia en el sector salud: análisis de la reforma sueca (1992 - 1995)","Mould Quevedo, Joaquín F, Salinas Escudero, Guillermo, Contreras Hernández, Iris, Garrido Solano, Carlos","Revista de Saúde Pública; 42(2); 356-364","Revista de Saúde Pública","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102008000200024&lang=pt" 
"S0004-27492008000200001-scl","ABOONLINE agora em versão trilíngüe","Dantas, Paulo Elias C., Campos, Mauro, Muccioli, Cristina, Bicas, Harley E.A.","Arquivos Brasileiros de Oftalmologia; 71(2); 135-135","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200001&lang=pt" 
"S0004-27492008000200031-scl","Metástase de coróide simulando síndrome de efusão uveal: relato de caso","Cury Júnior, Carlos Eduardo, Cury Júnior, Alexandre, Siqueira, Rubens Camargo, Storti, Cíntia","Arquivos Brasileiros de Oftalmologia; 71(2); 291-294","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200031&lang=pt" 
"S0004-27492008000200004-scl","Trauma ocupacional por corpo estranho corneano superficial","Gerente, Vanessa Miroski, Melo, Gustavo Barreto de, Regatieri, Caio Vinícius Saito, Alvarenga, Lênio Souza, Martins, Elizabeth Nogueira","Arquivos Brasileiros de Oftalmologia; 71(2); 149-152","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200004&lang=pt" 
"S0004-27492008000200003-scl","Sensibilidade do estímulo de tamanho I na perimetria computadorizada acromática para a detecção de defeitos glaucomatosos no campo visual: análise comparativa com as perimetrias de ondas curtas e acromática convencional (SITA)","Mattos, Tessa de Cerqueira Lemos, Kasahara, Niro, Paolera, Maurício Della, Cohen, Ralph, Mandia Junior, Carmo, Almeida, Geraldo Vicente de","Arquivos Brasileiros de Oftalmologia; 71(2); 142-148","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200003&lang=pt" 
"S0004-27492008000200009-scl","Dez anos de doação de córneas no Banco de Olhos do Hospital São Paulo: perfil dos doadores de 1996 a 2005","Adán, Consuelo Bueno Diniz, Diniz, Amanda Rocha, Perlatto, Débora, Hirai, Flávio Eduardo, Sato, Elcio Hideo","Arquivos Brasileiros de Oftalmologia; 71(2); 176-181","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200009&lang=pt" 
"S0004-27492008000200007-scl","Acometimento ocular em pacientes com mansonelose","Cohen, Jacob Moysés, Ribeiro, Jefferson Augusto Santana, Martins, Marilaine","Arquivos Brasileiros de Oftalmologia; 71(2); 167-171","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200007&lang=pt" 
"S0004-27492008000200008-scl","Epidemiologia e diferenças regionais da retinopatia diabética em Pernambuco, Brasil","Escarião, Paulo Henrique Gonçalves, Arantes, Tiago Eugênio Faria de, Figueiroa Filho, Natanael Cavalcanti, Urtiga, Ricardo de Deus, Florêncio, Telma Lúcia Tabosa, Arcoverde, Ana Lúcia de Andrade Lima","Arquivos Brasileiros de Oftalmologia; 71(2); 172-175","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200008&lang=pt" 
"S0004-27492008000200029-scl","Síndrome do anticorpo antifosfolípide causando oclusão bilateral de artérias e veias centrais da retina: relato de caso","Beckhauser, Ana Paula, Arana, Luís Augusto, Skare, Thelma Larocca","Arquivos Brasileiros de Oftalmologia; 71(2); 282-285","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200029&lang=pt" 
"S0004-27492008000200011-scl","Avaliação da camada de fibras nervosas na retinopatia diabética tratada por panfotocoagulação com laser de argônio","Maia Júnior, Otacílio de Oliveira, Vessani, Roberto Murad, Takahashi, Walter Yukihiko, Susanna Júnior, Remo","Arquivos Brasileiros de Oftalmologia; 71(2); 187-190","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200011&lang=pt" 
"S0004-27492008000200026-scl","Síndrome de Fraser: relato de caso","Saraceno, Janaína, Lopes, Tâmara, Pinheiro, Regina Helena Rathsam, Lima, Humberto Castro, Chaves, Alessandra Pinheiro","Arquivos Brasileiros de Oftalmologia; 71(2); 269-272","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200026&lang=pt" 
"S0004-27492008000200023-scl","Experiência inicial com a ceratoprótese de Dohlman-Doane: relato de casos","Stolz, Andressa Prestes, Kwitko, Sérgio, Pizzol, Melissa Manfroi Dal, Marinho, Diane, Rymer, Samuel","Arquivos Brasileiros de Oftalmologia; 71(2); 257-261","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200023&lang=pt" 
"S0004-27492008000200020-scl","Correlação clínica entre estrutura e função no glaucoma: classificação estrutural de Armaly e o sistema de estadiamento funcional de Brusini","Oliveira, Adriana Chaves de, Oliveira, Flávia Chaves de, Albers, Marcos Bottene Villa, Cohen, Ralph, Kasahara, Niro","Arquivos Brasileiros de Oftalmologia; 71(2); 242-245","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200020&lang=pt" 
"S0004-27492008000200019-scl","Cirurgia da catarata infantil unilateral","Brandão, Adriana Maria Drummond, Tartarella, Márcia Beatriz","Arquivos Brasileiros de Oftalmologia; 71(2); 238-241","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200019&lang=pt" 
"S0004-27492008000200018-scl","Development of an aspheric 22-diopter 50-mm diameter magnifier","Bonatti, José Américo, Bonatti, Fernanda Alves da Silva, Santos, Maria Cecília Loschiavo dos, Carricondo, Pedro Carlos, Kara-José, Newton","Arquivos Brasileiros de Oftalmologia; 71(2); 234-237","Arquivos Brasileiros de Oftalmologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200018&lang=pt" 
"S0004-27492008000200022-scl","Lipemia retinalis in a 35-day-old infant with hyperlipoproteinemia: case report","Cypel, Marcela, Manzano, Roberta, Reis, Frederico Augusto dos, Ishida, Noemi, Ayhara, Teruo","Arquivos Brasileiros de Oftalmologia; 71(2); 254-256","Arquivos Brasileiros de Oftalmologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200022&lang=pt" 
"S0004-27492008000200024-scl","Subperiosteal hematoma and orbital compression syndrome following minor frontal trauma in sickle cell anemia: case report","Procianoy, Fernando, Brandão Filho, Mauro, Cruz, Antonio Augusto Velasco e, Alencar, Victor Marques","Arquivos Brasileiros de Oftalmologia; 71(2); 262-264","Arquivos Brasileiros de Oftalmologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200024&lang=pt" 
"S0004-27492008000200025-scl","Bilateral acute angle closure glaucoma in a patient with dengue fever: case report","Pierre Filho, Paulo de Tarso Ponte, Carvalho Filho, Jurandir Pontes, Pierre, Érika Teles Linhares","Arquivos Brasileiros de Oftalmologia; 71(2); 265-268","Arquivos Brasileiros de Oftalmologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200025&lang=pt" 
"S0004-27492008000200028-scl","Linfoma não-Hodgkin de órbita: relato de caso","Silva, Cristiane do Prado, Domingues, Maria Aparecida, Schellini, Silvana Artioli, Niero, Ligia","Arquivos Brasileiros de Oftalmologia; 71(2); 278-281","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200028&lang=pt" 
"S0004-27492008000200033-scl","Cartas ao editor","","Arquivos Brasileiros de Oftalmologia; 71(2); 300-301","Arquivos Brasileiros de Oftalmologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492008000200033&lang=pt" 
"S0104-11692008000200001-scl","Shortage of qualified health workers: a call to action for nurses","Mendes, Isabel Amélia Costa, Marziale, Maria Helena Palucci","Revista Latino-Americana de Enfermagem; 16(2); 173-174","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692008000200001&lang=pt" 
"S1135-57272008000200008-spa","Valoración con tres métodos diferentes de la prevalencia de consumo de tabaco en estudiantes de primer curso de ciencias de la salud de la Universidad de León en 2006","Martín, Vicente, Fernández, Daniel, Ordóñez, César, Molina, Antonio José, Fernández, Elena, Luís, José Manuel de","Revista Española de Salud Pública; 82(2); 221-229","Revista Española de Salud Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272008000200008&lang=pt" 
"S1135-57272008000200007-spa","Impacto en la utilización de los servicios sanitarios de las variables sociodemográficas, estilos de vida y autovaloración de la salud por parte de los colectivos de inmigrantes del País Vasco, 2005","Rodríguez Álvarez, Elena, Lanborena Elordui, Nerea, Pereda Riguera, Celina, Rodríguez Rodríguez, Alba","Revista Española de Salud Pública; 82(2); 209-220","Revista Española de Salud Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272008000200007&lang=pt" 
"S1135-57272008000200006-spa","Opinión y participación de los médicos de familia de la Comunidad de Madrid en el Programa Regional de Detección Precoz de Cáncer de Mama en 2007","Garrido Elustondo, Sofía, Sánchez Padilla, Elisabeth, Ramírez Alesón, Victoria, González Hernández, Mª José, González Navarro, Andrés, López Gómez, Carlos","Revista Española de Salud Pública; 82(2); 201-208","Revista Española de Salud Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272008000200006&lang=pt" 
"S1135-57272008000200004-spa","Comparación de las lesiones por accidente de trabajo en trabajadores extranjeros y españoles por actividad económica y comunidad autónoma (España, 2005)","López-Jacob, Mª José, Ahonen, Emily, García, Ana M., Gil, Ángel, Benavides, Fernando G.","Revista Española de Salud Pública; 82(2); 179-187","Revista Española de Salud Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272008000200004&lang=pt" 
"S1135-57272008000200003-spa","Análisis de la supervivencia en pacientes con cáncer múltiple, Asturias, 1975-2004","Lana Pérez, Alberto, Folgueras Sánchez, María Victoria, Díaz Rodríguez, Sandra, Valle Gómez, María del Olivo del, Cueto Espinar, Antonio, López González, María Luisa","Revista Española de Salud Pública; 82(2); 167-177","Revista Española de Salud Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272008000200003&lang=pt" 
"S1135-57272008000200002-spa","Efecto del calor sobre el número de urgencias hospitalarias en la Región de Murcia durante los veranos del período 2000-2005 y su uso en la vigilancia epidemiológica","García-Pina, Rocío, Tobías Garcés, Aurelio, Sanz Navarro, José, Navarro Sánchez, Carmen, García-Fulgueiras, Ana","Revista Española de Salud Pública; 82(2); 153-166","Revista Española de Salud Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272008000200002&lang=pt" 
"S1135-57272008000200005-spa","Fiabilidad y validez de un cuestionario para medir en estudiantes universitarios la asociación de la ansiedad y depresión con factores académicos y psicosociofamiliares durante el curso 2004-2005","Balanza Galindo, Serafín, Morales Moreno, Isabel, Guerrero Muñoz, Joaquín, Conesa Conesa, Ana","Revista Española de Salud Pública; 82(2); 189-200","Revista Española de Salud Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272008000200005&lang=pt" 
"S1135-57272008000200001-spa","El impacto del calor extremo en la salud: nuevos retos para la epidemiología y la salud pública","Ballester, Ferran","Revista Española de Salud Pública; 82(2); 147-151","Revista Española de Salud Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272008000200001&lang=pt" 
"S1135-57272008000200009-spa","IX Reunión de Responsables de Formación en Salud Pública: áreas de conocimiento y contenido curricular","","Revista Española de Salud Pública; 82(2); 231-233","Revista Española de Salud Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272008000200009&lang=pt" 
"S0100-69912008000200004-scl","Sarcomas de alto grau: estudo retrospectivo de 131 casos","Manoel, Wilmar José, Sarmento, Bruno José de Queiroz, Silveira Júnior, Luiz de Paula, Abreu, Deidimar Cássia Batista de, Abreu Neto, Iron Pires de, Ferreira, Erika Chaul","Revista do Colégio Brasileiro de Cirurgiões; 35(2); 83-87","Revista do Colégio Brasileiro de Cirurgiões","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912008000200004&lang=pt" 
"S0100-69912008000200005-scl","Epidemiologia do traumatismo da coluna vertebral","Campos, Marcelo Ferraz de, Ribeiro, André Tosta, Listik, Sérgio, Pereira, Clemente Augusto de Brito, Andrade Sobrinho, Jozias de, Rapoport, Abrão","Revista do Colégio Brasileiro de Cirurgiões; 35(2); 88-93","Revista do Colégio Brasileiro de Cirurgiões","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912008000200005&lang=pt" 
"S0100-69912008000200006-scl","Trauma de duodeno: análise de fatores relacionados à morbimortalidade","Fraga, Gustavo Pereira, Biazotto, Guilherme, Villaça, Marcelo Pinheiro, Andreollo, Nelson Adami, Mantovani, Mario","Revista do Colégio Brasileiro de Cirurgiões; 35(2); 94-102","Revista do Colégio Brasileiro de Cirurgiões","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912008000200006&lang=pt" 
"S0100-69912008000200008-scl","Estudo morfológico do intestino de ratos após a criação cirúrgica de esfíncteres artificiais","Barra, Ângela Aparecida, Silva, Alcino Lázaro da, Rena, Cícero de Lima, Furtado, Maria Cristina Vasconcelos, Pinto, Rafael Moraes","Revista do Colégio Brasileiro de Cirurgiões; 35(2); 109-113","Revista do Colégio Brasileiro de Cirurgiões","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912008000200008&lang=pt" 
"S0100-69912008000200011-scl","Esplenectomia parcial para tratar hemangioma esplênico","Petroianu, Andy, Brandt, Carlos Teixeira, Alencar, Lúcio Flávio de","Revista do Colégio Brasileiro de Cirurgiões; 35(2); 132-135","Revista do Colégio Brasileiro de Cirurgiões","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912008000200011&lang=pt" 
"S0036-36342008000200010-spa","La anatomía de la satisfacción del paciente","Serrano-del Rosal, Rafael, Loriente-Arín, Nuria","Salud Pública de México; 50(2); 162-172","Salud Pública de México","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342008000200010&lang=pt" 
"S0036-36342008000200009-spa","Quimioprofilaxis para evitar la colonización materna por estreptococo grupo B: consecuencias de no adoptar la recomendación internacional","Reyna-Figueroa, Jesús, Ortiz-Ibarra, Federico Javier, Pérez-Antonio, Beatriz, Navarro-Godínez, Sujey, Casanova-Román, Gerardo, García-Carrillo, Laura Erika","Salud Pública de México; 50(2); 155-161","Salud Pública de México","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342008000200009&lang=pt" 
