"S0365-66912005000800001-esp","Terapia antiangiogénica","Arias-Barquet, L","Archivos de la Sociedad Española de Oftalmología; 80(8); 435-436","Archivos de la Sociedad Española de Oftalmología","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912005000800001&lang=pt" 
"S0100-41582005000400015-scl","Variability of the wheat powdery mildew pathogen Blumeria graminis f. sp. tritici in the 2003 crop season","Costamilan, Leila M.","Fitopatologia Brasileira; 30(4); 420-422","Fitopatologia Brasileira","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400015&lang=pt" 
"S0100-41582005000400014-scl","Detection of Varicosavirus and Ophiovirus in lettuce associated with lettuce big-vein symptoms in Brazil","Colariccio, Addolorata, Chaves, Alexandre L.R., Eiras, Marcelo, Chagas, César M., Roggero, Piero","Fitopatologia Brasileira; 30(4); 416-419","Fitopatologia Brasileira","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400014&lang=pt" 
"S0100-41582005000400013-scl","Reprodução de Meloidogyne exigua em cultivares de cafeeiros resistentes e suscetíveis","Salgado, Sônia M. Lima, Resende, Mário Lúcio V., Campos, Vicente P.","Fitopatologia Brasileira; 30(4); 413-415","Fitopatologia Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400013&lang=pt" 
"S0100-41582005000400010-scl","Efeito do Soil-borne wheat mosaic virus sobre o metabolismo de cinco genótipos de trigo com diferentes níveis de resistência à doença","Souza, Rocheli de, Schons, Jurema, Brammer, Sandra P., Prestes, Ariano M., Scheeren, Pedro L., Nicolini-Teixeira, Fernanda, Cecchetti, Dileta, Lanzarini, Ariane C.","Fitopatologia Brasileira; 30(4); 400-403","Fitopatologia Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400010&lang=pt" 
"S0100-41582005000400011-scl","Identification of the major fungitoxic component of cinnamon bark oil","Jham, Gulab N., Dhingra, Onkar D., Jardim, Carolina M., Valente, Vânia M. M.","Fitopatologia Brasileira; 30(4); 404-408","Fitopatologia Brasileira","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400011&lang=pt" 
"S0100-41582005000400012-scl","Potential of non-pathogenic Fusarium oxysporum isolates for control of Fusarium wilt of tomato","Silva, Juliano C. da, Bettiol, Wagner","Fitopatologia Brasileira; 30(4); 409-412","Fitopatologia Brasileira","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400012&lang=pt" 
"S0100-41582005000400017-scl","First report of Fusarium oxysporum f. sp. lycopersici race 3 on tomato in Brazil","Reis, Ailton, Costa, Hélcio, Boiteux, Leonardo S., Lopes, Carlos A.","Fitopatologia Brasileira; 30(4); 426-428","Fitopatologia Brasileira","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400017&lang=pt" 
"S0100-41582005000400018-scl","Crotalaria paulinea, novo hospedeiro natural do vírus do mosaico severo do caupi","Lima, J. Albersio A., Nascimento, Aline Kelly Q., Silva, Gilson Soares, Camarço, Rosa Felícia E. A., Gonçalves, M. Fátima B.","Fitopatologia Brasileira; 30(4); 429-433","Fitopatologia Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400018&lang=pt" 
"S0021-75572005000500005-scl","Lactato sérico como marcador prognóstico em crianças gravemente doentes","Koliski, Adriana, Cat, Izrail, Giraldi, Dinarte J., Cat, Mônica L.","Jornal de Pediatria; 81(4); 287-292","Jornal de Pediatria","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572005000500005&lang=pt" 
"S0021-75572005000500016-scl","Há segurança com a nebulização de adrenalina?","Ejzenberg, Bernardo","Jornal de Pediatria; 81(4); 353-354","Jornal de Pediatria","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572005000500016&lang=pt" 
"S0104-11692005000400001-scl","Liderando com mentalidade flexível","Mendes, Isabel Amélia Costa","Revista Latino-Americana de Enfermagem; 13(4); 463-463","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400001&lang=pt" 
"S0104-11692005000400020-scl","Dor na criança desnutrida: percepção da mãe","Barbosa, Larissa Coelho, Martins, Mariana Cavalcante, Silva, Vanessa Aghata Guimarães da, Carvalho, Quitéria Clarice Magalhães","Revista Latino-Americana de Enfermagem; 13(4); 596-598","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400020&lang=pt" 
"S0104-11692005000400006-scl","Accidents with potentially hazardous biological material among workers in hospital supporting services","Canini, Silvia Rita Marin da Silva, Gir, Elucir, Machado, Alcyone Artiolli","Revista Latino-Americana de Enfermagem; 13(4); 496-500","Revista Latino-Americana de Enfermagem","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400006&lang=pt" 
"S0104-11692005000400008-scl","Perfil epidemiológico dos clientes com HIV/AIDS da unidade ambulatorial de hospital escola de grande porte: município de São Paulo","Gabriel, Rosimeire, Barbosa, Dulce Aparecida, Vianna, Lucila Amaral Carneiro","Revista Latino-Americana de Enfermagem; 13(4); 509-513","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400008&lang=pt" 
"S0104-11692005000400015-scl","Vivendo no método canguru a tríade mãe-filho-família","Caetano, Laise Conceição, Scochi, Carmen Gracinda Silvan, Angelo, Margareth","Revista Latino-Americana de Enfermagem; 13(4); 562-568","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400015&lang=pt" 
"S0104-11692005000400014-scl","Programa interdisciplinar de internação domiciliar de Marília-SP: custos de recursos materiais consumidos","Mesquita, Sandra Renata Albino Marques, Anselmi, Maria Luiza, Santos, Claudia Benedita dos, Hayashida, Miyeko","Revista Latino-Americana de Enfermagem; 13(4); 555-561","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400014&lang=pt" 
"S0104-11692005000400019-scl","Acerca do conceito de loucura e seus reflexos na assistência de saúde mental","Silveira, Lia Carneiro, Braga, Violante Augusta Batista","Revista Latino-Americana de Enfermagem; 13(4); 591-595","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400019&lang=pt" 
"S0066-782X2005001500003-scl","Lípides séricos em crianças e adolescentes de Florianópolis, SC: Estudo Floripa saudável 2040","Giuliano, Isabela de Carlos Back, Coutinho, Mário Sérgio Soares de Azeredo, Freitas, Sérgio Fernando Torres de, Pires, Maria Marlene de Souza, Zunino, João Nilson, Ribeiro, Robespierre Queiroz da Costa","Arquivos Brasileiros de Cardiologia; 85(2); 85-91","Arquivos Brasileiros de Cardiologia","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2005001500003&lang=pt" 
"S0066-782X2005001500004-scl","Estudo comparativo entre os efeitos terapêuticos da revascularização cirúrgica do miocárdio e angioplastia coronária em situações isquêmicas equivalentes: análise através da cintilografia do miocárdio com 99mTc-Sestamibi","Moreira, Anellys E. L. C., Hueb, Whady A., Soares, Paulo Rogério, Meneghetti, José Cláudio, Jorge, Maria Clementina P., Chalela, William A., Martinez Filho, Eulogio E., Oliveira, Sérgio Almeida de, Jatene, Fábio Biscegli, Ramires, José Antônio Franchini","Arquivos Brasileiros de Cardiologia; 85(2); 92-99","Arquivos Brasileiros de Cardiologia","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2005001500004&lang=pt" 
"S0066-782X2005001500007-scl","Idade e distúrbios psicológicos: variáveis associadas à disfunção sexual no período pós-infarto","Vacanti, Luciano Janussi, Caramelli, Bruno","Arquivos Brasileiros de Cardiologia; 85(2); 110-114","Arquivos Brasileiros de Cardiologia","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2005001500007&lang=pt" 
"S0066-782X2005001500008-scl","Hipertensão arterial sistêmica no setor de emergência: o uso de medicamentos sintomáticos como alternativa de tratamento","Lima, Sandro Gonçalves de, Nascimento, Luciana Simões do, Santos Filho, Cândido Nobre dos, Albuquerque, Maria de Fátima P. Militão de, Victor, Edgar Guimarães","Arquivos Brasileiros de Cardiologia; 85(2); 115-123","Arquivos Brasileiros de Cardiologia","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2005001500008&lang=pt" 
"S0066-782X2005001500014-scl","Infarto fatal do miocárdio em mulher de 88 anos de idade","Macedo, Ariane Vieira Scarlatelli, Moffa, Paulo Jorge, Grupi, Cesar José, Martinez Filho, Eulógio Emílio, Libby, Petter, Gutierrez, Paulo Sampaio","Arquivos Brasileiros de Cardiologia; 85(2); 139-146","Arquivos Brasileiros de Cardiologia","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2005001500014&lang=pt" 
"S0066-782X2005001500015-scl","Hipertensão arterial pulmonar: fisiopatologia, aspectos genéticos e resposta ao uso crônico do sildenafil","Barreto, Alessandra Costa, Franchi, Sônia Meiken, Pereira, Alexandre C., Lopes, Antonio Augusto","Arquivos Brasileiros de Cardiologia; 85(2); 147-154","Arquivos Brasileiros de Cardiologia","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2005001500015&lang=pt" 
"S0021-75572005000500004-scl","Avaliação clínica e manejo da insônia em pacientes pediátricos","Nunes, Magda Lahorgue, Cavalcante, Verônica","Jornal de Pediatria; 81(4); 277-286","Jornal de Pediatria","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572005000500004&lang=pt" 
"S0021-75572005000500006-scl","Acurácia, utilidade e complicações da monitorização subcutânea contínua da glicose (CGMS) em pacientes pediátricos com diabetes tipo 1","Maia, Frederico F. R., Araújo, Levimar R.","Jornal de Pediatria; 81(4); 293-297","Jornal de Pediatria","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572005000500006&lang=pt" 
"S0021-75572005000500007-scl","Diferentes dispositivos inalatórios na crise aguda de asma: um estudo randomizado, duplo-cego e controlado com placebo","Chong Neto, Herberto J., Chong-Silva, Débora C., Marani, Daniele M., Kuroda, Flávia, Olandosky, Márcia, Noronha, Lúcia de","Jornal de Pediatria; 81(4); 298-304","Jornal de Pediatria","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572005000500007&lang=pt" 
"S0021-75572005000500008-scl","Prevalência e gravidade da asma em adolescentes e sua relação com índice de massa corporal","Cassol, Vitor E., Rizzato, Tiago M., Teche, Stefania P., Basso, Débora F., Hirakata, Vânia N., Maldonado, Martín, Colpo, Elisângela, Solé, Dirceu","Jornal de Pediatria; 81(4); 305-309","Jornal de Pediatria","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572005000500008&lang=pt" 
"S0021-75572005000500009-scl","Influência da técnica de amamentação nas freqüências de aleitamento materno exclusivo e lesões mamilares no primeiro mês de lactação","Weigert, Enilda M. L., Giuglian, Elsa R. J., França, Maristela C. T., Oliveira, Luciana D. de, Bonilha, Ana, Espírito Santo, Lílian C. do, Köhler, Celina Valderez F.","Jornal de Pediatria; 81(4); 310-316","Jornal de Pediatria","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572005000500009&lang=pt" 
"S0021-75572005000500010-scl","Estado nutricional e absorção intestinal de ferro em crianças com doença hepática crônica com e sem colestase","Mattar, Regina Helena Guedes da Motta, Azevedo, Ramiro Anthero de, Speridião, Patricia Graça Leite, Fagundes Neto, Ulysses, Morais, Mauro Batista de","Jornal de Pediatria; 81(4); 317-324","Jornal de Pediatria","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572005000500010&lang=pt" 
"S0021-75572005000500012-scl","Densidade mineral óssea, ingestão de leite e atividade física de meninos que sofreram fraturas no antebraço","Pires, Luiz Antônio Simões, Souza, Antônio Carlos Araújo de, Laitano, Orlando, Meyer, Flávia","Jornal de Pediatria; 81(4); 332-336","Jornal de Pediatria","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572005000500012&lang=pt" 
"S0021-75572005000500013-scl","Densidade mineral óssea de adolescentes com sobrepeso e obesidade","Cobayashi, Fernanda, Lopes, Luiz A., Taddei, José A. A. C.","Jornal de Pediatria; 81(4); 337-342","Jornal de Pediatria","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572005000500013&lang=pt" 
"S0021-75572005000500014-scl","Hepatite auto-imune tipo 1 em crianças e adolescentes: avaliação da suspensão do tratamento imunossupressor","Ferreira, Alexandre Rodrigues, Roquete, Mariza Leitão Valadares, Penna, Francisco José, Toppa, Nivaldo H., Castro, Lúcia Porto Fonseca de","Jornal de Pediatria; 81(4); 343-348","Jornal de Pediatria","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572005000500014&lang=pt" 
"S0021-75572005000500015-scl","Hipercalcemia e lesões osteolíticas múltiplas em criança com paracoccidioidomicose disseminada e tuberculose pulmonar","Tresoldi, Antonia T., Pereira, Ricardo M., Castro, Lelma C., Rigatto, Sumara Z. P., Belangero, Vera M. S.","Jornal de Pediatria; 81(4); 349-352","Jornal de Pediatria","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572005000500015&lang=pt" 
"S0104-11692005000400002-scl","Management and leadership: analysis of nurse manager&#039;s knowledge","Lourenço, Maria Regina, Shinyashiki, Gilberto Tadeu, Trevizan, Maria Auxiliadora","Revista Latino-Americana de Enfermagem; 13(4); 469-473","Revista Latino-Americana de Enfermagem","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400002&lang=pt" 
"S0104-11692005000400003-scl","Estudo sobre a incidência de úlceras por pressão em um hospital universitário","Rogenski, Noemi Marisa Brunet, Santos, Vera Lúcia Conceição de Gouveia","Revista Latino-Americana de Enfermagem; 13(4); 474-480","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400003&lang=pt" 
"S0104-11692005000400004-scl","Transplante de fígado: resultados de aprendizagem de pacientes que aguardam a cirurgia","Sasso, Karina Dal, Galvão, Cristina Maria, Silva Jr, Orlando de Castro e, França, Alex Vianey Callado","Revista Latino-Americana de Enfermagem; 13(4); 481-488","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400004&lang=pt" 
"S0104-11692005000400007-scl","Exposição dos trabalhadores de enfermagem às cargas químicas em um hospital público universitário da cidade de São Paulo","Costa, Taiza Florêncio, Felli, Vanda Elisa Andrés","Revista Latino-Americana de Enfermagem; 13(4); 501-508","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400007&lang=pt" 
"S0104-11692005000400009-scl","Avaliação microbiológica de coberturas com sulfadiazina de prata a 1%, utilizadas em queimaduras","Ragonha, Alessandra Cristina Olhan, Ferreira, Enéas, Andrade, Denise de, Rossi, Lídia Aparecida","Revista Latino-Americana de Enfermagem; 13(4); 514-521","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400009&lang=pt" 
"S0104-11692005000400010-scl","Percepções de alunas de graduação em enfermagem sobre parcerias sorodiscordantes para o HIV/AIDS","Fernandes, Hugo, Horta, Ana Lúcia de Moraes","Revista Latino-Americana de Enfermagem; 13(4); 522-529","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400010&lang=pt" 
"S0104-11692005000400011-scl","Epidemiologia dos acidentes e violências entre menores de 15 anos em município da região sul do Brasil","Martins, Christine Baccarat de Godoy, Andrade, Selma Maffei de","Revista Latino-Americana de Enfermagem; 13(4); 530-537","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400011&lang=pt" 
"S0104-11692005000400013-scl","Percepção da equipe de saúde da família sobre a utilização do sistema de informação da atenção básica-SIAB","Freitas, Fernanda Pini de, Pinto, Ione Carvalho","Revista Latino-Americana de Enfermagem; 13(4); 547-554","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400013&lang=pt" 
"S0104-11692005000400016-scl","O cuidado humano: reflexão ética acerca dos portadores do HIV/AIDS","Pinheiro, Patrícia Neyva da Costa, Vieira, Neiva Francenely Cunha, Pereira, Maria Lúcia Duarte, Barroso, Maria Grasiela Teixeira","Revista Latino-Americana de Enfermagem; 13(4); 569-575","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400016&lang=pt" 
"S0104-11692005000400017-scl","O processo saúde-doença-cuidado e a população em situação de rua","Rosa, Anderson da Silva, Cavicchioli, Maria Gabriela Secco, Brêtas, Ana Cristina Passarella","Revista Latino-Americana de Enfermagem; 13(4); 576-582","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400017&lang=pt" 
"S0104-11692005000400018-scl","Teoria interpretativa de Geertz e a gerência do cuidado: visualizando a prática social do enfermeiro","Prochnow, Adelina Giacomelli, Leite, Joséte Luzia, Erdmann, Alacoque Lorenzini","Revista Latino-Americana de Enfermagem; 13(4); 583-590","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400018&lang=pt" 
"S0104-11692005000400012-scl","Formação gerontológica do técnico em enfermagem: uma abordagem cultural","Leonart, Edilomar, Mendes, Maria Manuela Rino","Revista Latino-Americana de Enfermagem; 13(4); 538-546","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400012&lang=pt" 
"S0104-11692005000400005-scl","Dor pós-operatória em craniotomia","Peón, Andréa Ungaro, Diccini, Solange","Revista Latino-Americana de Enfermagem; 13(4); 489-495","Revista Latino-Americana de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692005000400005&lang=pt" 
"S0021-75572005000500011-scl","Vigilância do estado nutricional das crianças de um distrito de saúde no Sul do Brasil","Cuervo, Maria Rita M., Aerts, Denise R. G. de C., Halpern, Ricardo","Jornal de Pediatria; 81(4); 325-331","Jornal de Pediatria","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572005000500011&lang=pt" 
"S0100-41582005000400024-scl","Ocorrência de Fuligo septica em alface e coentro de caboclo","Silva, Gilson S., Bezerra, José L.","Fitopatologia Brasileira; 30(4); 439-439","Fitopatologia Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400024&lang=pt" 
"S0100-41582005000400023-scl","Curvularia lunata var. aeria causando queima foliar em Zoysia japonica","Nechet, Kátia de L., Halfeld-Vieira, Bernardo A.","Fitopatologia Brasileira; 30(4); 438-438","Fitopatologia Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400023&lang=pt" 
"S0100-41582005000400022-scl","Soursop, a new host of Rotylenchulus reniformis","Moura, Romero M. de, Maranhão, Sandra Roberta V. L., Guimarães, Lílian M. Paes","Fitopatologia Brasileira; 30(4); 437-437","Fitopatologia Brasileira","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400022&lang=pt" 
"S0100-41582005000400021-scl","Antracnose em Paphiopedilum insigne (Orquidaceae) causada por Colletotrichum gloeosporioides","Mafia, Reginaldo G., Alfenas, Acelino C., Ventura, Gizella M., Alfenas, Rafael F.","Fitopatologia Brasileira; 30(4); 436-436","Fitopatologia Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400021&lang=pt" 
"S0100-41582005000400020-scl","Podridão de frutos de jiló causada por Phytophthora capsici","Carvalho, Aldir de O. de, Soares, Dartanhã J., Barreto, Robert W., Carmo, Margarida Goréte F. do","Fitopatologia Brasileira; 30(4); 435-435","Fitopatologia Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400020&lang=pt" 
"S0100-41582005000400019-scl","Ocorrência de crestamento bacteriano do gerânio, causado por Xanthomonas hortorum pv. pelargonii, no Brasil","Duarte, Valmir, Dalbosco, Marisa, El Tassa, Samira O. M.","Fitopatologia Brasileira; 30(4); 434-434","Fitopatologia Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400019&lang=pt" 
"S0102-09352005000400016-scl","Tamanho da leitegada e pesos médios, ao nascer e aos 21 dias de idade, de leitões da raça Large White","Holanda, M.C.R., Barbosa, S.B.P., Sampaio, I.B.M., Santos, E.S., Santoro, K.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 57(4); 539-544","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352005000400016&lang=pt" 
"S0101-73302005000200003-scl","Gerações e alteridade: interrogações a partir da sociologia da infância","Sarmento, Manuel Jacinto","Educação &amp; Sociedade; 26(91); 361-378","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200003&lang=pt" 
"S0101-73302005000200008-scl","Entrada no campo, aceitação e natureza da participação nos estudos etnográficos com crianças pequenas","Corsaro, William A.","Educação &amp; Sociedade; 26(91); 443-464","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200008&lang=pt" 
"S0101-73302005000200009-scl","Crianças e jovens, atores sociais na escola: como os compreender?","Rayou, Patrick","Educação &amp; Sociedade; 26(91); 465-484","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200009&lang=pt" 
"S0101-73302005000200010-scl","As práticas educativas parentais e a experiência das crianças","Montandon, Cléopâtre","Educação &amp; Sociedade; 26(91); 485-507","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200010&lang=pt" 
"S0101-73302005000200011-scl","Infâncias imaginadas: construções do eu e da sociedade nas histórias de vida","Gullestad, Marianne","Educação &amp; Sociedade; 26(91); 509-534","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200011&lang=pt" 
"S0101-73302005000200012-scl","Primeiro os amigos: os aniversários da infância, dar e receber","Sirota, Régine","Educação &amp; Sociedade; 26(91); 535-562","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200012&lang=pt" 
"S0101-73302005000200013-scl","Cultura e identidade surdas: encruzilhada de lutas sociais e teóricas","Santana, Ana Paula, Bergamo, Alexandre","Educação &amp; Sociedade; 26(91); 565-582","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200013&lang=pt" 
"S0101-73302005000200014-scl","A língua de sinais constituindo o surdo como sujeito","Dizeu, Liliane Correia Toscano de Brito, Caporali, Sueli Aparecida","Educação &amp; Sociedade; 26(91); 583-597","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200014&lang=pt" 
"S0101-73302005000200015-scl","Qual o lugar do corpo na educação? Notas sobre conhecimento, processos cognitivos e currículo","Nóbrega, Terezinha Petrucia da","Educação &amp; Sociedade; 26(91); 599-615","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200015&lang=pt" 
"S0101-73302005000200016-scl","Origens da escola moderna no Brasil: a contribuição jesuítica","Alves, Gilberto Luiz","Educação &amp; Sociedade; 26(91); 617-635","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200016&lang=pt" 
"S0101-73302005000200018-scl","Recursos próprios da UNB, o financiamento das IFES e a reforma da educação superior","Velloso, Jacques, Marques, Paulo Marcello F.","Educação &amp; Sociedade; 26(91); 655-680","Educação &amp; Sociedade","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302005000200018&lang=pt" 
"S0100-41582005000400001-scl","Seleção assistida por marcadores moleculares visando ao desenvolvimento de plantas resistentes a doenças, com ênfase em feijoeiro e soja","Alzate-Marin, Ana Lilia, Cervigni, Gerardo D. L., Moreira, Maurilio A., Barros, Everaldo G.","Fitopatologia Brasileira; 30(4); 333-342","Fitopatologia Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400001&lang=pt" 
"S0100-41582005000400003-scl","Evidências de indução de resistência sistêmica à ferrugem do eucalipto mediada por rizobactérias promotoras do crescimento de plantas","Teixeira, Débora A., Alfenas, Acelino C., Mafia, Reginaldo G., Maffia, Luiz A., Ferreira, Eraclides M.","Fitopatologia Brasileira; 30(4); 350-356","Fitopatologia Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400003&lang=pt" 
"S0100-41582005000400004-scl","Development of virus resistant transgenic papayas expressing the coat protein gene from a Brazilian isolate of Papaya ringspot virus","Souza Júnior, Manoel T., Nickel, Osmar, Gonsalves, Dennis","Fitopatologia Brasileira; 30(4); 357-365","Fitopatologia Brasileira","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400004&lang=pt" 
"S0100-41582005000400005-scl","Biological and molecular characterization of an isolate of Tobacco streak virus obtained from soybeans in Brazil","Almeida, Álvaro M. R., Sakai, Junichi, Hanada, Kaoru, Oliveira, Thalita G., Belintani, Priscila, Kitajima, Elliot W., Souto, Eliezer R., Novaes, Tanara G. de, Nora, Paulo S.","Fitopatologia Brasileira; 30(4); 366-373","Fitopatologia Brasileira","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400005&lang=pt" 
"S0100-41582005000400006-scl","Intensidade do mofo-branco do feijoeiro em plantio convencional e direto sob diferentes lâminas d&#039;água","Napoleão, Reginaldo, Café Filho, Adalberto C., Nasser, Luiz Carlos B., Lopes, Carlos A., Silva, Henoque R.","Fitopatologia Brasileira; 30(4); 374-379","Fitopatologia Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400006&lang=pt" 
"S0100-41582005000400007-scl","Caracterização de uma população de cacaueiro para mapeamento de genes de resistência à vassoura-de-bruxa e podridão-parda","Dantas Neto, Alfredo, Corrêa, Ronan X., Monteiro, Wilson R., Luz, Edna D. M. N., Gramacho, Karina P., Lopes, Uilson V.","Fitopatologia Brasileira; 30(4); 380-386","Fitopatologia Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582005000400007&lang=pt" 
