"S0103-17592012000600006-scl","Modelo de transformador com tap variável adequado para estudos de estabilidade de tensão","Ferreira, Carlos Aparecido, Prada, Ricardo","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica; 23(6); 726-736","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-17592012000600006&lang=pt" 
"S1851-82652012000400005-arg","Primeros debates sobre legislación del uso de drogas en Argentina a comienzos del siglo XX: la propuesta del Dr. Leopoldo Bard y su contexto sociohistórico","Sánchez Antelo, Victoria","Salud colectiva; 8(3); 275-286","Salud colectiva","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652012000400005&lang=pt" 
"S1851-82652012000400008-arg","La Universidad de Buenos Aires en la década de 1970: análisis del comunicado de prensa en solidaridad con Rodolfo Puiggrós","Recalde, Aritz","Salud colectiva; 8(3); 315-322","Salud colectiva","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652012000400008&lang=pt" 
"S1851-82652012000400009-arg","La capacitación, la enseñanza y la investigación para una política de reconstrucción nacional en el área de la salud","Testa, Mario","Salud colectiva; 8(3); 323-335","Salud colectiva","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652012000400009&lang=pt" 
"S0718-48082012000300001-chl","Terapia Psicológica, su ingreso al Web of Science y los nuevos desafios","Vera-Villarroel, Pablo, Manzo, Caterina, Silva, Jaime, Kühne, Walter","Terapia psicológica; 30(3); -","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000300001&lang=pt" 
"S0718-48082012000300002-chl","Factores de Vulnerabilidad y de Protección del Impacto Emocional en Mujeres Adultas Víctimas de Agresiones Sexuales","Sarasua, Belén, Zubizarreta, Irene, de Corral, Paz, Echeburúa, Enrique","Terapia psicológica; 30(3); 7-18","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000300002&lang=pt" 
"S0718-48082012000300003-chl","Medición de la Sensibilidad del Adulto con Niños de 6 a 36 Meses de Edad: Construcción y Análisis Preliminares de la Escala de Sensibilidad del Adulto, E.S.A","Santelices, María Pía, Carvacho, Claudia, Farkas, Chamarrita, León, Francisca, Galleguillos, Francisca, Himmel, Erika","Terapia psicológica; 30(3); 19-29","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000300003&lang=pt" 
"S0718-48082012000300004-chl","El cuestionario Five to Fifteen (FTF) para una Evaluación Integral del Desarrollo: Propiedades Psicométricas y Caracterización de Muestra de Niños Chilenos","Beltrán-Ortiz, María Fernanda, Todd de Barra, Helena, Franzani, Patricio, Martinich, Cristian, Castillo, Ramón D","Terapia psicológica; 30(3); 31-47","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000300004&lang=pt" 
"S0718-48082012000300005-chl","Escalas de Depresión, Ansiedad y Estrés (DASS - 21): Validación de la Versión abreviada en Estudiantes Universitarios Chilenos","Antúnez, Zayra, Vinet, Eugenia V","Terapia psicológica; 30(3); 49-55","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000300005&lang=pt" 
"S0718-48082012000300006-chl","Terapia para la Eficacia Social y Tratamiento de Adultos-Jóvenes Españoles con Fobia Social Generalizada","Olivares-Olivares, Pablo, Olivares, José, Macià, Diego","Terapia psicológica; 30(3); 57-67","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000300006&lang=pt" 
"S0718-48082012000300007-chl","La Relación del Optimismo y las Estrategias de Afrontamiento con la Calidad de Vida de Mujeres Con Cáncer de Mama","Mera, Paulina C, Ortiz, Manuel","Terapia psicológica; 30(3); 69-78","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000300007&lang=pt" 
"S0718-48082012000300008-chl","La Edad y el Sexo en la Orientación a la Comparación Social","Urzúa M, Alfonso, Zúñiga B, Patricia, Buunk, Abraham P","Terapia psicológica; 30(3); 79-88","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000300008&lang=pt" 
"S0718-48082012000300009-chl","Análisis Bibliométrico de las Revistas Iberoamericanas más Relevantes Afines a la Psicología Clínica y Salud delJournal Citation reports (2011)","Ariza M, Tania, Granados, Reina","Terapia psicológica; 30(3); 89-102","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000300009&lang=pt" 
"S0718-48082012000300010-chl","Sesgos de Atención Selectiva como Factor de Mantenimiento y Vulnerabilidad a la Depresión: Una Revisión Crítica","Sánchez, Álvaro, Vázquez, Carmelo","Terapia psicológica; 30(3); 103-117","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000300010&lang=pt" 
"S0718-48082012000300011-chl","La Educación y la Prevención como Componentes Primordiales en la Actitud hacia las Políticas de Drogas","López-López, Wilson, Pineda-Marín, Claudia, Mullet, Etienne","Terapia psicológica; 30(3); 103-117","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000300011&lang=pt" 
"S0718-48082012000300012-chl","La Heterogeneidad del Alfabetismo en Salud y el Consentimiento Informado en Chile","Saavedra-Dahm, Oscar, Solar, Paula, Díaz, Hernán, Mandel, Astrid, Casado, María, Orihuela, Pedro, Rivera, María, Velásquez, Luis, Cardenas, Hugo","Terapia psicológica; 30(3); 127-131","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000300012&lang=pt" 
"S1517-75992012000200001-scl","Editorial","Borém, Fausto","Per Musi; (26); -","Per Musi","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-75992012000200001&lang=pt" 
"S1517-75992012000200003-scl","A percepção de emoções em trechos de música ocidental erudita","Ramos, Danilo, Bueno, José Lino Oliveira","Per Musi; (26); 21-30","Per Musi","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-75992012000200003&lang=pt" 
"S1517-75992012000200015-scl","Maria Sylvia Pinto: dos traços biográficos à sua importância para a canção de câmara brasileira","Pereira, Marcus Vinícius Medeiros","Per Musi; (26); 151-158","Per Musi","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-75992012000200015&lang=pt" 
"S1851-82652012000400003-arg","Análisis de los motivos del abandono del proceso de seguimiento y tratamiento por parte de mujeres con lesiones precursoras de cáncer de cuello uterino en la provincia de Jujuy: implicancias para la gestión","Paolino, Melisa, Arrossi, Silvina","Salud colectiva; 8(3); 247-261","Salud colectiva","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652012000400003&lang=pt" 
"S1851-82652012000400002-arg","De los estudios locales a una perspectiva regional: análisis integrado de datos secundarios en un proyecto colaborativo sobre vulnerabilidades asociadas al uso de drogas en Argentina, Brasil y Uruguay (1998-2004)","Ralón, Gonzalo, Rossi, Diana, Vila, Marcelo, Latorre, Laura, Bastos, Francisco Inácio, Caiaffa, Waleska Teixeira","Salud colectiva; 8(3); 229-246","Salud colectiva","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652012000400002&lang=pt" 
"S1851-82652012000400010-arg","Apogeo y crisis de la ciudadanía de la salud: Historia del derecho a la salud en el siglo XX","Vita, Leticia","Salud colectiva; 8(3); 337-340","Salud colectiva","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652012000400010&lang=pt" 
"S0104-77602012000400008-scl","Economic analysis of agroforestry systems with candeia","Silva, Charles Plínio de Castro, Coelho Junior, Luiz Moreira, Oliveira, Antonio Donizette de, Scolforo, José Roberto Soares, Rezende, José Luiz Pereira de, Lima, Isabel Carolina Guedes","CERNE; 18(4); 585-594","CERNE","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602012000400008&lang=pt" 
"S0004-282X2012001200003-scl","Carotid siphon geometry and variants of the circle of Willis in the origin of carotid aneurysms","Silva Neto, Ângelo Raimundo, Câmara, Ródio Luis Brandão, Valença, Marcelo Moraes","Arquivos de Neuro-Psiquiatria; 70(12); 917-921","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200003&lang=pt" 
"S0004-282X2012001200004-scl","Cross-cultural adaptation and validation of the 12-item Multiple Sclerosis Walking Scale (MSWS-12) for the Brazilian population","Marangoni, Bruna E. M., Pavan, Karina, Tilbery, Charles Peter","Arquivos de Neuro-Psiquiatria; 70(12); 922-928","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200004&lang=pt" 
"S0004-282X2012001200005-scl","Translation and cultural adaptation of the Game Dice Task to Brazilian population","Rzezak, Patricia, Antunes, Hanna Karen Moreira, Tufik, Sérgio, Mello, Marco Túlio de","Arquivos de Neuro-Psiquiatria; 70(12); 929-933","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200005&lang=pt" 
"S0004-282X2012001200006-scl","Is the patent foramen ovale closure the best option?","Zetola, Viviane Flumignan, Silva, Melissa Castello Branco e, Lange, Marcos Christiano, Muzzio, Juliano Andre, Novak, Edison Matos, Moraes, Admar, Werneck, Lineu Cesar","Arquivos de Neuro-Psiquiatria; 70(12); 934-938","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012001200006&lang=pt" 
"S0104-66322012000400001-scl","Influence of pectin, glucose, and pH on the production of endo- and exo-polygalacturonase by Aspergillus oryzae in liquid medium","Fontana, R. C., Silveira, M. M.","Brazilian Journal of Chemical Engineering; 29(4); 683-690","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000400001&lang=pt" 
"S0104-66322012000400002-scl","Statistical optimization of medium compositions for chitosanase production by a newly isolated Streptomyces albus","Cheng, S. W., Wang, Y. F., Hong, B.","Brazilian Journal of Chemical Engineering; 29(4); 691-698","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000400002&lang=pt" 
"S0104-66322012000400003-scl","Preparation and characterization of sub-micron dispersions of sand in ethylene glycol-water mixture","Manikandan, S., Karthikeyan, N., Silambarasan, M., Suganthi, K. S., Rajan, K. S.","Brazilian Journal of Chemical Engineering; 29(4); 699-712","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000400003&lang=pt" 
"S0104-66322012000400005-scl","Investigation of hydrodynamic parameters in a novel expanded bed configuration: local axial dispersion characterization and an empirical correlation study","Taheri, E. S., Jahanshahi, M., Hamed Mosavian, M. T., Shahavi, M. H.","Brazilian Journal of Chemical Engineering; 29(4); 725-739","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000400005&lang=pt" 
"S0104-66322012000400007-scl","Organophilic bentonites based on Argentinean and Brazilian bentonites: part 2: potential evaluation to obtain nanocomposites","Paiva, L. B., Morales, A. R., Branciforti, M. C., Bretas, R. E. S.","Brazilian Journal of Chemical Engineering; 29(4); 751-762","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000400007&lang=pt" 
"S0104-66322012000400008-scl","Phenol removal from wastewaters by electrochemical oxidation using boron doped diamond (BDD) and Ti/Ti0.7Ru0.3O2 dsa® electrodes","Britto-Costa, P. H., Ruotolo, L. A. M.","Brazilian Journal of Chemical Engineering; 29(4); 763-773","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000400008&lang=pt" 
"S0104-66322012000400009-scl","Nanosize MgO as antibacterial agent: preparation and characteristics","Tang, Zhen-Xing, Fang, Xiu-Juan, Zhang, Zhi-Liang, Zhou, Ting, Zhang, Xin-Yi, Shi, Lu-E","Brazilian Journal of Chemical Engineering; 29(4); 775-781","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000400009&lang=pt" 
"S0104-66322012000400010-scl","Inclusion separation of alkali metals in emulsion liquid membranes by nanobaskets of calix[4]crown-3","Mokhtari, B., Pourabdollah, K.","Brazilian Journal of Chemical Engineering; 29(4); 783-793","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000400010&lang=pt" 
"S0104-66322012000400012-scl","Optimization and control of a continuous polymerization reactor","Alvarez, L. A., Odloak, D.","Brazilian Journal of Chemical Engineering; 29(4); 807-820","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000400012&lang=pt" 
"S0104-66322012000400013-scl","Investigation of hydrodynamics and transition regime in an internal loop airlift reactor using CFD","Ghasemi, H., Hosseini, S. H.","Brazilian Journal of Chemical Engineering; 29(4); 821-833","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000400013&lang=pt" 
"S0104-66322012000400014-scl","Modeling of the overal kinetic extraction from Maytenus aquifolia using compressed CO2","Minozzo, M., Popiolski, A., Dal Prá, V., Treichel, H., Cansian, R. L., Oliveira, J. Vladimir, Mossi, A. J., Mazutti, M. A.","Brazilian Journal of Chemical Engineering; 29(4); 835-843","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000400014&lang=pt" 
"S0104-77602012000400002-scl","Aspectos da germinação e desenvolvimento inicial de plântulas de aroeira","Scalon, Silvana de Paula Quintão, Scalon Filho, Homero, Masetto, Tathiana Elisa","CERNE; 18(4); 533-539","CERNE","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602012000400002&lang=pt" 
"S0104-77602012000400003-scl","Germinação e armazenamento de sementes de carandá (Copernicia alba)","Masetto, Tathiana Elisa, Scalon, Silvana de Paula Quintão, Brito, Josué Quadros de, Moreira, Fernando Henrique, Ribeiro, Dágon Manoel, Rezende, Rodrigo Kelson Silva","CERNE; 18(4); 541-546","CERNE","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602012000400003&lang=pt" 
"S0104-77602012000400006-scl","Potencial da regeneração natural como método de restauração do entorno de nascente perturbada","Souza, Luciana Maria de, Faria, Regiane Aparecida Vilas Bôas, Botelho, Soraya Alvarenga, Fontes, Marco Aurélio Leite, Faria, José Marcio Rocha","CERNE; 18(4); 565-576","CERNE","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602012000400006&lang=pt" 
"S0104-77602012000400009-scl","Anatomia comparada do lenho de raiz e caule de Aegiphila sellowiana cham. (Verbenaceae)","Goulart, Selma Lopes","CERNE; 18(4); 595-606","CERNE","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602012000400009&lang=pt" 
"S1806-37132012000600015-scl","Recondicionamento pulmonar ex vivo: uma nova era para o transplante pulmonar","Mariani, Alessandro Wasum, Pêgo-Fernandes, Paulo Manuel, Abdalla, Luis Gustavo, Jatene, Fabio Biscegli","Jornal Brasileiro de Pneumologia; 38(6); 776-785","Jornal Brasileiro de Pneumologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132012000600015&lang=pt" 
"S0074-02762012000800002-scl","Rapid tests for the detection of the Mycobacterium abscessus subsp. bolletii strain responsible for an epidemic of surgical-site infections in Brazil","Matsumoto, Cristianne Kayoko, Chimara, Erica, Ramos, Jesus Pais, Campos, Carlos Eduardo Dias, Caldas, Paulo Cesar de Souza, Lima, Karla Valeria Batista, Lopes, Maria Luiza, Duarte, Rafael Silva, Leão, Sylvia Cardoso","Memórias do Instituto Oswaldo Cruz; 107(8); 969-977","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800002&lang=pt" 
"S0074-02762012000800005-scl","Description of Lutzomyia (Helcocyrtomyia) tolimensis, a new species of phlebotomine sandfly (Diptera: Psychodidae) from Colombia","Carrasquilla, María C, Munstermann, Leonard, Marín, Dairo, Ocampo, Clara, Ferro, Cristina","Memórias do Instituto Oswaldo Cruz; 107(8); 993-997","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800005&lang=pt" 
"S0074-02762012000800008-scl","The residual efficacy of a cypermethrin pour-on formulation applied on goats on the mortality and blood intake of Triatoma infestans","Amelotti, Ivana, Catalá, Silvia Susana, Gorla, David Eladio","Memórias do Instituto Oswaldo Cruz; 107(8); 1011-1015","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800008&lang=pt" 
"S0074-02762012000800009-scl","Sandflies (Diptera: Psychodidae) from caves of the quartzite Espinhaço Range, Minas Gerais, Brazil","Barata, Ricardo Andrade, Apolinário, Estefânia Conceição","Memórias do Instituto Oswaldo Cruz; 107(8); 1016-1020","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800009&lang=pt" 
"S0074-02762012000800011-scl","Temporal variation of wing geometry in Aedes albopictus","Vidal, Paloma Oliveira, Carvalho, Eneas, Suesdek, Lincoln","Memórias do Instituto Oswaldo Cruz; 107(8); 1030-1034","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800011&lang=pt" 
"S0074-02762012000800012-scl","Cells and mediators of inflammation (C-reactive protein, nitric oxide, platelets and neutrophils) in the acute and convalescent phases of uncomplicated Plasmodium vivax and Plasmodium falciparum infection","Lima-Junior, Josué da Costa, Rodrigues-da-Silva, Rodrigo Nunes, Pereira, Virgínia Araújo, Storer, Fábio Luiz, Perce-da-Silva, Daiana de Souza, Fabrino, Daniela Leite, Santos, Fátima, Banic, Dalma Maria, Oliveira-Ferreira, Joseli de","Memórias do Instituto Oswaldo Cruz; 107(8); 1035-1041","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800012&lang=pt" 
"S0074-02762012000800014-scl","Bone tuberculosis in Roman Period Pannonia (western Hungary)","Hajdu, Tamás, Fóthi, Erzsébet, Kovári, Ivett, Merczi, Mónika, Molnár, Attila, Maász, Gábor, Avar, Péter, Marcsik, Antónia, Márk, László","Memórias do Instituto Oswaldo Cruz; 107(8); 1048-1053","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800014&lang=pt" 
"S0074-02762012000800015-scl","Leprosy exposure, infection and disease: a 25-year surveillance study of leprosy patient contacts","Sarno, Euzenir Nunes, Duppre, Nadia Cristina, Sales, Anna Maria, Hacker, Mariana Andréa, Nery, José Augusto, Matos, Haroldo José de","Memórias do Instituto Oswaldo Cruz; 107(8); 1054-1059","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800015&lang=pt" 
"S0074-02762012000800017-scl","Genotyping of gastroenteric viruses in hospitalised children: first report of norovirus GII.21 in Brazil","Ferreira, Mônica Simões Rocha, Cubel Garcia, Rita de Casia, Xavier, Maria da Penha Trindade Pinheiro, Ribeiro, Rubia Lane, Assis, Rosane Maria, Mota, Maria do Céu MS, Leite, José Paulo Gagliardi, Miagostovich, Marize Pereira, Oliveira, Solange Artimos de","Memórias do Instituto Oswaldo Cruz; 107(8); 1064-1067","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000800017&lang=pt" 
"S1519-38292012000400002-scl","Pressões respiratórias máximas de pico e sustentada na avaliação da força muscular respiratória de crianças","Oliveira, Laise Chaves de, Campos, Tânia Fernandes, Borja, Raíssa de Oliveira, Chaves, Gabriela Suéllen da Silva, Delgado, Renata Nóbrega, Mendes, Raquel Emanuele de França, Mendonça, Karla Morganna Pereira Pinto de","Revista Brasileira de Saúde Materno Infantil; 12(4); 357-364","Revista Brasileira de Saúde Materno Infantil","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292012000400002&lang=pt" 
"S1519-38292012000400003-scl","Desarrollo de un instrumento para evaluar la dieta en niños y adolescentes colombianos","Ardila, María Fernanda, Herrán, Oscar Fernando","Revista Brasileira de Saúde Materno Infantil; 12(4); 365-374","Revista Brasileira de Saúde Materno Infantil","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292012000400003&lang=pt" 
"S1519-38292012000400004-scl","Anemia em crianças indígenas da etnia Karapotó","Pereira, Janaína Ferro, Oliveira, Maria Alice Araújo, Oliveira, Juliana Souza","Revista Brasileira de Saúde Materno Infantil; 12(4); 375-382","Revista Brasileira de Saúde Materno Infantil","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292012000400004&lang=pt" 
"S1519-38292012000400005-scl","Avaliação da atenção ao parto por adolescentes em um hospital universitário","Enderle, Cleci de Fátima, Kerber, Nalú Pereira da Costa, Susin, Lulie Rosane Odeh, Mendoza-Sassi, Raúl A.","Revista Brasileira de Saúde Materno Infantil; 12(4); 383-394","Revista Brasileira de Saúde Materno Infantil","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292012000400005&lang=pt" 
"S1519-38292012000400006-scl","Prevalência de dor nas costas e fatores associados em escolares do Ensino Fundamental do município de Teutônia, Rio Grande do Sul","Noll, Matias, Candotti, Cláudia Tarragô, Tiggemann, Carlos Leandro, Schoenell, Maira Cristina Wolf, Vieira, Adriane","Revista Brasileira de Saúde Materno Infantil; 12(4); 395-402","Revista Brasileira de Saúde Materno Infantil","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292012000400006&lang=pt" 
"S1519-38292012000400007-scl","Violência sexual intrafamiliar contra crianças e adolescentes: entre a prevenção do crime e do dano","Silva, Lygia Maria Pereira da, Ferriani, Maria das Graças Carvalho, Silva, Marta Angélica Iossi","Revista Brasileira de Saúde Materno Infantil; 12(4); 403-411","Revista Brasileira de Saúde Materno Infantil","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292012000400007&lang=pt" 
"S1519-38292012000400008-scl","Análise da continuidade da assistência à saúde de adolescentes portadores de diabetes","Brito, Ederline Suelly Vanini de, Oliveira, Regina Célia de, Silva, Maria Rejane Ferreira da","Revista Brasileira de Saúde Materno Infantil; 12(4); 413-423","Revista Brasileira de Saúde Materno Infantil","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292012000400008&lang=pt" 
"S1519-38292012000400010-scl","Tratamento homeopático de crianças com úlcera de córnea em escudo por ceratoconjuntivite primaveril: relato de casos e aspectos bioéticos","Cruz, Antônio Carlos Gonçalves da, Sena, Cláudio Maciel, Tanure, Marco Antônio Guarino, Boteon, Joel Edmur, Melo, Elza Machado de","Revista Brasileira de Saúde Materno Infantil; 12(4); 437-444","Revista Brasileira de Saúde Materno Infantil","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292012000400010&lang=pt" 
"S1516-80342012000400004-scl","Grau de quantidade de fala e intensidade vocal de teleoperadores em ambiente laboral e extralaboral","Padilha, Maíra do Patrocínio, Moreti, Felipe, Raize, Thais, Sauda, Camila, Lourenço, Luciana, Oliveira, Gisele, Behlau, Mara","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 385-390","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400004&lang=pt" 
"S1516-80342012000400007-scl","Efeitos auditivos da exposição combinada: interação entre monóxido de carbono, ruído e tabagismo","Ferreira, Débora Gonçalves, Oliveira, Gracieli Lima de, Meira, André Lage, Lacerda, Adriana","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 405-411","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400007&lang=pt" 
"S1516-80342012000400008-scl","Comparação dos estímulos clique e CE-chirp® no registro do Potencial Evocado Auditivo de Tronco Encefálico","Rodrigues, Gabriela Ribeiro Ivo, Lewis, Doris Ruthi","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 412-416","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400008&lang=pt" 
"S1516-80342012000400009-scl","Sistema de frequência modulada em crianças com deficiência auditiva: avaliação de resultados","Jacob, Regina Tangerino de Souza, Bevilacqua, Maria Cecília, Molina, Samira Vilela, Queiroz, Michelle, Hoshii, Lia Auer, Lauris, José Roberto Pereira, Moret, Adriane Lima Mortari","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 417-421","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400009&lang=pt" 
"S1516-80342012000400010-scl","Tipos de erros de fala em crianças com transtorno fonológico em função do histórico de otite média","Wertzner, Haydée Fiszbein, Santos, Perla Isabel dos, Pagan-Neves, Luciana de Oliveira","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 422-429","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400010&lang=pt" 
"S1516-80342012000400011-scl","Ocorrência de dessonorização no desvio fonológico: relação com fonemas mais acometidos, gravidade do desvio e idade","Mota, Helena Bolli, Berticelli, Aline, Costa, Cintia da Conceição, Wiethan, Fernanda Marafiga, Melo, Roberta Michelon","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 430-434","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400011&lang=pt" 
"S1516-80342012000400012-scl","Mudanças no sistema fonológico após terapia fonológica de abordagem contrastiva","Gubiani, Marileda Barichello, Brancalioni, Ana Rita, Keske-Soares, Márcia","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 435-440","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400012&lang=pt" 
"S1516-80342012000400013-scl","Prevalência do desvio fonológico em crianças da cidade de Salvador, Bahia","Cavalheiro, Laura Giotto, Brancalioni, Ana Rita, Keske-Soares, Márcia","Revista da Sociedade Brasileira de Fonoaudiologia; 17(4); 441-446","Revista da Sociedade Brasileira de Fonoaudiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342012000400013&lang=pt" 
