"S0103-84782007000300018-scl","Toxidez pelos ácidos propiônico e butírico em plântulas de arroz","Schmidt, Fabiana, Bortolon, Leandro, Souza, Rogério Oliveira de","Ciência Rural; 37(3); 720-726","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000300018&lang=pt" 
"S1413-81232007000300011-spa","Tecnologia de informação para a educação na saúde: duas revisões e uma proposta","Cavalcante, Maria Tereza Leal, Vasconcellos, Miguel Murat","Ciência &amp; Saúde Coletiva; 12(3); 611-622","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300011&lang=pt" 
"S1413-81232007000300014-spa","Análise da qualidade das estatísticas vitais brasileiras: a experiência de implantação do SIM e do SINASC","Jorge, Maria Helena Prado de Mello, Laurenti, Ruy, Gotlieb, Sabina Léa Davidson","Ciência &amp; Saúde Coletiva; 12(3); 643-654","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300014&lang=pt" 
"S1413-81232007000300015-spa","Uso da informação na gestão de hospitais públicos","Escrivão Junior, Álvaro","Ciência &amp; Saúde Coletiva; 12(3); 655-666","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300015&lang=pt" 
"S1413-81232007000300019-spa","The Chernobyl accident 20 years on: an assessment of the health consequences and the international response","Baverstock, Keith, Williams, Dillwyn","Ciência &amp; Saúde Coletiva; 12(3); 689-698","Ciência &amp; Saúde Coletiva","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300019&lang=pt" 
"S1413-81232007000300020-spa","Tecnologias da informação e cuidado hospitalar: reflexões sobre o sentido do trabalho","Fonseca, Cláudia Maria Barboza Machado, Santos, Mônica Loureiro dos","Ciência &amp; Saúde Coletiva; 12(3); 699-708","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300020&lang=pt" 
"S1413-81232007000300022-spa","Jornalismo científico e risco epidemiológico","Luiz, Olinda do Carmo","Ciência &amp; Saúde Coletiva; 12(3); 717-726","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300022&lang=pt" 
"S1413-81232007000300024-spa","A percepção da mulher sobre o exame preventivo do câncer cérvico-uterino: estudo de caso","Duavy, Lucélia Maria, Batista, Fátima Lucia Ramos, Jorge, Maria Salete Bessa, Santos, João Bosco Feitosa dos","Ciência &amp; Saúde Coletiva; 12(3); 733-742","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300024&lang=pt" 
"S1413-81232007000300027-spa","Causas de mortes evitáveis por ações efetivas dos serviços de saúde: uma revisão da literatura","Malta, Deborah Carvalho, Duarte, Elisabeth Carmen","Ciência &amp; Saúde Coletiva; 12(3); 765-776","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300027&lang=pt" 
"S1413-81232007000300028-spa","A importância da confiança interpessoal para a consolidação do Programa de Saúde da Família","Valentim, Igor Vinicius Lima, Kruel, Alexandra Jochims","Ciência &amp; Saúde Coletiva; 12(3); 777-788","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300028&lang=pt" 
"S1413-81232007000300012-spa","Gestão governamental e sociedade: informação, tecnologia e produção científica","Ribeiro, Patrícia, Sophia, Daniela Carvalho, Grigório, Deise de Araújo","Ciência &amp; Saúde Coletiva; 12(3); 623-631","Ciência &amp; Saúde Coletiva","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232007000300012&lang=pt" 
"S0034-70942007000300001-scl","Pesquisa clínica no paciente pediátrico","Conceição, Mário José da","Revista Brasileira de Anestesiologia; 57(3); 233-236","Revista Brasileira de Anestesiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942007000300001&lang=pt" 
"S0034-70942007000300012-scl","Densidade relativa de uma solução: desmistificando conceitos","Imbelloni, Luiz Eduardo, Gouveia, Marildo A., Nunes, Rogean Rodrigues","Revista Brasileira de Anestesiologia; 57(3); 331-332","Revista Brasileira de Anestesiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942007000300012&lang=pt" 
"S0034-70942007000300005-scl","Bloqueio combinado para analgesia de parto: a adição de sufentanil ao anestésico local influencia o apgar dos recém-nascidos?","Cicarelli, Domingos Dias, Silva, Renata Veloso, Frerichs, Elke, Pagnocca, Marcelo Lacava","Revista Brasileira de Anestesiologia; 57(3); 272-279","Revista Brasileira de Anestesiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942007000300005&lang=pt" 
"S0034-70942007000300004-scl","Baixa dose de bupivacaína isobárica, hiperbárica ou hipobárica para raquianestesia unilateral","Imbelloni, Luiz Eduardo, Beato, Lúcia, Gouveia, Marildo A, Cordeiro, José Antônio","Revista Brasileira de Anestesiologia; 57(3); 261-270","Revista Brasileira de Anestesiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942007000300004&lang=pt" 
"S0034-70942007000300003-scl","Remifentanil: o regime de infusão faz diferença na prevenção das respostas circulatórias à intubação traqueal?","Nora, Fernando Squeff, Klipel, Rodrigo, Ayala, Gustavo, Oliveira Filho, Getúlio Rodrigues de","Revista Brasileira de Anestesiologia; 57(3); 247-260","Revista Brasileira de Anestesiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942007000300003&lang=pt" 
"S0034-89102007000300026-scl","","","Revista de Saúde Pública; 41(3); 492-492","Revista de Saúde Pública","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300026&lang=pt" 
"S0034-89102007000300020-scl","Straus: as duas sociologias médicas","Nunes, Everardo Duarte","Revista de Saúde Pública; 41(3); 467-471","Revista de Saúde Pública","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300020&lang=pt" 
"S0034-89102007000300022-scl","Sazonalidade de Aedes albopictus em área protegida na cidade de São Paulo, Brasil","Urbinatti, Paulo Roberto, Menezes, Regiane Maria Tironi de, Natal, Delsio","Revista de Saúde Pública; 41(3); 478-481","Revista de Saúde Pública","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300022&lang=pt" 
"S0034-89102007000300017-scl","Sensitivity analysis for unmeasured confounders using an electronic spreadsheet","Cabral, Maria Deolinda Borges, Luiz, Ronir Raggio","Revista de Saúde Pública; 41(3); 446-452","Revista de Saúde Pública","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300017&lang=pt" 
"S0034-89102007000300025-scl","Vigilância Epidemiológica em âmbito hospitalar","","Revista de Saúde Pública; 41(3); 487-491","Revista de Saúde Pública","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300025&lang=pt" 
"S0034-89102007000300024-scl","Atuação do Ministério da Saúde em Ciência e Tecnologia","","Revista de Saúde Pública; 41(3); 484-486","Revista de Saúde Pública","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300024&lang=pt" 
"S0034-89102007000300023-scl","Pediculosis: a health problem in the camps of the Iranian former prisoners of war in Iraq","Khaji, Ali","Revista de Saúde Pública; 41(3); 482-483","Revista de Saúde Pública","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300023&lang=pt" 
"S0034-89102007000300025-spa","Vigilância Epidemiológica em âmbito hospitalar","","Revista de Saúde Pública; 41(3); 487-491","Revista de Saúde Pública","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300025&lang=pt" 
"S0034-89102007000300024-spa","Atuação do Ministério da Saúde em Ciência e Tecnologia","","Revista de Saúde Pública; 41(3); 484-486","Revista de Saúde Pública","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300024&lang=pt" 
"S0034-89102007000300022-spa","Sazonalidade de Aedes albopictus em área protegida na cidade de São Paulo, Brasil","Urbinatti, Paulo Roberto, Menezes, Regiane Maria Tironi de, Natal, Delsio","Revista de Saúde Pública; 41(3); 478-481","Revista de Saúde Pública","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300022&lang=pt" 
"S0034-89102007000300023-spa","Pediculosis: a health problem in the camps of the Iranian former prisoners of war in Iraq","Khaji, Ali","Revista de Saúde Pública; 41(3); 482-483","Revista de Saúde Pública","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300023&lang=pt" 
"S0034-89102007000300026-spa","","","Revista de Saúde Pública; 41(3); 492-492","Revista de Saúde Pública","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300026&lang=pt" 
"S0034-89102007000300021-spa","Responsabilidade do profissional de saúde sobre a notificação de casos de violência doméstica","Saliba, Orlando, Garbin, Cléa Adas Saliba, Garbin, Artênio José Isper, Dossi, Ana Paula","Revista de Saúde Pública; 41(3); 472-477","Revista de Saúde Pública","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300021&lang=pt" 
"S0034-89102007000300020-spa","Straus: as duas sociologias médicas","Nunes, Everardo Duarte","Revista de Saúde Pública; 41(3); 467-471","Revista de Saúde Pública","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300020&lang=pt" 
"S0034-89102007000300017-spa","Sensitivity analysis for unmeasured confounders using an electronic spreadsheet","Cabral, Maria Deolinda Borges, Luiz, Ronir Raggio","Revista de Saúde Pública; 41(3); 446-452","Revista de Saúde Pública","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300017&lang=pt" 
"S0034-89102007000300016-spa","Qualidade das estatísticas de óbitos por causas desconhecidas dos Estados brasileiros","Paes, Neir Antunes","Revista de Saúde Pública; 41(3); 436-445","Revista de Saúde Pública","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300016&lang=pt" 
"S0034-89102007000300007-spa","Controle da hipertensão arterial em uma unidade de saúde da família","Araujo, Jairo Carneiro de, Guimarães, Armênio Costa","Revista de Saúde Pública; 41(3); 368-374","Revista de Saúde Pública","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300007&lang=pt" 
"S0034-89102007000300005-spa","Fatores de risco para internação por doença respiratória aguda em crianças até um ano de idade","Macedo, Silvia Elaine Cardozo, Menezes, Ana Maria Baptista, Albernaz, Elaine, Post, Paulo, Knorst, Marli","Revista de Saúde Pública; 41(3); 351-358","Revista de Saúde Pública","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300005&lang=pt" 
"S0034-89102007000300004-spa","Effects of breastfeeding and sucking habits on malocclusion in a birth cohort study","Peres, Karen Glazer, Barros, Aluísio J D, Peres, Marco Aurélio, Victora, César Gomes","Revista de Saúde Pública; 41(3); 343-350","Revista de Saúde Pública","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300004&lang=pt" 
"S0034-89102007000300003-spa","Freqüência de consumo de dietas ricas em gordura e pobres em fibra entre adolescentes","Neutzling, Marilda Borges, Araújo, Cora Luiza Pavin, Vieira, Maria de Fátima Alves, Hallal, Pedro Curi, Menezes, Ana Maria Baptista","Revista de Saúde Pública; 41(3); 336-342","Revista de Saúde Pública","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300003&lang=pt" 
"S0034-89102007000300001-spa","Relationship between the iron status of pregnant women and their newborns","Paiva, Adriana de A, Rondó, Patrícia H C, Pagliusi, Regina A, Latorre, Maria do R D O, Cardoso, Maria A A, Gondim, Sheila S R","Revista de Saúde Pública; 41(3); 321-327","Revista de Saúde Pública","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300001&lang=pt" 
"S0034-89102007000300013-scl","Aids em área rural de Minas Gerais: abordagem cultural","Guimarães, Patricia Neves, Martin, Denise, Quirino, José","Revista de Saúde Pública; 41(3); 412-418","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300013&lang=pt" 
"S0034-89102007000300005-scl","Fatores de risco para internação por doença respiratória aguda em crianças até um ano de idade","Macedo, Silvia Elaine Cardozo, Menezes, Ana Maria Baptista, Albernaz, Elaine, Post, Paulo, Knorst, Marli","Revista de Saúde Pública; 41(3); 351-358","Revista de Saúde Pública","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300005&lang=pt" 
"S0034-89102007000300015-scl","Análise Envoltória de Dados na avaliação de hospitais públicos nas capitais brasileiras","Gonçalves, Antonio C, Noronha, Cláudio P, Lins, Marcos PE, Almeida, Renan MVR","Revista de Saúde Pública; 41(3); 427-435","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300015&lang=pt" 
"S0034-89102007000300012-scl","Conhecimentos e práticas de adolescentes na prevenção de acidentes de trabalho: estudo qualitativo","Nagai, Roberta, Lefèvre, Ana Maria C, Lefèvre, Fernando, Steluti, Josiane, Teixeira, Liliane R, Zinn, Lílian C S, Soares, Nilson S, Fischer, Frida M","Revista de Saúde Pública; 41(3); 404-411","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300012&lang=pt" 
"S0034-89102007000300003-scl","Freqüência de consumo de dietas ricas em gordura e pobres em fibra entre adolescentes","Neutzling, Marilda Borges, Araújo, Cora Luiza Pavin, Vieira, Maria de Fátima Alves, Hallal, Pedro Curi, Menezes, Ana Maria Baptista","Revista de Saúde Pública; 41(3); 336-342","Revista de Saúde Pública","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300003&lang=pt" 
"S0034-89102007000300008-scl","Captura de culicídeos em área urbana: avaliação do método das caixas de repouso","Barata, Eudina Agar Miranda de Freitas, Chiaravalloti Neto, Francisco, Dibo, Margareth Regina, Macoris, Maria de Lourdes G, Barbosa, Angelita Anália C, Natal, Delsio, Barata, José Maria Soares, Andriguetti, Maria Teresa Macoris","Revista de Saúde Pública; 41(3); 375-382","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300008&lang=pt" 
"S0034-89102007000300009-scl","Luz e galinhas como fatores de atração de Nyssomyia whitmani em ambiente rural, Paraná, Brasil","Teodoro, Ueslei, Lonardoni, Maria Valdrinez Campana, Silveira, Thaís Gomes Verzignassi, Dias, Alessandra de Cassia, Abbas, Milia, Alberton, Dayane, Santos, Demilson Rodrigues dos","Revista de Saúde Pública; 41(3); 383-388","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300009&lang=pt" 
"S0034-89102007000300016-scl","Qualidade das estatísticas de óbitos por causas desconhecidas dos Estados brasileiros","Paes, Neir Antunes","Revista de Saúde Pública; 41(3); 436-445","Revista de Saúde Pública","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300016&lang=pt" 
"S0034-89102007000300004-scl","Effects of breastfeeding and sucking habits on malocclusion in a birth cohort study","Peres, Karen Glazer, Barros, Aluísio J D, Peres, Marco Aurélio, Victora, César Gomes","Revista de Saúde Pública; 41(3); 343-350","Revista de Saúde Pública","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300004&lang=pt" 
"S0034-89102007000300011-scl","Álcool e adolescentes: estudo para implementar políticas municipais","Vieira, Denise Leite, Ribeiro, Marcelo, Romano, Marcos, Laranjeira, Ronaldo R","Revista de Saúde Pública; 41(3); 396-403","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300011&lang=pt" 
"S0034-89102007000300007-scl","Controle da hipertensão arterial em uma unidade de saúde da família","Araujo, Jairo Carneiro de, Guimarães, Armênio Costa","Revista de Saúde Pública; 41(3); 368-374","Revista de Saúde Pública","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300007&lang=pt" 
"S0034-89102007000300001-scl","Relationship between the iron status of pregnant women and their newborns","Paiva, Adriana de A, Rondó, Patrícia H C, Pagliusi, Regina A, Latorre, Maria do R D O, Cardoso, Maria A A, Gondim, Sheila S R","Revista de Saúde Pública; 41(3); 321-327","Revista de Saúde Pública","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300001&lang=pt" 
"S0034-89102007000300021-scl","Responsabilidade do profissional de saúde sobre a notificação de casos de violência doméstica","Saliba, Orlando, Garbin, Cléa Adas Saliba, Garbin, Artênio José Isper, Dossi, Ana Paula","Revista de Saúde Pública; 41(3); 472-477","Revista de Saúde Pública","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300021&lang=pt" 
"S0034-89102007000300006-scl","Violência contra mulheres entre usuárias de serviços públicos de saúde da Grande São Paulo","Schraiber, Lilia Blima, D&#039;Oliveira, Ana Flávia P L, Couto, Márcia Thereza, Hanada, Heloisa, Kiss, Ligia B, Durand, Julia G, Puccia, Maria Inês, Andrade, Marta Campagnoni","Revista de Saúde Pública; 41(3); 359-367","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300006&lang=pt" 
"S0034-89102007000300002-scl","Anemia em menores de seis anos: estudo de base populacional em Pelotas, RS","Assunção, Maria Cecília Formoso, Santos, Iná da Silva dos, Barros, Aluísio Jardim Dornellas de, Gigante, Denise Petrucci, Victora, César Gomes","Revista de Saúde Pública; 41(3); 328-335","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300002&lang=pt" 
"S0034-89102007000300010-scl","Vírus da raiva em quirópteros naturalmente infectados no Estado de São Paulo, Brasil","Scheffer, Karin Corrêa, Carrieri, Maria Luiza, Albas, Avelino, Santos, Helaine Cristina Pires dos, Kotait, Ivanete, Ito, Fumio Honma","Revista de Saúde Pública; 41(3); 389-395","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300010&lang=pt" 
"S0034-70942007000300002-scl","Avaliação dos efeitos cognitivos da indução inalatória com sevoflurano com ou sem associação com óxido nitroso: estudo comparativo em adultos voluntários","Fernandes, Cláudia Regina, Gomes, Josenília Maria Alves, Cordeiro, Raulysson Almeida do Amaral, Pereira, Kayline de Souza","Revista Brasileira de Anestesiologia; 57(3); 237-246","Revista Brasileira de Anestesiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942007000300002&lang=pt" 
"S0034-70942007000300006-scl","Bloqueio 3-em-1 prolongado versus analgesia sistêmica no tratamento da dor pós-operatória após a reconstrução do ligamento cruzado anterior do joelho","Contreras-Domínguez, Víctor A., Carbonell-Bellolio, Paulina E., Ojeda-Greciet, Álvaro C., Sanzana, Edgardo S.","Revista Brasileira de Anestesiologia; 57(3); 280-288","Revista Brasileira de Anestesiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942007000300006&lang=pt" 
"S0034-70942007000300007-scl","Influência do lítio no bloqueio neuromuscular produzido pelo atracúrio e pelo cisatracúrio: estudo em preparações nervo frênico-diafragma de rato","Fernandes, Samanta Cristina Antoniassi, Braga, Angélica de Fátima de Assunção, Braga, Franklin Sarmento da Silva, Loyola, Yolanda Christina S., Souza, Silmara Rodrigues de, Barcelos, Caroline Coutinho de","Revista Brasileira de Anestesiologia; 57(3); 289-300","Revista Brasileira de Anestesiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942007000300007&lang=pt" 
"S0034-70942007000300008-scl","Anestesia subaracnóidea para cesariana em paciente portadora de esclerose múltipla: relato de caso","Barbosa, Fabiano Timbó, Bernardo, Ronaldson Correia, Cunha, Rafael Martins da, Pedrosa, Maria do Socorro Melo","Revista Brasileira de Anestesiologia; 57(3); 301-306","Revista Brasileira de Anestesiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942007000300008&lang=pt" 
"S0034-70942007000300009-scl","Anestesia no paciente usuário de cocaína","Luft, Ana, Mendes, Florentino Fernandes","Revista Brasileira de Anestesiologia; 57(3); 307-314","Revista Brasileira de Anestesiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942007000300009&lang=pt" 
"S0034-70942007000300010-scl","Doença de von Willebrand e anestesia","Barbosa, Fabiano Timbó, Cunha, Rafael Martins da, Barbosa, Luciano Timbó","Revista Brasileira de Anestesiologia; 57(3); 315-323","Revista Brasileira de Anestesiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942007000300010&lang=pt" 
"S0034-70942007000300011-scl","Ocitocina em cesarianas: qual a Melhor Maneira de Utilizá-la?","Yamaguchi, Eduardo Tsuyoshi, Cardoso, Mônica Maria Siaulys Capel, Torres, Marcelo Luis Abramides","Revista Brasileira de Anestesiologia; 57(3); 324-350","Revista Brasileira de Anestesiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942007000300011&lang=pt" 
"S0034-89102007000300014-scl","Versão em português da Family Environment Scale: aplicação e validação","Vianna, Vânia P T, Silva, Eroy Aparecida da, Souza-Formigoni, Maria Lucia O","Revista de Saúde Pública; 41(3); 419-426","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102007000300014&lang=pt" 
"S0034-89102007000300002-spa","Anemia em menores de seis anos: estudo de base populacional em Pelotas, RS","Assunção, Maria Cecília Formoso, Santos, Iná da Silva dos, Barros, Aluísio Jardim Dornellas de, Gigante, Denise Petrucci, Victora, César Gomes","Revista de Saúde Pública; 41(3); 328-335","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300002&lang=pt" 
"S0034-89102007000300006-spa","Violência contra mulheres entre usuárias de serviços públicos de saúde da Grande São Paulo","Schraiber, Lilia Blima, D&#039;Oliveira, Ana Flávia P L, Couto, Márcia Thereza, Hanada, Heloisa, Kiss, Ligia B, Durand, Julia G, Puccia, Maria Inês, Andrade, Marta Campagnoni","Revista de Saúde Pública; 41(3); 359-367","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300006&lang=pt" 
"S0034-89102007000300008-spa","Captura de culicídeos em área urbana: avaliação do método das caixas de repouso","Barata, Eudina Agar Miranda de Freitas, Chiaravalloti Neto, Francisco, Dibo, Margareth Regina, Macoris, Maria de Lourdes G, Barbosa, Angelita Anália C, Natal, Delsio, Barata, José Maria Soares, Andriguetti, Maria Teresa Macoris","Revista de Saúde Pública; 41(3); 375-382","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300008&lang=pt" 
"S0034-89102007000300009-spa","Luz e galinhas como fatores de atração de Nyssomyia whitmani em ambiente rural, Paraná, Brasil","Teodoro, Ueslei, Lonardoni, Maria Valdrinez Campana, Silveira, Thaís Gomes Verzignassi, Dias, Alessandra de Cassia, Abbas, Milia, Alberton, Dayane, Santos, Demilson Rodrigues dos","Revista de Saúde Pública; 41(3); 383-388","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300009&lang=pt" 
"S0034-89102007000300010-spa","Vírus da raiva em quirópteros naturalmente infectados no Estado de São Paulo, Brasil","Scheffer, Karin Corrêa, Carrieri, Maria Luiza, Albas, Avelino, Santos, Helaine Cristina Pires dos, Kotait, Ivanete, Ito, Fumio Honma","Revista de Saúde Pública; 41(3); 389-395","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300010&lang=pt" 
"S0034-89102007000300011-spa","Álcool e adolescentes: estudo para implementar políticas municipais","Vieira, Denise Leite, Ribeiro, Marcelo, Romano, Marcos, Laranjeira, Ronaldo R","Revista de Saúde Pública; 41(3); 396-403","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300011&lang=pt" 
"S0034-89102007000300012-spa","Conhecimentos e práticas de adolescentes na prevenção de acidentes de trabalho: estudo qualitativo","Nagai, Roberta, Lefèvre, Ana Maria C, Lefèvre, Fernando, Steluti, Josiane, Teixeira, Liliane R, Zinn, Lílian C S, Soares, Nilson S, Fischer, Frida M","Revista de Saúde Pública; 41(3); 404-411","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300012&lang=pt" 
"S0034-89102007000300013-spa","Aids em área rural de Minas Gerais: abordagem cultural","Guimarães, Patricia Neves, Martin, Denise, Quirino, José","Revista de Saúde Pública; 41(3); 412-418","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300013&lang=pt" 
"S0034-89102007000300014-spa","Versão em português da Family Environment Scale: aplicação e validação","Vianna, Vânia P T, Silva, Eroy Aparecida da, Souza-Formigoni, Maria Lucia O","Revista de Saúde Pública; 41(3); 419-426","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300014&lang=pt" 
"S0034-89102007000300015-spa","Análise Envoltória de Dados na avaliação de hospitais públicos nas capitais brasileiras","Gonçalves, Antonio C, Noronha, Cláudio P, Lins, Marcos PE, Almeida, Renan MVR","Revista de Saúde Pública; 41(3); 427-435","Revista de Saúde Pública","Inglês, Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102007000300015&lang=pt" 
"S0120-56332007000200001-col","La generación del conocimiento como mercancía de alto valor: importancia de su difusión","López-Jaramillo, Patricio","Revista Colombiana de Cardiología; 14(2); 65-66","Revista Colombiana de Cardiología","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56332007000200001&lang=pt" 
"S0120-56332007000200002-col","Terapia de resincronización cardiaca: experiencia, seguimiento clínico y ecocardiográfico, y optimización del dispositivo con ecocardiografía","Múnera, Ana G, Restrepo, Gustavo, Duque, Mauricio, Cubides, Carlos, Uribe, William, Medina, Eduardo, Marín, Jorge, Gil, Efraín, Aristizábal, Dagnóvar","Revista Colombiana de Cardiología; 14(2); 67-77","Revista Colombiana de Cardiología","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56332007000200002&lang=pt" 
"S0120-56332007000200003-col","Monitor de eventos electrocardiacos implementado en plataforma PDA","Bustamante, John, Sáenz, José F, Amaya, Adrián A","Revista Colombiana de Cardiología; 14(2); 78-86","Revista Colombiana de Cardiología","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56332007000200003&lang=pt" 
