"S0213-91112015000400001-esp","¿Es posible una atención primaria &quot;amigable para las/los jóvenes&quot; en España?","Goicolea, Isabel, Aguiló, Elena, Madrid, Juan","Gaceta Sanitaria; 29(4); 241-243","Gaceta Sanitaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400001&lang=pt" 
"S0034-72802015000400222-scl","Calázio e características demográficas dos portadores em uma amostra populacional","Nascimento, Marjorie Fornazier do, Wanzeler, Ana Claudia Viana, Sousa, Roberta Lilian Fernandes, Satto, Larissa Horikawa, Padovani, Carlos Roberto, Schellini, Silvana Artioli","Revista Brasileira de Oftalmologia; 74(4); 222-224","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000400222&lang=pt" 
"S0034-72802015000400257-scl","Biomarkers and surrogate endpoints in the glaucomatous optic neuropathy: new developments and a review","Kasahara, Niro","Revista Brasileira de Oftalmologia; 74(4); 257-265","Revista Brasileira de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000400257&lang=pt" 
"S0034-72802015000400203-scl","Prevalência de conjuntivite adenoviral em clínica oftalmológica no município de Viçosa (MG)","Rosado-Filho, Euldes Nei, Cardoso, Silvia Almeida, Marçal, Lorena Nacif, Santos, Eliziária Cardoso dos, Silva, Eduardo de Almeida Marques da, Paula, Sérgio Oliveira de, Oliveira, Leandro Licursi de","Revista Brasileira de Oftalmologia; 74(4); 203-208","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000400203&lang=pt" 
"S0034-72802015000400209-scl","Life quality of low-vision elderly people: before and after hearing and speech intervention","Monteiro, Mayla Myrina Bianchim, Carvalho, Keila Miriam Monteiro de","Revista Brasileira de Oftalmologia; 74(4); 209-215","Revista Brasileira de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000400209&lang=pt" 
"S0034-72802015000400216-scl","Qualidade de vida relacionada com a visão em pacientes com degeneração macular relacionada à idade neovascular","Picoto, Maria, Galveia, José, Patrício, Sara, Rodrigues, António, Vaz, Fernanda","Revista Brasileira de Oftalmologia; 74(4); 216-221","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000400216&lang=pt" 
"S0034-72802015000400225-scl","Correlation between the use of the accommodation and symptoms of asthenopia in hyperopic patients","Costa, Juan Carlos Luna da, Martins, Ian Beltrão de Sá, Nóbrega, Larissa Tavares Albuquerque, Medeiros, Maria Odília Navarro, Palitot, Luciana Maria, Dias, Marília Bezerra Cavalcanti, Dias, Tarcízio José","Revista Brasileira de Oftalmologia; 74(4); 225-230","Revista Brasileira de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000400225&lang=pt" 
"S0034-72802015000400231-scl","Alterações palpebrais: frequência de ocorrência e perfil dos portadores em amostra populacional brasileira","Wanzeler, Ana Cláudia Viana, Nascimento, Marjorie Fornazier do, Sousa, Roberta Lilian Fernandes, Padovani, Carlos Roberto, Schellini, Silvana Artioli","Revista Brasileira de Oftalmologia; 74(4); 231-234","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000400231&lang=pt" 
"S0034-72802015000400235-scl","Percepção do paciente portador de glaucoma e os diferentes tipos de tratamento (clínico versus cirúrgico)","Vieira, Augusto Alves Pinho, Guedes, Ricardo Augusto Paletta, Vieira, Rita de Cássia Padula Alves, Guedes, Vanessa Maria Paletta","Revista Brasileira de Oftalmologia; 74(4); 235-240","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000400235&lang=pt" 
"S0034-72802015000400244-scl","Apresentação atípica da oftalmopatia de Graves","Rodrigues, Flávia Marques, Fonseca Junior, Nilson Lopes da, Rehder, José Ricardo Carvalho Lima, Fernandez, Celso Lopez, Sugano, Debora Mayumi","Revista Brasileira de Oftalmologia; 74(4); 244-247","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000400244&lang=pt" 
"S1980-00372015000400496-scl","Can leucine supplementation attenuate muscle atrophy? A literature review","Amaral, Rafael Bruno, Martins, Carlos Eduardo Carvalho, Lancha Junior, Antonio Herbert, Painelli, Vitor de Salles","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 17(4); 496-506","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372015000400496&lang=pt" 
"S1980-00372015000400472-scl","Functional fitness in older women from southern brazil: normative scores and comparison with different countries","Vagetti, Gislaine Cristina, Barbosa Filho, Valter Cordeiro, Oliveira, Valdomiro de, Mazzardo, Oldemar, Moreira, Natália Boneti, Gomes, Antonio Carlos, Campos, Wagner de","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 17(4); 472-484","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372015000400472&lang=pt" 
"S1980-00372015000400428-scl","Relationship between body image and overall and athletic internalization in young track and field female athletes","Fortes, Leonardo de Sousa, Ferreira, Maria Elisa Caputo, Filgueiras, Juliana Fernandes, Neves, Clara Mockdece, Paes, Santiago Tavares, Almeida, Sebastião de Sousa","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 17(4); 428-437","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372015000400428&lang=pt" 
"S1980-00372015000400389-scl","Neuromuscular profile of Handball players during a short-term condensed competition in Brazil","Lima, Leonardo Coelho Rabello, Teixeira, Inaian Pignatti, Nakamura, Priscila Missaki, Hayakawa, Marina Yumi, Assumpção, Claudio Oliveira, Menzes, Rafael Pombo","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 17(4); 389-399","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372015000400389&lang=pt" 
"S1980-00372015000400379-scl","Association between time spent sitting and diabetes mellitus in older adults: a population-based study","Silva, Rafael de Carvalho da, Meneguci, Joilson, Martins, Talita Inácio, Santos, Álvaro da Silva, Sasaki, Jeffer Eidi, Tribess, Sheilla, Virtuoso Júnior, Jair Sindra, Damião, Renata","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 17(4); 379-388","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372015000400379&lang=pt" 
"S1980-00372015000400438-scl","Motor and cognitive development of infants of adolescent and adult mothers: longitudinal study","Borba, Luana Silva de, Valentini, Nadia Cristina","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 17(4); 438-449","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372015000400438&lang=pt" 
"S1980-00372015000400485-scl","Effectiveness of intervention programs in schools to reduce health risk factors in adolescents: a systematic review","Guimarães, Roseane de Fátima, Langer, Raquel David, Guerra-Júnior, Gil, Gonçalves, Ezequiel Moreira","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 17(4); 485-495","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372015000400485&lang=pt" 
"S1980-00372015000400450-scl","Overweight/obesity in teachers: prevalence and associated factors","Rocha, Saulo Vasconcelos, Cardoso, Jefferson Paixão, Santos, Clarice Alves dos, Munaro, Hector Luiz Rodrigues, Vasconcelos, Lélia Renata Carneiro, Petroski, Edio Luiz","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 17(4); 450-459","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372015000400450&lang=pt" 
"S1980-00372015000400409-scl","Accuracy of the Suunto system for heart rate variability analysis during a tilt-test","Bouillod, Anthony, Cassirame, Johan, Bousson, Jean Marc, Sagawa Jr, Yoshimasa, Tordi, Nicolas","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 17(4); 409-417","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372015000400409&lang=pt" 
"S1980-00372015000400400-scl","Analysis of chronic physiological demand of an annual soccer season","Coelho, Daniel Barbosa, Pimenta, Eduardo Mendonça, Paixão, Rodney Coelho da, Morandi, Rodrigo Figueiredo, Becker, Lenice Kappes, Ferreira Júnior, João Batista, Coelho, Leonardo Gomes Martins, Silami-Garcia, Emerson","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 17(4); 400-408","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372015000400400&lang=pt" 
"S1137-66272015000200022-esp","Invaginación de intestino delgado en el adulto causada por lipoma submucoso de íleon","Arredondo, J., Hoz, M.L. de la, Álvarez, R., Hernando, M.","Anales del Sistema Sanitario de Navarra; 38(2); 343-346","Anales del Sistema Sanitario de Navarra","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272015000200022&lang=pt" 
"S1137-66272015000200016-esp","Programas de educación en diabetes tipo 1 e incidencia de diabetes tipo 1 en Navarra (2009-2012)","Sainz de los Terreros, A.","Anales del Sistema Sanitario de Navarra; 38(2); 315-320","Anales del Sistema Sanitario de Navarra","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272015000200016&lang=pt" 
"S0185-19182015000200315-mex","Reconfiguración de la Cooperación Sur-Sur en la región latinoamericana y la participación internacional de los actores subnacionales","Calvento, Mariana, Rolandi, María Lis","Revista mexicana de ciencias políticas y sociales; 60(224); 315-348","Revista mexicana de ciencias políticas y sociales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-19182015000200315&lang=pt" 
"S0718-48162015000200008-chl","Eficiencia del reflejo vestíbulo ocular mediante la aplicación de la prueba Video Head Impulse Test, en estudiantes de primer año de las escuelas de Fonoaudiología y de Tecnología Médica de la universidad de Valparaíso","Gómez L, André, Bruna C, Antonella, Franzoy E, Daniela, Julio R, María Sofía, Olivares M, Romina, Vicencio P, Nicole","Revista de otorrinolaringología y cirugía de cabeza y cuello; 75(2); 137-144","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162015000200008&lang=pt" 
"S0718-48162015000200006-chl","Estapedostomía endoscópica: Experiencia en el Hospital del Salvador","Arias A, Roberto, Silva C, Mauricio, Veloz T, Marcela","Revista de otorrinolaringología y cirugía de cabeza y cuello; 75(2); 122-128","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162015000200006&lang=pt" 
"S0718-48162015000200012-chl","Metástasis en el carcinoma adenoquístico de glándula salival","Hernando C, Mónica, Hernández G, Estefanía, Gutiérrez A, David, Nombela F, Gabriel, Caballero P, Begoña, Plaza M, Guillermo","Revista de otorrinolaringología y cirugía de cabeza y cuello; 75(2); 161-166","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162015000200012&lang=pt" 
"S0718-48162015000200013-chl","Tumoración endonasal y fractura de cadera derecha como cuadro clínico de un caso de melanoma mucoso nasosinusal","Peña R, Zoila, Añaguari T, Noemith, Benito N, Juan, Porras A, Eulalia, Moreno G, María","Revista de otorrinolaringología y cirugía de cabeza y cuello; 75(2); 167-172","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162015000200013&lang=pt" 
"S0718-48162015000200010-chl","Melanoma maligno mucoso de cavidad nasal","Núñez C, Valery, Rojas C, Karen, de Serdio A, José","Revista de otorrinolaringología y cirugía de cabeza y cuello; 75(2); 152-156","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162015000200010&lang=pt" 
"S0718-48162015000200011-chl","Presentación de quiste de segundo arco branquial como masa orofaríngea: Reporte de un caso","Veloz T, Marcela, Pacheco T, Alvaro","Revista de otorrinolaringología y cirugía de cabeza y cuello; 75(2); 157-160","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162015000200011&lang=pt" 
"S0718-48162015000200016-chl","Tumores del espacio parafaríngeo: Revisión del tema","Cabezas C, Luis, Cardemil M, Felipe, Cabezas L, Luis","Revista de otorrinolaringología y cirugía de cabeza y cuello; 75(2); 187-194","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162015000200016&lang=pt" 
"S0718-48162015000200002-chl","Adaptación transcultural al español de los instrumentos de tamizaje auditivo para escolares TEAP y ABEL","Herrera J, María José, Mena G, Pamela, Cardemil M, Felipe, Fuentes L, Eduardo, Rahal E, Maritza, Sanhueza C, David, Pardo J, Javiera, Purdy C, Suzanne","Revista de otorrinolaringología y cirugía de cabeza y cuello; 75(2); 89-95","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162015000200002&lang=pt" 
"S0718-48162015000200004-chl","","Casanueva L, Fernando, Astudillo O, David, Santamaría C, Alfredo, Cardemil M, Felipe","Revista de otorrinolaringología y cirugía de cabeza y cuello; 75(2); 106-113","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162015000200004&lang=pt" 
"S0718-48162015000200007-chl","Evaluación de la capacidad de penetración de partículas a cavidades perinasales usando el nebulizador PARI LC SPRINT® SINUS con técnica modificada en individuos sanos y portadores de rinosinusitis crónica por fibrosis quística con cirugía de cavidades perinasales","Gutiérrez C, Catalina, Ribalta L, Gloria, Neubauer G, Sonia, Largo G, Isabel","Revista de otorrinolaringología y cirugía de cabeza y cuello; 75(2); 129-136","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162015000200007&lang=pt" 
"S1415-98482015000200235-scl","Decomposição estrutural da variação do emprego nos setores industriais no brasil entre os anos de 2000 e 2009","Nakatani-Macedo, Carina Diane, Fiuza-Moura, Flávio Kauê, Câmara, Marcia Regina Gabardo da, Sesso Filho, Umberto Antonio","Revista de Economia Contemporânea; 19(2); 235-260","Revista de Economia Contemporânea","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-98482015000200235&lang=pt" 
"S0120-29522015000200005-col","DETERMINACIÓN DE LA CINÉTICA, PRUEBAS DE CRECIMIENTO Y EFECTO DE INHIBICIÓN IN VITRO DE Lactobacillus lactis EN Staphylococcus aureus, Staphylococcus epidermidis, Streptococcus agalactiae Y Escherichia coli","Jurado-Gámez, H, Gúzman-Insuasty, M, Jarrín-Jarrín, V","Revista de la Facultad de Medicina Veterinaria y de Zootecnia; 62(2); 40-56","Revista de la Facultad de Medicina Veterinaria y de Zootecnia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-29522015000200005&lang=pt" 
"S1415-98482015000200307-scl","Características e similaridades do setor cultural nos municípios e regiões metropolitanas brasileiras","Ribeiro, Luiz Carlos de Santana, Lopes, Thiago Henrique Carneiro Rios","Revista de Economia Contemporânea; 19(2); 307-330","Revista de Economia Contemporânea","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-98482015000200307&lang=pt" 
"S1415-98482015000200203-scl","Determinantes macroeconômicos dos investimentos no Brasil: um estudo para o período 1996-2012","Lélis, Marcos Tadeu Caputi, Bredow, Sabrina Monique Schenato, Cunha, André Moreira","Revista de Economia Contemporânea; 19(2); 203-234","Revista de Economia Contemporânea","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-98482015000200203&lang=pt" 
"S0120-29522015000200004-col","DETERMINACIÓN DE LA CINÉTICA, PRUEBAS DE CRECIMIENTO Y EFECTO DE INHIBICIÓN IN VITRO DE Lactobacillus casei EN Staphylococcus aureus, Staphylococcus epidermidis, Streptococcus agalactiae Y Escherichia coli","Jurado-Gámez, H, Gúzman-Insuasty, M","Revista de la Facultad de Medicina Veterinaria y de Zootecnia; 62(2); 23-39","Revista de la Facultad de Medicina Veterinaria y de Zootecnia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-29522015000200004&lang=pt" 
"S0103-73072015000200015-scl","Editorial","Sampaio, Helena","Pro-Posições; 26(2); 15-20","Pro-Posições","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000200015&lang=pt" 
"S0120-29522015000200001-col","EDITORIAL FALSO DEBATE","Carulla, Juan E","Revista de la Facultad de Medicina Veterinaria y de Zootecnia; 62(2); 9-10","Revista de la Facultad de Medicina Veterinaria y de Zootecnia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-29522015000200001&lang=pt" 
"S0103-73072015000200243-scl","KHAN, Shamus (2012). Privilege. The making of an adolescent elite at St. Paul&#039;s School. Princeton and Oxford: Princeton University Press. 232pp. (Collection - Princeton Studies in Cultural Sociology).","Arco Netto, Nicolau Dela Bandera","Pro-Posições; 26(2); 243-249","Pro-Posições","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000200243&lang=pt" 
"S0185-19182015000200353-mex","La cosmopolitización del mundo. Conversación con Ulrich Beck","Wieviorka, Michel","Revista mexicana de ciencias políticas y sociales; 60(224); 353-365","Revista mexicana de ciencias políticas y sociales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-19182015000200353&lang=pt" 
"S0185-19182015000200009-mex","Policromía de saberes. Sobre reconfiguraciones múltiples y conflictos regionales en un mundo global","Bokser Misses-Liwerant, Judit","Revista mexicana de ciencias políticas y sociales; 60(224); 9-13","Revista mexicana de ciencias políticas y sociales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-19182015000200009&lang=pt" 
"S0185-19182015000200163-mex","Los alcances de un nuevo proyecto socialdemócrata. La primera legislatura de José Luis Rodríguez Zapatero","Meyenberg, Yolanda, Hernández Corrochano, David","Revista mexicana de ciencias políticas y sociales; 60(224); 163-185","Revista mexicana de ciencias políticas y sociales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-19182015000200163&lang=pt" 
"S0185-19182015000200367-mex","El sociólogo que hablaba al oído. Homenaje a Ulrich Beck desde este lado","Mancini, Fiorella","Revista mexicana de ciencias políticas y sociales; 60(224); 367-375","Revista mexicana de ciencias políticas y sociales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-19182015000200367&lang=pt" 
"S0185-19182015000200103-mex","La moral tributaria en América Latina y la corrupción como uno de sus determinantes","Castañeda Rodríguez, Víctor Mauricio","Revista mexicana de ciencias políticas y sociales; 60(224); 103-132","Revista mexicana de ciencias políticas y sociales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-19182015000200103&lang=pt" 
"S0185-19182015000200187-mex","La reconfiguración de los conflictos armados en las relaciones internacionales: la internacionalización del conflicto en Siria","Prado Pérez, Ruth Elizabeth","Revista mexicana de ciencias políticas y sociales; 60(224); 187-219","Revista mexicana de ciencias políticas y sociales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-19182015000200187&lang=pt" 
"S1415-98482015000200191-scl","O capital fictício e crise econômica: visões para um novo paradigma*","Teixeira, Joanílio Rodolpho, Ferreira, Paula Felix","Revista de Economia Contemporânea; 19(2); 191-202","Revista de Economia Contemporânea","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-98482015000200191&lang=pt" 
"S0185-19182015000200221-mex","La demografía de Israel y de Palestina: presente y futuro","DellaPergola, Sergio","Revista mexicana de ciencias políticas y sociales; 60(224); 221-250","Revista mexicana de ciencias políticas y sociales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-19182015000200221&lang=pt" 
"S0185-19182015000200045-mex","Repensar la sociología del trabajo desde el Sur Global. Nuevos y viejos desafíos para comprender los procesos sociales de trabajo en el capitalismo globalizado","Bialakowsky, Alberto, Hermo, Javier","Revista mexicana de ciencias políticas y sociales; 60(224); 45-70","Revista mexicana de ciencias políticas y sociales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-19182015000200045&lang=pt" 
"S0185-19182015000200279-mex","Migración laboral México-Estados Unidos a veinte años del Tratado de Libre Comercio de América del Norte","Aragonés Castañer, Ana María, Salgado Nieto, Uberto","Revista mexicana de ciencias políticas y sociales; 60(224); 279-313","Revista mexicana de ciencias políticas y sociales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-19182015000200279&lang=pt" 
"S0103-73072015000200025-scl","Introducción","Ziegler, Sandra","Pro-Posições; 26(2); 25-32","Pro-Posições","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000200025&lang=pt" 
"S0185-19182015000200071-mex","Pensadores y pobreza. El rol del conocimiento especializado en las políticas de lucha contra la pobreza en Uruguay","Villegas Plá, María Belén","Revista mexicana de ciencias políticas y sociales; 60(224); 71-102","Revista mexicana de ciencias políticas y sociales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-19182015000200071&lang=pt" 
"S0103-73072015000200033-scl","&quot;Ser sencillo, ser buena persona&quot;: clasificaciones morales y procesos de distinción en las experiencias educativas de la &quot;clase alta&quot; argentina","Gessaghi, Victoria","Pro-Posições; 26(2); 33-50","Pro-Posições","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000200033&lang=pt" 
"S0103-73072015000200051-scl","Educar la moral del pobre: fronteras simbólicas y gobierno de los pobres por parte de la elite económica católica de Santiago de Chile","Silva, Sofía Bowen","Pro-Posições; 26(2); 51-73","Pro-Posições","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000200051&lang=pt" 
"S0103-73072015000200075-scl","La formación moral de los jóvenes de elite en circuitos de educación privada en Buenos Aires","Fuentes, Sebastian","Pro-Posições; 26(2); 75-98","Pro-Posições","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000200075&lang=pt" 
"S0103-73072015000200099-scl","O espaço das desigualdades educativas no município de São Paulo","Perosa, Graziela Serroni, Lebaron, Frédéric, Leite, Cristiane Kerches da Silva","Pro-Posições; 26(2); 99-118","Pro-Posições","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000200099&lang=pt" 
"S0103-73072015000200119-scl","Lenguajes, retóricas y repertorios de egresados de un colegio público &quot;de elite&quot;","Méndez, Alicia","Pro-Posições; 26(2); 119-139","Pro-Posições","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000200119&lang=pt" 
"S0103-73072015000200143-scl","Territórios etnoeducacionais: ressituando a educação escolar indígena no Brasil","Bergamaschi, Maria Aparecida, Sousa, Fernanda Brabo","Pro-Posições; 26(2); 143-161","Pro-Posições","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000200143&lang=pt" 
"S0103-73072015000200163-scl","Socialización y formación de las élites políticas argentinas: itinerarios universitarios y aprendizajes","Mellado, María Virginia","Pro-Posições; 26(2); 163-185","Pro-Posições","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000200163&lang=pt" 
"S0103-73072015000200187-scl","Los docentes ante las demandas de las políticas de educación inclusiva para la atención de niños con diferentes discapacidades: casos de México y Brasil","Dainez, Débora, Naranjo, Gabriela","Pro-Posições; 26(2); 187-204","Pro-Posições","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000200187&lang=pt" 
"S0103-73072015000200205-scl","Os significados do TDAH em discursos de docentes dos anos iniciais","Silva, Simone Patrícia da, Santos, Carina Pessoa, Oliveira Filho, Pedro de","Pro-Posições; 26(2); 205-221","Pro-Posições","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000200205&lang=pt" 
"S0103-73072015000200223-scl","Walter Benjamin e a experiência infantil: contribuições para a educação infantil","Santos, Sandro Vinicius Sales dos","Pro-Posições; 26(2); 223-239","Pro-Posições","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072015000200223&lang=pt" 
"S0185-19182015000200251-mex","Unimplemented Recognition. An Assessment of the Rights of Indigenous Peoples in Latin America","Martínez Espinoza, Manuel Ignacio","Revista mexicana de ciencias políticas y sociales; 60(224); 251-277","Revista mexicana de ciencias políticas y sociales","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-19182015000200251&lang=pt" 
"S2218-36202015000200003-cub","La gestión de la información y el conocimiento: Una oportunidad para las instituciones de educación superior","Almuiñas Rivero, José Luis, Galarza López, Judith","Revista Universidad y Sociedad; 7(2); 16-22","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200003&lang=pt" 
"S2218-36202015000200017-cub","El desarrollo tecnológico, la sostenibilidad, la gestión del conocimiento y el desarrollo social","Briones Kusactay, Víctor Hugo, Tartabull Contreras, Yusniel","Revista Universidad y Sociedad; 7(2); 117-121","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200017&lang=pt" 
"S2218-36202015000200009-cub","Formación de competencias de dirección desde el modelo del profesional en la carrera ingeniería forestal","García González, Máryuri, García Rodríguez, Alfredo","Revista Universidad y Sociedad; 7(2); 56-63","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200009&lang=pt" 
"S2218-36202015000200018-cub","Factores socioculturales que influyen en la animación cultural del movimiento de aficionados de las asociaciones de discapacitados","Fernández Morera, María Esther, Miguel Leal, Wilfredo, González Reyes, Juan Carlos","Revista Universidad y Sociedad; 7(2); 122-127","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200018&lang=pt" 
"S2218-36202015000200015-cub","Gestión del conocimiento universitario: Rol del instructor de arte y promotor cultural en la cultura ambiental de la comunidad","Alonso Hidalgo, Yicel, Núñez González, María Rosa, Hernández Reyes, Aurelio","Revista Universidad y Sociedad; 7(2); 104-111","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200015&lang=pt" 
