"S0100-40422003000500014-scl","Híbridos inorgânico-orgânicos derivados da reação de filossicatos com organossilanos","Fonseca, Maria Gardênnia da, Airoldi, Claudio","Química Nova; 26(5); 699-707","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000500014&lang=pt" 
"S0100-39842003000500010-scl","Pseudolesões hepáticas na ressonância magnética: ensaio iconográfico","Meirelles, Gustavo de Souza Portes, Tiferes, Dario Ariel, D&#039;Ippolito, Giuseppe","Radiologia Brasileira; 36(5); 305-309","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000500010&lang=pt" 
"S0100-39842003000500012-scl","Hemorragia adrenal bilateral com trombose da veia renal direita e veia cava inferior em um recém-nascido","Araújo Neto, Severino Aires de, Rezende, Rodrigo Tranquilini, Souza, Antônio Soares de, Godoy, José Maria Pereira de","Radiologia Brasileira; 36(5); 317-321","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000500012&lang=pt" 
"S0100-39842003000500017-scl","Recorrência local de câncer de mama após tratamento conservador em pacientes examinados por meio de biópsia por estereotaxia com agulha fina","Seixas, Cláudia Freixo","Radiologia Brasileira; 36(5); 310-310","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000500017&lang=pt" 
"S0100-39842003000500018-scl","Lesões cartilaginosas do quadril: efetividade diagnóstica da artrografia por ressonância magnética","Almeida Júnior, José Guiomar de","Radiologia Brasileira; 36(5); 322-322","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000500018&lang=pt" 
"S0100-39842003000500014-scl","Proposta de método de inspeção de radioproteção aplicada em instalações de medicina nuclear","Mendes, Leopoldino da Cruz Gouveia","Radiologia Brasileira; 36(5); 292-292","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000500014&lang=pt" 
"S1516-35982003000500001-scl","Diferentes densidades de estocagem na produção de alevinos de trairão (Hoplias cf. lacerdae)","Salaro, Ana Lúcia, Luz, Ronald Kennedy, Nogueira, Gláucio Cristiano Cabral de Barros, Reis, Alex, Sakabe, Róberson, Lambertucci, Daniel Moreira","Revista Brasileira de Zootecnia; 32(5); 1033-1036","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000500001&lang=pt" 
"S1516-35982003000500006-scl","Perfilhamento, área foliar e sistema radicular do capim-Mombaça submetido a combinações de doses de nitrogênio e potássio","Lavres Junior, José, Monteiro, Francisco Antonio","Revista Brasileira de Zootecnia; 32(5); 1068-1075","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000500006&lang=pt" 
"S0104-11692003000500002-scl","O desafio da liderança para o enfermeiro","Simões, Ana Lúcia de Assis, Fávero, Neide","Revista Latino-Americana de Enfermagem; 11(5); 567-573","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500002&lang=pt" 
"S0104-11692003000500003-scl","A formação do enfermeiro crítico-reflexivo no curso de enfermagem da Faculdade de Medicina de Marília - FAMEMA","Chirelli, Mara Quaglio, Mishima, Silvana Martins","Revista Latino-Americana de Enfermagem; 11(5); 574-584","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500003&lang=pt" 
"S0104-11692003000500005-scl","Mulher e trabalho: a história de vida de mães trabalhadoras de enfermagem","Spindola, Thelma, Santos, Rosângela da Silva","Revista Latino-Americana de Enfermagem; 11(5); 593-600","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500005&lang=pt" 
"S0104-11692003000500006-scl","A enfermeira e a equipe de enfermagem: segundo mães acompanhantes","Sugano, Amélia Satiko, Sigaud, Cecília Helena de Siqueira, Rezende, Magda Andrade","Revista Latino-Americana de Enfermagem; 11(5); 601-607","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500006&lang=pt" 
"S0104-11692003000500008-scl","Atenção à mulher mastectomizada: discutindo os aspectos ônticos e a dimensão ontológica da atuação da enfermeira no Hospital do Câncer III","Camargo, Teresa Caldas, Souza, Ivis Emília de Oliveira","Revista Latino-Americana de Enfermagem; 11(5); 614-621","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500008&lang=pt" 
"S0104-11692003000500009-scl","A rua: um acolhimento falaz às crianças que nela vivem","Ribeiro, Moneda Oliveira","Revista Latino-Americana de Enfermagem; 11(5); 622-629","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500009&lang=pt" 
"S0104-11692003000500010-scl","Cirurgia ambulatorial: identificação dos diagnósticos de enfermagem no período perioperatório","Flório, Maria Cristina Simões, Galvão, Cristina Maria","Revista Latino-Americana de Enfermagem; 11(5); 630-637","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500010&lang=pt" 
"S0104-11692003000500015-scl","Enfermagem fundamental: predicativos e implicações","Carvalho, Vilma de","Revista Latino-Americana de Enfermagem; 11(5); 664-671","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500015&lang=pt" 
"S0104-11692003000500017-scl","Ações de enfermagem no cenário do cotidiano de uma instituição psiquiátrica","Souza, Maria Conceição Bernardo de Mello e","Revista Latino-Americana de Enfermagem; 11(5); 678-684","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500017&lang=pt" 
"S0104-11692003000500007-scl","Prevalência de sintomas músculo-esqueléticos em trabalhadoras de enfermagem","Gurgueira, Giovana Pimentel, Alexandre, Neusa Maria Costa, Filho, Heleno Rodrigues Corrêa","Revista Latino-Americana de Enfermagem; 11(5); 608-613","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500007&lang=pt" 
"S0104-11692003000500011-scl","O tétano neonatal no Estado de Minas Gerais: contribuição para a compreensão do problema","Vieira, Lúcio José","Revista Latino-Americana de Enfermagem; 11(5); 638-644","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500011&lang=pt" 
"S0104-11692003000500016-scl","Unidades de internação psiquiátrica em hospital geral: espaços de cuidados e a atuação da equipe de enfermagem","Machado, Ana Lúcia, Colvero, Luciana de Almeida","Revista Latino-Americana de Enfermagem; 11(5); 672-677","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500016&lang=pt" 
"S0104-11692003000500014-scl","Reflexão sobre a abordagem etnográfica em três pesquisas","Vieira, Neiva Francenely Cunha, Vieira, Luiza Jane Eyre de Souza, Frota, Mirna Albuquerque","Revista Latino-Americana de Enfermagem; 11(5); 658-663","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500014&lang=pt" 
"S0104-11692003000500013-scl","A busca da competência do cuidado segundo Boff: uma nova perspectiva de conduta ética da enfermeira gerente","Trevizan, Maria Auxiliadora, Mendes, Isabel Amélia Costa, Melo, Marcia Regina Antonietto da Costa","Revista Latino-Americana de Enfermagem; 11(5); 652-657","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500013&lang=pt" 
"S0104-11692003000500012-scl","O enfermeiro na equipe de saúde mental: o caso dos CERSAMS de Belo Horizonte","Silveira, Marília Rezende da, Alves, Marília","Revista Latino-Americana de Enfermagem; 11(5); 645-651","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500012&lang=pt" 
"S0104-11692003000500001-scl","O papel emergente do líder","Mendes, Isabel Amélia Costa","Revista Latino-Americana de Enfermagem; 11(5); 561-565","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500001&lang=pt" 
"S0104-11692003000500004-scl","Situações geradoras de ansiedade e estratégias para seu controle entre enfermeiras: estudo preliminar","Barros, Alba Lucia Botura Leite de, Humerez, Dorisdaia Carvalho de, Fakih, Flávio Trevisani, Michel, Jeanne Liliane Marlene","Revista Latino-Americana de Enfermagem; 11(5); 585-592","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500004&lang=pt" 
"S0104-11692003000500018-scl","Educação a distância na área da enfermagem: relato de uma experiência","Bastos, Marisa Antonini Ribeiro, Guimarães, Eliane Marina Palhares","Revista Latino-Americana de Enfermagem; 11(5); 685-691","Revista Latino-Americana de Enfermagem","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692003000500018&lang=pt" 
"S0002-192X2003000400008-ven","INVESTIGACIONES SOBRE LA PATOGÉNESIS DEL CARBÓN DEL MAÍZ, DEL CARBÓN DEL SORGO Y DEL CARBÓN DEL ARROZ","Malaguti, Gino","Agronomía Tropical; 53(4); 70-77","Agronomía Tropical","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2003000400008&lang=pt" 
"S0002-192X2003000400006-ven","PIGMENTOS CAROTENOIDES IDENTIFICADOS Y PURIFICADOS EN ACEITE DE PALMA","Salinas, Nancy, Pacheco-Delahaye, Emperatriz","Agronomía Tropical; 53(4); 53-60","Agronomía Tropical","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2003000400006&lang=pt" 
"S0002-192X2003000400007-ven","DESCRIPCIÓN Y PRUEBA DEL HÍBRIDO SIMPLE DE MAÍZ AMARILLO FONAIAP 1","Bejarano, Arnoldo","Agronomía Tropical; 53(4); 61-69","Agronomía Tropical","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2003000400007&lang=pt" 
"S0002-192X2003000400004-ven","PATRONES HETERÓTICOS DE LÍNEAS TROPICALES BLANCAS DE MAÍZ","Malacarne, María F., San Vicente G, Félix M.","Agronomía Tropical; 53(4); 32-40","Agronomía Tropical","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2003000400004&lang=pt" 
"S0002-192X2003000400005-ven","ESTRATEGIAS DE CONTROL DE LA ROYA DEL CAFETO CON LA APLICACIÓN DE FUNGICIDA PROTECTOR Y SISTÉMICO EN PATROCINIO,MINAS GERAIS, BRASIL","Silva-Acuña, Ramón, Zambolim, Laercio, Álvarez Venegas, Víctor Hugo","Agronomía Tropical; 53(4); 41-52","Agronomía Tropical","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2003000400005&lang=pt" 
"S0002-192X2003000400002-ven","CLASIFICACIÓN DE CULTIVARES DE AJO POR MÉTODOS DE ANÁLISIS MULTIVARIADO","Pardo Roldán, Adriana, Marín R, Carlos","Agronomía Tropical; 53(4); 10-21","Agronomía Tropical","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2003000400002&lang=pt" 
"S0002-192X2003000400003-ven","EFECTO DE LA PROFUNDIDAD DEL NIVEL FREÁTICO SOBRE LA PRODUCCIÓN DE TOMATE EN UN SUELO FRANCO ARENOSO Y BAJO CONDICIONES DE INVERNADERO","Zambrano, Félix, Villafañe, Roberto, Figueroa, Rosana","Agronomía Tropical; 53(4); 22-31","Agronomía Tropical","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2003000400003&lang=pt" 
"S0002-192X2003000400001-ven","CARACTERIZACIÓN DE CULTIVARES DE AJO EN CUBIRO, ESTADO LARA","Pardo Roldán, Adriana, Marín R., Carlos","Agronomía Tropical; 53(4); 01-09","Agronomía Tropical","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2003000400001&lang=pt" 
"S0365-28072003000400001-chl","RESPUESTA DE DOS AISLAMIENTOS CHILENOS DE Metarhizium anisopliae (METSCHNIKOFF) SOROKIN A LA ADICIÓN DE UN PROTECTOR SOLAR","Devotto M., Luis, Gerding P., Marcos","Agricultura Técnica; 63(4); 339-346","Agricultura Técnica","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072003000400001&lang=pt" 
"S0365-28072003000400002-chl","EFECTOS TOXICOLÓGICOS DE EXTRACTOS DE MOLLE (Schinus molle) Y LANTANA (Lantana camara) SOBRE Chrysoperla externa (NEUROPTERA: CHRYSOPIDAE), Trichogramma pintoi (HYMENOPTERA: TRICHOGRAMMATIDAE) Y Copidosoma koehleri (HYMENOPTERA: ENCYRTIDAE) EN EL PERÚ","Iannacone O., José, Lamas M., Gerardo","Agricultura Técnica; 63(4); 347-360","Agricultura Técnica","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072003000400002&lang=pt" 
"S0365-28072003000400003-chl","COMPARACIÓN DE DOS VARIEDADES FRANCESAS DE TRIGO SEMBRADAS EN CHILE","Mellado Z., Mario","Agricultura Técnica; 63(4); 361-367","Agricultura Técnica","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072003000400003&lang=pt" 
"S0365-28072003000400004-chl","IDENTIFICACIÓN DE Pseudocercosporella herpotrichoides (Fron) Deighton, AGENTE CAUSAL DE LA MANCHA OCULAR DEL TRIGO EN LA ZONA SUR DE CHILE","Andrade V., Orlando","Agricultura Técnica; 63(4); 368-374","Agricultura Técnica","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072003000400004&lang=pt" 
"S0365-28072003000400005-chl","COMPARACIÓN DE GRANO DE MAÍZ Y TRIGO BROTADO COMO COMPONENTES DE RACIONES DE ENGORDA INVERNAL DE NOVILLOS","Rojas G., Claudio, Hazard T., Sergio, Hewstone M., Cristian","Agricultura Técnica; 63(4); 375-379","Agricultura Técnica","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072003000400005&lang=pt" 
"S0365-28072003000400006-chl","EVALUACIÓN DE ENSILAJES DE AVENA Y CEBADA EN LA GANANCIA DE PESO DE VAQUILLAS EN CRECIMIENTO","Elizalde V., Hernán Felipe, Gallardo C., Marcelo","Agricultura Técnica; 63(4); 380-386","Agricultura Técnica","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072003000400006&lang=pt" 
"S0365-28072003000400007-chl","USO DE LA ESPECTROSCOPÍA DE REFLECTANCIA EN EL INFRARROJO CERCANO PARA EL ANÁLISIS DE CALIDAD DE ENSILAJE DE MAÍZ","Cozzolino, Daniel, Fassio, Alberto, Fernández, Enrique","Agricultura Técnica; 63(4); 387-393","Agricultura Técnica","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072003000400007&lang=pt" 
"S0365-28072003000400008-chl","EFECTO DE CUATRO LÁMINAS DE AGUA SOBRE EL RENDIMIENTO Y CALIDAD DE TOMATES DE INVERNADERO PRODUCIDO EN PRIMAVERA-VERANO","Ortega-Farias, Samuel, Leyton, Ben-Hur, Valdés, Hector, Paillán, Hernán","Agricultura Técnica; 63(4); 394-402","Agricultura Técnica","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072003000400008&lang=pt" 
"S0365-28072003000400009-chl","INFLUENCIA DE LA ADICIÓN DE NITRÓGENO Y FÓSFORO SOBRE LA DESCOMPOSICIÓN DE PAJA DE TRIGO EN UN SUELO DERIVADO DE CENIZAS VOLCÁNICAS","Zagal, Erick, Longeri, Luis, Vidal, Iván, Hoffman, Glenn, González, Ricardo","Agricultura Técnica; 63(4); 403-415","Agricultura Técnica","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072003000400009&lang=pt" 
"S0365-28072003000400010-chl","INFLUENCIA DEL MERCADO INTERNACIONAL DE LÁCTEOS SOBRE EL PRECIO NACIONAL DE LA LECHE: UN ANÁLISIS DE COINTEGRACIÓN","Engler P., Alejandra, Nahuelhual M., Laura","Agricultura Técnica; 63(4); 416-427","Agricultura Técnica","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072003000400010&lang=pt" 
"S0365-28072003000400011-chl","PRECOCIDAD Y RENDIMIENTO EN ZAPALLITO REDONDO DE TRONCO (Cucurbita maxima var. zapallito (Carr.) Millán) EN FUNCIÓN DE LA RELACIÓN NITRÓGENO:POTASIO","De Grazia, Javier, Tittonell, Pablo, Salvador Perniola, Omar, Caruso, Ariel, Chiesa, Angel","Agricultura Técnica; 63(4); 428-435","Agricultura Técnica","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072003000400011&lang=pt" 
"S0365-28072003000400012-chl","EVALUACIÓN DEL CULTIVO DE Leucadendron sp. cv. SAFARI SUNSET PARA FLOR CORTADA EN UN VALLE INTERIOR DEL SECANO COSTERO DE LA VII REGIÓN, CHILE","Schiappacasse, Flavia, Vico, Verona, Yañez, Paola, Hettich, Walter","Agricultura Técnica; 63(4); 436-442","Agricultura Técnica","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072003000400012&lang=pt" 
"S0036-36342003000500006-mex","Transmisión interepidémica del dengue en la ciudad de Colima, México","Espinoza-Gómez, Francisco, Hernández-Suárez, Carlos Moisés, Rendón-Ramírez, Ruth, Carrillo-Alvarez, Mayra Lizet, Flores-González, Juan Carlos","Salud Pública de México; 45(5); 365-370","Salud Pública de México","Espanhol","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500006&lang=pt" 
"S0036-36342003000500007-mex","Brote por Pseudomonas aeruginosa, en el área de atención ambulatoria de heridas quirúrgicas, en pacientes posmastectomizadas","Vilar-Compte, Diana, Jacquemin, Benedicte, Díaz-González, Adriana, Velásquez, Consuelo, Volkow, Patricia","Salud Pública de México; 45(5); 371-378","Salud Pública de México","Espanhol","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500007&lang=pt" 
"S0036-36342003000500002-mex","Asociación entre la presencia de anticuerpos anti-Ras y anti-VPH16 E4/E7 y lesiones intraepiteliales del cérvix","Vázquez-Corzo, Sara, Trejo-Becerril, Catalina, Cruz-Valdez, Aurelio, Hernández-Nevarez, Pilar, Esquivel-Guadarrama, Fernando Roger, Gutiérrez-Xicotencatl, Ma de Lourdes","Salud Pública de México; 45(5); 335-345","Salud Pública de México","Espanhol","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500002&lang=pt" 
"S0036-36342003000500001-mex","Nuevos organismos internacionales para una aldea global","Gómez Dantés, Octavio","Salud Pública de México; 45(5); 333-334","Salud Pública de México","Espanhol","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500001&lang=pt" 
"S0036-36342003000500003-mex","Frecuencia de anticuerpos contra el virus C de la hepatitis en pacientes con cirrosis hepática en Yucatán, México","Góngora-Biachi, Renán A, Castro-Sansores, Carlos J, González-Martínez, Pedro, Lara-Perera, Dora M, Garrido-Palma, Julio, Lara-Perera, Víctor","Salud Pública de México; 45(5); 346-350","Salud Pública de México","Espanhol","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500003&lang=pt" 
"S0036-36342003000500004-mex","Estudio seroepidemiológico de borreliosis de Lyme en la Ciudad de México y el noreste de la República Mexicana","Gordillo-Pérez, Guadalupe, Torres, Javier, Solórzano-Santos, Fortino, Garduño-Bautista, Verónica, Tapia-Conyer, Roberto, Muñoz, Onofre","Salud Pública de México; 45(5); 351-355","Salud Pública de México","Espanhol","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500004&lang=pt" 
"S0036-36342003000500010-mex","Información básica sobre recursos del Sistema Nacional de Salud, 2002","","Salud Pública de México; 45(5); 396-407","Salud Pública de México","Espanhol","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500010&lang=pt" 
"S0036-36342003000500011-mex","Doctor JW Lee Director General electo Organización Mundial de la Salud","","Salud Pública de México; 45(5); 408-411","Salud Pública de México","Espanhol","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500011&lang=pt" 
"S0036-36342003000500012-mex","OMS: el camino hacia adelante. Entrevista con Lee Jong-Wook","","Salud Pública de México; 45(5); 411-412","Salud Pública de México","Espanhol","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500012&lang=pt" 
"S0036-36342003000500013-mex","Prevención de la diabetes mellitus: un problema mundial","Barquera, Simón","Salud Pública de México; 45(5); 413-414","Salud Pública de México","Espanhol","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500013&lang=pt" 
"S0036-36342003000500014-mex","Entender y atender la enfermedad: los saberes maternos frente a los padecimientos infantiles.","Santillana-Macedo, Manuel Alberto","Salud Pública de México; 45(5); 415-416","Salud Pública de México","Espanhol","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500014&lang=pt" 
"S0036-36342003000500015-mex","Población y sociedad al inicio del siglo XXI","Santillana-Macedo, Manuel Alberto","Salud Pública de México; 45(5); 416-419","Salud Pública de México","Espanhol","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500015&lang=pt" 
"S0036-36342003000500016-mex","Género y política en salud","Castro, Roberto","Salud Pública de México; 45(5); 419-421","Salud Pública de México","Espanhol","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500016&lang=pt" 
"S0036-36342003000500009-mex","Microbiological indicators of water quality in the Xochimilco canals, Mexico City","Juárez-Figueroa, Luis Alfredo, Silva-Sánchez, Jesús, Uribe-Salas, Felipe Javier, Cifuentes-García, Enrique","Salud Pública de México; 45(5); 389-395","Salud Pública de México","Inglês","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500009&lang=pt" 
"S0036-36342003000500008-mex","Intestinal parasites in children, in highly deprived areas in the border region of Chiapas, Mexico","Morales-Espinoza, Emma Marianela, Sánchez-Pérez, Héctor Javier, García-Gil, María del Mar, Vargas-Morales, Guadalupe, Méndez-Sánchez, José Domingo, Pérez-Ramírez, Margarita","Salud Pública de México; 45(5); 379-388","Salud Pública de México","Inglês","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500008&lang=pt" 
"S0036-36342003000500005-mex","Mortalidad por defectos del tubo neural en México, 1980-1997","Ramírez-Espitia, José A, Benavides, Fernando G, Lacasaña-Navarro, Marina, Martínez, José M, García, Ana M, Benach, Joan","Salud Pública de México; 45(5); 358-364","Salud Pública de México","Espanhol","2003","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342003000500005&lang=pt" 
"S0048-77322003000400003-ven","Reconocimiento de la Federación Internacional de Ginecología y Obstetricia (FIGO) a la Dra. Fanny Fleitas Rodríguez","Pérez D’Gregorio, Rogelio","Revista de Obstetricia y Ginecología de Venezuela; 63(4); 208-208","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322003000400003&lang=pt" 
"S0048-77322003000400002-ven","Requisitos uniformes para los manuscritos enviados a revistas biomédicas","Pérez D’Gregorio, Rogelio","Revista de Obstetricia y Ginecología de Venezuela; 63(4); 187-207","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322003000400002&lang=pt" 
"S0048-77322003000400001-ven","ß-hCG en fluidos vaginales como marcador de rotura prematura de membranas","Bufalino Fianchino, Gesualdo, Aponte Cubillán, Ayarí, Carrillo García, Hecna, Bello, Freddy, Fabrega Trueba, Ramona, Adrián Pineda, Carlos","Revista de Obstetricia y Ginecología de Venezuela; 63(4); 181-186","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322003000400001&lang=pt" 
"S0048-77322003000400005-ven","Historia de la Seccional Noroccidental de la Sociedad de Obstetricia y Ginecología de Venezuela","Briceño-Pérez, Carlos","Revista de Obstetricia y Ginecología de Venezuela; 63(4); 212-236","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322003000400005&lang=pt" 
"S0048-77322003000400004-ven","Inauguración de la nueva sede de la Seccional del Centro","Zapata, Leonor","Revista de Obstetricia y Ginecología de Venezuela; 63(4); 209-211","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2003","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322003000400004&lang=pt" 
"S0042-96862003001000015-spa","Potential impact of pharmaceuticals on environmental health","Jones, Oliver A.H., Voulvoulis, Nick, Lester, John N.","Bulletin of the World Health Organization; 81(10); 768-769","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001000015&lang=pt" 
"S0042-96862003001000012-spa","A pioneer in the quest to eradicate world blindness","Apple, David J.","Bulletin of the World Health Organization; 81(10); 756-757","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001000012&lang=pt" 
"S0042-96862003001000011-spa","Discussion","Birmingham, M.E., Lewis, R.F., Perea, W., Nelson, C.B., Kabore, A., Tarantola, D., Rosenstein, Nancy E., Perkins, Bradley A., LaForce, F. Marc, Achtman, Mark, Bugri, Sam","Bulletin of the World Health Organization; 81(10); 751-755","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001000011&lang=pt" 
"S0042-96862003001000007-spa","Single-dose versus multi-dose vaccine vials for immunization programmes in developing countries","Drain, Paul K., Nelson, Carib M., Lloyd, John S.","Bulletin of the World Health Organization; 81(10); 726-731","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001000007&lang=pt" 
"S0042-96862003001000005-spa","Integrated Management of Childhood Illnesses strategy: compliance with referral and follow-up recommendations in Gezira State, Sudan","Al Fadil, Sumaia Mohammed, Abd Alrahman, Samira Hamid, Cousens, Simon, Bustreo, Flavia, Shadoul, Ahmed, Farhoud, Suzanne, El Hassan, Samia Mohamed","Bulletin of the World Health Organization; 81(10); 708-716","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001000005&lang=pt" 
"S0042-96862003001000004-spa","Dried venous blood samples for the detection and quantification of measles IgG using a commercial enzyme immunoassay","Riddell, Michaela A., Byrnes, Graham B., Leydon, Jennie A., Kelly, Heath A.","Bulletin of the World Health Organization; 81(10); 701-707","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001000004&lang=pt" 
