"S1516-05722016000100168-scl","Técnicas de conservação pós-colheita para o manjericão","TEIXEIRA, D.A., GOMES, J.A.O., BONFIM, F.P.G., PARDO, P.I., MAYOBRE, M.T.","Revista Brasileira de Plantas Medicinais; 18(1); 168-171","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100168&lang=pt" 
"S0034-98872016000300007-chl","Efectividad de la acupuntura en el tratamiento del dolor agudo postquirúrgico en adultos, en comparación con tratamientos activos o con acupuntura simulada","Fuentealba Cargill, Francisca, Biagini Alarcón, Leandro","Revista médica de Chile; 144(3); 325-332","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300007&lang=pt" 
"S0034-98872016000300015-chl","El médico y la objeción de conciencia: Opinión del Departamento de Ética del Colegio Médico de Chile A. G.","Salas, Sofía P, Besio, Mauricio, Bórquez Estefó, Gladys, Salinas, Rodrigo A, Valenzuela, Carlos Y, Micolich, Constanza, Novoa Sotta, Fernando, Bernier Villarroel, Lioniel, Montt M, Julio, Misseroni Raddatz, Adelio","Revista médica de Chile; 144(3); 382-387","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300015&lang=pt" 
"S0034-98872016000300002-chl","Efecto de la incorporación de registros adicionales a la presión arterial en la Encuesta Nacional de Salud, Chile 2010","Montero, Joaquín, Mansilla, Cristián, Margozzini, Paula","Revista médica de Chile; 144(3); 285-290","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300002&lang=pt" 
"S0034-98872016000300014-chl","Objeción de conciencia, profesión médica y proyecto sobre despenalización del aborto en Chile","Besio, Mauricio","Revista médica de Chile; 144(3); 377-381","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300014&lang=pt" 
"S0034-98872016000300009-chl","Ultrasonografía bronquial con aspiración por aguja fina en el estudio lesiones adyacentes a la vía aérea central","Fernández-Bussy, Sebastián, Labarca, Gonzalo, Caviedes, Iván, Folch, Erik, Majid, Adnan","Revista médica de Chile; 144(3); 341-346","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300009&lang=pt" 
"S0034-98872016000300018-chl","Compromiso óseo en mastocitosis sistémica: una asociación frecuente, pero muchas veces inadvertida","Florenzano, Pablo, Mezzano, Verónica, Le-Bert, Marcela, González, Gilberto","Revista médica de Chile; 144(3); 401-405","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300018&lang=pt" 
"S0034-98872016000300003-chl","Clasificación según nivel de morbilidad e intensidad del uso de recursos de una población con patologías crónicas en Atención Primaria de Salud utilizando “Adjusted Clinical Groups” (ACG)","Santelices C, Emilio, Muñoz P, Fernando, Muñiz, Patricio, Rojas, José","Revista médica de Chile; 144(3); 291-297","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300003&lang=pt" 
"S0034-98872016000300016-chl","Historia de los terrenos de la Casa de Orates de Santiago de Chile","Osorio A, Carlos G","Revista médica de Chile; 144(3); 388-393","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300016&lang=pt" 
"S0034-98872016000300021-chl","Falleció Dr. Jaime Duclos Hertzer, ex Presidente Sociedad Médica de Santiago","Vega Stieb, Jorge","Revista médica de Chile; 144(3); 409-410","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300021&lang=pt" 
"S0066-782X2016000300247-scl","Ezetimibe: Clinical and Scientific Meaning of the IMPROVE-IT Study","Correia, Luis C. L.","Arquivos Brasileiros de Cardiologia; 106(3); 247-249","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300247&lang=pt" 
"S0066-782X2016000300168-scl","Prophylactic Left Internal Mammary Artery Graft In Mildly-Stenosed Coronary Lesions. Still An Open Discussion","Evora, Paulo Roberto B., Arcêncio, Livia, Schmidt, André, Rodrigues, Alfredo José","Arquivos Brasileiros de Cardiologia; 106(3); 168-170","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300168&lang=pt" 
"S0066-782X2016000300259-scl","Giant and Calcified Post-Infarction True Left Ventricular Aneurysm: What to Do?","Kajita, Alexandre Hideo, Oliveira, Marcos Danillo Peixoto, Menezes, Fernando Reis, Franken, Marcelo, Baraciolli, Luciano Moreira, Nicolau, José Carlos","Arquivos Brasileiros de Cardiologia; 106(3); 259-262","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300259&lang=pt" 
"S0066-782X2016000300250-scl","Case 1/2016 - 56-Year-Old Male with Atrial Septal Defect, Pulmonary Arterial Hypertension, Hospitalized Due to Eisenmenger Syndrome","Santana, Carolina, Lopes, Antonio Augusto B., Paiva, Antonio Fernando Lins de, Benvenuti, Luiz Alberto","Arquivos Brasileiros de Cardiologia; 106(3); 250-258","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300250&lang=pt" 
"S0103-05822016000100099-scl","Validation of questionnaires to assess quality of life related to fecal incontinence in children with anorectal malformations and Hirschsprung&#039;s disease","Mathias, Arthur Loguetti, Tannuri, Ana Cristina Aoun, Ferreira, Mariana Aparecida Elisei, Santos, Maria Mercês, Tannuri, Uenis","Revista Paulista de Pediatria; 34(1); 99-105","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100099&lang=pt" 
"S0103-05822016000100001-scl","Challenges on off label medicine use","Carvalho, Marisa Lima","Revista Paulista de Pediatria; 34(1); 1-2","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100001&lang=pt" 
"S0103-05822016000100003-scl","In time: vitamin D deficiency: who needs supplementation?","Winzenberg, Tania, Jones, Graeme","Revista Paulista de Pediatria; 34(1); 3-4","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100003&lang=pt" 
"S0034-98872016000300006-chl","Acceso a colecistectomía en un programa de tamizaje ecográfico de colelitiasis en centros de medicina familiar","Bay, Constanza, Ocares, Marcia, Toledo, Fernando, Barticevic, Nicolás, Mora, Isabel, Villouta, Francisca, Cruz, Francisco, Puschel, Klaus, Miquel, Juan Fco","Revista médica de Chile; 144(3); 317-324","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300006&lang=pt" 
"S0034-98872016000300010-chl","Evaluación nutricional de escolares en una ciudad fronteriza entre Estados Unidos y México","Aviña-Barrera, Mariel A, Castillo-Ruiz, Octelina, Vázquez-Nava, Francisco, Perales-Torres, Adriana, Aleman-Castillo, Sanjuana","Revista médica de Chile; 144(3); 347-354","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300010&lang=pt" 
"S0034-98872016000300008-chl","Alteraciones tiroideas en pacientes infectados con el virus de inmunodeficiencia humana","Báez, María Soledad, Zapata Silva, Andrea, López Benavides, María Isabel, Wilson, Gonzalo","Revista médica de Chile; 144(3); 333-340","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300008&lang=pt" 
"S0034-98872016000300004-chl","Diferencias de género en la calidad de vida relacionada con la salud en adolescentes escolarizados chilenos","González A, Electra, Martínez N, Vania, Molina G, Temistocles, George l, Myriam, SepúLveda P, Rodrigo, Molina C, Ramiro, Hidalgo-Rasmussen, Carlos","Revista médica de Chile; 144(3); 298-306","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300004&lang=pt" 
"S0034-98872016000300013-chl","Problemas éticos y de salud planteados por la reciente epidemia de Ébola: ¿Qué debemos aprender?","Pablo Beca, Juan, Salas, Sofía P","Revista médica de Chile; 144(3); 371-376","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300013&lang=pt" 
"S0034-98872016000300005-chl","Asociación de la resistina con variables de dimensión y composición corporal en eutróficos y obesos","Souki, Aida, Arraíz, Nailet, Prieto, Carem, Pérez Jiménez, Francisco, Valero, Paola, Amell, Anilsa, Cano-Ponce, Clímaco","Revista médica de Chile; 144(3); 307-316","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300005&lang=pt" 
"S0034-98872016000300012-chl","¿Qué son las puntuaciones de propensión?","Ojeda, Dagoberto, Gómez, Rocío, Burgos, Álvaro","Revista médica de Chile; 144(3); 364-370","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300012&lang=pt" 
"S0034-98872016000300017-chl","Tratamiento con sirolimus y prednisona en enfermedad de Erdheim-Chester con compromiso cardiaco: Caso clínico","Vega, Jorge, Santamarina, Mario","Revista médica de Chile; 144(3); 394-400","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300017&lang=pt" 
"S0066-782X2016000300171-scl","Reproducibility and Reliability of the Quality of Life Questionnaire in Patients With Atrial Fibrillation","Moreira, Rita Simone Lopes, Bassolli, Lucas, Coutinho, Enia, Ferrer, Paloma, Bragança, Érika Olivier, Carvalho, Antonio Carlos Camargo, Paola, Angelo Amato de, Luna Filho, Bráulio","Arquivos Brasileiros de Cardiologia; 106(3); 171-181","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300171&lang=pt" 
"S0066-782X2016000300194-scl","The Relationship between GRACE Score and Epicardial Fat Thickness in non-STEMI Patients","Gul, Ilker, Zungur, Mustafa, Aykan, Ahmet Cagri, Gokdeniz, Teyyar, Kalaycioğlu, Ezgi, Turan, Turhan, Hatem, Engin, Boyaci, Faruk","Arquivos Brasileiros de Cardiologia; 106(3); 194-200","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300194&lang=pt" 
"S0066-782X2016000300226-scl","Prognostic Value of Pulmonary Vascular Resistance by Magnetic Resonance in Systolic Heart Failure","Fabregat-Andrés, Óscar, Estornell-Erill, Jordi, Ridocci-Soriano, Francisco, Pérez-Boscá, José Leandro, García-González, Pilar, Payá-Serrano, Rafael, Morell, Salvador, Cortijo, Julio","Arquivos Brasileiros de Cardiologia; 106(3); 226-235","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300226&lang=pt" 
"S0066-782X2016000300182-scl","Sex Differences in High Sensitivity C-Reactive Protein in Subjects with Risk Factors of Metabolic Syndrome","Garcia, Vinicius Pacheco, Rocha, Helena Naly Miguens, Sales, Allan Robson Kluser, Rocha, Natália Galito, Nóbrega, Antonio Claudio Lucas da","Arquivos Brasileiros de Cardiologia; 106(3); 182-187","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300182&lang=pt" 
"S0066-782X2016000300210-scl","Analysis Treatment Guideline versus Clinical Practice Protocol in Patients Hospitalized due to Heart Failure","Corrêa, Alessandra da Graça, Makdisse, Marcia, Katz, Marcelo, Santana, Thamires Campos, Yokota, Paula Kiyomi Onaga, Galvão, Tatiana de Fatima Gonçalves, Bacal, Fernando","Arquivos Brasileiros de Cardiologia; 106(3); 210-217","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300210&lang=pt" 
"S0066-782X2016000300201-scl","Resistance Training in Spontaneously Hypertensive Rats with Severe Hypertension","Neves, Rodrigo Vanerson Passos, Souza, Michel Kendy, Passos, Clévia Santos, Bacurau, Reury Frank Pereira, Simoes, Herbert Gustavo, Prestes, Jonato, Boim, Mirian Aparecida, Câmara, Niels Olsen Saraiva, Franco, Maria do Carmo Pinho, Moraes, Milton Rocha","Arquivos Brasileiros de Cardiologia; 106(3); 201-209","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300201&lang=pt" 
"S0066-782X2016000300188-scl","Dyslipidemia is Associated with Unfit and Overweight-Obese Children and Adolescents","Reuter, Cézane Priscila, Silva, Priscila Tatiana da, Renner, Jane Dagmar Pollo, Mello, Elza Daniel de, Valim, Andréia Rosane de Moura, Pasa, Luiza, Silva, Rafaela da, Burgos, Miria Suzana","Arquivos Brasileiros de Cardiologia; 106(3); 188-193","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300188&lang=pt" 
"S0103-05822016000100005-scl","In time: averting the legacy of kidney disease – focus on childhood","Ingelfinger, Julie R., Kalantar-Zadeh, Kamyar, Schaefer, Franz","Revista Paulista de Pediatria; 34(1); 5-10","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100005&lang=pt" 
"S0103-05822016000100106-scl","Mortality in the first 24h of very low birth weight preterm infants in the Northeast of Brazil","Castro, Eveline Campos Monteiro de, Leite, Álvaro Jorge Madeiro, Guinsburg, Ruth","Revista Paulista de Pediatria; 34(1); 106-113","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100106&lang=pt" 
"S0103-05822016000100132-scl","Neonatal atrial flutter after insertion of an intracardiac umbilical venous catheter","Almeida, Marcos Moura de, Tavares, Wládia Gislaynne de Sousa, Furtado, Maria Mônica Alencar Araripe, Fontenele, Maria Marcia Farias Trajano","Revista Paulista de Pediatria; 34(1); 132-135","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100132&lang=pt" 
"S0103-05822016000100071-scl","Frequency of overweight and obesity in children and adolescents with autism and attention deficit/hyperactivity disorder","Kummer, Arthur, Barbosa, Izabela Guimarães, Rodrigues, David Henrique, Rocha, Natália Pessoa, Rafael, Marianna da Silva, Pfeilsticker, Larissa, Silva, Ana Cristina Simões e, Teixeira, Antônio Lúcio","Revista Paulista de Pediatria; 34(1); 71-77","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100071&lang=pt" 
"S0103-05822016000100078-scl","Functional performance of school children diagnosed with developmental delay up to two years of age","Dornelas, Lílian de Fátima, Magalhães, Lívia de Castro","Revista Paulista de Pediatria; 34(1); 78-85","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100078&lang=pt" 
"S0103-05822016000100024-scl","Influence of polymorphisms of the beta-2 adrenergic receptor on the presence of exercise-induced bronchospasm in adolescents","Consentino, Cássio Leandro Mühe, Furtado-Alle, Lupe, Silva, Larissa Rosa da, Lopes, Wendell Arthur, Tureck, Luciane Viater, Milano, Gerusa Einsfeld, Lazarotto, Leilane, Cavaglieri, Cláudia Regina, Leite, Neiva","Revista Paulista de Pediatria; 34(1); 24-29","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100024&lang=pt" 
"S0103-05822016000100030-scl","Association between fat mass index and fat-free mass index values and cardiovascular risk in adolescents","Oliveira, Patrícia Morais de, Silva, Fabiana Almeida da, Oliveira, Renata Maria Souza, Mendes, Larissa Loures, Pereira Netto, Michele, Cândido, Ana Paula Carlos","Revista Paulista de Pediatria; 34(1); 30-37","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100030&lang=pt" 
"S0103-05822016000100038-scl","Leukocytes as risk markers for cardiovascular disease in adolescents: association with birth characteristics, nutritional status and biochemical tests","Prado Junior, Pedro Paulo do, Faria, Franciane Rocha de, Faria, Eliane Rodrigues de, Franceschini, Sylvia do Carmo Castro, Priore, Silvia Eloiza","Revista Paulista de Pediatria; 34(1); 38-46","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100038&lang=pt" 
"S0103-05822016000100091-scl","Profile of patients with genitourinary anomalies treated in a clinical genetics service in the Brazilian unified health system","Gazzaneo, Ilanna Fragoso Peixoto, Queiroz, Camila Maia Costa de, Goes, Larissa Clara Vieira, Lessa, Victor José Correia, Omena Filho, Reinaldo Luna de, Nascimento, Diogo Lucas Lima do, Petroli, Reginaldo José, Zanotti, Susane Vasconcelos, Monlleó, Isabella Lopes","Revista Paulista de Pediatria; 34(1); 91-98","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100091&lang=pt" 
"S0103-05822016000100064-scl","Factors associated with short sleep duration in adolescents","Felden, Érico Pereira Gomes, Filipin, Douglas, Barbosa, Diego Grasel, Andrade, Rubian Diego, Meyer, Carolina, Louzada, Fernando Mazilli","Revista Paulista de Pediatria; 34(1); 64-70","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100064&lang=pt" 
"S0103-05822016000100047-scl","Waist circumference as a marker for screening nonalcoholic fatty liver disease in obese adolescents","Clemente, Ana Paula Grotti, Dal Molin Netto, Bárbara, Carvalho-Ferreira, Joana Pereira de, Campos, Raquel Munhoz da Silveira, Ganen, Aline de Piano, Tock, Lian, Mello, Marco Túlio de, Dâmaso, Ana Raimunda","Revista Paulista de Pediatria; 34(1); 47-55","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100047&lang=pt" 
"S0103-05822016000100018-scl","Fine particulate matter estimated by mathematical model and hospitalizations for pneumonia and asthma in children","César, Ana Cristina Gobbo, Nascimento, Luiz Fernando Costa, Mantovani, Katia Cristina Cota, Vieira, Luciana Cristina Pompeo","Revista Paulista de Pediatria; 34(1); 18-23","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100018&lang=pt" 
"S0103-05822016000100114-scl","Prevalence of Y-chromosome sequences and gonadoblastoma in Turner syndrome","Marqui, Alessandra Bernadete Trovó de, Silva-Grecco, Roseane Lopes da, Balarin, Marly Aparecida Spadotto","Revista Paulista de Pediatria; 34(1); 114-121","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100114&lang=pt" 
"S0103-05822016000100056-scl","Prevalence of sedentary behavior and its correlates among primary and secondary school students","Ferreira, Rodrigo Wiltgen, Rombaldi, Airton José, Ricardo, Luiza Isnardi Cardoso, Hallal, Pedro Curi, Azevedo, Mario Renato","Revista Paulista de Pediatria; 34(1); 56-63","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100056&lang=pt" 
"S0103-05822016000100011-scl","Frequency of prescriptions of off-label drugs and drugs not approved for pediatric use in primary health care in a southern municipality of Brazil","Gonçalves, Marcele Giacomin, Heineck, Isabela","Revista Paulista de Pediatria; 34(1); 11-17","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100011&lang=pt" 
"S0103-05822016000100086-scl","Continuous insulin therapy versus multiple insulin injections in the management of type 1 diabetes: a longitutinal study","Ribeiro, Maria Estela Bellini, Liberatore Junior, Raphael Del Roio, Custodio, Rodrigo, Martinelli Junior, Carlos Eduardo","Revista Paulista de Pediatria; 34(1); 86-90","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100086&lang=pt" 
"S0066-782X2016000300267-scl","Erratum","","Arquivos Brasileiros de Cardiologia; 106(3); 267-267","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300267&lang=pt" 
"S0034-98872016000300019-chl","Estimación paramétrica de la confiabilidad y diferencias confiables","Dominguez Lara, Sergio Alexis, Merino Soto, César, Navarro Loli, Jhonatan S","Revista médica de Chile; 144(3); 406-407","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300019&lang=pt" 
"S0034-98872016000300020-chl","Impacto del Día Mundial de la Tuberculosis en las búsquedas realizadas en Google en países sudamericanos","Tapia-Villarreal, Sebastián, Taype-Rondán, Álvaro","Revista médica de Chile; 144(3); 407-408","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300020&lang=pt" 
"S0034-98872016000300001-chl","El encanto de editar una revista médica y los recuerdos nostálgicos al alejarme","Reyes B, Humberto","Revista médica de Chile; 144(3); 281-284","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300001&lang=pt" 
"S0066-782X2016000300263-scl","Three-dimensional Echocardiography for Percutaneous Occlusion of Patent Foramen Ovale","Poffo, Robinson, Montanhesi, Paola Keese, Pope, Renato Bastos, Toschi, Alisson Parrilha, Vieira, Marcelo Campos","Arquivos Brasileiros de Cardiologia; 106(3); 263-264","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300263&lang=pt" 
"S0103-05822016000100122-scl","Use of a monitoring tool for growth and development in Brazilian children – systematic review","Almeida, Ana Claudia de, Mendes, Larissa da Costa, Sad, Izabela Rocha, Ramos, Eloane Gonçalves, Fonseca, Vânia Matos, Peixoto, Maria Virginia Marques","Revista Paulista de Pediatria; 34(1); 122-131","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000100122&lang=pt" 
"S0066-782X2016000300218-scl","Very Long-Term Prognostic Role of Admission BNP in Non-ST Segment Elevation Acute Coronary Syndrome","Bassan, Fernando, Bassan, Roberto, Esporcatte, Roberto, Santos, Braulio, Tura, Bernardo","Arquivos Brasileiros de Cardiologia; 106(3); 218-225","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300218&lang=pt" 
"S0066-782X2016000300236-scl","When is the Best Time for the Second Antiplatelet Agent in Non-St Elevation Acute Coronary Syndrome?","Silva, Pedro Gabriel Melo de Barros e, Ribeiro, Henrique Barbosa, Baruzzi, Antônio Claudio do Amaral, Silva, Expedito Eustáquio Ribeiro da","Arquivos Brasileiros de Cardiologia; 106(3); 236-246","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000300236&lang=pt" 
"S0034-98872016000300011-chl","MicroRNAs: Marcadores séricos en diabetes mellitus tipo 2 y ejercicio físico","Gómez-Banoy, Nicolás, Mockus, Ismena","Revista médica de Chile; 144(3); 355-363","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000300011&lang=pt" 
"S0120-62302016000100014-col","Dynamic WDM-TDM access networks featuring wired-wireless convergence","Aguas-Martínez, Elkin Fabián, Puerto-Leguizamón, Gustavo Adolfo, Suárez-Fajardo, Carlos Arturo","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 99-104","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100014&lang=pt" 
"S0120-62302016000100013-col","Spectral-amplitude encoding CDMA system based on high-speed electronic encoder/decoder structures","Aguilar-Torrentera, Jorge, Rodríguez-Cruz, Jesús Ramón, Puente-Ramírez, Norma Patricia, Rodríguez-Morales, Gustavo","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 99-104","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100013&lang=pt" 
"S0120-62302016000100012-col","Adjustable spatial resolution of compressive spectral images sensed by multispectral filter array-based sensors","Mejía-Melgarejo, Yuri Hercilia, Villarreal-Dulcey, Ofelia Patricia, Arguello-Fuentes, Henry","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 89-98","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100012&lang=pt" 
"S0120-62302016000100008-col","Colour evolution of the oxide layer formed on the Au-25Fe AND Au-24.5Fe-0.5Co alloys","Restrepo-Arcila, Sandra Milena, Echavarría-Velásquez, Alejandro Iván, Giraldo Cadavid, Marco Antonio, Calderón-Gutiérrez, Jorge Andrés, Sánchez-Londoño, Héctor Darío","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 62-68","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100008&lang=pt" 
"S0120-62302016000100009-col","Spectroscopic analysis of coal plasma emission produced by laser ablation","Vera-Londoño, Liliana Patricia, Pérez-Taborda, Jaime Andrés, Riascos-Landázuri, Henry","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 69-72","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100009&lang=pt" 
"S0120-62302016000100003-col","Assessment of postures and manual handling of loads at Southern Brazilian Foundries","Concepción-Batiz, Eduardo, dos Santos, Antonio José, Berretta-Hurtado, Ana Lúcia, Macedo, Marcelo, Schmitz-Mafra, Eliane Terezinha","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 21-29","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100003&lang=pt" 
"S0120-62302016000100011-col","A hybrid gateway discovery algorithm for supporting QoS communications in heterogeneous networks","Castellanos-Hernández, Wilder Eduardo, Guerri Cebollada, Juan Carlos, Chacón Osorio, Mónica Edith","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 80-88","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100011&lang=pt" 
"S0120-62302016000100015-col","Experimental study of water infiltration on an unsaturated soil-geosynthetic system","García-Aristizábal, Edwin Fabián, Vega-Posada, Carlos Alberto, Gallego-Hernández, Alba Nury","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 105-111","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100015&lang=pt" 
