"S0104-83332010000200003-scl","Jeitos de corpo: cor/raça, gênero, sexualidade e sociabilidade juvenil no centro de São Paulo","Simões, Júlio Assis, França, Isadora Lins, Macedo, Marcio","Cadernos Pagu; (35); 37-78","Cadernos Pagu","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332010000200003&lang=pt" 
"S0034-89102010000600016-scl","Assistência domiciliar a idosos: fatores associados, características do acesso e do cuidado","Thumé, Elaine, Facchini, Luiz Augusto, Tomasi, Elaine, Vieira, Lúcia Azambuja Saraiva","Revista de Saúde Pública; 44(6); 1102-1111","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600016&lang=pt" 
"S0034-89102010000600021-scl","Yellow fever in Brazil: thoughts and hypotheses on the emergence in previously free areas","Vasconcelos, Pedro Fernando da Costa","Revista de Saúde Pública; 44(6); 1144-1149","Revista de Saúde Pública","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600021&lang=pt" 
"S0036-46652010000600006-scl","Adenovirus respiratory infection: significant increase in diagnosis using PCR comparing with antigen detection and culture methods","Stroparo, Elenice, Cruz, Cristina R., Debur, Maria do Carmo, Vidal, Luine R., Nogueira, Meri B., Almeida, Sergio M. de, Pereira, Luciane A., Rotta, Indianara, Raboni, Sonia Mara","Revista do Instituto de Medicina Tropical de São Paulo; 52(6); 317-321","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652010000600006&lang=pt" 
"S0034-89102010000600001-spa","Comportamentos violentos de adolescentes e coabitação parento-filial","Horta, Rogério Lessa, Horta, Bernardo Lessa, Pinheiro, Ricardo Tavares, Krindges, Manuela","Revista de Saúde Pública; 44(6); 979-985","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600001&lang=pt" 
"S0034-89102010000600002-spa","Atividade física e fatores associados em adolescentes do ensino médio de Curitiba, Brasil","Fermino, Rogério César, Rech, Cassiano Ricardo, Hino, Adriano Akira Ferreira, Rodriguez Añez, Ciro Romelio, Reis, Rodrigo Siqueira","Revista de Saúde Pública; 44(6); 986-995","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600002&lang=pt" 
"S0034-89102010000600003-spa","Atividade física e sedentarismo em escolares da rede pública e privada de ensino em São Luís","Oliveira, Thiara Castro de, Silva, Antônio Augusto Moura da, Santos, Cristiane de Jesus Nunes dos, Silva, Josenilde Sousa e, Conceição, Sueli Ismael Oliveira da","Revista de Saúde Pública; 44(6); 996-1004","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600003&lang=pt" 
"S0034-89102010000600004-spa","Política Nacional de Saúde Bucal: fatores associados à integralidade do cuidado","Chaves, Sônia Cristina Lima, Barros, Sandra Garrido de, Cruz, Denise Nogueira, Figueiredo, Andreia Cristina Leal, Moura, Bárbara Laisa Alves, Cangussu, Maria Cristina Teixeira","Revista de Saúde Pública; 44(6); 1005-1013","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600004&lang=pt" 
"S0034-89102010000600005-spa","Renda familiar, preço de alimentos e aquisição domiciliar de frutas e hortaliças no Brasil","Claro, Rafael Moreira, Monteiro, Carlos Augusto","Revista de Saúde Pública; 44(6); 1014-1020","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600005&lang=pt" 
"S0034-89102010000600008-spa","Automedicação em adultos de baixa renda no município de São Paulo","Schmid, Bianca, Bernal, Regina, Silva, Nilza Nunes","Revista de Saúde Pública; 44(6); 1039-1045","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600008&lang=pt" 
"S0034-89102010000600009-spa","Instrumento para avaliação do nível de conhecimento da prescrição na atenção primária","Fröhlich, Samanta Etges, Dal Pizzol, Tatiane da Silva, Mengue, Sotero Serrate","Revista de Saúde Pública; 44(6); 1046-1054","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600009&lang=pt" 
"S0034-89102010000600010-spa","Avaliação da qualidade de cápsulas de sinvastatina de farmácias magistrais","Markman, Blanca Elena Ortega, Rosa, Paulo César Pires, Koschtschak, Maria Regina Walter","Revista de Saúde Pública; 44(6); 1055-1062","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600010&lang=pt" 
"S0034-89102010000600011-spa","Regulação médica em emergência pela plataforma web: um estudo piloto","Adolfi Júnior, Mário Sérgio, Pallini, Fábio Marcon, Pessotti, Hugo, Wolf, Cláudia Maria, Patelli, Hélio Tabajara, Capeli, Ronaldo Dias, Poli-Neto, Omero Benedicto, Neves, Fábio Fernandes, Scarpelini, Sandro, Marques, Paulo Mazzoncini de Azevedo, Pazin-Filho, Antonio","Revista de Saúde Pública; 44(6); 1063-1071","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600011&lang=pt" 
"S0034-89102010000600012-spa","Proposta de vigilância de óbitos por tuberculose em sistemas de informação","Selig, Lia, Kritski, Afranio Lineu, Cascão, Angela Maria, Braga, José Ueleres, Trajman, Anete, Carvalho, Regina Maria Guedes de","Revista de Saúde Pública; 44(6); 1072-1078","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600012&lang=pt" 
"S0034-89102010000600013-spa","Análisis político del Programa de Control del dengue en Morelos, México","González Fernández, Mariana I, Orozco Núñez, Emanuel, Cifuentes, Enrique","Revista de Saúde Pública; 44(6); 1079-1086","Revista de Saúde Pública","Inglês, Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600013&lang=pt" 
"S0034-89102010000600014-spa","Perfil epidemiológico e genotípico da infecção pelo vírus da hepatite B no Norte de Portugal","Mota, Ana, Guedes, Fátima, Areias, Jorge, Pinho, Luciana, Cardoso, Margarida Fonseca","Revista de Saúde Pública; 44(6); 1087-1093","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600014&lang=pt" 
"S0034-89102010000600016-spa","Assistência domiciliar a idosos: fatores associados, características do acesso e do cuidado","Thumé, Elaine, Facchini, Luiz Augusto, Tomasi, Elaine, Vieira, Lúcia Azambuja Saraiva","Revista de Saúde Pública; 44(6); 1102-1111","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600016&lang=pt" 
"S0034-89102010000600017-spa","Mortalidade por doenças cardiorrespiratórias em idosos no estado de Mato Grosso, 1986 a 2006","Carmo, Cleber Nascimento do, Hacon, Sandra de Souza, Jacobson, Ludmilla da Silva Viana, Mourão, Dennys de Souza, Ignotti, Eliane","Revista de Saúde Pública; 44(6); 1112-1119","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600017&lang=pt" 
"S0034-89102010000600018-spa","Auto-relato e relato de informante secundário na avaliação da saúde em idosos","Jardim, Renata, Barreto, Sandhi Maria, Giatti, Luana","Revista de Saúde Pública; 44(6); 1120-1129","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600018&lang=pt" 
"S0034-89102010000600019-spa","Distúrbios psíquicos menores e condições de trabalho em motoristas de caminhão","Ulhôa, Melissa Araújo, Marqueze, Elaine Cristina, Lemos, Lúcia Castro, Silva, Luna Gonçalves da, Silva, Amanda Aparecida, Nehme, Patrícia, Fischer, Frida Marina, Moreno, Claudia Roberta de Castro","Revista de Saúde Pública; 44(6); 1130-1136","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600019&lang=pt" 
"S0034-89102010000600020-spa","Medidas prospectivas de sintomas depressivos entre idosos residentes na comunidade","Batistoni, Samila Sathler Tavares, Neri, Anita Liberalesso, Cupertino, Ana Paula Fabrino Bretas","Revista de Saúde Pública; 44(6); 1137-1143","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102010000600020&lang=pt" 
"S0100-69162010000600002-scl","Utilização de energia elétrica em diferentes sistemas de aquecimento para leitões desmamados","Sarubbi, Juliana, Rossi, Luiz A., Moura, Daniella J. de, Oliveira, Rafael A. de, David, Eduardo","Engenharia Agrícola; 30(6); 1003-1011","Engenharia Agrícola","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162010000600002&lang=pt" 
"S0103-84782010001200015-scl","Caracterização agronômica de populações locais de azevém na Região Sul do Brasil","Mittelmann, Andréa, Montardo, Daniel Portella, Castro, Caroline Marques, Nunes, Cley Donizeti Martins, Buchweitz, Elizandra Döring, Corrêa, Bruna Obes","Ciência Rural; 40(12); 2527-2533","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200015&lang=pt" 
"S0104-66322010000400003-scl","Enhancement of canthaxanthin production from Dietzia natronolimnaea HS-1 in a fed-batch process using trace elements and statistical methods","Nasri Nasrabadi, M. R., Razavi, S. H.","Brazilian Journal of Chemical Engineering; 27(4); 517-529","Brazilian Journal of Chemical Engineering","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322010000400003&lang=pt" 
"S0034-89102010000600010-scl","Avaliação da qualidade de cápsulas de sinvastatina de farmácias magistrais","Markman, Blanca Elena Ortega, Rosa, Paulo César Pires, Koschtschak, Maria Regina Walter","Revista de Saúde Pública; 44(6); 1055-1062","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600010&lang=pt" 
"S0034-89102010000600002-scl","Atividade física e fatores associados em adolescentes do ensino médio de Curitiba, Brasil","Fermino, Rogério César, Rech, Cassiano Ricardo, Hino, Adriano Akira Ferreira, Rodriguez Añez, Ciro Romelio, Reis, Rodrigo Siqueira","Revista de Saúde Pública; 44(6); 986-995","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600002&lang=pt" 
"S0034-89102010000600018-scl","Auto-relato e relato de informante secundário na avaliação da saúde em idosos","Jardim, Renata, Barreto, Sandhi Maria, Giatti, Luana","Revista de Saúde Pública; 44(6); 1120-1129","Revista de Saúde Pública","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102010000600018&lang=pt" 
"S1852-45082010000200001-arg","El concepto de persona entre los mayas","Arzápalo Marín, Ramón, Zavala Olalde, Juan Carlos","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural; (20); 1-11","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-45082010000200001&lang=pt" 
"S1852-45082010000200002-arg","Procesos transaccionales y desarrollo autogestivo en salud y atención bucal entre los grupos (Qom) tobas asentados en Los Pumitas (Rosario), Argentina.","Azcona, María Susana","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural; (20); 11-21","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-45082010000200002&lang=pt" 
"S1852-45082010000200003-arg","Situación ecolingüística venezolana contemporánea","Bondarenko Pisemskaya, Natalia","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural; (20); 22-35","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-45082010000200003&lang=pt" 
"S1852-45082010000200004-arg","La mirada sobre el otro: Una aproximación acerca de la percepción de alumnos argentinos sobre la población chilena en Neuquén","Cerutti, Ángel, González, Cecilia","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural; (20); 36-42","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-45082010000200004&lang=pt" 
"S1852-45082010000200005-arg","La construcción del relato mítico ancestral en el arte y la poesía mapuche actual","García Barrera, Mabel","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural; (20); 43-56","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-45082010000200005&lang=pt" 
"S1852-45082010000200006-arg","Perspectivas socio-antropológicas sobre el campo del derecho y la justicia","Rodríguez, Graciela Beatriz","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural; (20); 57-70","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-45082010000200006&lang=pt" 
"S1852-45082010000200007-arg","Relaciones de ayuda mutua y más allá de ellas: El cuidado infantil y lazos de asociatividad en contextos de desigualdad social","Santillán, Laura","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural; (20); 70-89","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-45082010000200007&lang=pt" 
"S1561-29532010000300006-cub","Mielolipoma adrenal bilateral ligado a hipotiroidismo primario","González Rivero, Levi, Turcios Tristá, Silvia Elena, León Chiong, Lino, Jequín Savariego, Esther, Domínguez Pacheco, Noraika","Revista Cubana de Endocrinología; 21(3); 323-332","Revista Cubana de Endocrinología","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-29532010000300006&lang=pt" 
"S1561-29532010000300007-cub","Actualización de la conducta diagnóstica en el nódulo de tiroides","Turcios Tristá, Silvia Elena, Yanes Quesada, Marelys, Cruz Hernández, Jeddú, Rodríguez González, Julio César","Revista Cubana de Endocrinología; 21(3); 333-339","Revista Cubana de Endocrinología","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-29532010000300007&lang=pt" 
"S1561-29532010000300008-cub","Metilación y expresión de genes en el cáncer diferenciado de tiroides","Marrero Rodríguez, María Teresa","Revista Cubana de Endocrinología; 21(3); 340-350","Revista Cubana de Endocrinología","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-29532010000300008&lang=pt" 
"S1561-29532010000300001-cub","Las complicaciones macrovasculares y su relación con algunas variables clínicas y bioquímicas en diabéticos tipo 2","Valdés Ramos, Eduardo, Bencosme Rodríguez, Niurka","Revista Cubana de Endocrinología; 21(3); 256-268","Revista Cubana de Endocrinología","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-29532010000300001&lang=pt" 
"S1561-29532010000300002-cub","Valoración de la glucemia sérica como marcador pronóstico en el paciente séptico crítico","Larrondo Muguercia, Hilev de las Mercedes, Jiménez Paneque, Rosa, Torres Hernández, María del Rosario, Roque Guerra, Alberto, León Pérez, David","Revista Cubana de Endocrinología; 21(3); 269-278","Revista Cubana de Endocrinología","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-29532010000300002&lang=pt" 
"S1561-29532010000300003-cub","Características clínicas de los episodios de hipoglucemia en niños y adolescentes con diabetes tipo 1 atendidos en el Hospital Pediátrico &quot;William Soler&quot;","González Fernández, Pedro, González Fernández, Ciro, Álvarez González, Miguel Ángel, García Sáez, Julieta","Revista Cubana de Endocrinología; 21(3); 279-296","Revista Cubana de Endocrinología","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-29532010000300003&lang=pt" 
"S1561-29532010000300004-cub","Calidad del hueso en mujeres de edad mediana con hipertiroidismo subclínico farmacológico","Navarro Despaigne, Daysi Antonia","Revista Cubana de Endocrinología; 21(3); 297-306","Revista Cubana de Endocrinología","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-29532010000300004&lang=pt" 
"S1561-29532010000300005-cub","Intersexualidad, necesidad del cambio en el paradigma de atención: need of change in the care paradigm","Agramonte Machado, Adriana, Ledón Llanes, Loraine, Fabré Redondo, Bárbara, Espinosa Reyes, Tania, González Fernández, Pedro, Carvajal Martínez, Francisco, Montesinos Estévez, Teresa, García Álvarez, Caridad Teresita, Rodríguez Pérez, Martha, Díaz Bustelo, Angelina","Revista Cubana de Endocrinología; 21(3); 307-322","Revista Cubana de Endocrinología","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-29532010000300005&lang=pt" 
"S1809-48722010000400002-scl","Editorial II: homenagem ao membro do conselho editorial","Albernaz, Pedro Luiz Mangabeira","Arquivos Internacionais de Otorrinolaringologia; 14(4); 386-387","Arquivos Internacionais de Otorrinolaringologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722010000400002&lang=pt" 
"S1809-48722010000400001-scl","Editorial I","Jotz, Geraldo Pereira","Arquivos Internacionais de Otorrinolaringologia; 14(4); 385-385","Arquivos Internacionais de Otorrinolaringologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722010000400001&lang=pt" 
"S1809-48722010000400003-scl","Otolaryngologic manifestations among HIV/AIDS patients in a Nigerian tertiary health institution: an update","Sulyman, Alabi Biodun, Kazeem, Salami Alakija, Abdulrahman, Afolabi, David, Dunmade, Kayode, Aremu Shuaib, Oluwayemisi, Olawunmi, Jumai, Akande Halima, Odeigha, L O","Arquivos Internacionais de Otorrinolaringologia; 14(4); 398-403","Arquivos Internacionais de Otorrinolaringologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722010000400003&lang=pt" 
"S1809-48722010000400007-scl","Perfil cirúrgico otorrinolaringológico em um hospital pediátrico de Curitiba","Cavichiolo, Juliana Benthien, Carvalho, Bettina, Alcântara, Lauro João Lobo, Zimmermann, Elise, Carvalho Filho, Saulo, Mocellin, Marcos","Arquivos Internacionais de Otorrinolaringologia; 14(4); 422-425","Arquivos Internacionais de Otorrinolaringologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722010000400007&lang=pt" 
"S1809-48722010000400009-scl","Eficácia da cirurgia endoscópica nasal no tratamento da Rinossinusite crônica","Basílio, Flávia Machado Alves, Arantes, Murilo Carlini, Ballin, Annelyse Cristine, Dallagnol, Moises Rafael, Bornhausen, Mathias Bohn, Szkudlarek, Denilson Cavazzani, Santos, Marco César Jorge, Mocellin, Marcos","Arquivos Internacionais de Otorrinolaringologia; 14(4); 433-437","Arquivos Internacionais de Otorrinolaringologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722010000400009&lang=pt" 
"S1809-48722010000400018-scl","Atresia coanal bilateral em paciente de 34 anos","Tinoco, Paulo, Pereira, José Carlos Oliveira, Lourenço Filho, Rodolfo Caldas, Brito, Thiego Silveira Cajubá, Pereira, Betina Mameri, Carrara, Vânia Lúcia, Godoy, Sueliana Marta F","Arquivos Internacionais de Otorrinolaringologia; 14(4); 481-484","Arquivos Internacionais de Otorrinolaringologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722010000400018&lang=pt" 
"S1809-48722010000400011-scl","Associação entre perda auditiva e sintomatologia depressiva em idosos","Teixeira, Adriane Ribeiro, Gonçalves, Andréa Krüger, Freitas, Cíntia de La Rocha, Soldera, Cristina Loureiro Chaves, Bós, Ângelo José Gonçalves, Santos, Ana Maria Pujol Vieira dos, Dornelles, Sílvia","Arquivos Internacionais de Otorrinolaringologia; 14(4); 444-449","Arquivos Internacionais de Otorrinolaringologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722010000400011&lang=pt" 
"S1809-48722010000400017-scl","Ressecção endoscópica escalonada para amiloidose extensa do trato aéreo-digestivo superior: uma alternativa eficaz e viável","Ferreira, Thiago Chianca, Melo, Carlos Eduardo Fernandes Soares de, Belentani, Fernando Martinez, Maia, Mayko Soares, Tiago, Romualdo Suzano Louzeiro","Arquivos Internacionais de Otorrinolaringologia; 14(4); 477-480","Arquivos Internacionais de Otorrinolaringologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722010000400017&lang=pt" 
"S1809-48722010000400014-scl","Alterações musculares e esqueléticas cervicais em mulheres disfônicas","Menoncin, Laiza Carine Maia, Jurkiewicz, Ari Leon, Silvério, Kelly Cristina A, Camargo, Paulo Monteiro, Wolff, Nathália Martii Monti","Arquivos Internacionais de Otorrinolaringologia; 14(4); 461-466","Arquivos Internacionais de Otorrinolaringologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722010000400014&lang=pt" 
"S1809-48722010000400016-scl","Relato de caso: otoliquorreia espontânea em adulto","Rossi, Amanda Costa, Bertoncello, Juliana Martins de Araujo Cardoso, Scachetti, Luiz Carlos, Schäffer, Carolina, Catanoce, Aguinaldo Pereira, Marone, Silvio Antonio Monteiro","Arquivos Internacionais de Otorrinolaringologia; 14(4); 472-476","Arquivos Internacionais de Otorrinolaringologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722010000400016&lang=pt" 
"S1809-48722010000400019-scl","","","Arquivos Internacionais de Otorrinolaringologia; 14(4); 491-492","Arquivos Internacionais de Otorrinolaringologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722010000400019&lang=pt" 
"S1413-86702010000800002-scl","Current status and recommendations on methicillin-resistant Staphylococcus aureus infection in Latin America","Gotuzzo, Eduardo","Brazilian Journal of Infectious Diseases; 14(); 77-78","Brazilian Journal of Infectious Diseases","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702010000800002&lang=pt" 
"S1413-86702010000800001-scl","Acknowledgements","","Brazilian Journal of Infectious Diseases; 14(); I-I","Brazilian Journal of Infectious Diseases","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702010000800001&lang=pt" 
"S1413-86702010000800007-scl","Treatment of methicillin-resistant Staphylococcus aureus in Latin America","Luna, Carlos M, Rodríguez-Noriega, Eduardo, Bavestrello, Luis, Gotuzzo, Eduardo","Brazilian Journal of Infectious Diseases; 14(); 119-127","Brazilian Journal of Infectious Diseases","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702010000800007&lang=pt" 
"S1676-24442010000600002-scl","O laboratório clínico e os intervalos de referência","Andriolo, Adagmar","Jornal Brasileiro de Patologia e Medicina Laboratorial; 46(6); -","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442010000600002&lang=pt" 
"S1676-24442010000600001-scl","Nossa Capa - Pissarro: o pintor da terra","","Jornal Brasileiro de Patologia e Medicina Laboratorial; 46(6); -","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442010000600001&lang=pt" 
"S1676-24442010000600007-scl","Validação de construção de tissue microarray para estudo da displasia intraepitelial tubular renal","Monnerat, Andréa Lima Cruz, Caldas, Maria Lúcia Ribeiro, Pires, Andréa Rodrigues Cordovil","Jornal Brasileiro de Patologia e Medicina Laboratorial; 46(6); 471-478","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442010000600007&lang=pt" 
"S1676-24442010000600006-scl","Possíveis efeitos do cobre sanguíneo sobre parâmetros hematológicos em idosas","Baierle, Marília, Valentini, Juliana, Paniz, Clóvis, Moro, Angela, Barbosa Junior, Fernando, Garcia, Solange Cristina","Jornal Brasileiro de Patologia e Medicina Laboratorial; 46(6); 463-470","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442010000600006&lang=pt" 
"S1676-24442010000600011-scl","Correlation of histopathological patterns in cutaneous melanoma with BRAF mutations","Jung, Juliana Elizabeth, Matias, Jorge Eduardo Fouto, Blödorn-Schlicht, Norbert, Falk, Thomas M., Böer, Almut","Jornal Brasileiro de Patologia e Medicina Laboratorial; 46(6); 499-505","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442010000600011&lang=pt" 
"S1676-24442010000600008-scl","Achados bucais e laboratoriais em pacientes com lúpus eritematoso sistêmico","Umbelino Júnior, Antonio Augusto, Cantisano, Marília Heffer, Klumb, Evandro Mendes, Dias, Eliane Pedra, Silva, Andréa Alice da","Jornal Brasileiro de Patologia e Medicina Laboratorial; 46(6); 479-486","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442010000600008&lang=pt" 
"S1676-24442010000600010-scl","Cisto coloide no terceiro ventrículo e morte súbita em jovem","Alencar, Angela Augusta Ferreira de, Alencar Filho, Aristoteles Comte de, Ferreira, Luiz Carlos de Lima, Alencar Neto, Aristoteles Comte de","Jornal Brasileiro de Patologia e Medicina Laboratorial; 46(6); 495-498","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442010000600010&lang=pt" 
"S1516-635X2010000400003-scl","Incidence and physical properties of PSE chicken meat in a commercial processing plant","Garcia, RG, Freitas, LW de, Schwingel, AW, Farias, RM, Caldara, FR, Gabriel, AMA, Graciano, JD, Komiyama, CM, Almeida Paz, ICL","Revista Brasileira de Ciência Avícola; 12(4); 233-237","Revista Brasileira de Ciência Avícola","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2010000400003&lang=pt" 
"S1516-635X2010000400002-scl","Effects of dietary trace mineral sources and levels fed to layers in their second laying cycle on the quality of eggs stored at different temperatures and for different periods","Saldanha, ESPB, Garcia, EA, Pizzolante, CC, Gonçalves, HC, Faittarone, ABG, Sechinato, AS, Laganá, C","Revista Brasileira de Ciência Avícola; 12(4); 223-231","Revista Brasileira de Ciência Avícola","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2010000400002&lang=pt" 
"S1516-635X2010000400006-scl","Classification of coefficients of variation in experiments with commercial layers","Faria Filho, DE, Dias, AN, Veloso, ALC, Bueno, CFD, Couto, FAP, Matos Júnior, JB, Barreto, KZO, Rodrigues, PA, Carneiro, WA","Revista Brasileira de Ciência Avícola; 12(4); 255-257","Revista Brasileira de Ciência Avícola","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2010000400006&lang=pt" 
