"S1516-44462013000100010-scl","The panic disorder respiratory ratio: a dimensional approach to the respiratory subtype","Freire, Rafael Christophe, Nascimento, Isabella, Valença, Alexandre Martins, Lopes, Fabiana Leão, Mezzasalma, Marco André, Melo Neto, Valfrido Leão de, Zin, Walter Araujo, Nardi, Antonio Egidio","Revista Brasileira de Psiquiatria; 35(1); 57-62","Revista Brasileira de Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462013000100010&lang=pt" 
"S1415-790X2013000100018-scl","Perdas fetais espontâneas e voluntárias no Brasil em 1999-2000: um estudo de fatores associados","Machado, Carla Jorge, Lobato, Ana Christina de Lacerda, Melo, Victor Hugo, Guimarães, Mark Drew Crosland","Revista Brasileira de Epidemiologia; 16(1); 18-29","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100018&lang=pt" 
"S1415-790X2013000100040-scl","Detección del virus del papiloma humano de alto riesgo por captura híbrida II® según hallazgos citológicos en mujeres tratadas por lesiones escamosas intraepiteliales de cuello uterino, período 2006/2010","Mongelós, Pamela, Páez, Malvina, Rodriguez-Riveros, Isabel, Giménez, Graciela, Castro, Amalia, Mendoza, Laura","Revista Brasileira de Epidemiologia; 16(1); 40-48","Revista Brasileira de Epidemiologia","Inglês, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100040&lang=pt" 
"S1415-790X2013000100170-scl","Variância intrapessoal da ingestão de energia e nutrientes em adolescentes: correção de dados em estudos epidemiológicos","Verly Junior, Eliseu, Cesar, Chester Luis Galvão, Fisberg, Regina Mara, Marchioni, Dirce Maria Lobo","Revista Brasileira de Epidemiologia; 16(1); 170-177","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100170&lang=pt" 
"S1415-790X2013000100003-scl","Epidemiologia e políticas públicas","Barata, Rita Barradas","Revista Brasileira de Epidemiologia; 16(1); 3-17","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100003&lang=pt" 
"S1415-790X2013000100178-scl","Fatores associados ao aleitamento materno em dois municípios com baixo índice de desenvolvimento humano no Nordeste do Brasil","Oliveira, Mirella Gondim Ozias Aquino de, Lira, Pedro Israel Cabral de, Batista Filho, Malaquias, Lima, Marília de Carvalho","Revista Brasileira de Epidemiologia; 16(1); 178-189","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100178&lang=pt" 
"S1415-790X2013000100087-scl","Mortalidade masculina em três capitais brasileiras, 1979 a 2007","Luizaga, Carolina Terra de Moraes, Gotlieb, Sabina Léa Davidson","Revista Brasileira de Epidemiologia; 16(1); 87-99","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100087&lang=pt" 
"S1415-790X2013000100157-scl","Validade de peso, altura e índice de massa corporal autorreferidos na população adulta de Brasília","Thomaz, Priscilla Marcondelli Dias, Silva, Eduardo Freitas da, Costa, Teresa Helena Macedo da","Revista Brasileira de Epidemiologia; 16(1); 157-169","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100157&lang=pt" 
"S1415-790X2013000100077-scl","Infecções relacionadas à assistência a saúde baseada em critérios internacionais, realizada em unidade neonatal de cuidados progressivos de referência de Belo Horizonte, MG","Romanelli, Roberta Maia de Castro, Anchieta, Lêni Márcia, Mourão, Maria Vitória Assumpção, Campos, Flávia Alves, Loyola, Flávia Carvalho, Jesus, Lenize Adriana de, Armond, Guilherme Augusto, Clemente, Wanessa Trindade","Revista Brasileira de Epidemiologia; 16(1); 77-86","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100077&lang=pt" 
"S1415-790X2013000100125-scl","Tendências e diversidade na utilização empírica do Modelo Demanda-Controle de Karasek (estresse no trabalho): uma revisão sistemática","Alves, Márcia Guimarães de Mello, Hökerberg, Yara H M, Faerstein, Eduardo","Revista Brasileira de Epidemiologia; 16(1); 125-136","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100125&lang=pt" 
"S1415-790X2013000100049-scl","Consumo de álcool e risco para doença coronariana na região metropolitana de São Paulo: uma análise do Projeto GENACIS","Lima, Maria Cristina Pereira, Kerr-Côrrea, Florence, Rehm, Jurgen","Revista Brasileira de Epidemiologia; 16(1); 49-57","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100049&lang=pt" 
"S1415-790X2013000100100-scl","Conhecimento, atitudes e práticas sobre tuberculose em prisões e no serviço público de saúde","Ferreira Júnior, Sérgio, Oliveira, Helenice Bosco de, Marin-Léon, Letícia","Revista Brasileira de Epidemiologia; 16(1); 100-113","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100100&lang=pt" 
"S1415-790X2013000100146-scl","Prevalência e fatores associados à desnutrição e ao excesso de peso em menores de cinco anos nos seis maiores municípios do Maranhão","Chagas, Deysianne Costa das, Silva, Antônio Augusto Moura da, Batista, Rosangela Fernandes Lucena, Simões, Vanda Maria Ferreira, Lamy, Zeni Carvalho, Coimbra, Liberata Campos, Alves, Maria Teresa Seabra Soares de Britto e","Revista Brasileira de Epidemiologia; 16(1); 146-156","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100146&lang=pt" 
"S1415-790X2013000100058-scl","Programa Bolsa-Família: qualidade da dieta de população adulta do município de Curitiba, PR","Lima, Flávia Emília Leite de, Fisberg, Regina Mara, Uchimura, Kátia Yumi, Picheth, Telma","Revista Brasileira de Epidemiologia; 16(1); 58-67","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100058&lang=pt" 
"S1415-790X2013000100190-scl","Ecological aspects of phlebotomine fauna (Diptera, Psychodidae) of Serra da Cantareira, Greater São Paulo Metropolitan region, state of São Paulo, Brazil","Moschin, José Carlos, Ovallos, Fredy Galvis, Sei, Iole Arumi, Galati, Eunice A.B.","Revista Brasileira de Epidemiologia; 16(1); 190-201","Revista Brasileira de Epidemiologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100190&lang=pt" 
"S1415-790X2013000100137-scl","Television viewing and abdominal obesity in women according to smoking status: results from a large cross-sectional population-based study in Brazil","Cortes, Taísa Rodrigues, Schlussel, Michael Maia, Franco-Sena, Ana Beatriz, Rebelo, Fernanda, Kac, Gilberto","Revista Brasileira de Epidemiologia; 16(1); 137-145","Revista Brasileira de Epidemiologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100137&lang=pt" 
"S1415-790X2013000100114-scl","Fatores que influenciam a satisfação do paciente ambulatorial em uma população de baixa renda: um estudo de base populacional","Bastos, Gisele Alsina Nader, Fasolo, Luísa Rabeno","Revista Brasileira de Epidemiologia; 16(1); 114-124","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100114&lang=pt" 
"S1415-790X2013000100030-scl","Dez anos de epidemia do HIV-AIDS em maiores de 60 anos no Distrito Federal - Brasil","Oliveira, Maria Liz Cunha de, Paz, Leidijany Costa, Melo, Gislane Ferreira de","Revista Brasileira de Epidemiologia; 16(1); 30-39","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100030&lang=pt" 
"S1415-790X2013000100068-scl","Quedas e fraturas entre residentes de instituições de longa permanência para idosos","Del Duca, Giovâni Firpo, Antes, Danielle Ledur, Hallal, Pedro Curi","Revista Brasileira de Epidemiologia; 16(1); 68-76","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100068&lang=pt" 
"S1415-790X2013000100210-scl","Índice de Saúde Aplicado ao Município de Araraquara, SP: um instrumento para o acompanhamento da Atenção Básica","Mattos, Augustus Tadeu Relo de, Caccia-Bava, Maria do Carmo G.G., Barbosa, Débora Cristina Modesto","Revista Brasileira de Epidemiologia; 16(1); 210-222","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100210&lang=pt" 
"S1415-790X2013000100202-scl","Confiabilidade teste-reteste do Índice de Capacidade para o Trabalho (ICT) em trabalhadores de enfermagem","Silva Junior, Sérgio Henrique Almeida da, Vasconcelos, Ana Glória Godoi, Griep, Rosane Harter, Rotenberg, Lúcia","Revista Brasileira de Epidemiologia; 16(1); 202-209","Revista Brasileira de Epidemiologia","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2013000100202&lang=pt" 
"S0103-50532013000300021-scl","Erratum: Coprecipitative preconcentration of Cr(III), Pb(II), Zn(II), Cd(II) and Mn(II) ions with Al(III) and Fe(III) carriers and chromotrope 2B reagent and their FAAS determination in various water and food samples","Başbuğ, Berrak, Tokalioğlu, Şerife","Journal of the Brazilian Chemical Society; 24(3); 523-523","Journal of the Brazilian Chemical Society","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532013000300021&lang=pt" 
"S1409-00152013000100016-cri","Antagonistas neurohormonales en el tratamiento de la insuficiencia cardiaca crónica","Cruz Pérez, Francisco, Aguilar Rivera, Jeison, Rodriguez Montero, Fiorella, Barboza Gamboa, Lensy","Medicina Legal de Costa Rica; 30(1); 129-133","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100016&lang=pt" 
"S1409-00152013000100011-cri","Actualización en fibromialgia","Chavez Hidalgo, Danny","Medicina Legal de Costa Rica; 30(1); 83-88","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100011&lang=pt" 
"S1409-00152013000100001-cri","La medicina legal Costarricense: visión de un experto extranjero","Kvitko, Luis Alberto","Medicina Legal de Costa Rica; 30(1); 05-06","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100001&lang=pt" 
"S1409-00152013000100002-cri","Evaluación práctica de las alteraciones postmortem debidas a la actividad de los artrópodos","González Medina, Alejandro, González Herrera, Lucas, de la Higuera Hidalgo, José, Jiménez Ríos, Gilberto","Medicina Legal de Costa Rica; 30(1); 07-15","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100002&lang=pt" 
"S1409-00152013000100003-cri","El trabajo nocturno y sus implicaciones en la salud de médicos, enfermeras y oficiales de seguridad de los hospitales de la Caja Costaricense del Seguro Social en Costa Rica","Barahona Madrigal, Ana Imelda, Vidaurre Mora, Ernesto José, Sevilla Acosta, Fabricio José, Rodríguez Rodríguez, Jonathan, Monge Escobar, Silvia Eugenia","Medicina Legal de Costa Rica; 30(1); 17-36","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100003&lang=pt" 
"S1409-00152013000100004-cri","Creación del servicio de patología Hospital de Liberia Dr. Enrique Baltodano Briceño","Jones Barrantes, Carlos, González Solano, Emmanuel, Heyden Cordero, Mauricio","Medicina Legal de Costa Rica; 30(1); 111-115","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100004&lang=pt" 
"S1409-00152013000100005-cri","Repercusiones médico legales de los desastres nucleares","Bolaños Aymerich, Oscar, Cordero Cordero, José Miguel, Ducca Arauz, José Daniel, Navarro Calvo, Sofía, Navarro Carpio, Gabriela, Navarro Umaña, Gloriana","Medicina Legal de Costa Rica; 30(1); 45-61","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100005&lang=pt" 
"S1409-00152013000100006-cri","Docimasia hepática y ausencia de cuidados mínimos: serie de casos","Olaya Contreras, Mercedes, Franco Zuluaga, Jorge Andrés","Medicina Legal de Costa Rica; 30(1); 135-140","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100006&lang=pt" 
"S1409-00152013000100007-cri","Variante anatómica: arteria torácica anterior","Chaves Chaves, Denis, Sánchez Rojas, Marco","Medicina Legal de Costa Rica; 30(1); 141-144","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100007&lang=pt" 
"S1409-00152013000100008-cri","Dilemas bioéticos de trasplantología","Quesada Rodríguez, Francisco","Medicina Legal de Costa Rica; 30(1); 37-44","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100008&lang=pt" 
"S1409-00152013000100009-cri","Actualización del síndrome de hombro doloroso: lesiones del manguito rotador","Ugalde Ovares, Carlos Eduardo, Zúñiga Monge, Daniel, Barrantes Monge, Ricardo","Medicina Legal de Costa Rica; 30(1); 63-71","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100009&lang=pt" 
"S1409-00152013000100013-cri","Cáncer de mama inflamatorio: un reto diagnóstico y terapéutico","Monge Castro, Cinthya, Durán Bolaños, Gustavo, Gamboa Montero, Mark, Herrera Mora, Giovanni","Medicina Legal de Costa Rica; 30(1); 99-109","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100013&lang=pt" 
"S1409-00152013000100014-cri","Efectos adversos oculares de fármacos sistémicos","Rodríguez Vargas, Gabriel","Medicina Legal de Costa Rica; 30(1); 117-122","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100014&lang=pt" 
"S1409-00152013000100015-cri","Tosferina, una enfermedad prevalente","Durán Bolaños, Gustavo, Monge Castro, Cinthya, Herrera Mora, Giovanni, Gamboa Montero, Mark","Medicina Legal de Costa Rica; 30(1); 123-128","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100015&lang=pt" 
"S1409-00152013000100010-cri","Colecistectomía laparoscópica y la importancia de un laboratorio de entrenamiento en cirugía mínimamente invasiva, a propósito de su reciente creación en la Universidad de Costa Rica","Blanco Benavides, Priscilla, Fonseca Alvarado, José Andrés, Mora Leandro, Marisela, Moya Conejo, Xiomara, Navarro González, Jessica, Paniagua González, Mariel, Quirós-Montero, José Fernando","Medicina Legal de Costa Rica; 30(1); 73-82","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100010&lang=pt" 
"S1409-00152013000100012-cri","Tumores neuroendocrinos gastrointestinales","Zúñiga Monge, Daniel","Medicina Legal de Costa Rica; 30(1); 89-98","Medicina Legal de Costa Rica","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152013000100012&lang=pt" 
"S1984-29612013000100119-scl","Endogenous recipes for controlling arthropod ectoparasites of domestic poultry","Salifou, Sahidou, Offoumon, Oyéniran Thierry La Fronde, Gouissi, Fadéby Modeste, Pangui, Louis-Joseph","Revista Brasileira de Parasitologia Veterinária; 22(1); 119-123","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100119&lang=pt" 
"S1984-29612013000100155-scl","First report of acariasis by Caparinia tripilis in African hedgehogs, (Atelerix albiventris), in Costa Rica","Moreira, Andrés, Troyo, Adriana, Calderón-Arguedas, Olger","Revista Brasileira de Parasitologia Veterinária; 22(1); 155-158","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100155&lang=pt" 
"S1984-29612013000100053-scl","Fasciola hepatica infection and association with gastrointestinal parasites in Creole goats from western Argentina","Cuervo, Pablo, Sidoti, Laura, Fantozzi, Cecilia, Neira, Gisela, Gerbeno, Leticia, Mera y Sierra, Roberto","Revista Brasileira de Parasitologia Veterinária; 22(1); 53-57","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100053&lang=pt" 
"S1984-29612013000100186-scl","Acaricidal efficacy of topical formulation of fipronil in naturally infested dogs in Amazonic region, Brazil","Fischer, Viviane Labs, Heidmann, Maycon Junior, Faria, Eduardo Ferreira, Rizzi, Vanessa Garcia, Bragaglia, Gabrielle Nellis, Nascimento, Cristiano Grisi do, Castro, Bruno Gomes de","Revista Brasileira de Parasitologia Veterinária; 22(1); 186-188","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100186&lang=pt" 
"S1984-29612013000100114-scl","Molecular detection of Ehrlichia canisin dogs from the Pantanal of Mato Grosso State, Brazil","Santos, Luana Gabriela Ferreira dos, Melo, Andréia Lima Tomé, Moraes-Filho, Jonas, Witter, Rute, Labruna, Marcelo Bahia, Aguiar, Daniel Moura de","Revista Brasileira de Parasitologia Veterinária; 22(1); 114-118","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100114&lang=pt" 
"S1984-29612013000100058-scl","Diagnosis and isolation of Toxoplasma gondii in horses from Brazilian slaughterhouses","Evers, Fernanda, Garcia, João Luis, Navarro, Italmar Teodorico, Zulpo, Dauton Luiz, Nino, Beatriz de Souza Lima, Ewald, Maria Paula de Carvalho, Pagliari, Sthefany, Almeida, Jonatas Campos de, Freire, Roberta Lemos","Revista Brasileira de Parasitologia Veterinária; 22(1); 58-63","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100058&lang=pt" 
"S1984-29612013000100078-scl","Control of infective larvae of gastrointestinal nematodes in heifers using different isolates of nematophagous fungi","Silva, Manoel Eduardo da, Araújo, Jackson Victor de, Braga, Fabio Ribeiro, Freitas Soares, Filippe Elias de, Rodrigues, Daniel Sobreira","Revista Brasileira de Parasitologia Veterinária; 22(1); 78-83","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100078&lang=pt" 
"S1984-29612013000100147-scl","First report of interaction of nematophagous fungi onLibyostrongylus douglassii (Nematoda: Trichostrongylidae)","Braga, Fabio Ribeiro, Araújo, Jackson Victor, Tavela, Alexandre de Oliveira, Vilela, Vinicius Longo Ribeiro, Soares, Filippe Elias de Freitas, Araujo, Juliana Milani, Magalhães, Layane Queiroz, Silveira, Wendeo Ferreira da, Feitosa, Thais Ferreira, Dantas, Elaine Silva, Atahyde, Ana Célia Rodrigues","Revista Brasileira de Parasitologia Veterinária; 22(1); 147-151","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100147&lang=pt" 
"S1984-29612013000100124-scl","Environmentally associated ticks (Acari: Ixodidae) in Campo Grande, Mato Grosso do Sul, Brazil","Garcia, Marcos Valério, Silva, Dayana Campelo da, Almeida, Robson Ferreira Cavalcante de, Cunha, Rodrigo Casquero, Matias, Jaqueline, Barros, Jacqueline Cavalcante, Andreotti, Renato, Szabó, Matias Pablo Juan","Revista Brasileira de Parasitologia Veterinária; 22(1); 124-128","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100124&lang=pt" 
"S1984-29612013000100182-scl","First report of Trypanosoma cruziinfection in naturally infected dogs from southern Bahia, Brazil","Leça Júnior, Nilo Fernandes, Almeida, Valter dos Anjos, Carvalho, Fábio Santos, Albuquerque, George Rego, Silva, Fabiana Lessa","Revista Brasileira de Parasitologia Veterinária; 22(1); 182-185","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100182&lang=pt" 
"S1984-29612013000100143-scl","Proteolytic action of the crude extract ofDuddingtonia flagrans on cyathostomins (Nematoda: Cyathostominae) in coprocultures","Braga, Fabio Ribeiro, Araújo, Jackson Victor de, Soares, Filippe Elias de Freitas, Araujo, Juliana Milani, Ferreira, Sebastião Rodrigo, Tavela, Alexandre de Oliveira, Silveira, Wendeo Ferreira da, Queiroz, José Humberto de","Revista Brasileira de Parasitologia Veterinária; 22(1); 143-146","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100143&lang=pt" 
"S1984-29612013000100179-scl","Detection of anti-Toxoplasma gondiiantibodies in carthorses in the metropolitan region of Curitiba, Paraná, Brazil","Finger, Mariane Angélica, Villalobos, Eliana Monteforte Cassaro, Lara, Maria do Carmo Custódio de Souza Hunold, Cunha, Elenice Maria Sequetin, Barros Filho, Ivan Roque de, Deconto, Ivan, Dornbusch, Peterson Triches, Ullmann, Leila Sabrina, Biondo, Alexander Welker","Revista Brasileira de Parasitologia Veterinária; 22(1); 179-181","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100179&lang=pt" 
"S1984-29612013000100084-scl","Health assessment of the oyster Crassostrea rhizophorae on the southern coast of Bahia, northeastern Brazil","Brandão, Rosana Pinho, Boehs, Guisla, Silva, Patrícia Mirella da","Revista Brasileira de Parasitologia Veterinária; 22(1); 84-91","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100084&lang=pt" 
"S1984-29612013000100018-scl","Prevalence of Oestrus ovis(Diptera: Oestridae) in sheep from the São Paulo Central region, Brazil","Silva, Bruna Fernanda da, Machado, Gustavo Puglia, Izidoro, Thiago Braga, Amarante, Alessandro Francisco Talamini do","Revista Brasileira de Parasitologia Veterinária; 22(1); 18-21","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100018&lang=pt" 
"S1984-29612013000100171-scl","Predatory activity of chlamydospores of the fungusPochonia chlamydosporia on Toxocara caniseggs under laboratory conditions","Araujo, Juliana Milani, Araújo, Jackson Victor de, Braga, Fabio Ribeiro, Ferreira, Sebastião Rodrigo, Tavela, Alexandre de Oliveira","Revista Brasileira de Parasitologia Veterinária; 22(1); 171-174","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100171&lang=pt" 
"S1984-29612013000100162-scl","Seroprevalence rates of antibodies againstLeishmania infantum and other protozoan and rickettsial parasites in dogs","Paulan, Silvana de Cássia, Lins, Aline Gouveia de Souza, Tenório, Michely da Silva, Silva, Diogo Tiago da, Pena, Hilda Fátima de Jesus, Machado, Rosangela Zacarias, Gennari, Solange Maria, Buzetti, Wilma Aparecida Starke","Revista Brasileira de Parasitologia Veterinária; 22(1); 162-166","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100162&lang=pt" 
"S1984-29612013000100092-scl","Endoparasitic infections in dogs from rural areas in the Lobos District, Buenos Aires province, Argentina","Dopchiz, Marcela Cecilia, Lavallén, Carla Mariela, Bongiovanni, Roberto, Gonzalez, Patricia Verónica, Elissondo, Celina, Yannarella, Francisco, Denegri, Guillermo","Revista Brasileira de Parasitologia Veterinária; 22(1); 92-97","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100092&lang=pt" 
"S1984-29612013000100167-scl","First occurrence of Amblyomma ovale in the State of Rio Grande do Norte, Brazil","Ferreira, Caroline Gracielle Torres, Bezerra, Ana Carla Diógenes Suassuna, Carvalho, Otávio Valério de, Almeida, Márcia Rogéria de, Mafra, Claudio","Revista Brasileira de Parasitologia Veterinária; 22(1); 167-170","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100167&lang=pt" 
"S1984-29612013000100129-scl","Detection of genetic diversity of Anaplasma marginale isolates in Minas Gerais, Brazil","Pohl, Anna Elisabeth, Cabezas-Cruz, Alejandro, Ribeiro, Múcio Flávio Barbosa, Silveira, Júlia Angélica Gonçalves da, Silaghi, Cornelia, Pfister, Kurt, Passos, Lygia Maria Friche","Revista Brasileira de Parasitologia Veterinária; 22(1); 129-135","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100129&lang=pt" 
"S1984-29612013000100071-scl","Acaricides efficiency on Rhipicephalus(Boophilus) microplus from Bahia state North-Central region","Raynal, José Tadeu, Silva, Aretha Alves Borges da, Sousa, Thiago de Jesus, Bahiense, Thiago Campanharo, Meyer, Roberto, Portela, Ricardo Wagner","Revista Brasileira de Parasitologia Veterinária; 22(1); 71-77","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100071&lang=pt" 
"S1984-29612013000100034-scl","Parasites of four ornamental fish from the Chumucuí River (Bragança, Pará, Brazil)","Fujimoto, Rodrigo Yudi, Barros, Zaira Monik Nunes de, Marinho-Filho, Adjalbas Nunes, Diniz, Daniel Guerreiro, Eiras, Jorge Costa","Revista Brasileira de Parasitologia Veterinária; 22(1); 34-38","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100034&lang=pt" 
"S1984-29612013000100152-scl","New host records of Ixodes luciae(Acari: Ixodidae) in the State of Para, Brazil","Luz, Hermes Ribeiro, Faccini, João Luiz Horacio, Landulfo, Gabriel Alves, Sampaio, Janio dos Santos, Costa Neto, Sócrates Fraga, Famadas, Kátia Maria, Onofrio, Valeria Castilho, Barros-Battesti, Darci Moraes","Revista Brasileira de Parasitologia Veterinária; 22(1); 152-154","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100152&lang=pt" 
"S1984-29612013000100013-scl","Neospora caninum: evaluation of vertical transmission in slaughtered dairy cows (Bos taurus)","Macedo, César Augusto Barbosa de, Macedo, Madlaine Frigo Silveira Barbosa de, Cardim, Sergio Tosi, Paiva, Milaine Cristiane Dantas Custódio, Taroda, Alessandra, Barros, Luiz Daniel, Cunha, Ivo Alexandre Leme da, Zulpo, Dauton Luiz, Garcia, João Luis","Revista Brasileira de Parasitologia Veterinária; 22(1); 13-17","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100013&lang=pt" 
