"S1414-32832011000400014-spa","Formação do psicólogo para a saúde mental: a psicologia piauiense em análise","Macedo, João Paulo, Dimenstein, Magda","Interface - Comunicação, Saúde, Educação; 15(39); 1145-1158","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400014&lang=pt" 
"S0102-09352011000600012-scl","Bispectral index in dogs with high intracranial pressure, anesthetized with propofol and submitted to two levels of FiO2","Lopes, P.C.F., Nunes, N., Dias, L.G.G.G., Pereira Neto, G.B., Almeida, R.M., Souza, A.L.G., Belmonte, E.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1359-1367","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600012&lang=pt" 
"S0102-09352011000600014-scl","Tubulopapillary carcinoma of the mammary gland in a maned wolf (Chrysocyon brachyurus): histopathological and immunophenotypical analysis","Gamba, C.O., Damasceno, K.A., Ferreira, E., Malta, M.C.C., Cassali, G.D.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1377-1381","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600014&lang=pt" 
"S0102-09352011000600019-scl","Influence of diets on the rearing of predatory flies of housefly larvae","Simon, P.P., Krüger, R.F., Ribeiro, P.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1414-1420","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600019&lang=pt" 
"S0102-09352011000600023-scl","Suplementação de colina em dietas para frangos de corte machos na fase inicial de criação","Pompeu, M.A., Lara, L.J.C., Baião, N.C., Ecco, R., Cançado, S.V., Rocha, J.S.R., Machado, A.L.C., Vasconcelos, R.J.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1446-1452","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600023&lang=pt" 
"S0102-09352011000600025-scl","Balanço eletrolítico da dieta e desempenho de frangos em condições naturais de estresse calórico","Matos, M.B., Ferreira, R.A., Couto, H.P., Savaris, V.D.L., Soares, R.T.R.N., Oliveira, N.T.E.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1461-1469","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600025&lang=pt" 
"S0102-09352011000600028-scl","Degradabilidade in situ da cana-de-açúcar tratada ou não com óxido de cálcio, em novilhas leiteiras Holandês x Gir","Campos, M.M., Borges, A.L.C.C., Lopes, F.C.F., Pancoti, C.G., Silva, R. Reis e","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1487-1492","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600028&lang=pt" 
"S0102-09352011000600047-scl","Condenação de fígados bovinos na região sul do estado do Espírito Santo","Vieira, N.P., Faria, P.B., Mattos, M.R., Pereira, A.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1605-1608","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600047&lang=pt" 
"S0102-09352011000600032-scl","Desempenho e balanço de nitrogênio de suínos em terminação que receberam dieta restrita ou à vontade, com diferentes teores de lisina","Almeida, E.C., Zangeronimo, M.G., Fialho, E.T., Cantarelli, V.S., Wolp, R.C., Rodrigues, V.V.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1519-1525","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600032&lang=pt" 
"S0102-09352011000600046-scl","Diagnóstico da otite média em cães: comparação entre radiografia convencional, canalografia e audiometria de impedância","Leite, C.A.L., Guimarães, P.T.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1599-1604","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600046&lang=pt" 
"S0102-09352011000600045-scl","Anticorpos contra vírus do grupo da língua azul em caprinos e ovinos do sertão de Pernambuco e inferências sobre sua epidemiologia em regiões semiáridas","Mota, I.O., Castro, R.S., Alencar, S.P., Lobato, Z.I.P., Lima Filho, C.D.F., Silva, T.L. Araújo, Dutra, A.C.T., Nascimento, S.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1595-1598","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600045&lang=pt" 
"S0102-09352011000600044-scl","Adaptation and evaluation of polymerase chain reaction for Brucella ovis detection in semen, urine and organs of rams experimentally infected","Nozaki, C.N., Salgado, V.R., Lira, N.S.C., Augusto Filho, O., Dasso, M.G., Antunes, J.M.A.P., Megid, J.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1591-1594","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600044&lang=pt" 
"S0102-09352011000600043-scl","Avaliação clínica da infecção experimental de bezerros com Salmonella Typhimurium","Ávila, L.G., Silva, D.G., Sato, R.A., Fagliari, J.J.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1587-1590","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600043&lang=pt" 
"S0102-09352011000600042-scl","Ocorrência de neoplasias em cães e gatos da mesorregião metropolitana de Belém, PA entre 2005 e 2010","Priebe, A.P.S., Riet-Correa, G., Paredes, L.J.A., Costa, M.S.F., Silva, C.D.C., Almeida, M.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1583-1586","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600042&lang=pt" 
"S0102-09352011000600041-scl","Células mononucleares da medula óssea no tratamento da ruptura total dos tendões flexores e ligamento suspensor do boleto em equino","Yamada, A.L.M., Oliveira, P.G.G., Carvalho, A.M., Watanabe, M.J., Hussni, C.A., Alves, A.L.G.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1579-1582","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600041&lang=pt" 
"S0102-09352011000600040-scl","Helmintos oxiuridae parasitos de Iguana iguana (Squamata, Lacertilia, Iguanidae) procedentes do Brasil","Breves, P., Porto, M., Pissinatti, A., Luz, D., Menezes, R.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1574-1578","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600040&lang=pt" 
"S1808-86942011000600004-scl","Síndrome da apneia obstrutiva do sono e o potencial auditivo P300","Martins, Carlos Henrique, Castro Júnior, Ney de, Costa Filho, Orozimbo Alves, Souza Neto, Osmar Mesquita de","Brazilian Journal of Otorhinolaryngology; 77(6); 700-705","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600004&lang=pt" 
"S1808-86942011000600022-scl","Síndrome de Ramsay Hunt após otoplastia","Lima, Marco Antônio Rios, Negreiros Júnior, Jacinto de","Brazilian Journal of Otorhinolaryngology; 77(6); 808-808","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600022&lang=pt" 
"S1808-86942011000600021-scl","Carcinoma adenoide cístico mandibular","Santos, Thiago de Santana, Melo, Daniela Guimarães de, Gomes, Ana Cláudia Amorim, Andrade, Emanuel Sávio de Souza, Silva, Emanuel Dias de Oliveira e","Brazilian Journal of Otorhinolaryngology; 77(6); 807-807","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600021&lang=pt" 
"S1808-86942011000600018-scl","Vertigem posicional paroxística benigna sem nistagmo: diagnóstico e tratamento","Alvarenga, Gabriella Assumpção, Barbosa, Maria Alves, Porto, Celmo Celeno","Brazilian Journal of Otorhinolaryngology; 77(6); 799-804","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600018&lang=pt" 
"S1808-86942011000600020-scl","Pneumoparotidite","Zuchi, Diego Ferrasso, Silveira, Paola Conrad da, Cardoso, Cristiano de Oliveira, Almeida, Wilson Madeira de, Feldman, Carlos Jader","Brazilian Journal of Otorhinolaryngology; 77(6); 806-806","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600020&lang=pt" 
"S1808-86942011000600019-scl","Fasceíte necrosante cérvico-torácica facial odontogênica","Medeiros Júnior, Rui, Melo, Auremir da Rocha, Oliveira, Hugo Franklin Lima de, Cardoso, Silvana Maria Orestes, Lago, Carlos Augusto Pereira do","Brazilian Journal of Otorhinolaryngology; 77(6); 805-805","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600019&lang=pt" 
"S0102-09352011000600001-scl","Desenvolvimento reprodutivo de tourinhos Gir selecionados para produção de leite","Martins, J.A.M., Souza, F.A., Ferreira, M.B.D., Gonçalves, P.E.M., Emerick, L.L., Dias, J.C., Leite, T.G., Graça, D.S., Andrade, V.J., Vale Filho, V.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1277-1286","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600001&lang=pt" 
"S0102-09352011000600002-scl","Efeito da porção do ejaculado e do método de resfriamento sobre as características físicas do sêmen suíno","Alkmin, D.V., Silva Filho, J.M., Palhares, M.S., Siqueira, A.P., Machado, G.S., Silva, C.L.A., Tarantini, T.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1287-1294","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600002&lang=pt" 
"S0102-09352011000600003-scl","Avaliação de espermatozoides caprinos congelados em meio à base de água de coco em pó (ACP-101®) ou TRIS","Oliveira, R.V., Nunes, J.F., Salgueiro, C.C.M., Cavalcante, J.M.M., Brasil, O.O., Moura, A.A.A.N.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1295-1302","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600003&lang=pt" 
"S0102-09352011000600005-scl","Interferência da condição climática na integridade de espermatozoides ovinos submetidos à criopreservação","Silva, S.V., Soares, A.T., Batista, A.M., Almeida, F.C., Guerra, M.M.P.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1309-1314","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600005&lang=pt" 
"S0102-09352011000600008-scl","Dosagem sérica de troponina I em cães com desnível do segmento ST utilizando quimioluminescência","Santos, A.L.F., Larsson, M.H.M.A., Pereira, G.G., Santos, M.M., Gutierrez, V.C.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1330-1336","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600008&lang=pt" 
"S0102-09352011000600009-scl","Ophthalmic and anesthetic evaluation of topical 1% tetracaine and 0.5% proparacaine in dogs","Parchen, H.D., Izar, M.L., Branco, P.S., Lacowicz, C., Sano, D.H., Belo, C.E.P., Vilani, R.G.D&#039;O.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1337-1344","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600009&lang=pt" 
"S0102-09352011000600010-scl","Cell proliferation markers in the transplanted canine transmissible venereal tumor","Santos, F.G.A., Moro, L., Cassali, G.D., Paixão, T.A., Campos, P.P., Silva, S.S., Vasconcelos, A.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1345-1352","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600010&lang=pt" 
"S0102-09352011000600013-scl","Óxido nítrico, GSTP-1 e p53: qual o papel desses biomarcadores nas lesões prostáticas do cão?","Croce, G.B., Rodrigues, M.M.P., Faleiro, M.B.R., Moura, V.M.B.D., Amorim, R. Laufer","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1368-1376","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600013&lang=pt" 
"S0102-09352011000600015-scl","Perfis clínico e hematológico de camundongos submetidos ao envenenamento escorpiônico experimental por Tityus fasciolatus","Guimarães, P.T.C., Pinto, M.C.L., Melo, M.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1382-1390","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600015&lang=pt" 
"S0102-09352011000600016-scl","Uso de células mononucleares da medula óssea no tratamento de tendinites induzidas experimentalmente em equinos","Oliveira, P.G.G., Alves, A.L.G., Carvalho, A.M., Hussni, C.A., Watanabe, M.J., Amorim, R.L., Rodrigues, M.M.P., Mota, L.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1391-1398","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600016&lang=pt" 
"S0102-09352011000600017-scl","EcoDopplercardiografia em coelhos: uso de midazolam e midazolam associado à cetamina","Silva, E.F., Borboleta, L.R., Telles, T.C., Fonseca, V.B., Melo, M.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1399-1404","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600017&lang=pt" 
"S0102-09352011000600018-scl","PCR Multiplex para detecção dos principais herpesvírus neurológicos de ruminantes","Fonseca Jr., A.A., Costa, E.A., Oliveira, T.S., Sales, E.B., Sales, M.L., Leite, R.C., Heneimann, M. B., Reis, J.K.P.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1405-1413","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600018&lang=pt" 
"S0102-09352011000600021-scl","Milho inteiro e moído em diferentes sistemas de alimentação para poedeiras semipesadas","Gewehr, C.E., Oliveira, V., Costenaro, J., Pagno, G., Rosniecek, M., Farias, D.K.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1429-1436","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600021&lang=pt" 
"S0102-09352011000600022-scl","Efeito da temperatura ambiente e da idade do frango sobre o valor energético do farelo de soja","Carvalho, F.B., Sartori, J.R., Stringhini, J. H., Fascina, V.B., Pereira, L.A., Pelícia, V.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1437-1445","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600022&lang=pt" 
"S0102-09352011000600024-scl","Suplementação da dieta de codornas com minerais nas formas orgânicas sobre o desempenho e a qualidade dos ovos","Gravena, R.A., Marques, R.H., Picarelli, J., Silva, J.D.T., Roccon, J., Hada, F.H., Queiroz, S.A., Moraes, V.M. B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1453-1460","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600024&lang=pt" 
"S0102-09352011000600026-scl","Consumo e digestibilidade aparente de silagens de sorgo em diferentes estádios de maturação","Machado, F.S., Rodríguez, N.M., Gonçalves, L.C., Rodrigues, J.A.S., Ribas, M.N., Pôssas, F.P., Guimarães Júnior, R., Jayme, D.G., Pereira, L.G.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1470-1478","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600026&lang=pt" 
"S0102-09352011000600027-scl","Ácidos graxos voláteis no rúmen de vacas alimentadas com diferentes teores de concentrado na dieta","Goularte, S.R., Ítavo, L.C.V., Santos, G.T., Ítavo, C.C.B.F., Oliveira, L.C.S., Favaro, S.P., Dias, A.M., Torres Junior, R.A.A., Bittar, C.M.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1479-1486","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600027&lang=pt" 
"S0102-09352011000600030-scl","Consumo e desempenho produtivo de ovinos alimentados com dietas que continham coprodutos do desfibramento do sisal","Santos, R.D., Pereira, L.G.R., Neves, A.L.A., Brandão, L.G.N., Araújo, G.G.L., Aragão, A.S.L., Brandão, W.N., Souza, R.A., Oliveira, G.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1502-1510","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600030&lang=pt" 
"S0102-09352011000600031-scl","Biodisponibilidade do P e digestibilidade aparente do N em dietas de suínos suplementadas com níveis crescentes de fitase, balanceadas de acordo com o conceito de proteína ideal","Moreira, J.A., Berenchtein, B., Vitti, D.M.S.S., Patino, R. M., Silva, T. S., Santos, T.T., Lopes, J.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1511-1518","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600031&lang=pt" 
"S0102-09352011000600033-scl","Níveis de carnitina na ração no desempenho corporal de tricogáster léri (Trichogaster leeri bleeker, 1852)","Tonini, W.C.T., Mendonça, P.P., Polese, M.F., Abreu, M.L.C., Matos, D.C., Vidal Jr., M.V., Andrade, D.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1526-1532","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600033&lang=pt" 
"S0102-09352011000600034-scl","Fontes de fibra na alimentação do pacu: desempenho, composição corporal e morfometria intestinal","Fabregat, T.E.H.P., Rodrigues, L.A., Nascimento, T.M. Torres do, Urbinati, E.C., Sakomura, N.K., Fernandes, J.B.K.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1533-1540","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600034&lang=pt" 
"S0102-09352011000600035-scl","Ocorrência de Aeromonas sp. e microrganismos psicrotróficos e estimativa do prazo de validade comercial de filé de pintado (Pseudoplatystoma coruscans) mantidos sob refrigeração","Lanzarin, M., Almeida Filho, E.S., Ritter, D.O., Mello, C.A., Corrêa, G.S.S., Ignácio, C.M.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1541-1546","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600035&lang=pt" 
"S0102-09352011000600036-scl","Detecção dos genes de Staphylococcus aureus, enterotoxinas e de resistência à meticilina em leite","Dias, N.L., Silva, D.C.B., Oliveira, D.C.B.S., Fonseca Junior, A.A., Sales, M.L., Silva, N.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1547-1552","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600036&lang=pt" 
"S0102-09352011000600037-scl","Detection of cheese whey in raw milk preserved with bronopol® through high performance liquid chromatography","Lasmar, M.M., Leite, M.O., Fonseca, L.M., Souza, M.R., Cerqueira, M.M.O.P., Penna, C.F.A.M., Couto, C.N.B., Ferreira, J.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1553-1558","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600037&lang=pt" 
"S0102-09352011000600038-scl","Utilização de Lactobacillus acidophilus e de acidificação direta na fabricação de queijo de minas frescal","Alves, C.C.C., Gemal, N.D.H., Cortez, M.A.S., Franco, R.M., Mano, S.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1559-1566","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600038&lang=pt" 
"S0102-09352011000600039-scl","Queijo de minas artesanal da Serra da Canastra: influência da altitude das queijarias nas populações de bactérias acidolácticas","Resende, M.F.S., Costa, H.H.S., Andrade, E.H.P., Acúrcio, L.B., Drummond, A.F., Cunha, A.F., Nunes, A.C., Moreira, J.L.S., Penna, C.F.A.M., Souza, M.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 63(6); 1567-1573","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352011000600039&lang=pt" 
"S1808-86942011000600001-scl","O papel das medicações tópicas no tratamento da rinossinusite crônica","Suh, Jeffrey D., Ramakrishnan, Vijay, Chiu, Alexander G.","Brazilian Journal of Otorhinolaryngology; 77(6); 680-681","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600001&lang=pt" 
"S1808-86942011000600002-scl","P300 com estímulo verbal e não verbal em adultos normo-ouvintes","Massa, Camila Gonçalves Polo, Rabelo, Camila Maia, Matas, Carla Gentile, Schochat, Eliane, Samelli, Alessandra Giannella","Brazilian Journal of Otorhinolaryngology; 77(6); 686-690","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600002&lang=pt" 
"S1808-86942011000600003-scl","Tontura em idosos da comunidade: estudo de base populacional","Moraes, Suzana Albuquerque de, Soares, Wuber Jefferson de Souza, Rodrigues, Rosilene Andrade Silva, Fett, Waléria Christiane Rezende, Ferriolli, Eduardo, Perracini, Monica Rodrigues","Brazilian Journal of Otorhinolaryngology; 77(6); 691-699","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600003&lang=pt" 
"S1808-86942011000600005-scl","Potencial evocado miogênico vestibular a baixas frequências de estimulação","Oliveira, Aline Cabral de, Colafêmina, José Fernando, Menezes, Pedro de Lemos","Brazilian Journal of Otorhinolaryngology; 77(6); 706-710","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600005&lang=pt" 
"S1808-86942011000600006-scl","Laringoplastia com balão em crianças com estenose subglótica em evolução: experiência de um hospital terciário","Schweiger, Claudia, Smith, Mariana Magnus, Kuhl, Gabriel, Manica, Denise, Marostica, Paulo José Cauduro","Brazilian Journal of Otorhinolaryngology; 77(6); 711-715","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600006&lang=pt" 
"S1808-86942011000600008-scl","Estapedotomia totalmente endoscópica: técnica e resultados preliminares","Nogueira Júnior, João Flávio, Martins, Marcos Jullian Barreto, Aguiar, Carolina Veras, Pinheiro, Antônio Israel","Brazilian Journal of Otorhinolaryngology; 77(6); 721-727","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600008&lang=pt" 
"S1808-86942011000600011-scl","Efeitos do ruído de impacto na audição de militares","Heupa, Adriana Betes, Gonçalves, Claudia Giglio de Oliveira, Coifman, Herton","Brazilian Journal of Otorhinolaryngology; 77(6); 747-753","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600011&lang=pt" 
"S1808-86942011000600012-scl","Correlação entre os limiares das curvas de crescimento das EOAPD e tons puros","Campos, Ualace de Paula, Carvallo, Renata Mota Mamede","Brazilian Journal of Otorhinolaryngology; 77(6); 754-760","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600012&lang=pt" 
"S1808-86942011000600013-scl","Voz e posição de prega vocal em homens com paralisia unilateral de prega vocal","Schwarz, Karine, Cielo, Carla Aparecida, Steffen, Nédio, Jotz, Geraldo Pereira, Becker, Jéferson","Brazilian Journal of Otorhinolaryngology; 77(6); 761-767","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600013&lang=pt" 
"S1808-86942011000600014-scl","Achados audiológicos e eletrofisiológicos de indivíduos com a síndrome G/BBB","Cassab, Tatiana Vialôgo, Zanchetta, Sthella, Giacheti, Célia Maria, Zorzetto, Neivo Luiz, Richieri-Costa, Antonio","Brazilian Journal of Otorhinolaryngology; 77(6); 768-774","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600014&lang=pt" 
"S1808-86942011000600015-scl","Triagem auditiva neonatal: ocorrência de falhas, perdas auditivas e indicadores de riscos","Onoda, Raquel Mari, Azevedo, Marisa Frasson de, Santos, Amélia Miyashiro Nunes dos","Brazilian Journal of Otorhinolaryngology; 77(6); 775-783","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600015&lang=pt" 
