"S0188-49992016000100035-mex","Análisis costo-beneficio de la calefacción distrital en la zona central de Chile","Carrasco Vidal, Rudy, Jiménez del Río, Jorge, Mardones Poblete, Cristian","Revista internacional de contaminación ambiental; 32(1); 35-45","Revista internacional de contaminación ambiental","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992016000100035&lang=pt" 
"S1981-67232016000100426-scl","Teor de óleo e composição de ácidos graxos em sementes de diferentes genótipos de algodoeiro","Gondim-Tomaz, Rose Marry Araújo, Erismann, Norma de Magalhães, Cia, Edivaldo, Kondo, Julio Isao, Fuzatto, Milton Geraldo, Carvalho, Cassia Regina Limonta","Brazilian Journal of Food Technology; 19(); -","Brazilian Journal of Food Technology","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232016000100426&lang=pt" 
"S0103-49792016000600027-scl","MOVIMIENTOS SOCIALES, GOBIERNOS PROGRESISTAS Y ESTADO EN AMÉRICA LATINA: transiciones, conflictos y mediaciones","Bringel, Breno, Falero, Alfredo","Caderno CRH; 29(spe3); 27-45","Caderno CRH","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000600027&lang=pt" 
"S0103-49792016000600171-scl","AMAR E SERVIR NO SUL DA AMÉRICA: origem e articulação dos centros sociais jesuítas","Costa, Iraneidson Santos","Caderno CRH; 29(spe3); 171-186","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000600171&lang=pt" 
"S0103-49792016000600009-scl","AMÉRICA DO SUL: reflexões contemporâneas sobre cooperação, democracia e desenvolvimento","Vitale, Denise","Caderno CRH; 29(spe3); 9-12","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000600009&lang=pt" 
"S0103-49792016000600135-scl","BRASIL E MERCOSUL: rumos da integração na lógica do neodesenvolvimentismo (2003-2014)","Klemi, Albene Miriam Menezes, Menezes, Roberto Goulart","Caderno CRH; 29(spe3); 135-150","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000600135&lang=pt" 
"S0103-49792016000600047-scl","AS ORGANIZAÇÕES REGIONAIS E A PROMOÇÃO E PROTEÇÃO DA DEMOCRACIA: reflexões a partir das práticas de intervenção democrática na América do Sul","Hoffmann, Andrea Ribeiro","Caderno CRH; 29(spe3); 47-57","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000600047&lang=pt" 
"S1983-14472016000300417-scl","Repercussões sociais vivenciadas pela pessoa idosa com úlcera venosa","Aguiar, Aline Cristiane de Sousa Azevedo, Sadigursky, Dora, Martins, Lucas Amaral, Menezes, Tânia Maria de Oliva, Santos, Alana Libânia de Souza, Reis, Luana Araújo dos","Revista Gaúcha de Enfermagem; 37(3); -","Revista Gaúcha de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472016000300417&lang=pt" 
"S1806-83242016000100308-scl","Efficacy of two soft-bristle toothbrushes in plaque removal: a randomized controlled trial","ROSING, Cassiano Kuchenbecker, CAVAGNI, Juliano, GAIO, Eduardo José, MUNIZ, Francisco Wilker Mustafa Gomes, OBALLE, Harry Juan Rivera, RANZAN, Nicolle, FRIEDRICH, Stephanie Anagnostopoulos, SEVERO, Raísa Maldonado, GITTINS, Elizabeth, STEWART, Bernal, ZHANG, Yun Po","Brazilian Oral Research; 30(1); -","Brazilian Oral Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242016000100308&lang=pt" 
"S1981-67232016000100425-scl","Efeito da adição de açúcar e do processo de envelhecimento na qualidade sensorial de amostras de cachaça obtidas tradicionalmente e por redestilação","Santos, Vitor Rocha dos, Faria, João Bosco","Brazilian Journal of Food Technology; 19(); -","Brazilian Journal of Food Technology","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232016000100425&lang=pt" 
"S0103-49792016000600093-scl","MUJERES PRIVADAS DE LIBERTAD: ¿es posible su reinserción social?","Espinoza, Olga","Caderno CRH; 29(spe3); 93-106","Caderno CRH","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000600093&lang=pt" 
"S0034-73292016000200206-scl","Encountering the Pluriverse: Looking for Alternatives in Other Worlds","Querejazu, Amaya","Revista Brasileira de Política Internacional; 59(2); -","Revista Brasileira de Política Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292016000200206&lang=pt" 
"S0301-732X2016000200009-chl","Factores asociados con la frecuencia de cerdos no ambulatorios durante el transporte","Romero, MH, Sánchez, JA, Hoyos, R","Archivos de medicina veterinaria; 48(2); 191-198","Archivos de medicina veterinaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2016000200009&lang=pt" 
"S0301-732X2016000200015-chl","Evaluación de los efectos cardiorrespiratorios del butorfanol adjunto a un protocolo de anestesia total intravenosa en cabras sometidas a laparoscopia","Cordeiro, MF, Uscategui, RAR, Oliveira, MEF, Dias, DPM, Di Filippo, PA, Restan, WAS, Valadão, CAA, Coelho, LA, Vicente, WRR","Archivos de medicina veterinaria; 48(2); 237-242","Archivos de medicina veterinaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2016000200015&lang=pt" 
"S0301-732X2016000200017-chl","Flea and ticks species from dogs in urban and rural areas in four districts in Chile","Abarca, K, Gárate, D, López, J, Acosta-Jamett, G","Archivos de medicina veterinaria; 48(2); 247-253","Archivos de medicina veterinaria","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2016000200017&lang=pt" 
"S0301-732X2016000200004-chl","Magnitud y variación de la mastitis clínica y sus costos asociados en rodeos lecheros de Argentina","Richardet, M, Castro, S, Tirante, L, Vissio, C, Larriestra, AJ","Archivos de medicina veterinaria; 48(2); 153-158","Archivos de medicina veterinaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2016000200004&lang=pt" 
"S0301-732X2016000200006-chl","Cambios morfométricos en el nervio oculomotor del perro durante el desarrollo posnatal","Vivo, J, Miró, F, Galisteo, AM, Agüera, E, Plaza, C, Díz, A","Archivos de medicina veterinaria; 48(2); 167-174","Archivos de medicina veterinaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2016000200006&lang=pt" 
"S0301-732X2016000200010-chl","Effect of the infection with Eimeria acervulina, E. maxima and E. tenella on pigment absorption and skin deposition in broiler chickens","Frade-Negrete, N J, Hernández-Velasco, X, Fuente-Martínez, B, Quiroz-Pesina, M, Ávila-González, E, Tellez, G","Archivos de medicina veterinaria; 48(2); 199-207","Archivos de medicina veterinaria","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2016000200010&lang=pt" 
"S0301-732X2016000200005-chl","Efecto del reemplazo de pasta soya por harina de pescado elaborada manualmente sobre comportamiento productivo de ovejas Pelibuey lactando y sus crías","Valdés-García, YS, Núñez-González, LE, Escalera-Valente, F, Plascencia-Jorquera, A, Barreras-Serrano, A, Corona-Gochi, L, Gómez-Danés, AA, Loya-Olguin, JL","Archivos de medicina veterinaria; 48(2); 159-166","Archivos de medicina veterinaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2016000200005&lang=pt" 
"S0301-732X2016000200003-chl","Immune-serological identification of infectious agents with influence on bovine embryo transfer in the north of Brazil","Diniz, JV, Ochoa, JC, Montoya, LM, Satrapa, R, Okuda, LH, Pituco, EM, Marcelino, RR, Oba, E","Archivos de medicina veterinaria; 48(2); 145-152","Archivos de medicina veterinaria","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2016000200003&lang=pt" 
"S2311-25812016000100002-bol","Evaluación de características microscópicas de semen de llama (Lama glama) crioconservados en dos dilutores","Laruta-Limachi, Felicidad, Loza-Murguia, Manuel Gregorio, Delgado-Callisaya, Pedro Ángel","Journal of the Selva Andina Animal Science; 3(1); 8-21","Journal of the Selva Andina Animal Science","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2311-25812016000100002&lang=pt" 
"S2311-25812016000100004-bol","Evaluación de la calidad de la leche cruda bovina (Bos taurus) en la Comunidad Mazo Cruz del Departamento de La Paz-Bolivia","Delgado-Callisaya, Pedro Angel, Parisaca, V., Quispe, I., Delgado, E. Jh., Aduviri, M.","Journal of the Selva Andina Animal Science; 3(1); 43-48","Journal of the Selva Andina Animal Science","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2311-25812016000100004&lang=pt" 
"S2311-25812016000100001-bol","El Instituto Investigación en Ciencia Animal y Tecnologia impulsa la Publicación en la Educación Superior","","Journal of the Selva Andina Animal Science; 3(1); 1-1","Journal of the Selva Andina Animal Science","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2311-25812016000100001&lang=pt" 
"S2311-25812016000100005-bol","Composición de la ingesta seleccionada por Llamas (Lama glama, Linnaeus 1758) de la Provincia José Manuel Pando, Municipio Santiago De Machaca","","Journal of the Selva Andina Animal Science; 3(1); 49-56","Journal of the Selva Andina Animal Science","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2311-25812016000100005&lang=pt" 
"S2311-25812016000100003-bol","Caracterización del aparato reproductor de llamas (Lama glama, Linnaeus 1758) machos en Turco Provincia Sajama Departamento de Oruro","Mayta-Carrillo, Cleto, Loza-Murguia, Manuel Gregorio, Delgado-Callisaya, Pedro Ángel","Journal of the Selva Andina Animal Science; 3(1); 22-42","Journal of the Selva Andina Animal Science","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2311-25812016000100003&lang=pt" 
"S2308-38592016000100002-bol","Vegetación de origen como parámetro de caracterización microbiana de los propóleos","Sosa-López, Ángela Antonia, Cabrera, Maria Graciela, Álvarez, Mayra Yanet","Journal of the Selva Andina Biosphere; 4(1); 3-23","Journal of the Selva Andina Biosphere","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2308-38592016000100002&lang=pt" 
"S0001-37652016000501967-scl","Phaeosphaeria deschampsii (Ascomycota): A new parasite species of Deschampsia antarctica (Poaceae) described to Antarctica","PUTZKE, JAIR, PEREIRA, ANTONIO B.","Anais da Academia Brasileira de Ciências; 88(3); 1967-1969","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501967&lang=pt" 
"S0102-311X2016001300512-scl","Homenagem a Frederico Simões Barbosa","Morais, Heloisa Maria Mendonça de","Cadernos de Saúde Pública; 32(); -","Cadernos de Saúde Pública","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2016001300512&lang=pt" 
"S2308-38592016000100004-bol","Compatibilidad y tiempo de sobrevivencia de cuatro microorganismos benéficos de uso agrícola en biol","Villacís-Aldaz, Luis, Chungata, Luis, Pomboza, Pablo, León, Olguer","Journal of the Selva Andina Biosphere; 4(1); 39-45","Journal of the Selva Andina Biosphere","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2308-38592016000100004&lang=pt" 
"S2308-38592016000100003-bol","Modelos de aprovechamiento sostenible del Aliso (Alnus Acuminata Kunth) en zona de ladera de bosque de niebla","Pacheco-Agudo, Edilberto, Quisbert-Guarachi, Alicia Sonia","Journal of the Selva Andina Biosphere; 4(1); 24-38","Journal of the Selva Andina Biosphere","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2308-38592016000100003&lang=pt" 
"S0001-37652016000501799-scl","Sloths of the Atlantic Forest in the sixteenth and seventeenth centuries","MOREIRA, DANIELLE O., MENDES, SÉRGIO L.","Anais da Academia Brasileira de Ciências; 88(3); 1799-1808","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501799&lang=pt" 
"S2359-39972016005006106-scl","Does insulin resistance increase thyroid volume in patients with polycystic ovary syndrome?","Sahin, Murat, Demircioglu, Didem, Oguz, Ayten, Tuzun, Dilek, Sarica, Mehmet Akif, Inanc, Elif, Gul, Kamile","Archives of Endocrinology and Metabolism; (ahead); -","Archives of Endocrinology and Metabolism","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972016005006106&lang=pt" 
"S0001-37652016000501941-scl","Correlation between infection rate of triatominies and Chagas Disease in Southwest of Bahia, Brazil: a warning sign?","SILVEIRA, ELIEZER A. DA, RIBEIRO, ISRAEL S., AMORIM, MIGUEL S., ROCHA, DALVA V., COUTINHO, HELDER S., FREITAS, LEANDRO M. DE, TOMAZI, LAIZE, SILVA, ROBSON A.A. DA","Anais da Academia Brasileira de Ciências; 88(3); 1941-1951","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501941&lang=pt" 
"S0001-37652016000501689-scl","Synergistic activity of doped zinc oxide nanoparticles with antibiotics: ciprofloxacin, ampicillin, fluconazole and amphotericin B against pathogenic microorganisms","SHARMA, NEHA, JANDAIK, SAVITA, KUMAR, SANJEEV","Anais da Academia Brasileira de Ciências; 88(3); 1689-1698","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501689&lang=pt" 
"S0001-37652016000501993-scl","Acute Toxicity and Cytotoxicity Effect of Ethanolic Extract of Spondias tuberosa Arruda Bark: Hematological, Biochemical and Histopathological Evaluation","BARBOSA, HUMBERTO M., NASCIMENTO, JAILSON N. DO, ARAÚJO, THIAGO A.S., DUARTE, FILIPE S., ALBUQUERQUE, ULYSSES P., VIEIRA, JEYMESSON R.C., SANTANA, EDSON R.B. DE, YARA, RICARDO, LIMA, CLÁUDIA S.A., GOMES, DAYANE A., LIRA, EDUARDO C.","Anais da Academia Brasileira de Ciências; 88(3); 1993-2004","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501993&lang=pt" 
"S0001-37652016000501863-scl","Recognition memory and DNA damage in undernourished young rats","MOLZ, PATRÍCIA, ELLWANGER, JOEL H., ZENKNER, FERNANDA F., CAMPOS, DEIVIS DE, PRÁ, DANIEL, PUTZKE, MARISA T.L., FRANKE, SILVIA I.R.","Anais da Academia Brasileira de Ciências; 88(3); 1863-1873","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501863&lang=pt" 
"S0001-37652016000501819-scl","The gastroprotective effect of Memora nodosa roots against experimental gastric ulcer in mice","SILVA, DAYANE M., MARTINS, JOSÉ L.R., FLORENTINO, IZIARA F., OLIVEIRA, DANILLO R., FAJEMIROYE, JAMES O., TRESNVENZOL, LEONICE M.F., PAULA, JOSÉ R., COSTA, ELSON A.","Anais da Academia Brasileira de Ciências; 88(3); 1819-1828","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501819&lang=pt" 
"S2359-39972016005006104-scl","Ultrasonographic assessment of thyroid volume in oldest-old individuals","Duarte, Glaucia Cruzes, Araujo, Lara Miguel Quirino, Magalhães Filho, Felix, Almada Filho, Clineu Mello, Cendoroglo, Maysa Seabra","Archives of Endocrinology and Metabolism; (ahead); -","Archives of Endocrinology and Metabolism","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972016005006104&lang=pt" 
"S2359-39972016005006109-scl","Applicability of predictive equations for resting energy expenditure in obese patients with obstructive sleep apnea","del Re, Mariana Pantaleão, Melo, Camila Maria de, Santos, Marcus Vinicius dos, Tufik, Sergio, Mello, Marco Túlio de","Archives of Endocrinology and Metabolism; (ahead); -","Archives of Endocrinology and Metabolism","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972016005006109&lang=pt" 
"S0001-37652016000501899-scl","Seasonal variation of the essential oil from two Brazilian native  Aldama La Llave (Asteraceae) species","OLIVEIRA, TUANE S. DE, BOMBO, ALINE B., OLIVEIRA, ADRIANA S.S. DE, GARCIA, VERA L., APPEZZATO-DA-GLÓRIA, BEATRIZ","Anais da Academia Brasileira de Ciências; 88(3); 1899-1907","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501899&lang=pt" 
"S0001-37652016000501625-scl","Description of the last instar larva and new contributions to the knowledge of the pupa of Dasyhelea mediomunda Minaya (Diptera, Culicomorpha, Ceratopogonidae)","DÍAZ, FLORENTINA, ANJOS-SANTOS, DANIELLE, FUNES, AMPARO, RONDEROS, MARÍA M.","Anais da Academia Brasileira de Ciências; 88(3); 1625-1633","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501625&lang=pt" 
"S0001-37652016000501809-scl","Miconia gigantea, a long-forgotten endemic and endangered species of Melastomataceae in the Brazilian Atlantic Forest","ROSA, LILIAN P.G. DA, BAUMGRATZ, JOSÉ F.A., SILVA NETO, SEBASTIÃO J. DA","Anais da Academia Brasileira de Ciências; 88(3); 1809-1818","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501809&lang=pt" 
"S0001-37652016000502005-scl","Inhibition of proteases and phospholipases A2 from Bothrops atrox and Crotalus durissus terrificus snake venoms by ascorbic acid, vitamin E, and B-complex vitamins","OLIVEIRA, CARLOS H.M., SIMÃO, ANDERSON A., TRENTO, MARCUS V.C., CÉSAR, PEDRO H.S., MARCUSSI, SILVANA","Anais da Academia Brasileira de Ciências; 88(3); 2005-2016","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000502005&lang=pt" 
"S0001-37652016000501841-scl","In vitro germination of zygotic embryos of hybrid BRS Manicoré (E. guineensis X E. oleifera)","BONETTI, KEILA A.P., QUOIRIN, MARGUERITE, QUISEN, REGINA C., LIMA, SUELEN C.S.","Anais da Academia Brasileira de Ciências; 88(3); 1841-1850","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501841&lang=pt" 
"S0001-37652016000501791-scl","Floristic characteristics of alien invasive seed plant species in China","WANG, CONGYAN, LIU, JUN, XIAO, HONGGUANG, ZHOU, JIAWEI, DU, DAOLIN","Anais da Academia Brasileira de Ciências; 88(3); 1791-1797","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501791&lang=pt" 
"S0001-37652016000501727-scl","rDNA mapping, heterochromatin characterization and AT/GC content of Agapanthus africanus (L.) Hoffmanns (Agapanthaceae)","REIS, ARYANE C., FRANCO, ANA LUIZA, CAMPOS, VICTÓRIA R., SOUZA, FLÁVIA R., ZORZATTO, CRISTIANE, VICCINI, LYDERSON F., SOUSA, SAULO M.","Anais da Academia Brasileira de Ciências; 88(3); 1727-1734","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501727&lang=pt" 
"S0001-37652016000501603-scl","Biological variables of Hypostomus francisci (Siluriformes: Loricariidae) from Itapecerica River, Minas Gerais State, Brazil","SALES, CAMILA F., DOMINGOS, FABRÍCIO FLÁVIO T., BRIGHENTI, LUDMILA S., RIBEIRO, ROSY I.M.A., SANTOS, HÉLIO B., THOMÉ, RALPH G.","Anais da Academia Brasileira de Ciências; 88(3); 1603-1614","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501603&lang=pt" 
"S2359-39972016005006103-scl","Correlation between parameters of self-monitoring of blood glucose and the perception of health-related quality of life in patients with type 1 diabetes mellitus","Paula, Juliana Santos, Braga, Letícia Dinis, Moreira, Rodrigo Oliveira, Kupfer, Rosane","Archives of Endocrinology and Metabolism; (ahead); -","Archives of Endocrinology and Metabolism","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972016005006103&lang=pt" 
"S0001-37652016000501851-scl","Inhibitory effects of Zanthoxylum rhoifolium Lam. (Rutaceae) against the infection and infectivity of macrophages by Leishmania amazonensis","MELO NETO, BERNARDO, LEITÃO, JOSEANA M.S.R., OLIVEIRA, LUCIANO G.C., SANTOS, SÉRGIO E.M., CARNEIRO, SABRINA M.P., RODRIGUES, KLINGER A.F., CHAVES, MARIANA H., ARCANJO, DANIEL D.R., CARVALHO, FERNANDO A.A.","Anais da Academia Brasileira de Ciências; 88(3); 1851-1861","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501851&lang=pt" 
"S0001-37652016000502017-scl","New  Agromyza Fallén (Diptera, Agromyzidae) from Brazil and a key for the Neotropical species","SOUSA, VIVIANE R. DE, COURI, MÁRCIA S.","Anais da Academia Brasileira de Ciências; 88(3); 2017-2028","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000502017&lang=pt" 
"S0001-37652016000501601-scl","Potential Therapeutical Compounds and Scientific Performance of Brazilian Researchers","SCHUCK, PATRÍCIA F.","Anais da Academia Brasileira de Ciências; 88(3); 1601-1602","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501601&lang=pt" 
"S0001-37652016000501735-scl","Scientific Performance of Brazilian Researchers in Pharmacology with grants from CNPq: A comparative study within the Brazilian categories","KAMDEM, JEAN P., ABOLAJI, AMOS O., ROOS, DANIEL H., CALABRÓ, LUCIANA, BARBOSA, NILDA V., SOUZA, DIOGO O., ROCHA, JOÃO BATISTA T.","Anais da Academia Brasileira de Ciências; 88(3); 1735-1742","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501735&lang=pt" 
"S2359-39972016005006110-scl","Orange juice with a high-fat meal prolongs postprandial lipemia in apparently healthy overweight/obese women","Coelho, Raquel Cristina L. A., Hermsdorff, Helen Hermana M., Gomide, Renata S., Alves, Raquel Duarte M., Bressan, Josefina","Archives of Endocrinology and Metabolism; (ahead); -","Archives of Endocrinology and Metabolism","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972016005006110&lang=pt" 
"S0001-37652016000501875-scl","A simplified table for staging embryos of the pipid frog  Pipa arrabali","ARAÚJO, OLÍVIA G.S., HADDAD, CÉLIO F.B., SILVA, HÉLIO R. DA, PUGENER, LOURDES A.","Anais da Academia Brasileira de Ciências; 88(3); 1875-1887","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000501875&lang=pt" 
"S0718-07642016000600001-chl","Tercer Congreso CADI&#039;2016 (Resistencia, Argentina)","","Información tecnológica; 27(6); 01-02","Información tecnológica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642016000600001&lang=pt" 
"S2317-64312016000100101-scl","Editorial","Schochat, Eliane, Almeida, Kátia de","Audiology - Communication Research; 21(); -","Audiology - Communication Research","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312016000100101&lang=pt" 
"S0102-69092016000200704-scl","A PRESENÇA DE CLAUDE LÉVI-STRAUSS","Silva, Daniel Afonso","Revista Brasileira de Ciências Sociais; 31(91); -","Revista Brasileira de Ciências Sociais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092016000200704&lang=pt" 
"S0102-69092016000200702-scl","IMPROVISAÇÕES ORQUESTRADAS","Brasil Jr, Antonio","Revista Brasileira de Ciências Sociais; 31(91); -","Revista Brasileira de Ciências Sociais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092016000200702&lang=pt" 
"S2225-20102016000100014-sza","Implementation of the World Health Organization Regional Office for Africa Stepwise Laboratory Quality Improvement Process Towards Accreditation","Ndihokubwayo, Jean-Bosco, Maruta, Talkmore, Ndlovu, Nqobile, Moyo, Sikhulile, Yahaya, Ali Ahmed, Coulibaly, Sheick Oumar, Kasolo, Francis, Turgeon, David, Abrol, Angelii P.","African Journal of Laboratory Medicine; 5(1); 1-8","African Journal of Laboratory Medicine","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102016000100014&lang=pt" 
"S0102-69092016000200509-scl","DA BRANQUIDADE DO ESTADO NA OCUPAÇÃO DA CIDADE","Paterniani, Stella Zagatto","Revista Brasileira de Ciências Sociais; 31(91); -","Revista Brasileira de Ciências Sociais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092016000200509&lang=pt" 
"S0102-69092016000200506-scl","VULNERABILIDADE SOCIAL ÀS MUDANÇAS CLIMÁTICAS EM CONTEXTOS RURAIS","Kirsch, Heitor Marcos, Schneider, Sergio","Revista Brasileira de Ciências Sociais; 31(91); -","Revista Brasileira de Ciências Sociais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092016000200506&lang=pt" 
"S0102-69092016000200507-scl","TRÊS VIVAS AO PROLETARIADO! PARA UMA CONTEXTUALIZAÇÃO DA OBRA GORZIANA DA DÉCADA DE 1960","Machado, Nuno Miguel Cardoso","Revista Brasileira de Ciências Sociais; 31(91); -","Revista Brasileira de Ciências Sociais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092016000200507&lang=pt" 
"S0301-603X2016000200019-sza","Suggesting a new paradigm for agricultural extension policy: the case of West African Countries","Abdu-Raheem, K. A., Worth, S. H.","South African Journal of Agricultural Extension; 44(2); 216-230","South African Journal of Agricultural Extension","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0301-603X2016000200019&lang=pt" 
"S0301-603X2016000200018-sza","Assessing socio-economic factors influencing adoption of legume-based multiple cropping systems among smallholder sorghum farmers in Soroti, Uganda","Ekepu, D., Tirivanhu, P.","South African Journal of Agricultural Extension; 44(2); 195-215","South African Journal of Agricultural Extension","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0301-603X2016000200018&lang=pt" 
"S0718-07642016000600021-chl","Representación Infantil de la Ciencia usando el Test Dibujando un Científico (DAST): Posibilidades de Cambios desde la Comunicación Científica","Valderrama, Lorena B, Vernal-Vilicic, Teresa P, Méndez-Caro, Leyla","Información tecnológica; 27(6); 203-214","Información tecnológica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642016000600021&lang=pt" 
"S0718-07642016000600007-chl","Efecto de Temperatura, pH, Concentración de Sustrato y Tipo de Enzima en la Hidrólisis Enzimática de Vísceras de Tilapia Roja (Oreochromis spp.)","Baez-Suarez, Andrea J, Ospina-de-Barreneche, Nelly, Zapata-Montoya, José E","Información tecnológica; 27(6); 63-76","Información tecnológica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642016000600007&lang=pt" 
"S0716-97602016000100019-chl","Special series on trending themes in Neurobiology in Biological Research","Inestrosa, Nibaldo C., Santos, Manuel J.","Biological Research; 49(); 1-1","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100019&lang=pt" 
