"S0100-204X2014000900665-scl","Biologia e tabela de vida de fertilidade do pulgão-preto em cultivares de videira","Baronio, Cléber Antonio, Andzeiewski, Simone, Cunha, Uemerson Silva da, Botton, Marcos","Pesquisa Agropecuária Brasileira; 49(9); 665-672","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000900665&lang=pt" 
"S0104-77602014000300017-scl","Avaliação da rugosidade superficial da madeira de Eucalyptus sp submetida ao fresamento periférico","Lopes, Camila Santos Doubek, Nolasco, Adriana Maria, Tomazello Filho, Mário, Dias, Carlos Tadeu dos Santos","CERNE; 20(3); 471-476","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300017&lang=pt" 
"S1807-59322014000900634-scl","A comparative in vivo ultrasonometric evaluation of normal and delayed fracture healing in sheep tibiae","Barbieri, Giuliano, Barbieri, Cláudio Henrique","Clinics; 69(9); 634-640","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000900634&lang=pt" 
"S0101-28002014000300267-scl","Hora de conhecer a dimensão da doença renal crônica no Brasil","Matos, Jorge Paulo Strogoff de, Lugon, Jocemir Ronaldo","Jornal Brasileiro de Nefrologia; 36(3); 267-268","Jornal Brasileiro de Nefrologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300267&lang=pt" 
"S0101-28002014000300269-scl","Como explicar a baixa penetração da diálise peritoneal no Brasil","Abensur, Hugo","Jornal Brasileiro de Nefrologia; 36(3); 269-270","Jornal Brasileiro de Nefrologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300269&lang=pt" 
"S1807-59322014000900585-scl","Assessment of light touch sensation in the hands of systemic sclerosis patients","Silva, Paula Gabriel, Jones, Anamaria, Araujo, Pola Maria Poli, Natour, Jamil","Clinics; 69(9); 585-588","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000900585&lang=pt" 
"S1029-30432014000300005-cub","Automatización de los canales endémicos en Villa Clara","Cruz Martínez, Yangtse, Hernández González, Geni, Hernández Zaguirre, Anisel","Medicentro Electrónica; 18(3); 115-120","Medicentro Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30432014000300005&lang=pt" 
"S0006-87052014000300013-scl","Rendimento de grãos e características agronômicas de soja em função de pastagens perenes em sistema de plantio direto","Santos, Henrique Pereira dos, Fontaneli, Renato Serena, Pires, João Leonardo Fernandes, Fontaneli, Roberto Serena, Biazus, Valdéria, Verdi, Amauri Colet, Vargas, Ana Maria","Bragantia; 73(3); 319-326","Bragantia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052014000300013&lang=pt" 
"S1807-59322014000900641-scl","Open and endovascular repair of juxtarenal abdominal aortic aneurysms: a systematic review","Belczak, Sergio Quilici, Lanziotti, Luiz, Botelho, Yuri, Aun, Ricardo, da Silva, Erasmo Simão, Puech-Leão, Pedro, de Luccia, Nelson","Clinics; 69(9); 641-646","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000900641&lang=pt" 
"S0101-28002014000300320-scl","Repercussões vasculares do uso de CDL em pacientes hemodialíticos: análise ecográfica dos sítios de inserção","Leite, Douglas Squizatto, Camargo, Natasha Lure Bueno de, Cordeiro, Flamarion de Barros, Schuinski, Adriana de Fátima Menegat, Baroni, Gilberto","Jornal Brasileiro de Nefrologia; 36(3); 320-324","Jornal Brasileiro de Nefrologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300320&lang=pt" 
"S1807-59322014000900608-scl","Treatment of uncommon sites of focal primary hyperhidrosis: experience with pharmacological therapy using oxybutynin","Teivelis, Marcelo Passos, Wolosker, Nelson, Krutman, Mariana, Kauffman, Paulo, de Campos, José Ribas Milanez, Puech-Leão, Pedro","Clinics; 69(9); 608-614","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000900608&lang=pt" 
"S0104-77602014000300012-scl","Diagnose visual de deficiencia de nutrientes em mudas de Bombacopsis glabra","Camacho, Marcos Antonio, Camara, Ana Paula, Zardin, Andrei Rodriguez","CERNE; 20(3); 427-431","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300012&lang=pt" 
"S0104-77602014000300007-scl","Efeito de reagentes de branqueamento na classificação e refinação de polpa de eucalipto","Favaro, Jaqueline Silveira Comelato, Ventorim, Gustavo, Caraschi, José Cláudio","CERNE; 20(3); 385-392","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300007&lang=pt" 
"S0104-77602014000300006-scl","Variabilidade espacial dos atributos químicos do solo em povoamento de Tectona grandis","Pelissari, Allan Libanio, Caldeira, Sidney Fernando, Santos, Vanderley Severino dos","CERNE; 20(3); 377-384","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300006&lang=pt" 
"S0104-77602014000300005-scl","Woods with physical, mechanical and acoustic properties similar to those of Caesalpinia echinata have high potential as alternative woods for bow makers","Longui, Eduardo Luiz, Lima, Israel Luiz de, Lombardi, Daniel Romeu, Garcia, José Nivaldo, Alves, Edenise Segala","CERNE; 20(3); 369-376","CERNE","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300005&lang=pt" 
"S0104-77602014000300003-scl","Retratibilidade da madeira de Toona ciliata M. Roem proveniente de três municípios do sul de Minas Gerais","Ribeiro, Alessandra de Oliveira, Mendes, Rafael Farinassi, Mendes, Lourival Marin, Mori, Fábio Akira, Ziech, Raiana Quirino de Souza","CERNE; 20(3); 351-361","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300003&lang=pt" 
"S0104-77602014000300009-scl","Atividade enzimática durante a germinação de sementes de Melanoxylon brauna schott sob diferentes temperaturas","Flores, Andressa Vasconcelos, Borges, Eduardo Euclydes de Lima e, Guimarães, Valéria Monteze, Gonçalves, José Francisco de Carvalho, Ataíde, Glauciana da Mata, Barros, Daniela de Pádua","CERNE; 20(3); 401-408","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300009&lang=pt" 
"S0104-77602014000300008-scl","Deterioração da madeira de Eucalyptus spp. por fungos xilófagos","Silva, Luciana Ferreira da, Paes, Juarez Benigno, Jesus Junior, Waldir Cintra de, Oliveira, José Tarcísio da Silva, Furtado, Edson Luiz, Alves, Fábio Ramos","CERNE; 20(3); 393-400","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300008&lang=pt" 
"S1807-59322014000900627-scl","Periradicular lesions in HIV-infected patients attending the faculty of dentistry: clinical findings, socio-demographics status, habits and laboratory data - seeking an association","Fontes, Tatiana Vasconcellos, Ferreira, Sonia Maria Soares, Silva-Júnior, Arley, dos Santos Marotta, Patrícia, Noce, Cesar Werneck, de Carvalho Ferreira, Dennis, Gonçalves, Lucio Souza","Clinics; 69(9); 627-633","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000900627&lang=pt" 
"S0101-28002014000300297-scl","Avaliação da função renal em idosos: um estudo de base populacional","Dutra, Marina Constante, Uliano, Estevão José Muller, Machado, Danúbia Felippe Grassi de Paula, Martins, Tatiana, Schuelter-Trevisol, Fabiana, Trevisol, Daisson José","Jornal Brasileiro de Nefrologia; 36(3); 297-303","Jornal Brasileiro de Nefrologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300297&lang=pt" 
"S0101-28002014000300271-scl","Efeito do exercício físico e suplementação de potássio sobre a pressão arterial, metabolismo glicídico e albuminúria de ratos hipertensos","Jodas, Evelyn Manuella Martins Gomes, Voltera, Aline Francisco, Ginoza, Milton, Kohlmann Junior, Osvaldo, Santos, Nelson Brancaccio dos, Cesaretti, Mário Luís Ribeiro","Jornal Brasileiro de Nefrologia; 36(3); 271-279","Jornal Brasileiro de Nefrologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300271&lang=pt" 
"S0101-28002014000300396-scl","Transtornos neuropsiquiátricos e doenças renais: uma atualização","Moreira, Janaina Matos, Matta, Silvia Mendonça da, Kummer, Arthur Melo e, Barbosa, Izabela Guimarães, Teixeira, Antônio Lúcio, Silva, Ana Cristina Simões e","Jornal Brasileiro de Nefrologia; 36(3); 396-400","Jornal Brasileiro de Nefrologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300396&lang=pt" 
"S0101-28002014000300379-scl","Balanço hídrico, injúria renal aguda e mortalidade de pacientes em unidade de terapia intensiva","Ávila, Maria Olinda Nogueira, Rocha, Paulo Novis, Zanetta, Dirce Maria Trevisan, Yu, Luis, Burdmann, Emmanuel de Almeida","Jornal Brasileiro de Nefrologia; 36(3); 379-388","Jornal Brasileiro de Nefrologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300379&lang=pt" 
"S0006-87052014000300004-scl","Combining ability of tomato lines in saladette-type hybrids","Andrade, Marcela Carvalho, Silva, Alex Antônio da, Conrado, Thiago Vicenzi, Maluf, Wilson Roberto, Andrade, Thiago Matos, Oliveira, Celso Mattes de","Bragantia; 73(3); 237-245","Bragantia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052014000300004&lang=pt" 
"S0006-87052014000300005-scl","Caracterização genética de uma coleção de germoplasma de cagaiteira, uma espécie nativa do cerrado","Almeida Júnior, Edivaldo Barbosa de, Chaves, Lázaro José, Soares, Thannya Nascimento","Bragantia; 73(3); 246-252","Bragantia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052014000300005&lang=pt" 
"S0006-87052014000300002-scl","Qualidade fisiológica de sementes de soja convencional e transgênica RR produzidas sob aplicação foliar de manganês","Carvalho, Everson Reis, Oliveira, João Almir, Caldeira, Carla Massimo","Bragantia; 73(3); 219-228","Bragantia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052014000300002&lang=pt" 
"S0006-87052014000300003-scl","Evaluating sugarcane families by the method of Dynamic Technique for Order Preference by Similarity to Ideal Solution (DTOPSIS)","Zhao, Peifang, Todd, James, Zhao, Jun, Liu, Jiayong, Yao, Li, Hou, Chaoxiang, Zan, Fenggang, Xia, Hongming, Yang, Kun, Wu, Caiwen, Chen, Xuekuan","Bragantia; 73(3); 229-236","Bragantia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052014000300003&lang=pt" 
"S0006-87052014000300001-scl","Estimativa da área foliar da berinjela em função das dimensões foliares","Hinnah, Fernando Dill, Heldwein, Arno Bernardo, Maldaner, Ivan Carlos, Loose, Luis Henrique, Lucas, Dionéia Daiane Pitol, Bortoluzzi, Mateus Possebon","Bragantia; 73(3); 213-218","Bragantia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052014000300001&lang=pt" 
"S0080-21072014000300008-scl","Avaliação da efetividade e dos preditores de um treinamento a distância em uma instituição bancária de grande porte","Mourão, Luciana, Abbad, Gardênia da Silva, Zerbini, Thaís","Revista de Administração (São Paulo); 49(3); 534-548","Revista de Administração (São Paulo)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-21072014000300008&lang=pt" 
"S0080-21072014000300009-scl","Teste de um modelo teórico sobre o valor percebido do preço de um produto","Toni, Deonir de, Mazzon, José Afonso","Revista de Administração (São Paulo); 49(3); 549-565","Revista de Administração (São Paulo)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-21072014000300009&lang=pt" 
"S0080-21072014000300003-scl","Avaliação de empresas e probabilidade de negociação com informação privilegiada no mercado brasileiro de capitais","Girão, Luiz Felipe de Araújo Pontes, Martins, Orleans Silva, Paulo, Edilson","Revista de Administração (São Paulo); 49(3); 462-475","Revista de Administração (São Paulo)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-21072014000300003&lang=pt" 
"S0080-21072014000300007-scl","Drivers of human resource management competences development in Brazilian multinational subsidiaries: a multilevel research","Reis, Germano Glufke, Borini, Felipe Mendes, Fleury, Maria Tereza Leme","Revista de Administração (São Paulo); 49(3); 519-533","Revista de Administração (São Paulo)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-21072014000300007&lang=pt" 
"S0080-21072014000300004-scl","Reestruturação do serviço nacional de saúde em Portugal: balanço da empresarialização dos hospitais públicos portugueses","Major, Maria João, Magalhães, Andreia","Revista de Administração (São Paulo); 49(3); 476-490","Revista de Administração (São Paulo)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-21072014000300004&lang=pt" 
"S0080-21072014000300005-scl","From print to screen: changes and challenges facing the Brazilian publishing industry","Rodrigues, Marco Aurélio de Souza, Chimenti, Paula, Nogueira, Antonio Roberto Ramos, Hupsel, Luiz Felipe, Repsold, Andrea","Revista de Administração (São Paulo); 49(3); 491-505","Revista de Administração (São Paulo)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-21072014000300005&lang=pt" 
"S0101-28002014000300352-scl","Registro Brasileiro de Biópsias Ósseas (REBRABO): desenho, banco de dados e metodologia","Oliveira, Rodrigo Bueno de, Barreto, Fellype Carvalho, Custódio, Melani Ribeiro, Gueiros, José Edvanilson Barros, Neves, Carolina Lara, Karohl, Cristina, Sampaio, Elisa de Albuquerque, Costa, Rackel Mota da, Canziani, Maria Eugênia Fernandes, Moysés, Rosa Maria Afonso, Carvalho, Aluízio Barbosa de, Jorgetti, Vanda","Jornal Brasileiro de Nefrologia; 36(3); 352-359","Jornal Brasileiro de Nefrologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300352&lang=pt" 
"S0101-28002014000300339-scl","Escore de avaliação de risco pré-transplante: metodologia e a importância das características socioeconômicas","Gusukuma, Luciana Wang, Silva Junior, Helio Tedesco, Pestana, José Osmar Medina","Jornal Brasileiro de Nefrologia; 36(3); 339-351","Jornal Brasileiro de Nefrologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300339&lang=pt" 
"S0101-28002014000300315-scl","Associação de PTH e espessura carotídea em pacientes com falência renal crônica e hiperparatireoidismo secundário","Costa, André Falcão Pedrosa, Barufaldi, Felipe, Silveira, Marcelo Augusto Duarte, Santos, Vitorino Modesto dos, Menezes, Pedro de Lemos","Jornal Brasileiro de Nefrologia; 36(3); 315-319","Jornal Brasileiro de Nefrologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300315&lang=pt" 
"S0104-77602014000300010-scl","Environmental profile analysis of MDF panels production: study in a brazilian technological condition","Piekarski, Cassiano Moro, Francisco, Antonio Carlos de, Luz, Leila Mendes da, Alvarenga, Tiago Henrique de Paula, Bittencourt, Juliana Vitoria Messias","CERNE; 20(3); 409-418","CERNE","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300010&lang=pt" 
"S0104-77602014000300013-scl","Resistência das madeiras de pinus, cedro australiano e seus produtos derivados ao ataque de Cryptotermes brevis","Ribeiro, Marcelo Xisto, Bufalino, Lina, Mendes, Lourival Marin, Sá, Vania Aparecida de, Santos, Alexandre dos, Tonoli, Gustavo Henrique Denzin","CERNE; 20(3); 433-439","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300013&lang=pt" 
"S0104-77602014000300014-scl","Crescimento inicial de Stryphnodendron polyphylum (Mart.) em resposta à adubação com N e P","Souza, Natália Hilgert de, Marchetti, Marlene Estevão, Carnevali, Thiago de Oliveira, Ramos, Diovany Doffinger, Scalon, Silvana de Paula Quintão, Oliveira, Maiby Teodoro de","CERNE; 20(3); 441-447","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300014&lang=pt" 
"S0104-77602014000300016-scl","Frequência espaço-temporal dos focos ativos em Minas Gerais durante o período de 1999 a 2009","Pereira, Allan Arantes, Barros, Dalmo Arantes de, Pereira, José Aldo Alves, Acerbi Júnior, Fausto Weimar, Morelli, Fabiano, Scolforo, José Roberto Soares","CERNE; 20(3); 459-469","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300016&lang=pt" 
"S0104-77602014000300018-scl","Classificação fisiológica de sementes florestais quanto a tolerância à dessecação e ao armazenamento","Nery, Marcela Carlota, Davide, Antonio Cláudio, Silva, Edvaldo Aparecido Amaral da, Soares, Giuliana Cristina Mourão, Nery, Fernanda Carlota","CERNE; 20(3); 477-483","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300018&lang=pt" 
"S0104-77602014000300019-scl","Estimativas de índice de área foliar de plantios de Eucalyptus spp. segundo três alternativas metodológicas","Cantinho, Roberta Zecchini, Ponzoni, Flávio Jorge, Santos, Sandra Benfica dos","CERNE; 20(3); 485-492","CERNE","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602014000300019&lang=pt" 
"S0101-28002014000300280-scl","Papel da lipocalina associada à gelatinase neutrofílica (NGAL) urinária na nefrotoxicidade da cisplatina em pacientes com câncer de cabeça e pescoço","Peres, Luis Alberto Batista, Cunha Júnior, Ademar Dantas da, Assumpção, Rosangela Aparecida Botinha, Schäfer, Alex Júnior, Silva, Aline Liene da, Gaspar, Arianne Ditzel, Scarpari, Deborah Francisca, Alves, Julia Barazetti Ferrari, Girelli Neto, Rodolfo, Oliveira, Thaís Figueiredo Teodoro de","Jornal Brasileiro de Nefrologia; 36(3); 280-288","Jornal Brasileiro de Nefrologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300280&lang=pt" 
"S0101-28002014000300289-scl","Association between indoxyl sulfate and bone histomorphometry in pre-dialysis chronic kidney disease patients","Barreto, Fellype Carvalho, Barreto, Daniela Veit, Canziani, Maria Eugênia Fernandes, Tomiyama, Cristianne, Higa, Andrea, Mozar, Anaïs, Glorieux, Griet, Vanholder, Raymond, Massy, Ziad, Carvalho, Aluizio Barbosa de","Jornal Brasileiro de Nefrologia; 36(3); 289-296","Jornal Brasileiro de Nefrologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300289&lang=pt" 
"S1807-59322014000900589-scl","Early osteoarthritis and reduced quality of life after retirement in former professional soccer players","Arliani, Gustavo Gonçalves, Astur, Diego Costa, Yamada, Ricardo Kim Fukunishi, Yamada, André Fukunishi, Miyashita, Gustavo Kenzo, Mandelbaum, Bert, Cohen, Moisés","Clinics; 69(9); 589-594","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000900589&lang=pt" 
"S0101-28002014000300410-scl","Human fetal malformations associated with the use of an angiotensin II receptor antagonist: Case Report","Korkes, Henri Augusto, Oliveira, Leandro Gustavo de, Berlinck, Livia, Goes, Fernanda Sampaio, Borges, Antonio Fernando Allemand, Kirsztajn, Gianna Mastroianni, Sass, Nelson","Jornal Brasileiro de Nefrologia; 36(3); 410-413","Jornal Brasileiro de Nefrologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002014000300410&lang=pt" 
"S0066-782X2014002100006-scl","Survival and Predictive Factors of Lethality in Hemodyalisis: D/I Polymorphism of The Angiotensin I-Converting Enzyme and of the Angiotensinogen M235T Genes","Alves, Mauro, Silva, Nelson Albuquerque de Souza e, Salis, Lucia Helena Alvares, Pereira, Basilio de Bragança, Godoy, Paulo Henrique, Nascimento, Emília Matos do, Oliveira, Jose Mario Franco","Arquivos Brasileiros de Cardiologia; 103(3); 209-219","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100006&lang=pt" 
"S0066-782X2014002100005-scl","Effects of Exercise Training on Heart Rate Variability in Chagas Heart Disease","Nascimento, Bruno Ramos, Lima, Márcia Maria Oliveira, Nunes, Maria do Carmo Pereira, Alencar, Maria Clara Noman de, Costa, Henrique Silveira, Pinto Filho, Marcelo Martins, Cota, Vitor Emanuel Serafim, Rocha, Manoel Otávio da Costa, Ribeiro, Antonio Luiz Pinho","Arquivos Brasileiros de Cardiologia; 103(3); 201-208","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100005&lang=pt" 
"S0066-782X2014002100004-scl","Investigation Route of the Coronary Patient in the Public Health System in Curitiba, São Paulo and in Incor - IMPACT Study","Cerci, Juliano J., Trindade, Evelinda, Preto, Daniel, Cerci, Rodrigo Julio, Lemos, Pedro A., Cesar, Luiz Antonio Machado, Preto, Luís, Stinghen, Luiz, Martinez, Cátia, Meneghetti, José Claudio","Arquivos Brasileiros de Cardiologia; 103(3); 192-200","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100004&lang=pt" 
"S0066-782X2014002100009-scl","Elevated Blood Pressure and Obesity in Childhood: A Cross-Sectional Evaluation of 4,609 Schoolchildren","Rosaneli, Caroline Filla, Baena, Cristina Pellegrio, Auler, Flavia, Nakashima, Alika Terumi Arasaki, Netto-Oliveira, Edna Regina, Oliveira, Amauri Bássoli, Guarita-Souza, Luiz César, Olandoski, Marcia, Faria-Neto, José Rocha","Arquivos Brasileiros de Cardiologia; 103(3); 238-244","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100009&lang=pt" 
"S0366-69132014000300006-scl","Características e mecanismos de desgaste dos refratários MgO-C usados na linha de escória de panelas de aço","Leite, F. C., Luz, A. P., Pandolfelli, V. C.","Cerâmica; 60(355); 348-365","Cerâmica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300006&lang=pt" 
"S1413-99362014000300003-scl","Ferramentas para mediação de fontes de informação: avaliação sobre seus usos em bibliotecas universitárias nacionais e internacionais","Novelli, Valéria Aparecida Moreira, Hoffmann, Wanda Aparecida Machado, Gracioso, Luciana de Souza","Perspectivas em Ciência da Informação; 19(3); 30-51","Perspectivas em Ciência da Informação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300003&lang=pt" 
"S1413-99362014000300004-scl","Como construir indicadores de Ciência, Tecnologia e Inovação usando Web of Science, Derwent World Patent Index, Bibexcel e Pajek?","Ruas, Terry Lima, Pereira, Luciana","Perspectivas em Ciência da Informação; 19(3); 52-81","Perspectivas em Ciência da Informação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300004&lang=pt" 
"S1413-99362014000300013-scl","Uma abordagem integrada sobre ontologias: Ciência da Informação, Ciência da Computação e Filosofia","Almeida, Maurício Barcellos","Perspectivas em Ciência da Informação; 19(3); 242-258","Perspectivas em Ciência da Informação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300013&lang=pt" 
"S1413-99362014000300012-scl","Ontologias como suporte à avaliação enquanto tarefa intensiva em conhecimento: uma revisão bibliométrica","Freitas Junior, Vanderlei, Gonçalves, Alexandre Leopoldo","Perspectivas em Ciência da Informação; 19(3); 223-241","Perspectivas em Ciência da Informação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300012&lang=pt" 
"S1413-65382014000300008-scl","Relações familiares na perspectiva de pais, irmãos e crianças com deficiência","Silva, Simone Cerqueira da, Dessen, Maria Auxiliadora","Revista Brasileira de Educação Especial; 20(3); 421-434","Revista Brasileira de Educação Especial","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382014000300008&lang=pt" 
"S1413-65382014000300006-scl","Inclusão de alunos com deficiência na aula de educação física: identificando dificuldades, ações e conteúdos para prover a formação do professor","Fiorini, Maria Luiza Salzani, Manzini, Eduardo José","Revista Brasileira de Educação Especial; 20(3); 387-404","Revista Brasileira de Educação Especial","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382014000300006&lang=pt" 
"S0034-75232014000300004-cub","Árbol para predecir el desarrollo de la cardiopatía hipertensiva","Álvarez Aliaga, Alexis, González Aguilera, Julio César, Maceo Gómez, Liliana del Rosario, Frómeta Guerra, Adonis, Bárzaga Morell, Salvador, Cervantes Infante, Ana Elis","Revista Cubana de Medicina; 53(3); 266-281","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000300004&lang=pt" 
"S0034-75232014000300012-cub","Síndrome neurológico posmalaria","Gómez Viera, Nelson, Olivera Leal, Irma Regla, Ruiz García, Dania, Santana Chill, Liván, del Río Bazán, Daymara, León Castellón, Roberto","Revista Cubana de Medicina; 53(3); 354-358","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000300012&lang=pt" 
"S0034-75232014000300011-cub","Diagnóstico de una enfermedad sistémica a través de masa intracardiaca","Castro Arca, Ángela, Sotto García, Zoinez, García Hernández, Ricardo Amador, Echemendia Simón, Eider Daniel, Pérez Suárez, Julio Cesar, Benemelis García, Irina","Revista Cubana de Medicina; 53(3); 348-353","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000300011&lang=pt" 
"S0034-75232014000300010-cub","Síndrome poscolecistectomía: problema frecuente, poco tratado","Espinosa Brito, Alfredo Darío, Espinosa Roca, Alfredo Alberto","Revista Cubana de Medicina; 53(3); 337-347","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000300010&lang=pt" 
"S1983-40632014000300010-scl","Condições, modos de aplicação e doses de ureia revestida por polímeros na cultura do milho","Martins, Isaac Silva, Cazetta, Jairo Osvaldo, Fukuda, Akira José Fernandes","Pesquisa Agropecuária Tropical; 44(3); 271-279","Pesquisa Agropecuária Tropical","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300010&lang=pt" 
"S1983-40632014000300014-scl","Variabilidade de Pyricularia oryzae Cav. em genótipos de arroz","Nunes, Cley Donizeti Martins, Mota, Monalize Salete, Carvalho, Fernando Irajá Félix de, Oliveira, Antonio Costa de","Pesquisa Agropecuária Tropical; 44(3); 263-270","Pesquisa Agropecuária Tropical","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300014&lang=pt" 
"S1983-40632014000300007-scl","Conversion of land use and cover in northwest Amazon (Brazil)","Silva Junior, Carlos Antonio da, Nanni, Marcos Rafael, Silva, Anderson Antonio da, Cezar, Everson, Romagnoli, Franciele","Pesquisa Agropecuária Tropical; 44(3); 230-237","Pesquisa Agropecuária Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300007&lang=pt" 
