"S1020-49892013000800008-spa","Práticas familiares relacionadas à manutenção da amamentação: revisão da literatura e metassíntese","Sousa, Alder Mourão de, Fracolli, Lislaine Aparecida, Zoboli, Elma Lourdes Campos Pavone","Revista Panamericana de Salud Pública; 34(2); 127-134","Revista Panamericana de Salud Pública","Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000800008&lang=pt" 
"S1415-43662013000800008-scl","Perda de pressão estática em uma coluna de grãos de quinoa","Gratão, Poliana T. da S., Devilla, Ivano A., Servulo, Ana Claudia O., Jesus, Flívia F. de, Ferreira, Daiane de A.","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 848-854","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800008&lang=pt" 
"S1415-43662013000800009-scl","Avaliação de dano de Sitophilus zeamais, Oryzaephilus surinamensis e Laemophloeus minutus em grãos de arroz armazenados","Copatti, Carlos E., Marcon, Roberta K., Machado, Monaliza B.","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 855-860","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800009&lang=pt" 
"S1415-43662013000800010-scl","Produção de moranga irrigada com esgoto doméstico tratado","Oliveira, Pedro C. P. de, Gloaguen, Thomas V., Gonçalves, Roberta A. B., Santos, Dionei L.","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 861-867","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800010&lang=pt" 
"S1415-43662013000800011-scl","Mudanças no uso da terra e o particionamento de energia no sudoeste da Amazônia","Webler, Alberto D., Gomes, Josiane B., Aguiar, Renata G., Andrade, Nara L. R. de, Aguiar, Leonardo J. G.","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 868-876","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800011&lang=pt" 
"S1415-43662013000800012-scl","Aclimatização de mudas de cana-de-açúcar em ambiente protegido sob dois tipos de malhas de sombreamento","Guiselini, Cristiane, Pandorfi, Heliton, Barros, Andréa C. B., Silva, Luzia F. da, Silva Neto, Sinval P. O. da","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 877-882","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800012&lang=pt" 
"S1415-43662013000800013-scl","Modelagem da precipitação pluvial diária intra-anual da Bacia Hidrográfica Paraná III associada aos eventos ENOS","Baú, Antonio L., Azevedo, Carlos A. V. de, Bresolin, Adriano de A.","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 883-891","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800013&lang=pt" 
"S1415-43662013000800014-scl","Comportamento, produção e qualidade do leite de vacas Holandês-Gir com climatização no curral","Almeida, Gledson L. P. de, Pandorfi, Héliton, Barbosa, Severino B. P., Pereira, Danilo F., Guiselini, Cristiane, Almeida, Gleidiana A. P. de","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 892-899","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800014&lang=pt" 
"S1415-43662013000800015-scl","Níveis de vibração e choques em diferentes estradas durante o transporte de ovos férteis","Nazareno, Aérica C., Silva, Iran J. O. da, Vieira, Afrânio M. C., Vieira, Frederico M. C., Miranda, Késia O. S.","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 900-905","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800015&lang=pt" 
"S1851-82652013000200003-spa","Significados y concepciones de la Enfermería: el punto de vista de estudiantes de la carrera de la Universidad Nacional de Lanús, 2008-2010","Arakaki, Jorge","Salud Colectiva; 9(2); 151-167","Salud Colectiva","Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652013000200003&lang=pt" 
"S1851-82652013000200004-spa","Desigualdades sociales en la mortalidad por cáncer de cuello de útero en la Ciudad Autónoma de Buenos Aires, 1999-2003 y 2004-2006","Martínez, María Laura, Guevel, Carlos Gustavo","Salud Colectiva; 9(2); 169-182","Salud Colectiva","Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652013000200004&lang=pt" 
"S1851-82652013000200005-spa","Acoso escolar en la zona metropolitana de Guadalajara, México: prevalencia y factores asociados","Vega López, María Guadalupe, González Pérez, Guillermo Julián, Valle Barbosa, María Ana, Flores Villavicencio, María Elena, Vega López, Agustín","Salud Colectiva; 9(2); 183-194","Salud Colectiva","Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652013000200005&lang=pt" 
"S1851-82652013000200006-spa","¿Salud y productividad?: sobre la formación de una analítica &quot;económica&quot; de la relación salud-trabajo (Argentina, 1900-1955)","Haidar, Victoria","Salud Colectiva; 9(2); 195-214","Salud Colectiva","Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652013000200006&lang=pt" 
"S1851-82652013000200007-spa","La prevención del cáncer de cuello de útero y de mama en servicios de salud y organizaciones no gubernamentales de la Ciudad Autónoma de Buenos Aires","Ponce, Marisa","Salud Colectiva; 9(2); 215-233","Salud Colectiva","Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652013000200007&lang=pt" 
"S1415-43662013000800005-scl","Produção e teor de amido da batata-doce em cultivo sob adubação com matéria orgânica","Oliveira, Ademar P. de, Gondim, Petronio C., Silva, Ovídio P. R. da, Oliveira, Arnaldo N. P. de, Gondim, Saulo C., Silva, Juliete A.","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 830-834","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800005&lang=pt" 
"S1415-43662013000800007-scl","Características agronômicas e índice de colheita de diferentes genótipos de amendoim submetidos a estresse hídrico","Duarte, Elizabeth A. A., Melo Filho, Péricles de A., Santos, Roseane C.","Revista Brasileira de Engenharia Agrícola e Ambiental; 17(8); 843-847","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662013000800007&lang=pt" 
"S1516-89132013000400003-scl","Mutation breeding of lipase-producing strain Flavobacterium sp. by supercritical CO2 with hydrazine hydrate","Zhang, Qiaoyan, Qian, Junqing, Ma, Lingzhi","Brazilian Archives of Biology and Technology; 56(4); 541-546","Brazilian Archives of Biology and Technology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132013000400003&lang=pt" 
"S1516-89132013000400005-scl","Colon cancer and swimming exercise: effect on wistar rat testes","Freitas, Karine Moura de, Natali, Antônio José, Lunz, Wellington, Costa, Kyvia Lugate Cardoso, Leite, Rodrigo Paula, Dolder, Heidi, Matta, Sérgio Luis Pinto da","Brazilian Archives of Biology and Technology; 56(4); 557-566","Brazilian Archives of Biology and Technology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132013000400005&lang=pt" 
"S1516-89132013000400007-scl","Estrus synchronization and Fixed Time Artificial Insemination (FTAI) in dairy buffaloes during seasonal anestrus","Frares, Luciana Ferri, Weiss, Romildo Romualdo, Kozicki, Luiz Ernandes, Santangelo, Renata Prestes, Abreu, Renata Azevedo de, Santos, Ivo Walter do, Dell&#039;aqua Junior, José Antonio, Breda, José Carlos","Brazilian Archives of Biology and Technology; 56(4); 575-580","Brazilian Archives of Biology and Technology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132013000400007&lang=pt" 
"S1516-89132013000400008-scl","Ethanol affects the absorption and tissue distribution of orally administered antigens in mice","Oliveira, Flávia Márcia, Gusmão, Leandro José, Cardoso, Valbert do Nascimento, Ramaldes, Gilson Andrade, Ruiz-de-Souza, Valéria, Gontijo, Cristiano Machado","Brazilian Archives of Biology and Technology; 56(4); 581-586","Brazilian Archives of Biology and Technology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132013000400008&lang=pt" 
"S1516-89132013000400010-scl","Intraerythrocytic organic phosphates and hemoglobins of skua - Catharacta maccormicki (Stercoraridae): at two different stages of the year in relation to Antartic migration","Landini, Gustavo Fraga, Di Vito Neto, Alfredo, Schwantes, Arno Rudi, Schwantes, Maria Luiza Barcellos, Santos, Marcelo dos","Brazilian Archives of Biology and Technology; 56(4); 599-606","Brazilian Archives of Biology and Technology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132013000400010&lang=pt" 
"S1516-89132013000400012-scl","Role of killer factors in the inhibitory activity of bio-control yeasts against Penicillium expansum and Aspergillus ochraceus","Portes, Ciro da Silva, Oliveira, Andriélen Virke de, Simer, Patrícia, Lunkes, Alessandra Machado, Coelho, Alexandre Rodrigo","Brazilian Archives of Biology and Technology; 56(4); 619-627","Brazilian Archives of Biology and Technology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132013000400012&lang=pt" 
"S1516-89132013000400014-scl","Influence of thickness on properties of plasticized oat starch films","Galdeano, Melicia Cintia, Wilhelm, Allan Eduardo, Mali, Suzana, Grossmann, Maria Victória Eiras","Brazilian Archives of Biology and Technology; 56(4); 637-644","Brazilian Archives of Biology and Technology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132013000400014&lang=pt" 
"S1516-89132013000400016-scl","A new enzymatic process for the treatment of phenolic pollutants","Palma, Mauri Sergio Alves, Horn, Harald, Zilli, Mario, Pigatto, Gisele, Converti, Attilio","Brazilian Archives of Biology and Technology; 56(4); 653-662","Brazilian Archives of Biology and Technology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132013000400016&lang=pt" 
"S1516-89132013000400018-scl","Influence of NaNO3 concentration and incident light intensity on Nannochloropsis oculata lipid accumulation","Gris, Lara Regina Soccol, Paim, Anderson de Campos, Farenzena, Marcelo, Trierweiler, Jorge Otávio","Brazilian Archives of Biology and Technology; 56(4); 673-678","Brazilian Archives of Biology and Technology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132013000400018&lang=pt" 
"S1516-89132013000400020-scl","The bioindicative potential evaluation of Tabebuia alba (Cham.) Sandwith, Bignoniaceae, in urban atmospheric pollution","Carvalheiro, César Vinícius, Rocha, Ledyane Dalgallo, Maranho, Leila Teresinha","Brazilian Archives of Biology and Technology; 56(4); 691-698","Brazilian Archives of Biology and Technology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132013000400020&lang=pt" 
"S0034-71672013000400001-scl","Posicionamento da Associação Brasileira de Enfermagem sobre a aprovação da lei do exercício profissional da medicina","Cabral, Ivone Evangelista","Revista Brasileira de Enfermagem; 66(4); 467-468","Revista Brasileira de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672013000400001&lang=pt" 
"S0034-71672013000400022-scl","Enfermagem escolar e sua especialização: uma nova ou antiga atividade","Rasche, Alexandra Schmitt, Santos, Maria da Soledade Simeão dos","Revista Brasileira de Enfermagem; 66(4); 607-610","Revista Brasileira de Enfermagem","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672013000400022&lang=pt" 
"S0034-71672013000400021-scl","Ambiente, saúde e enfermagem no contexto ecossistêmico","Zamberlan, Claudia, Medeiros, Adriane Calvetti de, Dei Svaldi, Jaqueline, Siqueira, Hedi Crecencia Heckler","Revista Brasileira de Enfermagem; 66(4); 603-606","Revista Brasileira de Enfermagem","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672013000400021&lang=pt" 
"S0034-71672013000400025-scl","Programa para cuidadores de idosos com demência: relato de experiência","Brum, Ana Karine Ramos, Camacho, Alessandra Conceição Leite Funchal, Valente, Geilsa Soraia Cavalcanti, Sá, Selma Petra Chaves, Lindolpho, Mirian da Costa, Louredo, Drielle dos Santos","Revista Brasileira de Enfermagem; 66(4); 619-624","Revista Brasileira de Enfermagem","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672013000400025&lang=pt" 
"S0034-71672013000400019-scl","Percurso metodológico para tradução e adaptação de escalas na área de saúde sexual e reprodutiva: uma revisão integrativa","Bernardo, Elizian Braga Rodrigues, Catunda, Hellen Lívia Oliveira, Oliveira, Mirna Fontenele de, Lessa, Paula Renata Amorim, Ribeiro, Samila Gomes, Pinheiro, Ana Karina Bezerra","Revista Brasileira de Enfermagem; 66(4); 592-598","Revista Brasileira de Enfermagem","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672013000400019&lang=pt" 
"S0034-71672013000400020-scl","Do padrão nightingaleano de enfermagem ao sistema social luhmanniano: estudo teórico","Backes, Dirce Stein, Backes, Marli Terezinha Stein, Erdmann, Alacoque Lorenzini, Büscher, Andreas","Revista Brasileira de Enfermagem; 66(4); 599-602","Revista Brasileira de Enfermagem","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672013000400020&lang=pt" 
"S0034-71672013000400023-scl","Vivência de adolescentes em atividade de promoção da saúde","Ferreira Júnior, Antonio Rodrigues, Barros, Erineide Melo Albuquerque de, Sousa, Rosalice Araújo de, Souza, Luiza Jane Eyre de","Revista Brasileira de Enfermagem; 66(4); 611-614","Revista Brasileira de Enfermagem","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672013000400023&lang=pt" 
"S0034-71672013000400024-scl","Experiência discente com o cuidado a paciente portador de Epidermodisplasia Verruciforme","Correa, Bruna Maria Cinel, Bolgue, Ana Paula Munhoz, Oliveira, Ana Paola Piloto de, Ayres, Jairo Aparecido, Paiva, Bianca Sakamoto Ribeiro","Revista Brasileira de Enfermagem; 66(4); 615-618","Revista Brasileira de Enfermagem","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71672013000400024&lang=pt" 
"S1413-86702013000400006-scl","Economic evaluation of treatments for chronic hepatitis B","Wiens, Astrid, Lenzi, Luana, Venson, Rafael, Pedroso, Maria Lúcia Alves, Correr, Cassyano Januário, Pontarolo, Roberto","Brazilian Journal of Infectious Diseases; 17(4); 418-426","Brazilian Journal of Infectious Diseases","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702013000400006&lang=pt" 
"S1413-86702013000400012-scl","Prevalence of human immunodeficiency virus/hepatitis C virus co-infection in Brazil and associated factors: a review","Kuehlkamp, Valdete Meurer, Schuelter-Trevisol, Fabiana","Brazilian Journal of Infectious Diseases; 17(4); 455-463","Brazilian Journal of Infectious Diseases","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702013000400012&lang=pt" 
"S1413-23112013000200007-scl","Segmentação a partir das bases específicas não observáveis do produto e o emprego conjunto de técnicas multivariadas: o estudo de caso do veículo multiuso","Bevilacqua, Solon","REAd. Revista Eletrônica de Administração (Porto Alegre); 19(2); 433-452","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112013000200007&lang=pt" 
"S1413-23112013000200005-scl","Efeito da crise de 2007/2008 na transmissão internacional de volatilidade no mercado de capitais brasileiro","Righi, Marcelo Brutti, Ceretta, Paulo Sérgio","REAd. Revista Eletrônica de Administração (Porto Alegre); 19(2); 384-400","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112013000200005&lang=pt" 
"S1413-23112013000200003-scl","Downloads legais versus ilegais: como aumentar a legalidade no consumo de música?","Alvim, Bruno Canongia Baeta, Strehlau, Suzane, Kirschbaum, Charles","REAd. Revista Eletrônica de Administração (Porto Alegre); 19(2); 330-350","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112013000200003&lang=pt" 
"S1413-23112013000200002-scl","Da gerência para a docência: metáforas do discurso de transição","Oliveira, Luiz Cláudio Vieira de, Kilimnik, Zélia Miranda, Oliveira, Rafael Parreira de","REAd. Revista Eletrônica de Administração (Porto Alegre); 19(2); 301-329","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112013000200002&lang=pt" 
"S1413-23112013000200006-scl","Aspectos de inovação e de redes que afetam a imagem da marca: o caso Harley-Davidson e Buell","Rimoli, Celso Augusto, Noronha, Léo Eduardo Pastori, Serralvo, Francisco Antonio","REAd. Revista Eletrônica de Administração (Porto Alegre); 19(2); 401-432","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112013000200006&lang=pt" 
"S1413-23112013000200008-scl","Educação Ambiental e Gestão Ambiental no ativo Mossoró da Unidade RN/CE da Petrobras","Giesta, Lílian Caporlíngua","REAd. Revista Eletrônica de Administração (Porto Alegre); 19(2); 453-484","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112013000200008&lang=pt" 
"S1413-23112013000200009-scl","Ciclo de vida, sucessão e processo de governança em uma empresa familiar: um estudo de caso no Grupo Seculus","Cançado, Vera L., Lima, Juvêncio Braga de, Muylder, Cristiana Fernandes de, Castanheira, Ricardo Brandão","REAd. Revista Eletrônica de Administração (Porto Alegre); 19(2); 485-516","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112013000200009&lang=pt" 
"S1413-23112013000200010-scl","Vivências de prazer-sofrimento no trabalho do professor universitário: estudo de caso em uma instituição pública","Vilela, Elena Fátima, Garcia, Fernando Coutinho, Vieira, Adriane","REAd. Revista Eletrônica de Administração (Porto Alegre); 19(2); 517-540","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112013000200010&lang=pt" 
"S1413-23112013000200001-scl","Folga organizacional no processo de gestão do orçamento: um estudo no SENAC de Santa Catarina","Beuren, Ilse Maria, Wienhage, Paulo","REAd. Revista Eletrônica de Administração (Porto Alegre); 19(2); 274-300","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112013000200001&lang=pt" 
"S1413-23112013000200004-scl","Mensuração do comprometimento organizacional em redes de indústrias vitivinícolas brasileiras","Genari, Denise, Faccin, Kadígia, Macke, Janaína","REAd. Revista Eletrônica de Administração (Porto Alegre); 19(2); 351-383","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112013000200004&lang=pt" 
"S0103-65642013000200002-scl","Dor e Gozo: relatos de mulheres jovens sobre automutilações","Cedaro, José Juliano, Nascimento, Josiana Paula Gomes do","Psicologia USP; 24(2); 203-223","Psicologia USP","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642013000200002&lang=pt" 
"S0103-65642013000200004-scl","Psicanálise e medicina reprodutiva: possíveis colaborações e indesejáveis armadilhas","Perelson, Simone","Psicologia USP; 24(2); 241-262","Psicologia USP","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642013000200004&lang=pt" 
"S0103-65642013000200005-scl","Prevenção à violência no namoro e promoção de habilidades de vida em adolescentes","Murta, Sheila Giardini, Santos, Bruna Roberta Pereira dos, Nobre, Larissa Almeida, Araújo, Ivy Fonseca de, Miranda, Ana Aparecida Vilela, Rodrigues, Ísis de Oliveira, Franco, Claudio Teodoro Peixoto","Psicologia USP; 24(2); 263-288","Psicologia USP","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642013000200005&lang=pt" 
"S0103-65642013000200003-scl","La regulación emocional: precisiones y avances conceptuales desde la perspectiva conductual","Vargas Gutiérrez, Rochy Mercedes, Muñoz-Martínez, Amanda Milena","Psicologia USP; 24(2); 225-240","Psicologia USP","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642013000200003&lang=pt" 
"S0103-65642013000200007-scl","O processo de socialização e de solidariedade","Oliveira, Paulo de Salles","Psicologia USP; 24(2); 303-326","Psicologia USP","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642013000200007&lang=pt" 
"S1851-82652013000200010-arg","Salud Colectiva: informe de gestión editorial 2011-2012","Martinovich, Viviana, Di Cecco, Vanessa","Salud colectiva; 9(2); 257-264","Salud colectiva","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652013000200010&lang=pt" 
"S1851-82652013000200002-arg","Accidentes de trabajo fatales y violencia interpersonal en Brasil, 2000-2010","Santana, Vilma Sousa, Dias, Elizabeth Costa, Oliveira, Graziella Lage, Moura, Maria Cláudia Peres, Nobre, Leticia Coelho da Costa, Machado, Jorge Mesquita Huet","Salud colectiva; 9(2); 139-149","Salud colectiva","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652013000200002&lang=pt" 
"S1851-82652013000200006-arg","¿Salud y productividad?: sobre la formación de una analítica &quot;económica&quot; de la relación salud-trabajo (Argentina, 1900-1955)","Haidar, Victoria","Salud colectiva; 9(2); 195-214","Salud colectiva","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652013000200006&lang=pt" 
"S1851-82652013000200005-arg","Acoso escolar en la zona metropolitana de Guadalajara, México: prevalencia y factores asociados","Vega López, María Guadalupe, González Pérez, Guillermo Julián, Valle Barbosa, María Ana, Flores Villavicencio, María Elena, Vega López, Agustín","Salud colectiva; 9(2); 183-194","Salud colectiva","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652013000200005&lang=pt" 
"S1851-82652013000200003-arg","Significados y concepciones de la Enfermería: el punto de vista de estudiantes de la carrera de la Universidad Nacional de Lanús, 2008-2010","Arakaki, Jorge","Salud colectiva; 9(2); 151-167","Salud colectiva","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652013000200003&lang=pt" 
"S0102-311X2013001200024-spa","Álcool e outras drogas: diálogos sobre um mal-estar contemporâneo","Monteiro, Rita Maria Paiva","Cadernos de Saúde Pública; 29(8); 1693-1694","Cadernos de Saúde Pública","Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2013001200024&lang=pt" 
"S0102-311X2013001200023-spa","Antropologia médica: ancoragens locais, desafios globais","Castellanos, Marcelo Eduardo Pfeiffer","Cadernos de Saúde Pública; 29(8); 1691-1692","Cadernos de Saúde Pública","Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2013001200023&lang=pt" 
"S0102-311X2013001200001-spa","Por que recordar Sergio Arouca?","Almeida, Celia","Cadernos de Saúde Pública; 29(8); -","Cadernos de Saúde Pública","Inglês, Português, Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2013001200001&lang=pt" 
"S0102-311X2013000800002-scl","Atendimento psicológico às vítimas de catástrofes: estamos fazendo bem?","Coutinho, Evandro Silva Freire, Figueira, Ivan","Cadernos de Saúde Pública; 29(8); 1488-1490","Cadernos de Saúde Pública","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013000800002&lang=pt" 
"S0102-311X2013000800001-scl","Por que recordar Sergio Arouca?","Almeida, Celia","Cadernos de Saúde Pública; 29(8); -","Cadernos de Saúde Pública","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013000800001&lang=pt" 
"S0102-311X2013000800005-scl","Spatial distribution of dengue incidence and socio-environmental conditions in Campinas, São Paulo State, Brazil, 2007","Costa, José Vilton, Donalisio, Maria Rita, Silveira, Liciana Vaz de Arruda","Cadernos de Saúde Pública; 29(8); 1522-1532","Cadernos de Saúde Pública","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013000800005&lang=pt" 
"S0102-311X2013000800008-scl","Factors associated with smoking cessation in Brazil","Tejada, Cesar Augusto Oviedo, Ewerling, Fernanda, Santos, Anderson Moreira Aristides dos, Bertoldi, Andréa Dâmaso, Menezes, Ana Maria","Cadernos de Saúde Pública; 29(8); 1555-1564","Cadernos de Saúde Pública","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013000800008&lang=pt" 
"S0102-311X2013000800013-scl","Gastos das famílias brasileiras com medicamentos segundo a renda familiar: análise da Pesquisa de Orçamentos Familiares de 2002-2003 e de 2008-2009","Garcia, Leila Posenato, Sant&#039;Anna, Ana Cláudia, Magalhães, Luís Carlos Garcia de, Freitas, Lúcia Rolim Santana de, Aurea, Adriana Pacheco","Cadernos de Saúde Pública; 29(8); 1605-1616","Cadernos de Saúde Pública","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013000800013&lang=pt" 
"S0102-311X2013000800021-scl","Desafios da prática do acolhimento de surdos na atenção primária","Tedesco, Janaina dos Reis, Junges, José Roque","Cadernos de Saúde Pública; 29(8); 1685-1689","Cadernos de Saúde Pública","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013000800021&lang=pt" 
"S0102-311X2013000800018-scl","Access to prenatal care: assessment of the adequacy of different indices","Santos Neto, Edson Theodoro dos, Oliveira, Adauto Emmerich, Zandonade, Eliana, Leal, Maria do Carmo","Cadernos de Saúde Pública; 29(8); 1664-1674","Cadernos de Saúde Pública","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013000800018&lang=pt" 
"S0102-311X2013000800016-scl","Trends in non-AIDS-related causes of death among adults with HIV/AIDS, Brazil, 1999 to 2010","Fazito, Erika, Vasconcelos, Ana Maria Nogales, Pereira, Maurício Gomes, Rezende, Dilermando Fazito de","Cadernos de Saúde Pública; 29(8); 1644-1653","Cadernos de Saúde Pública","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013000800016&lang=pt" 
"S0102-311X2013000800017-scl","Family psychosocial characteristics, tobacco, alcohol, and other drug use, and teenage pregnancy","Faler, Camilia Susana, Câmara, Sheila Gonçalves, Aerts, Denise Rangel Ganzo de Castro, Alves, Gehysa Guimarães, Béria, Jorge Umberto","Cadernos de Saúde Pública; 29(8); 1654-1663","Cadernos de Saúde Pública","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013000800017&lang=pt" 
"S0102-311X2013000800020-scl","A metodologia da história oral de vida como estratégia humanizadora de aproximação entre cuidador/idoso","Mota, Carla Souza, Reginato, Valdir, Gallian, Dante Marcello Claramonte","Cadernos de Saúde Pública; 29(8); 1681-1684","Cadernos de Saúde Pública","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013000800020&lang=pt" 
