"S0004-282X2015001100972-scl","Friedrich Nietzsche: the wandering and learned neuropath under Dionisius","Gomes, Marleide da Mota","Arquivos de Neuro-Psiquiatria; 73(11); 972-975","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100972&lang=pt" 
"S0103-50532015001102339-scl","Facile Microwave-Assisted Synthesis of Lanthanide Doped CaTiO3 Nanocrystals","Pereira, Sandra C., Figueiredo, Alberthmeiry T., Barrado, Cristiano M., Stoppa, Marcelo H., Dwivedi, Yashashchandra, Li, Maximo S., Longo, Elson","Journal of the Brazilian Chemical Society; 26(11); 2339-2345","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102339&lang=pt" 
"S0103-50532015001102189-scl","Volatile Organic Compounds from Filamentous Fungi: a Chemotaxonomic Tool of the Botryosphaeriaceae Family","Oliveira, Francisco C., Barbosa, Francisco G., Mafezoli, Jair, Oliveira, Maria C. F., Camelo, André L. M., Longhinotti, Elisane, Lima, Ari C. A., Câmara, Marcos P. S., Gonçalves, Francisco J. T., Freire, Francisco C. O.","Journal of the Brazilian Chemical Society; 26(11); 2189-2194","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102189&lang=pt" 
"S0103-50532015001102307-scl","Chemical Constituents of the Seeds of Raphanus sativus and their Biological Activity","Kim, Ki Hyun, Moon, Eunjung, Lee, Seoung Rak, Park, Kyoung Jin, Kim, Sun Yeou, Choi, Sang Un, Lee, Kang Ro","Journal of the Brazilian Chemical Society; 26(11); 2307-2312","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102307&lang=pt" 
"S0103-50532015001102369-scl","Optimization of Parameters for Extraction of Avenanthramides from Oat (Avena sativa L.) Grain Using Response Surface Methodology (RSM)","Maliarova, Maria, Mrazova, Viera, Havrlentova, Michaela, Sokol, Jozef","Journal of the Brazilian Chemical Society; 26(11); 2369-2378","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102369&lang=pt" 
"S0103-50532015001102362-scl","Mechanism of Hop-Derived Terpenes Oxidation in Beer","Almeida, Natália E. C. de, Aguiar, Inara de, Cardoso, Daniel R.","Journal of the Brazilian Chemical Society; 26(11); 2362-2368","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102362&lang=pt" 
"S0103-50532015001102290-scl","Cinerascetins, New Peptides from Hypsiboas cinerascens: MALDI LIFT-TOF-MS/MS de novo Sequence and Imaging Analysis","Almeida, Richardson A., Gordo, Marcelo, Silva, Felipe M. A. da, Araújo, Rafael C. de, Ramada, Marcelo H. S., Abrão, Fernando Y., Costa, Túlio O. G., Koolen, Hector H. F., Souza, Afonso D. L. de, Bloch Jr., Carlos","Journal of the Brazilian Chemical Society; 26(11); 2290-2297","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102290&lang=pt" 
"S0103-50532015001102249-scl","Removal of Lead(II), Copper(II) and Zinc(II) Ions from Aqueous Solutions Using Magnetic Amine-Functionalized Mesoporous Silica Nanocomposites","Mehdinia, Ali, Shegefti, Sahar, Shemirani, Farzaneh","Journal of the Brazilian Chemical Society; 26(11); 2249-2257","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102249&lang=pt" 
"S0103-50532015001102195-scl","Binary Micellar Solutions of Poly(Ethylene Oxide)-Poly(Styrene Oxide) Copolymers with Pluronic® P123: Drug Solubilisation and Cytotoxicity Studies","Oliveira, Samira A., Moura, Carolina L., Cavalcante, Igor M., Lopes, Amanda Araújo, Leal, Luzia K. A. M., Gramosa, Nilce V., Ribeiro, Maria E. N. P., França, Francisco C. F., Yeates, Stephen G., Ricardo, Nágila M. P. S.","Journal of the Brazilian Chemical Society; 26(11); 2195-2204","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102195&lang=pt" 
"S0103-50532015001102313-scl","Electrosynthesis and Characterisation of Polymer Nanowires from Thiophene and its Oligomers","del Valle, María Angelica, Ramos, Andrea C., Diaz, Fernando R., Gacitua, Manuel A.","Journal of the Brazilian Chemical Society; 26(11); 2313-2320","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102313&lang=pt" 
"S0103-50532015001102331-scl","Evaluation of Monolithic and Core-Shell Columns for Separation of Triazine Herbicides by Reversed Phase High Performance Liquid Chromatography","Urio, Ricardo P., Masini, Jorge C.","Journal of the Brazilian Chemical Society; 26(11); 2331-2338","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102331&lang=pt" 
"S0103-50532015001102321-scl","Piperamides from Piper ottonoides by NMR and GC-MS Based Mixture Analysis","Wolff, Thiago, Santos, Priscila F. P., Valente, Ligia M. M., Magalhães, Alvicler, Tinoco, Luzineide W., Pereira, Rita C. A., Guimarães, Elsie F.","Journal of the Brazilian Chemical Society; 26(11); 2321-2330","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102321&lang=pt" 
"S0103-50532015001102214-scl","Facile Method to Tune the Particle Size and Thermal Stability of Magnetite Nanoparticles","Singh, Loushambam H., Pati, Sudhanshu S., Sales, Maria J. A., Guimarães, Edi M., Oliveira, Aderbal C., Garg, Vijayendra K.","Journal of the Brazilian Chemical Society; 26(11); 2214-2223","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102214&lang=pt" 
"S0103-50532015001102205-scl","Determination of Parabens in Surface Water from Mogi Guaçu River (São Paulo, Brazil) Using Dispersive Liquid-Liquid Microextraction Based on Low Density Solvent and LC-DAD","Galinaro, Carlos A., Pereira, Fabiana M., Vieira, Eny M.","Journal of the Brazilian Chemical Society; 26(11); 2205-2213","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102205&lang=pt" 
"S0103-50532015001102224-scl","Effects of Methyl-Substituted Phenanthrolines on the Performance of Ruthenium(II) Dye-Sensitizers","Müller, Andressa V., Mendonça, Poliana S., Parant, Stéphane, Duchanois, Thibaut, Gros, Philippe C., Beley, Marc, Polo, André S.","Journal of the Brazilian Chemical Society; 26(11); 2224-2232","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102224&lang=pt" 
"S0103-50532015001102379-scl","Selective Oxidation of Amorphous Carbon by CO2 to Produce Fe@C Nanoparticles from Bulky Fe/C Matrices","Mendonça, Fernanda G., Ardisson, José D., Lago, Rochel M., Tristão, Juliana C.","Journal of the Brazilian Chemical Society; 26(11); 2379-2383","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102379&lang=pt" 
"S1414-40772015000300741-scl","Docentes investigadores de programas de Pós-graduação em educação no Brasil: estudo sobre o uso de recursos informáticos no processo de pesquisa","Teixeira, Ricardo Antonio Gonçalves, Souza, Francislê Neri de, Vieira, Rui Marques","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 20(3); 741-768","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772015000300741&lang=pt" 
"S1414-40772015000300779-scl","Trabajo social y conocimiento transnacional – Reflexiones sobre la construcción del conocimiento en el marco del proyecto RELETRAN","Kniffki, Johannes, Reutlinger, Christian","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 20(3); 779-809","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772015000300779&lang=pt" 
"S1414-40772015000300665-scl","Controle do trabalho docente: provocações foucaultianas para análise da gestão universitária","Mendonça Neto, Octavio Ribeiro de, Antunes, Maria Thereza Pompa, Vieira, Almir Martins","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 20(3); 665-683","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772015000300665&lang=pt" 
"S1414-40772015000300603-scl","Avaliação e regulação da educação superior: uma análise a partir dos primeiros 10 anos do SINAES()","Verhine, Robert E","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 20(3); 603-619","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772015000300603&lang=pt" 
"S1414-40772015000300685-scl","Metodologia para avaliar a responsabilidade social das universidades públicas","Nascimento, José Mancinelli Lêdo do, Curi, Rosires Catão, Curi, Wilson Fadlo, Souza, Cleber Brito de","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 20(3); 685-702","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772015000300685&lang=pt" 
"S1414-40772015000300621-scl","A trajetória da criação dos Bacharelados Interdisciplinares na Universidade Federal da Bahia","Veras, Renata Meira, Lemos, Denise Vieira da Silva, Macedo, Brian Teles Fonseca","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 20(3); 621-641","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772015000300621&lang=pt" 
"S1414-40772015000300577-scl","Editorial","DIAS Sobrinho, José","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 20(3); 577-580","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772015000300577&lang=pt" 
"S1414-40772015000300703-scl","O lugar da pesquisa qualitativa na avaliação de políticas e programas sociais","Falsarella, Ana Maria","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 20(3); 703-715","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772015000300703&lang=pt" 
"S0103-50532015001102169-scl","Chemistry of Our Oceans","Hatje, Vanessa","Journal of the Brazilian Chemical Society; 26(11); 2169-2170","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102169&lang=pt" 
"S0103-50532015001102171-scl","Metal Oxide/Gold Hybrid Nanocomposites as Electrocatalysts for Alkaline Air Electrodes","Pasqualeti, Anielli M., Oliveira, Francisca E. R., Lima, Fabio H. B.","Journal of the Brazilian Chemical Society; 26(11); 2171-2174","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102171&lang=pt" 
"S2236-99962015000200371-scl","Dinâmicas sociogeográficas e políticas na Área Metropolitana de Lisboa em tempos de crise e de austeridade","Seixas, João, Tulumello, Simone, Corvelo, Susana, Drago, Ana","Cadernos Metrópole; 17(34); 371-399","Cadernos Metrópole","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-99962015000200371&lang=pt" 
"S0103-50532015001102298-scl","Synthesis of 3-(1H-1,2,3-Triazol-1-yl)-2-(arylselanyl)pyridines by Copper-Catalyzed 1,3-Dipolar Cycloaddition of 2-(Arylselanyl)-3-azido-pyridines with Terminal Alkynes","Schumacher, Ricardo F., Von Laer, Patrick B., Betin, Eduardo S., Cargnelutti, Roberta, Perin, Gelson, Alves, Diego","Journal of the Brazilian Chemical Society; 26(11); 2298-2306","Journal of the Brazilian Chemical Society","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532015001102298&lang=pt" 
"S0103-84782015011200001-scl","Pesquisa analisa compostos bioativos de diferentes cultivares de macieira","Zucoloto, Moises","Ciência Rural; 45(11); 1-1","Ciência Rural","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015011200001&lang=pt" 
"S0103-84782015011200002-scl","Estudo demonstra que carrapato Rhipicephalus microplususa odor para diferenciar hospedeiros","Borges, Lígia Ferreira","Ciência Rural; 45(11); 2-2","Ciência Rural","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015011200002&lang=pt" 
"S0103-166X2015010500001-scl","Estudo revela como crianças com câncer expressam dor","Siqueira, Hilze Benigno de Oliveira Moura","Estudos de Psicologia (Campinas); 32(4); 1-1","Estudos de Psicologia (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2015010500001&lang=pt" 
"S0103-166X2015010500002-scl","The twice exceptional: gifted children who suffer from a disability","Pfeiffer, Steven I.","Estudos de Psicologia (Campinas); 32(4); 2-2","Estudos de Psicologia (Campinas)","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2015010500002&lang=pt" 
"S0103-166X2015010500003-scl","Como alcançar a excelência profissional?","Almeida, Leandro da Silva","Estudos de Psicologia (Campinas); 32(4); 3-3","Estudos de Psicologia (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2015010500003&lang=pt" 
"S0100-72032015001100533-scl","Limitações e controvérsias na determinação do valor preditivo de critérios de morfologia oocitária e embrionária","Figueira, Rita de Cássia Savio, Aoki, Tsutomu, Borges Junior, Edson","Revista Brasileira de Ginecologia e Obstetrícia; 37(11); 533-546","Revista Brasileira de Ginecologia e Obstetrícia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015001100533&lang=pt" 
"S1726-569X2015000200009-chl","Enhancing John Rawls’s theory of justice to cover health and social determinants of health","Ekmekci, Perihan Elif, Arda, Berna","Acta bioethica; 21(2); 227-236","Acta bioethica","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200009&lang=pt" 
"S1726-569X2015000200007-chl","Obligación ética y jurídica de prevenir y reducir al máximo la aparición de nuevas discapacidades en las personas mayores en Chile","Riveros Ferrada, Carolina, Barcia Lehmann, Rodrigo","Acta bioethica; 21(2); 207-215","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200007&lang=pt" 
"S1726-569X2015000200011-chl","Consideraciones bioéticas y jurídicas sobre la biotecnología con fines eugenésicos","Emaldi Cirión, Aitziber","Acta bioethica; 21(2); 247-257","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200011&lang=pt" 
"S1726-569X2015000200014-chl","Modelos de análisis de casos en ética clínica","López Barreda, Rodrigo","Acta bioethica; 21(2); 281-290","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200014&lang=pt" 
"S1726-569X2015000200010-chl","La aportación de la hermenéutica a la bioética ambiental ante el dilema biocentrismo versus antropocentrismo en la era de la globalización","Aguirre Sala, Jorge Francisco","Acta bioethica; 21(2); 237-246","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200010&lang=pt" 
"S1726-569X2015000200008-chl","El &quot;ethos&quot; de la ciencia y el estatuto de la bioética","Seguró, Miquel","Acta bioethica; 21(2); 217-225","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200008&lang=pt" 
"S1726-569X2015000200005-chl","Estudio piloto en cuidadores de pacientes con enfermedades neurológicas, sobre el significado y conocimiento de cuidados paliativos","Trujillo de los Santos, Zoila, Paz-Rodríguez, Francisco, Sánchez Guzmán, María Alejandra, Nava García, Guadalupe, Zamora R., Patricia, García Pastrana, Claudia, Ochoa Morales, Adriana, Medina Durán, María del Refugio","Acta bioethica; 21(2); 191-198","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200005&lang=pt" 
"S1726-569X2015000200006-chl","Vejez y soledad: implicancias a partir de la construcción de la noción de riesgo","Gajardo Jauregui, Jean","Acta bioethica; 21(2); 199-205","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200006&lang=pt" 
"S1726-569X2015000200012-chl","La historia clínica en salud mental","Ramos Pozón, Sergio","Acta bioethica; 21(2); 259-268","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200012&lang=pt" 
"S1726-569X2015000200003-chl","End-of-Life decisions: a survey of the perspectives of people in Korea, China, and Japan","Kwon, Ivo, Hattori, Kenji, Lee, Kook-bong, Kim, Claire Junga","Acta bioethica; 21(2); 173-182","Acta bioethica","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200003&lang=pt" 
"S1726-569X2015000200016-chl","Bioethical Positioning of Spanish Health Professionals: A Semi-Quantitative Study","Losa Iglesias, Marta Elena, Becerro de Bengoa Vallejo, Ricardo","Acta bioethica; 21(2); 301-309","Acta bioethica","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200016&lang=pt" 
"S1726-569X2015000200002-chl","Aspectos bioético-jurídicos de las instrucciones previas o testamento vital en el contexto normativo español","Atienza Macías, Elena, Armaza Armaza, Emilio José, de Miguel Beriain, Íñigo","Acta bioethica; 21(2); 163-172","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200002&lang=pt" 
"S1726-569X2015000200017-chl","La ética del cuidado y su aplicación en la profesión enfermera","García Moyano, Loreto","Acta bioethica; 21(2); 311-317","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200017&lang=pt" 
"S1726-569X2015000200015-chl","New technologies in biomedicine: Opinions of young Romanian physicians","Hostiuc, Sorin, Buda, Octavian, Mihailov, Claudia Ileana, Hostiuc, Mihaela","Acta bioethica; 21(2); 291-300","Acta bioethica","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200015&lang=pt" 
"S1726-569X2015000200013-chl","Información sesgada en torno a los alimentos genéticamente modificados","Viedma Viedma, Inmaculada, Serrano Megías, Marta, Balanza Galindo, Serafín, López Nicolás, José Manuel","Acta bioethica; 21(2); 269-279","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200013&lang=pt" 
"S1726-569X2015000200022-chl","","Lolas Stepke, Fernando","Acta bioethica; 21(2); 327-327","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200022&lang=pt" 
"S1726-569X2015000200018-chl","En torno de la integridad científica: Reflexiones sobre el Cuarto Congreso Mundial de Integridad en la Investigación, Río de Janeiro, Mayo 31-Junio3, 2015","Lolas Stepke, Fernando","Acta bioethica; 21(2); 319-320","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200018&lang=pt" 
"S1726-569X2015000200001-chl","Situaciones límite en bioética: 15° Aniversario de Acta Bioethica","Stepke, Fernando Lolas","Acta bioethica; 21(2); 161-162","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200001&lang=pt" 
"S1726-569X2015000200019-chl","Congreso Internacional sobre Avances en Bioética: Ciudad de Guadalajara, Jalisco, México","Mercado Velázquez, Gabriel","Acta bioethica; 21(2); 321-321","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200019&lang=pt" 
"S1726-569X2015000200020-chl","La casa de Dios","Lolas Stepke, Fernando","Acta bioethica; 21(2); 323-324","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200020&lang=pt" 
"S1726-569X2015000200021-chl","","Lolas Stepke, Fernando","Acta bioethica; 21(2); 325-326","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200021&lang=pt" 
"S1726-569X2015000200004-chl","Valoración ética de la craneoplastia con vendaje compresivo como forma de limitación de tratamientos de soporte vital","Canabal Berlanga, Alfonso, Jara Rascón, José, Gómez Rodríguez, Rafael, Abengózar Muela, Ricardo, Ruiz Hornillos, Francisco Javier, Moreno Villares, José Manuel, de Santiago Corchado, Manuel, Viejo Llorente, L. Fernando, Abellán Salort, José Carlos, Gándara del Castillo, Álvaro","Acta bioethica; 21(2); 183-189","Acta bioethica","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2015000200004&lang=pt" 
"S1688-70262015000200013-ury","El acompañamiento y el cuidado de los equipos en la Psicología Comunitaria: Un modelo teórico y práctico","","Psicología, Conocimiento y Sociedad; 5(2); 13-13","Psicología, Conocimiento y Sociedad","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262015000200013&lang=pt" 
"S1688-70262015000200016-ury","Comisión Sectorial de Extensión y Actividades en el Medio. (2015).: Co-producción de conocimiento en la integralidad.","Montes, Cecilia","Psicología, Conocimiento y Sociedad; 5(2); 16-16","Psicología, Conocimiento y Sociedad","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262015000200016&lang=pt" 
"S1688-70262015000200017-ury","La dimensión ética en Psicología Comunitaria: Orientaciones específicas para la Práctica y la Formación.","Recto Álvarez, Gabby, De la Cuesta, Patricia","Psicología, Conocimiento y Sociedad; 5(2); 17-17","Psicología, Conocimiento y Sociedad","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262015000200017&lang=pt" 
"S1688-70262015000200001-ury","Editorial","López, Laura, Rodríguez, Alicia","Psicología, Conocimiento y Sociedad; 5(2); 1-1","Psicología, Conocimiento y Sociedad","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262015000200001&lang=pt" 
"S1688-70262015000200005-ury","Reflexiones e interrogantes sobre la construcción interdisciplinaria en la praxis: Reflections and questions on the interdisciplinary construction in praxis","López, Sandra","Psicología, Conocimiento y Sociedad; 5(2); 5-5","Psicología, Conocimiento y Sociedad","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262015000200005&lang=pt" 
"S1688-70262015000200006-ury","Repensar la Comunidad desde La Base: aportes de una investigación situada","Osorio, María","Psicología, Conocimiento y Sociedad; 5(2); 7-7","Psicología, Conocimiento y Sociedad","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262015000200006&lang=pt" 
"S1688-70262015000200002-ury","Consideraciones sobre el Trabajo Comunitario desde la perspectiva de equipos estatales y ONG","Barrault, Omar, Chena, Marina, Muro, Julio, Plaza, Silvia, Diaz, Ines","Psicología, Conocimiento y Sociedad; 5(2); 2-2","Psicología, Conocimiento y Sociedad","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262015000200002&lang=pt" 
"S1688-70262015000200004-ury","Sindicalismo: continuidad o ruptura. Reflexiones compartidas en torno a la acción colectiva con las trabajadoras del hogar y el cuidado","Fulladosa, Karina","Psicología, Conocimiento y Sociedad; 5(2); 4-4","Psicología, Conocimiento y Sociedad","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262015000200004&lang=pt" 
"S1688-70262015000200012-ury","Hacia una Psicología Social Comunitaria del Sur","Rozas, Germán","Psicología, Conocimiento y Sociedad; 5(2); 12-12","Psicología, Conocimiento y Sociedad","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262015000200012&lang=pt" 
"S1688-70262015000200014-ury","Las intermitencias de la participación comunitaria: Ambigüedades y retos para su investigación y práctica","Wiesenfeld, Esther","Psicología, Conocimiento y Sociedad; 5(2); 14-14","Psicología, Conocimiento y Sociedad","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262015000200014&lang=pt" 
"S1688-423X2015000300002-ury","Cardiotoxicidad inducida por Trastuzumab en pacientes uruguayas portadoras de cáncer de mama HER positivo","Camejo, Natalia, Schiavone, Andrea, Díaz, Mariana, Reborido, Natalia, Castillo, Cecilia, Parma, Gabriel, Vázquez, Horacio, Vázquez, Alvaro, Krygier, Gabriel, Delgado, Lucía","Archivos de Medicina Interna; 37(3); 109-113","Archivos de Medicina Interna","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-423X2015000300002&lang=pt" 
"S1688-423X2015000300007-ury","Epidermólisis ampollosa congénita: a propósito de un caso","Tabares, Fernando, Díaz, Carolina, Más, Valentina, Monteghirfo, Raquel","Archivos de Medicina Interna; 37(3); 135-139","Archivos de Medicina Interna","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-423X2015000300007&lang=pt" 
"S1688-423X2015000300009-ury","Pileflebitis: Un desafío diagnóstico","Correa, Selene, Valiño, José, Dufrechou, Carlos","Archivos de Medicina Interna; 37(3); 144-146","Archivos de Medicina Interna","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-423X2015000300009&lang=pt" 
"S1688-423X2015000300005-ury","Síndrome de Austrian: Presentación de dos casos clínicos y revisión de la literatura","Botta, Cecilia, Marchissio, Elizabeth, Ferrero, Leticia, Perendones, Mercedes, Goñi, Mabel","Archivos de Medicina Interna; 37(3); 127-130","Archivos de Medicina Interna","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-423X2015000300005&lang=pt" 
"S1688-423X2015000300011-ury","Primera experiencia de tratamiento con everolimus en un paciente con esclerosis tuberosa y astrocitoma subependimario de células gigantes en Uruguay","Costales, Diego, Medici, Conrado, Cerisola, Alfredo, Costa, Gonzalo, Turcati, Emilio, Dufort, Gustavo, Gonzalez, Gabriel","Archivos de Medicina Interna; 37(3); 150-153","Archivos de Medicina Interna","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-423X2015000300011&lang=pt" 
"S1688-423X2015000300006-ury","Síndrome de Brugada: a propósito de dos casos clínicos","Ventura, Verónica, Perendones, Mercedes, Rubiños, Melina, Pintos, Marcos, Vega, Gustavo","Archivos de Medicina Interna; 37(3); 131-134","Archivos de Medicina Interna","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-423X2015000300006&lang=pt" 
"S1688-423X2015000300013-ury","Traumatismo cráneo-encefálico (TCE) y anticoagulación: Aspectos esenciales.","Quintana Díaz, Manuel, Rodiles Heredia, Roswell E., García Erce, José Antonio","Archivos de Medicina Interna; 37(3); 158-162","Archivos de Medicina Interna","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-423X2015000300013&lang=pt" 
"S1688-423X2015000300010-ury","Magia, religión y medicina","Díaz Berenguer, Álvaro","Archivos de Medicina Interna; 37(3); 147-149","Archivos de Medicina Interna","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-423X2015000300010&lang=pt" 
