"S1517-97022015000300743-scl","Aspectos da resistência na atividade docente","Vieira, Almir Martins, Mendonça Neto, Octavio Ribeiro de, Antunes, Maria Thereza Pompa","Educação e Pesquisa; 41(3); 743-756","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000300743&lang=pt" 
"S1516-73132015000300004-scl","Políticas públicas para formação de professores de Ciências e Matemática: complementação pedagógica para bacharéis e tecnólogos","Vieira, Klyvia Larissa de Andrade Silva, Santos, Silmary Silva dos","Ciência &amp; Educação (Bauru); 21(3); 575-584","Ciência &amp; Educação (Bauru)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132015000300004&lang=pt" 
"S1807-55092015000300345-scl","Correlação entre instrumentos de avaliação da funcionalidade e equilíbrio em pacientes com artrite reumatoide","LOURENÇO, Mariana de Almeida, ROMA, Izabela, ASSIS, Marcos Renato de","Revista Brasileira de Educação Física e Esporte; 29(3); 345-353","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000300345&lang=pt" 
"S1807-55092015000300453-scl","Atitudes em relação ao exercício e insatisfação com a imagem corporal de frequentadores de academia","COSTA, Ana Carolina Pereira, TORRE, Mariana Carvalho de Moura Della, ALVARENGA, Marle dos Santos","Revista Brasileira de Educação Física e Esporte; 29(3); 453-464","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000300453&lang=pt" 
"S0036-46652015000800057-scl","SUSCEPTIBILITY TEST FOR FUNGI: CLINICAL AND LABORATORIAL CORRELATIONS IN MEDICAL MYCOLOGY","ALASTRUEY-IZQUIERDO, Ana, MELHEM, Marcia S.C., BONFIETTI, Lucas X., RODRIGUEZ-TUDELA, Juan L.","Revista do Instituto de Medicina Tropical de São Paulo; 57(); 57-64","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652015000800057&lang=pt" 
"S0036-46652015000800051-scl","THE TREATMENT OF COCCIDIOIDOMYCOSIS","AMPEL, Neil M.","Revista do Instituto de Medicina Tropical de São Paulo; 57(); 51-56","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652015000800051&lang=pt" 
"S0036-46652015000800038-scl","LATERAL FLOW ASSAY FOR CRYPTOCOCCAL ANTIGEN: AN IMPORTANT ADVANCE TO IMPROVE THE CONTINUUM OF HIV CARE AND REDUCE CRYPTOCOCCAL MENINGITIS-RELATED MORTALITY","VIDAL, Jose E., BOULWARE, David R.","Revista do Instituto de Medicina Tropical de São Paulo; 57(); 38-45","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652015000800038&lang=pt" 
"S0036-46652015000800031-scl","PARACOCCIDIOIDOMYCOSIS TREATMENT","SHIKANAI-YASUDA, Maria Aparecida","Revista do Instituto de Medicina Tropical de São Paulo; 57(); 31-37","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652015000800031&lang=pt" 
"S0036-46652015000800025-scl","Paracoccidioides brasiliensis AND Paracoccidioides lutzii, A SECRET LOVE AFFAIR","ARANTES, Thales Domingos, BAGAGLI, Eduardo, NIÑO-VEGA, Gustavo, SAN-BLAS, Gioconda, THEODORO, Raquel Cordeiro","Revista do Instituto de Medicina Tropical de São Paulo; 57(); 25-30","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652015000800025&lang=pt" 
"S0100-29452015000300588-scl","TRATAMENTO COM CLORETO DE CÁLCIO NA PÓS-COLHEITA RETARDA O DESVERDECIMENTO E A PERDA DE FIRMEZA DO MAMÃO UENF/CALIMAN01","SILVA, WILLIAN BATISTA, SILVA, GLÁUCIA MICHELLE COSME, SILVA, LIGIA RENATA DA, WALDMAN, WALTER RUGGERI, OLIVEIRA, JURANDI GONÇALVES DE","Revista Brasileira de Fruticultura; 37(3); 588-599","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300588&lang=pt" 
"S0036-46652015000800011-scl","EPIDEMIOLOGY OF PARACOCCIDIOIDOMYCOSIS","MARTINEZ, Roberto","Revista do Instituto de Medicina Tropical de São Paulo; 57(); 11-20","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652015000800011&lang=pt" 
"S1806-66902015000300661-scl","ERRATA","","Revista Ciência Agronômica; 46(3); 661-661","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300661&lang=pt" 
"S0718-92732015000200010-chl","Fe y cultura en las reflexiones teológicas de Comblin, Scannone y Trigo: convergencias y diferencias","Niño de Zepeda Gumucio, Rafael","Veritas; (33); 183-201","Veritas","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732015000200010&lang=pt" 
"S0718-92732015000200001-chl","Fe y razón en la filosofía católica: la propuesta de Alasdair MacIntyre","Orrego Sánchez, Cristóbal","Veritas; (33); 9-23","Veritas","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732015000200001&lang=pt" 
"S0718-92732015000200005-chl","El lugar de la fenomenología en el debate de la reciente filosofía de la imagen","Rubio, Roberto","Veritas; (33); 89-101","Veritas","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732015000200005&lang=pt" 
"S0718-92732015000200004-chl","El «enfoque de las capacidades» de Martha Nussbaum frente el problema de la ética animal","Martínez Becerra, Pablo","Veritas; (33); 71-87","Veritas","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732015000200004&lang=pt" 
"S1679-45082015000300423-scl","Tuberculosis axillary lymph node coexistent breast cancer in adjuvant treatment: case report","Bromberg, Silvio Eduardo, Amaral, Paulo Gustavo Tenório do","Einstein (São Paulo); 13(3); 423-425","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300423&lang=pt" 
"S1679-45082015000300420-scl","Giant prostatic hyperplasia: report of a previously asymptomatic man presenting with gross hematuria and hypovolemic shock","Wroclawski, Marcelo Langer, Carneiro, Ariê, Tristão, Rodrigo Alves, Sakuramoto, Paulo Kouiti, Youssef, Jorg Daoud Merched, Lopes Neto, Antonio Correa, Santiago, Lucila Heloísa Simardi, Pompeo, Antonio Carlos Lima","Einstein (São Paulo); 13(3); 420-422","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300420&lang=pt" 
"S1679-45082015000300426-scl","Extensive cervical lymphadenitis mimicking bacterial adenitis as the first presentation of Kawasaki disease","Rossi, Felipe de Souza, Silva, Marco Felipe Castro da, Kozu, Kátia Tomie, Camargo, Luís Fernando Aranha, Rossi, Flávia Feijó Panico, Silva, Clovis Artur, Campos, Lúcia Maria de Arruda","Einstein (São Paulo); 13(3); 426-429","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300426&lang=pt" 
"S2317-15372015000300248-scl","GerminaQuant: a new tool for germination measurements","Marques, Felipe Rafael Ferreira, Meiado, Marcos Vinicius, Castro, Natália Maria Corte Real de, Campos, Mariana Lins de Oliveira, Mendes, Keila Rêgo, Santos, Orlando de Oliveira dos, Pompelli, Marcelo Francisco","Journal of Seed Science; 37(3); 248-255","Journal of Seed Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-15372015000300248&lang=pt" 
"S1679-45082015000300417-scl","Breast necrosis induced by the use of coumadin: case report and review of literature","Ejzenberg, Dani, Neusquen, Lucienne Pereira Del Grossi, Rolnik, Daniel Lorber, Lozinsky, Adriana Chebar, Piato, José Roberto Morales","Einstein (São Paulo); 13(3); 417-419","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300417&lang=pt" 
"S1015-51632015000300004-sza","Tackle-injury epidemiology in koshuis rugby players at Stellenbosch University","Mathewson, E, Grobbelaar, R","South African Journal of Sports Medicine; 27(3); 72-75","South African Journal of Sports Medicine","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1015-51632015000300004&lang=pt" 
"S1015-51632015000300005-sza","Cricket pace bowling: The trade-off between optimising knee angle for performance advantages v. injury prevention","Olivier, B, Stewart, A V, Green, A C, McKinon, W","South African Journal of Sports Medicine; 27(3); 76-81","South African Journal of Sports Medicine","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1015-51632015000300005&lang=pt" 
"S1015-51632015000300006-sza","Identifying risk factors that contribute to acute mountain sickness","Mahomed, Z, Martin, D, Gilbert, E, Grant, C C, Patricios, J, Motara, F","South African Journal of Sports Medicine; 27(3); 82-86","South African Journal of Sports Medicine","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1015-51632015000300006&lang=pt" 
"S1015-51632015000300007-sza","Role of parents as a protective factor against adolescent athletes&#039; doping susceptibility","Blank, C, Leichtfried, V, Müller, D, Schobersberger, W","South African Journal of Sports Medicine; 27(3); 87-91","South African Journal of Sports Medicine","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1015-51632015000300007&lang=pt" 
"S1015-51632015000300003-sza","Initial investigation of nutrition and supplement use, knowledge and attitudes of under-16 rugby players in South Africa","Duvenage, K M, Meltzer, S T, Chantler, S A","South African Journal of Sports Medicine; 27(3); 67-71","South African Journal of Sports Medicine","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1015-51632015000300003&lang=pt" 
"S1679-45082015000300370-scl","Clinical characteristics and long-term progression of young patients with acute coronary syndrome in Brazil","Soeiro, Alexandre de Matos, Fernandes, Felipe Lourenço, Soeiro, Maria Carolina Feres de Almeida, Serrano Jr, Carlos Vicente, Oliveira Jr, Múcio Tavares de","Einstein (São Paulo); 13(3); 370-375","Einstein (São Paulo)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082015000300370&lang=pt" 
"S1516-73132015000300001-scl","Os mestrados profissionais em ensino das ciências da natureza no Brasil","Ostermann, Fernanda, Rezende, Flávia","Ciência &amp; Educação (Bauru); 21(3); I-III","Ciência &amp; Educação (Bauru)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132015000300001&lang=pt" 
"S0718-92732015000200009-chl","Camino sin camino: Una reflexión filosófica actual desde la mística de Eckhart y Silesius","Arias Sanabria, Carlos Arturo","Veritas; (33); 159-181","Veritas","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732015000200009&lang=pt" 
"S0718-92732015000200008-chl","Dificultades y proyecciones en la relación entre salud y espiritualidad","Agostini Fernandes, Leonardo","Veritas; (33); 143-158","Veritas","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732015000200008&lang=pt" 
"S0718-92732015000200003-chl","Experiencia de los principios morales: Kant y Tomás de Aquino","Elton, María","Veritas; (33); 45-69","Veritas","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732015000200003&lang=pt" 
"S0718-92732015000200002-chl","]¿A quién esperar en tiempos de globalización?: Entre Benedicto XVI y Alasdair MacIntyre","Serrano del Pozo, Ignacio","Veritas; (33); 25-42","Veritas","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732015000200002&lang=pt" 
"S0718-92732015000200007-chl","La imaginación en la tradición metafísico-mística: de Platón a Marsilio Ficino","Walerich, Alicja","Veritas; (33); 123-142","Veritas","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732015000200007&lang=pt" 
"S0718-92732015000200006-chl","Aspectos antiaristotélicos de la coincidentia oppositorum en Nicolás de Cusa","Núñez, Rodrigo","Veritas; (33); 103-120","Veritas","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732015000200006&lang=pt" 
"S1646-59542015000300006-prt","¿Hacia una investigación estandarizada?","Goyanes, Manuel","Observatorio (OBS*); 9(3); 85-99","Observatorio (OBS*)","Espanhol","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-59542015000300006&lang=pt" 
"S0101-32892015000300301-scl","¿Qué es esa cosa llamada educación física? Reseña del libro Epistemologia, ensino e crítica: desafios contemporâneos para a Educação Física","Gambarotta, Emiliano Matías","Revista Brasileira de Ciências do Esporte; 37(3); 301-303","Revista Brasileira de Ciências do Esporte","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892015000300301&lang=pt" 
"S0101-32892015000300299-scl","História dos megaeventos esportivos no Brasil","Dias, Cleber Augusto Gonçalves","Revista Brasileira de Ciências do Esporte; 37(3); 299-300","Revista Brasileira de Ciências do Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892015000300299&lang=pt" 
"S1807-55092015000300475-scl","Inserção profissional e formação continuada de egressos de cursos de graduação em Educação Física","SALLES, William das Neves, FARIAS, Gelcemar Oliveira, NASCIMENTO, Juarez Vieira do","Revista Brasileira de Educação Física e Esporte; 29(3); 475-486","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000300475&lang=pt" 
"S1807-55092015000300383-scl","Os Jogos Olímpicos na Cidade do México 1968: discursos oficiais, da mídia e da literatura científica","ALMEIDA, Bárbara Schausteck de, CAPRARO, André Mendes, MARCHI JUNIOR, Wanderley","Revista Brasileira de Educação Física e Esporte; 29(3); 383-393","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000300383&lang=pt" 
"S0036-46652015000800046-scl","CHROMOBLASTOMYCOSIS: A NEGLECTED TROPICAL DISEASE","QUEIROZ-TELLES, Flavio","Revista do Instituto de Medicina Tropical de São Paulo; 57(); 46-50","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652015000800046&lang=pt" 
"S0100-29452015000300656-scl","DISTRIBUIÇÃO POTENCIAL DE OLIVEIRAS NO BRASIL E NO MUNDO","WREGE, MARCOS SILVEIRA, COUTINHO, ENILTON FICK, PANTANO, ANGÉLICA PRELA, JORGE, ROGÉRIO OLIVEIRA","Revista Brasileira de Fruticultura; 37(3); 656-666","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300656&lang=pt" 
"S1807-55092015000300421-scl","A ambientalização curricular de programas de Educação Física em universidades federais do Brasil","RODRIGUES, Cae","Revista Brasileira de Educação Física e Esporte; 29(3); 421-437","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000300421&lang=pt" 
"S0100-29452015000300559-scl","APPLICATION OF OZONE AIMING TO KEEP THE QUALITY OF STRAWBERRIES USING A LOW COST REACTOR","MORAIS, MÔNICA LOPES, ALVINHÃO, JÉSSICA ELLEN OLIVEIRA, FRANCO, DÉBORA VILELA, SILVA, ENILSON DE BARROS, PINTO, NÍSIA ANDRADE VILLELA DESSIMONI","Revista Brasileira de Fruticultura; 37(3); 559-567","Revista Brasileira de Fruticultura","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300559&lang=pt" 
"S0100-29452015000300764-scl","ADUBAÇÃO N-K NO ABACAXIZEIRO ‘BRS IMPERIAL’ – II EFEITO NO SOLO, NA NUTRIÇÃO DA PLANTA E NA PRODUÇÃO","OLIVEIRA, ARLENE MARIA GOMES, NATALE, WILLIAM, ROSA, RAUL CASTRO CARRIELLO, JUNGHANS, DAVI THEODORO","Revista Brasileira de Fruticultura; 37(3); 764-772","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300764&lang=pt" 
"S1807-55092015000300497-scl","Efeito da atividade esportiva sistematizada sobre o desenvolvimento motor de crianças de sete a 10 anos","SANTOS, Camila Ramos dos, SILVA, Carla Cristiane da, DAMASCENO, Mara Laiz, MEDINA-PAPST, Josiane, MARQUES, Inara","Revista Brasileira de Educação Física e Esporte; 29(3); 497-506","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000300497&lang=pt" 
"S0100-29452015000300739-scl","ENRAIZAMIENTO DE VITROPLANTAS DE MEMBRILLO (Cydonia oblonga) POR MEDIO DE INMERSIÓN TEMPORAL AUTOMATIZADA Y SU ACLIMATACIÓN","MORA, DORA FLORES, CERDAS, RANDALL CHACÓN, MARCHENA, LUIS ALVARADO, DURÁN, ALEXANDER SCHMIDT, ULLOA, CARLOS ALVARADO","Revista Brasileira de Fruticultura; 37(3); 739-747","Revista Brasileira de Fruticultura","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300739&lang=pt" 
"S0100-29452015000300676-scl","PRECOCIDADE DE PRODUÇÃO DE CULTIVARES DE MACIEIRA SOBRE DOIS PORTA-ENXERTOS","FIORAVANÇO, JOÃO CAETANO","Revista Brasileira de Fruticultura; 37(3); 676-684","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300676&lang=pt" 
"S0100-29452015000300748-scl","O ARMAZENAMENTO REFRIGERADO PROLONGA A VIABILIDADE DE SEMENTES DE GOIABEIRA-SERRANA","DONAZZOLO, JOEL, ORNELLAS SANCHES, THIAGO, BIZZOCCHI, LEON, VILPERTE, VINICIUS, NODARI, RUBENS ONOFRE","Revista Brasileira de Fruticultura; 37(3); 748-754","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300748&lang=pt" 
"S1807-55092015000300371-scl","Velocidade da bola no chute no futsal: comparação entre garotos com diferentes níveis de desempenho e correlação de variáveis preditoras do desempenho","ANDRADE, Vitor Luiz de, VIEIRA, Luiz Henrique Palucci, BEDO, Bruno Luiz de Souza, MACARI, Reinaldo, MARIANO, Fábio Pamplona, NODA, Cesar Tadashi, SANTIAGO, Paulo Roberto Pereira","Revista Brasileira de Educação Física e Esporte; 29(3); 371-381","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000300371&lang=pt" 
"S1983-40632015000300011-scl","Growth suppression of sandspur grass by cover crops1","Silva, Rodrigo Fonseca da, Pacheco, Leandro Pereira, Soares, Leandro dos Santos, Fonseca, Wéverson Lima, Oliveira, João Batista da Silva, Santos, Adaniel Sousa dos","Pesquisa Agropecuária Tropical; 45(3); 319-325","Pesquisa Agropecuária Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632015000300011&lang=pt" 
"S0100-29452015000300541-scl","ATIVIDADE DE ß-GLUCOSIDASES EM EXTRATO ENZIMÁTICO OBTIDO DE AMÊNDOAS DE PÊSSEGO","D&#039;AVILA, ROSEANE FARIAS, ZAMBIAZI, RUI CARLOS, SÁ, PRISCILA SILVA DE, TORALLES, RICARDO PERAÇA","Revista Brasileira de Fruticultura; 37(3); 541-549","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300541&lang=pt" 
"S0100-29452015000300623-scl","AVALIAÇÃO DO DESENVOLVIMENTO VEGETATIVO DE PEREIRAS ‘HOSUI’ E ‘ROCHA’ EM DIFERENTES ESPAÇAMENTOS NO SISTEMA DE CULTIVO ORGÂNICO","HENNERICH, JUÇARA ELZA, BOTELHO, RENATO VASCONCELOS, WATZLAWICK, LUCIANO FARINHA, FERREIRA, SILVANA GIROTTO MARTINS, SATO, ALESSANDRO JEFFERSON","Revista Brasileira de Fruticultura; 37(3); 623-634","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300623&lang=pt" 
"S0100-29452015000300797-scl","SOIL ATTRIBUTES THREE YEARS AFTER MAKING RIDGES AND OR DRAINS FOR PLANTING GRAPEVINE ROOTSTOCK","VEIGA, MILTON DA, DAMBRÓS, REMI NATALIN, DALBÓ, MARCO ANTÔNIO","Revista Brasileira de Fruticultura; 37(3); 797-805","Revista Brasileira de Fruticultura","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300797&lang=pt" 
"S0100-29452015000300718-scl","PRODUÇÃO E CARACTERIZAÇÃO DA POLPA DE ATEMOIA EM PÓ","SOUSA, KARLA DOS SANTOS MELO DE, FIGUEIRÊDO, ROSANA MARIA FEITOSA DE, QUEIROZ, ALEXANDRE JOSÉ DE MELO, FERNANDES, TÂMILA KASSIMURA DA SILVA","Revista Brasileira de Fruticultura; 37(3); 718-728","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300718&lang=pt" 
"S0100-29452015000300692-scl","CORRELAÇÕES GENÉTICAS E ANÁLISE DE TRILHA PARA CARACTERES DE FRUTO DA PALMEIRA JUÇARA","MARÇAL, TIAGO DE SOUZA, FERREIRA, ADÉSIO, OLIVEIRA, WAGNER BASTOS DOS SANTOS, GUILHEN, JOSÉ HENRIQUE SOLER, FERREIRA, MARCIA FLORES DA SILVA","Revista Brasileira de Fruticultura; 37(3); 692-698","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300692&lang=pt" 
"S0100-29452015000300699-scl","AVALIAÇÃO DA QUALIDADE DE PÃO COM ADIÇÃO DE FARINHA E PURÊ DA BANANA VERDE","OLIVEIRA, DAYSE ALINE SILVA BARTOLOMEU DE, MÜLLER, PRISCILA SCHULTZ, FRANCO, TALITA SZLAPAK, KOTOVICZ, VALESKA, WASZCZYNSKYJ, NINA","Revista Brasileira de Fruticultura; 37(3); 699-707","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300699&lang=pt" 
"S0036-46652015000800005-scl","THE POWER OF THE SMALL: THE EXAMPLE OF Paracoccidioides brasiliensis CONIDIA","RESTREPO, Angela, CANO, Luz Elena, GONZALEZ, Ángel","Revista do Instituto de Medicina Tropical de São Paulo; 57(); 5-10","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652015000800005&lang=pt" 
"S0100-29452015000300617-scl","REAÇÃO DE FIGUEIRAS A TRÊS ESPÉCIES DE NEMATOIDES-DAS-GALHAS","COSTA, MARYLIA GABRIELLA SILVA, CORREIA, ÉRIKA CRISTINA SOUZA DA SILVA, REIS, LUIS LESSI DOS, WILCKEN, SILVIA RENATA SICILIANO","Revista Brasileira de Fruticultura; 37(3); 617-622","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300617&lang=pt" 
"S0100-29452015000300610-scl","PARASITOIDES (HYMENOPTERA) DE MOSCAS-DAS-FRUTAS (DIPTERA: TEPHRITIDAE) NO SEMIÁRIDO DO ESTADO DO CEARÁ, BRASIL","ARAUJO, ELTON LUCIO, FERNANDES, ELANIA CLEMENTINO, SILVA, RAIMUNDO IVAN REMIGIO, FERREIRA, ANTONIA DÉBORA CAMILA DE LIMA, COSTA, VALMIR ANTONIO DA","Revista Brasileira de Fruticultura; 37(3); 610-616","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300610&lang=pt" 
"S1807-55092015000300465-scl","Como a eficiência do comportamento tático e a data de nascimento condicionam o desempenho de jogadores de futebol?","ANDRADE, Marcelo Odilon Cabral de, COSTA, Israel Teoldo da","Revista Brasileira de Educação Física e Esporte; 29(3); 465-473","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000300465&lang=pt" 
"S1807-55092015000300395-scl","A simbologia presente nos estilos de Karate-Dō","LOPES FILHO, Brandel José Pacheco, MONTEIRO, Alberto de Oliveira","Revista Brasileira de Educação Física e Esporte; 29(3); 395-407","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000300395&lang=pt" 
"S0100-29452015000300729-scl","QUALIDADE DE FRUTOS PROCESSADOS ARTESANALMENTE DE AÇAÍ (Euterpe oleracea MART.) E BACABA (Oenocarpus bacaba MART.)","NEVES, LEANDRO TIMONI BUCHDID CAMARGO, CAMPOS, DANIELA CAVALCANTE DOS SANTOS, MENDES, JÉSSICA KELLEN SOUZA, URNHANI, CAIO OLIVEIRA, ARAÚJO, KAIO GANDHI MATTOS DE","Revista Brasileira de Fruticultura; 37(3); 729-738","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300729&lang=pt" 
"S1807-55092015000300507-scl","Os Jogos Olímpicos e Paralímpicos Rio 2016: propostas para o esporte educacional, de participação e de rendimento","CASTRO, Suélen Barboza Eiras de, SOUZA, Doralice Lange de","Revista Brasileira de Educação Física e Esporte; 29(3); 507-518","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000300507&lang=pt" 
"S0100-29452015000300644-scl","DESENVOLVIMENTO E PRODUÇÃO DE BANANEIRA ‘GRANDE NAINE’ EM DIFERENTES SISTEMAS DE MANEJO PARA A CONVIVÊNCIA COM A SIGATOKA-NEGRA NO VALE DO RIBEIRA-SP","NOMURA, EDSON SHIGUEAKI, DAMATTO JÚNIOR, ERVAL RAFAEL, FUZITANI, EDUARDO JUN, SAES, LUÍS ALBERTO, SILVA, SEBASTIÃO DE OLIVEIRA E","Revista Brasileira de Fruticultura; 37(3); 644-655","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300644&lang=pt" 
"S0100-29452015000300568-scl","EFEITO DA TEMPERATURA E DO USO DE EMBALAGEM NA CONSERVAÇÃO PÓS-COLHEITA DE FRUTOS DE CAGAITA (Eugenia dysentericaDC.)","CARNEIRO, JULIANA DE OLIVEIRA, SOUZA, MARIA APARECIDA DE ALENCAR DE, RODRIGUES, YNAYARA JOANE DE MELO, MAPELI, ANA MARIA","Revista Brasileira de Fruticultura; 37(3); 568-577","Revista Brasileira de Fruticultura","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452015000300568&lang=pt" 
"S1983-40632015000300012-scl","Bioindicator demonstrates high persistence of sulfentrazone in dry soil1","Lourenço, Renato Coradello, Carvalho, Saul Jorge Pinto de","Pesquisa Agropecuária Tropical; 45(3); 326-332","Pesquisa Agropecuária Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632015000300012&lang=pt" 
