"S1415-65552010000200001-scl","Editorial","Quintella, Rogério H.","Revista de Administração Contemporânea; 14(2); -","Revista de Administração Contemporânea","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552010000200001&lang=pt" 
"S1677-55382010000200019-scl","Split-bolus MDCT urography: upper tract opacification and performance for upper tract tumors in patients with hematuria","Prando, Adilson","International braz j urol; 36(2); 231-232","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200019&lang=pt" 
"S1677-55382010000200018-scl","Utility of diffusion-weighted MRI in characterization of adrenal lesions","Prando, Adilson","International braz j urol; 36(2); 230-230","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200018&lang=pt" 
"S1677-55382010000200017-scl","Experience with 750 consecutive laparoscopic donor nephrectomies: is it time to use a standardized classification of complications?","Kim, Fernando J.","International braz j urol; 36(2); 229-229","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200017&lang=pt" 
"S1677-55382010000200016-scl","Initial experience with 50 laparoendoscopic single site surgeries using a homemade, single port device at a single center","Kim, Fernando J.","International braz j urol; 36(2); 228-228","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200016&lang=pt" 
"S1677-55382010000200015-scl","Fever after shockwave lithotripsy: risk factors and indications for prophylactic antimicrobial treatment","Monga, Manoj","International braz j urol; 36(2); 227-227","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200015&lang=pt" 
"S1677-55382010000200014-scl","Percutaneous nephrolithotomy for proximal ureteral calculi with severe hydronephrosis: assessment of different lithotriptors","Monga, Manoj","International braz j urol; 36(2); 226-226","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200014&lang=pt" 
"S1677-55382010000200001-scl","Dynamic evaluation of pelvic floor reconstructive surgery","Sampaio, Francisco J.B.","International braz j urol; 36(2); 127-128","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200001&lang=pt" 
"S1808-86942010000200004-scl","Estudo da audição em crianças com fissura labiopalatina não-sindrômica","Amaral, Maria Isabel Ramos do, Martins, José Eduardo, Santos, Maria Francisca Colella dos","Brazilian Journal of Otorhinolaryngology; 76(2); 164-171","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200004&lang=pt" 
"S1808-86942010000200006-scl","Fístula perilinfática em cobaias: comparação entre evolução natural e correção cirúrgica","Onishi, Ektor Tsuneo, Fukuda, Yotaka","Brazilian Journal of Otorhinolaryngology; 76(2); 178-184","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200006&lang=pt" 
"S1808-86942010000200007-scl","Fissura palatina reparada: fechamento velofaríngeo antes e durante o som basal","Conterno, Giseane, Cielo, Carla Aparecida, Elias, Vanessa Santos","Brazilian Journal of Otorhinolaryngology; 76(2); 185-192","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200007&lang=pt" 
"S1808-86942010000200008-scl","Análise do gene TAX1BP1 em pacientes com câncer de cabeça e pescoço","Ruiz, Mariangela Torreglosa, Balachi, Janayna Fernanda, Fernandes, Raquel Aldrighi, Galbiatti, Ana Lívia Silva, Maniglia, José Victor, Pavarino-Bertelli, Érika Cristina, Goloni-Bertollo, Eny Maria","Brazilian Journal of Otorhinolaryngology; 76(2); 193-198","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200008&lang=pt" 
"S1808-86942010000200009-scl","Teste de Habilidade de Atenção Auditiva Sustentada (THAAS) em crianças de sete anos com fissura labiopalatina","Lemos, Isabel Cristina Cavalcanti, Feniman, Mariza Ribeiro","Brazilian Journal of Otorhinolaryngology; 76(2); 199-205","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200009&lang=pt" 
"S1808-86942010000200011-scl","Expressão dos genes que codificam as proteínas anexina-1 e galectina-1 nos pólipos rinossinusais e sua modulação pelo glicocorticoide","Fernandes, Atílio Maximino, Babeto, Erica, Rahal, Paula, Provazzi, Paola Jocelan Scarin, Hidalgo, Claudia Augusta, Anselmo-Lima, Wilma T","Brazilian Journal of Otorhinolaryngology; 76(2); 213-218","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200011&lang=pt" 
"S1808-86942010000200012-scl","Avaliação funcional do equilíbrio e da sensibilidade cutânea plantar de idosos moradores na comunidade","Bretan, Onivaldo, Pinheiro, Rafael Martins, Corrente, José Eduardo","Brazilian Journal of Otorhinolaryngology; 76(2); 219-224","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200012&lang=pt" 
"S1808-86942010000200014-scl","Investigação e análise do reflexo acústico contralateral em crianças com desvio fonológico","Attoni, Tiago Mendonça, Mota, Helena Bolli","Brazilian Journal of Otorhinolaryngology; 76(2); 231-237","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200014&lang=pt" 
"S1808-86942010000200016-scl","Experiência de sete anos em pacientes com angiofibroma nasofaríngeo juvenil","Gaillard, Alfredo Lara, Anastácio, Vanessa Menegatti, Piatto, Vânia Belintani, Maniglia, José Victor, Molina, Fernando Drimel","Brazilian Journal of Otorhinolaryngology; 76(2); 245-250","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200016&lang=pt" 
"S1808-86942010000200018-scl","Testes de escuta dicótica em escolares com distúrbio de aprendizagem","Pinheiro, Fábio Henrique, Oliveira, Adriana Marques de, Cardoso, Ana Cláudia Vieira, Capellini, Simone Aparecida","Brazilian Journal of Otorhinolaryngology; 76(2); 257-262","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200018&lang=pt" 
"S1808-86942010000200017-scl","Segundo tumor primário em pacientes com câncer de vias aerodigestivas superiores","Priante, Antonio Vitor Martins, Carvalho, Andre Lopes, Kowalski, Luiz Paulo","Brazilian Journal of Otorhinolaryngology; 76(2); 251-256","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200017&lang=pt" 
"S1808-86942010000200019-scl","Potenciais evocados auditivos tardios em indivíduos com queixa de zumbido","Santos Filha, Valdete Alves Valentins dos, Matas, Carla Gentile","Brazilian Journal of Otorhinolaryngology; 76(2); 263-270","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200019&lang=pt" 
"S1677-55382010000200005-scl","The role of nephrectomy of the atrophic kidney in bearers of renovascular hypertension","Thomaz, Myrian J., Lucon, Antonio M., Praxedes, Jose N., Bortolotto, Luis A., Srougi, Miguel","International braz j urol; 36(2); 159-170","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200005&lang=pt" 
"S1677-55382010000200009-scl","Photoselective vaporization of the prostate in men with a history of chronic oral anti-coagulation","Karatas, Omer F., Alkan, Erdal, Horasanli, Kaya, Luleci, Huseyin, Sarica, Kemal","International braz j urol; 36(2); 190-197","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200009&lang=pt" 
"S1516-18462010000200005-scl","Consciência fonológica: o desempenho de meninos e meninas bilíngues e monolíngues","Lasch, Sabrina Schützenhofer, Mota, Helena Bolli, Cielo, Carla Aparecida","Revista CEFAC; 12(2); 202-209","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200005&lang=pt" 
"S1516-18462010000200014-scl","Os efeitos da estimulação sensório motora oral na sucção nutritiva na mamadeira de recém-nascidos pré-termo","Yamamoto, Raquel Coube de Carvalho, Bauer, Magda Aline, Häeffner, Leris Salete Bonfanti, Weinmann, Ângela Regina Maciel, Keske-Soares, Márcia","Revista CEFAC; 12(2); 272-279","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200014&lang=pt" 
"S1516-18462010000200017-scl","Cuidando de quem cuida: avaliando a qualidade de vida de cuidadores de afásicos","Panhoca, Ivone, Pupo, Aline Cristina de Salles","Revista CEFAC; 12(2); 299-307","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200017&lang=pt" 
"S1516-18462010000200013-scl","Ocorrência de mordida aberta anterior e hábitos bucais deletérios em crianças de 4 a 6 anos","Zapata, Maritza, Bachiega, Joanna Carolina, Marangoni, Analúcia Ferreira, Jeremias, José Eduardo Massucato, Ferrari, Raquel Agnelli Mesquita, Bussadori, Sandra Kalil, Santos, Elaine Marcílio","Revista CEFAC; 12(2); 267-271","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200013&lang=pt" 
"S1516-18462010000200007-scl","Coesão textual na escrita de um grupo de adultos surdos usuários da língua de sinais Brasileira","Almeida, Elizabeth Oliveira Crepaldi de, Filasi, Carolina Ronqui, Almeida, Luiza Crepaldi de","Revista CEFAC; 12(2); 216-222","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200007&lang=pt" 
"S1516-18462010000200009-scl","Treinamento auditivo para transtorno do processamento auditivo: uma proposta de intervenção terapêutica","Samelli, Alessandra Giannella, Mecca, Fabíola Ferrer Del Nero","Revista CEFAC; 12(2); 235-241","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200009&lang=pt" 
"S1516-18462010000200020-scl","Desenvolvimento infantil na fenilcetonúria: atuação fonoaudiológica","Lamônica, Dionísia Aparecida Cusin, Gejão, Mariana Germano, Ferreira, Amanda Tragueta, Silva, Greyce Kelly da, Anastácio-Pessan, Fernanda da Luz","Revista CEFAC; 12(2); 326-330","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200020&lang=pt" 
"S1516-18462010000200015-scl","Qualidade de vida relacionada à voz de professores universitários","Fabrício, Mariana Zerbetto, Kasama, Silvia Tieko, Martinez, Edson Zangiacomi","Revista CEFAC; 12(2); 280-287","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200015&lang=pt" 
"S1516-18462010000200019-scl","Fonoaudiologia X ronco/apneia do sono","Soares, Elisângela Barros, Pires, Joicy Barbalho, Menezes, Michele de Alicrim, Santana, Suzany Karla Silva de, Fraga, Juliana","Revista CEFAC; 12(2); 317-325","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200019&lang=pt" 
"S1516-18462010000200022-scl","Intervenção fonoaudiológica com gêneros textuais em um grupo de escolares","Schneider, Ane Caroline Brisch, Souza, Ana Paula Ramos de, Deuschle, Vanessa Panda","Revista CEFAC; 12(2); 337-345","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200022&lang=pt" 
"S1516-18462010000200011-scl","Paciente com paralisa cerebral coreoatetoide: evolução clínica pós-intervenção","Silvério, Carolina Castelli, Henrique, Cristiane Soares","Revista CEFAC; 12(2); 250-256","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200011&lang=pt" 
"S1516-18462010000200008-scl","Perfil auditivo de trabalhadores de um entreposto de carnes","Azevedo, Amanda Nogueira, Bernardo, Luciana Dias, Shing, Suely Cátia Alves Chong, Santos, Juliana Nunes","Revista CEFAC; 12(2); 223-234","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200008&lang=pt" 
"S1516-18462010000200004-scl","O articulatório e o fonológico na clínica da linguagem: da teoria á prática","Santana, Ana Paula, Machado, Maria Letícia Cautela de Almeida, Bianchi, Kátia Simone da Rosa, Freitas, Margareth de Souza, Marques, Jair Mendes","Revista CEFAC; 12(2); 193-201","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200004&lang=pt" 
"S1516-18462010000200003-scl","Perfil das habilidades cognitivas no envelhecimento normal","Souza, Valéria Lopes de, Borges, Mirian Fernanda, Vitória, Cássia Maria da Silva, Chiappetta, Ana Lúcia de Magalhães Leal","Revista CEFAC; 12(2); 186-192","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200003&lang=pt" 
"S1516-18462010000200012-scl","Avaliação da alimentação em crianças com fissura de lábio e/ou palato atendidas em um hospital de Porto Alegre","Campillay, Paloma Letelier, Delgado, Susana Elena, Brescovici, Silvana Maria","Revista CEFAC; 12(2); 257-266","Revista CEFAC","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462010000200012&lang=pt" 
"S1677-55382010000200003-scl","Radical nephrectomy and nephroureterectomy in patients over 80 years old","Labanaris, Apostolos P., Zugor, Vahudin, Labanaris, Agapi P., Elias, Polykandriotis, Kühn, Reinhard","International braz j urol; 36(2); 141-150","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200003&lang=pt" 
"S1677-55382010000200011-scl","Determination of the association of urine prostate specific antigen levels with anthropometric variables in children aged 5-14 years","Efthimiou, Ioannis, Ferentinos, Georgios, Tsachouridis, Georgios, Sardana, Girish, Diamandis, Eleftherios","International braz j urol; 36(2); 202-208","International braz j urol","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382010000200011&lang=pt" 
"S1808-86942010000200015-scl","Ototoxicidade por organofosforados: descrição dos aspectos ultraestruturais do sistema vestibulococlear de cobaias","Körbes, Daiane, Silveira, Aron Ferreira da, Hyppolito, Miguel Ângelo, Munaro, Gisiane","Brazilian Journal of Otorhinolaryngology; 76(2); 238-244","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200015&lang=pt" 
"S1135-57272010000200007-esp","Brote de sarampión en Campo de Gibraltar, Cádiz, durante el período febrero-julio 2008","Nieto Vera, Juan, Rodríguez Benjumeda, Luís Miguel, Mosquera Gutiérrez, María del Mar, Mayoral Cortes, José María, Masa Calles, Josefa","Revista Española de Salud Pública; 84(2); 203-214","Revista Española de Salud Pública","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272010000200007&lang=pt" 
"S1135-57272010000200009-esp","Evolución en España del consumo de tabaco en población trabajadora desde la entrada en vigor de la Ley 28/2005 de medidas sanitarias frente al tabaquismo","Catalina Romero, Carlos, Gelpi Médez, José Antonio, Cortés Arcas, María Victoria, Martín Barallat, Julián","Revista Española de Salud Pública; 84(2); 223-227","Revista Española de Salud Pública","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272010000200009&lang=pt" 
"S1135-57272010000200004-esp","Educando para mejorar el estado de forma física, estudio EDUFIT: antecedentes, diseño, metodología y análisis del abandono/adhesión al estudio","Ardoy, Daniel N., Fernández-Rodríguez, Juan M., Chillón, Palma, Artero, Enrique G., España-Romero, Vanesa, Jiménez-Pavón, David, Ruiz, Jonatan R., Guirado-Escámez, Carmen, Castillo, Manuel J., Ortega, Francisco B.","Revista Española de Salud Pública; 84(2); 151-168","Revista Española de Salud Pública","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272010000200004&lang=pt" 
"S1135-57272010000200002-esp","Recomendaciones sobre los aspectos éticos de los programas de cribado de población para enfermedades raras","Pàmpols Ros, Teresa, Terracini, Benedetto, Abajo Iglesias, Francisco J. de, Feito Grande, Lydia, Martín-Arribas, Mª Concepción, Fernández Soria, José María, Redondo Martín del Olmo, Tomás, Campos Castelló, Jaime, Herrera Carranza, Joaquín, Júdez Gutiérrez, Javier, Abascal Alonso, Moisés, Morales Piga, Antonio","Revista Española de Salud Pública; 84(2); 121-136","Revista Española de Salud Pública","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272010000200002&lang=pt" 
"S1135-57272010000200001-esp","¿Hablamos de Open Access?","Melero, Reme","Revista Española de Salud Pública; 84(2); 119-120","Revista Española de Salud Pública","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272010000200001&lang=pt" 
"S1135-57272010000200008-esp","Utilidad del perímetro abdominal como método de cribaje del síndrome metabólico en las personas con hipertensión arterial","Genique Martínez, Roberto, Marin Ibáñez, Alejandro, Cía Gómez, Pedro, Gálvez Villanueva, Ana Cristina, Andrés Bergareche, Ignacio, Gelado Jaime, Concepción","Revista Española de Salud Pública; 84(2); 215-222","Revista Española de Salud Pública","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272010000200008&lang=pt" 
"S1808-86942010000200013-scl","Avaliação da sobrevida livre de doença em pacientes com carcinoma epidermoide de laringe submetidos à tratamento radioterápico exclusivo ou associado à quimioterapia","Chedid, Helma Maria, Lehn, Carlos Neutzling, Rapoport, Abrão, Amar, Ali, Franzi, Sérgio Altino","Brazilian Journal of Otorhinolaryngology; 76(2); 225-230","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942010000200013&lang=pt" 
"S1135-57272010000200003-esp","Posibilidades de mejora en los planes de prevención frente al exceso de temperaturas: Possibilities of Improvement","Montero Rubio, Juan Carlos, Mirón Pérez, Isidro J., Criado-Álvarez, Juan José, Linares, Cristina, Díaz Jiménez, Julio","Revista Española de Salud Pública; 84(2); 137-149","Revista Española de Salud Pública","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272010000200003&lang=pt" 
"S1135-57272010000200005-esp","Los conceptos de calidad de vida, salud y bienestar analizados desde la perspectiva de la Clasificación Internacional del Funcionamiento (CIF)","Fernández-López, Juan Antonio, Fernández-Fidalgo, María, Cieza, Alarcos","Revista Española de Salud Pública; 84(2); 169-184","Revista Española de Salud Pública","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272010000200005&lang=pt" 
"S1135-57272010000200006-esp","La prevención según el Comité Español Interdisciplinario para la Prevención Cardiovascular: una valoración crítica","Miguel-García, Félix, Merino-Senovilla, Alejandro, Montero-Alonso, María José, García-Ortiz, Alejandra, Sanz-Cantalapiedra, Ruperto, Maderuelo-Fernández, José Ángel","Revista Española de Salud Pública; 84(2); 185-201","Revista Española de Salud Pública","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272010000200006&lang=pt" 
"S0104-026X2010000100001-scl","","Funck, Susana Bornéo, Lago, Mara Coelho de Souza","Revista Estudos Feministas; 18(1); 7-10","Revista Estudos Feministas","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2010000100001&lang=pt" 
"S0104-026X2010000100002-scl","Análisis genético para la identificación de niños apropiados: construcción política y científica de la &quot;naturaleza&quot; y el parentesco","Regueiro, Sabina Amantze","Revista Estudos Feministas; 18(1); 11-32","Revista Estudos Feministas","Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2010000100002&lang=pt" 
"S1134-80462010000300007-esp","Atención médica al final de la vida: Conceptos","Gómez-Sancho, M., Altisent, R., Bátiz, J., Ciprés, L., Corral, P., González-Fernández, J.L., Herranz, J.A., Rocafort, J., Rodríguez-Sendín, J.J.","Revista de la Sociedad Española del Dolor; 17(3); 177-179","Revista de la Sociedad Española del Dolor","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000300007&lang=pt" 
"S0100-69912010000200014-scl","Derivação gastrojejunal com anel de contenção no tratamento de obesidade mórbida em paciente com situs inversus totalis","Barros, Cássio Jerônimo Machado de, Rapoport, Abrão, Andrade Sobrinho, Josias de, Dedivitis, Rogério Aparecido, Grill, Eduardo Halfen","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 157-158","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200014&lang=pt" 
"S0100-69912010000200002-scl","A ascensão comportamental do cirurgião","Pitrez, Fernando","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 084-085","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200002&lang=pt" 
"S0100-69912010000200001-scl","A cirurgia no século XXI","Paulino Netto, Augusto","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 083-083","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200001&lang=pt" 
"S0100-69912010000200004-scl","Análise epidemiológica das pericardiotomias realizadas em um hospital universitário de Curitiba","Uchimura, Márcia Mie, Battiston, Juliana, Moreira, Patrícia, Stahlschmidt, Carla Martinez Menini, Lubachevski, Fábio Luiz","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 092-095","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200004&lang=pt" 
"S0100-69912010000200006-scl","Experiência obtida em 100 transplantes de pâncreas","Nicoluzzi, João Eduardo Leal, Silveira, Fábio, Silveira, Fábio Porto, Macri, Mateus","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 102-105","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200006&lang=pt" 
"S0100-69912010000200003-scl","Fístulas orocutâneas após cirurgia de câncer da cavidade oral: fatores de risco","Ramos, Gyl Henrique A., Crivelaro, André Luiz Soares, Oliveira, Benedito Valdecir de, Pedruzzi, Paola Andrea G., Freitas, Rosyane Rena de","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 086-091","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200003&lang=pt" 
"S0100-69912010000200013-scl","Revisão sistemática da acurácia dos testes diagnósticos: uma revisão narrativa","Oliveira, Glória Maria de, Camargo, Fábio Trinca, Gonçalves, Eduardo Costa, Duarte, Carlos Vinicius Nascimento, Guimarães, Carlos Alberto","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 153-156","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200013&lang=pt" 
"S0100-69912010000200015-scl","Embolização pré operatória no tratamento de paraganglioma abdominal: relato de caso","Nakamura, Fernando, Silva, Rodrigo Altenfelder, Santos, Vanessa Prado dos, Razuk Filho, Álvaro, Caffaro, Roberto Augusto","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 159-161","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200015&lang=pt" 
"S0100-69912010000200016-scl","CARTA AO EDITOR","Giffhorn, Hélcio","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 162-162","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200016&lang=pt" 
"S1134-80462010000300008-esp","Noesiterapia frente a analgesia epidural","Escudero, A.","Revista de la Sociedad Española del Dolor; 17(3); 180-180","Revista de la Sociedad Española del Dolor","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000300008&lang=pt" 
"S1134-80462010000300001-esp","Dolor neuropático","Ribera Canudas, M.V.","Revista de la Sociedad Española del Dolor; 17(3); 137-138","Revista de la Sociedad Española del Dolor","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000300001&lang=pt" 
"S0100-736X2010000400004-scl","Effect of bone morphogenetic protein-7 (BMP-7) on in vitro survival of caprine preantral follicles","Araújo, Valdevane R., Silva, Cleidson M. Gomes da, Magalhães, Deborah M., Silva, Gerlane Modesto da, Báo, Sônia N., Silva, José Roberto Viana, Figueiredo, José Ricardo de, Rodrigues, Ana Paula R.","Pesquisa Veterinária Brasileira; 30(4); 305-310","Pesquisa Veterinária Brasileira","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400004&lang=pt" 
"S0100-736X2010000400005-scl","Análise das metodologias diretas e indiretas para a contagem de células somáticas no leite de cabras hígidas","Madureira, Karina Medici, Gomes, Viviani, Castro, Roberto Soares de, Kitamura, Sandra Satiko, Araújo, Wanderley Pereira de","Pesquisa Veterinária Brasileira; 30(4); 311-316","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400005&lang=pt" 
"S0100-736X2010000400007-scl","Avaliação das fibras colágenas de meniscos frescos e preservados em glicerina: estudo experimental em coelhos (Oryctolagus cuniculus)","Vilela, Liana M., Del Carlo, Ricardo J., Silva, João Carlos P. da, Matta, Sérgio Luís P.Da, Rodrigues, Mauricio Correia D., Reis, Amanda Maria S.","Pesquisa Veterinária Brasileira; 30(4); 321-327","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400007&lang=pt" 
"S0100-736X2010000400010-scl","Evaluation of follicular lymphoid depletion in the Bursa of Fabricius: an alternative methodology using digital image analysis and artificial neural networks","Moraes, Lucas B., Osório, Fernando S., Salle, Felipe O., Souza, Guilherme F., Moraes, Hamilton L.S., Fallavena, Luiz C.B., Santos, Luciana R., Salle, Carlos T.P.","Pesquisa Veterinária Brasileira; 30(4); 340-344","Pesquisa Veterinária Brasileira","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400010&lang=pt" 
"S0100-736X2010000400011-scl","Influência do grau de bipartição escrotal sobre parâmetros reprodutivos de caprinos","Almeida, Mônica M., Machado Júnior, Antonio A.N., Ambrósio, Carlos E., Menezes, Danilo J. A., Righi, Dario A., Nascimento, Isolda M.R., Carvalho, Maria A.M.","Pesquisa Veterinária Brasileira; 30(4); 345-350","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400011&lang=pt" 
"S0100-736X2010000400013-scl","Atividade antioxidante de macrófagos alveolares em ratos endotoxêmicos","Melo, Juliana Félix de, Macedo, Érika M. Correia de, Paes Silva, Rebecca P., Viana, Marcelo Tavares, Ferreira e Silva, Wylla T., Castro, Célia M.M. Barbosa de","Pesquisa Veterinária Brasileira; 30(4); 358-362","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400013&lang=pt" 
