"S2007-11322010000100002-mex","La verdadera cosecha maderable en México","Caballero Deloya, Miguel","Revista mexicana de ciencias forestales; 1(1); 6-16","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100002&lang=pt" 
"S1688-04202010000100007-ury","Primeras experiencias nacionales con el implante percutáneo de prótesis valvulares aórticas","","Revista Uruguaya de Cardiología; 25(1); 37-46","Revista Uruguaya de Cardiología","Espanhol","2010","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-04202010000100007&lang=pt" 
"S1688-04202010000100002-ury","Evaluación de resultados quirúrgicos de la miectomía como tratamiento de la miocardiopatía hipertrófica obstructiva: Experiencia de un centro en Uruguay","SOCA, GERARDO, CURA, LEANDRO, GENTA, FERNANDO, MONTERO, HUGO, LIGÜERA, LUIS, DAYAN, VÍCTOR, STANHAM, ROBERTO, MURGUÍA, ELENA, MARIÑO, JORGE, CASSINELLI, MAURICIO, LORENZO, ÁLVARO, ESTABLE, HÉCTOR","Revista Uruguaya de Cardiología; 25(1); 05-10","Revista Uruguaya de Cardiología","Espanhol","2010","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-04202010000100002&lang=pt" 
"S1794-31082010000100001-col","","NARANJO TRUJILLO, OSCAR ADOLFO","Revista Criminalidad; 52(1); 9-10","Revista Criminalidad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082010000100001&lang=pt" 
"S1794-31082010000100006-col","Construcción histórica del tratamiento jurídico del adolescente infractor de la ley penal colombiana (1837-2010)","Holguín Galvis, Guiselle N","Revista Criminalidad; 52(1); 287-306","Revista Criminalidad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082010000100006&lang=pt" 
"S1794-31082010000100002-col","Criminalidad en cifras: delitos en Colombia, 2009","Espino-Duque, Gloria Patricia","Revista Criminalidad; 52(1); 15-25","Revista Criminalidad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082010000100002&lang=pt" 
"S1794-31082010000100003-col","Resultados operacionales y servicios de la Policía Nacional, 2009","Espino-Duque, Gloria Patricia","Revista Criminalidad; 52(1); 143-237","Revista Criminalidad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082010000100003&lang=pt" 
"S1794-31082010000100007-col","Mujeres en la criminalidad: más preguntas que respuestas","Vizcaíno Gutiárrez, Milcíades","Revista Criminalidad; 52(1); 309-330","Revista Criminalidad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082010000100007&lang=pt" 
"S1688-04202010000100005-ury","Disfunción valvular protésica en mujer embarazada con sustitución valvular mitro-aórtica","SOCA, GERARDO, AMÉRICO, CARLOS, CURA, LEANDRO","Revista Uruguaya de Cardiología; 25(1); 28-32","Revista Uruguaya de Cardiología","Espanhol","2010","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-04202010000100005&lang=pt" 
"S2225-62532010000600008-sza","Theoretical, practical, and economic difficulties in sampling for trace constituents","Pitard, F.F.","Journal of the Southern African Institute of Mining and Metallurgy; 110(6); 313-321","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532010000600008&lang=pt" 
"S2225-62532010000600001-sza","Nuggets or Nano Gold","Robinson, RE","Journal of the Southern African Institute of Mining and Metallurgy; 110(6); 1-3","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532010000600001&lang=pt" 
"S2007-40182010000100005-mex","Producción de plántulas de Candelilla (Euphorbia antisyphilitica Zucc.) mediante estacas","Villa-Castorena, M., Catalán-Valencia, E. A., Inzunza-Ibarra, M. A., González-López, M. de L., Arreola- Ávila, J. G.","Revista Chapingo serie ciencias forestales y del ambiente; 16(1); 37-47","Revista Chapingo serie ciencias forestales y del ambiente","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-40182010000100005&lang=pt" 
"S2007-40182010000100010-mex","Componentes químicos del duramen de Andira inermis (W. Wright) DC. (Leguminosae)","Téllez-Sánchez, C., Ochoa-Ruiz, H. G., Sanjuan-Dueñas, R., Rutiaga-Quiñones, J. G.","Revista Chapingo serie ciencias forestales y del ambiente; 16(1); 87-93","Revista Chapingo serie ciencias forestales y del ambiente","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-40182010000100010&lang=pt" 
"S2007-40182010000100009-mex","Resistencia a bajas temperaturas en Pinus hartwegii sometido a diferentes tratamientos con potasio","Ramírez-Cuevas, Y., Rodríguez-Trejo, D. A.","Revista Chapingo serie ciencias forestales y del ambiente; 16(1); 79-85","Revista Chapingo serie ciencias forestales y del ambiente","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-40182010000100009&lang=pt" 
"S2007-40182010000100008-mex","Evaluación financiera y de riesgo de una plantación forestal comercial en Zihuateutla, Puebla","Zamudio Sánchez, F. J., Romo Lozano, J. L., Cervantes Carrillo, J. O. A.","Revista Chapingo serie ciencias forestales y del ambiente; 16(1); 69-78","Revista Chapingo serie ciencias forestales y del ambiente","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-40182010000100008&lang=pt" 
"S2007-40182010000100002-mex","Comportamiento del Ciprés (Cupressus lusitánica Mill.) En la producción de árboles de navidad bajo condiciones de clima alto andino, Venezuela","Petit-Aldana, J., Uribe-Valle, G., Muchacho Briceño, R.","Revista Chapingo serie ciencias forestales y del ambiente; 16(1); 13-19","Revista Chapingo serie ciencias forestales y del ambiente","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-40182010000100002&lang=pt" 
"S2007-40182010000100007-mex","Bioplaguicida de Azadirachta indica A. Juss (Nim) y la poda, una alternativa para el control de Hypsipyla grandella Zeller en plantaciones de Cedrela odorata L.","Martínez-Vento, N., Estrada-Ortiz, J., Góngora- Rojas, F., López-Castilla, R., Martínez-González, L., Curbelo-Gómez, S.","Revista Chapingo serie ciencias forestales y del ambiente; 16(1); 61-68","Revista Chapingo serie ciencias forestales y del ambiente","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-40182010000100007&lang=pt" 
"S2225-62532010000600010-sza","Summary of results of ACARP project on cross-belt cutters","Robinson, G.K., Sinnott, M.D., Cleary, P.W.","Journal of the Southern African Institute of Mining and Metallurgy; 110(6); 331-338","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532010000600010&lang=pt" 
"S2225-62532010000600002-sza","A comparison between the duplicate series analysis method and the heterogeneity test as methods for calculating the sampling constants, K and alpha","Minnitt, R.C.A., Assibey-Bonsu, W.","Journal of the Southern African Institute of Mining and Metallurgy; 110(6); 251-268","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532010000600002&lang=pt" 
"S2225-62532010000600004-sza","Grab sampling for underground gold mine grade control","Dominy, S.C.","Journal of the Southern African Institute of Mining and Metallurgy; 110(6); 277-287","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532010000600004&lang=pt" 
"S2225-62532010000600006-sza","Nugget effect, artificial or natural?","Carrasco, P.C.","Journal of the Southern African Institute of Mining and Metallurgy; 110(6); 299-305","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532010000600006&lang=pt" 
"S2225-62532010000600007-sza","Statistics or geostatistics? Sampling error or nugget effect?","Clark, I.","Journal of the Southern African Institute of Mining and Metallurgy; 110(6); 307-312","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532010000600007&lang=pt" 
"S2225-62532010000600005-sza","Bias testing of cross-belt samplers","Lyman, G., Nel, M., Lombard, F., Steinhaus, R., Bartlett, H.","Journal of the Southern African Institute of Mining and Metallurgy; 110(6); 289-298","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532010000600005&lang=pt" 
"S2225-62532010000600003-sza","Sampling mineral commodities - the good, the bad, and the ugly","Holmes, R.J.","Journal of the Southern African Institute of Mining and Metallurgy; 110(6); 269-276","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532010000600003&lang=pt" 
"S2225-62532010000600009-sza","Principles of an image-based algorithm for the quantification of dependencies between particle selections in sampling studies","Dihalu, D.S., Geelhoed, B.","Journal of the Southern African Institute of Mining and Metallurgy; 110(6); 323-330","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532010000600009&lang=pt" 
"S2448-718X2010000200423-mex","¿Influyen los tigres asiáticos en el comportamiento gregario español?","Blasco, Natividad, Corredor, Pilar, Ferreruela, Sandra","El trimestre económico; 77(306); 423-444","El trimestre económico","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-718X2010000200423&lang=pt" 
"S2448-718X2010000200473-mex","Valor de una empresa en riesgo de expropiación en un entorno de crisis financiera. Caso Banamex","Cruz Aké, Salvador, Venegas-Martínez, Francisco","El trimestre económico; 77(306); 473-503","El trimestre económico","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-718X2010000200473&lang=pt" 
"S2448-718X2010000200343-mex","Cambios demográficos y estructura salarial","Espinoza, Ricardo A., Paredes, Ricardo D.","El trimestre económico; 77(306); 343-362","El trimestre económico","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-718X2010000200343&lang=pt" 
"S2448-718X2010000200445-mex","¿Es el desempeño de los fondos de inversión de Brasil un indicador de movimento futuro de su patrimonio?","Baggio, Daniel Knebel, Ferruz Agudo, Luis, Marco Sanjuán, Isabel","El trimestre económico; 77(306); 445-471","El trimestre económico","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-718X2010000200445&lang=pt" 
"S2448-718X2010000200393-mex","Cambios de las tasas de política, paridad cubierta de intereses y estructura a plazo","Arango, Luis Eduardo, Velandia, Daniel Eduardo","El trimestre económico; 77(306); 393-422","El trimestre económico","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-718X2010000200393&lang=pt" 
"S2448-718X2010000200363-mex","Estructura de costos y economías de escala en el mercado de fondos para el retiro en México","Cavazos Cepeda, Ricardo H., Vásquez Lavín, Felipe A., Hernández Medina Mora, María José","El trimestre económico; 77(306); 363-391","El trimestre económico","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-718X2010000200363&lang=pt" 
"S1807-59322010000800016-scl","Erratum","","Clinics; 65(8); 357-357","Clinics","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322010000800016&lang=pt" 
"S1794-31082010000100009-col","Dimensionamiento del rol de los cuerpos policiales en un sistema penal de carácter garantista","Rodríguez Morales, Alejandro J","Revista Criminalidad; 52(1); 351-362","Revista Criminalidad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082010000100009&lang=pt" 
"S1794-31082010000100004-col","Desentendimiento moral y dinámicas del robo escolar","Bolívar, Claudia, Jimánez, Manuela, Contreras, Julián, Chaux, Enrique","Revista Criminalidad; 52(1); 243-261","Revista Criminalidad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082010000100004&lang=pt" 
"S1794-31082010000100010-col","Anomia, normalidad y función del crimen desde la perspectiva de Robert Merton y su incidencia en la criminología","Huertas Díaz, Omar","Revista Criminalidad; 52(1); 365-376","Revista Criminalidad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082010000100010&lang=pt" 
"S1794-31082010000100005-col","El control de armas como estrategia de reducción de la violencia en Colombia: pertinencia, estado y desafíos","Aguirre, Katherine, Restrepo, Jorge A","Revista Criminalidad; 52(1); 265-284","Revista Criminalidad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082010000100005&lang=pt" 
"S1794-31082010000100008-col","Explicación psicoanalítica del acto criminal","Aguilera Torrado, Armando","Revista Criminalidad; 52(1); 333-348","Revista Criminalidad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082010000100008&lang=pt" 
"S2448-718X2010000200257-mex","Transparencia y políticas antimonopólicas","McAfee, R. Preston","El trimestre económico; 77(306); 257-272","El trimestre económico","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-718X2010000200257&lang=pt" 
"S2448-718X2010000200275-mex","Las expectativas macroeconómicas de los especialistas. Una evaluación de pronósticos de corto plazo en México","Capistrán, Carlos, López-Moctezuma, Gabriel","El trimestre económico; 77(306); 275-312","El trimestre económico","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-718X2010000200275&lang=pt" 
"S1885-642X2010000200007-esp","Barriers to medication counselling for people with mental health disorders: a six country study","Aaltonen, S. Elina, Laine, Niina P., Volmer, Daisy, Gharat, Manjiri S., Muceniece, Ruta, Vitola, Anna, Foulon, Veerle, Desplenter, Franciska A., Airaksinen, Marja S., Chen, Timothy F., Bell, J. Simon","Pharmacy Practice (Granada); 8(2); 122-131","Pharmacy Practice (Granada)","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2010000200007&lang=pt" 
"S2448-718X2010000200313-mex","La elasticidad de la demanda por electricidad y la política energética","Galetovic, Alexander, Muñoz, Cristián M.","El trimestre económico; 77(306); 313-341","El trimestre económico","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-718X2010000200313&lang=pt" 
"S1885-642X2010000200005-esp","Pharmacists’ attitude, perceptions and knowledge towards the use of herbal products in Abu Dhabi, United Arab Emirates","Fahmy, Sahar A., Abdu, Shajahan, Abuelkhair, Mohammed","Pharmacy Practice (Granada); 8(2); 109-111","Pharmacy Practice (Granada)","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2010000200005&lang=pt" 
"S1885-642X2010000200001-esp","Medication adherence and community pharmacy: a review of education, policy and research in England","Clifford, Sarah, Garfield, Sara, Eliasson, Lina, Barber, Nick","Pharmacy Practice (Granada); 8(2); 77-88","Pharmacy Practice (Granada)","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2010000200001&lang=pt" 
"S1885-642X2010000200003-esp","Parent’s knowledge and management of their children’s ailments in Malaysia","Dawood, Omar T., Ibrahim, Mohamed I.M., Palaian, Subish","Pharmacy Practice (Granada); 8(2); 96-102","Pharmacy Practice (Granada)","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2010000200003&lang=pt" 
"S1885-642X2010000200002-esp","Pharmacists’ perceptions of the impact of care they provide","Loewen, Peter, Merrett, Faye, Lemos, Jane De","Pharmacy Practice (Granada); 8(2); 89-95","Pharmacy Practice (Granada)","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2010000200002&lang=pt" 
"S1885-642X2010000200006-esp","Willingness to pay for a pharmacist’s dispensing service: a cross-sectional pilot study in the state of Penang, Malaysia","Shafie, Asrul A., Hassali, Mohamed A.","Pharmacy Practice (Granada); 8(2); 116-121","Pharmacy Practice (Granada)","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2010000200006&lang=pt" 
"S1885-642X2010000200004-esp","The impact of an immunization training certificate program on the perceived knowledge, skills and attitudes of pharmacy students toward pharmacy-based immunizations","Marcum, Zachary A., Maffeo, Carrie M., Kalsekar, Iftekhar","Pharmacy Practice (Granada); 8(2); 103-108","Pharmacy Practice (Granada)","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2010000200004&lang=pt" 
"S1885-642X2010000200008-esp","Comparison of prescribing criteria in hospitalised Australian elderly","Pattanaworasate, Waratat, Emmerton, Lynne, Pulver, Lisa, Winckel, Karl","Pharmacy Practice (Granada); 8(2); 132-138","Pharmacy Practice (Granada)","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2010000200008&lang=pt" 
"S1885-642X2010000200009-esp","Pharmacists’ participation in the documentation of medication history in a developing setting: an exploratory assessment with new criteria","Yusuff, Kazeem B., Tayo, Fola, Aina, Bola A.","Pharmacy Practice (Granada); 8(2); 139-145","Pharmacy Practice (Granada)","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2010000200009&lang=pt" 
"S1852-15682010000100004-arg","¿Hace la izquierda la diferencia?: La política socio-económica en el «giro a la izquierda» de América Latina","Nazareno, Marcelo","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (23); 217-240","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682010000100004&lang=pt" 
"S1852-15682010000100005-arg","Democracia y globalización. Una mirada desde el sur","Yannuzzi, María de los Angeles","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (23); 193-216","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682010000100005&lang=pt" 
"S1852-15682010000100003-arg","La Revolución Cubana y el caso Padilla en las revistas Plural y Vuelta","Miskulin, Sílvia Cezar","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (23); 217-240","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682010000100003&lang=pt" 
"S1852-15682010000100001-arg","Intelectuales y académicos produciendo el Bicentenario","Lesgart, Cecilia","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (23); 217-240","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682010000100001&lang=pt" 
"S1852-15682010000100008-arg","Deodoro Roca, Obra reunida III: escritos jurídicos y de militancia","Moyano, Javier","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (23); 255-257","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682010000100008&lang=pt" 
"S1852-15682010000100007-arg","Documentos de la UNC, Rectorado, 1910. Archivo Histórico de la Universidad Nacional de Córdoba","","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (23); 241-251","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682010000100007&lang=pt" 
"S1852-15682010000100009-arg","Argentina y la Europa del Nazismo: Sus secuelas","Grillo, María Victoria","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (23); 258-261","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682010000100009&lang=pt" 
"S1852-15682010000100006-arg","El Radicalismo y la política santafesina en la Argentina de la primera república","Macor, Darío, Piazzesi, Susana","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (23); 217-240","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682010000100006&lang=pt" 
"S1852-15682010000100002-arg","Intelectuales y Bicentenario","Tatián, Diego","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (23); 217-240","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682010000100002&lang=pt" 
"S1679-45082010000200187-scl","Evaluation of chemiluminescence method for the analysis of plasma homocysteine and comparison with HPLC method in children samples","Gascón, Thais Moura, Schindler, Fernanda, Oliveira, Claudia Giorgia Bronzatti de, Souza, Fabiola Isabel Suano, Hix, Sonia, Sarni, Roseli Oselka Sacardo, Bacan, Ana Paula Arantes, D&#039;Almeida, Vania, Giglio, Auro del, Fonseca, Fernando Luiz Affonso","Einstein (São Paulo); 8(2); 187-191","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200187&lang=pt" 
"S1679-45082010000200197-scl","Prevalence of upper respiratory tract infections at a tertiary care hospital in the city of São Paulo","Mouro, Amilton, Hidal, Luci Black Tabacow, Martino, Marines Dalla Valle, Pasternark, Jacyr","Einstein (São Paulo); 8(2); 197-199","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200197&lang=pt" 
"S1679-45082010000200149-scl","Denver II: evaluation of the development of children treated in the outpatient clinic of Project Einstein in the Community of Paraisópolis","Moraes, Márcia Wanderley de, Weber, Ana Paula Rodrigues, Santos, Marcela de Castro e Oliveira, Almeida, Fabiane de Amorim","Einstein (São Paulo); 8(2); 149-153","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200149&lang=pt" 
"S1679-45082010000200241-scl","The need to include obstetric nurses in prenatal care visits in the public health system","Garcia, Selma Aparecida Lagrosa, Garcia, Sidney Antonio Lagrosa, Lippi, Umberto Gazi","Einstein (São Paulo); 8(2); 241-247","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200241&lang=pt" 
"S1679-45082010000200205-scl","Comparison of methods of measurement of the finger flexor muscles’ strength through dynamometry and modified manual sphygmomanometer","Lucareli, Paulo Roberto Garcia, Lima, Mário de Oliveira, Lima, Fernanda Pupio Silva, Gimenes, Rafaela Okano, Lucareli, Juliane Gomes de Almeida, Garbelotti Junior, Silvio Antonio, Fukuda, Thiago Yukio, Pompeu, José Eduardo","Einstein (São Paulo); 8(2); 205-208","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200205&lang=pt" 
"S1679-45082010000200232-scl","Developed foot drop as a complication of bariatric surgery: case reports","Prado, Marcelo Pires","Einstein (São Paulo); 8(2); 232-234","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200232&lang=pt" 
"S1679-45082010000200252-scl","Tractography","Nagae, Lídia Mayumi, Pinho, Marco da Cunha, Funari, Marcelo Buarque de Gusmão","Einstein (São Paulo); 8(2); 252-253","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200252&lang=pt" 
"S1679-45082010000200221-scl","Humanization according to cancer patients with extended hospitalization periods","Brito, Natália Tatiani Gonçalves, Carvalho, Rachel de","Einstein (São Paulo); 8(2); 221-227","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200221&lang=pt" 
"S1679-45082010000200209-scl","Patient care and administrative activities of nurses in clinical/surgical units","Luvisotto, Marilia Moura, Vasconcelos, Ana Carolina, Sciarpa, Lívia Canelas, Carvalho, Rachel de","Einstein (São Paulo); 8(2); 209-214","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200209&lang=pt" 
"S1679-45082010000200215-scl","Pharmacy contribution to the prescription and rational use of human albumin at a large hospital","Borges Filho, Wladimir Mendes, Almeida, Silvana Maria de, Ferracini, Fabio Teixeira, Fernandes Júnior, Constantino Jose","Einstein (São Paulo); 8(2); 215-220","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200215&lang=pt" 
"S1679-45082010000200154-scl","Financial incentives for generic drugs: case study on a reimbursement program","Inocencio, Marcos, Amorim, Maria Cristina Sanches, Guevara, Arnoldo Jose de Hoyos, Vivo, Bruna de","Einstein (São Paulo); 8(2); 154-161","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200154&lang=pt" 
"S1679-45082010000200235-scl","Indications of Sentinel Node Biopsy in Thin Melanoma","Silva, Fernanda Braga, Oliveira Filho, Renato Santos de, Iared, Wagner, Atallah, Álvaro Nagib, Santos, Ivan Dunchee de Abranches Oliveira, Ferreira, Lydia Masako","Einstein (São Paulo); 8(2); 235-240","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200235&lang=pt" 
"S1679-45082010000200248-scl","Pathogenesis of pulmonary emphysema – cellular and molecular events","Di Petta, Antonio","Einstein (São Paulo); 8(2); 248-251","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200248&lang=pt" 
"S1679-45082010000200254-scl","Effects of dietary fiber intake on inflammation in chronic diseases","Lottenberg, Ana Maria Pita, Fan, Patricia Luriko Tomita, Buonacorso, Vivian","Einstein (São Paulo); 8(2); 254-258","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200254&lang=pt" 
"S1679-45082010000200175-scl","Adverse drug events leading to emergency department visits in elderly: the role of inappropriate prescription","Farfel, José Marcelo, Accorsi, Tarso Augusto Duenhas, Franken, Marcelo, Doudement, Sueli Pinto, Moran, Mariane, Iervolino, Mauro, Bastos Neto, Antônio Silva","Einstein (São Paulo); 8(2); 175-179","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200175&lang=pt" 
"S1679-45082010000200168-scl","Bone mineral density and body composition in adolescents with failure to thrive","Andrade, Thiago Sacchetto de, Lopes, Luiz Anderson, Pinheiro, Marcelo de Medeiros, Szejnfeld, Vera Lucia, Taddei, José Augusto de Aguiar Carrazedo","Einstein (São Paulo); 8(2); 168-174","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200168&lang=pt" 
"S1679-45082010000200162-scl","Assessing knowledge of Medical undergraduate students on palliative care in end-stage disease patients","Moraes, Sandra Alamino Felix de, Kairalla, Maisa Carla","Einstein (São Paulo); 8(2); 162-167","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200162&lang=pt" 
"S1679-45082010000200143-scl","Incidence of skin conditions in neonates born at a public hospital associated with some variables in pregnant women at risk","Almeida, José Roberto Paes de, Alchorne, Mauricio Mota de Avelar, Rozman, Mauro Abrahão","Einstein (São Paulo); 8(2); 143-148","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200143&lang=pt" 
