"S0101-74382006000200005-scl","Um algoritmo evolutivo híbrido para a formação de células de manufatura em sistemas de produção","Trindade, Áthila Rocha, Ochi, Luiz Satoru","Pesquisa Operacional; 26(2); 255-294","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000200005&lang=pt" 
"S0066-782X2006001500023-scl","Contribuição dos grandes vasos arteriais na adaptação cardiovascular a ortostase","Elias Neto, Jorge","Arquivos Brasileiros de Cardiologia; 87(2); 209-222","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006001500023&lang=pt" 
"S1415-52732006000400006-scl","Dietas vegetarianas e desempenho esportivo","Ferreira, Lucas Guimarães, Burini, Roberto Carlos, Maia, Adriano Fortes","Revista de Nutrição; 19(4); 469-477","Revista de Nutrição","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732006000400006&lang=pt" 
"S1415-52732006000400007-scl","Proteínas do soro do leite: composição, propriedades nutricionais, aplicações no esporte e benefícios para a saúde humana","Haraguchi, Fabiano Kenji, Abreu, Wilson César de, Paula, Heberth de","Revista de Nutrição; 19(4); 479-488","Revista de Nutrição","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732006000400007&lang=pt" 
"S1415-52732006000400008-scl","Ácidos graxos como marcadores biológicos da ingestão de gorduras","Vaz, Juliana dos Santos, Deboni, Fabíola, Azevedo, Mirela Jobim de, Gross, Jorge Luiz, Zelmanovitz, Themis","Revista de Nutrição; 19(4); 489-500","Revista de Nutrição","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732006000400008&lang=pt" 
"S1415-52732006000400009-scl","Aspectos metabólicos e funcionais do zinco na síndrome de Down","Raynério Costa, Marques, Marreiro, Dilina do Nascimento","Revista de Nutrição; 19(4); 501-510","Revista de Nutrição","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732006000400009&lang=pt" 
"S0100-15742006000200001-scl","","","Cadernos de Pesquisa; 36(128); 267-268","Cadernos de Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742006000200001&lang=pt" 
"S0100-15742006000200011-scl","","Carvalho, José Carmelo Braz de, Alvin Filho, Hélcio, Costa, Renato Pontes","Cadernos de Pesquisa; 36(128); 497-500","Cadernos de Pesquisa","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742006000200011&lang=pt" 
"S0104-56872006000200001-scl","EDITORIAL","Andrade, Claudia Regina Furquim de","Pró-Fono Revista de Atualização Científica; 18(2); 125-128","Pró-Fono Revista de Atualização Científica","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-56872006000200001&lang=pt" 
"S0104-56872006000200008-scl","Verificação do desempenho de crianças deficientes auditivas oralizadas em teste de vocabulário","Costa, Marianni Christina Moreira, Chiari, Brasília Maria","Pró-Fono Revista de Atualização Científica; 18(2); 189-196","Pró-Fono Revista de Atualização Científica","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-56872006000200008&lang=pt" 
"S0104-56872006000200006-scl","Potenciais evocados auditivos de média e longa latências em adultos com AIDS","Matas, Carla Gentile, Juan, Kleber Ramos de, Nakano, Renata Agnello","Pró-Fono Revista de Atualização Científica; 18(2); 171-176","Pró-Fono Revista de Atualização Científica","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-56872006000200006&lang=pt" 
"S0021-75572006000500004-scl","Bomba de infusão de insulina em diabetes melito tipo 1","Liberatore Jr., Raphael Del Roio, Damiani, Durval","Jornal de Pediatria; 82(4); 249-254","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000500004&lang=pt" 
"S0021-75572006000500007-scl","Valores críticos do índice de massa corporal para classificação do estado nutricional de crianças e adolescentes brasileiros","Conde, Wolney L., Monteiro, Carlos A.","Jornal de Pediatria; 82(4); 266-272","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000500007&lang=pt" 
"S0021-75572006000500009-scl","Avaliação do pico de pressão, do volume corrente e da freqüência respiratória durante ventilação de carneiros prematuros utilizando balão auto-inflável","Resende, Jefferson G., Zaconeta, Carlos A. M., Ferreira, Antonio C. P., Silva, César A. M., Rodrigues, Marcelo P., Rebello, Celso M., Tavares, Paulo","Jornal de Pediatria; 82(4); 279-283","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000500009&lang=pt" 
"S0021-75572006000500010-scl","Anemia em lactentes de baixa renda em aleitamento materno exclusivo","Torres, Marco Antonio A., Braga, Josefina A. P., Taddei, José Augusto A. C., Nóbrega, Fernando J.","Jornal de Pediatria; 82(4); 284-288","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000500010&lang=pt" 
"S0021-75572006000500011-scl","Prevalência de aleitamento materno exclusivo nos 3 primeiros meses de vida e seus determinantes no Sul do Brasil","Mascarenhas, Maria Laura W., Albernaz, Elaine P., Silva, Mirian B. da, Silveira, Regina B. da","Jornal de Pediatria; 82(4); 289-294","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000500011&lang=pt" 
"S0021-75572006000500012-scl","O significado do grupo de apoio para a família de recém-nascidos de risco e equipe de profissionais na unidade neonatal","Buarque, Virgínia, Lima, Marilia de Carvalho, Scott, Russel Parry, Vasconcelos, Maria Gorete L.","Jornal de Pediatria; 82(4); 295-301","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000500012&lang=pt" 
"S0021-75572006000500006-scl","Efetividade da terapia anti-retroviral dupla e tríplice em crianças infectadas pelo HIV","Romanelli, Roberta M. C., Pinto, Jorge A., Melo, Laura J., Vasconcelos, Mariana A., Pereira, Rafael de Matos","Jornal de Pediatria; 82(4); 260-265","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000500006&lang=pt" 
"S0021-75572006000500013-scl","Modelo hierárquico multivariado da inatividade física em crianças de escolas públicas","Bracco, Mario M., Colugnati, Fernando A. B., Pratt, Michael, Taddei, José A. A. C.","Jornal de Pediatria; 82(4); 302-307","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000500013&lang=pt" 
"S0021-75572006000500014-scl","Perfil bioquímico da água de coco de coqueiros de região não litorânea","Vigliar, Renata, Sdepanian, Vera L., Fagundes-Neto, Ulysses","Jornal de Pediatria; 82(4); 308-312","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000500014&lang=pt" 
"S0021-75572006000500015-scl","Surto em berçário por Klebsiella pneumoniae produtora de beta-lactamase de espectro estendido atribuído à colonização de profissional de saúde portador de onicomicose","Cassettari, Valéria C., Silveira, Isa R., Balsamo, Ana Cristina, Franco, Fábio","Jornal de Pediatria; 82(4); 313-316","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000500015&lang=pt" 
"S0104-56872006000200002-scl","Tipologia das rupturas de fala e classes gramaticais em crianças gagas e fluentes","Juste, Fabiola, Andrade, Claudia Regina Furquim de","Pró-Fono Revista de Atualização Científica; 18(2); 129-140","Pró-Fono Revista de Atualização Científica","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-56872006000200002&lang=pt" 
"S0104-56872006000200003-scl","Sucção em recém-nascidos pré-termo e estimulação da sucção","Neiva, Flávia Cristina Brisque, Leone, Cléa Rodrigues","Pró-Fono Revista de Atualização Científica; 18(2); 141-150","Pró-Fono Revista de Atualização Científica","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-56872006000200003&lang=pt" 
"S0104-56872006000200004-scl","O aspecto familial e o transtorno fonológico","Papp, Ana Carolina Camargo Salvatti, Wertzner, Haydée Fiszbein","Pró-Fono Revista de Atualização Científica; 18(2); 151-160","Pró-Fono Revista de Atualização Científica","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-56872006000200004&lang=pt" 
"S0104-56872006000200005-scl","Efeito da prática musical no reconhecimento da fala no silêncio e no ruído","Soncini, Fabiana, Costa, Maristela Júlio","Pró-Fono Revista de Atualização Científica; 18(2); 161-170","Pró-Fono Revista de Atualização Científica","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-56872006000200005&lang=pt" 
"S0104-56872006000200007-scl","Variáveis lingüísticas e de narrativas no distúrbio de linguagem oral e escrita","Miilher, Liliane Perroud, Ávila, Clara Regina Brandão de","Pró-Fono Revista de Atualização Científica; 18(2); 177-188","Pró-Fono Revista de Atualização Científica","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-56872006000200007&lang=pt" 
"S0104-56872006000200010-scl","Distonia focal laríngea: investigações no corpo que remetem à mente","Salfatis, Daniele Guilhermino, Cunha, Maria Claudia","Pró-Fono Revista de Atualização Científica; 18(2); 207-212","Pró-Fono Revista de Atualização Científica","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-56872006000200010&lang=pt" 
"S0104-56872006000200011-scl","Aspectos sobre desenvolvimento de linguagem oral em craniossinostoses sindrômicas","Arduino-Meirelles, Ana Paula, Lacerda, Cristina Broglia Feitosa de, Gil-da-Silva-Lopes, Vera Lúcia","Pró-Fono Revista de Atualização Científica; 18(2); 213-220","Pró-Fono Revista de Atualização Científica","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-56872006000200011&lang=pt" 
"S0104-56872006000200009-scl","Aplicação do teste de lateralização sonora em idosos","Fonseca, Carolina Battaglia Frota, Iório, Maria Cecília Martinelli","Pró-Fono Revista de Atualização Científica; 18(2); 197-206","Pró-Fono Revista de Atualização Científica","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-56872006000200009&lang=pt" 
"S0036-46652006000400015-scl","Genetic diversity in strains of Yersinia pestis","Oliveira, Maria Betania Melo de","Revista do Instituto de Medicina Tropical de São Paulo; 48(4); 222-222","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652006000400015&lang=pt" 
"S0036-46652006000400012-scl","Brain abscess secondary to frontal osteomyelitis","Tuon, Felipe Francisco, Russo, Rachel, Nicodemo, Antonio Carlos","Revista do Instituto de Medicina Tropical de São Paulo; 48(4); 233-235","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652006000400012&lang=pt" 
"S0036-46652006000400008-scl","Sensitivity of an immunoenzymatic test for detection of ant-L. brasiliensis antibodies compared to other tests used for the diagnosis of American cutaneous leishmaniasis","Ferreira, Maíra Peres, Roselino, Ana Maria Ferreira, Nascimento, Margarida Maria Passeri, Aires, Juliana Machado, Figueiredo, José Fernando de Castro","Revista do Instituto de Medicina Tropical de São Paulo; 48(4); 215-217","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652006000400008&lang=pt" 
"S0036-46652006000400004-scl","Echovirus 4 associated to hand, foot and mouth disease","Russo, Denise Hage, Luchs, Adriana, Machado, Bráulio Caetano, Carmona, Rita de Cássia, Timenetsky, Maria do Carmo Sampaio","Revista do Instituto de Medicina Tropical de São Paulo; 48(4); 197-199","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652006000400004&lang=pt" 
"S0036-46652006000400005-scl","Detection of HIV and HCV RNA in semen from Brazilian coinfected men using multiplex PCR before and after semen washing","Canto, Cynthia Liliane Motta do, Segurado, Aluisio C., Pannut, Cláudio, Cedenho, Agnaldo, Srougi, Miguel, Spaine, Deborah, Fernandes, Silvana, Carretiero, Nadily, Bernal, Maria Carolina, Levi, José Eduardo","Revista do Instituto de Medicina Tropical de São Paulo; 48(4); 201-206","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652006000400005&lang=pt" 
"S0036-46652006000400007-scl","Effect of stalk and leaf extracts from Euphorbiaceae species on Aedes aegypti (Diptera, Culicidae) larvae","Lima, Maria Goretti Araújo de, Maia, Ismália Cassandra Costa, Sousa, Bruna Dantas de, Morais, Selene Maia de, Freitas, Sílvia Maria","Revista do Instituto de Medicina Tropical de São Paulo; 48(4); 211-214","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652006000400007&lang=pt" 
"S0036-46652006000400009-scl","Presence of Leishmania amastigotes in peritoneal fluid of a dog with leishmaniasis from Alagoas, Northeast Brazil","Dantas-Torres, Filipe","Revista do Instituto de Medicina Tropical de São Paulo; 48(4); 219-221","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652006000400009&lang=pt" 
"S0104-11692006000400010-scl","Estresse do enfermeiro em unidade de emergência","Batista, Karla de Melo, Bianchi, Estela Regina Ferraz","Revista Latino-Americana de Enfermagem; 14(4); 534-539","Revista Latino-Americana de Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400010&lang=pt" 
"S0104-42302006000400021-scl","Tétano no climatério","Mieli, Maurício Paulo Angelo, Aldrighi, José Mendes","Revista da Associação Médica Brasileira; 52(4); 229-231","Revista da Associação Médica Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302006000400021&lang=pt" 
"S0104-11692006000400011-scl","Identificação dos critérios de avaliação de resultados do serviço de enfermagem nos programas de acreditação hospitalar","Feldman, Liliane Bauer, Cunha, Isabel Cristina Kowal Olm","Revista Latino-Americana de Enfermagem; 14(4); 540-545","Revista Latino-Americana de Enfermagem","Português, Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400011&lang=pt" 
"S0104-11692006000400002-scl","Life experiences with Systemic Lupus Erythematosus as reported in outpatients&#039; perspective: a clinical-qualitative study in Brazil","Mattje, Gilberto Dari, Turato, Egberto Ribeiro","Revista Latino-Americana de Enfermagem; 14(4); 475-482","Revista Latino-Americana de Enfermagem","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400002&lang=pt" 
"S0104-11692006000400006-scl","Motivos que levam mulheres a não retornarem para receber o resultado de exame Papanicolau","Greenwood, Suzana de Azevedo, Machado, Maria de Fátima Antero Sousa, Sampaio, Neide Maria Vieira","Revista Latino-Americana de Enfermagem; 14(4); 503-509","Revista Latino-Americana de Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400006&lang=pt" 
"S0104-11692006000400013-scl","Perception of persons with severe or profound deafness about the communication process during health care","Cardoso, Adriane Helena Alves, Rodrigues, Karla Gomes, Bachion, Maria Márcia","Revista Latino-Americana de Enfermagem; 14(4); 553-560","Revista Latino-Americana de Enfermagem","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400013&lang=pt" 
"S0104-42302006000400017-scl","Efeitos adversos no pós-operatório de cirurgias ginecológicas e mamárias","Santos, Adriana Cássia Paiva, Braga, Franklin Sarmento da Silva, Braga, Angélica de Fátima Assunção, Souza, Gustavo Antonio de, Morais, Sirlei Siani, Zeferino, Luiz Carlos","Revista da Associação Médica Brasileira; 52(4); 203-207","Revista da Associação Médica Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302006000400017&lang=pt" 
"S0104-42302006000400018-scl","Estudo comparativo entre supra-renalectomia laparoscópica pelos acessos transperitoneal e retroperitoneal","Tobias-Machado, Marcos, Lasmar, Marco Túlio Coelho, Zambon, João Paulo, Tristão, Rodrigo, Forseto Jr, Pedro Hermínio, Juliano, Roberto Vaz, Wroclawski, Eric Roger","Revista da Associação Médica Brasileira; 52(4); 208-213","Revista da Associação Médica Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302006000400018&lang=pt" 
"S0104-42302006000400019-scl","Estado nutricional e fatores associados em idosos","Campos, Marta Alice Gomes, Pedroso, Enio Roberto Pietra, Lamounier, Joel Alves, Colosimo, Enrico Antonio, Abrantes, Marcelo Militão","Revista da Associação Médica Brasileira; 52(4); 214-221","Revista da Associação Médica Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302006000400019&lang=pt" 
"S0104-42302006000400020-scl","Avaliação clínica e de sintomas psiquiátricos no hipotireoidismo subclínico","Teixeira, Patrícia de Fátima dos Santos, Reuters, Vaneska Spinelli, Almeida, Cloyra Paiva, Ferreira, Márcia Martins, Wagman, Márcia Branco, Reis, Fabíola Alves Aarão, Costa, Antonio José Leal, Vaisman, Mário","Revista da Associação Médica Brasileira; 52(4); 222-228","Revista da Associação Médica Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302006000400020&lang=pt" 
"S0104-42302006000400022-scl","Fetal rhd genotyping from maternal plasma in a population with a highly diverse ethnic background","Machado, Isabela Nelly, Castilho, Lilian, Pellegrino Jr., Jordão, Barini, Ricardo","Revista da Associação Médica Brasileira; 52(4); 232-235","Revista da Associação Médica Brasileira","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302006000400022&lang=pt" 
"S0104-42302006000400023-scl","Qualidade de vida em portadores de doença arterial coronária: comparação entre gêneros","Favarato, Maria Elenita Corrêa de Sampaio, Favarato, Desidério, Hueb, Whady Armindo, Aldrighi, José Mendes","Revista da Associação Médica Brasileira; 52(4); 236-241","Revista da Associação Médica Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302006000400023&lang=pt" 
"S1413-24782006000200002-scl","Para uma análise das relações entre famílias populares e escola: confrontação entre lógicas socializadoras","Thin, Daniel","Revista Brasileira de Educação; 11(32); 211-225","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200002&lang=pt" 
"S1413-24782006000200003-scl","Do acesso à permanência no ensino superior: percursos de estudantes universitários de camadas populares","Zago, Nadir","Revista Brasileira de Educação; 11(32); 226-237","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200003&lang=pt" 
"S1413-24782006000200004-scl","Juventude e poder local: um balanço de iniciativas públicas voltadas para jovens em municípios de regiões metropolitanas","Sposito, Marilia Pontes, Carvalho e Silva, Hamilton Harley de, Souza, Nilson Alves de","Revista Brasileira de Educação; 11(32); 238-257","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200004&lang=pt" 
"S1413-24782006000200005-scl","Docência na universidade, cultura e avaliação institucional: saberes silenciados em questão","Cunha, Maria Isabel da","Revista Brasileira de Educação; 11(32); 258-271","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200005&lang=pt" 
"S1413-24782006000200006-scl","A educação popular e a (re)construção do público: há fogo sob as brasas?","Streck, Danilo R.","Revista Brasileira de Educação; 11(32); 272-284","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200006&lang=pt" 
"S1413-24782006000200007-scl","Currículo como espaço-tempo de fronteira cultural","Macedo, Elizabeth","Revista Brasileira de Educação; 11(32); 285-296","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200007&lang=pt" 
"S1413-24782006000200008-scl","Discursos do mundo do trabalho nos livros didáticos do ensino médio","Dias, Rosanne Evangelista, Abreu, Rozana Gomes de","Revista Brasileira de Educação; 11(32); 297-307","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200008&lang=pt" 
"S1413-24782006000200009-scl","As transformações na esfera pública e a ação ecológica: educação e política em tempos de crise da modernidade","Carvalho, Isabel Cristina de Moura","Revista Brasileira de Educação; 11(32); 308-315","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200009&lang=pt" 
"S1413-24782006000200010-scl","O processo de escolarização entre os Xakriabá: explorando alternativas de análise na antropologia da educação","Gomes, Ana Maria R.","Revista Brasileira de Educação; 11(32); 316-327","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200010&lang=pt" 
"S1413-24782006000200011-scl","História cultural e história da educação","Falcon, Francisco José Calazans","Revista Brasileira de Educação; 11(32); 328-339","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200011&lang=pt" 
"S1413-24782006000200013-scl","As dimensões da qualidade dos periódicos científicos e sua presença em um instrumento da área da educação","Trzesniak, Piotr","Revista Brasileira de Educação; 11(32); 346-361","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200013&lang=pt" 
"S0104-11692006000400003-scl","O significado da mudança no modo de vida da pessoa com estomia intestinal definitiva","Silva, Ana Lúcia, Shimizu, Helena Eri","Revista Latino-Americana de Enfermagem; 14(4); 483-490","Revista Latino-Americana de Enfermagem","Português, Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400003&lang=pt" 
"S0104-11692006000400004-scl","Analysis of proxemic communication with HIV/AIDS patients","Galvão, Marli Teresinha Gimeniz, Paiva, Simone de Sousa, Sawada, Namie Okino, Pagliuca, Lorita Marlena Freitag","Revista Latino-Americana de Enfermagem; 14(4); 491-496","Revista Latino-Americana de Enfermagem","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400004&lang=pt" 
"S0104-11692006000400008-scl","A relação entre o trabalho, a saúde e as condições de vida: negatividade e positividade no trabalho das profissionais de enfermagem de um hospital escola","Elias, Marisa Aparecida, Navarro, Vera Lúcia","Revista Latino-Americana de Enfermagem; 14(4); 517-525","Revista Latino-Americana de Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400008&lang=pt" 
"S0104-11692006000400009-scl","Cross-cultural adaptation of the Burns Specific Pain Anxiety Scale - BSPAS to be used with Brazilian burned patients","Echevarría-Guanilo, María Elena, Rossi, Lídia Aparecida, Dantas, Rosana Aparecida Spadoti, Santos, Cláudia Benedita dos","Revista Latino-Americana de Enfermagem; 14(4); 526-533","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400009&lang=pt" 
"S0104-11692006000400012-scl","Hand hygiene: the impact of incentive strategies on adherence among healthcare workers from a newborn intensive care unit","Neves, Zilah Cândida Pereira das, Tipple, Anaclara Ferreira Veiga, Souza, Adenícia Custódia Silva e, Pereira, Milca Severino, Melo, Dulcelene de Sousa, Ferreira, Lucimar Rodrigues","Revista Latino-Americana de Enfermagem; 14(4); 546-552","Revista Latino-Americana de Enfermagem","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400012&lang=pt" 
"S0104-11692006000400014-scl","Evolution of nursing diagnoses for children with congenital heart disease","Silva, Viviane Martins da, Araujo, Thelma Leite de, Lopes, Marcos Venícios de Oliveira","Revista Latino-Americana de Enfermagem; 14(4); 561-568","Revista Latino-Americana de Enfermagem","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400014&lang=pt" 
"S0104-11692006000400016-scl","Violência intrafamiliar na adolescência na cidade de Puno - Peru","Flores Sullca, Tita, Schirmer, Janine","Revista Latino-Americana de Enfermagem; 14(4); 579-585","Revista Latino-Americana de Enfermagem","Português, Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400016&lang=pt" 
"S0104-11692006000400017-scl","Cotidiano de portadores de esquizofrenia, após uso de um antipsicótico atípico e acompanhamento em grupo: visão do familiar","Durão, Ana Maria Sertori, Souza, Maria Conceição Bernardo de Mello e","Revista Latino-Americana de Enfermagem; 14(4); 586-592","Revista Latino-Americana de Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400017&lang=pt" 
"S0104-11692006000400018-scl","Análise dos custos do reprocessamento de pinças de uso único utilizadas em cirurgia vídeo-assistida","Psaltikidis, Eliane Molina, Graziano, Kazuko Uchikawa, Frezatti, Fábio","Revista Latino-Americana de Enfermagem; 14(4); 593-600","Revista Latino-Americana de Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400018&lang=pt" 
"S0104-11692006000400022-scl","Lombalgia na gestação","Novaes, Flavia Silva, Shimo, Antonieta Keiko Kakuda, Lopes, Maria Helena Baena de Moraes","Revista Latino-Americana de Enfermagem; 14(4); 620-624","Revista Latino-Americana de Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400022&lang=pt" 
"S0104-11692006000400020-scl","Análise da produção científica sobre a Classificação das Intervenções de Enfermagem (NIC) de 1980 a 2004","Napoleão, Anamaria Alves, Chianca, Tânia Couto Machado, Carvalho, Emília Campos de, Dalri, Maria Célia Barcellos","Revista Latino-Americana de Enfermagem; 14(4); 608-613","Revista Latino-Americana de Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400020&lang=pt" 
"S0104-11692006000400005-scl","Ethical events in nursing: daily activities of nurse managers and nursing ethics committee members","Freitas, Genival Fernandes de, Oguisso, Taka, Merighi, Miriam Aparecida Barbosa","Revista Latino-Americana de Enfermagem; 14(4); 497-502","Revista Latino-Americana de Enfermagem","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400005&lang=pt" 
"S0104-11692006000400007-scl","Medical reports recommending work restrictions at a teaching hospital in Brazil","Gurgueira, Giovana Pimentel, Alexandre, Neusa Maria Costa","Revista Latino-Americana de Enfermagem; 14(4); 510-516","Revista Latino-Americana de Enfermagem","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400007&lang=pt" 
"S0104-11692006000400015-scl","Socialization of children and adolescents with cystic fibrosis: support for nursing care","Pizzignacco, Tainá Maués Pelúcio, Lima, Regina Aparecida Garcia de","Revista Latino-Americana de Enfermagem; 14(4); 569-577","Revista Latino-Americana de Enfermagem","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400015&lang=pt" 
"S0104-11692006000400023-scl","Violence against children and adolescents: a challenge in the daily work of the nursing team","Algeri, Simone, Souza, Luccas Melo de","Revista Latino-Americana de Enfermagem; 14(4); 625-631","Revista Latino-Americana de Enfermagem","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400023&lang=pt" 
