"S0188-25032015000300007-mex","La política en los bordes del liberalismo: Diferencia, populismo, revolución, emancipación","Cabrera A., Raúl E.","Revista mexicana de sociología; 77(3); 502-505","Revista mexicana de sociología","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032015000300007&lang=pt" 
"S0717-34582015000500005-chl","A simple and efficient method for extraction of Taq DNA polymerase","Chen, Sique, Zheng, Xiujuan, Cao, Hongrui, Jiang, Linghui, Liu, Fangqian, Sun, Xinli","Electronic Journal of Biotechnology; 18(5); 343-346","Electronic Journal of Biotechnology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582015000500005&lang=pt" 
"S0717-34582015000500006-chl","Expression of RsMYB1 in chrysanthemum regulates key anthocyanin biosynthetic genes","Naing, Aung Htay, Ai, Trinh Ngoc, Jeon, Su Min, Park, Kyeung Il, Lim, Ki Byung, Kim, Chang Kil","Electronic Journal of Biotechnology; 18(5); 359-364","Electronic Journal of Biotechnology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582015000500006&lang=pt" 
"S0717-34582015000500007-chl","Meat tenderness genetic polymorphisms occurrence and distribution in five Zebu breeds in Mexico","Parra-Bracamonte, Gaspar Manuel, Martínez-González, Juan C, Sifuentes-Rincón, Ana M, Moreno-Medina, Victor R, Ortega-Rivas, Eligio","Electronic Journal of Biotechnology; 18(5); 365-367","Electronic Journal of Biotechnology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582015000500007&lang=pt" 
"S0717-34582015000500004-chl","Soft computing model on genetic diversity and pathotype differentiation of pathogens: A novel approach","Gürüler, Hüseyin, Peker, Musa, Baysal, Ömür","Electronic Journal of Biotechnology; 18(5); 347-354","Electronic Journal of Biotechnology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582015000500004&lang=pt" 
"S0717-34582015000500002-chl","Construction and expression of two-copy engineered yeast of feruloyl esterase","Zhou, Min, Huang, Zhiqing, Zhou, Bo, Luo, Yanliu, Jia, Gang, Liu, Guangmang, Zhao, Hua, Chen, Xiaoling","Electronic Journal of Biotechnology; 18(5); 338-342","Electronic Journal of Biotechnology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582015000500002&lang=pt" 
"S0717-34582015000500003-chl","Effect of pH in the survival of Lactobacillus salivarius strain UCO_979C wild type and the pH acid acclimated variant","Sanhueza, Enrique, Paredes-Osses, Esteban, González, Carlos L, García, Apolinaria","Electronic Journal of Biotechnology; 18(5); 343-346","Electronic Journal of Biotechnology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582015000500003&lang=pt" 
"S0717-34582015000500001-chl","The effects of ethylene on the HCl-extractability of trace elements during soybean seed germination","Liu, Chunming, Zhao, Yixin, Liu, Jianfeng, Gen, Wanting, Cheng, Yunqing","Electronic Journal of Biotechnology; 18(5); 333-337","Electronic Journal of Biotechnology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582015000500001&lang=pt" 
"S0717-34582015000500008-chl","Overexpression of a cysteine proteinase inhibitor gene from Jatropha curcas confers enhanced tolerance to salinity stress","Li, Rui, Wang, Wanjun, Wang, Wenguo, Li, Fosheng, Wang, Qingwei, Xu, Ying, Wang, Shenghua","Electronic Journal of Biotechnology; 18(5); 368-375","Electronic Journal of Biotechnology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582015000500008&lang=pt" 
"S0717-34582015000500009-chl","Isolation and characterization of a novel (S)-canadine synthase gene from Coptis chinensis","He, Yang, Hou, Pei, Fan, Gang, Li, Dongmei, Peng, Cheng","Electronic Journal of Biotechnology; 18(5); 376-380","Electronic Journal of Biotechnology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582015000500009&lang=pt" 
"S0717-34582015000500010-chl","The effect of three plant bioregulators on pollen germination, pollen tube growth and fruit set in almond [Prunus dulcis (Mill.) D.A. Webb] cvs. Non Pareil and Carmel","Maita, Segundo, Sotomayor, Carlos","Electronic Journal of Biotechnology; 18(5); 381-386","Electronic Journal of Biotechnology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582015000500010&lang=pt" 
"S0717-34582015000500011-chl","Corrigendum to The effect of high concentrations of glycerol on the growth, metabolism and adaptation capacity of Clostridium butyricum DSP1","Szymanowska-Powalowska, Daria","Electronic Journal of Biotechnology; 18(5); 387-387","Electronic Journal of Biotechnology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582015000500011&lang=pt" 
"S0100-55022015000300450-scl","Experiência Pedagógica em Patologia na Faculdade de Medicina da UFC","Monteiro, Daniela Cristina Sensato, Silva Júnior, José Udevanier Rebouças da, Matos, Loraine Correia Vieira, Pompeu, Margarida Maria de Lima, Dornelas, Conceição Aparecida","Revista Brasileira de Educação Médica; 39(3); 450-455","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300450&lang=pt" 
"S0100-55022015000300339-scl","Reflexões acerca do Ensino de Pediatria no Século XXI: o Cenário Brasileiro","Moreira, Andréia de Santana Silva, Araújo, Alexandra Prufer Queiroz Campos, Ribeiro, Márcia Gonçalves, Siqueira-Batista, Rodrigo","Revista Brasileira de Educação Médica; 39(3); 339-343","Revista Brasileira de Educação Médica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022015000300339&lang=pt" 
"S2174-51452015000300006-esp","Protocol development for a scale to assess self-efficacy in adherence to a gluten free diet: sslf-Efficacy and Celiac Disease Scale","Fueyo-Díaz, Ricardo, Magallón-Botaya, Rosa, Sánchez-Calavera, María Antonia, Asensio-Martínez, Angela, Gascón-Santos, Santiago","Revista Española de Nutrición Humana y Dietética; 19(3); 160-166","Revista Española de Nutrición Humana y Dietética","Inglês","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2174-51452015000300006&lang=pt" 
"S0465-546X2015000300003-esp","Evolución del impacto de la cardiopatía isquémica en la reincorporación laboral de trabajadores españoles","García García, Ángel, Ramos Ramos, Charo, Toledo Hervás, Beatriz, Inchausti Sánchez, Víctor, González Ramirez, César, Fernández Bardisa, Helena, González López, María Teresa, Ramos Muñoz, Rafael","Medicina y Seguridad del Trabajo; 61(240); 325-341","Medicina y Seguridad del Trabajo","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0465-546X2015000300003&lang=pt" 
"S0465-546X2015000300008-esp","Manejo de la fibra de vidrio en entorno laboral, potenciales efectos sobre la salud y medidas de control (Revisión)","Pietropaoli, Antonello, Basti, Federico, Veiga-Álvarez, Álvaro, Maqueda-Blasco, Jerónimo","Medicina y Seguridad del Trabajo; 61(240); 393-414","Medicina y Seguridad del Trabajo","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0465-546X2015000300008&lang=pt" 
"S2174-51452015000300007-esp","Estrategias de suplementacion y función gastrointestinal en atletas de resistencia","Duarte, Vivian Ximena, Giménez-Sánchez, Jaume","Revista Española de Nutrición Humana y Dietética; 19(3); 167-174","Revista Española de Nutrición Humana y Dietética","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2174-51452015000300007&lang=pt" 
"S0864-34662015000300002-spa","Necesidades de atención en salud percibidas por adultos mayores cubanos","Rodríguez Cabrera, Aida, Collazo Ramos, Milagros, Álvarez Vázquez, Luisa, Calero Ricardo, Jorge, Castañeda Abascal, Ileana, Gálvez González, Ana María","Revista Cubana de Salud Pública; 41(3); 401-412","Revista Cubana de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662015000300002&lang=pt" 
"S0864-34662015000300009-spa","El Rijcharismo en el Altiplano peruano como una experiencia pionera de salud intercultural en América","Aliaga Rodríguez, Gustavo","Revista Cubana de Salud Pública; 41(3); 497-509","Revista Cubana de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662015000300009&lang=pt" 
"S0864-34662015000300008-spa","Factores relacionados con la preferencia de las mujeres de zonas rurales por la partera tradicional","Laza Vásquez, Celmira","Revista Cubana de Salud Pública; 41(3); 487-496","Revista Cubana de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662015000300008&lang=pt" 
"S0864-34662015000300004-spa","Determinantes sociodemográficos y muerte súbita cardiovascular","Araujo González, Rafael, Ochoa Montes, Luis Alberto, López Tutusaus, Taylí","Revista Cubana de Salud Pública; 41(3); 427-440","Revista Cubana de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662015000300004&lang=pt" 
"S0864-34662015000300012-spa","Implicaciones jurídicas para el debate cubano sobre eutanasia","Quintero Silverio, Odalys, Rodríguez Hernández, Jorge Félix","Revista Cubana de Salud Pública; 41(3); 547-565","Revista Cubana de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662015000300012&lang=pt" 
"S0864-34662015000300011-spa","Aproximación teórica a las desigualdades sociales en la tuberculosis como problema de salud","León Cabrera, Pablo, Pría Barros, Maria del Carmen, Perdomo Victoria, Irene, Ramis Andalia, Rina","Revista Cubana de Salud Pública; 41(3); 532-546","Revista Cubana de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662015000300011&lang=pt" 
"S0864-34662015000300003-spa","Neumonía adquirida en la comunidad: aspectos clínicos y valoración del riesgo en ancianos hospitalizados","Aleaga Hernandez, Yordanka Yamiléx, Serra Valdes, Miguel Angel, Cordero López, Girelda","Revista Cubana de Salud Pública; 41(3); 413-426","Revista Cubana de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662015000300003&lang=pt" 
"S0864-34662015000300005-spa","Comportamiento de la tuberculosis en la década de 1990 en Cuba","Beldarraín Chaple, Enrique, Morales Hernández, Niurka","Revista Cubana de Salud Pública; 41(3); 441-458","Revista Cubana de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662015000300005&lang=pt" 
"S0120-56092015000300010-col","An information search model for online social Networks - MOBIRSE","Astaiza, J.A, Cerón, I.D, Niño-Zambrano, M.A, Ramírez-González, G.A","Ingeniería e Investigación; 35(3); 76-83","Ingeniería e Investigación","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56092015000300010&lang=pt" 
"S0120-56092015000300005-col","A recursive formula for the evaluation of earth return impedance on buried cables","Iracheta-Cortez, R","Ingeniería e Investigación; 35(3); 34-43","Ingeniería e Investigación","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56092015000300005&lang=pt" 
"S0120-56092015000300013-col","New heuristic algorithm for dynamic traffic in WDM optical networks","Rodríguez-García, A, Ramírez-López, L, Travieso-Torres, J.C","Ingeniería e Investigación; 35(3); 100-106","Ingeniería e Investigación","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56092015000300013&lang=pt" 
"S0120-56092015000300007-col","High-dynamic range compressive spectral imaging by grayscale coded aperture adaptive filtering","Diaz, N, Rueda, H, Arguello, H","Ingeniería e Investigación; 35(3); 53-60","Ingeniería e Investigación","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56092015000300007&lang=pt" 
"S1578-84232015000300021-esp","Influencia del tipo defensa sobre el éxito en el lanzamiento","Serna Bardavío, Jorge, Muñoz Arroyave, Verónica","Cuadernos de Psicología del Deporte; 15(3); 193-198","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300021&lang=pt" 
"S0120-56092015000300006-col","Influence of moist air in copper heat sinks: Analysis through the entropy generation minimization criterion","Cruz, J, Amaya, I, Correa, R","Ingeniería e Investigación; 35(3); 44-52","Ingeniería e Investigación","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56092015000300006&lang=pt" 
"S0120-56092015000300016-col","Developing students&#039; aptitudes through University-Industry collaboration","Aizpun, M, Sandino, D, Merideno, I","Ingeniería e Investigación; 35(3); 121-128","Ingeniería e Investigación","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56092015000300016&lang=pt" 
"S0120-56092015000300009-col","Simple generation of threshold for images binarization on FPGA","Ieno, E, Garcés, L.M, Cabrera, A.J, Pimenta, T.C","Ingeniería e Investigación; 35(3); 69-75","Ingeniería e Investigación","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56092015000300009&lang=pt" 
"S0120-56092015000300012-col","New digital demodulator with matched filters and curve segmentation techniques for BFSK demodulation: Analytical description","Torres, J, Hernández, F, Habermann, J","Ingeniería e Investigación; 35(3); 92-99","Ingeniería e Investigación","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56092015000300012&lang=pt" 
"S0120-56092015000300014-col","Mechatronics methodology: 15 years of experience","Gorrostieta, E, Vargas-Soto, E, Zuñiga-Aviles, L, Rodriguez-Resendiz, J, Tovar-Arriaga, S","Ingeniería e Investigación; 35(3); 107-114","Ingeniería e Investigación","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56092015000300014&lang=pt" 
"S0120-56092015000300004-col","Reverse logistics in the plastics subsector: Main facilitators and barriers","Peña Montoya, C.C, Osorio Gomez, J.C, Vidal Holguin, C.J, Torres Lozada, P, Marmolejo Rebellon, L.F","Ingeniería e Investigación; 35(3); 27-33","Ingeniería e Investigación","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56092015000300004&lang=pt" 
"S0120-56092015000300015-col","The influence of a non-linear lecturing approach on student attention: Implementation and assessment","Merideno, I, Antón, R, Prada, J.G","Ingeniería e Investigación; 35(3); 115-120","Ingeniería e Investigación","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56092015000300015&lang=pt" 
"S0120-56092015000300008-col","Enhanced method for flaws depth estimation in CFRP slabs from FDTC thermal contrast sequences","Restrepo-Girón, A.D","Ingeniería e Investigación; 35(3); 61-68","Ingeniería e Investigación","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56092015000300008&lang=pt" 
"S1578-84232015000300024-esp","¿Puede el principio de lateralidades múltiples mejorar el porcentaje de acierto en el tiro a canasta?","Lopez-Diaz, C.J., Niño García, N., Sillero Quintana, M., Lorenzo Calvo, A.","Cuadernos de Psicología del Deporte; 15(3); 211-218","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300024&lang=pt" 
"S0120-56092015000300003-col","Kinetic analysis of the thermal decomposition of Colombian vacuum residua by thermogravimetry","Díaz, F.A, Chaves, A, Maradei, M.P, Fuentes, D, Guzmán, A, Picón, H","Ingeniería e Investigación; 35(3); 19-26","Ingeniería e Investigación","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-56092015000300003&lang=pt" 
"S1578-84232015000300030-esp","Adaptación y validación de la CBAS para la observación de climas motivacionales","Rodríguez-Peláez, Diego, Garrido, Pablo, Conde, Cristina, Almagro, Bartolomé J.","Cuadernos de Psicología del Deporte; 15(3); 253-260","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300030&lang=pt" 
"S1578-84232015000300010-esp","Relación del conocimiento táctico de jóvenes futbolistas con la edad, la experiencia y el nivel de pericia","Serra-Olivares, Jaime, García-López, Luis M., Calderón, Antonio, Cuevas-Campos, Ricardo","Cuadernos de Psicología del Deporte; 15(3); 105-112","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300010&lang=pt" 
"S1578-84232015000300002-esp","Adaptación y validación de un cuestionario para valorar la motivación en el contexto deportivo","Pulido González, Juan José, Sánchez-Oliva, David, González-Ponce, Inmaculada, Amado Alonso, Diana, Montero Carretero, Carlos, García-Calvo, Tomás","Cuadernos de Psicología del Deporte; 15(3); 17-26","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300002&lang=pt" 
"S1578-84232015000300023-esp","Análisis de las conductas de los entrenadores después del tiro en baloncesto","Longarela Pérez, Benjamín, Fernández Romero, Juan José, Saavedra García, Miguel","Cuadernos de Psicología del Deporte; 15(3); 205-210","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300023&lang=pt" 
"S1578-84232015000300017-esp","Diseño, fiabilidad y validez del instrumento de observación SOCCB para el análisis de las finalizaciones en baloncesto","Muñoz Arroyave, Verónica, Serna Bardavío, Jorge","Cuadernos de Psicología del Deporte; 15(3); 169-174","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300017&lang=pt" 
"S1578-84232015000300028-esp","Efecto de la edad relativa en los mundiales de baloncesto FIBA en categorías inferiores (1979-2011)","Saavedra García, Miguel, Gutiérrez Aguilar, Óscar, Galatti, Larissa, Fernández Romero, Juan J.","Cuadernos de Psicología del Deporte; 15(3); 237-242","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300028&lang=pt" 
"S1578-84232015000300019-esp","Exploring collective spatial distribution in basketball","Tiago Esteves, Pedro, Lima Arede, Jorge","Cuadernos de Psicología del Deporte; 15(3); 181-186","Cuadernos de Psicología del Deporte","Inglês","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300019&lang=pt" 
"S1578-84232015000300012-esp","Efecto del nivel de experiencia clínica del examinador sobre la validez de criterio y fiabilidad inter-sesión de cinco medidas del rango de movimiento de la flexión dorsal del tobillo","Gómez-Jiménez, Fernando, Ayala, Francisco, Cejudo, Antonio, Sainz de Baranda, Pilar, Santonja, Fernando","Cuadernos de Psicología del Deporte; 15(3); 123-134","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300012&lang=pt" 
"S1578-84232015000300025-esp","Influencia de un programa de intervención en las conductas de los entrenadores de baloncesto en categorías de formación","Longarela Pérez, Benjamín, Montero Seoane, Antonio","Cuadernos de Psicología del Deporte; 15(3); 219-226","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300025&lang=pt" 
"S1578-84232015000300014-esp","A bibliometric review of the scientific production in handball","Prieto, Jaime, Gómez, Miguel-Ángel, Sampaio, Jaime","Cuadernos de Psicología del Deporte; 15(3); 145-154","Cuadernos de Psicología del Deporte","Inglês","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300014&lang=pt" 
"S1578-84232015000300009-esp","Efecto de la bajada de peso y la competición sobre el perfil de estado de ánimo en deportes de combate","Martínez-Abellán, Alberto, Morán-Navarro, Ricardo, López-Gullón, José María, Pallarés, Jesús G., Cruz-Sánchez, Ernesto de la, Ortín, Francisco","Cuadernos de Psicología del Deporte; 15(3); 99-104","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300009&lang=pt" 
"S1578-84232015000300027-esp","Rendimiento del jugador de baloncesto en silla de ruedas según la estadística de juego","Pérez-Tejero, Javier, Pinilla Arbex, Javier","Cuadernos de Psicología del Deporte; 15(3); 231-236","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300027&lang=pt" 
"S1983-21252015000300206-scl","MODELAGEM DO PROCESSO DE SECAGEM DE SEMENTES DE FEIJÃO-CAUPI","CAMICIA, RAFAELA GREICI DA MOTTA, CHRIST, DIVAIR, COELHO, SILVIA RENATA MACHADO, CAMICIA, RICARDO FERNANDO DA MOTTA","Revista Caatinga; 28(3); 206-214","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300206&lang=pt" 
"S1983-21252015000300196-scl","CARACTERIZAÇÃO FOTOSSINTÉTICA DA ESPÉCIE ISOHÍDRICA PATA-DE-ELEFANTE EM CONDIÇÕES DE DEFICIÊNCIA HÍDRICA","BERTOLLI, SUZANA CHIARI, SOUZA, JULIANO DE, SOUZA, GUSTAVO MAIA","Revista Caatinga; 28(3); 196-205","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300196&lang=pt" 
"S1983-21252015000300263-scl","COMPORTAMENTO IN VITRO DO AGENTE ETIOLÓGICO DA FUSARIOSE E AVALIAÇÃO DE MÉTODOS DE INOCULAÇÃO EM ABACAXIZEIRO","GARCIA, WANDREILLA MOREIRA, KRAUSE, WILLIAN, ARAÚJO, DEJÂNIA VIEIRA DE, SILVA, CELICE ALEXANDRE, MIRANDA, ANDERSON FERNANDES DE","Revista Caatinga; 28(3); 263-268","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300263&lang=pt" 
"S1983-21252015000300086-scl","EL TRATAMIENTO DE SEMILLAS DE MAÍZ CON MICRONUTRIENTES AUMENTA EL RENDIMIENTO DE GRANO","DOURADO NETO, DURVAL, MARTIN, THOMAS NEWTON, PAVINATO, PAULO SERGIO, NUNES, UBIRAJARA RUSSI, ESCOBAR, OTÁVIO DOS SANTOS, FIPKE, GLAUBER MONÇON","Revista Caatinga; 28(3); 86-92","Revista Caatinga","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300086&lang=pt" 
"S1983-21252015000300036-scl","EFEITO DE EXTRATOS DE Allamanda blanchetti NO CONTROLE DE Alternaria brassicicola EM MUDAS DE COUVE-MANTEIGA","BARROS, JULIANA DE SOUZA GRANJA, GOMES, ERBS CINTRA DE SOUZA, CAVALCANTI, LEONARDO SOUSA","Revista Caatinga; 28(3); 36-46","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300036&lang=pt" 
"S1983-21252015000300137-scl","MATURAÇÃO FISIOLÓGICA DE SEMENTES DE PIMENTA &#039;BODE VERMELHA&#039;","GONÇALVES, VANESSA DAMASCENO, MÜLLER, DANIELLE HELENA, FAVA, CARMEN LÚCIA FERREIRA, CAMILI, ELISANGELA CLARETE","Revista Caatinga; 28(3); 137-146","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300137&lang=pt" 
"S1983-21252015000300147-scl","SELEÇÃO DE LINHAGENS DE FEIJÃO COM BASE NO PADRÃO E NA QUALIDADE DE SEMENTES","MAMBRIN, RITIELI BAPTISTA, RIBEIRO, NERINÉIA DALFOLLO, HENNING, LILIANE MARCIA MERTZ, HENNING, FERNANDO AUGUSTO, BARKERT, KARINE ANDRÉIA","Revista Caatinga; 28(3); 147-156","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300147&lang=pt" 
"S1983-21252015000300184-scl","MORFOGÊNESE DA PALMA FORRAGEIRA IRRIGADA POR GOTEJAMENTO","PEREIRA, POLIANA DE CALDAS, SILVA, THIERES GEORGE FREIRE DA, ZOLNIER, SÉRGIO, MORAIS, JOSÉ EDSON FLORENTINO DE, SANTOS, DJALMA CORDEIRO DOS","Revista Caatinga; 28(3); 184-195","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300184&lang=pt" 
"S1983-21252015000300068-scl","CRESCIMENTO E EFICIÊNCIA NUTRICIONAL DO NITROGÊNIO EM CULTIVARES DE MILHETO FORRAGEIRO NA AMAZÔNIA","MELO, NILVAN CARVALHO, FERNANDES, ANTONIO RODRIGUES, GALVÃO, JESSIVALDO RODRIGUES","Revista Caatinga; 28(3); 68-78","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300068&lang=pt" 
"S1983-21252015000300128-scl","HERANÇA DA RESISTÊNCIA AO Papaya ringspot virus EM MELANCIA","SILVEIRA, LINDOMAR MARIA DA, QUEIRÓZ, MANOEL ABILIO DE, LIMA, JOSÉ ABÉRSIO DE ARAÚJO, NUNES, GLAUBER HENRIQUE DE SOUSA, NASCIMENTO, ALINE KELLY QUEIROZ DO, NETO, IZAIAS DA SILVA LIMA","Revista Caatinga; 28(3); 128-136","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300128&lang=pt" 
"S1983-21252015000300093-scl","VIGOR TESTS ASSOCIATION AS AN ALTERNATIVE FOR PRECISE AND EFFICIENT ASSESSMENT OF MAIZE SEED QUALITY","DIAS, MARCOS ALTOMANI NEVES, MONDO, VITOR HENRIQUE VAZ, CICERO, SILVIO MOURE, GONÇALVES, NAYARA ROBERTO, SILVA, CIBELE APARECIDA TEIXEIRA DA","Revista Caatinga; 28(3); 93-99","Revista Caatinga","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300093&lang=pt" 
"S1983-21252015000300239-scl","QUALIDADE DE CEBOLA EM FUNÇÃO DE DOSES DE NITROGÊNIO E ÉPOCAS DE PLANTIO","RODRIGUES, GARDÊNIA SILVANA DE OLIVEIRA, GRANGEIRO, LEILSON COSTA, NEGREIROS, MARIA ZULEIDE DE, SILVA, ANA CLÁUDIA DA, NOVO JÚNIOR, JOSÉ","Revista Caatinga; 28(3); 239-247","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300239&lang=pt" 
"S1578-84232015000300022-esp","Evolución de las capacidades físicas en jugadores jóvenes de baloncesto de medio nivel","Calleja-González, Julio, Cámara Tobalina, Jesús, Martínez-Santos, Raúl, Mejuto, Gaizka, Terrados, Nicolás","Cuadernos de Psicología del Deporte; 15(3); 199-204","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300022&lang=pt" 
"S1578-84232015000300031-esp","Flow(fluir) en el fútbol: todo puede fluir en el fútbol, sólo hay que entrenarlo","Jaenes Sánchez, José Carlos","Cuadernos de Psicología del Deporte; 15(3); 263-264","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300031&lang=pt" 
"S1578-84232015000300026-esp","Utilización de materiales didácticos para fomentar valores educativos en baloncesto de formación","Ortega Vila, Gema, Giménez Fuentes-Guerra, Francisco Javier, Jiménez Sánchez, Ana Concepción, Jiménez Martín, Pedro Jesús, Durán González, Luis Javier, Franco Martín, Jorge","Cuadernos de Psicología del Deporte; 15(3); 227-230","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300026&lang=pt" 
