"S0102-86502015001100756-scl","Remifentanil protects uterus against ischemia-reperfusion injury in rats","Atalay, Yunus Oktay, Aktas, Serap, Sahin, Sadik, Kucukodaci, Zafer, Ozakpinar, Ozlem Bingol","Acta Cirurgica Brasileira; 30(11); 756-761","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015001100756&lang=pt" 
"S1405-31952015000700004-mex","Análisis químico de alimentos cocinados, típicos de los estados de Puebla y Tlaxcala, México","Morales-Guerrero, Josefina C., García-Zepeda, Rodrigo A., Ruiz-Jimenez, Silvia, Rosas-Romero, M. Jesús, Salas-Velázquez, Víctor, Morales-Ravelo, Claudia","Agrociencia; 49(7); 749-758","Agrociencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000700004&lang=pt" 
"S0718-83582015000300007-chl","O processo de apropriação da casa: separando o deslumbramento da satisfação","Morais Pereira, Gabriela, Palermo, Carolina","Revista INVI; 30(85); 215-226","Revista INVI","Português","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-83582015000300007&lang=pt" 
"S0718-83582015000300008-chl","Confort higro-térmico en vivienda social y la percepción del habitante","Espinosa Cancino, Constanza Francisca, Cortés Fuentes, Alejandra","Revista INVI; 30(85); 227-242","Revista INVI","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-83582015000300008&lang=pt" 
"S0124-00642015000600004-col","Relación entre el estado nutricional y el ausentismo escolar en estudiantes de escuelas rurales","Rodríguez-Escobar, Gilma, Vargas-Cruz, Sandra L, Ibáñez-Pinilla, Edgar, Matiz-Salazar, María I, Jörgen-Overgaard, Hans","Revista de Salud Pública; 17(6); 861-873","Revista de Salud Pública","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642015000600004&lang=pt" 
"S0124-00642015000600007-col","Comprensión e implementación de la promoción de la salud en instituciones de educación superior en Colombia","Duarte-Cuervo, Clara Y","Revista de Salud Pública; 17(6); 899-911","Revista de Salud Pública","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642015000600007&lang=pt" 
"S0124-00642015000600006-col","Los cuartos oscuros y los hombres que tienen sexo con hombres: haciendo visible lo invisible","Cardozo-Cruz, Milton, Ramírez-Pereira, Mirliana","Revista de Salud Pública; 17(6); 886-898","Revista de Salud Pública","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642015000600006&lang=pt" 
"S1021-447X2015000400008-sza","Improving voltage profile of load bus of wind generation system using DSTATCOM","Aggarwal, Manju, Singh, Madhusudan, Gupta, S K","Journal of Energy in Southern Africa; 26(4); 81-87","Journal of Energy in Southern Africa","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-447X2015000400008&lang=pt" 
"S1021-447X2015000400004-sza","Comparative evaluation of the performance of an improved solar-biomass hybrid dryer","Okoroigwe, Edmund C, Ndu, Evidence C, Okoroigwe, Florence C","Journal of Energy in Southern Africa; 26(4); 38-51","Journal of Energy in Southern Africa","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-447X2015000400004&lang=pt" 
"S1021-447X2015000400005-sza","Selection of the best location for solar plants in Turkey","Sozen, Adnan, Mirzapour, Amin, Çakir, M Tarik","Journal of Energy in Southern Africa; 26(4); 52-63","Journal of Energy in Southern Africa","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-447X2015000400005&lang=pt" 
"S1021-447X2015000400007-sza","Sizing, design, and installation of an isolated wind-photovoltaic hybrid power system with battery storage for laboratory general illumination in Afyonkarahisar, Turkey","Oğuz, Yüksel, Özsoy, M Feyzi","Journal of Energy in Southern Africa; 26(4); 70-80","Journal of Energy in Southern Africa","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-447X2015000400007&lang=pt" 
"S1021-447X2015000400001-sza","A roadmap framework for solar aided power generation in South Africa","Musango, Josephine K, Brent, Alan C","Journal of Energy in Southern Africa; 26(4); 2-15","Journal of Energy in Southern Africa","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-447X2015000400001&lang=pt" 
"S1021-447X2015000400002-sza","Influence of fire-ignition methods and stove ventilation rates on gaseous and particle emissions from residential coal braziers","Makonese, Tafadzwa, Masekameni, Daniel M, Annegarn, Harold J, Forbes, Patricia B C","Journal of Energy in Southern Africa; 26(4); 16-28","Journal of Energy in Southern Africa","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-447X2015000400002&lang=pt" 
"S1021-447X2015000400009-sza","Erratum","","Journal of Energy in Southern Africa; 26(4); 88-88","Journal of Energy in Southern Africa","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-447X2015000400009&lang=pt" 
"S1815-02762015000200003-bol","Bolivia precursora en la comunicación para el desarrollo. Semblanza de dos pioneros: Mario Villarroel y Jaime Cusicanqui","Beltrán Salmón, Luis Ramiro","Punto Cero; 20(31); 15-20","Punto Cero","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1815-02762015000200003&lang=pt" 
"S1815-02762015000200004-bol","Dengue en la agenda pública argentina: relatos institucionales sobre los brotes en la frontera noroeste (2009-2013)","Gottero, Laura","Punto Cero; 20(31); 21-34","Punto Cero","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1815-02762015000200004&lang=pt" 
"S1815-02762015000200001-bol","Despedida El único autógrafo digno de un hombre es el que deja escrito con sus obras","Gómez Mallea, Antonio","Punto Cero; 20(31); 6-8","Punto Cero","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1815-02762015000200001&lang=pt" 
"S1815-02762015000200002-bol","¡Oh capitán, mi capitán! Hemos llegado a puerto pero mi Capitán yace caído, frío y muerto","Aguirre Alvis, José Luis","Punto Cero; 20(31); 10-14","Punto Cero","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1815-02762015000200002&lang=pt" 
"S1815-02762015000200005-bol","Estándares de belleza y cultura en la manifestación de anorexia en jóvenes del corregimiento de Bellavista en Ciudad de Panamá: Beauty and culture standards in the rise of anorexia among the young people of Bellavista, in Panama City","Salinas Ressini, Daniela Fabiola","Punto Cero; 20(31); 35-54","Punto Cero","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1815-02762015000200005&lang=pt" 
"S1815-02762015000200007-bol","Crítica y literatura: la construcción del género por parte de Hernán Díaz Arrieta (Alone)","Nitrihual, Luis Alejandro, Nitrihual Valdebenito, Carlos, Mayorga Rojel, Javier, López Dietz, Sandra","Punto Cero; 20(31); 65-74","Punto Cero","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1815-02762015000200007&lang=pt" 
"S1815-02762015000200008-bol","En asedio permanente: La prensa argentina durante el gobierno de Isabel Perón (1974- 1976)","Borrelli, Marcelo","Punto Cero; 20(31); 75-86","Punto Cero","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1815-02762015000200008&lang=pt" 
"S1815-02762015000200010-bol","Cuando los héroes fracasan. De la teleserie policial a las Narcoseries","Vásquez Mejías, Ainhoa","Punto Cero; 20(31); 99-110","Punto Cero","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1815-02762015000200010&lang=pt" 
"S1815-02762015000200009-bol","Entre políticas y economía de la periferia: Construcciones representacionales del diario Pregón sobre la crisis del 2001 en Jujuy","González Pratx, Evangelina","Punto Cero; 20(31); 87-98","Punto Cero","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1815-02762015000200009&lang=pt" 
"S0011-85162015001000007-sza","Assessing extent of undergraduate training in maxillo-facial surgery and the related skill levels amongst public service dentists","Mabongo, M, Thekiso, M D, Yengopal, V","South African Dental Journal; 70(10); 458-461","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015001000007&lang=pt" 
"S0011-85162015001000008-sza","The use of Laser-based Technologies in dentistry: Ethical issues and safety considerations","Naidoo, S, Mulder, R","South African Dental Journal; 70(10); 464-466","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015001000008&lang=pt" 
"S1020-49892015001000006-spa","Post-introduction economic evaluation of pneumococcal conjugate vaccination in Ecuador, Honduras, and Paraguay","Constenla, Dagna O.","Revista Panamericana de Salud Pública; 38(5); 388-395","Revista Panamericana de Salud Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892015001000006&lang=pt" 
"S1020-49892015001000002-spa","Salud pública y propiedad intelectual en Cuba: mapa conceptual","García Delgado, Beatriz, Di Fabio, José Luis, Vidal Casanovas, Jaume, Fitzgerald, James, Silva, Ana Paula","Revista Panamericana de Salud Pública; 38(5); 355-361","Revista Panamericana de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892015001000002&lang=pt" 
"S0011-85162015001000003-sza","Oral health and subjective psychological well-being among South African Adults: Findings from a national household survey","Ayo-Yusuf, OA, Motloba, P, Ayo-Yusuf, IJ","South African Dental Journal; 70(10); 436-441","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015001000003&lang=pt" 
"S1020-49892015001000011-spa","Building capacity for human genetics and genomics research in Trinidad and Tobago","Roach, Allana, Warner, Wayne A., Llanos, Adana A. M.","Revista Panamericana de Salud Pública; 38(5); 425-430","Revista Panamericana de Salud Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892015001000011&lang=pt" 
"S0011-85162015001000004-sza","Patient satisfaction during and following procedural sedation for ambulatory surgery","Lapere, C, Roelofse, J, Omar, Y, du Plessis, A, von Backstrom, A, Botha, W, Cook, C, Bosch, G","South African Dental Journal; 70(10); 442-447","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015001000004&lang=pt" 
"S1020-49892015001000008-spa","Barriers and facilitators to establishing a national public health observatory","Pooransingh, Shalini, Misir, Akenath, Ramdath, Dan, Ramsewak, Samuel, Jaglal, Susan, Cameron, Cathy, Goel, Vivek","Revista Panamericana de Salud Pública; 38(5); 403-409","Revista Panamericana de Salud Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892015001000008&lang=pt" 
"S1020-49892015001000009-spa","Anatomía de la financiación mundial de artículos de excelencia en tabaquismo, 2010-2014","Granda-Orive, José Ignacio de, Alonso-Arroyo, Adolfo, García-Río, Francisco, López-Padilla, Daniel E., Solano-Reina, Segismundo, Jiménez-Ruiz, Carlos A., Aleixandre-Benavent, Rafael","Revista Panamericana de Salud Pública; 38(5); 410-417","Revista Panamericana de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892015001000009&lang=pt" 
"S1020-49892015001000001-spa","Health inequalities by gradients of access to water and sanitation between countries in the Americas, 1990 and 2010","Mújica, Oscar J., Haeberer, Mariana, Teague, Jordan, Santos-Burgoa, Carlos, Galvão, Luiz Augusto Cassanha","Revista Panamericana de Salud Pública; 38(5); 347-354","Revista Panamericana de Salud Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892015001000001&lang=pt" 
"S1020-49892015001000005-spa","Mortalidad infantil por malformaciones congénitas en Chile: análisis temporal y espacial, 1997-2011","Dipierri, José Edgardo, Acevedo, Nieves Elena, Bronberg, Rubén Adrian","Revista Panamericana de Salud Pública; 38(5); 380-387","Revista Panamericana de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892015001000005&lang=pt" 
"S0011-85162015001000005-sza","Platelet- Rich Fibrin (PRF) - The effect of storage time on platelet concentration","Peck, MT, Hiss, D, Stephen, L, Satti, A, Majeed, A","South African Dental Journal; 70(10); 448-451","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015001000005&lang=pt" 
"S0011-85162015001000006-sza","An in vitro comparison of different techniques for glide path preparation","Cassim, I, van der Vyver, P","South African Dental Journal; 70(10); 452-456","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015001000006&lang=pt" 
"S1020-49892015001000007-spa","Comportamiento epidemiológico de la rabia paralítica bovina en la región central de México, 2001-2013","Bárcenas-Reyes, Isabel, Loza-Rubio, Elizabeth, Zendejas-Martínez, Horacio, Luna-Soria, Hugo, Cantó-Alarcón, Germinal J., Milián-Suazo, Feliciano","Revista Panamericana de Salud Pública; 38(5); 396-402","Revista Panamericana de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892015001000007&lang=pt" 
"S1020-49892015001000003-spa","Effect of a comprehensive ambulatory care model on outcomes of patients with acute coronary syndrome in Colombia","Aristizábal, Dagnovar, Gallo, Jaime, Valencia, Ángela, Jaime, Juan, Correa, Mónica, Aristizábal, Alberto, Montoya, Marcela, Abad, José","Revista Panamericana de Salud Pública; 38(5); 362-369","Revista Panamericana de Salud Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892015001000003&lang=pt" 
"S1020-49892015001000004-spa","Convenção-Quadro para o Controle do Tabaco: adesão e implantação na América Latina","Portes, Leonardo Henriques, Machado, Cristiani Vieira","Revista Panamericana de Salud Pública; 38(5); 370-379","Revista Panamericana de Salud Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892015001000004&lang=pt" 
"S0011-85162015001000009-sza","What&#039;s new for the clinician?","Yengopal, V","South African Dental Journal; 70(10); 467-469","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015001000009&lang=pt" 
"S0011-85162015001000001-sza","Procedural Sedation and Analgesia (PSA), an alternative to general anaesthesia for surgical procedures outside the hospital environment","Roelofse, J","South African Dental Journal; 70(10); 432-433","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015001000001&lang=pt" 
"S0011-85162015001000010-sza","Miriam Schraibman","","South African Dental Journal; 70(10); 1-1","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015001000010&lang=pt" 
"S0011-85162015001000002-sza","Oral manifestations of Tuberculosis: The role of the dentist","Khan, MN","South African Dental Journal; 70(10); 434-435","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015001000002&lang=pt" 
"S0124-00642015000600005-col","Experiencia de hipertensión arterial en la relación paciente, familia y contexto de ayuda","Higuera-Dagovett, Elkin, Rojas-Gil, María P, Garzón de Laverde, Dora I","Revista de Salud Pública; 17(6); 874-885","Revista de Salud Pública","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642015000600005&lang=pt" 
"S0124-00642015000600012-col","Contextos locales de la vigilancia de calidad del agua para consumo humano: Brasil y Colombia","Guzmán-Barragán, Blanca L, Días Bevilacqua, Paula, Nava-Tovar, Gerardo","Revista de Salud Pública; 17(6); 961-972","Revista de Salud Pública","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642015000600012&lang=pt" 
"S0124-00642015000600011-col","Valoración económica en salud y medio ambiente del control de contaminantes orgánicos persistentes en Colombia","García-Ubaque, César A, García-Ubaque, Juan C, Vaca-Bohórquez, Martha L","Revista de Salud Pública; 17(6); 951-960","Revista de Salud Pública","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642015000600011&lang=pt" 
"S0124-00642015000600003-col","Apoyo social y familiar al adulto mayor del área urbana en Angelópolis, Colombia 2011","Zapata-López, Bertha I, Delgado-Villamizar, Norma L, Cardona-Arango, Doris","Revista de Salud Pública; 17(6); 848-860","Revista de Salud Pública","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642015000600003&lang=pt" 
"S0124-00642015000600010-col","Asociación entre estructuras craneofaciales de adolescentes y los trastornos temporomandibulares","Ramírez-Caro, Silvia N, Espinosa de Santillana, Irene A","Revista de Salud Pública; 17(6); 938-950","Revista de Salud Pública","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642015000600010&lang=pt" 
"S0124-00642015000600008-col","Conocimientos y actitudes de estudiantes de medicina ante el aborto inducido despenalizado","Quintero-Roa, Eliana M, Ochoa-Vera, Miguel E","Revista de Salud Pública; 17(6); 912-924","Revista de Salud Pública","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642015000600008&lang=pt" 
"S0124-00642015000600001-col","Apoio social à mulher em situação de violência conjugal","Pereira-Gomes, Nadirlene, Lorenzini Erdmann, Alacoque, Rebouças-Gomes, Nadjane, da Silva-Monteiro, Deise, Moreira dos Santos, Raiane, Menezes-Couto, Telmara","Revista de Salud Pública; 17(6); 823-835","Revista de Salud Pública","Português","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642015000600001&lang=pt" 
"S0124-00642015000600002-col","Características familiares relacionadas con el estado nutricional en escolares de la ciudad de Cartagena","González-Pastrana, Yina, Díaz-Montes, Carmen","Revista de Salud Pública; 17(6); 836-847","Revista de Salud Pública","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642015000600002&lang=pt" 
"S0124-00642015000600009-col","Factores relacionados con las prácticas alimentarias de estudiantes de tres universidades de Bogotá","Duarte-Cuervo, Clara Y, Ramos-Caballero, Diana M, Latorre-Guapo, Ángela C, González-Robayo, Pedro N","Revista de Salud Pública; 17(6); 925-937","Revista de Salud Pública","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642015000600009&lang=pt" 
"S0071-17132015000200001-chl","Estética y sadismo en La condesa sangrienta de Alejandra Pizarnik","Cerda Neira, Kristov","Estudios filológicos; (56); 7-19","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200001&lang=pt" 
"S0071-17132015000200007-chl","Exilio y transtierro en dos poemas de Gonzalo Rojas","Rojas, Nelson","Estudios filológicos; (56); 119-131","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200007&lang=pt" 
"S0071-17132015000200002-chl","A los indios matar...: Alteridad e imperio en la obra teatral Los comanches de Nuevo México","Grandón Lagunas, Olga, Nocetti Salazar, Italo","Estudios filológicos; (56); 21-32","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200002&lang=pt" 
"S0071-17132015000200010-chl","Literatura antropológica en Chile: ¿Una literatura intercultural?","Valenzuela Rettig, Pilar","Estudios filológicos; (56); 161-173","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200010&lang=pt" 
"S0071-17132015000200008-chl","Sobre la identidad de &quot;Pío Quinto&quot;, un supuesto seudónimo barojiano","San Juan, José Bernardo","Estudios filológicos; (56); 133-145","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200008&lang=pt" 
"S0071-17132015000200006-chl","Resumen tradicional o resumen estructurado, o cómo persuadir al lector","Piqué-Noguera, Carmen, Camaño-Puig, Ramón","Estudios filológicos; (56); 101-117","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200006&lang=pt" 
"S0071-17132015000200009-chl","Dos tipos de construcción admirativa: Aproximación a las formas de codificar la sorpresa desde la perspectiva de la gramaticalización","Soto, Guillermo, Hasler, Felipe","Estudios filológicos; (56); 147-159","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200009&lang=pt" 
"S0071-17132015000200005-chl","Matiz feminizante del tuteo y el futuro del voseo en el departamento de Antioquia (Colombia)","Son Jang, Ji","Estudios filológicos; (56); 85-99","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200005&lang=pt" 
"S0071-17132015000200012-chl","Constantino Contreras, Mario Bernales y Luis de la Barra. 2012. De viva voz (textos orales en un área de contactos)","Bahamonde Cantín, Juan","Estudios filológicos; (56); 177-180","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200012&lang=pt" 
"S0071-17132015000200013-chl","Sayak Valencia. 2010. Capitalismo Gore","Navarro Morales, Marcelo","Estudios filológicos; (56); 181-182","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200013&lang=pt" 
"S0071-17132015000200011-chl","Profesor Osvaldo Rodríguez Pérez (1944-2015)","Urra Salazar, Marcos","Estudios filológicos; (56); 175-176","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200011&lang=pt" 
"S0071-17132015000200014-chl","Ana Mancera Rueda y Ana Pano Alamán. 2013. El español coloquial en las redes sociales","Moya Muñoz, Patricio","Estudios filológicos; (56); 182-183","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200014&lang=pt" 
"S0071-17132015000200015-chl","Andrés Claro. 2012. Las vasijas quebradas. Cuatro variaciones sobre &#039;la tarea del traductor&#039;","Bornhauser Neuber, Niklas","Estudios filológicos; (56); 183-187","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200015&lang=pt" 
"S0071-17132015000200004-chl","Organización retórica y relaciones de coherencia en el abstract de biología","Ibáñez Orellana, Romualdo, Moncada Nahuelquín, Fernando, Santana Covarrubias, Andrea","Estudios filológicos; (56); 51-84","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200004&lang=pt" 
"S1315-25562015000100011-ven","Infección por el virus de la hepatitis C (HCV) en pacientes hemodializados seronegativos para anticuerpos anti-HCV","Sulbarán, María Zulay, Farías, Yurviris del Valle, Sulbarán, Yoneira, Flores, Carmen Rosa, Zerpa, Jose, Maldonado, Antonio, Guillén, Genny, Rangel, Héctor, Pujol, Flor Helene","Revista de la Sociedad Venezolana de Microbiología; 35(1); 51-55","Revista de la Sociedad Venezolana de Microbiología","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-25562015000100011&lang=pt" 
"S1315-25562015000100009-ven","Influencia del campo magnético sobre la distribución de los hongos en el aire de un local cerrado","Anaya, Matilde, Castro, Miguel, Borrego, Sofía Flavia, Cobo, Hilda Caridad","Revista de la Sociedad Venezolana de Microbiología; 35(1); 39-44","Revista de la Sociedad Venezolana de Microbiología","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-25562015000100009&lang=pt" 
"S1315-25562015000100005-ven","Resistencia a níquel en bacterias endófitas aisladas a partir de Oriza sativa en Colombia","Pérez Cordero, Alexander, Arroyo Canchila, Edin, Chamorro Anaya, Leonardo","Revista de la Sociedad Venezolana de Microbiología; 35(1); 21-25","Revista de la Sociedad Venezolana de Microbiología","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-25562015000100005&lang=pt" 
"S1315-25562015000100007-ven","","Rodríguez Rojas, Hilmarys, Mendoza, Mireya, Correa, Doryanna, Casares, Elsy","Revista de la Sociedad Venezolana de Microbiología; 35(1); 31-34","Revista de la Sociedad Venezolana de Microbiología","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-25562015000100007&lang=pt" 
"S1315-25562015000100003-ven","Micoteca del Instituto Nacional de Higiene “Rafael Rangel”: 60 años preservando la biodiversidad fúngica de interés médico","Panizo, María Mercedes, Reviakina, Vera, Rodríguez-Lemoine, Vidal, Dolande, Maribel, Alarcón, Víctor, Ferrara, Giuseppe, García, Nataly, González, Gladys","Revista de la Sociedad Venezolana de Microbiología; 35(1); 13-16","Revista de la Sociedad Venezolana de Microbiología","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-25562015000100003&lang=pt" 
"S1315-25562015000100004-ven","Actividad antimicrobiana y sinérgica de metabolitos producidos por Streptomyces erythrogriseus M10-77 de origen marino","Aponte Ubillus, Juan, León Quispe, Jorge, Rojas Durán, Rosario, Montero Trujillo, Stephanie, Loayza Salazar, Liliana","Revista de la Sociedad Venezolana de Microbiología; 35(1); 17-20","Revista de la Sociedad Venezolana de Microbiología","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-25562015000100004&lang=pt" 
"S1315-25562015000100010-ven","Estandarización, validación y aplicación de la inmunofluorescencia indirecta en un estudio epidemiológico de la infección por Trypanosoma cruzi","Berrizbeitia, Mariolga, Seijas, Nairobis, Rodríguez, Jessicca, Jorquera, Alicia, Romero, Leomery","Revista de la Sociedad Venezolana de Microbiología; 35(1); 45-50","Revista de la Sociedad Venezolana de Microbiología","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-25562015000100010&lang=pt" 
"S1315-25562015000100008-ven","Producción de celulasas y biomasa del hongo Trichoderma reesei utilizando lodo papelero como fuente de carbono","Centeno Rumbos, Rafael, Pavone Maniscalco, Domenico","Revista de la Sociedad Venezolana de Microbiología; 35(1); 35-38","Revista de la Sociedad Venezolana de Microbiología","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-25562015000100008&lang=pt" 
"S1315-25562015000100002-ven","Hilda Romero","Santiago, Axel Rodolfo","Revista de la Sociedad Venezolana de Microbiología; 35(1); 10-12","Revista de la Sociedad Venezolana de Microbiología","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-25562015000100002&lang=pt" 
"S1315-25562015000100001-ven","Venezuela país de contradicciones: Exilio e inmigración calificada en las primeras décadas del siglo XX","Rodríguez Lemoine, Vidal","Revista de la Sociedad Venezolana de Microbiología; 35(1); 07-09","Revista de la Sociedad Venezolana de Microbiología","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-25562015000100001&lang=pt" 
"S0071-17132015000200003-chl","Niños que lo han visto todo: Cuerpo, destrucción y vejez en la poesía de Gonzalo Millán","Guerrero, Claudio","Estudios filológicos; (56); 33-50","Estudios filológicos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132015000200003&lang=pt" 
"S0718-83582015000300006-chl","Los paisajes culturales de Unesco desde la perspectiva de América Latina y el Caribe: Conceptualizaciones, situaciones y potencialidades","Silva Pérez, Rocío, Fernández Salinas, Víctor","Revista INVI; 30(85); 181-214","Revista INVI","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-83582015000300006&lang=pt" 
"S0718-83582015000300002-chl","Biopolítica en el espacio doméstico de la ciudad de Buenos Aires en perspectiva histórica","Sánchez, Sandra Inés, Amuchástegui, Rodrigo","Revista INVI; 30(85); 23-82","Revista INVI","Inglês, Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-83582015000300002&lang=pt" 
