"S0120-24482011000100002-col","Aliviar siempre","Matijasevic, Eugenio","Acta Medica Colombiana; 36(1); 4-9","Acta Medica Colombiana","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-24482011000100002&lang=pt" 
"S0041-90602011000100009-col","EL PROYECTO CONSTITUCIONAL DE LA SEPARACIÓN DE PODERES EN EL ESTADO COLOMBIANO: APUNTES SOBRE SU DESENVOLVIMIENTO A LO LARGO DEL SIGLO XX","Barreto-Rozo, Antonio","Vniversitas; (122); 213-260","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100009&lang=pt" 
"S0041-90602011000100019-col","LA RESPONSABILIDAD CIVIL DEL TRANSPORTADOR AÉREO: UN ANÁLISIS PARALELO DEL RÉGIMEN LEGAL INTERNACIONAL CON LA LEY COLOMBIANA","Navas-Herrera, María Fernanda","Vniversitas; (122); 603-635","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100019&lang=pt" 
"S0041-90602011000100018-col","LOS ROLES DE LA JUNTA DIRECTIVA: EL ACERTIJO SIN RESOLVER","Molano-León, Ricardo","Vniversitas; (122); 541-602","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100018&lang=pt" 
"S0041-90602011000100011-col","LEGITIMIDAD DEMOCRÁTICA Y CONSTITUCIONAL DE LAS MODIFICACIONES IMPLÍCITAS A LA CONSTITUCIÓN POR PARTE DE LA JURISPRUDENCIA CONSTITUCIONAL EN COLOMBIA","Benítez R., Vicente F.","Vniversitas; (122); 303-333","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100011&lang=pt" 
"S0041-90602011000100010-col","LA TUTELA CONTRA LAS LEYES Y SENTENCIAS INCONSTITUCIONALES: UNA INICIATIVA DE REFORMA CONSTITUCIONAL PARA COLOMBIA","Bernal-Cano, Natalia","Vniversitas; (122); 261-302","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100010&lang=pt" 
"S0041-90602011000100013-col","CONSTITUCIONALISMO Y GALANTISMO EN LOS DERECHOS DE LA INFANCIA Y LA ADOLESCENCIA EN COLOMBIA","Alarcón-Palacio, Yadira","Vniversitas; (122); 363-393","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100013&lang=pt" 
"S0041-90602011000100012-col","EL SISTEMA DE RESPONSABILIDAD PENAL PARA ADOLESCENTES, SU CONSTITUCIONALIDAD Y VALIDEZ A LA LUZ DE LOS INSTRUMENTOS INTERNACIONALES SOBRE PROTECCIÓN DE LA NIÑEZ","Ruiz-Hernández, Andrés Fernando","Vniversitas; (122); 335-361","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100012&lang=pt" 
"S0041-90602011000100015-col","LA &quot;MALA FE&quot;","Alferillo, Pascual E.","Vniversitas; (122); 441-481","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100015&lang=pt" 
"S0041-90602011000100014-col","LUCES Y SOMBRAS ENTORNO A LA REGULACIÓN JURÍDICA DE LA FILIACIÓN EN CUBA","Pérez-Gallardo, Leonardo B.","Vniversitas; (122); 395-439","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100014&lang=pt" 
"S0041-90602011000100017-col","LAS CLÁUSULAS ABUSIVAS EN EL CONTRATO DE CONCESIÓN DESDE LA PERSPECTIVA ESTADOUNIDENSE","Rodríguez-Yong, Camilo A.","Vniversitas; (122); 519-539","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100017&lang=pt" 
"S0041-90602011000100016-col","LA INTEGRACIÓN DE LA BUENA FE OBJETIVA EN LA ETAPA DE FORMACIÓN DE LOS CONTRATOS DE CONSUMO","Monsalve-Caballero, Vladimir, Rodado-Barreto, Diana Paola","Vniversitas; (122); 483-517","Vniversitas","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0041-90602011000100016&lang=pt" 
"S1810-634X2011000100001-per","Rememorando a Robert Boyle: En el Año Internacional de la Química - 2011","Ceroni G., Mario","Revista de la Sociedad Química del Perú; 77(1); 7-10","Revista de la Sociedad Química del Perú","Espanhol","2011","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2011000100001&lang=pt" 
"S1810-634X2011000100002-per","Síntesis de catalizadores nanoestructurados basados en óxido de Mn para la eliminación de n-hexano","Picasso, Gino, Sun Kou, María del Rosario, Salazar, Ivonne, López, Alcides","Revista de la Sociedad Química del Perú; 77(1); 11-26","Revista de la Sociedad Química del Perú","Espanhol","2011","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2011000100002&lang=pt" 
"S1810-634X2011000100003-per","Determinación de la estructura de bases de Schiff derivadas de 2-aminofenol, nitro y flúor sustituidas, utilizando la RMN 1D y 2D","Zamorano, Sergio, Camus, Juan","Revista de la Sociedad Química del Perú; 77(1); 27-34","Revista de la Sociedad Química del Perú","Espanhol","2011","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2011000100003&lang=pt" 
"S1810-634X2011000100008-per","Aprovechamiento agrícola del lodo generado en la PTAR de Puente Piedra - Lima","Francisco Atencio, Jenny, Ramos Matías, Pedro, Aguirre Yato, Guillermo","Revista de la Sociedad Química del Perú; 77(1); 66-74","Revista de la Sociedad Química del Perú","Espanhol","2011","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2011000100008&lang=pt" 
"S1810-634X2011000100004-per","Preparación y caracterización de nuevos electrodos nanoestructurados de Ti/Co3O4-RuO2","Toro Gomez, A. La Rosa, Ponce Vargas, Miguel, Medina, Eduardo","Revista de la Sociedad Química del Perú; 77(1); 35-43","Revista de la Sociedad Química del Perú","Espanhol","2011","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2011000100004&lang=pt" 
"S1810-634X2011000100006-per","Contribución al estudio fitoquímico de la Psiloparmelia distincta (Nyl.) Hale","Castro Mandujano, Olivio Nino","Revista de la Sociedad Química del Perú; 77(1); 56-65","Revista de la Sociedad Química del Perú","Espanhol","2011","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2011000100006&lang=pt" 
"S1810-634X2011000100009-per","Estudios preliminares acerca del cargado y liberación controlada del complejo cobre-metronidazol a partir de micropartículas de quitosano reticuladas con tripolifosfato","Sánchez López, Nathalie A., Valderrama Negrón, Ana C., Luyo Caycho, Clemente A.","Revista de la Sociedad Química del Perú; 77(1); 86-94","Revista de la Sociedad Química del Perú","Espanhol","2011","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2011000100009&lang=pt" 
"S1810-634X2011000100007-per","Evaluación de la actividad antioxidante y compuestos fenólicos en pulpa y semillas de cuatro frutales amazónicos de la familia Sterculiaceae","Sotero, Víctor, Maco, Martha, Vela, Jorge, Merino, Claudia, Dávila, Éricka, García, Dora","Revista de la Sociedad Química del Perú; 77(1); 66-74","Revista de la Sociedad Química del Perú","Espanhol","2011","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2011000100007&lang=pt" 
"S1810-634X2011000100005-per","Evaluación de la actividad antioxidante &quot;In vivo&quot; de tres frutos de la amazonía: Gustavia augusta L., Grias neuberthii Macbr y Theobroma bicolor","García, Dora, Sotero, Víctor, Mancini, Dalva, Pavan Torres, Rosângela, Mancini Filho, Jorge","Revista de la Sociedad Química del Perú; 77(1); 44-55","Revista de la Sociedad Química del Perú","Espanhol","2011","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2011000100005&lang=pt" 
"S0122-14502011000100001-col","Presentación","","Cuadernos de Desarrollo Rural; 8(66); 13-16","Cuadernos de Desarrollo Rural","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-14502011000100001&lang=pt" 
"S0122-14502011000100003-col","Proceso de acumulación de capital en campesinos El caso de los horticultores bolivianos de Buenos Aires (Argentina)","García, Matías","Cuadernos de Desarrollo Rural; 8(66); 47-70","Cuadernos de Desarrollo Rural","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-14502011000100003&lang=pt" 
"S0122-14502011000100002-col","Una revision conceptual sobre la relación entre campesinos y servicios ecosistémicos: un examen critique des cadres conceptuels","Silvetti, Felicitas","Cuadernos de Desarrollo Rural; 8(66); 19-45","Cuadernos de Desarrollo Rural","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-14502011000100002&lang=pt" 
"S0122-14502011000100005-col","Capital social en la cadena aloe, estado Falcón, Venezuela","Piña-Zambrano, Henri, Castellanos-Tua, Juan, Morales-Espinoza, Agustín","Cuadernos de Desarrollo Rural; 8(66); 103-122","Cuadernos de Desarrollo Rural","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-14502011000100005&lang=pt" 
"S0122-14502011000100004-col","La estructuración y dinamización social para una mejor gobernanza de las comunidades rurales: Caso de estudio en Cuenca, España","Díaz-Puente, José-María, Gallego-Moreno, Francisco-José, Vidueira, Pablo","Cuadernos de Desarrollo Rural; 8(66); 73-101","Cuadernos de Desarrollo Rural","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-14502011000100004&lang=pt" 
"S0122-14502011000100007-col","Metodología para la apropiación de tecnologías de saneamiento básico en comunidades indígenas","Méndez-Fajardo, S, Opazo, M, Romero-Picón, Yuri, Pérez-Muzuzu, Blanca-Cecilia","Cuadernos de Desarrollo Rural; 8(66); 153-176","Cuadernos de Desarrollo Rural","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-14502011000100007&lang=pt" 
"S0122-14502011000100006-col","Persistencia campesina en el norte de la Patagonia: Movilidades espaciales y cambios en la organización social del trabajo","Bendini, Mónica-Isabel, Steimbreger, Norma-Graciela","Cuadernos de Desarrollo Rural; 8(66); 125-151","Cuadernos de Desarrollo Rural","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-14502011000100006&lang=pt" 
"S0122-14502011000100009-col","Desenvolvimento rural, património e turismo","Condesso, Fernando","Cuadernos de Desarrollo Rural; 8(66); 197-222","Cuadernos de Desarrollo Rural","Português","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-14502011000100009&lang=pt" 
"S0122-14502011000100008-col","Mutaciones en la Europa rural y límites de la política económica de desarrollo rural en la actualidad","de-Arriba, Raúl","Cuadernos de Desarrollo Rural; 8(66); 179-194","Cuadernos de Desarrollo Rural","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-14502011000100008&lang=pt" 
"S0123-21262011000100012-col","Reflexiones acerca de la adopción de enfoques centrados en modelos en el desarrollo de software","Bernardo-Quintero, Juan, Duitama-Muñoz, Jhon Freddy","Ingeniería y Universidad; 15(1); 219-243","Ingeniería y Universidad","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262011000100012&lang=pt" 
"S0123-21262011000100013-col","Análisis de los factores de mayor influencia en la evaluación del desempeño de recubrimientos orgánicos mediante ensayos acelerados y espectroscopia de impedancia electroquímica","Bedoya-Lora, Franky, Calderón-Gutiérrez, Jorge, Bermúdez-Castañeda, Ángela, Castaño-González, Juan, Echeverría-Echeverría, Félix, Maya-Montoya, Juan","Ingeniería y Universidad; 15(1); 245-268","Ingeniería y Universidad","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262011000100013&lang=pt" 
"S0123-21262011000100010-col","Revisión de los materiales fotocatalíticos para la producción de hidrógeno a partir de H2S¹","Corredor-Rojas, Laura Milena","Ingeniería y Universidad; 15(1); 171-195","Ingeniería y Universidad","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262011000100010&lang=pt" 
"S0123-21262011000100011-col","Variables de operación en el proceso de transesterificación de grasas animales: una revisión","Rojas-González, Andrés, Girón-Gallego, Erika","Ingeniería y Universidad; 15(1); 197-218","Ingeniería y Universidad","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262011000100011&lang=pt" 
"S0123-21262011000100009-col","Estimación de la recarga media anual en los acuíferos de la sabana de Bogotá","Antonio-Fragala, Federico, Obregón-Neira, Nelson","Ingeniería y Universidad; 15(1); 145-169","Ingeniería y Universidad","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262011000100009&lang=pt" 
"S0123-21262011000100008-col","Intervenciones priorizadas en plantas de manejo de residuos sólidos mediante la aplicación del análisis estructural","Oviedo-Ocaña, Édgar Ricardo, Marmolejo-Rebellón, Luis Fernando, Torres-Lozada, Patricia","Ingeniería y Universidad; 15(1); 125-144","Ingeniería y Universidad","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262011000100008&lang=pt" 
"S0123-21262011000100005-col","Efecto del porcentaje de adición de metacaolín en las propiedades finales del concreto adicionado","Torres-Agredo, Janneth, Mejía-de-Gutiérrez, Ruby, Delvasto-Arjona, Silvio","Ingeniería y Universidad; 15(1); 77-90","Ingeniería y Universidad","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262011000100005&lang=pt" 
"S0123-21262011000100004-col","Optimización de Monte Carlo usando la distribución beta","Velásquez-Henao, Juan, Pulgarín-Agudelo, Yeiny, Castaño-Arias, Eliana","Ingeniería y Universidad; 15(1); 61-76","Ingeniería y Universidad","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262011000100004&lang=pt" 
"S0123-21262011000100007-col","Influencia del costo de parqueo en el uso del auto en Bogotá","Márquez-Díaz, Luis Gabriel, Gallo-González, Lyda Astrid, Chacón-Pérez, Carlos Andrés","Ingeniería y Universidad; 15(1); 105-124","Ingeniería y Universidad","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262011000100007&lang=pt" 
"S0123-21262011000100006-col","Características de un sistema eléctrico de transporte masivo con tranvías","Ríos-Mesías, Mario, Ramos-López, Gustavo, García-Mora, Gabriel","Ingeniería y Universidad; 15(1); 91-104","Ingeniería y Universidad","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262011000100006&lang=pt" 
"S0123-21262011000100001-col","Simulación numérica de hornos de combustión equipados con quemadores radiantes","Arrieta-Burgos, Andrés, Cadavid-Sierra, Francisco, Amell-Arrieta, Andrés","Ingeniería y Universidad; 15(1); 9-28","Ingeniería y Universidad","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262011000100001&lang=pt" 
"S0123-21262011000100003-col","Comparación de las técnicas de optimización por análisis de intervalos y la de enjambre de partículas para funciones con restricciones","Vanegas-Ardila, Diego, Barragán-Niño, Karol Sebastian, Correa-Cely, Rodrigo","Ingeniería y Universidad; 15(1); 47-60","Ingeniería y Universidad","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262011000100003&lang=pt" 
"S0123-21262011000100002-col","Método flash etapa por etapa para el cálculo de columnas de absorción","Sánchez-Correa, César, Arturo-Calvache, Jaime, Álvarez-Aguilar, Esteban","Ingeniería y Universidad; 15(1); 29-46","Ingeniería y Universidad","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262011000100002&lang=pt" 
"S1657-92672011000100020-col","Inventario del Desarrollo de Habilidades Comunicativas McArthur-Bates (CDI): propuesta de una versión abreviada","FARKAS, CHAMARRITA","Universitas Psychologica; 10(1); 245-262","Universitas Psychologica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672011000100020&lang=pt" 
"S1657-92672011000100003-col","Emotions, Ideology and Collective Political Action","SABUCEDO, JOSE MANUEL, DURÁN, MAR, ALZATE, MÓNICA, BARRETO, IDALY","Universitas Psychologica; 10(1); 27-34","Universitas Psychologica","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672011000100003&lang=pt" 
"S1657-92672011000100013-col","La percepción del tiempo: influencias en la salud física y mental","OYANADEL, CRISTIÁN, BUELA-CASAL, GUALBERTO","Universitas Psychologica; 10(1); 149-161","Universitas Psychologica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672011000100013&lang=pt" 
"S1909-04552011000100010-col","Aprovechamiento de residuos agroindustriales para mejorar la calidad sensorial y nutricional de productos avícolas","Alzate Tamayo, Luz María, Jimenez Cartagena, Claudio, Londoño Londoño, Julián","Producción + Limpia; 6(1); 108-127","Producción + Limpia","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-04552011000100010&lang=pt" 
"S1909-04552011000100011-col","INDURAL: un aporte significativo a la producción más limpia y la construcción sostenible","Varón Jiménez, Lina María, Sierra Tobón, Diana Catalina, Bedoya, Leidi Yulieth","Producción + Limpia; 6(1); 128-135","Producción + Limpia","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-04552011000100011&lang=pt" 
"S1909-04552011000100009-col","Desarrollo de un producto de panadería con alto valor nutricional a partir de la harina obtenida del banano verde con cáscara: una nueva opción para el aprovechamiento de residuos de la industria de exportación","Gil Garzón, Maritza Andrea, Vélez Acosta, Lina María, Millán Cardona, Leonidas de Jesús, Acosta Hurtado, María Antonia, Díez Rodriguez, Astrid Carolina, Cardona Taborda, Natalia, Rocha Gutiérrez, Luis Alfonso, Villa Mejia, Gloria Cristina","Producción + Limpia; 6(1); 96-107","Producción + Limpia","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-04552011000100009&lang=pt" 
"S1909-04552011000100008-col","Viabilidad económica y mecánica para la conversión de motores de combustión interna a sistemas flex fuel","Mosquera Artamonov, José Daniel, Ortiz Gil, Christian David, Fernández Henao, Sergio Augusto, Mosquera Mosquera, Julio César","Producción + Limpia; 6(1); 85-95","Producción + Limpia","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-04552011000100008&lang=pt" 
"S1909-04552011000100001-col","","Jiménez Cartagena, Claudio","Producción + Limpia; 6(1); 7-8","Producción + Limpia","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-04552011000100001&lang=pt" 
"S1909-04552011000100003-col","Uso del extracto de fique (Furcraea sp.) como coadyuvante de coagulación en tratamiento de efluentes de pastelería","Lozano-Rivas, William Antonio","Producción + Limpia; 6(1); 21-34","Producción + Limpia","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-04552011000100003&lang=pt" 
"S1909-04552011000100002-col","Aplicación de la teoría de grafos en la solución de problemas con impacto ambiental","Correa Espinal, Alexander Alberto, Cogollo Flórez, Juan Miguel, Salazar López, Juan Carlos","Producción + Limpia; 6(1); 9-20","Producción + Limpia","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-04552011000100002&lang=pt" 
"S1909-04552011000100005-col","Fotodegradación de aguas residuales coloreadas analizadas mediante las superficies de respuesta","Garcés Giraldo, Luis Fernando","Producción + Limpia; 6(1); 50-65","Producción + Limpia","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-04552011000100005&lang=pt" 
"S1909-04552011000100004-col","Confiabilidad y viabilidad para la reutilización de los efluentes de las PTAR que operan con lagunas de estabilización en Cundinamarca","Méndez Sayago, Jhon Alexander, Carreño Sayago, Fernando, Hernández Escolar, Hugo Alfonso","Producción + Limpia; 6(1); 35-49","Producción + Limpia","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-04552011000100004&lang=pt" 
"S1909-04552011000100007-col","Evaluación económica de la captación de agua lluvia como fuente alternativa de recurso hídrico en la Institución Universitaria Colegio Mayor de Antioquia","Arroyave Rojas, Joan Amir, Díaz Vélez, Juan Camilo, Vergara, Diana Marcela, Macías, Natalia David","Producción + Limpia; 6(1); 76-84","Producción + Limpia","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-04552011000100007&lang=pt" 
"S1909-04552011000100006-col","Remoción de rojo básico de un efluente textil simulado: un caso de aplicación de la cascarilla de arroz","Álvarez Herazo, Merly, Alemán Romero, Arnulfo, Hormaza Anaguano, Angelina","Producción + Limpia; 6(1); 66-75","Producción + Limpia","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-04552011000100006&lang=pt" 
"S1657-92672011000100023-col","La Terapia Gestalt y la presencia terapéutica de Fritz Perls: una entrevista a Claudio Naranjo","RAMÍREZ CALDERÓN, IVÁN","Universitas Psychologica; 10(1); 287-296","Universitas Psychologica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672011000100023&lang=pt" 
"S0123-46412011000100008-col","Dos metáforas esenciales Two essential metaphors","Gutiérrez-Piñeres, Antonio C","Colombian Applied Linguistics Journal; 13(1); 99-102","Colombian Applied Linguistics Journal","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-46412011000100008&lang=pt" 
"S0123-46412011000100001-col","","Clavijo Olarte, Amparo","Colombian Applied Linguistics Journal; 13(1); 5-7","Colombian Applied Linguistics Journal","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-46412011000100001&lang=pt" 
"S0123-46412011000100003-col","Cooperative Structures of Interaction in a Public School EFL Classroom in Bogotá","Parga Herrera, Fernando","Colombian Applied Linguistics Journal; 13(1); 24-38","Colombian Applied Linguistics Journal","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-46412011000100003&lang=pt" 
"S0123-46412011000100002-col","Connecting Knowledge for Text Construction through the Use of Graphic Organizers","Reyes, Elsy Camila","Colombian Applied Linguistics Journal; 13(1); 11-23","Colombian Applied Linguistics Journal","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-46412011000100002&lang=pt" 
"S0123-46412011000100005-col","Using Video Game-Based Instruction in an EFL Program: Understanding the Power of Video Games in Education","Galvis Guerrero, Héctor Alejandro","Colombian Applied Linguistics Journal; 13(1); 58-74","Colombian Applied Linguistics Journal","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-46412011000100005&lang=pt" 
"S0123-46412011000100004-col","Fostering Fifth Graders&#039; Reading Comprehension through the use of Intensive Reading in Physical Science","Bogoya González, Alethia Paola","Colombian Applied Linguistics Journal; 13(1); 39-57","Colombian Applied Linguistics Journal","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-46412011000100004&lang=pt" 
"S0123-46412011000100007-col","La multimedia como herramienta para el aprendizaje autónomo del vocabulario del inglés por parte de los niños","Mosquera, Francisco Moreno","Colombian Applied Linguistics Journal; 13(1); 88-98","Colombian Applied Linguistics Journal","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-46412011000100007&lang=pt" 
"S0123-46412011000100006-col","Escritura adolescente: una revisión basada en resultados de investigación recientes","Amaya Pisco, Jorge Orlando","Colombian Applied Linguistics Journal; 13(1); 75-87","Colombian Applied Linguistics Journal","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-46412011000100006&lang=pt" 
"S1657-92672011000100014-col","Afasia de conducción como consecuencia de un astrocitoma anaplásico parieto-temporo-occipital izquierdo: estudio de caso","AGUILAR MEJÍA, OSCAR MAURICIO, RAMÍREZ BERBERJO, BEATRIZ, ACEVEDO GONZÁLEZ, JUAN CARLOS, BERBEO CALDERÓN, MIGUEL ENRIQUE","Universitas Psychologica; 10(1); 163-173","Universitas Psychologica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672011000100014&lang=pt" 
"S1657-92672011000100021-col","Diálogo entre marxismo y psicoanálisis: vigencia del legado de V. N. Voloshinov","MONTALBÁN PEREGRÍN, F. MANUEL","Universitas Psychologica; 10(1); 263-277","Universitas Psychologica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672011000100021&lang=pt" 
"S1657-92672011000100012-col","Físicoculturistas consumidores de esteroides anabolizantes y sus relaciones con la auto-descripción física y la ansiedad física social","ARBINAGA IBARZÁBAL, FÉLIX","Universitas Psychologica; 10(1); 137-147","Universitas Psychologica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672011000100012&lang=pt" 
"S1657-92672011000100006-col","Género y espacialidad: análisis de factores que condicionan la equidad en el espacio público urbano","PÁRAMO, PABLO, BURBANO ARROYO, ANDREA MILENA","Universitas Psychologica; 10(1); 61-70","Universitas Psychologica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672011000100006&lang=pt" 
"S1657-92672011000100002-col","Breaking Patient Confidentiality: Comparing Chilean and French Viewpoints Regarding the Conditions of its Acceptability","OLIVARI, CECILIA, MUÑOS SASTRE, MARIA TERESA, GUEDJ, MYRIAM, CLAY SORUM, PAUL, MULLET, ETIENNE","Universitas Psychologica; 10(1); 13-26","Universitas Psychologica","Inglês","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672011000100002&lang=pt" 
"S1657-92672011000100016-col","Propiedades psicométricas de una escala para medir apoyo social percibido en pacientes chilenos con diabetes tipo 2","ORTIZ PARADA, MANUEL, BAEZA RIVERA, MARÍA JOSÉ","Universitas Psychologica; 10(1); 189-196","Universitas Psychologica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672011000100016&lang=pt" 
"S1657-92672011000100018-col","Evaluación psicométrica de un instrumento para la medición de variables asociadas al consumo electrónico en el contexto venezolano","PEINADO, SOFÍA, SALAS, ALEJANDRA, CAMPOS U., MARÍA LORENA","Universitas Psychologica; 10(1); 211-229","Universitas Psychologica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672011000100018&lang=pt" 
"S1657-92672011000100017-col","Adaptación y validación de la versión hispana del Cuestionario de Estilo Emocional","GUARINO, LETICIA","Universitas Psychologica; 10(1); 197-209","Universitas Psychologica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672011000100017&lang=pt" 
"S1657-92672011000100009-col","Estrategias de pensamiento constructivo en estudiantes universitarios","CONTRERAS GUTÍERREZ, OFELIA, CHÁVEZ BECERRA, MARGARITA, ARAGÓN BORJA, LAURA EDNA, VELÁZQUEZ ORTIZ, MIRIAM","Universitas Psychologica; 10(1); 99-111","Universitas Psychologica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672011000100009&lang=pt" 
"S1657-92672011000100004-col","Significados e interacciones de paz de jóvenes integrantes del grupo &quot;Juventud Activa&quot;de Soacha, Colombia","TOVAR GUERRA, CLAUDIA CONSTANZA, SACIPA, STELLA","Universitas Psychologica; 10(1); 35-46","Universitas Psychologica","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672011000100004&lang=pt" 
