"S1984-02922012000100013-scl","Como Perseu se defendeu de Medusa?","Freitas, Rose Lumertz de, Viola, Carolina Gubert","Fractal : Revista de Psicologia; 24(1); 193-202","Fractal : Revista de Psicologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922012000100013&lang=pt" 
"S1516-14392012000200008-scl","Cytotoxicity tests for nanostructured chitosan/PEO membranes using the agar diffusion method","Vulcani, Valcinir Aloisio Scalla, Bizarria, Maria Trindade Marques, d’Ávila, Marcos Akira, Mei, Lucia Helena Innocentini, Bernal, Cláudia, Perussi, Janice Rodrigues","Materials Research; 15(2); 213-217","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200008&lang=pt" 
"S1516-14392012000200013-scl","Prediction total specific pore volume of geopolymers produced from waste ashes by fuzzy logic","Nazari, Ali, Khalaj, Gholamreza","Materials Research; 15(2); 242-252","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200013&lang=pt" 
"S1516-14392012000200017-scl","Naphthenic corrosion resistance, mechanical properties and microstructure evolution of experimental Cr-Mo steels with high Mo content","Moura, Lorena Braga, Guimarães, Rodrigo Freitas, Abreu, Hamilton Ferreira Gomes de, Miranda, Hélio Cordeiro de, Tavares, Sérgio Souto Maior","Materials Research; 15(2); 277-284","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200017&lang=pt" 
"S1516-14392012000200018-scl","Synthesis, characterization and catalytic properties of nanocrystaline Y2O3-coated TiO2 in the ethanol dehydration reaction","Fajardo, Humberto Vieira, Longo, Elson, Leite, Edson Roberto, Libanori, Rafael, Probst, Luiz Fernando Dias, Carreño, Neftalí Lenin Villarreal","Materials Research; 15(2); 285-290","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200018&lang=pt" 
"S1516-14392012000200020-scl","Influence of wood moisture content on the modulus of elasticity in compression parallel to the grain","Silva, Diogo Aparecido Lopes, Lahr, Francisco Antonio Rocco, Faria, Obede Borges de, Chahud, Eduardo","Materials Research; 15(2); 300-304","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200020&lang=pt" 
"S1516-14392012000200021-scl","Fatigue behavior and physical characterization of surface-modified Ti-6Al-4V ELI alloy by micro-arc oxidation","Potomati, Fernanda, Giordani, Enrico José, Duarte, Laís Tereza, Alcântara, Nelson Guedes de, Bolfarini, Claudemiro","Materials Research; 15(2); 305-311","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200021&lang=pt" 
"S1516-14392012000200023-scl","Effect of initial microstructures on the properties of Ferrite-Martensite Dual-Phase pipeline steels with Strain-Based design","Hu, Yueyue, Zuo, Xiurong, Li, Rutao, Zhang, Zhanzhan","Materials Research; 15(2); 317-322","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200023&lang=pt" 
"S1516-14392012000200001-scl","Effect of mixing time on the bed density, and microstructure of selective laser sintered (sls) aluminium powders","Olakanmi, Eyitayo Olatunde","Materials Research; 15(2); 167-176","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200001&lang=pt" 
"S1516-14392012000200019-scl","Some aspects of barreling in sintered plain carbon steel powder metallurgy preforms during cold upsetting","Narayan, Sumesh, Rajeshkannan, Ananthanarayanan","Materials Research; 15(2); 291-299","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200019&lang=pt" 
"S1413-35552012000200003-scl","Envelhecimento e trabalho: um desafio para a agenda da reabilitação","Sampaio, Rosana F., Augusto, Viviane G.","Brazilian Journal of Physical Therapy; 16(2); 94-101","Brazilian Journal of Physical Therapy","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552012000200003&lang=pt" 
"S1413-35552012000200012-scl","Modified constraint-induced movement therapy and modified forced-use therapy for stroke patients are both effective to promote balance and gait improvements","Fuzaro, Amanda C., Guerreiro, Carlos T., Galetti, Fernanda C., Jucá, Renata B. V. M., Araujo, João E. de","Brazilian Journal of Physical Therapy; 16(2); 157-165","Brazilian Journal of Physical Therapy","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552012000200012&lang=pt" 
"S1413-35552012000200013-scl","Fall-related factors among less and more active older outpatients","Perracini, Monica R., Teixeira, Luiza F., Ramos, Juliane L. A., Pires, Raquel S., Najas, Myrian S.","Brazilian Journal of Physical Therapy; 16(2); 166-172","Brazilian Journal of Physical Therapy","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552012000200013&lang=pt" 
"S1413-35552012000200006-scl","Exercise training program based on minimum weekly frequencies: effects on blood pressure and physical fitness in elderly hypertensive patients","Moraes, Wilson M. De, Souza, Pamella R. M., Pinheiro, Mônica H. N. P., Irigoyen, Maria C., Medeiros, Alessandra, Koike, Marcia K.","Brazilian Journal of Physical Therapy; 16(2); 114-121","Brazilian Journal of Physical Therapy","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552012000200006&lang=pt" 
"S1413-35552012000200002-scl","Avaliação das adaptações transculturais e propriedades de medida de questionários relacionados às disfunções do ombro em língua portuguesa: uma revisão sistemática","Puga, Vanessa O. O., Lopes, Alexandre D., Costa, Leonardo O. P.","Brazilian Journal of Physical Therapy; 16(2); 85-93","Brazilian Journal of Physical Therapy","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552012000200002&lang=pt" 
"S1413-35552012000200010-scl","Evaluation of acute radiation effects on mandibular movements of patients with head and neck cancer","Bragante, Karoline C., Nascimento, Daniela M., Motta, Neiro W.","Brazilian Journal of Physical Therapy; 16(2); 141-147","Brazilian Journal of Physical Therapy","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552012000200010&lang=pt" 
"S0100-72032012000400002-scl","Aderência autorreferida a medicamentos prescritos durante a gestação","Oliveira Filho, Alfredo Dias de, Gama, Danielle Pires da, Leopardi, Maria das Graças, Dias, Julia Maria Gonçalves, Lyra Júnior, Divaldo Pereira de, Neves, Sabrina Joany Felizardo","Revista Brasileira de Ginecologia e Obstetrícia; 34(4); 147-152","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000400002&lang=pt" 
"S0100-72032012000400003-scl","Influência das intercorrências maternas e fetais nos diferentes graus de corioamnionite","Machado, Juliana Reis, Rocha, Laura Penna, Barrilari, Sue Ellen Gonçalves, Pucci, Karla Roberta Martins, Reis, Marlene Antônia dos, Castro, Eumênia Costa da Cunha, Corrêa, Rosana Rosa Miranda","Revista Brasileira de Ginecologia e Obstetrícia; 34(4); 153-157","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000400003&lang=pt" 
"S0100-72032012000400004-scl","Comprimento cervical como preditor do período de latência e de infecção na rotura prematura pré-termo de membranas","Sousa, Carla Roberta Macedo de, Linhares, José Juvenal, Arcanjo, Francisco Carlos Nogueira, Andrade, Renata Nogueira, Vieira, Márcio Fragoso","Revista Brasileira de Ginecologia e Obstetrícia; 34(4); 158-163","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000400004&lang=pt" 
"S0100-72032012000400005-scl","Baixa dose de misoprostol sublingual (12,5 µg) para indução do parto","Gattás, Daniele Sofia de Moraes Barros, Souza, Alex Sandro Rolland, Souza, Caroline Gomes Fernandes de, Florentino, André Vinícius de Assis, Nóbrega, Bianca Virgolino, Fook, Valéria Pascoal de Oliveira Lia, Amorim, Melania Maria Ramos","Revista Brasileira de Ginecologia e Obstetrícia; 34(4); 164-169","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000400005&lang=pt" 
"S0100-72032012000400007-scl","Estado nutricional e qualidade de vida da mulher climatérica","Gallon, Carin Weirich, Wender, Maria Celeste Osório","Revista Brasileira de Ginecologia e Obstetrícia; 34(4); 175-183","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000400007&lang=pt" 
"S1516-14392012000200006-scl","Characterization of calcium carbonate obtained from oyster and mussel shells and incorporation in polypropylene","Hamester, Michele Regina Rosa, Balzer, Palova Santos, Becker, Daniela","Materials Research; 15(2); 204-208","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200006&lang=pt" 
"S1516-14392012000200010-scl","Osteoinduction test of anorthite by human mesenchymal stem cell culture","Sousa, Jônatas, Fernandes, Beatriz Luci, Rebelatto, Carmem Lúcia Kuniyoshi, Barchiki, Fabiane, Abud, Ana Paula, Brofman, Paulo, Oliveira, Simone de, Buchi, Dorly, Fernandes, Carlos Roberto","Materials Research; 15(2); 224-228","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200010&lang=pt" 
"S1516-14392012000200005-scl","Pyroelectric composite film for X-ray intensity detection","Sakamoto, Walter Katsumi, Estevam, Giuliano Pierre, Carvalho, Aparecido Augusto de, Pontes, Wesley, Paula, Mauro Henrique de","Materials Research; 15(2); 198-203","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200005&lang=pt" 
"S1516-14392012000200002-scl","Improvement compressive strength of cementitious composites in different curing media by incorporating ZrO2 nanoparticles","Rafieipour, Mohammad Hossein, Nazari, Ali, Mohandesi, Mohammad Ali, Khalaj, Gholamreza","Materials Research; 15(2); 177-184","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000200002&lang=pt" 
"S1413-35552012000200009-scl","Correlação entre a Visual Gait Assessment Scale, Edinburgh Visual Gait Scale e Escala Observacional da Marcha em crianças com paralisia cerebral diparética espástica","Bella, Geruza P., Rodrigues, Nádia B. B., Valenciano, Paola J., Silva, Luciana M. A. E., Souza, Regina C. T.","Brazilian Journal of Physical Therapy; 16(2); 134-140","Brazilian Journal of Physical Therapy","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552012000200009&lang=pt" 
"S1413-35552012000200007-scl","Different instructions during the ten-meter walking test determined significant increases in maximum gait speed in individuals with chronic hemiparesis","Nascimento, Lucas R., Caetano, Lívia C. G., Freitas, Daniele C. M. A., Morais, Tatiane M., Polese, Janaine C., Teixeira-Salmela, Luci F.","Brazilian Journal of Physical Therapy; 16(2); 122-127","Brazilian Journal of Physical Therapy","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552012000200007&lang=pt" 
"S0100-72032012000400001-scl","Desafios do tratamento de pacientes com doença trofoblástica gestacional","Maestá, Izildinha, Braga, Antonio","Revista Brasileira de Ginecologia e Obstetrícia; 34(4); 143-146","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000400001&lang=pt" 
"S1678-69712012000200001-scl","Apresentação","Bataglia, Walter","RAM. Revista de Administração Mackenzie; 13(2); 12-14","RAM. Revista de Administração Mackenzie","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712012000200001&lang=pt" 
"S1678-69712012000200002-scl","Os processos grupais e a gestão de equipes no trabalho contemporâneo: compreensões a partir do pensamento complexo","Kaspary, Magda Capellão, Seminotti, Nedio Antonio","RAM. Revista de Administração Mackenzie; 13(2); 15-43","RAM. Revista de Administração Mackenzie","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712012000200002&lang=pt" 
"S1678-69712012000200003-scl","Uma análise sobre a inserção profissional de estudantes de administração no Brasil","Rocha-de-Oliveira, Sidinei, Piccinini, Valmiria Carolina","RAM. Revista de Administração Mackenzie; 13(2); 44-75","RAM. Revista de Administração Mackenzie","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712012000200003&lang=pt" 
"S1678-69712012000200004-scl","Fatores institucionais e assimetria informacional: influência na estrutura de capital de empresas brasileiras","Albanez, Tatiana, Valle, Maurício Ribeiro do, Corrar, Luiz João","RAM. Revista de Administração Mackenzie; 13(2); 76-105","RAM. Revista de Administração Mackenzie","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712012000200004&lang=pt" 
"S1678-69712012000200005-scl","O CAPM e o CAPM condicional na precificação de índices acionários: evidências de mudanças nos coeficientes estimados de 2005 a 2008","Silva, Wendel Alex Castro, Pinto, Edimeire Alexandra, Melo, Alfredo Alves de Oliveira","RAM. Revista de Administração Mackenzie; 13(2); 106-134","RAM. Revista de Administração Mackenzie","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712012000200005&lang=pt" 
"S1678-69712012000200006-scl","Análise das relações dos elementos de alinhamento estratégico entre negócio e tecnologia da informação com o processo de desenvolvimento de produto","Tonolli Júnior, Enor José, Brodbeck, Ângela Freitag, Costa, Carlos Alberto","RAM. Revista de Administração Mackenzie; 13(2); 135-170","RAM. Revista de Administração Mackenzie","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712012000200006&lang=pt" 
"S1678-69712012000200007-scl","Justaposições da estratégia como prática e processo de estratégia: antes da visão pós-processual da estratégia","Valadão, José de Arimatéia Dias, Silva, Soraya Sales dos Santos e","RAM. Revista de Administração Mackenzie; 13(2); 171-195","RAM. Revista de Administração Mackenzie","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712012000200007&lang=pt" 
"S1413-81232012000400001-scl","Os desafios da avaliação na gestão do SUS","Tanaka, Oswaldo Yoshimi, Tamaki, Edson, Felisberto, Eronildo","Ciência &amp; Saúde Coletiva; 17(4); 818-818","Ciência &amp; Saúde Coletiva","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000400001&lang=pt" 
"S1413-81232012000400004-scl","Meta-avaliação da gestão em saúde: desafios para uma &quot;nova saúde pública&quot;","Hartz, Zulmira Maria de Araújo","Ciência &amp; Saúde Coletiva; 17(4); 832-834","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000400004&lang=pt" 
"S1413-81232012000400005-scl","Sobre os impasses dos usos da avaliação para a gestão: não é preciso inventar, nem basta simplificar","Conill, Eleonor Minho","Ciência &amp; Saúde Coletiva; 17(4); 834-836","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000400005&lang=pt" 
"S1413-81232012000400006-scl","Os autores respondem","","Ciência &amp; Saúde Coletiva; 17(4); 836-837","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000400006&lang=pt" 
"S1413-81232012000400008-scl","Avaliação da gestão para o planejamento em saúde em municípios catarinenses","Lacerda, Josimari Telino de, Calvo, Maria Cristina Marino, Berretta, Isabel Quint, Ortiga, Ângela Maria Blatt","Ciência &amp; Saúde Coletiva; 17(4); 851-859","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000400008&lang=pt" 
"S1413-81232012000400019-scl","O impacto da &quot;Lei Seca&quot; sobre o beber e dirigir em Belo Horizonte/MG","Salgado, Rogério de Souza, Campos, Valdir Ribeiro, Duailibi, Sérgio, Laranjeira, Ronaldo Ramos","Ciência &amp; Saúde Coletiva; 17(4); 971-976","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000400019&lang=pt" 
"S1413-81232012000400030-scl","","Felisberto, Eronildo","Ciência &amp; Saúde Coletiva; 17(4); 1091-1092","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000400030&lang=pt" 
"S0104-42302012000200002-scl","Regarding cancer-related fatigue","Revannasiddaiah, Swaroop, Rastogi, Madhup","Revista da Associação Médica Brasileira; 58(2); 130-130","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000200002&lang=pt" 
"S0104-42302012000200001-scl","Métodos: a receita do bolo","Caramelli, Bruno","Revista da Associação Médica Brasileira; 58(2); 129-129","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000200001&lang=pt" 
"S0104-42302012000200006-scl","Exogenous lipoid pneumonia in children: a disease to be reminded of","Salgado, Izabel Athayde, Santos, Charlene Cavalcante, Salgado, João Victor, Ferraz, Patrícia Consorte, Haidar, Denise Maria, Pereira, Hilda Almeida","Revista da Associação Médica Brasileira; 58(2); 135-137","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000200006&lang=pt" 
"S0104-42302012000200005-scl","O nesiritide reduz mortalidade e reinternação na insuficiência cardíaca descompensada?","Bernardo, Wanderley Marques, Moreira, Fábio Tanzillo","Revista da Associação Médica Brasileira; 58(2); 133-134","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000200005&lang=pt" 
"S0104-42302012000200010-scl","Impacto do treinamento dos músculos do assoalho pélvico na qualidade de vida em mulheres com incontinência urinária","Fitz, Fátima Faní, Costa, Thaís Fonseca, Yamamoto, Deborah Mari, Resende, Ana Paula Magalhães, Stüpp, Liliana, Sartori, Marair Gracio Ferreira, Girão, Manoel João Batista Castello, Castro, Rodrigo Aquino","Revista da Associação Médica Brasileira; 58(2); 155-159","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000200010&lang=pt" 
"S0104-42302012000200003-scl","Cancer-related fatigue, quality of life, pharmacological treatment","Campos, Maira Paschoin de Oliveira","Revista da Associação Médica Brasileira; 58(2); 131-131","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000200003&lang=pt" 
"S0104-42302012000200009-scl","Atualização em doença do refluxo gastroesofágico (DRGE): tratamento não farmacológico","Carvalhaes, Aloisio, Eisig, Jaime Natan, Rodriguez, Tomás Navarro, Bernardo, Wanderley Marques","Revista da Associação Médica Brasileira; 58(2); 154-154","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000200009&lang=pt" 
"S0104-42302012000200011-scl","Perfil de mulheres admitidas em uma UTI obstétrica por causas não obstétricas","Coêlho, Marta de Andrade Lima, Katz, Leila, Coutinho, Isabela, Hofmann, Aline, Miranda, Larissa, Amorim, Melania","Revista da Associação Médica Brasileira; 58(2); 160-167","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000200011&lang=pt" 
"S0104-42302012000200019-scl","Fatores determinantes para modificações da terapia antirretroviral inicial","Lima, Denise Girão Limaverde, Arruda, Érico Antonio Gomes de, Lima, Antonio Jorge Alves de, Oliveira, Bruna Esmeraldo, Fonteles, Marta Maria de França","Revista da Associação Médica Brasileira; 58(2); 222-228","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000200019&lang=pt" 
"S0104-42302012000200018-scl","Nível de atividade física e exercício físico em pacientes com diabetes mellitus","Duarte, Camila Kümmel, Almeida, Jussara Carnevale de, Merker, Aline Juliana Schneider, Brauer, Fabiane de Oliveira, Rodrigues, Ticiana da Costa","Revista da Associação Médica Brasileira; 58(2); 215-221","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000200018&lang=pt" 
"S0104-42302012000200016-scl","Laryngeal sequelae of recurrent respiratory papillomatosis surgery in children","Hermann, Juliana Sato, Pontes, Paulo, Weckx, Luc Louis Maurice, Fujita, Reginaldo, Avelino, Melissa, Pignatari, Shirley Shizue Nagata","Revista da Associação Médica Brasileira; 58(2); 204-208","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000200016&lang=pt" 
"S0104-42302012000200017-scl","High prevalence of arterial hypertension in a Brazilian Northeast population of low education and income level, and its association with obesity and metabolic syndrome","Lyra, Rüy, Silva, Rüsilda dos Santos, Montenegro Junior, Renan Magalhães, Matos, Marcus Vinicius Cardoso, Cézar, Nathalia Joanne Bispo, Fernandes, Virginia Oliveira, Maurício-da-Silva, Luiz","Revista da Associação Médica Brasileira; 58(2); 209-214","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000200017&lang=pt" 
"S0104-42302012000200023-scl","The effect of intracuff alkalinized 2% lidocaine on emergence coughing, sore throat, and hoarseness in smokers","Navarro, Laís Helena Camacho, Lima, Rodrigo Moreira e, Aguiar, Andressa Simões, Braz, José Reinaldo Cerqueira, Carness, Jeffrey M., Módolo, Norma Sueli Pinheiro","Revista da Associação Médica Brasileira; 58(2); 248-253","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000200023&lang=pt" 
"S1413-81232012000400021-scl","&quot;Perdeu a veia&quot;: significados da prática da terapia intravenosa na unidade de terapia intensiva neonatal","Rodrigues, Elisa da Conceição, Cunha, Sueli Rezende, Gomes, Romeu","Ciência &amp; Saúde Coletiva; 17(4); 989-999","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000400021&lang=pt" 
"S1413-81232012000400026-scl","Bioética e saúde coletiva: convergências epistemológicas","Junges, Jose Roque, Zoboli, Elma Lourdes Campos Pavone","Ciência &amp; Saúde Coletiva; 17(4); 1049-1060","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000400026&lang=pt" 
"S0102-71822012000100001-scl","Editorial","Mayorga, Claudia, Rasera, Emerson, Prado, Marco Aurélio Máximo","Psicologia &amp; Sociedade; 24(1); 3-4","Psicologia &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822012000100001&lang=pt" 
"S0102-71822012000100011-scl","Aspectos psicológicos na utilização de bebidas alcoólicas entre os Karitiana","Vianna, João Jackson Bezerra, Cedaro, José Juliano, Ott, Ari Miguel Teixeira","Psicologia &amp; Sociedade; 24(1); 94-103","Psicologia &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822012000100011&lang=pt" 
"S0102-71822012000100027-scl","Ações e reflexões sobre mídia e psicologia","Cristiano, Marta Adriana da Silva","Psicologia &amp; Sociedade; 24(1); 244-247","Psicologia &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822012000100027&lang=pt" 
"S0102-71822012000100026-scl","Fazendo pesquisa narrativa","Germano, Idilva Maria Pires, Valentim, Farley Janusio Rebouças","Psicologia &amp; Sociedade; 24(1); 240-243","Psicologia &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822012000100026&lang=pt" 
"S0102-71822012000100024-scl","Tribos urbanas: os processos coletivos de criação no graffiti","Furtado, Janaina Rocha","Psicologia &amp; Sociedade; 24(1); 217-226","Psicologia &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822012000100024&lang=pt" 
"S0103-50532012000400001-scl","2011: o antes e o depois","Zucco, César","Journal of the Brazilian Chemical Society; 23(4); 581-582","Journal of the Brazilian Chemical Society","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532012000400001&lang=pt" 
"S0103-50532012000400009-scl","Ab Initio, DFT and semi-empirical studies on interactions of phosphoryl, carbonyl, imino and thiocarbonyl ligands with the li+ cation: affinity and associated parameters","Costa, Leonardo M. da, Paes, Lílian W. C., Carneiro, José Walkimar de M.","Journal of the Brazilian Chemical Society; 23(4); 648-655","Journal of the Brazilian Chemical Society","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532012000400009&lang=pt" 
"S0103-50532012000400010-scl","Bioactive phenylpropanoids from Daphne feddei","Lu, Yanling, Li, Xuesen, Mu, Huaixue, Huang, Haitao, Li, Gan-Peng, Hu, Qiufen","Journal of the Brazilian Chemical Society; 23(4); 656-660","Journal of the Brazilian Chemical Society","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532012000400010&lang=pt" 
"S0103-50532012000400014-scl","An efficient methodology for the synthesis of 3-styryl coumarins","Martins, Sérgio M. A., Branco, Paula C. S., Pereira, António M. D. R. L.","Journal of the Brazilian Chemical Society; 23(4); 688-693","Journal of the Brazilian Chemical Society","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532012000400014&lang=pt" 
"S0103-50532012000400022-scl","Evaluation of signal-to-background and Mg II/Mg I ratios as response for the optimization of rare earth elements determination by inductively coupled plasma optical emission spectrometry","Guimarães-Silva, Aline K., Lena, Jorge C. de, Froes, Roberta E. S., Costa, Letícia M., Nascentes, Clésia C.","Journal of the Brazilian Chemical Society; 23(4); 753-762","Journal of the Brazilian Chemical Society","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532012000400022&lang=pt" 
"S0103-50532012000400025-scl","Meroterpenes from Peperomia oreophila Hensch. and Peperomia arifolia Miq.","Salazar, Karina J. M., Lago, João Henrique G., Guimarães, Elsie F., Kato, Massuo J.","Journal of the Brazilian Chemical Society; 23(4); 782-785","Journal of the Brazilian Chemical Society","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532012000400025&lang=pt" 
"S0103-50532012000400021-scl","Nanostructure of polystyrene-b-poly(2-hydroxyethyl methacrylate) and derivatives with phosphonic diacid groups","Schmidt, Vanessa, Borsali, Redouane, Giacomelli, Cristiano","Journal of the Brazilian Chemical Society; 23(4); 747-752","Journal of the Brazilian Chemical Society","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532012000400021&lang=pt" 
"S0365-05962012000200002-scl","Behavior assessment of women attending a sexually transmitted disease clinic in Vitória, Brazil","Miranda, Angelica Espinosa, Lima, Bettina Moulin Coelho, Giami, Alain, Golub, Jonathan E., Talhari, Sinesio","Anais Brasileiros de Dermatologia; 87(2); 197-202","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200002&lang=pt" 
"S0365-05962012000200026-scl","Case for diagnosis","Miranda, Ludmilla Queirós, Rehfeldt, Fernanda Valente da Silva, Silva, Roberto Souto da, Fonseca, João Carlos Macedo, Alves, Maria de Fátima Guimarães Scotelaro","Anais Brasileiros de Dermatologia; 87(2); 322-323","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200026&lang=pt" 
