"S1517-86922000000500005-scl","Aptidão física, saúde e qualidade de vida relacionada à saúde em adultos","Araújo, Denise Sardinha Mendes Soares de, Araújo, Claudio Gil Soares de","Revista Brasileira de Medicina do Esporte; 6(5); 194-203","Revista Brasileira de Medicina do Esporte","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922000000500005&lang=pt" 
"S0074-02762000000500019-scl","Evaluation of an enzyme immunoassay for hepatitis C virus antibody detection using a recombinant protein derived from the core region of hepatitis C virus genome","Lopes, EPA, Granato, CH, Lanzoni, V, Granero, L, Paranhos-Baccala, G, Tomiyama, H, Silva, AEB, Ferraz, ML","Memórias do Instituto Oswaldo Cruz; 95(5); 717-720","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500019&lang=pt" 
"S0074-02762000000500008-scl","Dasybasis elquiensis, a new species of horse fly from Northern Chile (Diptera: Tabanidae: Diachlorini)","González, Christian R","Memórias do Instituto Oswaldo Cruz; 95(5); 629-632","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500008&lang=pt" 
"S0074-02762000000500004-scl","Sylvatic vectors invading houses and the risk of emergence of cases of Chagas disease in Salvador, State of Bahia, Northeast Brazil","Dias-Lima, Artur G, Sherlock, Ítalo A","Memórias do Instituto Oswaldo Cruz; 95(5); 611-613","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500004&lang=pt" 
"S0074-02762000000500006-scl","Borrelia-like spirochetes recovered from ticks and small mammals collected in the Atlantic Forest Reserve, Cotia county, State of São Paulo, Brazil","Abel, IS, Marzagão, G, Yoshinari, NH, Schumaker, TTS","Memórias do Instituto Oswaldo Cruz; 95(5); 621-624","Memórias do Instituto Oswaldo Cruz","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762000000500006&lang=pt" 
"S0102-88392000000400016-scl","Metrópole sustentável?: não é uma questão urbana","Ferreira, Yoshiya Nakagawara","São Paulo em Perspectiva; 14(4); 139-144","São Paulo em Perspectiva","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400016&lang=pt" 
"S0102-88392000000400013-scl","Os Novos monumentos das metrópoles","Ohtake, Ricardo","São Paulo em Perspectiva; 14(4); 111-119","São Paulo em Perspectiva","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400013&lang=pt" 
"S0102-88392000000400012-scl","Reflexões sobre o papel da cultura na cidade de São Paulo","Miranda, Danilo Santos de","São Paulo em Perspectiva; 14(4); 105-110","São Paulo em Perspectiva","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400012&lang=pt" 
"S0102-88392000000400002-scl","Atributos da metrópole moderna","Meyer, Regina Maria Prosperi","São Paulo em Perspectiva; 14(4); 3-9","São Paulo em Perspectiva","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400002&lang=pt" 
"S0102-88392000000400011-scl","Espaços Estruturados e Informes: São Paulo diante da globalização","Brissac, Nelson","São Paulo em Perspectiva; 14(4); 99-104","São Paulo em Perspectiva","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400011&lang=pt" 
"S0102-88392000000400010-scl","A organização metropolitana pós-constituição de 1988","Hotz, Eduardo Fontes","São Paulo em Perspectiva; 14(4); 91-98","São Paulo em Perspectiva","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400010&lang=pt" 
"S0102-88392000000400007-scl","El agua y el suelo en la zona metropolitana del valle de Mexico","Cenecorta, Alfonso Iracheta","São Paulo em Perspectiva; 14(4); 63-69","São Paulo em Perspectiva","Espanhol","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400007&lang=pt" 
"S0102-88392000000400009-scl","Governar as Metrópoles: dilemas da recentralização","Rolnik, Raquel, Somekh, Nadia","São Paulo em Perspectiva; 14(4); 83-90","São Paulo em Perspectiva","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400009&lang=pt" 
"S0102-88392000000400001-scl","","","São Paulo em Perspectiva; 14(4); 1-1","São Paulo em Perspectiva","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400001&lang=pt" 
"S0102-88392000000400003-scl","Globalização e urbanização subdesenvolvida","Ferreira, João Sette Whitaker","São Paulo em Perspectiva; 14(4); 10-20","São Paulo em Perspectiva","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400003&lang=pt" 
"S0102-88392000000400004-scl","Urbanismo na periferia do mundo globalizado: metrópoles brasileiras","Maricato, Ermínia","São Paulo em Perspectiva; 14(4); 21-33","São Paulo em Perspectiva","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400004&lang=pt" 
"S0102-88392000000400005-scl","Breve caracterización histórica de la región metropolitana de Buenos Aires","Calello, Tomás","São Paulo em Perspectiva; 14(4); 34-42","São Paulo em Perspectiva","Espanhol","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400005&lang=pt" 
"S0102-88392000000400006-scl","Santiago de Chile, Globalización y Expansión Metropolitana: lo que existía sigue existiendo","Mattos, Carlos A. de","São Paulo em Perspectiva; 14(4); 43-62","São Paulo em Perspectiva","Espanhol","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400006&lang=pt" 
"S0102-88392000000400008-scl","Cidade Global: anotações críticas sobre um conceito","Carvalho, Mônica de","São Paulo em Perspectiva; 14(4); 70-82","São Paulo em Perspectiva","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400008&lang=pt" 
"S0102-88392000000400014-scl","Teogonias Urbanas: os pentecostais na passagem do rural ao urbano","Passos, João Décio","São Paulo em Perspectiva; 14(4); 120-128","São Paulo em Perspectiva","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400014&lang=pt" 
"S0102-88392000000400015-scl","O modelo da natureza e a natureza do modelo","Godoy, Ana","São Paulo em Perspectiva; 14(4); 129-138","São Paulo em Perspectiva","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392000000400015&lang=pt" 
"S0100-72032000000900001-scl","Recadastramento de Sócios","","Revista Brasileira de Ginecologia e Obstetrícia; 22(9); 541-541","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000900001&lang=pt" 
"S0100-72032000000900007-scl","Análise da Mortalidade Evitável de Mulheres em Idade Reprodutiva","Parpinelli, Mary Angela, Faúndes, Aníbal, Cecatti, José Guilherme, Pereira, Belmiro Gonçalves, Passini Júnior, Renato, Amaral, Eliana","Revista Brasileira de Ginecologia e Obstetrícia; 22(9); 579-584","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000900007&lang=pt" 
"S0100-72032000000900010-scl","Valor da Avaliação Propedêutica Objetiva e Subjetiva no Diagnóstico da Incontinência Urinária Feminina: Correlação com a Força Muscular do Assoalho Pélvico","Moreira, Eliane Cristina Hilberath","Revista Brasileira de Ginecologia e Obstetrícia; 22(9); 597-597","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000900010&lang=pt" 
"S0100-72032000000900011-scl","Estudo Comparativo entre a Histopatologia e a Reação em Cadeia da Polimerase para o Diagnóstico do Papiloma Vírus Humano em Lesões do Colo Uterino de Mulheres Infectadas pelo Vírus da Imunodeficiência Humana","Souza, Néli Sueli Teixeira de","Revista Brasileira de Ginecologia e Obstetrícia; 22(9); 597-597","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000900011&lang=pt" 
"S0100-72032000000900009-scl","Mastite por Paracoccidioidomicose: Relato de Caso","Chambô Filho, Antônio, Borges, Fabio Leal Laignier, Cintra, Luiz Cálice, Martins, Rubia Mara","Revista Brasileira de Ginecologia e Obstetrícia; 22(9); 593-596","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000900009&lang=pt" 
"S0100-72032000000900002-scl","Tratamento da Eclâmpsia: Estudo Comparativo entre o Sulfato de Magnésio e a Fenitoína","Valadares Neto, João de Deus, Bertini, Anna Maria, Taborda, Wladimir Corrêa, Parente, Joaquim Vaz","Revista Brasileira de Ginecologia e Obstetrícia; 22(9); 543-549","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000900002&lang=pt" 
"S0100-72032000000900003-scl","Avaliação da Freqüência Cardíaca Embriofetal no Primeiro Trimestre da Gestação por meio da Ultra-sonografia Transvaginal com Doppler Colorido e Pulsátil","Silva, Cláudia Lemos da, Bailão, Luiz Antônio","Revista Brasileira de Ginecologia e Obstetrícia; 22(9); 551-555","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000900003&lang=pt" 
"S0100-72032000000900006-scl","Freqüência de Neoplasia Intra-epitelial Cervical em Portadoras do Vírus da Imunodeficiência Humana","Auge, Antonio Pedro Flores, Piato, Sebastião, Frade, Armando Brites, Paes, Roberto Pinto, Moura, Cleide Maria Calmon de, Santos, Alba Lúcia Dias dos, Vaz, Altamir","Revista Brasileira de Ginecologia e Obstetrícia; 22(9); 573-577","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000900006&lang=pt" 
"S0100-72032000000900004-scl","Avaliação da Vitalidade Fetal em Gestantes Diabéticas: Análise dos Resultados Neonatais","Yamamoto, Roseli Mieko, Francisco, Rossana Pulcineli Vieira, Miyadahira, Seizo, Banduki Neto, Jorge D., Zugaib, Marcelo","Revista Brasileira de Ginecologia e Obstetrícia; 22(9); 557-566","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000900004&lang=pt" 
"S0100-72032000000900005-scl","Hipertensão Arterial Experimental e Prenhez em Ratas: Repercussões sobre o Peso, Comprimento e Órgãos dos Recém-nascidos","Dias, Rogério, Trindade, José Carlos Souza, Rudge, Marilza Vieira Cunha","Revista Brasileira de Ginecologia e Obstetrícia; 22(9); 567-572","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000900005&lang=pt" 
"S0100-72032000000900008-scl","Atividade Enzimática da 21-Hidroxilase e da 3beta-Hidroxiesteróide Desidrogenase em Mulheres Hirsutas com e sem Anovulação Crônica","Lima, Marco Fábio Prata, Baracat, Edmund Chada, Lima, Geraldo Rodrigues de, Pardini, Dolores Perovano, Silva, Cléber Sérgio da, Caetano, Marcos Roberto","Revista Brasileira de Ginecologia e Obstetrícia; 22(9); 585-591","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000900008&lang=pt" 
"S0864-21252000000500001-cub","Comportamiento reactogénico de la vacuna cubana contra la hepatitis B en niños física y mentalmente discapacitados","Pedroso Flaquet, Plácido, Díaz González, Manuel","Revista Cubana de Medicina General Integral; 16(5); 423-429","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500001&lang=pt" 
"S0864-21252000000500002-cub","Eficiencia del programa de prevención de anemia falciforme en Ciudad de La Habana","Martín Ruiz, Marcos Raúl, Dorticós Balea, Aida, Granda Ibarra, Hilda","Revista Cubana de Medicina General Integral; 16(5); 430-435","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500002&lang=pt" 
"S0864-21252000000500003-cub","Percepción de riesgos en una comunidad insalubre","Ibarra Sala, Ana María, Inda Aragón, José, Fernández Larrea, Niurys, Báez Dueñas, Rosa María","Revista Cubana de Medicina General Integral; 16(5); 436-441","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500003&lang=pt" 
"S0864-21252000000500004-cub","Impacto de la panhisterectomía en la calidad de vida de la mujer","García Tirada, Miriam, Sobrado Rosales, Zeida","Revista Cubana de Medicina General Integral; 16(5); 442-449","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500004&lang=pt" 
"S0864-21252000000500005-cub","Mujer y violencia: ¿un problema de salud comunitario?","Culay Pérez, Alexis, Santana Suárez, Félix, Rodríguez Ferra, Reynaldo, Pérez Alonso, Carlos","Revista Cubana de Medicina General Integral; 16(5); 450-454","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500005&lang=pt" 
"S0864-21252000000500006-cub","Factores de riesgo aterogénicos en pacientes normocolesterolémicos","Snowall, Abel, Silva, Isis, Illnait, José, Castaño, Gladys","Revista Cubana de Medicina General Integral; 16(5); 455-460","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500006&lang=pt" 
"S0864-21252000000500007-cub","Aplicación del costo-eficiencia en un área de salud","Mukodsi Caran, Miguel, Borges Oquendo, Lourdes de la Caridad","Revista Cubana de Medicina General Integral; 16(5); 461-467","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500007&lang=pt" 
"S0864-21252000000500008-cub","Violencia intrafamiliar: Su presentación en un área de salud","Muñiz Ferrer, Mario C, Ferrer Marrero, Daisy, González Pérez, Jorge, Jiménez García, Yanayna","Revista Cubana de Medicina General Integral; 16(5); 468-473","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500008&lang=pt" 
"S0864-21252000000500009-cub","Efectividad de las técnicas participativas en los conocimientos sobre el sida en adolescentes","García Hernández, Tania, Rodríguez Ferra, Reinaldo, Castaño Hernández, Santos","Revista Cubana de Medicina General Integral; 16(5); 474-479","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500009&lang=pt" 
"S0864-21252000000500010-cub","Morbilidad oculta por diabetes mellitus no insulinodependiente y tolerancia a la glucosa alterada","Hernández Cisneros, Freddie, Rabelo Nordelo, Alfredo, García Yllán, Lourdes, García Yllán, Verónica","Revista Cubana de Medicina General Integral; 16(5); 480-484","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500010&lang=pt" 
"S0864-21252000000500011-cub","Úlcera gastroduodenal: problemática de la morbilidad","Fernández Machín, Luis Manuel, González García, Verónica Marlene, Díaz Guzmán, Julio Lenin, Sarmiento Brooks, Gil, Infante Pedreira, Olga","Revista Cubana de Medicina General Integral; 16(5); 485-490","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500011&lang=pt" 
"S0864-21252000000500012-cub","Logros y desafíos de un médico de familia en la gerencia del programa nacional de control de la tuberculosis","Zayas Vinent, Meinardo","Revista Cubana de Medicina General Integral; 16(5); 491-496","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500012&lang=pt" 
"S0864-21252000000500013-cub","El ronquido como signo clínico","Rojas Liranza, Yamil, Paz Sendín, Luisa, Anías Calderón, José, Arteaga Rodríguez, Carlos","Revista Cubana de Medicina General Integral; 16(5); 497-501","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500013&lang=pt" 
"S0864-21252000000500014-cub","Importancia de los antecedentes maternos en el recién nacido bajo peso","Sarmiento Brooks, Gil Vicente, Pagola Leyva, Javier, Oramas Hernández, Lissette, González Aguiar, Aida Gisela","Revista Cubana de Medicina General Integral; 16(5); 502-507","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500014&lang=pt" 
"S0864-21252000000500015-cub","Reflexiones acerca de la salud familiar","González Benítez, Idarmis","Revista Cubana de Medicina General Integral; 16(5); 508-512","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500015&lang=pt" 
"S0864-21252000000500016-cub","Conocimientos y necesidades de información de los médicos de familia","Bermello Navarrete, Rosa, Quintero Soca, Carlos Manuel, Kessel Sardiñas, Ivi Mayra","Revista Cubana de Medicina General Integral; 16(5); 513-516","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500016&lang=pt" 
"S0864-21252000000500017-cub","Se extiende el nuevo modelo &quot;hospitalista&quot; en los Estados Unidos","","Revista Cubana de Medicina General Integral; 16(5); 517-519","Revista Cubana de Medicina General Integral","Espanhol","2000","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252000000500017&lang=pt" 
"S1020-49892000000900001-spa","Estratificación de una ciudad hiperendémica en dengue hemorrágico","Barrera, Roberto, Delgado, Nereida, Jiménez, Matilde, Villalobos, Iris, Romero, Ivonne","Revista Panamericana de Salud Pública; 8(4); 225-233","Revista Panamericana de Salud Pública","Espanhol","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900001&lang=pt" 
"S1020-49892000000900002-spa","Plasma lipids and other cardiovascular risk factors in Costa Rican adolescents","Irwig, Michael S., Siles, Xinia, Gotto, Jr., Antonio M., Rifai, Nader, Campos, Hannia","Revista Panamericana de Salud Pública; 8(4); 234-241","Revista Panamericana de Salud Pública","Inglês","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900002&lang=pt" 
"S1020-49892000000900004-spa","Portadores asintomáticos de hidatidosis: epidemiología, diagnóstico y tratamiento","Larrieu, Edmundo, Frider, Bernardo, del Carpio, Mario, Salvitti, Juan C., Mercapide, Carlos, Pereyra, Rubén, Costa, María, Odriozola, Martín, Pérez, Alicia, Cantoni, Gustavo, Sustercic, José","Revista Panamericana de Salud Pública; 8(4); 250-256","Revista Panamericana de Salud Pública","Espanhol","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900004&lang=pt" 
"S1020-49892000000900005-spa","Parenting and physical punishment: primary care interventions in Latin America","López Stewart, Carmen, George Lara, Miriam, Herrera Amighetti, Luis Diego, Wissow, Lawrence S., Gutierrez, Maria Isabel, Levav, Itzhak, Maddaleno, Matilde","Revista Panamericana de Salud Pública; 8(4); 257-267","Revista Panamericana de Salud Pública","Inglês","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900005&lang=pt" 
"S0100-204X2000001000001-scl","Influência da espécie cultivada e da vegetação nativa circundante na densidade de sauveiros em eucaliptais","ZANETTI, RONALD, VILELA, EVALDO FERREIRA, ZANUNCIO, JOSÉ COLA, LEITE, HÉLIO GARCIA, FREITAS, GUILHERME DIAS","Pesquisa Agropecuária Brasileira; 35(10); 1911-1918","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000001&lang=pt" 
"S0100-204X2000001000011-scl","Método generalizado de análise de dialelos desbalanceados","SILVA, SÍLVIA AGRIPINA GONÇALVES E, MORAIS, ORLANDO PEIXOTO DE, RAVA, CARLOS AGUSTIN, COSTA, JOAQUIM GERALDO CÁPRIO DA","Pesquisa Agropecuária Brasileira; 35(10); 1999-2005","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000011&lang=pt" 
"S0100-204X2000001000009-scl","Métodos de proteção de enxerto na produção de mudas de mangueira, abacateiro e nogueira-macadâmia","JACOMINO, ANGELO PEDRO, MINAMI, KEIGO, KLUGE, RICARDO ALFREDO, KISHINO, ANTÔNIO YOSHIO","Pesquisa Agropecuária Brasileira; 35(10); 1985-1990","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000009&lang=pt" 
"S0100-204X2000001000008-scl","Produtividade e morfologia de genótipos de caupi em diferentes densidades populacionais nos sistemas irrigado e de sequeiro","SANTOS, CARLOS ANTONIO FERNANDES, ARAUJO, FRANCISCO PINHEIRO DE","Pesquisa Agropecuária Brasileira; 35(10); 1977-1984","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000008&lang=pt" 
"S0100-204X2000001000014-scl","Soil solarization for weed control in carrot","MARENCO, RICARDO ANTONIO, LUSTOSA, DENISE CASTRO","Pesquisa Agropecuária Brasileira; 35(10); 2025-2032","Pesquisa Agropecuária Brasileira","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000014&lang=pt" 
"S0100-204X2000001000015-scl","Detecção de fungos micorrízicos arbusculares em raízes de cafeeiro e de crotalária cultivada na entrelinha","COLOZZI FILHO, ARNALDO, CARDOSO, ELKE JURANDI BRAN NOGUEIRA","Pesquisa Agropecuária Brasileira; 35(10); 2033-2042","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000015&lang=pt" 
"S0100-204X2000001000018-scl","Amostragem e variabilidade espacial de características químicas de um latossolo submetido a diferentes sistemas de preparo","SILVEIRA, PEDRO MARQUES DA, ZIMMERMANN, FRANCISCO JOSÉ PFEILSTICKER, SILVA, SILVANDO CARLOS DA, CUNHA, ADRIANY ALVES DA","Pesquisa Agropecuária Brasileira; 35(10); 2057-2064","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000018&lang=pt" 
"S0100-204X2000001000017-scl","Efeito da relação cálcio e magnésio do corretivo sobre micronutrientes na alfafa","MOREIRA, ADÔNIS, CARVALHO, JANICE GUEDES DE, MORAES, LARISSA ALEXANDRA CARDOSO, SALVADOR, JOÃO ODEMIR","Pesquisa Agropecuária Brasileira; 35(10); 2051-2056","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000017&lang=pt" 
"S0100-204X2000001000022-scl","Produção e qualidade do milheto semeado em duas épocas e adubado com nitrogênio","GUIDELI, CLAUDIA, FAVORETTO, VANILDO, MALHEIROS, EUCLIDES BRAGA","Pesquisa Agropecuária Brasileira; 35(10); 2093-2098","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000022&lang=pt" 
"S0100-204X2000001000025-scl","Eficiência do uso de potássio pelos genótipos dearroz de terras altas","FAGERIA, NAND KUMAR","Pesquisa Agropecuária Brasileira; 35(10); 2115-2120","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000025&lang=pt" 
"S0100-204X2000001000023-scl","Veda e vermifugação como alternativas de manejo para desmama de bezerros Nelore em pastagem nativa do Pantanal","SERENO, JOSÉ ROBSON BEZERRA, CATTO, JOÃO BATISTA, SILVA, MARTA PEREIRA DA, SERENO, FABIANA TAVARES PIRES DE SOUZA","Pesquisa Agropecuária Brasileira; 35(10); 2099-2105","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000023&lang=pt" 
"S0100-204X2000001000024-scl","Disponibilidade de nutrientes em vertissolo calcário","MOREIRA, ADÔNIS, FRANCHINI, JÚLIO CEZAR, MORAES, LARISSA ALEXANDRA CARDOSO, MALAVOLTA, EURÍPEDES","Pesquisa Agropecuária Brasileira; 35(10); 2107-2113","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000024&lang=pt" 
"S0100-204X2000001000002-scl","Uso do feromônio sexual sintético para captura de machos da traça-das-crucíferas","MICHEREFF, MIRIAN FERNANDES FURTADO, VILELA, EVALDO FERREIRA, MICHEREFF FILHO, MIGUEL, MAFRA-NETO, AGENOR","Pesquisa Agropecuária Brasileira; 35(10); 1919-1926","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000002&lang=pt" 
"S0100-204X2000001000003-scl","Acumulação de biomassa, características fisiológicas e rendimento de grãos em cultivares de feijoeiro irrigado e sob sequeiro","GOMES, ARÃO ARAÚJO, ARAÚJO, ADELSON PAULO, ROSSIELLO, ROBERTO OSCAR PEREYRA, PIMENTEL, CARLOS","Pesquisa Agropecuária Brasileira; 35(10); 1927-1937","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000003&lang=pt" 
"S0100-204X2000001000004-scl","Carbon isotope discrimination and yield of upland rice as affected by drought at flowering","PINHEIRO, BEATRIZ DA SILVEIRA, AUSTIN, ROGER BRIAN, CARMO, MARIA PEREIRA DO, HALL, MICHAEL ALAN","Pesquisa Agropecuária Brasileira; 35(10); 1939-1947","Pesquisa Agropecuária Brasileira","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000004&lang=pt" 
"S0100-204X2000001000005-scl","Crescimento da cultura principal e da soca de genótipos de arroz irrigado por inundação","COSTA, ELISANE GALBE DE CARVALHO, SANTOS, ALBERTO BAÊTA DOS, ZIMMERMANN, FRANCISCO JOSÉ PFEILSTICKER","Pesquisa Agropecuária Brasileira; 35(10); 1949-1958","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000005&lang=pt" 
"S0100-204X2000001000006-scl","Physiological and morphological responces of Brachiaria spp. to flooding","DIAS-FILHO, MOACYR BERNARDINO, CARVALHO, CLÁUDIO JOSÉ REIS DE","Pesquisa Agropecuária Brasileira; 35(10); 1959-1966","Pesquisa Agropecuária Brasileira","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000006&lang=pt" 
"S0100-204X2000001000012-scl","Paternity test in &quot;Mangalarga-Marchador&quot; equines by DNA-fingerprinting","ANUNCIAÇÃO, CARLOS EDUARDO, ASTOLFI-FILHO, SPARTACO","Pesquisa Agropecuária Brasileira; 35(10); 2007-2015","Pesquisa Agropecuária Brasileira","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000012&lang=pt" 
"S0100-204X2000001000013-scl","Protocolo para a embriogênese somática do mamoeiro","ALMEIDA, ELIANE PIRES DE, OLIVEIRA, ROBERTO PEDROSO DE, DANTAS, JORGE LUIZ LOYOLA","Pesquisa Agropecuária Brasileira; 35(10); 2017-2024","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000013&lang=pt" 
