"S0101-31222006000100018-scl","Idade e tempo de armazenamento de frutos e qualidade fisiológica de sementes de abóbora híbrida","Costa, Caroline Jácome, Carmona, Ricardo, Nascimento, Warley Marcos","Revista Brasileira de Sementes; 28(1); 127-132","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100018&lang=pt" 
"S0004-27492006000200007-scl","Facoemulsificação do primeiro e segundo olho: critérios de indicação e resultados","Souza, Ana Catarina Delgado de, Nicodemos, Rita Flávia Araújo, Ventura, Catarina, Tavares, João Eudes, Brandt, Carlos Teixeira","Arquivos Brasileiros de Oftalmologia; 69(2); 171-175","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200007&lang=pt" 
"S0004-27492006000200006-scl","Seguimento de portadores de coriorretinopatia serosa central por meio da tomografia de coerência óptica","Maia Júnior, Otacílio de Oliveira, Misawa, Alexandre Kazuo, Takahashi, Beatriz Sayuri, Konno, Fabio, Yamaguishi, Mariana Lie, Takahashi, Walter Yukihiko","Arquivos Brasileiros de Oftalmologia; 69(2); 165-169","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200006&lang=pt" 
"S0004-27492006000200005-scl","Matrix metalloproteinase-9 expression in pterygium","Schellini, Silvana Artioli, Hoyama, Erika, Oliveira, Deilson Elgui, Bacchi, Carlos Eduardo, Padovani, Carlos Roberto","Arquivos Brasileiros de Oftalmologia; 69(2); 161-164","Arquivos Brasileiros de Oftalmologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200005&lang=pt" 
"S0004-27492006000200012-scl","Perfil dos alunos usuários de lentes de contato do curso de Medicina da Universidade Estadual Paulista - UNESP - Botucatu","Vidotti, Vanessa Gonçalves, Kamegasawa, Amélia","Arquivos Brasileiros de Oftalmologia; 69(2); 197-201","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200012&lang=pt" 
"S0004-27492006000200017-scl","Avaliação do olho seco no pré e pós-operatório da blefaroplastia","Lima, Carlos Gustavo de Melo Gonçalves de, Siqueira, Giordano Bruno, Cardoso, Isabel Habeyche, Sant&#039;Anna, Ana Estela Besteti, Osaki, Midori Hentona","Arquivos Brasileiros de Oftalmologia; 69(2); 227-232","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200017&lang=pt" 
"S0004-27492006000200020-scl","Unilateral blindness as a complication of nasal septoplasty: case report","Monteiro, Mário Luiz Ribeiro","Arquivos Brasileiros de Oftalmologia; 69(2); 249-250","Arquivos Brasileiros de Oftalmologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200020&lang=pt" 
"S0004-27492006000200025-scl","Descolamento viteliforme macular associado a drusas da lâmina basal: relato de caso","Bonanomi, Maria Teresa Brizzi Chizzotti, Maia Júnior, Otacílio de Oliveira, Lower, Leda Mine Takei, Nakashima, Yoshitaka","Arquivos Brasileiros de Oftalmologia; 69(2); 269-272","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200025&lang=pt" 
"S0004-27492006000200027-scl","Em memória do Prof. Sérgio Lustosa da Cunha","Bechara, Samir Jacob, Costa, Vital Paulino","Arquivos Brasileiros de Oftalmologia; 69(2); 280-280","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200027&lang=pt" 
"S0004-27492006000200021-scl","Retinal nerve fiber layer loss documented by Stratus OCT TM in patients with pituitary adenoma: case report","Leal, Bruno Campelo, Moura, Frederico Castelo, Monteiro, Mário Luiz Ribeiro","Arquivos Brasileiros de Oftalmologia; 69(2); 251-254","Arquivos Brasileiros de Oftalmologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200021&lang=pt" 
"S0004-27492006000200023-scl","LASIK em pacientes adultos com alta anisometropia: relato de casos","Gus, Patrícia Ioschpe, Matos, Guilherme Herrmann, Bayer, Marcia Cristina","Arquivos Brasileiros de Oftalmologia; 69(2); 261-263","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200023&lang=pt" 
"S0004-27492006000200024-scl","Criptococose palpebral: relato de caso","Souza, Murilo Barreto, Melo, Carlos Sergio Nascimento, Silva, Cristiana Silveira, Santo, Ruth Miyuki, Matayoshi, Suzana","Arquivos Brasileiros de Oftalmologia; 69(2); 265-267","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200024&lang=pt" 
"S0004-27492006000200002-scl","Full threshold vs. Swedish interactive threshold algorithm (SITA) em pacientes glaucomatosos submetidos à perimetria computadorizada pela primeira vez","Schimiti, Rui Barroso, Arcieri, Enyr Saran, Avelino, Rodrigo Rezende, Matsuo, Tiemi, Costa, Vital Paulino","Arquivos Brasileiros de Oftalmologia; 69(2); 145-150","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000200002&lang=pt" 
"S0102-71822006000100001-scl","Editorial","Maraschin, Cleci","Psicologia &amp; Sociedade; 18(1); -","Psicologia &amp; Sociedade","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822006000100001&lang=pt" 
"S0102-71822006000100013-scl","Cenas da clínica psicanalítica","Schäffer, Margareth","Psicologia &amp; Sociedade; 18(1); 92-94","Psicologia &amp; Sociedade","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822006000100013&lang=pt" 
"S0102-71822006000100003-scl","Reinventando as práticas psi","Nascimento, Maria Lívia do, Manzini, Juliane Macedo, Bocco, Fernanda","Psicologia &amp; Sociedade; 18(1); 15-20","Psicologia &amp; Sociedade","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822006000100003&lang=pt" 
"S0102-71822006000100004-scl","Subjetividade em movimento: o MST no Rio Grande do Norte","Leite, Jáder Ferreira, Dimenstein, Magda","Psicologia &amp; Sociedade; 18(1); 21-30","Psicologia &amp; Sociedade","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822006000100004&lang=pt" 
"S0102-71822006000100005-scl","Somatização em migrantes de baixa renda no Brasil","Silva, Miguel Antônio de Mello, Queiroz, Marcos de Souza","Psicologia &amp; Sociedade; 18(1); 31-39","Psicologia &amp; Sociedade","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822006000100005&lang=pt" 
"S0102-71822006000100006-scl","Permanências e rupturas: sentidos de gênero em mulheres chefes de família","Testoni, Raquel Jaqueline Freiberger, Tonelli, Maria Juracy Filgueiras","Psicologia &amp; Sociedade; 18(1); 40-48","Psicologia &amp; Sociedade","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822006000100006&lang=pt" 
"S0102-71822006000100007-scl","Famílias e patriarcado: da prescrição normativa à subversão criativa","Narvaz, Martha Giudice, Koller, Sílvia Helena","Psicologia &amp; Sociedade; 18(1); 49-55","Psicologia &amp; Sociedade","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822006000100007&lang=pt" 
"S0102-71822006000100008-scl","Mudança das práticas sócio-educativas na FEBEM-SP: as representações sociais de funcionários","Lima, Rita de Cássia Pereira","Psicologia &amp; Sociedade; 18(1); 56-62","Psicologia &amp; Sociedade","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822006000100008&lang=pt" 
"S0100-41582006000200001-scl","Peronosclerospora sorghi, o agente etiológico do míldio do sorgo","Barbosa, Flávia C. Rufini, Pfenning, Ludwig H., Casela, Carlos R.","Fitopatologia Brasileira; 31(2); 119-132","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200001&lang=pt" 
"S0100-41582006000200003-scl","Agressividade de linhagens de Xanthomonas axonopodis pv. aurantifolii Tipo C em lima ácida &#039;Galego&#039;","Nociti, Letícia A. S., Camargo, Margarete, Rodrigues Neto, Júlio, Francischini, Fabrício J. B., Belasque Júnior, José","Fitopatologia Brasileira; 31(2); 140-146","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200003&lang=pt" 
"S0100-41582006000200004-scl","Relação entre níveis de inóculo de Colletotrichum gossypii var. cephalosporioides nas sementes e o progresso da ramulose do algodoeiro","Araújo, Dejânia V., Pozza, Edson A., Machado, José C., Zambenedetti, Elisandra B., Carvalho, Enia M., Celano, Fabiane A. O.","Fitopatologia Brasileira; 31(2); 147-151","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200004&lang=pt" 
"S0100-41582006000200015-scl","Sobrevivência de Rotylenchulus reniformis em solo naturalmente infestado submetido a diferentes períodos de armazenamento","Torres, Gustavo R. C., Pedrosa, Elvira M. R., Moura, Romero M.","Fitopatologia Brasileira; 31(2); 203-206","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200015&lang=pt" 
"S0100-41582006000200014-scl","Método de perfilhos únicos para estimar os danos causados pela queima-da-bainha nos componentes de produtividade do arroz","Araújo, Leila Garcês de, Prabhu, Anne Sitarama, Silva, Gisele Barata da","Fitopatologia Brasileira; 31(2); 199-202","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200014&lang=pt" 
"S0100-41582006000200013-scl","Caracterização de isolados de Phytophthora drechsleri, agente causal da podridão mole de raízes de mandioca","Muniz, Maria de Fátima S., Andrade, Flávia Waleska R. de, Queiroz, Fátima M., Moura Filho, Gilson, Menezes, Maria","Fitopatologia Brasileira; 31(2); 195-198","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200013&lang=pt" 
"S0100-41582006000200011-scl","Influência de leguminosas no controle de fitonematóides no cultivo orgânico de alface americana e de repolho","Moraes, Sylvia R. G., Campos, Vicente P., Pozza, Edson A., Fontanetti, Anastácia, Carvalho, Gabriel J., Maximiniano, Cleber","Fitopatologia Brasileira; 31(2); 188-191","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200011&lang=pt" 
"S0100-41582006000200010-scl","Análisis de Distintos Tipos de Azúcares en el Método de Extracción de Ascosporas de Monosporascus cannonballus en Suelo","Sales Junior, Rui, Beltrán, Roberto, Michereff, Sami J., Armengol, Josep, García-Jiménez, José, Medeiros, Érika Valente de","Fitopatologia Brasileira; 31(2); 185-187","Fitopatologia Brasileira","Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200010&lang=pt" 
"S0100-41582006000200012-scl","Novas fontes de resistência do feijoeiro comum à mancha angular","Sartorato, Aloísio","Fitopatologia Brasileira; 31(2); 192-194","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200012&lang=pt" 
"S0254-07702006000100002-ven","Anodic oxidation and electropolimerization of salicylic acid","Lárez, Cristóbal, Márquez, Olga P, Márquez, Jairo","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(1); 3-13","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000100002&lang=pt" 
"S0254-07702006000100001-ven","Misión Ciencia y las Universidades Nacionales","Sánchez, Miguel","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(1); 1-2","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000100001&lang=pt" 
"S0254-07702006000100007-ven","Three-dimensional simulation of the entrance-impeller interaction of a hydraulic disc pump","Pérez, José Leonardo, Carrillo, Luis Patiño, Espinoza, Henry","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(1); 49-57","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000100007&lang=pt" 
"S0254-07702006000100006-ven","Computer-based system for the design of dynamic vibration absorbers","Fernández, Rafael, Rincón, Nohelis, Bukowitz, David","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(1); 40-48","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000100006&lang=pt" 
"S0254-07702006000100005-ven","Mathematical modelling of the classic dynamical system of beam and sphere using pneumatic actuator","Terán, María A, Mendoza, Onexi L, Díaz, José G, Arteaga, Francisco J","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(1); 29-39","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000100005&lang=pt" 
"S0254-07702006000100004-ven","Behavior of the gum from Enterolobium cyclocarpum in the preparation peach nectar","Delmonte, María Lucía, Rincón, Fernando, León de Pinto, Gladys, Guerrero, Rocío","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(1); 23-28","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000100004&lang=pt" 
"S0254-07702006000100009-ven","Energy efficiency influence on building value according to present cost value method","Rojas Kovach, Axa","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(1); 63-73","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000100009&lang=pt" 
"S0254-07702006000100008-ven","Study of surface drainage of the University Campus","Rincón, Maribet, Rincón, Benedicto","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(1); 58-62","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000100008&lang=pt" 
"S0254-07702006000100003-ven","Use of exudated gum produced by Samanea saman in the potabilization of the water","González, Griselda, Chávez, Magaly, Mejías, Donaldo, Mas y Rubí, Marielba, Fernández, Nola, León de Pinto, Gladys","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(1); 14-22","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000100003&lang=pt" 
"S0254-07702006000100011-ven","Some results on generalized Appell functions","Castillo P, Jaime, Galué, Leda","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(1); 83-92","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000100011&lang=pt" 
"S0254-07702006000100010-ven","Distance protection algorithm based differential equation","Osal Herrera, William José, García Gracia, Miguel","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia; 29(1); 74-82","Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0254-07702006000100010&lang=pt" 
"S0100-41582006000200023-scl","Ocorrência da mancha bacteriana do maracujazeiro em Roraima","Halfeld-Vieira, Bernardo A., Nechet, Kátia de Lima","Fitopatologia Brasileira; 31(2); 214-214","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200023&lang=pt" 
"S0100-41582006000200022-scl","Ocorrência natural de Greeneria uvicola em uva","Pfenning, Ludwig H., Goussain, Rita de Cássia S., Almeida, Anderson R., Alves, Eduardo","Fitopatologia Brasileira; 31(2); 213-213","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200022&lang=pt" 
"S0100-41582006000200021-scl","Ocorrência de um Potyvirus associado ao mosaico da açucena-gigante","Barboza, Antônio A.L., Souto, Eliezer R. de, Almeida, Álvaro M.R., Kitajima, Elliot W.","Fitopatologia Brasileira; 31(2); 212-212","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200021&lang=pt" 
"S0100-41582006000200020-scl","Primeiro assinalamento de Scutellonema bradys em Dioscorea alata no Brasil, estabelecido no Estado de São Paulo","Moura, Romero M., Oliveira, Idjane S., Torres, Gustavo Rubens C.","Fitopatologia Brasileira; 31(2); 211-211","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200020&lang=pt" 
"S0100-41582006000200019-scl","Primeiro relato de Cercospora acalyphae como agente etiológico de mancha foliar em Acalypha wilkesiana no Brasil","Mafia, Reginaldo G., Alfenas, Acelino C., Cavallazzi, José Renato P.","Fitopatologia Brasileira; 31(2); 210-210","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200019&lang=pt" 
"S0100-41582006000200018-scl","Ocorrência do vírus Rice stripe necrosis virus em lavouras de arroz do Rio Grande do Sul","Maciel, João L. N., Moraes, Marcelo G. de, Almança, Marcus A. K., Matsumura, Aida T. S., Falcade, Johannes H.","Fitopatologia Brasileira; 31(2); 209-209","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200018&lang=pt" 
"S0100-41582006000200017-scl","Ocorrência do crestamento gomoso do caule em melancia no Tocantins causado por Didymella bryoniae","Santos, Gil R., Café Filho, Adalberto C.","Fitopatologia Brasileira; 31(2); 208-208","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200017&lang=pt" 
"S0100-41582006000200016-scl","Fenótipo S1 de esterase em Meloidogyne incognita no Brasil","Oliveira, Dagoberto S., Oliveira, Rosângela D. L., Gonçalves, Wallace","Fitopatologia Brasileira; 31(2); 207-207","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200016&lang=pt" 
"S0100-41582006000200002-scl","Progresso de epidemias e avaliação de danos da ferrugem em clones de álamo","May-De Mio, Louise L., Amorim, Lilian, Moreira, Luciene M.","Fitopatologia Brasileira; 31(2); 133-139","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200002&lang=pt" 
"S0100-41582006000200005-scl","Variáveis climáticas associadas à incidência de mofo-cinzento em eucalipto","Mafia, Reginaldo G., Alfenas, Acelino C., Ferreira, Eraclides M., Leite, Fernando Palha, Souza, Flávio Luiz de","Fitopatologia Brasileira; 31(2); 152-157","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200005&lang=pt" 
"S0100-41582006000200006-scl","Qualidade sanitária e fisiológica de sementes de abóbora variedade Menina Brasileira","Casaroli, Derblai, Garcia, Danton C., Muniz, Marlove F. B., Menezes, Nilson L. de","Fitopatologia Brasileira; 31(2); 158-163","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200006&lang=pt" 
"S0100-41582006000200007-scl","Efeito da aplicação de thiamethoxam para o controle do tripes na redução da severidade da verrugose do amendoim","Moraes, Andrea R. A., Moraes, Sérgio A., Lourenção, André L., Godoy, Ignácio J., Martins, Antônio Lúcio M.","Fitopatologia Brasileira; 31(2); 164-179","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200007&lang=pt" 
"S0100-41582006000200008-scl","Avaliação de produtos alternativos para controle da requeima do tomateiro","Diniz, Lylian P., Maffia, Luiz A., Dhingra, Onkar D., Casali, Vicente W. D., Santos, Ricardo H. S., Mizubuti, Eduardo S. G.","Fitopatologia Brasileira; 31(2); 171-179","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200008&lang=pt" 
"S0100-41582006000200009-scl","Potencialidade da casca de caranguejo na redução da incidência de fusariose e na promoção do crescimento de mudas de pimenteira-do-reino","Benchimol, Ruth L., Sutton, John C., Dias-Filho, Moacyr B.","Fitopatologia Brasileira; 31(2); 180-184","Fitopatologia Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582006000200009&lang=pt" 
"S1012-15872006000100002-ven","Ciudadanía activa: La construcción del nuevo sujeto indígena","Leal González, Nila","Opción; 22(49); 9-24","Opción","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1012-15872006000100002&lang=pt" 
"S1012-15872006000100001-ven","Presentación","","Opción; 22(49); 5-6","Opción","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1012-15872006000100001&lang=pt" 
"S1012-15872006000100003-ven","Vagos acercamientos a la indiscreta interioridad de la significación","Peñuela Cañizal, Eduardo","Opción; 22(49); 25-37","Opción","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1012-15872006000100003&lang=pt" 
"S1012-15872006000100005-ven","Análisis semántico-pragmático de las caricaturas de Pedro León Zapata (Zapatazos)*","Chirinos, Adiana, Franco, Antonio, Molero de Cabeza, Lourdes","Opción; 22(49); 55-76","Opción","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1012-15872006000100005&lang=pt" 
"S1012-15872006000100004-ven","El contrato de comunicación en una perspectiva lingüística: Normas psicosociales y normas discursivas","Charaudeau, Patrick","Opción; 22(49); 38-54","Opción","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1012-15872006000100004&lang=pt" 
"S1012-15872006000100007-ven","Análisis crítico de un estudio acerca de la gerencia del conocimiento en empresas","Flores Urbáez, Matilde, Peña Cedillo, Jesús","Opción; 22(49); 96-118","Opción","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1012-15872006000100007&lang=pt" 
"S1012-15872006000100006-ven","La racionalidad productiva de la familia campesina","Chirinos, Orlando José","Opción; 22(49); 77-95","Opción","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1012-15872006000100006&lang=pt" 
"S1012-15872006000100008-ven","Dora Elvira García González. Del poder político al amor al mundo. Editorial Porrúa/Tecnológico de Monterrey. México, 2005.","","Opción; 22(49); 121-130","Opción","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1012-15872006000100008&lang=pt" 
"S1315-52162006000200003-ven","Ciudadanas en el siglo XXI: sobre los ideales de la ciudadanía global y la privatización de derechos","CIRIZA, Alejandra","Utopìa y Praxis Latinoamericana; 11(33); 039-054","Utopìa y Praxis Latinoamericana","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162006000200003&lang=pt" 
"S1315-52162006000200002-ven","Neurobiología y contenido material universal de la ética: reflexiones a partir del modelo neurobiológico de Antonio Damasio","GUTIÉRREZ, Germán","Utopìa y Praxis Latinoamericana; 11(33); 009-038","Utopìa y Praxis Latinoamericana","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162006000200002&lang=pt" 
"S1315-52162006000200001-ven","Presentación","Márquez-Fernández, Álvaro","Utopìa y Praxis Latinoamericana; 11(33); 005-008","Utopìa y Praxis Latinoamericana","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162006000200001&lang=pt" 
"S1315-52162006000200007-ven","Liberalismo y democracia en Argentina. El estudio de un caso: Ernesto Nelson: ¿Un educador del Estado en contra del Estado?","HERRERO, Alejandro","Utopìa y Praxis Latinoamericana; 11(33); 103-108","Utopìa y Praxis Latinoamericana","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162006000200007&lang=pt" 
"S1315-52162006000200006-ven","Visibilizando al enemigo: EE.UU vs América Latina","SALAZAR, Robinson","Utopìa y Praxis Latinoamericana; 11(33); 087-102","Utopìa y Praxis Latinoamericana","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162006000200006&lang=pt" 
"S1315-52162006000200005-ven","Propuestas críticas para un análisis más comprensivo de la problemática masculina","BOSCÁN LEAL, Antonio","Utopìa y Praxis Latinoamericana; 11(33); 069-085","Utopìa y Praxis Latinoamericana","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162006000200005&lang=pt" 
"S1315-52162006000200004-ven","La mujer en las publicaciones institucionales de las empresas petroleras extranjeras en Venezuela","GONZÁLEZ OQUENDO, Luis J","Utopìa y Praxis Latinoamericana; 11(33); 055-067","Utopìa y Praxis Latinoamericana","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162006000200004&lang=pt" 
"S1315-52162006000200009-ven","Martín Hopenhayn: La concentración de la propiedad sobre los medios atenta contra la democracia comunicacional","VILLALOBOS FINOL, Orlando","Utopìa y Praxis Latinoamericana; 11(33); 121-127","Utopìa y Praxis Latinoamericana","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162006000200009&lang=pt" 
"S1315-52162006000200008-ven","Cambiar el mundo: Entre la reforma universitaria y el altermundismo","BIAGINI, Hugo","Utopìa y Praxis Latinoamericana; 11(33); 109-119","Utopìa y Praxis Latinoamericana","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-52162006000200008&lang=pt" 
"S0102-71822006000100002-scl","","Gómez Sánchez, Lucía, Martínez Martínez, Luz M., Jódar Rico, Francisco","Psicologia &amp; Sociedade; 18(1); 7-14","Psicologia &amp; Sociedade","Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822006000100002&lang=pt" 
"S1020-49892006000400014-spa","Caracterización final y lecciones de la epidemia de dengue 3 en Cuba, 2001-2002","Guzmán, María G., Peláez, Otto, Kourí, Gustavo, Quintana, Ibrahim, Vázquez, Susana, Pentón, Macdelín, Ávila, Luis Carlos","Revista Panamericana de Salud Pública; 19(4); 282-289","Revista Panamericana de Salud Pública","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892006000400014&lang=pt" 
"S1020-49892006000400004-spa","Physical activity and overweight among adolescents on the Texas-Mexico border","Pérez, Adriana, Reininger, Belinda M., Aguirre Flores, María Isabel, Sanderson, Maureen, Roberts, Robert E.","Revista Panamericana de Salud Pública; 19(4); 244-252","Revista Panamericana de Salud Pública","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892006000400004&lang=pt" 
"S0102-71822006000100009-scl","Representações sociais sobre o câncer feminino: vivência e atuação profissional","Vieira, Carolina Pasquote, Queiroz, Marcos de Souza","Psicologia &amp; Sociedade; 18(1); 63-70","Psicologia &amp; Sociedade","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822006000100009&lang=pt" 
