"S1414-81452015000100024-scl","Acontecimentos que antecederam a federalização da Escola Paulista de Enfermagem","Cardili, Carolina Vieira Cagnacci, Sanna, Maria Cristina","Escola Anna Nery; 19(1); 24-32","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100024&lang=pt" 
"S1807-86212015000100051-scl","Interaction of Saccharomyces cerevisiae and Lactococcus lactis in the fermentation and quality of artisanal cachaça","Carvalho, Fernanda Paula, Duarte, Whasley Ferreira, Dias, Disney Ribeiro, Piccoli, Roberta Hilsdorf, Schwan, Rosane Freitas","Acta Scientiarum. Agronomy; 37(1); 51-60","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100051&lang=pt" 
"S1807-86212015000100093-scl","Soil weed seed bank in situ and ex situ at a smallholder field in Maranhão State, northeastern Brazil","Mesquita, Mário Luiz Ribeiro, Andrade, Leonaldo Alves de, Pereira, Walter Esfrain","Acta Scientiarum. Agronomy; 37(1); 93-100","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100093&lang=pt" 
"S1807-86212015000100069-scl","Effects of the hydrogen potential and fungicide treatment on Pitaya seed germination","Ortiz, Thiago Alberto, Moritz, Aline, Oliveira, Mariana Alves de, Takahashi, Lúcia Sadayo Assari","Acta Scientiarum. Agronomy; 37(1); 69-74","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100069&lang=pt" 
"S0301-70362015000100010-mex","La economía india desde su independencia: Perturbación colonial persistente","Rello, Fernando","Problemas del desarrollo; 46(180); 178-180","Problemas del desarrollo","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000100010&lang=pt" 
"S0301-70362015000100013-mex","Crisis civilizatoria y superación del capitalismo","Acebey, Franco","Problemas del desarrollo; 46(180); 187-189","Problemas del desarrollo","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000100013&lang=pt" 
"S1807-86212015000100085-scl","Morphological and chemical characteristics of onion plants (Allium cepa L.) associated with resistance to onion thrips","Silva, Vitor Cezar Pacheco da, Bettoni, Marcelle Michelloti, Bona, Cleusa, Foerster, Luís Amilton","Acta Scientiarum. Agronomy; 37(1); 85-92","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100085&lang=pt" 
"S1809-68912015000100054-scl","RECEITA INDUSTRIAL DE CORTES SECUNDÁRIOS DA CARCAÇA DE BOVINOS MESTIÇOS LEITEIROS, NÃO CASTRADOS OU SUBMETIDOS A DIFERENTES FORMAS DE CASTRAÇÃO","Vaz, Fabiano Nunes, Restle, João, Pádua, João Teodoro, Morales, Danielle Curado de Santana, Pacheco, Paulo Santana, Prado, Cristiano Sales","Ciência Animal Brasileira; 16(1); 54-67","Ciência Animal Brasileira","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912015000100054&lang=pt" 
"S1809-68912015000100014-scl","APRENDIZAGEM DA EXTENSÃO DA PROBÓSCIDE EM ZANGÕES AFRICANIZADOS (Apis mellifera L.) CONFINADOS","Aquino, Italo de Souza, Silva, Maurizete Cruz, Barbosa, Alex da Silva, Abramson, Charles Ira","Ciência Animal Brasileira; 16(1); 14-23","Ciência Animal Brasileira","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912015000100014&lang=pt" 
"S1809-68912015000100133-scl","ENFERMIDADES DIAGNOSTICADAS NA GENITÁLIA EXTERNA DE TOUROS: ESTUDO RETROSPECTIVO (2007– 2013)","Rabelo, Rogério Elias, Silva, Luiz Antônio Franco da, Vulcani, Valcinir Aloísio Scalla, Sant&#039;Ana, Fabiano José Ferreira de, Assis, Bruno Moraes, Rabbers, Andressa Sabine","Ciência Animal Brasileira; 16(1); 133-143","Ciência Animal Brasileira","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912015000100133&lang=pt" 
"S1809-68912015000100037-scl","REPLACEMENT OF CHOLINE CHLORIDE BY A VEGETAL SOURCE OF CHOLINE IN DIETS FOR BROILERS","Calderano, Arele Arlindo, Nunes, Ricardo Vianna, Rodrigueiro, Ramalho José Barbosa, César, Ricardo Andrade","Ciência Animal Brasileira; 16(1); 37-44","Ciência Animal Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912015000100037&lang=pt" 
"S1809-68912015000100024-scl","REPRODUCTIVE AND METABOLIC RESPONSES IN EWES TO DIETARY PROTEIN SUPPLEMENT DURING MATING PERIOD IN DRY SEASON OF NORTHEAST BRAZIL","Rodrigues, Magda, Silva, Liliane Moreira, Silva, Cleidson Manoel Gomes da, Araújo, Airton Alencar, Nunes-Pinheiro, Diana Célia Sousa, Rondina, Davide","Ciência Animal Brasileira; 16(1); 24-36","Ciência Animal Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912015000100024&lang=pt" 
"S1809-68912015000100093-scl","USO DE ÓLEOS ESSENCIAIS NO CONTROLE DOS SINAIS CLÍNICOS DAS DIARREIAS NEONATAIS EM LEITÕES NASCIDOS DE FÊMEAS COM DIFERENTES ORDENS DE PARTO","Rossi, Carlos Augusto, Soares, Marcelo, Luchese, Franciele Camila, Santurio, Janio Morais","Ciência Animal Brasileira; 16(1); 93-102","Ciência Animal Brasileira","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912015000100093&lang=pt" 
"S1807-86212015000100101-scl","The effects of storage temperature on the quality and phenolic metabolism of whole and minimally processed kale leaves","Simões, Adriano do Nascimento, Moreira, Silvino Intra, Mosquim, Paulo Roberto, Soares, Nilda de Fátima Ferreira, Puschmann, Rolf","Acta Scientiarum. Agronomy; 37(1); 101-107","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100101&lang=pt" 
"S1807-86212015000100109-scl","Adsorption of P and forms of iron in no-tillage areas in the &#039;Cerrado&#039; biome","Guareschi, Roni Fernandes, Pereira, Marcos Gervasio, Perin, Adriano","Acta Scientiarum. Agronomy; 37(1); 109-116","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100109&lang=pt" 
"S1807-86212015000100045-scl","The behavior of maize hybrids generated from contrasting progenies regarding the use of nitrogen","Guedes, Fernando Lisboa, Junior, Edivaldo José Ferreira, Castro, Carlos Eduardo Caixeta de, Pereira, Carlos Henrique, Prado, Paulo Eduardo Rodrigues, Souza, João Cândido de","Acta Scientiarum. Agronomy; 37(1); 45-50","Acta Scientiarum. Agronomy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212015000100045&lang=pt" 
"S1809-68912015000100081-scl","VALIDAÇÃO DE TÉCNICA HEMOSTÁTICA DO COMPLEXO ARTERIOVENOSO OVARIANO NA OVARIOSALPINGOHISTERECTOMIA DE GATAS","Silveira, Camila Pinho Balthazar da, Araújo, Marília Silva Carneiro, Horr, Mônica, Alencar, Elane Arrais Machado, Rigaud, Roberta, Oriá, Arianne Pontes, Martins Filho, Emanoel Ferreira, Costa Neto, João Moreira","Ciência Animal Brasileira; 16(1); 81-92","Ciência Animal Brasileira","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912015000100081&lang=pt" 
"S2174-51452015000100006-esp","Valoración nutricional, evaluación de la composición corporal y su relación con el rendimiento deportivo en un equipo de fútbol femenino","González-Neira, María, San Mauro-Martín, Ismael, García-Angulo, Belén, Fajardo, Diana, Garicano-Vilar, Elena","Revista Española de Nutrición Humana y Dietética; 19(1); 36-48","Revista Española de Nutrición Humana y Dietética","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2174-51452015000100006&lang=pt" 
"S0864-34662015000100015-spa","Primer caso de meningitis por Streptococcus equi subsp. zooepidemicus en Cuba","Toraño Peraza, Gilda, Arias Portales, Itciar, Castillo Marshall, Ariadna, Brossard Alejo, Gardenia","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662015000100015&lang=pt" 
"S0048-77322015000100005-ven","Función sexual en pacientes histerectomizadas","Faría, Francymar, Ferrarotto, Marianell, González Blanco, Mireya","Revista de Obstetricia y Ginecología de Venezuela; 75(1); 030-040","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322015000100005&lang=pt" 
"S0048-77322015000100003-ven","Complicaciones feto-neonatales del embarazo múltiple. Análisis embriológico","Romero-Fasolino, Milagros, Hernández-Rodríguez, María Luisa, Fasolino, Andrés, Hernández, María, Maturana, Daniela","Revista de Obstetricia y Ginecología de Venezuela; 75(1); 013-024","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322015000100003&lang=pt" 
"S0048-77322015000100002-ven","Prueba de estimulación vibro acústica fetal: comparación de dos técnicas","Faneite, Josmery, Faneite, Pedro, González de Chirivella, Xiomara","Revista de Obstetricia y Ginecología de Venezuela; 75(1); 005-012","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322015000100002&lang=pt" 
"S0048-77322015000100006-ven","Tumores metastásicos al ovario. Estudio clínicomorfológico","Jiménez, Libia, Goméz, Miriam, García de Barriola, Victoria","Revista de Obstetricia y Ginecología de Venezuela; 75(1); 041-048","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322015000100006&lang=pt" 
"S0048-77322015000100004-ven","Posible transmisión vertical de virus de papiloma humano en niños cuyas madres presentan antecedentes de infección viral","De Guglielmo, Zoraya, Prado, Yrneh, Ferreiro, Marycarmen, Ávila, Maira, Veitía, Dayahíndara, Ladera, Marla, Fernandes, Andreína, Correnti, María","Revista de Obstetricia y Ginecología de Venezuela; 75(1); 025-029","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322015000100004&lang=pt" 
"S1415-790X2015000100278-spa","Saúde bucal nas Coortes do Estudo SABE (Saúde, Bem-Estar e Envelhecimento) em São Paulo","Lebrão, Maria Lúcia, Duarte, Yeda Aparecida de Oliveira, Teixeira, Doralice, Andrade, Fabíola Bof de","Revista Brasileira de Epidemiologia; 18(1); 278-282","Revista Brasileira de Epidemiologia","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000100278&lang=pt" 
"S1415-790X2015000100283-scl","Chikungunya no Brasil: um desafio emergente","Donalisio, Maria Rita, Freitas, André Ricardo Ribas","Revista Brasileira de Epidemiologia; 18(1); 283-285","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100283&lang=pt" 
"S1415-790X2015000100283-spa","Chikungunya no Brasil: um desafio emergente","Donalisio, Maria Rita, Freitas, André Ricardo Ribas","Revista Brasileira de Epidemiologia; 18(1); 283-285","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000100283&lang=pt" 
"S1415-790X2015000100149-scl","Triagem sorológica para doença celíaca em adolescentes","Conceição-Machado, Maria Ester Pereira da, Santana, Mônica Leila Portela, Silva, Rita de Cássia Ribeiro, Silva, Luciana Rodrigues, Pinto, Elizabete Jesus, Couto, Ricardo David, Moraes, Lia Terezinha Lana Pimenta, Assis, Ana Marlúcia Oliveira","Revista Brasileira de Epidemiologia; 18(1); 149-156","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100149&lang=pt" 
"S1415-790X2015000100149-spa","Triagem sorológica para doença celíaca em adolescentes","Conceição-Machado, Maria Ester Pereira da, Santana, Mônica Leila Portela, Silva, Rita de Cássia Ribeiro, Silva, Luciana Rodrigues, Pinto, Elizabete Jesus, Couto, Ricardo David, Moraes, Lia Terezinha Lana Pimenta, Assis, Ana Marlúcia Oliveira","Revista Brasileira de Epidemiologia; 18(1); 149-156","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000100149&lang=pt" 
"S1415-790X2015000100999-scl","ERRATA","","Revista Brasileira de Epidemiologia; 18(1); 999-999","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100999&lang=pt" 
"S1415-790X2015000100999-spa","ERRATA","","Revista Brasileira de Epidemiologia; 18(1); 999-999","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000100999&lang=pt" 
"S1415-790X2015000100278-scl","Saúde bucal nas Coortes do Estudo SABE (Saúde, Bem-Estar e Envelhecimento) em São Paulo","Lebrão, Maria Lúcia, Duarte, Yeda Aparecida de Oliveira, Teixeira, Doralice, Andrade, Fabíola Bof de","Revista Brasileira de Epidemiologia; 18(1); 278-282","Revista Brasileira de Epidemiologia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100278&lang=pt" 
"S1415-790X2015000100234-scl","Prevalência de dor crônica e sua associação com a situação sociodemográfica e atividade física no lazer em idosos de Florianópolis, Santa Catarina: estudo de base populacional","Santos, Franco Andrius Ache dos, Souza, Juliana Barcellos de, Antes, Danielle Ledur, d&#039;Orsi, Eleonora","Revista Brasileira de Epidemiologia; 18(1); 234-247","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100234&lang=pt" 
"S1415-790X2015000100123-scl","Avaliação da completitude das notificações compulsórias relacionadas ao trabalho registradas por município polo industrial no Brasil, 2007 - 2011","Alvares, Juliane Kate, Pinheiro, Tarcísio Márcio Magalhães, Santos, Alaneir de Fátima, Oliveira, Graziella Lage","Revista Brasileira de Epidemiologia; 18(1); 123-136","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100123&lang=pt" 
"S1415-790X2015000100208-scl","Fatores associados à prática do aleitamento materno exclusivo por pelo menos seis meses no estado de Pernambuco","Cavalcanti, Sandra Hipólito, Caminha, Maria de Fátima Costa, Figueiroa, José Natal, Serva, Vilneide Maria Santos Braga Diegues, Cruz, Rachel de Sá Barreto Luna Callou, Lira, Pedro Israel Cabral de, Batista Filho, Malaquias","Revista Brasileira de Epidemiologia; 18(1); 208-219","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100208&lang=pt" 
"S1415-790X2015000100001-scl","Sintomas depressivos em idosos residentes em áreas de abrangência das Unidades Básicas de Saúde da zona urbana de Bagé, RS","Bretanha, Andréia Ferreira, Facchini, Luiz Augusto, Nunes, Bruno Pereira, Munhoz, Tiago N., Tomasi, Elaine, Thumé, Elaine","Revista Brasileira de Epidemiologia; 18(1); 1-12","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100001&lang=pt" 
"S1415-790X2015000100108-scl","Acidentes de trânsito em Belo Horizonte: o que revelam três diferentes fontes de informações, 2008 a 2010","Paixão, Lúcia Maria Miana Mattos, Gontijo, Eliane Dias, Drumond, Eliane de Freitas, Friche, Amélia Augusta de Lima, Caiaffa, Waleska Teixeira","Revista Brasileira de Epidemiologia; 18(1); 108-122","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100108&lang=pt" 
"S1415-790X2015000100174-scl","Primaquina y recurrencias de malaria por Plasmodium vivax. Metanálisis de estudios clínicos controlados","Carmona Fonseca, Jaime","Revista Brasileira de Epidemiologia; 18(1); 174-193","Revista Brasileira de Epidemiologia","Inglês, Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100174&lang=pt" 
"S1415-790X2015000100013-scl","Padrão de consumo de álcool e fatores associados entre adolescentes estudantes de escolas públicas em município do interior brasileiro","Reis, Tatiana Gonçalves dos, Oliveira, Luiz Carlos Marques de","Revista Brasileira de Epidemiologia; 18(1); 13-24","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100013&lang=pt" 
"S1415-790X2015000100157-scl","O efeito independente da obesidade central sobre a hipertensão arterial em adultos residentes em Ribeirão Preto, SP, 2007. Projeto EPIDCV","Moraes, Suzana Alves de, Checchio, Michele Vantini, Freitas, Isabel Cristina Martins de","Revista Brasileira de Epidemiologia; 18(1); 157-173","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100157&lang=pt" 
"S1415-790X2015000100025-scl","Início da vida sexual entre adolescentes (10 a 14 anos) e comportamentos em saúde","Gonçalves, Helen, Machado, Eduardo Coelho, Soares, Ana Luiza Gonçalves, Camargo-Figuera, Fabio Alberto, Seerig, Lenise Menezes, Mesenburg, Marília Arndt, Guttier, Marília Cruz, Barcelos, Raquel Siqueira, Buffarini, Romina, Assunção, Maria Cecília Formoso, Hallal, Pedro Curi, Menezes, Ana Maria Baptista","Revista Brasileira de Epidemiologia; 18(1); 25-41","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100025&lang=pt" 
"S1415-790X2015000100194-scl","Sinovite e tenossinovite no Brasil: uma análise dos benefícios auxílio-doença","Andrade, Dilma Maria de, Barbosa-Branco, Anadergh","Revista Brasileira de Epidemiologia; 18(1); 194-207","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100194&lang=pt" 
"S1415-790X2015000100042-scl","Distúrbios do sono em adultos de uma cidade do Estado de São Paulo","Zanuto, Everton Alex Carvalho, Lima, Manoel Carlos Spiguel de, Araújo, Rafael Gavassa de, Silva, Eduardo Pereira da, Anzolin, Caroline Cristina, Araujo, Monique Yndawe Castanho, Codogno, Jamile Sanches, Christofaro, Diego Giulliano Destro, Fernandes, Rômulo Araújo","Revista Brasileira de Epidemiologia; 18(1); 42-53","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100042&lang=pt" 
"S1415-790X2015000100054-scl","Funcionamento Diferencial do Item no Inventário de Depressão Beck","Castro, Stela Maris de Jezus, Cúri, Mariana, Torman, Vanessa Bielefeldt Leotti, Riboldi, João","Revista Brasileira de Epidemiologia; 18(1); 54-67","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100054&lang=pt" 
"S1415-790X2015000100262-scl","Absenteísmo-doença no serviço público municipal de Goiânia","Leão, Ana Lúcia de Melo, Barbosa-Branco, Anadergh, Rassi Neto, Elias, Ribeiro, Cristina Aparecida Neves, Turchi, Marília Dalva","Revista Brasileira de Epidemiologia; 18(1); 262-277","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100262&lang=pt" 
"S1415-790X2015000100068-scl","Síndrome de burnout em técnicos de enfermagem de um hospital público do Estado de São Paulo","Ferreira, Naiza do Nascimento, Lucca, Sergio Roberto de","Revista Brasileira de Epidemiologia; 18(1); 68-79","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100068&lang=pt" 
"S1415-790X2015000100080-scl","Notificação da violência infanto-juvenil em Serviços de Emergência do Sistema Único de Saúde em Feira de Santana, Bahia, Brasil","Souza, Camila dos Santos, Costa, Maria Conceição Oliveira, Carvalho, Rosely Cabral de, Araújo, Tânia Maria de, Amaral, Magali Teresópolis Reis","Revista Brasileira de Epidemiologia; 18(1); 80-93","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100080&lang=pt" 
"S1415-790X2015000100094-scl","Preenchimento da notificação compulsória em serviços de saúde que atendem mulheres que sofrem violência sexual","Sousa, Maria Helena de, Bento, Silvana Ferreira, Osis, Maria José Duarte, Ribeiro, Meire de Paula, Faúndes, Anibal","Revista Brasileira de Epidemiologia; 18(1); 94-107","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100094&lang=pt" 
"S1415-790X2015000100248-scl","Redução das desigualdades no uso de consultas médicas no Brasil: análise das regiões Nordeste e Sudeste entre 2003 e 2008","Silva, Paulo Sérgio Cardoso da, Boing, Antonio Fernando, Peres, Karen Glazer","Revista Brasileira de Epidemiologia; 18(1); 248-261","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100248&lang=pt" 
"S1415-790X2015000100220-scl","Associação entre resiliência e qualidade de vida relacionada à saúde bucal em idosos","Teixeira, Maurício Fernando Nunes, Martins, Aline Blaya, Celeste, Roger Keller, Hugo, Fernando Neves, Hilgert, Juliana Balbinot","Revista Brasileira de Epidemiologia; 18(1); 220-233","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100220&lang=pt" 
"S1415-790X2015000100137-scl","Uso de medidas autorreferidas de peso, altura e índice de massa corporal em uma população rural do nordeste brasileiro","Martins, Poliana Cardoso, Carvalho, Maria Bernadete de, Machado, Carla Jorge","Revista Brasileira de Epidemiologia; 18(1); 137-148","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000100137&lang=pt" 
"S1415-790X2015000100157-spa","O efeito independente da obesidade central sobre a hipertensão arterial em adultos residentes em Ribeirão Preto, SP, 2007. Projeto EPIDCV","Moraes, Suzana Alves de, Checchio, Michele Vantini, Freitas, Isabel Cristina Martins de","Revista Brasileira de Epidemiologia; 18(1); 157-173","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000100157&lang=pt" 
"S1415-790X2015000100174-spa","Primaquina y recurrencias de malaria por Plasmodium vivax. Metanálisis de estudios clínicos controlados","Carmona Fonseca, Jaime","Revista Brasileira de Epidemiologia; 18(1); 174-193","Revista Brasileira de Epidemiologia","Inglês, Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000100174&lang=pt" 
"S1415-790X2015000100194-spa","Sinovite e tenossinovite no Brasil: uma análise dos benefícios auxílio-doença","Andrade, Dilma Maria de, Barbosa-Branco, Anadergh","Revista Brasileira de Epidemiologia; 18(1); 194-207","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000100194&lang=pt" 
"S1415-790X2015000100208-spa","Fatores associados à prática do aleitamento materno exclusivo por pelo menos seis meses no estado de Pernambuco","Cavalcanti, Sandra Hipólito, Caminha, Maria de Fátima Costa, Figueiroa, José Natal, Serva, Vilneide Maria Santos Braga Diegues, Cruz, Rachel de Sá Barreto Luna Callou, Lira, Pedro Israel Cabral de, Batista Filho, Malaquias","Revista Brasileira de Epidemiologia; 18(1); 208-219","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000100208&lang=pt" 
"S1415-790X2015000100220-spa","Associação entre resiliência e qualidade de vida relacionada à saúde bucal em idosos","Teixeira, Maurício Fernando Nunes, Martins, Aline Blaya, Celeste, Roger Keller, Hugo, Fernando Neves, Hilgert, Juliana Balbinot","Revista Brasileira de Epidemiologia; 18(1); 220-233","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000100220&lang=pt" 
"S1415-790X2015000100234-spa","Prevalência de dor crônica e sua associação com a situação sociodemográfica e atividade física no lazer em idosos de Florianópolis, Santa Catarina: estudo de base populacional","Santos, Franco Andrius Ache dos, Souza, Juliana Barcellos de, Antes, Danielle Ledur, d&#039;Orsi, Eleonora","Revista Brasileira de Epidemiologia; 18(1); 234-247","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000100234&lang=pt" 
"S1415-790X2015000100248-spa","Redução das desigualdades no uso de consultas médicas no Brasil: análise das regiões Nordeste e Sudeste entre 2003 e 2008","Silva, Paulo Sérgio Cardoso da, Boing, Antonio Fernando, Peres, Karen Glazer","Revista Brasileira de Epidemiologia; 18(1); 248-261","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000100248&lang=pt" 
"S1415-790X2015000100262-spa","Absenteísmo-doença no serviço público municipal de Goiânia","Leão, Ana Lúcia de Melo, Barbosa-Branco, Anadergh, Rassi Neto, Elias, Ribeiro, Cristina Aparecida Neves, Turchi, Marília Dalva","Revista Brasileira de Epidemiologia; 18(1); 262-277","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000100262&lang=pt" 
"S1415-47142015000100011-scl","La figura de Pichon-Rivière y la condición latinoamericana","Gonzáles, Horácio","Revista Latinoamericana de Psicopatologia Fundamental; 18(1); 11-16","Revista Latinoamericana de Psicopatologia Fundamental","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142015000100011&lang=pt" 
"S1415-47142015000100167-scl","Um psicanalista em seu tempo","Silva Junior, Nelson da","Revista Latinoamericana de Psicopatologia Fundamental; 18(1); 167-169","Revista Latinoamericana de Psicopatologia Fundamental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142015000100167&lang=pt" 
"S1415-47142015000100074-scl","A mulher: um sintoma para o homem?","Ribeiro, Maria Anita Carneiro, Lamarca, Danielle Belo, Fonseca, Martha Ribeiro da, Junqueira, Laura Monteiro","Revista Latinoamericana de Psicopatologia Fundamental; 18(1); 74-87","Revista Latinoamericana de Psicopatologia Fundamental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142015000100074&lang=pt" 
"S1415-47142015000100170-scl","Os mundos da psiquiatria","Moreira, Ana Lúcia","Revista Latinoamericana de Psicopatologia Fundamental; 18(1); 170-172","Revista Latinoamericana de Psicopatologia Fundamental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142015000100170&lang=pt" 
"S1415-47142015000100017-scl","Que saúde esperar ao final de uma análise?","Santos, Tania Coelho dos","Revista Latinoamericana de Psicopatologia Fundamental; 18(1); 17-32","Revista Latinoamericana de Psicopatologia Fundamental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142015000100017&lang=pt" 
