"S0719-26812015000300010-chl","LOS TEXTOS ESCOLARES EN CONFLICTO CON LA SUBALTERNIDAD: LA GUERRA DEL PACÍFICO EN LAS AULAS","Chaupis Torres, José","Diálogo andino; (48); 99-108","Diálogo andino","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812015000300010&lang=pt" 
"S1646-107X2015000300011-prt","The agreement between physical activity time reported by the IPAQ and accelerometer in postmenopausal women","Rosa, Clara Suemi Costa, Rossi, Fabrício Eduardo, Buonani, Camila, Fernandes, Rômulo Araújo, Monteiro, Henrique Luiz, Junior, Ismael Forte Freitas","Motricidade; 11(3); 106-113","Motricidade","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300011&lang=pt" 
"S0123-12942015000300003-col","Dificultades laborales de profesores en escuelas secundarias","Flores, Fernando Agustín","Educación y Educadores; 18(3); 411-431","Educación y Educadores","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942015000300003&lang=pt" 
"S0718-090X2015000200003-chl","Elites políticas y trayectorias políticas militantes: El espacio sociopolítico de la izquierda chilena","CUEVAS VALENZUELA, HERNÁN","Revista de ciencia política (Santiago); 35(2); 299-325","Revista de ciencia política (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-090X2015000200003&lang=pt" 
"S0718-090X2015000200005-chl","Justicia postransicional en Guatemala: El rol de los jueces en la protección de derechos humanos","GUTIÉRREZ, MARTHA LILIANA","Revista de ciencia política (Santiago); 35(2); 347-370","Revista de ciencia política (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-090X2015000200005&lang=pt" 
"S0718-090X2015000200001-chl","Incumbency Advantage and Tenure Length in the Chilean Chamber of Deputies, 1989-2009","BUNKER, KENNETH, NAVIA, PATRICIO","Revista de ciencia política (Santiago); 35(2); 251-271","Revista de ciencia política (Santiago)","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-090X2015000200001&lang=pt" 
"S0718-090X2015000200002-chl","Elecciones primarias y personalización de la política: El caso de las elecciones locales en Chile 2012","CANTILLANA PEÑA, CARLOS, CONTRERAS AGUIRRE, GONZALO, MORALES QUIROGA, MAURICIO","Revista de ciencia política (Santiago); 35(2); 273-298","Revista de ciencia política (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-090X2015000200002&lang=pt" 
"S1646-107X2015000300015-prt","Velocidade crítica em natação: uma revisão da literatura","Costa, Aldo Matos da, Costa, Mário Jorge, Marinho, Daniel Almeida","Motricidade; 11(3); 158-170","Motricidade","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300015&lang=pt" 
"S1646-107X2015000300006-prt","Relação entre atividade física e desportiva, níveis de IMC, perceções de sucesso e rendimento escolar","Bastos, Fernando, Reis, Victor Machado, Aranha, Ágata Cristina, Garrido, Nuno Domingos","Motricidade; 11(3); 41-58","Motricidade","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2015000300006&lang=pt" 
"S0102-311X2015001001975-spa","Mortalidad por cáncer pulmonar en Chile: tendencia y proyección a seis años con modelos lineales dinámicos bayesianos","Torres-Avilés, Francisco, Moraga, Tomás, Núñez, Loreto, Icaza, Gloria","Cadernos de Saúde Pública; 31(9); 1975-1982","Cadernos de Saúde Pública","Inglês, Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001001975&lang=pt" 
"S0102-311X2015000902027-scl","¿Por qué los grupos relacionados de diagnóstico no se implementan en Colombia?","Gorbanev, Iouri, Cortés, Ariel, Agudelo, Sandra, Yepes, Francisco J.","Cadernos de Saúde Pública; 31(9); 2027-2031","Cadernos de Saúde Pública","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015000902027&lang=pt" 
"S0102-311X2015000901807-scl","The 21st Century Cures Act: can the regulatory framework survive the “cures”?","Osorio-de-Castro, Claudia Garcia Serpa, Caetano, Rosângela, Pepe, Vera Lúcia Edais","Cadernos de Saúde Pública; 31(9); 1807-1810","Cadernos de Saúde Pública","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015000901807&lang=pt" 
"S0102-311X2015001001964-spa","A criança com tuberculose: situações e interações no contexto da saúde da família","Machado, Danielle de Carvalho, Moreira, Martha Cristina Nunes, Sant&#039;Anna, Clemax Couto","Cadernos de Saúde Pública; 31(9); 1964-1974","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001001964&lang=pt" 
"S0123-12942015000300001-col","Sentidos de vida de los universitarios","Cadavid-Claussen, María Victoria, Díaz-Soto, Víctor Manuel","Educación y Educadores; 18(3); 371-390","Educación y Educadores","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942015000300001&lang=pt" 
"S0102-311X2015001001805-spa","Roda viva","Travassos, Claudia","Cadernos de Saúde Pública; 31(9); 1805-1806","Cadernos de Saúde Pública","Inglês, Português, Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001001805&lang=pt" 
"S2237-96222015000300399-spa","Uso de álcool, tabaco e outras drogas por adolescentes escolares de Porto Velho-RO, Brasil","Elicker, Eliane, Palazzo, Lílian dos Santos, Aerts, Denise Rangel Ganzo de Castro, Alves, Gehysa Guimarães, Câmara, Sheila","Epidemiologia e Serviços de Saúde; 24(3); 399-410","Epidemiologia e Serviços de Saúde","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300399&lang=pt" 
"S1415-790X2015000500169-spa","Strategies to prevent HIV transmission to serodiscordant couples","Hallal, Ronaldo Campos, Raxach, Juan Carlos, Barcellos, Nêmora Tregnago, Maksud, Ivia","Revista Brasileira de Epidemiologia; 18(); 169-182","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000500169&lang=pt" 
"S2237-96222015000300453-spa","Anemia e nível de hemoglobina em gestantes de Cuiabá, Mato Grosso, Brasil, antes e após a fortificação compulsória de farinhas com ferro e ácido fólico, 2003-2006","Sato, Ana Paula Sayuri, Porto, Edirene, Brunken, Gisela Soares, Fujimori, Elizabeth, Leone, Cláudio, Szarfarc, Sophia Cornbluth","Epidemiologia e Serviços de Saúde; 24(3); 453-464","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300453&lang=pt" 
"S1415-790X2015000500131-spa","Prevention of the heterosexual HIV infection among women: Is it possible to think about strategies without considering their reproductive demands?","Villela, Wilza Vieira, Barbosa, Regina Maria","Revista Brasileira de Epidemiologia; 18(); 131-142","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000500131&lang=pt" 
"S1415-790X2015000500089-spa","Sex, human rights and AIDS: an analysis of new technologies for HIV prevention in the Brazilian context","Ferraz, Dulce, Paiva, Vera","Revista Brasileira de Epidemiologia; 18(); 89-103","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000500089&lang=pt" 
"S2237-96222015000300531-spa","Gênero, estigma e saúde: reflexões a partir da prostituição, do aborto e do HIV/aids entre mulheres","Villela, Wilza Vieira, Monteiro, Simone","Epidemiologia e Serviços de Saúde; 24(3); 531-540","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300531&lang=pt" 
"S2237-96222015000300353-spa","Experiências de discriminação relacionadas aos serviços de saúde: análise exploratória em duas capitais do Sul do Brasil","Baumgarten, Alexandre, Peron, Tamara Barcellos, Bastos, João Luiz, Toassi, Ramona Fernanda Ceriotti, Hilgert, Juliana Balbinot, Hugo, Fernando Neves, Celeste, Roger Keller","Epidemiologia e Serviços de Saúde; 24(3); 353-362","Epidemiologia e Serviços de Saúde","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300353&lang=pt" 
"S1415-790X2015000500026-spa","What is the benefit of the biomedical and behavioral interventions in preventing HIV transmission?","Kuchenbecker, Ricardo","Revista Brasileira de Epidemiologia; 18(); 26-42","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000500026&lang=pt" 
"S2237-96222015000300441-spa","Síndrome hipertensiva da gravidez e diabetes mellitus gestacional em uma maternidade pública de uma capital do Nordeste brasileiro, 2013: prevalência e fatores associados","Oliveira, Alane Cabral Menezes de, Graciliano, Nayara Gomes","Epidemiologia e Serviços de Saúde; 24(3); 441-451","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300441&lang=pt" 
"S1415-790X2015000500120-spa","Critical remarks on strategies aiming to reduce drug related harm: substance misuse and HIV/AIDS in a world in turmoil","Bastos, Francisco Inácio, Veloso Filho, Carlos Linhares","Revista Brasileira de Epidemiologia; 18(); 120-130","Revista Brasileira de Epidemiologia","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000500120&lang=pt" 
"S1415-790X2015000500007-spa","The Peer and Non-peer: the potential of risk management for HIV prevention in contexts of prostitution","Leite, Gabriela Silva, Murray, Laura, Lenz, Flavio","Revista Brasileira de Epidemiologia; 18(); 7-25","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000500007&lang=pt" 
"S2237-96222015000300465-spa","Práticas alimentares e fatores associados à introdução precoce da alimentação complementar entre crianças menores de seis meses na região noroeste de Goiânia","Schincaglia, Raquel Machado, Oliveira, Amanda Cristine de, Sousa, Lucilene Maria de, Martins, Karine Anusca","Epidemiologia e Serviços de Saúde; 24(3); 465-474","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300465&lang=pt" 
"S2237-96222015000300389-spa","Tendências da morbidade hospitalar por doenças crônicas não transmissíveis no Brasil, 2002 a 2012","Santos, Maria Aline Siqueira, Oliveira, Max Moura de, Andrade, Silvânia Suely Caribé de Araújo, Nunes, Marília Lavocat, Malta, Deborah Carvalho, Moura, Lenildo de","Epidemiologia e Serviços de Saúde; 24(3); 389-398","Epidemiologia e Serviços de Saúde","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300389&lang=pt" 
"S2237-96222015000300485-spa","Avaliação das atividades de controle da leishmaniose visceral em Belo Horizonte, Minas Gerais, 2006-2011","Morais, Maria Helena Franco, Fiuza, Vanessa de Oliveira Pires, Araújo, Valdelaine Etelvina Miranda de, Menezes, Fernanda Carvalho de, Carneiro, Mariângela","Epidemiologia e Serviços de Saúde; 24(3); 485-496","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300485&lang=pt" 
"S2237-96222015000300363-spa","A dimensão ético-estético-política da Humanização do SUS: estudo avaliativo da formação de apoiadores de Santa Catarina (2012-2014)","Verdi, Marta, Finkler, Mirelle, Matias, Maria Claudia Souza","Epidemiologia e Serviços de Saúde; 24(3); 363-372","Epidemiologia e Serviços de Saúde","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300363&lang=pt" 
"S1415-790X2015000500005-spa","Global targets, local epidemics: the ultimate challenge for AIDS in Brazil?","Kuchenbecker, Ricardo, Grangeiro, Alexandre, Veras, Maria Amélia","Revista Brasileira de Epidemiologia; 18(); 5-6","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000500005&lang=pt" 
"S2237-96222015000300373-spa","Prevalência de fatores de risco e proteção para doenças crônicas não transmissíveis em adultos residentes em capitais brasileiras, 2013","Malta, Deborah Carvalho, Campos, Maryane Oliveira, Oliveira, Max Moura de, Iser, Betine Pinto Moehlecke, Bernal, Regina Tomie Ivata, Claro, Rafael Moreira, Monteiro, Carlos Augusto, Silva Jr., Jarbas Barbosa da, Reis, Ademar Arthur Chioro dos","Epidemiologia e Serviços de Saúde; 24(3); 373-387","Epidemiologia e Serviços de Saúde","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300373&lang=pt" 
"S1415-790X2015000500143-spa","The invisibility of heterosexuality in HIV/AIDS prevention for men","Leal, Andréa Fachel, Knauth, Daniela Riva, Couto, Márcia Thereza","Revista Brasileira de Epidemiologia; 18(); 143-155","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000500143&lang=pt" 
"S2237-96222015000300565-spa","Uso da análise de séries temporais em estudos epidemiológicos","Antunes, José Leopoldo Ferreira, Cardoso, Maria Regina Alves","Epidemiologia e Serviços de Saúde; 24(3); 565-576","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300565&lang=pt" 
"S2237-96222015000300545-spa","Comparação das práticas odontológicas segundo modelos de atendimento: tradicional e da Saúde da Família, Pelotas-RS, 2012-2013","Thurow, Leandro Leitzke, Castilhos, Eduardo Dickie de, Costa, Juvenal Soares Dias da","Epidemiologia e Serviços de Saúde; 24(3); 545-550","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300545&lang=pt" 
"S0719-37692015000300009-chl","Historia de dos demandas: Perú y Bolivia contra Chile, José Rodríguez Elizondo","Irigoin Barrenne, Jeannette","Estudios internacionales (Santiago); 47(182); 159-165","Estudios internacionales (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-37692015000300009&lang=pt" 
"S2237-96222015000300577-spa","Recomendações para elaboração, redação, edição e publicação de trabalhos acadêmicos em periódicos médicos","Duarte, Eliane de Fátima, Pansani, Thaís de Souza Andrade","Epidemiologia e Serviços de Saúde; 24(3); 577-601","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300577&lang=pt" 
"S1415-790X2015000500063-spa","Revisiting the use of condoms in Brazil","Dourado, Inês, MacCarthy, Sarah, Reddy, Manasa, Calazans, Gabriela, Gruskin, Sofia","Revista Brasileira de Epidemiologia; 18(); 63-88","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000500063&lang=pt" 
"S1415-790X2015000500043-spa","The effect of prevention methods on reducing sexual risk for HIV and their potential impact on a large-scale: a literature review","Grangeiro, Alexandre, Ferraz, Dulce, Calazans, Gabriela, Zucchi, Eliana Miura, Díaz-Bermúdez, Ximena Pamela","Revista Brasileira de Epidemiologia; 18(); 43-62","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000500043&lang=pt" 
"S0717-95022015000300042-chl","Osteometry and Morphology of the Human Fibula: A South African Study","Naidoo, N, Ishwarkumar, S, Lazarus, L, Pillay, P, Satyapal, K. S","International Journal of Morphology; 33(3); 1071-1077","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300042&lang=pt" 
"S0717-97072015000300008-chl","SYNTHESIS, CRYSTAL STRUCTURE, DFT AND ANTIBACTERIAL ACTIVITY STUDIES OF (E)-2-BENZYL-3-(FURAN-3-YL)-6,7-DIMETHOXY-4-(2-PHENYL-1H-INDEN-1-YLIDENE)-1,2,3,4-TETRAHYDROISOQUINOLINE","MURUGAVEL, S, MANIKANDAN, N, LAKSHMANAN, D, NAVEEN, KANAGARAJ, PERUMAL, PARAMASIVAN THIRUMALAI","Journal of the Chilean Chemical Society; 60(3); 3015-3020","Journal of the Chilean Chemical Society","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072015000300008&lang=pt" 
"S0717-97072015000300005-chl","SILICA SUPPORTED THALLIUM (III) NITRATE: AN EFFECTIVE OXIDANT FOR OXIDATION OF ALCOHOLS TO THE CARBONYL COMPOUNDS","MANESH, ABBAS AMINI, NAZARI, TAHEREH","Journal of the Chilean Chemical Society; 60(3); 3001-3004","Journal of the Chilean Chemical Society","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072015000300005&lang=pt" 
"S0717-97072015000300004-chl","SYNTHESIS, STRUCTURES, AND ANTIBACTERIAL ACTIVITIES OF 3-CHLORO-N&#039;-(2-HYDROXY-5-METHOXYBENZYLIDENE)BENZOHYDRAZIDE AND N&#039;-(2-HYDROXY-5-METHOXYBENZYLIDENE)-3-METHYLBENZOHYDRAZIDE","HU, XIAO-MING, XUE, LING-WEI, ZHAO, GAN-QING, YANG, WEI-CHUN","Journal of the Chilean Chemical Society; 60(3); 2997-3000","Journal of the Chilean Chemical Society","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072015000300004&lang=pt" 
"S0717-95022015000300020-chl","Effects of Ovarian Varicose Vein on Mitochondrial Structure, Malondialdehyde and Prooxidants: Antioxidants Balance in Rat Ovaries","Heydari, Leila, Mugahi, Seyed Mohamad Hossein Noori, Fazelipour, Simin, Koruji, Morteza, Alizadeh, Rafieh, izadpanah, Melika, Abbasi, Niloufar, Abbasi, Mehdi","International Journal of Morphology; 33(3); 930-935","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300020&lang=pt" 
"S0717-95022015000300021-chl","Los Músculos Extensores Radiales del Carpo y su Importancia Clínica: Una Revisión de la Literatura","del Sol, Mariano, Cerda, Aladino","International Journal of Morphology; 33(3); 936-941","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300021&lang=pt" 
"S0717-95022015000300024-chl","Propiedades Morfológicas en la Parte Media de la Díafisis del Hueso Metacarpiano III de Equino Mestizo Criollo","Moine, R, Galán, A, Vivas, A, Fioretti, C, Varela, M, Bonino, F, Quinteros, R, Natali, J","International Journal of Morphology; 33(3); 955-961","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300024&lang=pt" 
"S0717-95022015000300025-chl","The Effects of Progesterone on Hypoxic Ischemic Injuries in the Cornu Ammonis (CA) Region of the Hippocampus of Neonatal Rats","Khan, Aaijaz Ahmed, Ramli, Norhida Binti, Ismail, Zulizhar Mohd","International Journal of Morphology; 33(3); 962-970","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300025&lang=pt" 
"S0717-95022015000300026-chl","Variaciones del Canal Mandibular con Importancia Clínica: Reporte de Caso","Roa, Ignacio, Arriagada, Oscar","International Journal of Morphology; 33(3); 971-974","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300026&lang=pt" 
"S0717-95022015000300027-chl","Expression of MuRF1 and MAFbx in Donor and Recipient Muscles after Musculocutaneous Nerve Transection and Partial Pectoralis Major Muscle Transfer for Reconstruction of Elbow Flexion in Rats","Yang, Shengbo, Yue, Ning, Zeng, Xueqing","International Journal of Morphology; 33(3); 975-982","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300027&lang=pt" 
"S0717-95022015000300028-chl","Morphometric and Hormonal Study of the Effect of Utrica diocia Extract on Mammary Glands in Rats","Jalili, C, Salahshoor, M. R, Yousefi, D, Khazaei, M, Shabanizadeh Darehdori, A, Mokhtari, T","International Journal of Morphology; 33(3); 983-987","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300028&lang=pt" 
"S0717-95022015000300029-chl","Diferencias en la Composición Corporal y Somatotipo de Escolares de Etnia Mapuche y no Mapuche de la Comuna de Temuco - Chile","Bruneau-Chávez, José, España-Romero, Vanesa, Lang-Tapia, Morín, Chillón Garzón, Palma","International Journal of Morphology; 33(3); 988-995","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300029&lang=pt" 
"S0717-95022015000300037-chl","Mandibular Foramen Location and Lingula Height in Dentate Dry Mandibles, and its Relationship With Cephalic Index","Fernandes, Atson Carlos de Souza, Loureiro, Raquel Pimentel, Oliveira, Leonardo, de Moraes, Márcio","International Journal of Morphology; 33(3); 1038-1044","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300037&lang=pt" 
"S0717-95022015000300036-chl","Irrigación de la Glándula Tiroides en una Muestra de Población Colombiana","Quijano Blanco, Yobany, Luque Bernal, Ricardo Miguel","International Journal of Morphology; 33(3); 1032-1037","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300036&lang=pt" 
"S0717-95022015000300035-chl","Anatomía del Segmento Prehiliar de la Arteria Renal en Caninos","Salinas, Paulo, Schwerter, Rodolfo","International Journal of Morphology; 33(3); 1027-1031","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300035&lang=pt" 
"S0717-95022015000300033-chl","Phyllanthus emblica L. Branch Extract Ameliorates Testicular Damage in Valproic Acid-Induced Rats","Iamsaard, Sitthichai, Arun, Supatcharee, Burawat, Jaturon, Sukhorum, Wannisa, Boonruangsri, Porntip, Namking, Malivalaya, Uabundit, Nongnut, Nualkaew, Somsak, Sripanidkulchai, Bungorn","International Journal of Morphology; 33(3); 1016-1022","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300033&lang=pt" 
"S0717-95022015000300031-chl","Neurorrhaphy Techniques: Comparative Stereological and Experimental Axonal Study","Boer, Nagib Pezati, Batigalia, Fernando, Viterbo, Fausto, Faleiros, Humberto Regis de Paula, Ramos, Rogério Rodrigo, Simonato, Luciana Estevam, Boer, Luis Fernando Ricci","International Journal of Morphology; 33(3); 1002-1008","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300031&lang=pt" 
"S0717-95022015000300030-chl","Índices de Proporcionalidad y Composición Corporal de la Élite de Gimnasia Acrobática","Taboada-Iglesias, Yaiza, Gutiérrez-Sánchez, Águeda, Vernetta, Mercedes","International Journal of Morphology; 33(3); 996-1001","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300030&lang=pt" 
"S0717-95022015000300039-chl","Histological Validation of Morphochromatically-Defined Gonadal Maturation Stages of Green Abalone (Haliotis fulgens) Philippi,1845 and Pink Abalone (Haliotis corrugata) Wood, 1828","Vélez-Arellano, Nurenskaya, García-Domínguez, Federico Andrés, Lluch-Cota, Daniel B, Gutiérrez-González, José L, Sánchez-Cárdenas, Rebeca","International Journal of Morphology; 33(3); 1054-1059","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300039&lang=pt" 
"S0717-95022015000300038-chl","Functional Anatomical, Histological and Ultrastructural Studies of three Chameleon Species: Chamaeleo Chamaeleon, Chamaeleo Africanus, and Chamaeleon Vulgaris","Fouda, Yosra A, Sabry, Dalia A, Abou-Zaid, Dalia F","International Journal of Morphology; 33(3); 1045-1053","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300038&lang=pt" 
"S0718-560X2015000400003-chl","Comparative characterization of protease activity in cultured spotted rose snapper juveniles (Lutjanus guttatus)","Peña, Emyr, Hernández, Crisantema, Álvarez-González, Carlos Alfonso, Ibarra-Castro, Leonardo, Puello-Cruz, Ana, Hardy, Ronald W","Latin american journal of aquatic research; 43(4); 641-650","Latin american journal of aquatic research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2015000400003&lang=pt" 
"S0718-560X2015000400006-chl","Analysis of marine turtle strandings (Reptilia: Testudine) occurring on coast of Bahia State, Brazil","Lopes-Souza, Aline, Schiavetti, Alexandre, Roberto Álvarez, Martín","Latin american journal of aquatic research; 43(4); 575-683","Latin american journal of aquatic research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2015000400006&lang=pt" 
"S0718-560X2015000400004-chl","Risk assessment and uncertainty of the shrimp trawl fishery in the Gulf of California considering environmental variability","Almendarez-Hernández, Luis César, Ponce-Díaz, Germán, Lluch-Belda, Daniel, del Monte-Luna, Pablo, Saldívar-Lucio, Romeo","Latin american journal of aquatic research; 43(4); 651-661","Latin american journal of aquatic research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2015000400004&lang=pt" 
"S0717-95022015000300008-chl","Scanning Electron Microscopic Study of the Lingual Papillae in the Anatolian Water Buffalo","Can, M, Atalgin, S. H","International Journal of Morphology; 33(3); 855-859","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300008&lang=pt" 
"S0717-95022015000300009-chl","Correlación entre Índice de Masa Corporal y Sintomatología Depresiva en una Muestra de Niños Preescolares de La Región de Los Ríos, Chile","Cañoles Cañoles, Felipe, Araneda Garcés, Nelson, Silva Mella, Héctor, Sanhueza Campos, Antonio","International Journal of Morphology; 33(3); 860-864","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300009&lang=pt" 
"S0717-95022015000300002-chl","Acromial Morphology and Subacromial Architecture in a South African Population","Naidoo, N, Lazarus, L, Osman, S. A, Satyapal, K. S","International Journal of Morphology; 33(3); 817-825","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300002&lang=pt" 
"S0717-95022015000300003-chl","Anatomical Reproducibility through 3D Printing in Cranio-Maxillo-Facial Defects","de Moraes, Paulo Hemerson, Olate, Sergio, Cantín, Mario, Assis, Adriano Freitas, Santos, Edson, Silva, Filipe de Oliveira, Silva, Lucas de Oliveira","International Journal of Morphology; 33(3); 826-830","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300003&lang=pt" 
"S0717-95022015000300006-chl","Valoración Clínica del Riesgo, Interpretación y Utilidad Práctica","Manterola D, Carlos, Otzen H, Tamara","International Journal of Morphology; 33(3); 842-849","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300006&lang=pt" 
"S0717-95022015000300019-chl","A Study on the Structure and Morphologic Development of Calcaneal Tendon and Triceps Surae Muscle in Human Fetuses during the Fetal Period and the Evaluation of Clinical Importance of Calcaneal Tendon","Kadir, Desdicioglu, Ceren, Uguz, Busra, Sakalli, Esra, Koyuncu, Ali, Malas Mehmet","International Journal of Morphology; 33(3); 920-929","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300019&lang=pt" 
