"S0717-73482006000100010-chl","PANORAMA","Cruz M, Edgardo","Revista chilena de enfermedades respiratorias; 22(1); 68-73","Revista chilena de enfermedades respiratorias","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482006000100010&lang=pt" 
"S0002-192X2006000100003-ven","Fuente del fósforo absorbido y efectividad agronómica relativa en el maíz en un ultisol del estado Cojedes, Venezuela¹","Salas, Ana, Rivero, Carmen, Casanova, Eduardo","Agronomía Tropical; 56(1); 43-60","Agronomía Tropical","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2006000100003&lang=pt" 
"S0002-192X2006000100001-ven","Cambios físicos y químicos durante el secado al sol del grano de cacao fermentado en dos diseños de cajones de madera¹","Nogales, Jairo, Graziani de Fariñas, Lucía, Ortiz de Bertorelli, Ligia","Agronomía Tropical; 56(1); 5-20","Agronomía Tropical","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0002-192X2006000100001&lang=pt" 
"S0365-66912006000300006-esp","Edema macular quístico pseudofáquico: Detección mediante «optical coherence tomography»","Torrón-Fernández-Blanco, C., Ruiz-Moreno, O., Ferrer-Novella, E., Sánchez-Cano, A., Honrubia-López, F.M.","Archivos de la Sociedad Española de Oftalmología; 81(3); 147-154","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000300006&lang=pt" 
"S0365-66912006000300004-esp","Análisis de la distribución de anillo neurorretiniano por sectores mediante láser confocal de barrido en el diagnóstico del glaucoma","Pueyo, V., Larrosa, J.M., Polo, V., Pérez-Íñigo, A., Ferreras, A., Honrubia, F.M.","Archivos de la Sociedad Española de Oftalmología; 81(3); 135-140","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000300004&lang=pt" 
"S0365-66912006000300001-esp","Retinopatía de la prematuridad","Blanco Teijeiro, M.J.","Archivos de la Sociedad Española de Oftalmología; 81(3); 129-130","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000300001&lang=pt" 
"S0365-66912006000300008-esp","Pérdida de visión como diagnóstico de pancreatitis aguda","López-Tizón, E., Reinoso-Montalvo, C., Mencía-Gutiérrez, E., Gutiérrez-Díaz, E.","Archivos de la Sociedad Española de Oftalmología; 81(3); 161-164","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000300008&lang=pt" 
"S0365-66912006000300009-esp","Maculopatía solar y lesiones del iris autoinducidas en paciente psicótico","Ruiz-del-Río, N., Moriche-Carretero, M., Ortega-Canales, I., Revilla-Amores, R., Peralta-Calvo, JM.","Archivos de la Sociedad Española de Oftalmología; 81(3); 165-168","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000300009&lang=pt" 
"S0365-66912006000300002-esp","La difusa frontera entre el fraude y la veracidad científica","Belmonte Martínez, J.","Archivos de la Sociedad Española de Oftalmología; 81(3); 131-132","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000300002&lang=pt" 
"S0365-66912006000300005-esp","Diplopía postcirugía de catarata con anestesia subtenoniana","Merino, P., Muñoz-Sanz, N., Gómez-de-Liaño, P., Gutiérrez-Partida, B., Seijas-Leal, O.","Archivos de la Sociedad Española de Oftalmología; 81(3); 141-146","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000300005&lang=pt" 
"S0365-66912006000300007-esp","Tratamiento de la hipertensión ocular infantil con colirio de brimonidina 0,2%","Montero-de-Espinosa, I., Márquez-de-Aracena, R., Morales, C.","Archivos de la Sociedad Española de Oftalmología; 81(3); 155-160","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000300007&lang=pt" 
"S0212-71992006000300020-esp","La práctica clínica en el contexto de la inmigración","García de Hombre, A. M.","Anales de Medicina Interna; 23(3); 149-150","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300020&lang=pt" 
"S0212-71992006000300017-esp","Metástasis en falange distal como primera manifestación de un carcinoma indiferenciado de pulmón","Marcos Sánchez, F., Albo Castaño, M. I., Viana Alonso, A., Gómez Martín, J., Juárez Ucelay, F.","Anales de Medicina Interna; 23(3); 147-147","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300017&lang=pt" 
"S0212-71992006000300001-esp","La relevancia clínica de la sobreexpresión de HER-2 en el cáncer de mama","Khosravi Shahi, P., Pérez Manga, G.","Anales de Medicina Interna; 23(3); 103-104","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300001&lang=pt" 
"S0212-71992006000300006-esp","Neumonía por Corynebacterium pseudodiphteriticum: una patología a considerar","Carranza González, R., Tena Gómez, D., Prieto Gómez, E., Barberá Farré, J. R., Fernández Cenjor, J.","Anales de Medicina Interna; 23(3); 124-126","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300006&lang=pt" 
"S0212-71992006000300008-esp","Aneurisma de la arteria esplénica: Revisión de dos casos intervenidos quirúrgicamente","Abad, C., Montesdeoca-Cabrera, D., Sáez-Guzmán, T.","Anales de Medicina Interna; 23(3); 130-132","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300008&lang=pt" 
"S0212-71992006000300013-esp","¿Son derivados en estadios precoces o avanzados los pacientes con cáncer a la consulta de oncología médica?","Marcos Sánchez, F., Albo Castaño, I., Viana Alonso, A., Casallo Blanco, S., Juárez Ucelay, F.","Anales de Medicina Interna; 23(3); 143-144","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300013&lang=pt" 
"S0212-71992006000300015-esp","Sarcoidosis laríngea: a propósito de un caso","Aguilar-García, J., Torre-Lima, J. de la, Arco-Jiménez, A. del, Prada-Pardal, J. L.","Anales de Medicina Interna; 23(3); 145-145","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300015&lang=pt" 
"S0212-71992006000300007-esp","Calcificaciones cerebrales típicas como orientación de cuadro clínico inespecífico","Benito Conejero, S., Díaz Espejo, C., López Domínguez, J. M., Pujol de la Llave, E.","Anales de Medicina Interna; 23(3); 127-129","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300007&lang=pt" 
"S0212-71992006000300009-esp","Asociación de adenocarcinoma de esófago y cáncer de mama en un varón con enfermedad de Madelung","Linares Torres, P., Castañón López, C., Llano Alonso, C., Álvarez Posadilla, M., Vivas Alegre, S., Espinel Díez, J., Ribas Arino, M. T.","Anales de Medicina Interna; 23(3); 133-135","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300009&lang=pt" 
"S0212-71992006000300003-esp","Prevalencia de hepatitis C en población infectada por el VIH en el Área 2 de Madrid","González Cerrajero, M., Pazos García, A., Santos Gil, I. de los, Sanz Sanz, J.","Anales de Medicina Interna; 23(3); 111-114","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300003&lang=pt" 
"S0212-71992006000300011-esp","La Mona Lisa: un compendio de Medicina Interna","Martínez García, A.","Anales de Medicina Interna; 23(3); 139-141","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300011&lang=pt" 
"S0212-71992006000300002-esp","Reactantes de fase aguda y marcadores de inflamación en pacientes con enfermedad tromboembólica venosa: correlación con parámetros clínicos y evolutivos","Marchena Yglesias, P. J., Nieto Rodríguez, J. A., Serrano Martínez, S., Belinchón Moya, O., Cortés Carmona, A., Díaz de Tuesta, A., Bruscas Alijarde, M. J., Ruiz Ribó, M. D.","Anales de Medicina Interna; 23(3); 105-110","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300002&lang=pt" 
"S0212-71992006000300016-esp","Neumonía comunitaria por Proteus mirabilis","Villamil Cajoto, I., Eynde Collado, A. Van den, Villacián Vicedo, M. J., Martínez Rey, C., Rodríguez Otero, L., Rodríguez Framil, M.","Anales de Medicina Interna; 23(3); 146-146","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300016&lang=pt" 
"S0212-71992006000300010-esp","Valoración de los resultados en salud percibidos y comunicados por los pacientes: ¿necesidad o lujo?","Soto Álvarez, J.","Anales de Medicina Interna; 23(3); 136-138","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300010&lang=pt" 
"S0212-71992006000300004-esp","Disfunción eréctil: un problema poco valorado en Medicina Interna. Estudio de pacientes y medicación relacionada","Villamil Cajoto, I., Díaz Peromingo, J. A., Sánchez Leira, J., García Suárez, F., Saborido Forjan, J., Iglesias Gallego, M.","Anales de Medicina Interna; 23(3); 115-118","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300004&lang=pt" 
"S0212-71992006000300019-esp","Neumonía adquirida en la comunidad y bacteriemia por Alcaligenes xylososidans","Pastor Esplá, E., Signes-Costa Miñana, J., Chiner Vives, E., Llombart Cantó, M., Andreu Rodríguez, A. L.","Anales de Medicina Interna; 23(3); 148-149","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300019&lang=pt" 
"S0212-71992006000300012-esp","Debut de linfoma Hodgkin con clínica de compresión medular","Navarro Calzada, J., Cuesta Muñoz, J., Crusells Canales, M. J., Letona Carbajo, S., Sanjoaquin Conde, I., Amiguet García, J. A.","Anales de Medicina Interna; 23(3); 142-143","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300012&lang=pt" 
"S0212-71992006000300018-esp","Anemia hemolítica en una paciente en tratamiento con capecitabina: Descripción de un caso y revisión de la literatura","Maciá Escalante, S., Rodríguez Lescure, A., Martínez Banaclocha, N., Gallego Plazas, J., Carrato Mena, A.","Anales de Medicina Interna; 23(3); 147-148","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300018&lang=pt" 
"S0212-71992006000300014-esp","Fibrohistiocitoma maligno","Arias Miranda, I. M., Nuño Mateo, F. J., Solano Rodríguez, A., Fernández Palacios, J.","Anales de Medicina Interna; 23(3); 144-144","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300014&lang=pt" 
"S0212-71992006000300005-esp","Control de la tensión arterial sistólica y factores relacionados en pacientes de alto riesgo vascular","Sánchez Muñoz-Torrero, J. F., Crespo Rincón, L., Chiquero Palomo, M., Doncel Rancel, C., Bacaicoa López de Sabando, A., Costo Campoamor, A.","Anales de Medicina Interna; 23(3); 119-123","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000300005&lang=pt" 
"S0365-66912006000300012-esp","Un siglo ha. Año excepcional. Importantes publicaciones en «archivos»: Un estudiante de medicina golea al Barça","Arruga, A.","Archivos de la Sociedad Española de Oftalmología; 81(3); 177-178","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000300012&lang=pt" 
"S0365-66912006000300013-esp","Congreso de Oftalmología de Palma de Mallorca, 1934","Bruix, J.","Archivos de la Sociedad Española de Oftalmología; 81(3); 179-180","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000300013&lang=pt" 
"S0365-66912006000300014-esp","Atlas de gonioscopia en el glaucoma por cierre angular","Cano Parra, Juan","Archivos de la Sociedad Española de Oftalmología; 81(3); 181-182","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000300014&lang=pt" 
"S0365-66912006000300011-esp","Picadura palpebral por garrapata","Santos-Bueso, E., Calvo-González, C., Díaz-Valle, D., Benítez-del-Castillo, JM., García-Sánchez, J.","Archivos de la Sociedad Española de Oftalmología; 81(3); 173-176","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000300011&lang=pt" 
"S0365-66912006000300003-esp","Investigación clínica independiente: es posible","Pastor Jimeno, J.C.","Archivos de la Sociedad Española de Oftalmología; 81(3); 133-134","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000300003&lang=pt" 
"S0365-66912006000300010-esp","Síntomas visuales como primera manifestación de la enfermedad de Alzheimer","Asensio-Sánchez, VM., Torreblanca-Agüera, B., Martínez-Calvo, S., Calvo, MJ., Rodríguez, R.","Archivos de la Sociedad Española de Oftalmología; 81(3); 169-172","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000300010&lang=pt" 
"S0798-40652006000100005-ven","Estudio de las transformaciones estructurales producidas por el proceso de aleación mecánica en el sistema Fe-Al","D´ANGELO, L, GONZÁLEZ, , OCHOA, J, D´ONOFRIO, L","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 21(1); 39-47","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Inglês","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652006000100005&lang=pt" 
"S0798-40652006000100004-ven","Lixiviación dinámica de NI y CO a presión atmosférica de laterita utilizando ácido sulfúrico y cítrico con posterior precipitación selectiva","DI YORIO, C, RANGEL, C, BETANCOURT, E, Y RUS, J","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 21(1); 29-37","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Inglês","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652006000100004&lang=pt" 
"S0798-40652006000100007-ven","Transporte de sólidos en flujo anular vertical No-Newtoniano de soluciones de biopolímeros","ROJAS, M.R, MENDOZA, C.E, SIQUIER, S, RAMÍREZ, N, MÜLLER, A.J, SÁEZ, A.E","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 21(1); 57-69","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Inglês","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652006000100007&lang=pt" 
"S0798-40652006000100006-ven","Síntesis de procesos: una propuesta Holística","MARTÍN, RAFAEL, RINCÓN, GLADYS, BLANCO, BERENICE","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 21(1); 49-55","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652006000100006&lang=pt" 
"S0798-40652006000100001-ven","Thermal and mechanical characterization of PP/NBR blends","HERNÁNDEZ, M, GONZÁLEZ, J, ALBANO, C, ICHAZO, M, LOVERA, D","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 21(1); 5-12","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Inglês","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652006000100001&lang=pt" 
"S0798-40652006000100003-ven","Efecto de la radiación gamma en compuestos de Polimetilmetacrilato / Algas Calcáreas","ALBANO, C, KARAM, A, DOMÍNGUEZ, N, SÁNCHEZ, Y, GONZÁLEZ, J","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 21(1); 21-28","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Inglês","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652006000100003&lang=pt" 
"S0798-40652006000100002-ven","Simulación de grietas cortas originadas por fatiga de bajo ciclaje en aceros 2Cr 1Mo","BORNIA, O, VOGT, J.B, LEÓN, J. B","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 21(1); 13-20","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Inglês","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652006000100002&lang=pt" 
"S0798-40652006000100009-ven","Diseño y fabricación de un molde de termoformado utilizando herramientas CAD/CAE","MORALES, R. A, CANDAL, M. V","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 21(1); 83-99","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Inglês","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652006000100009&lang=pt" 
"S0798-40652006000100008-ven","Simulación y análisis termodinámico de un proceso de purificación de HF en una planta de alquilbencenos lineales","VARELA V, A.E, CALLEJA P, F","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 21(1); 71-81","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Inglês","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652006000100008&lang=pt" 
"S0798-40652006000100012-ven","Modelo para la selección de software ERP: el caso de Venezuela","CASTRO, NATALIA, BORGES, ANA MARÍA, BAQUERO, NANCY, RODRÍGUEZ, SIMÓN","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 21(1); 125-137","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Inglês","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652006000100012&lang=pt" 
"S0798-40652006000100010-ven","Evaluación del arranque y puesta en marcha del sistema de tratamiento de aguas residuales de una empresa tabacalera","BELLO, YUSMARY, LARA, RAYMAR","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 21(1); 101-109","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Inglês","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652006000100010&lang=pt" 
"S0798-40652006000100011-ven","Análisis bidimensional de la interacción fluido-estructura en válvulas mecánicas de corazón utilizando técnicas de células autómatas","PELLICCIONI, O.J, CERROLAZA, M.E, HERRERA, M","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 21(1); 111-123","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Inglês","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652006000100011&lang=pt" 
"S0102-695X2006000100001-scl","Editorial","Magalhães, Pedro Melillo","Revista Brasileira de Farmacognosia; 16(1); -","Revista Brasileira de Farmacognosia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100001&lang=pt" 
"S0102-695X2006000100007-scl","Influence of the harvesting time, temperature and drying period on basil (Ocimum basilicum L.) essential oil","Carvalho Filho, José Luiz S., Blank, Arie F., Alves, Péricles B., Ehlert, Polyana A.D., Melo, Alberto S., Cavalcanti, Sócrates C.H., Arrigoni-Blank, Maria de Fátima, Silva-Mann, Renata","Revista Brasileira de Farmacognosia; 16(1); 24-30","Revista Brasileira de Farmacognosia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100007&lang=pt" 
"S0102-695X2006000100006-scl","Constituents of Encyclia longifolia Schltr. (Orchidaceae)","Bhattacharyya, Jnanabrata, Nishonov, Abdumalik A., Felix, Leonardo Pessoa, Pires, Maria F.O., Majetich, George M.","Revista Brasileira de Farmacognosia; 16(1); 22-23","Revista Brasileira de Farmacognosia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100006&lang=pt" 
"S0102-695X2006000100004-scl","Efectos citotoxicos in vitro de extractos y fracciones de Espeletia killipii Cuatr. frente a lineas celulares tumorales humanos","Téllez Alfonso, Alba N., Castro, Clemencia de, Riveros de Murcia, Tulia, Torrenegra, Rubén","Revista Brasileira de Farmacognosia; 16(1); 12-16","Revista Brasileira de Farmacognosia","Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100004&lang=pt" 
"S0102-695X2006000100009-scl","Estudo morfoanatômico preliminar do caule e da folha de Acanthospermum australe (Loefl.) Kuntze (Asteraceae-Heliantheae)","Martins, Lúcia R. Rocha, Mourão, Káthia S. Mathias, Albiero, Adriana L. Meyer, Cortez, Diógenes A. Garcia, Dias-Filho, Benedito P., Nakamura, Celso V.","Revista Brasileira de Farmacognosia; 16(1); 42-52","Revista Brasileira de Farmacognosia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100009&lang=pt" 
"S0102-695X2006000100010-scl","Caracteres anatômicos de folha e caule de Calea uniflora Less., Asteraceae","Budel, Jane M., Duarte, Márcia R., Farago, Paulo V., Takeda, Inês J.M.","Revista Brasileira de Farmacognosia; 16(1); 53-60","Revista Brasileira de Farmacognosia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100010&lang=pt" 
"S0102-695X2006000100005-scl","Cardiovascular effects induced by the hydroalcoholic extract of the stem of Xylopia cayennensis in rats","Nascimento, Alessandra A., Ribeiro, Êurica A. Nogueira, Oliveira, Joelisia M., Medeiros, Fernando A., Silva, Marcelo S., Medeiros, Isac A.","Revista Brasileira de Farmacognosia; 16(1); 17-21","Revista Brasileira de Farmacognosia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100005&lang=pt" 
"S0102-695X2006000100008-scl","SEM observations on seeds of some herbaceous Phyllanthus L. species (Phyllanthaceae)","Machado, Clarice A., Oliveira, Paulo L. de, Mentz, Lilian A.","Revista Brasileira de Farmacognosia; 16(1); 31-41","Revista Brasileira de Farmacognosia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100008&lang=pt" 
"S0102-695X2006000100015-scl","Atividade antibacteriana e antifúngica de extratos etanólicos de Aster lanceolatus Willd., Asteraceae","Dias, Josiane F. Gaspari, Virtuoso, Suzane, Davet, Aline, Cunico, Miriam M., Miguel, Marilis D., Miguel, Obdúlio G., Auer, Celso G., Grigoletti-Júnior, Albino, Oliveira, Andressa B., Ferronato, Marlene L.","Revista Brasileira de Farmacognosia; 16(1); 83-87","Revista Brasileira de Farmacognosia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100015&lang=pt" 
"S0102-695X2006000100002-scl","Traditionally used plants in diabetes therapy: phytotherapeutics as inhibitors of alpha-amylase activity","Funke, Ingrid, Melzig, Matthias F.","Revista Brasileira de Farmacognosia; 16(1); 1-5","Revista Brasileira de Farmacognosia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100002&lang=pt" 
"S0102-695X2006000100017-scl","Avaliação da redução da carga microbiana de droga vegetal através do processamento tecnológico: decocção e secagem por aspersão","Souza, Tatiane P. de, Lionzo, Maria I. Zulian, Petrovick, Pedro R.","Revista Brasileira de Farmacognosia; 16(1); 94-98","Revista Brasileira de Farmacognosia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100017&lang=pt" 
"S0102-695X2006000100019-scl","Estudo fitoquímico de Davilla rugosa: flavonóides e terpenóides","David, Jorge M., Souza, Jurema C., Guedes, Maria L. Silva, David, Juceni P.","Revista Brasileira de Farmacognosia; 16(1); 105-108","Revista Brasileira de Farmacognosia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100019&lang=pt" 
"S0102-695X2006000100003-scl","Screening of Central and South American plant extracts for antimycobacterial activity by the Alamar Blue test","Leitão, Suzana G., Castro, Oscar, Fonseca, Eduardo N., Julião, Lisieux S., Tavares, Eliana S., Leo, Rodrigo R.T., Vieira, Ricardo C., Oliveira, Danilo R., Leitão, Gilda G., Martino, Virginia, Sulsen, Valeria, Barbosa, Ymira A.G., Pinheiro, Diva P.G., Silva, Pedro E. Almeida da, Teixeira, Dulcineia F., N. Junior, Ivan, Lourenço, Maria Cristina S.","Revista Brasileira de Farmacognosia; 16(1); 6-11","Revista Brasileira de Farmacognosia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100003&lang=pt" 
"S0102-695X2006000100013-scl","Atividade antioxidante e antimicrobiana de Calceolaria chelidonioides Humb. Bonpl. &amp; Kunth.","Falcão, Deborah Q., Costa, Edlaine R., Alviano, Daniela S., Alviano, Celuta S., Kuster, Ricardo M., Menezes, Fábio S.","Revista Brasileira de Farmacognosia; 16(1); 73-76","Revista Brasileira de Farmacognosia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100013&lang=pt" 
"S0102-695X2006000100011-scl","Atividade antileishmania do extrato hidroalcoólico e de frações obtidas de folhas de Piper regnellii (Miq.) C. DC. var. pallescens (C. DC.) Yunck","Nakamura, Celso V., Santos, Adriana O., Vendrametto, Michele C., Luize, Patrícia S., Dias Filho, Benedito P., Cortez, Diógenes A.G., Ueda-Nakamura, Tânia","Revista Brasileira de Farmacognosia; 16(1); 61-66","Revista Brasileira de Farmacognosia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100011&lang=pt" 
"S0102-695X2006000100012-scl","Efeito antinociceptivo e antiinflamatório do extrato aquoso da entrecasca de Coutarea hexandra Schum. (Rubiaceae)","Lucena, Josefina E.X., Bispo, Magna D., Nunes, Rogéria S., Cavalcanti, Sócrates C.H., Teixeira-Silva, Flávia, Marçal, Rosilene M., Antoniolli, Ângelo R.","Revista Brasileira de Farmacognosia; 16(1); 67-72","Revista Brasileira de Farmacognosia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100012&lang=pt" 
"S0102-695X2006000100014-scl","Estudo da interferência de óleos essenciais sobre a atividade de alguns antibióticos usados na clínica","Oliveira, Rinalda A. Guerra de, Lima, Edeltrudes O., Vieira, Wellington L., Freire, Kristerson R. Luna, Trajano, Vinicius N., Lima, Igara O., Souza, Evandro L., Toledo, Manuella S., Silva-Filho, Raimundo N.","Revista Brasileira de Farmacognosia; 16(1); 77-82","Revista Brasileira de Farmacognosia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100014&lang=pt" 
"S0102-695X2006000100016-scl","Efeito antibacteriano e antiaderente in vitro do extrato da Punica granatum Linn. sobre microrganismos do biofilme dental","Pereira, Jozinete V., Pereira, Maria S. Vieira, Sampaio, Fábio C., Sampaio, Maria C. Correia, Alves, Pollianna M., Araújo, Cristina R. Ferreira de, Higino, Jane S.","Revista Brasileira de Farmacognosia; 16(1); 88-93","Revista Brasileira de Farmacognosia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100016&lang=pt" 
