"S1137-66272009000300011-esp","Neuritis óptica inflamatoria","Ayuso, T., Aliseda, D., Ajuria, I., Zandío, B., Mayor, S., Navarro, M.C.","Anales del Sistema Sanitario de Navarra; 32(2); 249-263","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300011&lang=pt" 
"S0102-86502009000400011-scl","The use of rocuronium in giant Amazon turtle Podocnemis expansa (Schweigger, 1812) (Testudines, Podocnemididae)","Bosso, Andréa Cristina Scarpa, Santos, André Luiz Quagliatto, Brito, Fernando Moraes Machado, Alves Júnior, José Roberto Ferreira, Guimarães, Ednaldo Carvalho","Acta Cirurgica Brasileira; 24(4); 311-315","Acta Cirurgica Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502009000400011&lang=pt" 
"S0212-16112009000400007-esp","Dietary habits associated with obesity among adolescents in Dubai, United Arab Emirates","bin Zaal, A. A., Musaiger, A. O., D&#039;Souza, R.","Nutrición Hospitalaria; 24(4); 437-444","Nutrición Hospitalaria","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400007&lang=pt" 
"S0212-16112009000400002-esp","El factor de impacto de Nutrición Hospitalaria es 1,096","Culebras, J. M., García de Lorenzo, A.","Nutrición Hospitalaria; 24(4); 378-383","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400002&lang=pt" 
"S0212-16112009000400009-esp","La edad de la madre como condicionante del consumo de alimentos y la ingesta de energía y nutrientes de sus hijos en edad preescolar","Navia, B., Ortega, R. M., Rodríguez-Rodríguez, E., Aparicio, A., Perea, J. M.","Nutrición Hospitalaria; 24(4); 452-458","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400009&lang=pt" 
"S0212-16112009000400018-esp","Estado nutricional de un grupo de estudiantes universitarios de La Paz, Bolivia","Pérez-Cueto, F. J. A., Eulert, M. E.","Nutrición Hospitalaria; 24(4); 511-511","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400018&lang=pt" 
"S0212-16112009000400015-esp","Viscosity and flow-rate of three high-energy, high-fibre enteral nutrition formulas","Casas-Augustench, P., Salas-Salvadó, J.","Nutrición Hospitalaria; 24(4); 492-497","Nutrición Hospitalaria","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400015&lang=pt" 
"S0212-16112009000400014-esp","A two-phase population study: relationships between overweight, body composition and risk of eating disorders","Babio, N., Canals, J., Pietrobelli, A., Pérez, S., Arija, V.","Nutrición Hospitalaria; 24(4); 485-491","Nutrición Hospitalaria","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400014&lang=pt" 
"S0212-16112009000400016-esp","Estudio de prevalencia de disfagia e intervención con consejo dietético, en residencias de mayores de Sevilla","Irles Rocamora, J. A., Sánchez-Duque, M. J., Valle Galindo, P. B. de, Bernal López, E., Fernández Palacín, A., Almeida González, C., Torres Enamorado, D.","Nutrición Hospitalaria; 24(4); 498-503","Nutrición Hospitalaria","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000400016&lang=pt" 
"S0034-89102009000800002-spa","Apresentação","Castilho, Euclides Ayres de, Souza, Luis Eugênio Portela Fernandes de, Delgado, Pedro Gabriel Godinho","Revista de Saúde Pública; 43(); 4-5","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800002&lang=pt" 
"S0034-89102009000800001-spa","Editorial","Barata, Rita Barradas, Castilho, Euclides Ayres de","Revista de Saúde Pública; 43(); 1-2","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800001&lang=pt" 
"S0034-70942009000400002-scl","Avaliação da cetamina racêmica e do isômero S(+), associados ou não a baixas doses de fentanil, na balneoterapia do grande queimado","Cantinho, Fernando Antônio de Freitas, Silva, Antonio Carlos Pereira da","Revista Brasileira de Anestesiologia; 59(4); 396-408","Revista Brasileira de Anestesiologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942009000400002&lang=pt" 
"S0034-70942009000400003-scl","Incidência de depressão respiratória no pós-operatório em pacientes submetidos à analgesia venosa ou peridural com opioides","Duarte, Leonardo Teixeira Domingues, Fernandes, Maria do Carmo Barretto de Carvalho, Costa, Verônica Vieira da, Saraiva, Renato Ângelo","Revista Brasileira de Anestesiologia; 59(4); 409-420","Revista Brasileira de Anestesiologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942009000400003&lang=pt" 
"S0034-70942009000400004-scl","Eficácia do emprego da metadona ou da clonidina no intraoperatório para controle da dor pós-operatória imediata após uso de remifentanil","Simoni, Ricardo Francisco, Cangiani, Luiz Marciano, Pereira, Antônio Márcio Sanfim Arantes, Abreu, Múcio Paranhos, Cangiani, Luis Henrique, Zemi, Guilherme","Revista Brasileira de Anestesiologia; 59(4); 421-430","Revista Brasileira de Anestesiologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942009000400004&lang=pt" 
"S0034-70942009000400012-scl","Laringoespasmo","Hobaika, Adriano Bechara de Souza, Lorentz, Michele Nacur","Revista Brasileira de Anestesiologia; 59(4); 487-495","Revista Brasileira de Anestesiologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942009000400012&lang=pt" 
"S0034-70942009000400013-scl","Carlos Parsloe (1919-2009) - in memoriam","Reis Júnior, Almiro dos","Revista Brasileira de Anestesiologia; 59(4); 496-519","Revista Brasileira de Anestesiologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942009000400013&lang=pt" 
"S0482-50042009000400005-scl","O ombro em uma linha de produção: estudo clínico e ultrassonográfico","Maeda, Ernesto Youiti, Helfenstein Jr., Milton, Ascencio, João Eduardo Barile, Feldman, Daniel","Revista Brasileira de Reumatologia; 49(4); 375-386","Revista Brasileira de Reumatologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042009000400005&lang=pt" 
"S0482-50042009000400008-scl","O uso de provas de atividade inflamatória em reumatologia","Rosa Neto, Nilton Salles, Carvalho, Jozélio Freire de","Revista Brasileira de Reumatologia; 49(4); 413-430","Revista Brasileira de Reumatologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042009000400008&lang=pt" 
"S0034-89102009000800008-scl","Prevalência, fatores de risco e genótipos da hepatite C entre usuários de drogas","Lopes, Carmen L R, Teles, Sheila A, Espírito-Santo, Márcia P, Lampe, Elisabete, Rodrigues, Fabiana P, Motta-Castro, Ana Rita C, Marinho, Thaís A, Reis, Nádia R, Silva, Ágabo M C, Martins, Regina M B","Revista de Saúde Pública; 43(); 43-50","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000800008&lang=pt" 
"S0034-89102009000800012-scl","Escala de Depressão Pós-natal de Edimburgo para triagem no sistema público de saúde","Figueira, Patrícia, Corrêa, Humberto, Malloy-Diniz, Leandro, Romano-Silva, Marco Aurélio","Revista de Saúde Pública; 43(); 79-84","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000800012&lang=pt" 
"S0034-89102009000800010-scl","Avaliação econômica do tratamento da esquizofrenia com antipsicóticos no Sistema Único de Saúde","Lindner, Leandro Mendonça, Marasciulo, Antonio Carlos, Farias, Mareni Rocha, Grohs, Geder Evandro Motta","Revista de Saúde Pública; 43(); 62-69","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000800010&lang=pt" 
"S0034-89102009000800003-scl","Avaliação da estrutura dos centros de atenção psicossocial do município de São Paulo, SP","Nascimento, Andréia de Fátima, Galvanese, Ana Tereza Costa","Revista de Saúde Pública; 43(); 8-15","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000800003&lang=pt" 
"S0034-89102009000800006-scl","Satisfação dos usuários dos centros de atenção psicossocial da região Sul do Brasil","Kantorski, Luciane Prado, Jardim, Vanda da Rosa, Wetzel, Christine, Olschowsky, Agnes, Schneider, Jacó Fernando, Heck, Rita Maria, Bielemann, Valquíria de Lourdes, Schwartz, Eda, Coimbra, Valéria Cristina Christello, Quevedo, André Luis Alves de, Saraiva, Suélen dos Santos","Revista de Saúde Pública; 43(); 29-35","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000800006&lang=pt" 
"S0034-89102009000800004-scl","Avaliação da rede de centros de atenção psicossocial: entre a saúde coletiva e a saúde mental","Campos, Rosana Teresa Onocko, Furtado, Juarez Pereira, Passos, Eduardo, Ferrer, Ana Luiza, Miranda, Lilian, Gama, Carlos Alberto Pegolo da","Revista de Saúde Pública; 43(); 16-22","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000800004&lang=pt" 
"S0034-89102009000800007-scl","Conseqüências da intangibilidade na gestão dos novos serviços de saúde mental","Silva, Marcia Terra da, Lancman, Selma, Alonso, Carolina Maria do Carmo","Revista de Saúde Pública; 43(); 36-42","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000800007&lang=pt" 
"S0034-89102009000800015-scl","Estigma e violências no trato com a loucura: narrativas de centros de atenção psicossocial, Bahia e Sergipe","Nunes, Mônica, Torrenté, Maurice de","Revista de Saúde Pública; 43(); 101-108","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000800015&lang=pt" 
"S0034-89102009000800014-scl","Desigualdades socioeconômicas e saúde mental infantil","Assis, Simone G, Avanci, Joviana Quintes, Oliveira, Raquel de Vasconcellos Carvalhaes de","Revista de Saúde Pública; 43(); 92-100","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000800014&lang=pt" 
"S0034-89102009000800013-scl","Atenção à saúde em uma comunidade tradicional de terreiro","Alves, Miriam Cristiane, Seminotti, Nedio","Revista de Saúde Pública; 43(); 85-91","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000800013&lang=pt" 
"S0034-89102009000800009-scl","Prevenção do uso de álcool na atenção primária em municípios do estado de Minas Gerais","Ronzani, Telmo Mota, Mota, Daniela Cristina Belchior, Souza, Isabel Cristina Weiss de","Revista de Saúde Pública; 43(); 51-61","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000800009&lang=pt" 
"S0034-89102009000800005-scl","Critérios de admissão e continuidade de cuidados em centros de atenção psicossocial, Rio de Janeiro, RJ","Cavalcanti, Maria Tavares, Dahl, Catarina Magalhães, Carvalho, Maria Cecilia Araujo de, Valencia, Elie","Revista de Saúde Pública; 43(); 23-28","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000800005&lang=pt" 
"S0034-89102009000800011-scl","Grupoterapia cognitivo-comportamental para crianças e adolescentes vítimas de abuso sexual","Habigzang, Luísa Fernanda, Stroeher, Fernanda Helena, Hatzenberger, Roberta, Cunha, Rafaela Cassol, Ramos, Michele da Silva, Koller, Sílvia Helena","Revista de Saúde Pública; 43(); 70-78","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000800011&lang=pt" 
"S0103-90162009000400001-scl","Dynamic systems approach assess and manage water resources in river basins","Sánchez-Román, Rodrigo Máximo, Folegatti, Marcos Vinicius, Orellana González, Alba María Guadalupe, Silva, Rogério Teixeira da","Scientia Agricola; 66(4); 427-435","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400001&lang=pt" 
"S0103-90162009000400011-scl","Tensile strength, friability and organic carbon in an oxisol under a crop-livestock system","Guimarães, Rachel Muylaert Locks, Tormena, Cássio Antonio, Alves, Sérgio José, Fidalski, Jonez, Blainski, Éverton","Scientia Agricola; 66(4); 499-505","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400011&lang=pt" 
"S0103-90162009000400013-scl","Nitrogen doses and water balance components at phenological stages of corn","Silva, Monica Martins da, Libardi, Paulo Leonel, Fernandes, Flávia Carvalho Silva","Scientia Agricola; 66(4); 515-521","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400013&lang=pt" 
"S0103-90162009000400015-scl","CTAB methods for DNA extraction of sweetpotato for microsatellite analysis","Borges, Aline, Rosa, Mariana Silva, Recchia, Gustavo Henrique, Queiroz-Silva, Jurema Rosa de, Bressan, Eduardo de Andrade, Veasey, Elizabeth Ann","Scientia Agricola; 66(4); 529-534","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400015&lang=pt" 
"S0103-90162009000400016-scl","Induction of symmetrical nucleus division and multi-nucleate structures in microspores of eggplant (Solanum melongena L.) cultured in vitro","Bal, Ugur, Ellialtioglu, Sebnem, Abak, Kazim","Scientia Agricola; 66(4); 535-539","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400016&lang=pt" 
"S0103-90162009000400018-scl","Occurence and host specificity of indigenous rhizobia from soils of São Paulo State, Brazil","Lombardi, Maria Luiza Colognesi de Oliveira, Moreira, Milene, Ambrósio, Luís Alberto, Cardoso, Elke Jurandy Bran Nogueira","Scientia Agricola; 66(4); 543-548","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400018&lang=pt" 
"S0103-90162009000400019-scl","Role of ferritin in the rice tolerance to iron overload","Silveira, Vivian Chagas da, Fadanelli, Cristina, Sperotto, Raul Antonio, Stein, Ricardo José, Basso, Luiz Augusto, Santos, Diógenes Santiago, Vaz Junior, Itabajara da Silva, Dias, Johnny Ferraz, Fett, Janette Palma","Scientia Agricola; 66(4); 549-555","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400019&lang=pt" 
"S0103-90162009000400020-scl","Analyzing one-way experiments: a piece of cake of a pain in the neck?","Kozak, Marcin","Scientia Agricola; 66(4); 556-562","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400020&lang=pt" 
"S0034-89102009000800003-spa","Avaliação da estrutura dos centros de atenção psicossocial do município de São Paulo, SP","Nascimento, Andréia de Fátima, Galvanese, Ana Tereza Costa","Revista de Saúde Pública; 43(); 8-15","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800003&lang=pt" 
"S0034-89102009000800004-spa","Avaliação da rede de centros de atenção psicossocial: entre a saúde coletiva e a saúde mental","Campos, Rosana Teresa Onocko, Furtado, Juarez Pereira, Passos, Eduardo, Ferrer, Ana Luiza, Miranda, Lilian, Gama, Carlos Alberto Pegolo da","Revista de Saúde Pública; 43(); 16-22","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800004&lang=pt" 
"S0034-89102009000800005-spa","Critérios de admissão e continuidade de cuidados em centros de atenção psicossocial, Rio de Janeiro, RJ","Cavalcanti, Maria Tavares, Dahl, Catarina Magalhães, Carvalho, Maria Cecilia Araujo de, Valencia, Elie","Revista de Saúde Pública; 43(); 23-28","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800005&lang=pt" 
"S0034-89102009000800006-spa","Satisfação dos usuários dos centros de atenção psicossocial da região Sul do Brasil","Kantorski, Luciane Prado, Jardim, Vanda da Rosa, Wetzel, Christine, Olschowsky, Agnes, Schneider, Jacó Fernando, Heck, Rita Maria, Bielemann, Valquíria de Lourdes, Schwartz, Eda, Coimbra, Valéria Cristina Christello, Quevedo, André Luis Alves de, Saraiva, Suélen dos Santos","Revista de Saúde Pública; 43(); 29-35","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800006&lang=pt" 
"S0034-89102009000800007-spa","Conseqüências da intangibilidade na gestão dos novos serviços de saúde mental","Silva, Marcia Terra da, Lancman, Selma, Alonso, Carolina Maria do Carmo","Revista de Saúde Pública; 43(); 36-42","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800007&lang=pt" 
"S0034-89102009000800008-spa","Prevalência, fatores de risco e genótipos da hepatite C entre usuários de drogas","Lopes, Carmen L R, Teles, Sheila A, Espírito-Santo, Márcia P, Lampe, Elisabete, Rodrigues, Fabiana P, Motta-Castro, Ana Rita C, Marinho, Thaís A, Reis, Nádia R, Silva, Ágabo M C, Martins, Regina M B","Revista de Saúde Pública; 43(); 43-50","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800008&lang=pt" 
"S0034-89102009000800009-spa","Prevenção do uso de álcool na atenção primária em municípios do estado de Minas Gerais","Ronzani, Telmo Mota, Mota, Daniela Cristina Belchior, Souza, Isabel Cristina Weiss de","Revista de Saúde Pública; 43(); 51-61","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800009&lang=pt" 
"S0034-89102009000800010-spa","Avaliação econômica do tratamento da esquizofrenia com antipsicóticos no Sistema Único de Saúde","Lindner, Leandro Mendonça, Marasciulo, Antonio Carlos, Farias, Mareni Rocha, Grohs, Geder Evandro Motta","Revista de Saúde Pública; 43(); 62-69","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800010&lang=pt" 
"S0034-89102009000800011-spa","Grupoterapia cognitivo-comportamental para crianças e adolescentes vítimas de abuso sexual","Habigzang, Luísa Fernanda, Stroeher, Fernanda Helena, Hatzenberger, Roberta, Cunha, Rafaela Cassol, Ramos, Michele da Silva, Koller, Sílvia Helena","Revista de Saúde Pública; 43(); 70-78","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800011&lang=pt" 
"S0034-89102009000800012-spa","Escala de Depressão Pós-natal de Edimburgo para triagem no sistema público de saúde","Figueira, Patrícia, Corrêa, Humberto, Malloy-Diniz, Leandro, Romano-Silva, Marco Aurélio","Revista de Saúde Pública; 43(); 79-84","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800012&lang=pt" 
"S0034-89102009000800013-spa","Atenção à saúde em uma comunidade tradicional de terreiro","Alves, Miriam Cristiane, Seminotti, Nedio","Revista de Saúde Pública; 43(); 85-91","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800013&lang=pt" 
"S0034-89102009000800014-spa","Desigualdades socioeconômicas e saúde mental infantil","Assis, Simone G, Avanci, Joviana Quintes, Oliveira, Raquel de Vasconcellos Carvalhaes de","Revista de Saúde Pública; 43(); 92-100","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800014&lang=pt" 
"S0034-89102009000800015-spa","Estigma e violências no trato com a loucura: narrativas de centros de atenção psicossocial, Bahia e Sergipe","Nunes, Mônica, Torrenté, Maurice de","Revista de Saúde Pública; 43(); 101-108","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000800015&lang=pt" 
"S0103-90162009000400009-scl","Physical characteristics of extruded cassava starch","Leonel, Magali, Freitas, Taila Santos de, Mischan, Martha Maria","Scientia Agricola; 66(4); 486-493","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400009&lang=pt" 
"S0102-09352009000400004-scl","Renal involvement in canine leishmaniasis: a morphological and immunohistochemical study","Soares, M.J.V., Moraes, J.R.E., Moraes, F.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 785-790","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400004&lang=pt" 
"S0102-09352009000400005-scl","T lymphocyte subsets of the umbilical cord blood of dogs","Cápua, M.L.B., Santana, A.E., Nakage, A.P.M., Godoy, A.V., Kataoka, A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 791-796","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400005&lang=pt" 
"S0102-09352009000400013-scl","Avaliação in vitro da atividade inibitória de Lactobacillus spp., isolados do inglúvio e cecos de aves sobre Salmonella","Barros, M.R., Andreatti Filho, R.L., Lima, E.T., Crocci, J.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 863-868","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400013&lang=pt" 
"S0102-09352009000400017-scl","Presença de Campylobacter spp. em macacos-de-cheiro (Saimiri spp.) assintomáticos cativos e sua correlação com as condições de manejo","Andrade, M.C.R., Lopes, D.A., Gabeira, S.C.O., Esteves, W.T.C., Vilardo, M.C.B., Thomé, J.D.S., Lauria-Filgueiras, A.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 890-895","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400017&lang=pt" 
"S0102-09352009000400019-scl","Digestibilidade aparente e verdadeira do fósforo de alimentos de origem animal para suínos","Bünzen, S., Rostagno, H.S., Lopes, D.C., Gomes, P.C., Hashimoto, F.A.M., Apolônio, L.R., Borsatto, C.G.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 903-909","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400019&lang=pt" 
"S0102-09352009000400035-scl","Ocorrência do leite instável não ácido no noroeste do Rio Grande do Sul","Zanela, M.B., Ribeiro, M.E.R., Fischer, V., Gomes, J.F., Stumpf Jr., W.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 1009-1013","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400035&lang=pt" 
"S0102-09352009000400033-scl","Ocorrência e caracterização molecular de Cryptosporidium em cordeiros","Féres, F.C., Lombardi, A.L., Carvalho, M.P.P., Mendes, L.C.N., Peiró, J.R., Cadioli, F.A., Meireles, M.V., Perri, S.H.V., Feitosa, F.L.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 1002-1005","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400033&lang=pt" 
"S0102-09352009000400031-scl","Isolation of rotavirus from asymptomatic dogs in Brazil","Ruiz, V.L.A., Brandão, P.E., Gregori, F., Rodriguez, C.A.R., Souza, S.L.P., Jerez, J.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 996-999","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400031&lang=pt" 
"S0102-09352009000400030-scl","Surto de diarreia em vacas de um rebanho leiteiro na região sul de Minas Gerais: detecção de coronavírus bovino nas fezes","Bezerra Jr, P.S., Brandão, P.E., Pavarini, S.P., Varaschin, M.S., Wouters, F., Villarreal, L.Y.B., Jerez, J.A., Costa, G.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 992-995","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400030&lang=pt" 
"S0102-09352009000400029-scl","Sorodiagnóstico de doenças da reprodução em rebanhos de bovinos leiteiros de assentamentos rurais de Corumbá, MS","Tomich, R.G.P., Serra, C.V., Bomfim, M.R.Q., Campos, F.S., Lobato, Z.I.P., Pellegrin, A.O., Pellegrin, L.A., Barbosa-Stancioli, E.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 986-991","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400029&lang=pt" 
"S0102-09352009000400032-scl","Patógenos isolados do trato gastrintestinal de cães saudáveis no Rio de Janeiro","Pereira, C.S., Barros, P.R., Silva, P.M., Rodrigues, D.P.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 1000-1001","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400032&lang=pt" 
"S0102-09352009000400034-scl","Ocorrência de Contracaecum pelagicum Johnston &amp; Mawson, 1942 (Nematoda, Anisakidae), em pinguim-de-magalhães (Spheniscus magellanicus Forster, 1781) (Aves, Spheniscidae) no litoral do Espírito Santo","Ederli, N.B., Oliveira, F.C.R., Monteiro, C.M., Silveira, L.S., Rodrigues, M.L.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 1006-1008","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400034&lang=pt" 
"S0102-09352009000400002-scl","Parâmetros clínicos, hematológicos, bioquímicos e hormonais de bovinos submetidos ao estresse calórico","Ferreira, F., Campos, W.E., Carvalho, A.U., Pires, M.F.A., Martinez, M.L., Silva, M.V.G.B., Verneque, R.S., Silva, P.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 769-776","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400002&lang=pt" 
"S0102-09352009000400003-scl","Comparação entre a lidocaína e a acupuntura no tratamento da taquicardia ventricular induzida com dopamina em equinos anestesiados com halotano","Cárdenas, J.J., Luna, S.P.L., Teixeira Neto, F., Beier, S.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 777-784","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400003&lang=pt" 
