"S0430-50272015000100005-prt","Mobilidades, comércio e consumo da feira de Leiria: conflitos de uma centralidade temporária","Bernardino, Virgílio Manuel Pereira, Rocha, Márcio Mendes","Finisterra - Revista Portuguesa de Geografia; (99); 101-117","Finisterra - Revista Portuguesa de Geografia","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0430-50272015000100005&lang=pt" 
"S1809-48642015000200141-scl","Lipidomic Profiling of Mastoid Bone and Tissue from Patients with Chronic Otomastoiditis","Fazlollahi, Farbod, Kongmanas, Kessiri, Tanphaichitr, Nongnuj, Suh, Jeffrey, Faull, Kym, Gopen, Quinton","International Archives of Otorhinolaryngology; 19(2); 141-150","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200141&lang=pt" 
"S1809-48642015000200116-scl","Preoperative Imaging Modalities to Predict the Risk of Regional Nodal Recurrence in Well-Differentiated Thyroid Cancers","AlNoury, Mohammed K., Almuhayawi, Saad M., Alghamdi, Khalid B., Al-Noury, Khaled I.","International Archives of Otorhinolaryngology; 19(2); 116-120","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200116&lang=pt" 
"S1809-48642015000200156-scl","Characterization of Hearing Thresholds from 500 to 16,000 Hz in Dentists: A Comparative Study","Gonçalves, Claudia Giglio de Oliveira, Santos, Luciana, Lobato, Diolen, Ribas, Angela, Lacerda, Adriana Bender Moreira, Marques, Jair","International Archives of Otorhinolaryngology; 19(2); 156-160","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200156&lang=pt" 
"S1809-48642015000200106-scl","Teleducation about Cleft Lip and Palate: An Interdisciplinary Approach in the Promotion of Health","Corrêa, Camila de Castro, Freire, Thais, Zabeu, Júlia Speranza, Martins, Aline, Ferreira, Rafael, Francisconi, Paulo Afonso Silveira, Dutka, Jeniffer de Cássia Rillo, Blasca, Wanderléia Quinhoeiro","International Archives of Otorhinolaryngology; 19(2); 106-111","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200106&lang=pt" 
"S1980-50982015000200523-scl","Interação árvores e ventos: aspectos ecofisiológicos e silviculturais","Ataíde, Glauciana da Mata, Castro, Renato Vinícius Oliveira, Correia, Anne Caroline Guieiro, Reis, Geraldo Gonçalves dos, Reis, Maria das Graças Ferreira, Rosado, Antônio Marcos","Ciência Florestal; 25(2); 523-536","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200523&lang=pt" 
"S1984-82502015000200415-scl","Production of vegetable oil blends and structured lipids and their effect on wound healing","Ract, Juliana Neves Rodrigues, Soares, Fabiana Andreia Schäfer De Martini, Rodrigues, Hosana Gomes, Bortolon, José Ricardo, Murata, Gilson Masahiro, Gonçalves, Maria Inês Almeida, Hatanaka, Elaine, Curi, Rui, Gioielli, Luiz Antonio","Brazilian Journal of Pharmaceutical Sciences; 51(2); 415-427","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200415&lang=pt" 
"S1980-50982015000200281-scl","Aspectos epidemiológicos da podridão-de-raízes da erva-mate (Ilex paraguariensis)","Poletto, Igor, Muniz, Marlove Fátima Brião, Ceconi, Denise Ester, Poletto, Tales","Ciência Florestal; 25(2); 281-291","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200281&lang=pt" 
"S0034-83092015000100197-scl","ASILO: DIREITO DE GENTES. ESCRAVOS REFUGIADOS NO IMPÉRIO ESPANHOL","Secreto, Maria Verónica","Revista de História (São Paulo); (172); 197-219","Revista de História (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100197&lang=pt" 
"S0034-83092015000100221-scl","IMPEDIDOS DE “TRATAR DA VIDA”: OS DESAFIOS ENFRENTADOS PELOS LIBERTOS NA SOCIEDADE COLONIAL","Pinheiro, Fernanda Domingos","Revista de História (São Paulo); (172); 221-242","Revista de História (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100221&lang=pt" 
"S0034-83092015000100335-scl","MODERNISMO E CONTEXTO POLÍTICO: A RECEPÇÃO DA ARTE MODERNA NO CORREIO DA MANHÃ (1924-1937)","Cardoso, Rafael","Revista de História (São Paulo); (172); 335-365","Revista de História (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100335&lang=pt" 
"S0034-83092015000100015-scl","SER BRÂMANE NA GOA DA ÉPOCA MODERNA","Xavier, Ângela Barreto, Županov, Ines G.","Revista de História (São Paulo); (172); 15-41","Revista de História (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100015&lang=pt" 
"S0034-83092015000100043-scl","¿ALIADOS O ENEMIGOS? LAS REPRESENTACIONES DE BRASIL EN EL DEBATE PÚBLICO ARGENTINO DURANTE LA GUERRA DEL PARAGUAY 1864-1870","Baratta, Maria Victoria","Revista de História (São Paulo); (172); 43-76","Revista de História (São Paulo)","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100043&lang=pt" 
"S0034-83092015000100113-scl","REPENSANDO A ROMANIZAÇÃO: A EXPANSÃO ROMANA NA ITÁLIA A PARTIR DAS FONTES HISTORIOGRÁFICAS","Scopacasa, Rafael","Revista de História (São Paulo); (172); 113-161","Revista de História (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100113&lang=pt" 
"S0034-83092015000100243-scl","O NATURALISTA VELOSO","Kury, Lorelai B.","Revista de História (São Paulo); (172); 243-277","Revista de História (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100243&lang=pt" 
"S0034-83092015000100299-scl","ENFRENTANDO OS DESAFIOS DO MAR: A NATAÇÃO NO RIO DE JANEIRO DO SÉCULO XIX (ANOS 1850-1890)","Melo, Victor Andrade de","Revista de História (São Paulo); (172); 299-334","Revista de História (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100299&lang=pt" 
"S0034-83092015000100367-scl","TRABALHO E TRABALHADORES NO SEGUNDO GOVERNO VARGAS: AS GREVES COMO UM &quot;ANTIDIREITO&quot; (1951-1954)","Alves, Juliana Martins","Revista de História (São Paulo); (172); 367-396","Revista de História (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100367&lang=pt" 
"S1980-50982015000200293-scl","Calibração do modelo 3-PG para Eucalyptus saligna Smith na região de Guaíba - RS","Londero, Eduardo Kneipp, Schumacher, Mauro Valdir, Szymczak, Denise Andréia, Araújo, Elias Frank","Ciência Florestal; 25(2); 293-305","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200293&lang=pt" 
"S1980-50982015000200307-scl","Impacto da mancha foliar causada por Cylindrocladium candelabrum em plantios jovens de Eucalyptus benthamii em Rio Negrinho - SC","Schultz, Bruno, Sbravatti Junior, José Antonio, Auer, Celso Garcia, Santos, Álvaro Figueredo dos","Ciência Florestal; 25(2); 307-316","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200307&lang=pt" 
"S1980-50982015000200317-scl","Nutrientes foliares de espécies arbóreas na Mata Atlântica: efeito do tamanho do fragmento","Silva, Ana Paula da, Villela, Dora Maria","Ciência Florestal; 25(2); 317-325","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200317&lang=pt" 
"S1980-50982015000200327-scl","Espécies exóticas invasoras arbóreasno Parque da Barreirinha em Curitiba: registro e implicações","Mielke, Erica Costa, Negrelle, Raquel Rejane Bonato, Cuquel, Francine Lorena, Lima, Walquiria Pizatto","Ciência Florestal; 25(2); 327-336","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200327&lang=pt" 
"S1980-50982015000200337-scl","Variações estruturais entre grupos florísticos de um remanescente de floresta ombrófila mista montana em Nova Prata - RS","Callegaro, Rafael Marian, Longhi, Solon Jonas, Andrzejewski, Camila","Ciência Florestal; 25(2); 337-349","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200337&lang=pt" 
"S1980-50982015000200351-scl","Composição e abundância da avifauna em quatro fitofisionomias de área rural pertencente ao domínio da Mata Atlântica no sul do Brasil","Santos, Marcelo Fischer Barcellos dos, Cademartori, Cristina Vargas","Ciência Florestal; 25(2); 351-361","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200351&lang=pt" 
"S1980-50982015000200363-scl","Relação solo/vegetação em ambiente de cerrado sobre influência do grupo Urucuia","Silva, Renata Botelho Machado da, Francelino, Márcio Rocha, Moura, Pedro Adnet, Moura, Tom Adnet, Pereira, Marcos Gervasio, Oliveira, Camila Paula de","Ciência Florestal; 25(2); 363-373","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200363&lang=pt" 
"S1980-50982015000200375-scl","Dinâmica das características químicas de um substrato florestal exposto à irrigação","Thebaldi, Michael Silveira, Lima, Luiz Antonio, Colares, Matheus de Figueiredo Braga, Silva, Antônio Carlos da, Lima, Pedro Luiz Terra","Ciência Florestal; 25(2); 375-384","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200375&lang=pt" 
"S1980-50982015000200385-scl","Origem de brotações epicórmicas e aplicação de ácido indolilbutírico no enraizamento de estacas de Vochysia bifalcata Warm.","Rickli, Helena Cristina, Bona, Cleusa, Wendling, Ivar, Koehler, Henrique Soares, Zuffellato-Ribas, Katia Christina","Ciência Florestal; 25(2); 385-393","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200385&lang=pt" 
"S1980-50982015000200395-scl","Exatidão de dendrômetros ópticos para determinação do volume de árvores em pé","Nicoletti, Marcos Felipe, Batista, João Luis Ferreira, Carvalho, Samuel de Pádua Chaves, Castro, Tito Nunes de, Hess, André Felipe","Ciência Florestal; 25(2); 395-404","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200395&lang=pt" 
"S1980-50982015000200405-scl","Utilização de resíduos de compensados, MDF e MDP para produção de painéis aglomerados","Weber, Cristiane, Iwakiri, Setsuo","Ciência Florestal; 25(2); 405-413","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200405&lang=pt" 
"S1980-50982015000200415-scl","Influência das dimensões dos corpos de prova e da velocidade de ensaio na resistência à flexão estática de três espécies de madeiras tropicais","Melo, Julio Eustaquio de, Souza, Mario Rabelo de, Costa, Alexandre Florian da","Ciência Florestal; 25(2); 415-424","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200415&lang=pt" 
"S1980-50982015000200425-scl","Resistência de duas espécies de bambu tratadas com CCB contra cupins e coleópteros xilófagos","Tiburtino, Rogy Frigeri, Paes, Juarez Benigno, Vidaurre, Graziela Baptista, Brocco, Victor Fassina, Arantes, Marina Donária Chaves","Ciência Florestal; 25(2); 425-435","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200425&lang=pt" 
"S1980-50982015000200437-scl","Demanda dos Estados Unidos por carvão vegetal brasileiro","Heimann, Jaqueline de Paula, Dresch, Andre Ramos, Almeida, Alexandre Nascimento","Ciência Florestal; 25(2); 437-445","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200437&lang=pt" 
"S1980-50982015000200447-scl","Rendimento em laminação de madeira de Paricá na região de Paragominas, Pará","Silva, Gilson Fernandes da, Mendonça, Adriano Ribeiro de, Hoffmann, Raphael Gomes, Zaneti, Luciano Zumerli, Chichorro, José Franklim, Ferreira, Rinaldo Luiz Caraciolo","Ciência Florestal; 25(2); 447-455","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200447&lang=pt" 
"S1980-50982015000200457-scl","Estratégias na seleção simultânea de vários caracteres no melhoramento do Eucalyptus","Reis, Cristiane Aparecida Fioravante, Gonçalves, Flávia Maria Avelar, Ramalho, Magno Antonio Patto, Rosado, Antônio Marcos","Ciência Florestal; 25(2); 457-467","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200457&lang=pt" 
"S1980-50982015000200469-scl","Bioecologia de Oncideres cervina (Coleoptera: Cerambycidae) em Canela-Guaicá (Ocotea puberula: Lauraceae) na região central do Rio Grande do Sul, Brasil","Witeck Neto, Leopoldo, Link, Dionísio, Pasini, Mauricio Paulo Batistella","Ciência Florestal; 25(2); 469-476","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200469&lang=pt" 
"S1980-50982015000200477-scl","Relação solo/paisagem e sua variação temporal em uma estação experimental de silvicultura","Soares, Júlio Cesar Wincher, Reinert, Dalvan José, Reichert, José Miguel, Kaiser, Douglas Rodrigo, Minella, Jean Paolo Gomes, Gonçalves, Adriano Dicesar Martins de Araujo, Silva, Telmo Almansa, Netto, Tatiane Almeida, Bressan, Vagner Carzola","Ciência Florestal; 25(2); 477-489","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200477&lang=pt" 
"S1980-50982015000200491-scl","Registro de novas espécies de formigas (Hymenoptera: Formicidae) no Estado do Rio Grande do Sul","Fleck, Marciane Danniela, Cantarelli, Edison Bisognin, Granzotto, Fabiane","Ciência Florestal; 25(2); 491-499","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200491&lang=pt" 
"S1980-50982015000200501-scl","First record of Eucalyptus spp. bark-stripping by Brown-capuchin monkeys (Sapajus nigritus, Primates: Cebidae)","Liebsch, Dieter, Mikich, Sandra Bos","Ciência Florestal; 25(2); 501-505","Ciência Florestal","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200501&lang=pt" 
"S1980-50982015000200507-scl","Qualidade dos taninos de Jurema-preta (Mimosa tenuiflora) para a produção de adesivo tanino formaldeído","Azevêdo, Tatiane Kelly Barbosa de, Paes, Juarez Benigno, Calegari, Leandro, Nascimento, José Wallace Barbosa do","Ciência Florestal; 25(2); 507-514","Ciência Florestal","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982015000200507&lang=pt" 
"S1984-82502015000200265-scl","Applications of USP apparatus 3 in assessing the in vitro release of solid oral dosage forms","Pezzini, Bianca Ramos, Issa, Michele Georges, Duque, Marcelo Dutra, Ferraz, Humberto Gomes","Brazilian Journal of Pharmaceutical Sciences; 51(2); 265-272","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200265&lang=pt" 
"S1984-82502015000200273-scl","Development and validation of analytical methodology with focus on the qualification of powder mixers","Fiorante, Pedro de Freitas, Martins, Rodrigo Dias, Palma, Mauri Sergio Alves","Brazilian Journal of Pharmaceutical Sciences; 51(2); 273-284","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200273&lang=pt" 
"S1984-82502015000200285-scl","Differential pulse voltammetric determination of diclofenac in pharmaceutical preparations and human serum","Yilmaz, Bilal, Kaban, Selcuk, Akcay, Bilge Kagan, Ciltas, Ulvihan","Brazilian Journal of Pharmaceutical Sciences; 51(2); 285-294","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200285&lang=pt" 
"S1984-82502015000200295-scl","Caffeine increases Nr1i3 expression and potentiates the effects of its ligand, TCPOBOP, in mice liver","Fukumasu, Heidge, Rochetti, Arina Lázaro, Latorre, Andreia Oliveira, Pires, Pedro Ratto Lisboa, Silva, Tereza Cristina, Dagli, Maria Lucia Zaidan","Brazilian Journal of Pharmaceutical Sciences; 51(2); 295-303","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200295&lang=pt" 
"S1984-82502015000200305-scl","Pharmacokinetic-pharmacodynamic correlation of imipenem in pediatric burn patients using a bioanalytical liquid chromatographic method","Santos, Silvia Regina Cavani Jorge, Sanches-Giraud, Cristina, Silva Júnior, Carlindo Vieira, Gomez, David Souza","Brazilian Journal of Pharmaceutical Sciences; 51(2); 305-315","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200305&lang=pt" 
"S1984-82502015000200329-scl","Adherence to medication before and after the use of a Drug-Dispensing System with usage control","Vieira, Liliana Batista, Ueta, Julieta, Pereira, Leonardo Régis Leira","Brazilian Journal of Pharmaceutical Sciences; 51(2); 329-337","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200329&lang=pt" 
"S1984-82502015000200339-scl","Production, quality control, biodistribution assessment and preliminary dose evaluation of [177Lu]-tetra phenyl porphyrin complex as a possible therapeutic agent","Zolghadri, Samaneh, Yousefnia, Hassan, Jalilian, Amir Reza, Fazaeli, Yousef","Brazilian Journal of Pharmaceutical Sciences; 51(2); 339-348","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200339&lang=pt" 
"S1984-82502015000200349-scl","Development of alternative methods for the determination of raloxifene hydrochloride in tablet dosage form","Salazar, Fernanda Rodrigues, Codevilla, Cristiane Franco, Meneghini, Leonardo, Bergold, Ana Maria","Brazilian Journal of Pharmaceutical Sciences; 51(2); 349-360","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200349&lang=pt" 
"S1984-82502015000200361-scl","Prevalence of hemoglobinopathies in school children: the importance of using confirmatory methods","Tavares, Cristiane Fernandes de Freitas, Guimarães, Jacqueline da Silva, Souza, Ana Maria de","Brazilian Journal of Pharmaceutical Sciences; 51(2); 361-366","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200361&lang=pt" 
"S1984-82502015000200367-scl","Can mouth washes containing chlorhexidine 0.12% be used as synonym of a water solution of chlorhexidine 0.12%?","Suffredini, Ivana Barbosa, Saraceni, Cintia Helena Coury, Díaz, Ingrit Elida Collantes","Brazilian Journal of Pharmaceutical Sciences; 51(2); 367-372","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200367&lang=pt" 
"S1984-82502015000200373-scl","Formulation and evaluation of transdermal drug-delivery system of isosorbide dinitrate","Zhan, Xiaoping, Mao, Zhenmin, Chen, Sijing, Chen, Shaoxiong, Wang, Liqun","Brazilian Journal of Pharmaceutical Sciences; 51(2); 373-382","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200373&lang=pt" 
"S1984-82502015000200383-scl","Dissolution efficiency and bioequivalence study using urine data from healthy volunteers: a comparison between two tablet formulations of cephalexin","Serra, Cristina Helena dos Reis, Chang, Kyung Hee, Dezani, Thaisa Marinho, Porta, Valentina, Storpirtis, Sílvia","Brazilian Journal of Pharmaceutical Sciences; 51(2); 383-392","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200383&lang=pt" 
"S1984-82502015000200393-scl","Stir bar-sorptive extraction, solid phase extraction and liquid-liquid extraction for levetiracetam determination in human plasma: comparing recovery rates","Freitas-Lima, Priscila, Ferreira, Flavia Isaura Santi, Bertucci, Carlo, Alexandre Júnior, Veriano, Dreossi, Sônia Aparecida Carvalho, Pereira, Leonardo Regis Leira, Sakamoto, Américo Ceiki, Queiroz, Regina Helena Costa","Brazilian Journal of Pharmaceutical Sciences; 51(2); 393-401","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200393&lang=pt" 
"S1984-82502015000200403-scl","Review of the efficacy and safety of over-the-counter medicine","Halila, Gerusa Clazer, Czepula, Alexandra Ingrid dos Santos, Otuki, Michel Fleith, Correr, Cassyano Januário","Brazilian Journal of Pharmaceutical Sciences; 51(2); 403-414","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200403&lang=pt" 
"S1984-82502015000200429-scl","A simple and sensitive method for determination of Norfloxacin in pharmaceutical preparations","Ye, Zhuo, Wang, Le, Wen, Jianguo","Brazilian Journal of Pharmaceutical Sciences; 51(2); 429-437","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200429&lang=pt" 
"S1984-82502015000200439-scl","A novel 96-microwell-based high-throughput spectrophotometric assay for pharmaceutical quality control of crizotinib, a novel potent drug for the treatment of non-small cell lung cancer","Wani, Tanveer Ahmed, Darwish, Ibrahim Ali","Brazilian Journal of Pharmaceutical Sciences; 51(2); 439-447","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200439&lang=pt" 
"S1984-82502015000200449-scl","Development, characterization and evaluation of the dissolution profile of sulfasalazine suspensions","Costa, Mayre Aparecida Borges da, Villa, Ana Lucia Vazquez, Barros, Rita de Cássia da Silva Ascenção, Ricci-Júnior, Eduardo, Santos, Elisabete Pereira dos","Brazilian Journal of Pharmaceutical Sciences; 51(2); 449-459","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200449&lang=pt" 
"S1984-82502015000200467-scl","Atorvastatin calcium loaded chitosan nanoparticles: in vitro evaluation and in vivo pharmacokinetic studies in rabbits","Ahmed, Abdul Baquee, Konwar, Ranjit, Sengupta, Rupa","Brazilian Journal of Pharmaceutical Sciences; 51(2); 467-477","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200467&lang=pt" 
"S1984-82502015000200479-scl","Residues of &lt;italic&gt;Citrus sinensis&lt;/italic&gt; (L.) Osbeck as agents that cause a change in antioxidant defense in plants","Nunes, Patrícia Mayra Pavan, Silva, Cristiane Bezerra da, Paula, Cristiane da Silva, Smolarek, Fernanda Ferreira, Zeviani, Walmes Marques, Chaves, Suelen Cristina, Lorini, Fernando, Dias, Josiane de Fátima Gaspari, Miguel, Obdulio Gomes, Zanin, Sandra Maria Warumby, Miguel, Marilis Dallarmi","Brazilian Journal of Pharmaceutical Sciences; 51(2); 479-493","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200479&lang=pt" 
"S2007-50572015000200010-mex","Segundo Congreso Latinoamericano en Educación de Residentes LACRE 2015","","Investigación en educación médica; 4(14); e1-e28","Investigación en educación médica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-50572015000200010&lang=pt" 
"S2007-50572015000200009-mex","Segundo Congreso Latinoamericano en Educación de Residentes LACRE 2015","","Investigación en educación médica; 4(14); 108-115","Investigación en educación médica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-50572015000200009&lang=pt" 
"S2007-50572015000200001-mex","De estudiante a especialista: ¿salto cuántico o paso de tortuga?","Sánchez Mendiola, Melchor","Investigación en educación médica; 4(14); 53-54","Investigación en educación médica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-50572015000200001&lang=pt" 
"S0366-69132015000200001-scl","Editorial","Muccillo, R.","Cerâmica; 61(358); 1-1","Cerâmica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200001&lang=pt" 
"S0101-73302015000200479-scl","Ser-se rio, vento, mulher, e o que quiser: a individuação e a formação de professores","Dalmaso, Alice Copetti, Freitas, Deisi Sangoi, Schmidt, Magda","Educação &amp; Sociedade; 36(131); 479-491","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200479&lang=pt" 
"S0366-69132015000200219-scl","Wettability of graphite by synthetic and industrial PGM-furnace matte","Thethwayo, B. M., Cromarty, R. D.","Cerâmica; 61(358); 219-223","Cerâmica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200219&lang=pt" 
"S0366-69132015000200199-scl","Influência da rota alcoólica e razão tensoativo/argila no processo de organofilização de argilas bentoníticas e em suas propriedades reológicas em meios não aquosos","Dantas, S. L. A., Marques, K. A., Ferreira, H. S.","Cerâmica; 61(358); 199-205","Cerâmica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200199&lang=pt" 
"S0366-69132015000200269-scl","Estudo da sinterização de nanopartículas por microscopia eletrônica de transmissão in situ","Cordeiro, M. A. L., Leite, E. R.","Cerâmica; 61(358); 269-275","Cerâmica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200269&lang=pt" 
"S0366-69132015000200206-scl","Preparação e caracterização de sistemas chamote/argila visando o reaproveitamento de descartes industriais","Morais, M. D. P de, Macedo, R. S., Raposo, C. M. O.","Cerâmica; 61(358); 206-212","Cerâmica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200206&lang=pt" 
"S0366-69132015000200236-scl","Sensibilidade à secagem da matéria-prima cerâmica da Formação Corumbataí na região do Polo Cerâmico de Santa Gertrudes, SP","Azzi, A. A., Curtolo, M. Z., Zanardo, A.","Cerâmica; 61(358); 236-243","Cerâmica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200236&lang=pt" 
"S2007-50572015000200004-mex","Desempeño histórico de egresados de una universidad mexicana en el examen de residencias médicas, 2001-2013","Jiménez-Sastré, Alejandro, Quevedo-Tejero, Elsy del Carmen, Hernández-Ortega, Hilda María, Fócil-Némiga, Eduardo, Zavala-González, Marco Antonio","Investigación en educación médica; 4(14); 69-74","Investigación en educación médica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-50572015000200004&lang=pt" 
"S2007-50572015000200007-mex","Construcción de mallas por competencias para el curso de fisiología","Rillo, Arturo G., Martínez-Carrillo, Beatriz Elina, de Hoyos Martinez, Luis Guillermo, Arceo Guzman, Mario E., Elizalde Valdés, Victor Manuel, Jaimes García, Javier","Investigación en educación médica; 4(14); 88-98","Investigación en educación médica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-50572015000200007&lang=pt" 
