"S0718-84712015000100019-chl","Georgios Kanarakis (Editor): El aporte diacrònico del griego a otras lenguas","Castillo Didier, Miguel","Byzantion nea hellás; (34); 359-361","Byzantion nea hellás","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-84712015000100019&lang=pt" 
"S1130-63432015000500005-esp","Economic evaluation in collaborative hospital drug evaluation reports","Ortega, Ana, Fraga, María Dolores, Marín-Gil, Roberto, López-Briz, Eduardo, Puigventós, Francesc, Dranitsaris, George","Farmacia Hospitalaria; 39(5); 288-296","Farmacia Hospitalaria","Inglês","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432015000500005&lang=pt" 
"S1130-63432015000500003-esp","Validación de la conservación de la cadena de frío durante la distribución de mezclas de nutrición parenteral","Tuan, Federico, Perone, Virginia, Verdini, Rocío, Pell, María Betina, Traverso, María Luz","Farmacia Hospitalaria; 39(5); 269-274","Farmacia Hospitalaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432015000500003&lang=pt" 
"S0213-91112015000500005-spa","Menú escolar de los centros de enseñanza secundaria de Madrid: conocimiento y cumplimiento de las recomendaciones del Sistema Nacional de Salud","Berradre-Sáenz, Belén, Royo-Bordonada, Miguel Ángel, Bosqued, María José, Moya, María Ángeles, López, Lázaro","Gaceta Sanitaria; 29(5); 341-346","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500005&lang=pt" 
"S0213-91112015000500007-spa","Estimating trends in the prevalence of problematic cocaine use (1999-2008)","Espelt, Albert, Domingo-Salvany, Antònia, Sánchez-Niubó, Albert, Marí-Dell&#039;Olmo, Marc, Brugal, M. Teresa","Gaceta Sanitaria; 29(5); 353-357","Gaceta Sanitaria","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500007&lang=pt" 
"S0213-91112015000500014-spa","Elaboración de una herramienta para la vigilancia de indicadores de calidad de la docencia en la formación especializada de Medicina Preventiva y Salud Pública","Gil-Borrelli, Christian Carlo, Latasa, Pello, Reques, Laura, Alemán, Guadalupe","Gaceta Sanitaria; 29(5); 387-389","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500014&lang=pt" 
"S0213-91112015000500010-spa","Algo no estamos haciendo bien cuando informamos a los/las pacientes tras un evento adverso","Mira, José Joaquín, Lorenzo, Susana","Gaceta Sanitaria; 29(5); 370-374","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500010&lang=pt" 
"S0213-91112015000500004-spa","El uso de Facebook en asociaciones españolas de enfermedades raras: ¿cómo y para qué lo utilizan?","Armayones, Manuel, Requena, Samantha, Gómez-Zúñiga, Beni, Pousada, Modesta, Bañón, Antonio M.","Gaceta Sanitaria; 29(5); 335-340","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500004&lang=pt" 
"S0213-91112015000500013-spa","Factores asociados a recibir la vacunación antigripal en profesionales de atención primaria","Montserrat-Capdevila, Josep, Godoy, Pere, Marsal, Josep Ramon, Barbé-Illa, Ferran","Gaceta Sanitaria; 29(5); 383-386","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500013&lang=pt" 
"S0213-91112015000500012-spa","Measuring precarious employment in times of crisis: the revised Employment Precariousness Scale (EPRES) in Spain","Vives, Alejandra, González, Francisca, Moncada, Salvador, Llorens, Clara, Benach, Joan","Gaceta Sanitaria; 29(5); 379-382","Gaceta Sanitaria","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500012&lang=pt" 
"S0213-91112015000500008-spa","Prevalencia y predictores del consumo de sustancias psicoactivas entre varones en prisión","Caravaca-Sánchez, Francisco, Falcón Romero, María, Luna, Aurelio","Gaceta Sanitaria; 29(5); 358-363","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500008&lang=pt" 
"S0213-91112015000500011-spa","La precariedad laboral medida de forma multidimensional: distribución social y asociación con la salud en Cataluña","Benach, Joan, Julià, Mireia, Tarafa, Gemma, Mir, Jordi, Molinero, Emilia, Vives, Alejandra","Gaceta Sanitaria; 29(5); 375-378","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500011&lang=pt" 
"S0213-91112015000500015-spa","Electronic clinical records in primary care for estimating disease burden and management: an example of COPD","Verde-Remeseiro, Luis, López-Pardo, Estrella, Ruano-Ravina, Alberto, Gude-Sampedro, Francisco, Castro-Calvo, Ramón","Gaceta Sanitaria; 29(5); 390-392","Gaceta Sanitaria","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000500015&lang=pt" 
"S1130-63432015000500001-esp","Seguridad en el paciente: prescripción de fármacos que prolongan el intervalo QT","Hernández-Arroyo, María Jesús, Díaz-Madero, Alfonso, Menacho-Miguel, David","Farmacia Hospitalaria; 39(5); 227-239","Farmacia Hospitalaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432015000500001&lang=pt" 
"S1018-130X2015000400002-per","Nivel de conocimiento y frecuencia de autoexamen de mama en alumnos de los primeros años de la carrera de Medicina","Carrillo-Larco, Rodrigo M., Espinoza-Salguero, Manuel E., Avilez, José, Osada, Jorge","Revista Medica Herediana; 26(4); 209-216","Revista Medica Herediana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2015000400002&lang=pt" 
"S1018-130X2015000400004-per","Investigaciones científicas en Geriatría y Gerontología en el Perú, 2002-2013","Varela-Pinedo, Luis, Ortiz-Saavedra, Pedro, Tello-Rodríguez, Tania, Chávez-Jimeno, Helver, Aliaga-Díaz, Elizabeth, Casas-Vasquez, Paola, Galvez-Cano, Miguel, Segura-Chorres, Luis, Ciudad-Fernandez, Luis","Revista Medica Herediana; 26(4); 222-229","Revista Medica Herediana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2015000400004&lang=pt" 
"S1018-130X2015000400005-per","Frecuencia de anticuerpos anti Toxoplasma gondii en gestantes de Cúcuta, Colombia","Cárdenas, Denny, Lozano, Claudia, Castillo, Zaida, Cedeño, Jessenia, Galvis, Viannis, Rios, Jessica, Tórres, Madalhene","Revista Medica Herediana; 26(4); 230-237","Revista Medica Herediana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2015000400005&lang=pt" 
"S1018-130X2015000400009-per","Caso clínico 02-2015: Varón de 56 años con lesiones dérmicas progresivas, enfermedad pulmonar intersticial, compromiso óseo y mononeuropatía múltiple","Soto, Leslie, Oshiro, Enrique, Gálvez, Aldo, Ramos, César, Mejía, Fernando, Vásquez, Sergio","Revista Medica Herediana; 26(4); 256-266","Revista Medica Herediana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2015000400009&lang=pt" 
"S0102-311X2015001202211-spa","Estimativas de cobertura de óbitos e da mortalidade adulta em Moçambique a partir de dados censitários","Alberto, Serafim Adriano, Queiroz, Bernardo Lanza","Cadernos de Saúde Pública; 31(10); 2211-2222","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202211&lang=pt" 
"S0102-311X2015001202099-spa","An impact assessment of the Child Growth, Development and Care Program in the Caribbean Region of Colombia","Padilla, Alcides de J., Trujillo, Juan C.","Cadernos de Saúde Pública; 31(10); 2099-2109","Cadernos de Saúde Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202099&lang=pt" 
"S0102-311X2015001202093-spa","Adaptação transcultural de escalas de aderência ao tratamento em hemodiálise: Renal Adherence Behaviour Questionnaire (RABQ) e Renal Adherence Attitudes Questionnaire (RAAQ)","Machado, Inês Maria de Jesus, Bandeira, Marina Bittencourt, Pinheiro, Hélady Sanders, Dutra, Nathália dos Santos","Cadernos de Saúde Pública; 31(10); 2093-2098","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202093&lang=pt" 
"S0102-311X2015001002093-scl","Adaptação transcultural de escalas de aderência ao tratamento em hemodiálise: Renal Adherence Behaviour Questionnaire (RABQ) e Renal Adherence Attitudes Questionnaire (RAAQ)","Machado, Inês Maria de Jesus, Bandeira, Marina Bittencourt, Pinheiro, Hélady Sanders, Dutra, Nathália dos Santos","Cadernos de Saúde Pública; 31(10); 2093-2098","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002093&lang=pt" 
"S0102-311X2015001202127-spa","Study of implementation and direct cost estimates for diagnostic tests for human visceral leishmaniasis in an urban area in Brazil","Assis, Tália Santana Machado de, Guimarães, Paloma Nogueira, Oliveira, Edward, Peruhype-Magalhães, Vanessa, Gomes, Luciana Inácia, Rabello, Ana","Cadernos de Saúde Pública; 31(10); 2127-2136","Cadernos de Saúde Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202127&lang=pt" 
"S0102-311X2015001002137-scl","A avaliação da produção científica nas subáreas da Saúde Coletiva: limites do atual modelo e contribuições para o debate","Iriart, Jorge Alberto Bernstein, Deslandes, Suely Ferreira, Martin, Denise, Camargo Jr., Kenneth Rochel de, Carvalho, Marilia Sá, Coeli, Cláudia Medina","Cadernos de Saúde Pública; 31(10); 2137-2147","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002137&lang=pt" 
"S0102-311X2015001002241-scl","Investigação de surto de sarampo no Estado do Pará na era da eliminação da doença no Brasil","Jesus, Hiane Santos de, Nascimento, Gilmara Lima, Rosa, Fabiano Marques, Santos, Deise Aparecida dos","Cadernos de Saúde Pública; 31(10); 2241-2246","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002241&lang=pt" 
"S0102-311X2015001202148-spa","O sistema médico Sanumá-Yanomami e sua interação com as práticas biomédicas de atenção à saúde","Guimarães, Sílvia Maria Ferreira","Cadernos de Saúde Pública; 31(10); 2148-2156","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202148&lang=pt" 
"S0102-311X2015001202223-spa","Mujeres trabajadoras con dolor crónico osteomuscular: análisis de caso","Ordóñez-Hernández, Cecilia Andrea, Contreras-Estrada, Mónica Isabel, Soltero-Avelar, Ruben","Cadernos de Saúde Pública; 31(10); 2223-2233","Cadernos de Saúde Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202223&lang=pt" 
"S0102-311X2015001002148-scl","O sistema médico Sanumá-Yanomami e sua interação com as práticas biomédicas de atenção à saúde","Guimarães, Sílvia Maria Ferreira","Cadernos de Saúde Pública; 31(10); 2148-2156","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002148&lang=pt" 
"S0102-311X2015001202047-spa","Conferência Nacional de Saúde: desafios para o país","Gadelha, Paulo","Cadernos de Saúde Pública; 31(10); 2047-2058","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202047&lang=pt" 
"S0102-311X2015001002039-scl","Conflitos de interesse em alimentação e nutrição","Gomes, Fabio da Silva","Cadernos de Saúde Pública; 31(10); 2039-2046","Cadernos de Saúde Pública","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002039&lang=pt" 
"S0102-311X2015001202137-spa","A avaliação da produção científica nas subáreas da Saúde Coletiva: limites do atual modelo e contribuições para o debate","Iriart, Jorge Alberto Bernstein, Deslandes, Suely Ferreira, Martin, Denise, Camargo Jr., Kenneth Rochel de, Carvalho, Marilia Sá, Coeli, Cláudia Medina","Cadernos de Saúde Pública; 31(10); 2137-2147","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202137&lang=pt" 
"S0102-311X2015001202235-spa","Atividade física e escore de risco de Framingham entre idosos: Projeto Bambuí","Santana, Jaqueline de Oliveira, Ramalho, Juciany Rodrigues de Oliveira, Firmo, Josélia Oliveira Araújo, Lima-Costa, Maria Fernanda, Peixoto, Sérgio Viana","Cadernos de Saúde Pública; 31(10); 2235-2240","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202235&lang=pt" 
"S0102-311X2015001202169-spa","A evolução da carga de causas externas no Brasil: uma comparação entre os anos de 1998 e 2008","Mendes, Luiz Villarinho Pereira, Campos, Mônica Rodrigues, von-Doellinger, Vanessa dos Reis, Mota, Jurema Corrêa da, Pimentel, Thiago Góes, Schramm, Joyce Mendes de Andrade","Cadernos de Saúde Pública; 31(10); 2169-2184","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202169&lang=pt" 
"S0102-311X2015001202110-spa","Exposição a radiações eletromagnéticas não ionizantes da telefonia celular e sintomas psiquiátricos","Silva, Denize Francisca da, Barros, Warley Rocha, Almeida, Maria da Conceição Chagas de, Rêgo, Marco Antônio Vasconcelos","Cadernos de Saúde Pública; 31(10); 2110-2126","Cadernos de Saúde Pública","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202110&lang=pt" 
"S0102-311X2015001002047-scl","Conferência Nacional de Saúde: desafios para o país","Gadelha, Paulo","Cadernos de Saúde Pública; 31(10); 2047-2058","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002047&lang=pt" 
"S0102-311X2015001002235-scl","Atividade física e escore de risco de Framingham entre idosos: Projeto Bambuí","Santana, Jaqueline de Oliveira, Ramalho, Juciany Rodrigues de Oliveira, Firmo, Josélia Oliveira Araújo, Lima-Costa, Maria Fernanda, Peixoto, Sérgio Viana","Cadernos de Saúde Pública; 31(10); 2235-2240","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002235&lang=pt" 
"S0102-311X2015001202185-spa","Avaliação da efetividade da promoção da atividade física por agentes comunitários de saúde em visitas domiciliares","Costa, Evelyn Fabiana, Andrade, Douglas Roque, Garcia, Leandro Martin Totaro, Ribeiro, Evelyn Helena Corgosinho, Santos, Taynã Ishi dos, Florindo, Alex Antonio","Cadernos de Saúde Pública; 31(10); 2185-2198","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202185&lang=pt" 
"S0102-311X2015001002211-scl","Estimativas de cobertura de óbitos e da mortalidade adulta em Moçambique a partir de dados censitários","Alberto, Serafim Adriano, Queiroz, Bernardo Lanza","Cadernos de Saúde Pública; 31(10); 2211-2222","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002211&lang=pt" 
"S0102-311X2015001002099-scl","An impact assessment of the Child Growth, Development and Care Program in the Caribbean Region of Colombia","Padilla, Alcides de J., Trujillo, Juan C.","Cadernos de Saúde Pública; 31(10); 2099-2109","Cadernos de Saúde Pública","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002099&lang=pt" 
"S0102-311X2015001002110-scl","Exposição a radiações eletromagnéticas não ionizantes da telefonia celular e sintomas psiquiátricos","Silva, Denize Francisca da, Barros, Warley Rocha, Almeida, Maria da Conceição Chagas de, Rêgo, Marco Antônio Vasconcelos","Cadernos de Saúde Pública; 31(10); 2110-2126","Cadernos de Saúde Pública","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002110&lang=pt" 
"S0102-311X2015001202199-spa","Prevalência e fatores associados à infecção pelo Mycobacterium tuberculosis entre agentes comunitários de saúde no Brasil, usando-se a prova tuberculínica","Rogerio, Wesley Pereira, Prado, Thiago Nascimento do, Souza, Fernanda Mattos de, Pinheiro, Jair dos Santos, Rodrigues, Patrícia Marques, Sant’anna, Amanda Pissinate do Nascimento, Jesus, Kássia Gomes de, Cerutti Junior, Crispim, Lima, Rita de Cássia Duarte, Maciel, Ethel Leonor Noia","Cadernos de Saúde Pública; 31(10); 2199-2210","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202199&lang=pt" 
"S0102-311X2015001002169-scl","A evolução da carga de causas externas no Brasil: uma comparação entre os anos de 1998 e 2008","Mendes, Luiz Villarinho Pereira, Campos, Mônica Rodrigues, von-Doellinger, Vanessa dos Reis, Mota, Jurema Corrêa da, Pimentel, Thiago Góes, Schramm, Joyce Mendes de Andrade","Cadernos de Saúde Pública; 31(10); 2169-2184","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002169&lang=pt" 
"S0102-311X2015001002223-scl","Mujeres trabajadoras con dolor crónico osteomuscular: análisis de caso","Ordóñez-Hernández, Cecilia Andrea, Contreras-Estrada, Mónica Isabel, Soltero-Avelar, Ruben","Cadernos de Saúde Pública; 31(10); 2223-2233","Cadernos de Saúde Pública","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002223&lang=pt" 
"S0102-311X2015001202073-spa","Maternal obesity and offspring body composition by indirect methods: a systematic review and meta-analysis","Castillo-Laura, Helen, Santos, Iná S., Quadros, Lenice C. M., Matijasevich, Alicia","Cadernos de Saúde Pública; 31(10); 2073-2092","Cadernos de Saúde Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202073&lang=pt" 
"S0102-311X2015001002127-scl","Study of implementation and direct cost estimates for diagnostic tests for human visceral leishmaniasis in an urban area in Brazil","Assis, Tália Santana Machado de, Guimarães, Paloma Nogueira, Oliveira, Edward, Peruhype-Magalhães, Vanessa, Gomes, Luciana Inácia, Rabello, Ana","Cadernos de Saúde Pública; 31(10); 2127-2136","Cadernos de Saúde Pública","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002127&lang=pt" 
"S0102-311X2015001202157-spa","Fatores associados à adesão à vacinação anti-influenza em idosos não institucionalizados, São Paulo, Brasil","Moura, Roudom Ferreira, Andrade, Fabíola Bof de, Duarte, Yeda Aparecida Oliveira, Lebrão, Maria Lúcia, Antunes, José Leopoldo Ferreira","Cadernos de Saúde Pública; 31(10); 2157-2168","Cadernos de Saúde Pública","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202157&lang=pt" 
"S0102-311X2015001202064-spa","As conferências de saúde: desafios à democracia participativa","Bahia, Ligia","Cadernos de Saúde Pública; 31(10); 2064-2065","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202064&lang=pt" 
"S1018-130X2015000400007-per","Efecto de la fisioterapia en una paciente con Síndrome de Sotos: Reporte de caso","Camacho-Conchucos, Herminio Teófilo","Revista Medica Herediana; 26(4); 242-245","Revista Medica Herediana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X2015000400007&lang=pt" 
"S0102-311X2015001202071-spa","O autor responde","Gadelha, Paulo","Cadernos de Saúde Pública; 31(10); 2071-2072","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202071&lang=pt" 
"S0102-311X2015001002066-scl","Anotações sobre o artigo de Paulo Gadelha","Costa, Ana Maria","Cadernos de Saúde Pública; 31(10); 2066-2067","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002066&lang=pt" 
"S0102-311X2015001002037-scl","Sobre sentimentos, aprendizados e compromissos editoriais","Carvalho, Marilia Sá, Coeli, Cláudia Medina, Lima, Luciana Dias de","Cadernos de Saúde Pública; 31(10); 2037-2037","Cadernos de Saúde Pública","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002037&lang=pt" 
"S0102-311X2015001202068-spa","O papel decisivo da 15a Conferência Nacional de Saúde na defesa do Sistema Único de Saúde","Cortes, Soraya Vargas","Cadernos de Saúde Pública; 31(10); 2068-2069","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202068&lang=pt" 
"S0102-311X2015001002068-scl","O papel decisivo da 15a Conferência Nacional de Saúde na defesa do Sistema Único de Saúde","Cortes, Soraya Vargas","Cadernos de Saúde Pública; 31(10); 2068-2069","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002068&lang=pt" 
"S0102-311X2015001002071-scl","O autor responde","Gadelha, Paulo","Cadernos de Saúde Pública; 31(10); 2071-2072","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002071&lang=pt" 
"S0102-311X2015001002064-scl","As conferências de saúde: desafios à democracia participativa","Bahia, Ligia","Cadernos de Saúde Pública; 31(10); 2064-2065","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002064&lang=pt" 
"S0102-311X2015001202066-spa","Anotações sobre o artigo de Paulo Gadelha","Costa, Ana Maria","Cadernos de Saúde Pública; 31(10); 2066-2067","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202066&lang=pt" 
"S0102-311X2015001202037-spa","Sobre sentimentos, aprendizados e compromissos editoriais","Carvalho, Marilia Sá, Coeli, Cláudia Medina, Lima, Luciana Dias de","Cadernos de Saúde Pública; 31(10); 2037-2037","Cadernos de Saúde Pública","Inglês, Português, Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202037&lang=pt" 
"S0102-311X2015001202241-spa","Investigação de surto de sarampo no Estado do Pará na era da eliminação da doença no Brasil","Jesus, Hiane Santos de, Nascimento, Gilmara Lima, Rosa, Fabiano Marques, Santos, Deise Aparecida dos","Cadernos de Saúde Pública; 31(10); 2241-2246","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202241&lang=pt" 
"S0102-311X2015001002059-scl","Reconhecer e superar os limites da participação institucionalizada","Escorel, Sarah","Cadernos de Saúde Pública; 31(10); 2059-2062","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015001002059&lang=pt" 
"S0102-311X2015001202069-spa","Debate","Coelho, Vera Schattan P.","Cadernos de Saúde Pública; 31(10); 2069-2071","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001202069&lang=pt" 
"S1806-37132015000500449-scl","Control measures to trace ≤ 15-year-old contacts of index cases of active pulmonary tuberculosis","Oliveira, Cláudia Di Lorenzo, Melo, Angelita Cristine de, Oliveira, Lílian Ruth Silva de, Froede, Emerson Lopes, Camargos, Paulo","Jornal Brasileiro de Pneumologia; 41(5); 449-453","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500449&lang=pt" 
"S1806-37132015000500473-scl","Acute invasive pulmonary aspergillosis, shortly after occupational exposure to polluted muddy water, in a previously healthy subject","Pilaniya, Vikas, Gera, Kamal, Gothi, Rajesh, Shah, Ashok","Jornal Brasileiro de Pneumologia; 41(5); 473-477","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500473&lang=pt" 
"S1806-37132015000500482-scl","Bronchiectasis caused by common variable immunodeficiency","Divino, Paulo Henrique do Amor, Basilio, José Henrique de Carvalho, Fabbri, Renato Moraes Alves, Polônio, Igor Bastos, Forte, Wilma Carvalho Neves","Jornal Brasileiro de Pneumologia; 41(5); 482-483","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500482&lang=pt" 
"S0120-87482015000400008-col","Cutis verticis gyrata in adult male institutionalized population in colombia. Case series","Hernández, José Fernando, Espejo Jiménez, Lina María, Correa Díaz, Ruth Liliana, de la Espriella, Ricardo","Acta Neurológica Colombiana; 31(4); 404-411","Acta Neurológica Colombiana","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-87482015000400008&lang=pt" 
"S0120-87482015000400005-col","Estado actual de la esclerosis múltiple en Colombia","Jiménez-Pérez, Cheryl E, Zarco-Montero, Luis A, Castañeda-Cardona, Camilo, Otálora Esteban, Margarita, Martínez, Andrea, Rosselli, Diego","Acta Neurológica Colombiana; 31(4); 385-390","Acta Neurológica Colombiana","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-87482015000400005&lang=pt" 
"S0120-87482015000400001-col","Guía de práctica clínica: a propósito del ACV isquémico","Silva Sieger, Federico A","Acta Neurológica Colombiana; 31(4); 361-362","Acta Neurológica Colombiana","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-87482015000400001&lang=pt" 
"S0120-87482015000400011-col","Conectividad funcional en un paciente con alucinaciones complejas. Un caso de autoscopia","Ochoa, John Fredy, Ascencio, José Luis, Zapata, Jose F","Acta Neurológica Colombiana; 31(4); 423-431","Acta Neurológica Colombiana","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-87482015000400011&lang=pt" 
"S1806-37132015000500440-scl","Factors predictive of obstructive sleep apnea in patients undergoing pre-operative evaluation for bariatric surgery and referred to a sleep laboratory for polysomnography","Duarte, Ricardo Luiz de Menezes, Magalhães-da-Silveira, Flavio José","Jornal Brasileiro de Pneumologia; 41(5); 440-448","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500440&lang=pt" 
"S1806-37132015000500410-scl","Diagnostic value of endobronchial ultrasound-guided transbronchial needle aspiration in various lung diseases","Ortakoylu, Mediha Gonenc, Iliaz, Sinem, Bahadir, Ayse, Aslan, Asuman, Iliaz, Raim, Ozgul, Mehmet Akif, Urer, Halide Nur","Jornal Brasileiro de Pneumologia; 41(5); 410-414","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500410&lang=pt" 
"S1806-37132015000500415-scl","Sarcopenia in COPD: relationship with COPD severity and prognosis","Costa, Tatiana Munhoz da Rocha Lemos, Costa, Fabio Marcelo, Moreira, Carolina Aguiar, Rabelo, Leda Maria, Boguszewski, César Luiz, Borba, Victória Zeghbi Cochenski","Jornal Brasileiro de Pneumologia; 41(5); 415-421","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500415&lang=pt" 
