"S1405-91932015000100001-mex","Las características jurídicas del neoliberalismo","Cárdenas Gracia, Jaime","Cuestiones constitucionales; (32); 3-44","Cuestiones constitucionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-91932015000100001&lang=pt" 
"S1135-57272015000300002-esp","Cuestiones controvertidas en evaluación económica (III). Intervenciones sanitarias en tres situaciones especiales: enfermedades raras, tratamientos al final de la vida y externalidades en las evaluaciones","Espín Balbino, Jaime, Brosa Riestra, Max, Oliva Moreno, Juan, Trapero-Bertran, Marta","Revista Española de Salud Pública; 89(3); 237-247","Revista Española de Salud Pública","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272015000300002&lang=pt" 
"S1135-57272015000300005-esp","Medidas de exposición a la movilidad en las lesiones graves por tráfico en la Comunidad de Madrid","Velázquez Buendía, Luis, Domínguez-Berjón, María Felicitas, Esteban-Vasallo, María D., Gènova Maleras, Ricard, Zoni, Ana Clara","Revista Española de Salud Pública; 89(3); 271-281","Revista Española de Salud Pública","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272015000300005&lang=pt" 
"S1135-57272015000300008-esp","Evaluación y mejora de la calidad de los documentos de consentimiento informado en nueve hospitales del servicio murciano de salud","Calle-Urra, José Eduardo, Parra-Hidalgo, Pedro, Saturno-Hernández, Pedro, Fonseca-Miranda, Yadira, Martínez-Martínez, M.ª Jesús","Revista Española de Salud Pública; 89(3); 307-319","Revista Española de Salud Pública","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272015000300008&lang=pt" 
"S1135-57272015000300006-esp","Mortalidad por suicidio en Andalucía: distribución geográfica y relación con el uso de antidepresivos, la altitud y desigualdades socioeconómicas","Alameda-Palacios, José, Ruiz-Ramos, Miguel, García-Robredo, Beatriz","Revista Española de Salud Pública; 89(3); 283-293","Revista Española de Salud Pública","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272015000300006&lang=pt" 
"S1135-57272015000300009-esp","Fiebre botonosa mediterránea: epidemiología en España durante el periodo 2009-2012","García-Magallón, Belén, Cuenca-Torres, María, Gimeno-Vilarrasa, Flor, Guerrero-Espejo, Antonio","Revista Española de Salud Pública; 89(3); 321-328","Revista Española de Salud Pública","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272015000300009&lang=pt" 
"S2014-98322015000400008-esp","Fiabilidad y validez para un cuestionario de satisfacción con la formación continuada en salud: el cuestionario de satisfacción del discente","Esposito, Thomas, Muñoz-Castro, Francisco J., Herrera-Usagre, Manuel, Periáñez-Vega, Mayte","FEM: Revista de la Fundación Educación Médica; 18(3); 197-203","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000400008&lang=pt" 
"S1135-57272015000300011-esp","De &quot;medicina basada en la evidencia&quot; a &quot;medicina sustentada en hallazgos&quot;: una propuesta razonada de traducción","Acosta Artiles, Francisco Javier","Revista Española de Salud Pública; 89(3); 339-342","Revista Española de Salud Pública","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272015000300011&lang=pt" 
"S2014-98322015000400006-esp","Análisis del contacto precoz de los estudiantes de medicina con el sistema sanitario","Miralles, Ramón, Sentí, Mariano, García, Luisa, Escribano, Jesús, Orfila, Nuria, Baños, Josep E.","FEM: Revista de la Fundación Educación Médica; 18(3); 179-188","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000400006&lang=pt" 
"S0104-40602015000200015-scl","Apresentação","Stoltz, Tania, Veiga, Marcelo da, Romanelli, Rosely Aparecida","Educar em Revista; (56); 15-18","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200015&lang=pt" 
"S0104-40602015000200279-scl","Resenha","Cericato, Itale","Educar em Revista; (56); 279-284","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200279&lang=pt" 
"S0104-40602015000200285-scl","Resenha","Cooper, Iarê Sandra, Pieczarka, Thiciane","Educar em Revista; (56); 285-291","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200285&lang=pt" 
"S0104-40602015000200005-scl","Editorial","Machado Júnior, Cláudio de Sá, Bencostta, Marcus Levy","Educar em Revista; (56); 5-8","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200005&lang=pt" 
"S0104-40602015000200181-scl","Infância e adolescência: como chegam as queixas escolares à saúde mental?","Carneiro, Cristiana, Coutinho, Luciana Gageiro","Educar em Revista; (56); 181-192","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200181&lang=pt" 
"S0104-40602015000200149-scl","Da teoria crítica ao pós-estruturalismo: breves apontamentos para uma possível confrontação entre Adorno e Deleuze","Bueno, Sinesio Ferraz","Educar em Revista; (56); 149-161","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200149&lang=pt" 
"S0104-40602015000200067-scl","O pensar vivenciado na formação de professores","Stoltz, Tania, Weger, Ulrich","Educar em Revista; (56); 67-83","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200067&lang=pt" 
"S0104-40602015000200033-scl","Empirical research on Waldorf education","Randoll, Dirk, Peters, Jürgen","Educar em Revista; (56); 33-47","Educar em Revista","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200033&lang=pt" 
"S0104-40602015000200115-scl","¿Egocentrismo o altruismo en la adolescencia? Un estudio empírico sobre los estudiantes de colegios Waldorf, cristianos y públicos","Föller-Mancini, Axel, Heusser, Peter, Büssing, Arndt","Educar em Revista; (56); 115-129","Educar em Revista","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200115&lang=pt" 
"S0104-40602015000200019-scl","Revisiting humanism as guiding principle for education: an excursion into Waldorf Pedagogy","Veiga, Marcelo da","Educar em Revista; (56); 19-31","Educar em Revista","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200019&lang=pt" 
"S0104-40602015000200049-scl","A cosmovisão antroposófica: educação e individualismo ético","Romanelli, Rosely A.","Educar em Revista; (56); 49-66","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200049&lang=pt" 
"S0104-40602015000200085-scl","Interações de Rudolf Steiner com uma Educação Anticolonial","Keim, Ernesto Jacob","Educar em Revista; (56); 85-100","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200085&lang=pt" 
"S0104-40602015000200101-scl","Educação e ludicidade: um diálogo com a Pedagogia Waldorf","Silva, Dulciene Anjos de Andrade e","Educar em Revista; (56); 101-113","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200101&lang=pt" 
"S0104-40602015000200131-scl","O pensar intuitivo como fundamento de uma educação para a liberdade","Bach Junior, Jonas","Educar em Revista; (56); 131-145","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200131&lang=pt" 
"S0104-40602015000200163-scl","A corporeidade na aprendizagem escolar (Entrelaços fenomenológicos do pensar e agir)","Martins, Ernesto Candeias","Educar em Revista; (56); 163-180","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200163&lang=pt" 
"S0104-40602015000200193-scl","Body, gender and sexuality in teacher training: a meta-analysis","Dias, Alfrancio Ferreira, Amorim, Simone","Educar em Revista; (56); 193-206","Educar em Revista","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200193&lang=pt" 
"S0104-40602015000200207-scl","Educação patrimonial e a dissolução das monoidentidades","Silva, Rodrigo Manoel Dias da","Educar em Revista; (56); 207-224","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200207&lang=pt" 
"S0104-40602015000200225-scl","Indicadores epistemológicos do &quot;Brazil-Medico&quot;: Educação e Educação Física","Mendes, Maria Isabel Brandão de S., Nóbrega, Terezinha Petrucia da","Educar em Revista; (56); 225-241","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200225&lang=pt" 
"S0104-40602015000200243-scl","Sobre a constituição do ensino institucionalizado de português no Brasil: o estilo e a produção de uma memória em Infância, de Graciliano Ramos","Pietri, Émerson de","Educar em Revista; (56); 243-258","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200243&lang=pt" 
"S0104-40602015000200259-scl","Tecnologias digitais móveis: reterritorialização dos cotidianos escolares","Cordeiro, Salete de Fátima Noro, Bonilla, Maria Helena Silveira","Educar em Revista; (56); 259-275","Educar em Revista","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602015000200259&lang=pt" 
"S1405-55462015000200006-mex","Camera as Position Sensor for a Ball and Beam Control System","Barranco-Gutiérrez, Alejandro-Israel, Sandoval-Galarza, Jesús, Martínez-Díaz, Saúl","Computación y Sistemas; 19(2); 273-282","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000200006&lang=pt" 
"S1405-55462015000200004-mex","Morphological Filtering Algorithm for Restoring Images Contaminated by Impulse Noise","Mendiola-Santibañez, Jorge Domingo, Arias-Estrada, Miguel Octavio, Santillán-Méndez, Israel Marcos, Rodríguez-Reséndiz, Juvenal, Gallegos-Duarte, Martín, Gómez-Meléndez, Domingo José, Terol-Villalobos, Ivan Ramón","Computación y Sistemas; 19(2); 243-254","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000200004&lang=pt" 
"S1405-55462015000200003-mex","Hierarchical Contour Shape Analysis","Valdés-Amaro, Daniel, Bhalerao, Abhir","Computación y Sistemas; 19(2); 233-242","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000200003&lang=pt" 
"S1139-76322015000300027-esp","","","Pediatría Atención Primaria; 17(66); 114-154","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000300027&lang=pt" 
"S1139-76322015000300025-esp","La Virgen de parto y dos devotos: maestro de la Virgen del Parto, hacia 1400","Carabaño Aguado, I.","Pediatría Atención Primaria; 17(66); e181-e181","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000300025&lang=pt" 
"S1139-76322015000300022-esp","Afrontamiento de la muerte de un niño: los cuidados pediátricos paliativos desde la Atención Primaria","Villalba Nogales, J.","Pediatría Atención Primaria; 17(66); 171-183","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000300022&lang=pt" 
"S1139-76322015000300004-esp","Factores de riesgo de la precocidad sexual en adolescentes","Royuela Ruiz, P., Rodríguez Molinero, L., Marugán de Miguelsanz, J. M., Carbajosa Rodríguez, V.","Pediatría Atención Primaria; 17(66); 127-136","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000300004&lang=pt" 
"S1405-55462015000200001-mex","Editorial","Medel Juárez, José de Jesús","Computación y Sistemas; 19(2); 207-209","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000200001&lang=pt" 
"S1139-76322015000300019-esp","Manejo práctico de las picaduras de insecto en Atención Primaria","Piñeiro Pérez, R., Carabaño Aguado, I.","Pediatría Atención Primaria; 17(66); 159-166","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000300019&lang=pt" 
"S1405-55462015000200014-mex","Índice para la identificación de fuentes armónicas en sistemas eléctricos de potencia empleando estimación de estado con error en las mediciones","Hernández Armenta, Luis Alberto, Romero Romero, David, Robles García, Jaime","Computación y Sistemas; 19(2); 387-397","Computación y Sistemas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000200014&lang=pt" 
"S1405-55462015000200013-mex","Design of a General Purpose 8-bit RISC Processor for Computer Architecture Learning","Hernández Zavala, Antonio, Camacho Nieto, Oscar, Huerta Ruelas, Jorge A., Carvallo Domínguez, Arodí R.","Computación y Sistemas; 19(2); 371-385","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000200013&lang=pt" 
"S1139-76322015000300024-esp","El sermón a los niños del altar: Francesco Bergamini, 1867","Carabaño Aguado, I.","Pediatría Atención Primaria; 17(66); 189-189","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000300024&lang=pt" 
"S1139-76322015000300015-esp","Parotiditis crónica recurrente juvenil","González Benavides, A., Vaquero Íñigo, I., Mendizábal Díez, M., Martínez Merino, M., Herranz Aguirre, M.","Pediatría Atención Primaria; 17(66); e147-e149","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000300015&lang=pt" 
"S1405-55462015000200009-mex","Improving the Multilayer Perceptron Learning by Using a Method to Calculate the Initial Weights with the Similarity Quality Measure Based on Fuzzy Sets and Particle Swarms","Coello, Lenniet, Fernandez, Yumilka, Filiberto, Yaima, Bello, Rafael","Computación y Sistemas; 19(2); 309-320","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000200009&lang=pt" 
"S1405-55462015000200016-mex","A Counting Logic for Trees","Bárcenas, Everardo","Computación y Sistemas; 19(2); 407-422","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000200016&lang=pt" 
"S1405-55462015000200008-mex","Caracterización de instancias difíciles del problema de Bin Packing orientada a la mejora de algoritmos metaheurísticos","Mexicano Santoyo, Adriana, Pérez Ortega, Joaquín, Reyes Salgado, Gerardo, Almanza Ortega, Nelva Nely","Computación y Sistemas; 19(2); 295-308","Computación y Sistemas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000200008&lang=pt" 
"S1405-55462015000200012-mex","Segmentation Strategies to Face Morphology Challenges in Brazilian-Portuguese/English Statistical Machine Translation and Its Integration in Cross-Language Information Retrieval","Costa-jussà, Marta R.","Computación y Sistemas; 19(2); 357-370","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000200012&lang=pt" 
"S1405-55462015000200011-mex","Control de admisión y asignación de canal para acceso dinámico de espectro usando cómputo multi-objetivo","Martínez-Vargas, Anabel, Andrade, Ángel G., Sepúlveda, Roberto, Montiel-Ross, Oscar","Computación y Sistemas; 19(2); 337-355","Computación y Sistemas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000200011&lang=pt" 
"S1405-55462015000200002-mex","A Super-Resolution Image Reconstruction using Natural Neighbor Interpolation","Enríquez-Cervantes, Christian J., Rodríguez-Dagnino, Ramón M.","Computación y Sistemas; 19(2); 211-231","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000200002&lang=pt" 
"S1405-55462015000200005-mex","A Photometric Sampling Strategy for Reflectance Characterization and Transference","Castelán, Mario, Cruz-Pérez, Elier, Torres-Méndez, Luz Abril","Computación y Sistemas; 19(2); 255-272","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000200005&lang=pt" 
"S1405-55462015000200007-mex","Filtro mediana recursivo para la estimación de fondo y segmentación de primer plano en videos de vigilancia","Díaz González, Freddy Alexander, Arévalo Suárez, David Alejandro","Computación y Sistemas; 19(2); 283-293","Computación y Sistemas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000200007&lang=pt" 
"S1139-76322015000300021-esp","¿Qué marcadores son útiles como predictores de cicatrices renales en niños con infección urinaria?","Pérez-Moneo Agapito, B., Ruiz-Canela Cáceres, J.","Pediatría Atención Primaria; 17(66); 167-170","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000300021&lang=pt" 
"S1139-76322015000300017-esp","Pitiriasis rosada de Gibert en paciente de raza negra","García Font, D., Pablo Márquez, B. de, Pedrazas López, D.","Pediatría Atención Primaria; 17(66); e155-e157","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000300017&lang=pt" 
"S1413-294X2015000200102-scl","Efeitos de um marcador temporal sobre respostas de escolha por maior atraso e magnitude do reforço em crianças","Correia, Tatiana Chagas, Micheletto, Nilza","Estudos de Psicologia (Natal); 20(2); 102-113","Estudos de Psicologia (Natal)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2015000200102&lang=pt" 
"S1727-897X2015000300003-cub","El programa de detección del cáncer bucal, herramienta indispensable para disminuir su prevalencia","Vázquez Vega, María, Aguiar Sanabia, Ricardo","MediSur; 13(3); 347-349","MediSur","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-897X2015000300003&lang=pt" 
"S1413-294X2015000200072-scl","Resposta ao estresse: II. Resiliência e vulnerabilidade","Galvão-Coelho, Nicole Leite, Silva, Hélderes Peregrino A., Sousa, Maria Bernardete Cordeiro de","Estudos de Psicologia (Natal); 20(2); 72-81","Estudos de Psicologia (Natal)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2015000200072&lang=pt" 
"S1413-294X2015000200092-scl","Relações entre afetos positivos e negativos e os cinco fatores de personalidade","Noronha, Ana Paula Porto, Martins, Denise da Fonseca, Campos, Roberta Ramazotti Ferraz, Mansão, Camélia Santina Murgo","Estudos de Psicologia (Natal); 20(2); 92-101","Estudos de Psicologia (Natal)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2015000200092&lang=pt" 
"S1413-294X2015000200082-scl","Memória de trabalho fonológica, atenção visual e leitura em crianças de 5ª e 6ª séries do ensino fundamental","Barboza, Fabiana Bernardes Rangel, Garcia, Ricardo Basso, Galera, Cesar","Estudos de Psicologia (Natal); 20(2); 82-91","Estudos de Psicologia (Natal)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2015000200082&lang=pt" 
"S1413-294X2015000200114-scl","Concepções de desenvolvimento infantil e metas de socialização maternas em contexto não urbano","Borges, Lucivanda Cavalcante, Salomão, Nádia Maria Ribeiro","Estudos de Psicologia (Natal); 20(2); 114-125","Estudos de Psicologia (Natal)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2015000200114&lang=pt" 
"S1727-897X2015000300004-cub","La colaboración cubana y el problema de la insuficiencia renal crónica en Santa Lucía: una experiencia internacionalista","Corona Martínez, Luis, Olivert Hernández, Orelys, Rodríguez Zamora, David, Casanova González, Marta","MediSur; 13(3); 350-355","MediSur","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-897X2015000300004&lang=pt" 
"S0187-73802015000200001-mex","Salicylic acid stimulates flowering in micropopagated gloxinia plants","Martín-Mex, Rodolfo, Nexticapan-Garcéz, Ángel, Villanueva-Couoh, Eduardo, Uicab-Quijano, Verónica, Vergara-Yoisura, Silvia, Larqué-Saavedra, Alfonso","Revista fitotecnia mexicana; 38(2); 115-118","Revista fitotecnia mexicana","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73802015000200001&lang=pt" 
"S0187-73802015000200002-mex","Selección de maíces nativos como donadores de características agronómicas útiles en híbridos comerciales","Ramírez-Díaz, José L., Ledesma-Miramontes, Alejandro, Vidal-Martínez, Víctor A., Gómez-Montiel, Noel O., Ruiz-Corral, José A., Velázquez-Cardelas, Gustavo A., Ron-Parra, José, Salinas-Moreno, Yolanda, Nájera-Calvo, Luis A.","Revista fitotecnia mexicana; 38(2); 119-131","Revista fitotecnia mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73802015000200002&lang=pt" 
"S0187-73802015000200007-mex","Rendimiento y estabilidad de líneas mejoradas de frijol negro en Veracruz y Chiapas, México","López-Salinas, Ernesto, Tosquy-Valle, Óscar H., Villar-Sánchez, Bernardo, Acosta-Gallegos, Jorge A., Rodríguez-Rodríguez, José R., Andrés-Meza, Pablo","Revista fitotecnia mexicana; 38(2); 173-181","Revista fitotecnia mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73802015000200007&lang=pt" 
"S0187-73802015000200006-mex","Conservación de vainilla (Vanilla planifolia Jacks.) bajo condiciones de lento crecimiento in vitro","Bello-Bello, Jericó J., García-García, Giovanna G., Iglesias-Andreu, Lourdes","Revista fitotecnia mexicana; 38(2); 165-171","Revista fitotecnia mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73802015000200006&lang=pt" 
"S0187-73802015000200008-mex","Razas patogénicas de Fusarium oxysporum f. sp. ciceris en garbanzo cultivado en Guanajuato, México","Guerrero-Aguilar, Brenda Z., Acosta-Gallegos, Jorge A., Sánchez-García, Bertha M., Ortega-Murrieta, Pedro F., González-Chavira, Mario M.","Revista fitotecnia mexicana; 38(2); 183-190","Revista fitotecnia mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73802015000200008&lang=pt" 
"S1657-42062015000100005-col","La lucha por el control territorial en Colombia: Un análisis de la dinámica del conflicto armado","Henao Duque, Juan Fernando, Montoya Gallo, Jorge Eliécer, Velásquez Orozco, Felipe Alberto","Ecos de Economía; 19(40); 81-105","Ecos de Economía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-42062015000100005&lang=pt" 
"S1657-42062015000100004-col","Efecto de un estadio deportivo en los precios de arrendamiento de viviendas: una aplicación de regresión ponderada geográficamente (GWR)","Agudelo Torres, Jorge Enrique, Agudelo Torres, Gabriel Alberto, Franco Arbeláez, Luis Ceferino, Franco Ceballos, Luis Eduardo","Ecos de Economía; 19(40); 66-80","Ecos de Economía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-42062015000100004&lang=pt" 
"S1657-42062015000100001-col","La Paradoja de Feldstein-Horioka - Evidencia para Colombia durante 1925-2011","Penagos Gómez, Óscar, Rojas Serrano, Héctor, Campo Robledo, Jacobo","Ecos de Economía; 19(40); 4-24","Ecos de Economía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-42062015000100001&lang=pt" 
"S1657-42062015000100003-col","Efectos de las decisiones de política del Banco Central sobre los retornos de la Bolsa de Comercio en Chile","Acuña, Andrés A, Pinto, Cristián F","Ecos de Economía; 19(40); 48-65","Ecos de Economía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-42062015000100003&lang=pt" 
"S2007-25382015000100059-mex","Una metafísica de la existencia para el siglo XXI","Ramírez, Mario Teodoro","Valenciana; 8(15); 59-82","Valenciana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382015000100059&lang=pt" 
"S2007-25382015000100083-mex","De cómo y cuándo el arte dejó de ser sólido","Cohen Dabah, Esther","Valenciana; 8(15); 83-96","Valenciana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382015000100083&lang=pt" 
"S2007-24062015000100005-mex","Argumentación e incertidumbre: ¿Es posible una teoría unificada de la argumentación?","Gensollen, Mario","Revista de filosofía open insight; 6(9); 71-89","Revista de filosofía open insight","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24062015000100005&lang=pt" 
"S2007-24062015000100007-mex","La &quot;noche oscura del alma&quot; y externalismo sobre la fe","Pessis García, Begoña, Alvarado Marambio, José Tomás","Revista de filosofía open insight; 6(9); 109-140","Revista de filosofía open insight","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24062015000100007&lang=pt" 
"S0718-40262015000300008-chl","TUMOR SÓLIDO PSEUDOPAPILAR DEL PÁNCREAS EN LA IV REGIÓN","Beltran S, Marcelo A, Arcos P, Javier, Hermosilla V, Ramón, Urbina C, Oriana, Fuentes M, Tatiana, Andrade L, Paola, Tello C, Francisco","Revista chilena de cirugía; 67(3); 285-291","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000300008&lang=pt" 
"S0718-40262015000300006-chl","RECONSTITUCIÓN DE TRÁNSITO ESOFÁGICO CON INTERPOSICIÓN DE COLON DERECHO","Braghetto M, Italo, Cardemil H, Gonzálo, Csendes J, Attila, Domínguez C, Carlos, Musleh K, Maher, Korn B, Owen, Lembach J, Hans","Revista chilena de cirugía; 67(3); 271-277","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000300006&lang=pt" 
"S0718-40262015000300009-chl","FULGURACIÓN CON LÁSER DE LA RECIDIVA DE TUMORES VESICALES SUPERFICIALES BAJO ANESTESIA LOCAL: DISEÑO DE PROCESOS","Cano-García, María Carmen, Femández-Aparicio, Tomás, Hidalgo-Agulló, Guillermo, Reina-Alcaina, Leandro, Carrillo-George, Carlos, Rivero-Guerra, Ángela, Miñana-López, Bernardino","Revista chilena de cirugía; 67(3); 292-298","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000300009&lang=pt" 
"S0718-40262015000300004-chl","RESULTADOS DE UN PROGRAMA DE SEGUIMIENTO DE LAS PRÓTESIS MAMARIAS PIP (POLY-IMPLANT-PROTHESE)","Oller N, Inmaculada, Cansado M, María del Pilar, Ruiz-Tovar P, Jaime, Zubiaga del T, Lorea, Arroyo S, Antonio, Calpena R, Rafael","Revista chilena de cirugía; 67(3); 259-264","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000300004&lang=pt" 
"S1657-42062015000100002-col","Relaciones regionales en los precios de vivienda nueva en Colombia","Enríquez Sierra, Hernán, Campo Robledo, Jacobo, Avendaño Arosemena, Antonio","Ecos de Economía; 19(40); 25-47","Ecos de Economía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-42062015000100002&lang=pt" 
"S2007-25382015000100295-mex","Mito y literatura, de Eduardo Subirats: una visión de la literatura profunda de América Latina","Corona Fernández, Javier","Valenciana; 8(15); 295-302","Valenciana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382015000100295&lang=pt" 
