"S0103-73072009010300001-scl","A educação pelas imagens e suas geografias","","Pro-Posições; 20(3); -","Pro-Posições","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072009010300001&lang=pt" 
"S0716-10182009000700006-chl","Evolución de los serotipos, fagotipos y resistencia a antimicrobianos de Salmonella sp en el departamento de salud 02 de la provincia de Castellón, España (2000-2006)","Tirado B, Mª Dolores, Moreno M, Rosario, Celades P, Mª Elena, Bellido-Blasco, Juan, Pardo S, Francisco J","Revista chilena de infectología; 26(6); 520-527","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700006&lang=pt" 
"S0716-10182009000700008-chl","Diagnóstico microbiológico de las infecciones de transmisión sexual (ITS): Parte 1. ITS no virales","Martínez T, M. Angélica","Revista chilena de infectología; 26(6); 529-539","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700008&lang=pt" 
"S0716-10182009000700009-chl","Neurosífilis en pacientes portadores y no portadores de VIH: Descripción y comparación de dos cohortes históricas","Lasso B, Martín, Balcells M, M. Elvira, Fernández S, Ana, Gaete G, Pablo, Serri V, Michel, Pérez G, Jorge, Chain A, Carolina, Cerón A, Inés, Duque O, Clara, Ramírez B, Anamaría","Revista chilena de infectología; 26(6); 540-547","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700009&lang=pt" 
"S0716-10182009000700010-chl","Corynebacterium urealyticum","Ulloa F, M. Teresa","Revista chilena de infectología; 26(6); 548-548","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700010&lang=pt" 
"S0716-10182009000700011-chl","Infección por Cyclospora cayetanensis: Revisión a propósito de tres casos de diarrea del viajero","Weitz V, Juan C, Weitz R, Carolina, Canales R, Marilena, Moya R, Ruy","Revista chilena de infectología; 26(6); 549-554","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700011&lang=pt" 
"S0716-10182009000700012-chl","Neumoparotiditis o neumoparótida en el niño: Un diagnóstico diferencial a considerar","Moënne B, Karla, Cordero T, Jaime, Poli H, Cecilia","Revista chilena de infectología; 26(6); 555-559","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700012&lang=pt" 
"S0716-10182009000700013-chl","Cloranfenicol e identidad","Mella M, Sergio","Revista chilena de infectología; 26(6); 560-561","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700013&lang=pt" 
"S0716-10182009000700014-chl","La real expedición filantrópica de la vacuna (Xavier de Balmis/Josep Salvany): 1803-1806","Asensi Botet, Francesc","Revista chilena de infectología; 26(6); 562-567","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700014&lang=pt" 
"S0716-10182009000700015-chl","Bichos resistentes a los antimicrobianos en el siglo 21","Vecchiola G, Maggie","Revista chilena de infectología; 26(6); 568-569","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700015&lang=pt" 
"S0716-10182009000700016-chl","Descontaminación selectiva","Diomedi P, Alexis","Revista chilena de infectología; 26(6); 570-570","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700016&lang=pt" 
"S0716-10182009000700017-chl","Streptococcus mutans: Una bacteria que hace honor a su nombre","Porte L, Lorena, Braun J, Stephanie, Dabanch P, Jeannette, Egaña, Alicia, Andrighetti, Daniela","Revista chilena de infectología; 26(6); 571-571","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700017&lang=pt" 
"S0716-10182009000700018-chl","Fe de Erratas","","Revista chilena de infectología; 26(6); 571-571","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700018&lang=pt" 
"S0104-71832009000200021-scl","","Silva, Roberto Antonio Capiotti da","Horizontes Antropológicos; 15(32); 382-385","Horizontes Antropológicos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200021&lang=pt" 
"S0104-71832009000200019-scl","Noites de insônia: cartas de uma antropóloga a um jovem pesquisador","Fleischer, Soraya","Horizontes Antropológicos; 15(32); 374-377","Horizontes Antropológicos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200019&lang=pt" 
"S0104-71832009000200018-scl","Cultura e identidade açoriana: o movimento açorianista em Santa Catarina","Jardim, Denise Fagundes","Horizontes Antropológicos; 15(32); 369-373","Horizontes Antropológicos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200018&lang=pt" 
"S0104-71832009000200017-scl","Maid to order in Hong Kong: stories of migrant workers","Schwade, Elisete","Horizontes Antropológicos; 15(32); 364-368","Horizontes Antropológicos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200017&lang=pt" 
"S0104-71832009000200015-scl","Temas em cultura e alimentação","Woortmann, Ellen Fensterseifer","Horizontes Antropológicos; 15(32); 355-359","Horizontes Antropológicos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200015&lang=pt" 
"S1519-38292009000400015-scl","Cartas","Gurgel, Ricardo Q, Nery, Alzira Maria D’Avila Guimarães, Almeida, Maria Luíza Dória, Oliveira, Eleonora Ribeiro Ramos, Lima, Danilo Dantas Freire, Bettiol, Heloísa, Barbieri, Marco Antonio","Revista Brasileira de Saúde Materno Infantil; 9(4); 489-491","Revista Brasileira de Saúde Materno Infantil","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292009000400015&lang=pt" 
"S1519-38292009000400014-scl","Cartas","Noronha Neto, Carlos, Souza, Alex Sandro Rolland de","Revista Brasileira de Saúde Materno Infantil; 9(4); 487-488","Revista Brasileira de Saúde Materno Infantil","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292009000400014&lang=pt" 
"S0034-89102009000600023-scl","Evidências científicas: informação para a gestão","","Revista de Saúde Pública; 43(6); 1084-1085","Revista de Saúde Pública","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600023&lang=pt" 
"S0034-89102009000600021-scl","An outbreak of bat-transmitted human rabies in a village in the Brazilian Amazon","Mendes, Wellington da Silva, Silva, Antônio Augusto Moura da, Neiva, Romerito Fonseca, Costa, Nicolle Matos, Assis, Maressa Soares de, Vidigal, Priscila Maria Oliveira, Branco, Maria dos Remédios Freitas Carvalho, Leite, Maria da Graça Lírio, Rios, Jakeline Maria Trinta, Martins, José Orlando Sousa, Waquin Neto, Salim Jorge","Revista de Saúde Pública; 43(6); 1075-1077","Revista de Saúde Pública","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600021&lang=pt" 
"S0034-89102009000600020-scl","Distribuição de Lutzomyia whitmani em fitorregiões do estado do Maranhão, Brasil","Rebêlo, José Manuel Macário, Rocha, Roseno Viana, Moraes, Jorge Luiz Pinto, Alves, Gildário Amorim, Leonardo, Francisco Santos","Revista de Saúde Pública; 43(6); 1070-1074","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600020&lang=pt" 
"S0034-89102009000600022-scl","Public health and the knowledge industry","Camargo Jr., Kenneth Rochel de","Revista de Saúde Pública; 43(6); 1078-1283","Revista de Saúde Pública","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600022&lang=pt" 
"S0034-89102009000600021-spa","An outbreak of bat-transmitted human rabies in a village in the Brazilian Amazon","Mendes, Wellington da Silva, Silva, Antônio Augusto Moura da, Neiva, Romerito Fonseca, Costa, Nicolle Matos, Assis, Maressa Soares de, Vidigal, Priscila Maria Oliveira, Branco, Maria dos Remédios Freitas Carvalho, Leite, Maria da Graça Lírio, Rios, Jakeline Maria Trinta, Martins, José Orlando Sousa, Waquin Neto, Salim Jorge","Revista de Saúde Pública; 43(6); 1075-1077","Revista de Saúde Pública","Inglês","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000600021&lang=pt" 
"S0716-10182009000700007-chl","Tristán e Isolda y el gran amor de Richard Wagner","Payá G, Ernesto","Revista chilena de infectología; 26(6); 528-528","Revista chilena de infectología","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182009000700007&lang=pt" 
"S0034-89102009000600023-spa","Evidências científicas: informação para a gestão","","Revista de Saúde Pública; 43(6); 1084-1085","Revista de Saúde Pública","Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000600023&lang=pt" 
"S0034-89102009000600022-spa","Public health and the knowledge industry","Camargo Jr., Kenneth Rochel de","Revista de Saúde Pública; 43(6); 1078-1283","Revista de Saúde Pública","Inglês","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000600022&lang=pt" 
"S0034-89102009000600020-spa","Distribuição de Lutzomyia whitmani em fitorregiões do estado do Maranhão, Brasil","Rebêlo, José Manuel Macário, Rocha, Roseno Viana, Moraes, Jorge Luiz Pinto, Alves, Gildário Amorim, Leonardo, Francisco Santos","Revista de Saúde Pública; 43(6); 1070-1074","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000600020&lang=pt" 
"S0034-89102009000600012-spa","Surveillance of mother-to-child HIV transmission: socioeconomic and health care coverage indicators","Barcellos, Christovam, Acosta, Lisiane Morelia Weide, Lisboa, Eugenio, Bastos, Francisco Inácio","Revista de Saúde Pública; 43(6); 1006-1014","Revista de Saúde Pública","Inglês","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000600012&lang=pt" 
"S0034-89102009000600010-spa","Trans fatty acid intake among the population of the city of São Paulo, Brazil","Castro, Michelle Alessandra de, Barros, Rodrigo Ribeiro, Bueno, Milena Baptista, César, Chester Luiz Galvão, Fisberg, Regina Mara","Revista de Saúde Pública; 43(6); 991-997","Revista de Saúde Pública","Inglês","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000600010&lang=pt" 
"S0104-71832009000200022-scl","Museu da Maré: memórias e (re)existências","Videla, Mabel Luz Zeballos","Horizontes Antropológicos; 15(32); 386-388","Horizontes Antropológicos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200022&lang=pt" 
"S0104-71832009000200020-scl","Antropologia e ciência: uma etnografia do fazer científico na era do risco","Silveira, Flávio Leonel Abreu da","Horizontes Antropológicos; 15(32); 378-381","Horizontes Antropológicos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200020&lang=pt" 
"S0104-71832009000200016-scl","Gérer les indésirables: des camps de réfugiés au gouvernement humanitaire","Birman, Patricia","Horizontes Antropológicos; 15(32); 360-363","Horizontes Antropológicos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200016&lang=pt" 
"S0104-71832009000200008-scl","A situação etnográfica: andar e ver","Silva, Hélio R. S.","Horizontes Antropológicos; 15(32); 171-188","Horizontes Antropológicos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200008&lang=pt" 
"S0104-71832009000200009-scl","Nem só nem mal acompanhada: reinterpretando a &quot;solidão&quot; das &quot;solteiras&quot; na contemporaneidade","Gonçalves, Eliane","Horizontes Antropológicos; 15(32); 189-216","Horizontes Antropológicos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200009&lang=pt" 
"S0104-71832009000200010-scl","Reflexões de uma antropóloga &quot;andarina&quot; sobre a etnografia numa comunidade de mineiros de carvão","Cioccari, Marta","Horizontes Antropológicos; 15(32); 217-246","Horizontes Antropológicos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200010&lang=pt" 
"S0104-71832009000200011-scl","Cuerpo y narrativa: una aproximación etnográfica al proceso de atención del embarazo, parto y puerperio de mujeres viviendo con vih en la ciudad de Buenos Aires","García, Guadalupe","Horizontes Antropológicos; 15(32); 247-272","Horizontes Antropológicos","Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200011&lang=pt" 
"S0104-71832009000200012-scl","&quot;Nasce uma nova Niterói&quot;: representações, conflitos e negociações em torno de um projeto de Niemeyer","Luz, Margareth da","Horizontes Antropológicos; 15(32); 273-300","Horizontes Antropológicos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200012&lang=pt" 
"S0104-71832009000200013-scl","A praça do Martim Moniz: etnografando lógicas socioculturais de inscrição da praça no mapa social de Lisboa","Menezes, Marluci","Horizontes Antropológicos; 15(32); 301-328","Horizontes Antropológicos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200013&lang=pt" 
"S0104-71832009000200014-scl","Trajetória de uma antropóloga com sotaque: entrevista com Claudia Fonseca","Fonseca, Claudia","Horizontes Antropológicos; 15(32); 331-352","Horizontes Antropológicos","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832009000200014&lang=pt" 
"S1519-38292009000400008-scl","Experiência de cárie dentária na primeira dentição em município com fluoretação das águas","Rigo, Lilian, Souza, Eliane Alvim de, Caldas Junior, Arnaldo de França","Revista Brasileira de Saúde Materno Infantil; 9(4); 435-442","Revista Brasileira de Saúde Materno Infantil","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292009000400008&lang=pt" 
"S1519-38292009000400009-scl","Fatores associados ao excesso de peso entre adolescentes de diferentes redes de ensino do município de Presidente Prudente, São Paulo","Fernandes, Rômulo A., Codogno, Jamile S., Cardoso, Jefferson R., Ronque, Enio R. V., Freitas Júnior, Ismael F., Oliveira, Arli R. de","Revista Brasileira de Saúde Materno Infantil; 9(4); 443-449","Revista Brasileira de Saúde Materno Infantil","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292009000400009&lang=pt" 
"S1519-38292009000400010-scl","Fatores familiares associados à obesidade abdominal entre adolescentes","Fernandes, Rômulo Araújo, Casonatto, Juliano, Christofaro, Diego Giuliano Destro, Cucato, Gabriel Grizzo, Oliveira, Arli Ramos de, Freitas Júnior, Ismael Forte","Revista Brasileira de Saúde Materno Infantil; 9(4); 451-457","Revista Brasileira de Saúde Materno Infantil","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292009000400010&lang=pt" 
"S1519-38292009000400013-scl","Peso insuficiente ao nascer e crescimento alcançado na idade pré-escolar, por crianças atendidas em creches filantrópicas do município de Santo André, São Paulo, Brasil","Yamamoto, Renato Minoru, Schoeps, Denise de Oliveira, Abreu, Luiz Carlos de, Leone, Claudio","Revista Brasileira de Saúde Materno Infantil; 9(4); 477-485","Revista Brasileira de Saúde Materno Infantil","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292009000400013&lang=pt" 
"S1519-38292009000400003-scl","O envolvimento paterno no processo da amamentação: propostas de incentivo","Pontes, Cleide Maria, Alexandrino, Aline Chaves, Osório, Mônica Maria","Revista Brasileira de Saúde Materno Infantil; 9(4); 399-408","Revista Brasileira de Saúde Materno Infantil","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292009000400003&lang=pt" 
"S0034-89102009000600004-scl","Percepções e ações de mulheres em relação à prevenção e promoção da saúde na atenção básica","Figueira, Taís Rocha, Ferreira, Efigênia Ferreira e, Schall, Virgínia Torres, Modena, Celina Maria","Revista de Saúde Pública; 43(6); 937-943","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600004&lang=pt" 
"S0034-89102009000600006-scl","Violência sexual e associação com a percepção individual de saúde entre mulheres gestantes","Aquino, Nicole Moraes Rêgo De, Sun, Sue Yazaki, Oliveira, Eleonora Menicucci de, Martins, Marilia da Gloria, Silva, Juliana de Fátima da, Mattar, Rosiane","Revista de Saúde Pública; 43(6); 954-960","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600006&lang=pt" 
"S0034-89102009000600007-scl","Fatores considerados pela população como mais importantes para manutenção da saúde","Siqueira, Fernando Vinholes, Nahas, Markus Vinícius, Facchini, Luiz Augusto, Silveira, Denise Silva da, Piccini, Roberto Xavier, Tomasi, Elaine, Thumé, Elaine, Reichert, Felipe Fossati, Hallal, Pedro Rodrigues Curi","Revista de Saúde Pública; 43(6); 961-971","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600007&lang=pt" 
"S0034-89102009000600009-scl","Avaliação de atividades de controle para enteroparasitos em uma aldeia Kaingáng do Paraná","Toledo, Max Jean de Ornelas, Paludetto, Andrey Wilder, Moura, Fabiana de Toledo, Nascimento, Evaldo Silva do, Chaves, Marta, Araújo, Silvana Marques de, Mota, Lúcio Tadeu","Revista de Saúde Pública; 43(6); 981-990","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600009&lang=pt" 
"S0034-89102009000600010-scl","Trans fatty acid intake among the population of the city of São Paulo, Brazil","Castro, Michelle Alessandra de, Barros, Rodrigo Ribeiro, Bueno, Milena Baptista, César, Chester Luiz Galvão, Fisberg, Regina Mara","Revista de Saúde Pública; 43(6); 991-997","Revista de Saúde Pública","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600010&lang=pt" 
"S0034-89102009000600011-scl","Características dos serviços de saúde associadas à adesão ao tratamento da tuberculose","Souza, Márcia São Pedro Leal, Pereira, Susan Martins, Marinho, Jamocyr Moura, Barreto, Maurício L","Revista de Saúde Pública; 43(6); 997-1005","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600011&lang=pt" 
"S0034-89102009000600012-scl","Surveillance of mother-to-child HIV transmission: socioeconomic and health care coverage indicators","Barcellos, Christovam, Acosta, Lisiane Morelia Weide, Lisboa, Eugenio, Bastos, Francisco Inácio","Revista de Saúde Pública; 43(6); 1006-1014","Revista de Saúde Pública","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600012&lang=pt" 
"S0034-89102009000600013-scl","Eficácia e segurança da vacina brasileira contra hepatite B em recém-nascidos","Luna, Expedito José de Albuquerque, Moraes, José Cássio de, Silveira, Lygia, Salinas, Hilda Souza Neves","Revista de Saúde Pública; 43(6); 1014-1020","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600013&lang=pt" 
"S0034-89102009000600014-scl","Tendência temporal da amamentação na cidade do Rio de Janeiro: 1996-2006","Castro, Inês Rugani Ribeiro de, Engstrom, Elyne Montenegro, Cardoso, Letícia Oliveira, Damião, Jorginete de Jesus, Rito, Rosane Valéria Fonseca Viana, Gomes, Maria Auxiliadora de Souza Mendes","Revista de Saúde Pública; 43(6); 1021-1029","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600014&lang=pt" 
"S0034-89102009000600015-scl","Fatores de risco e proteção à infecção respiratória aguda em lactentes","Lopes, Claudia Regina Cachulo, Berezin, Eitan N","Revista de Saúde Pública; 43(6); 1030-1034","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600015&lang=pt" 
"S0034-89102009000600018-scl","Bioeticistas brasileiros e os princípios da universalidade e da integralidade no SUS","Fortes, Paulo Antonio de Carvalho","Revista de Saúde Pública; 43(6); 1054-1058","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600018&lang=pt" 
"S0034-89102009000600019-scl","Atividade física de gestantes e desfechos ao recém-nascido: revisão sistemática","Takito, Monica Yuri, Benício, Maria Helena D&#039;Aquino, Neri, Lenycia de Cassya Lopes","Revista de Saúde Pública; 43(6); 1059-1069","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600019&lang=pt" 
"S0034-89102009000600017-scl","Análise TG-ROC de testes de imunofluorescência no diagnóstico de leishmaniose visceral canina","Silva, Rita Maria da, Laurenti, Márcia Dalastra, Gomes, Almério de Castro, Nogueira, Yeda Lopes","Revista de Saúde Pública; 43(6); 1044-1053","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000600017&lang=pt" 
"S0034-89102009000600003-spa","Internações sensíveis na atenção primária como indicador de avaliação da Estratégia Saúde da Família","Fernandes, Viviane Braga Lima, Caldeira, Antônio Prates, Faria, Anderson Antônio de, Rodrigues Neto, João Felício","Revista de Saúde Pública; 43(6); 928-936","Revista de Saúde Pública","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000600003&lang=pt" 
"S1415-790X2009000400019-spa","Errata","","Revista Brasileira de Epidemiologia; 12(4); 714-714","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400019&lang=pt" 
"S1415-790X2009000400014-spa","Epidemiologia das atividades físicas praticadas no tempo de lazer por adultos do Sul do Brasil","Dumith, Samuel C., Domingues, Marlos R., Gigante, Denise P.","Revista Brasileira de Epidemiologia; 12(4); 646-656","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400014&lang=pt" 
"S1415-790X2009000400017-spa","Prevalência de cárie dentária e condições socioeconômicas em jovens alistandos de Manaus, Amazonas, Brasil","Viana, Alcione Regina Pegoraro, Parente, Rosana Cristina Pereira, Borras, Maria Rosa, Rebelo, Maria Augusta Bessa","Revista Brasileira de Epidemiologia; 12(4); 680-687","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400017&lang=pt" 
"S1415-790X2009000400015-spa","Excesso de peso entre trabalhadores de uma indústria: prevalência e fatores associados","Höfelmann, Dorotéia Aparecida, Blank, Nelson","Revista Brasileira de Epidemiologia; 12(4); 657-670","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400015&lang=pt" 
"S1415-790X2009000400013-spa","Associação entre excesso de peso e hábito de fumar, Santarém, PA, 2007","Sá, Naíza Nayla Bandeira de, Moura, Erly Catarina","Revista Brasileira de Epidemiologia; 12(4); 636-645","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400013&lang=pt" 
"S1415-790X2009000400016-spa","Conhecimento sobre asma das mães de crianças acometidas pela patologia, em área coberta pelo Programa Saúde da Família","Stephan, Ana Maria Siga, Costa, Juvenal Soares Dias da","Revista Brasileira de Epidemiologia; 12(4); 671-679","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400016&lang=pt" 
"S1415-790X2009000400012-spa","Validity and reliability of self-reported weight and height measures for the diagnoses of adolescent&#039;s nutritional status","Enes, Carla Cristina, Fernandez, Priscila Maria Fúncia, Voci, Silvia Maria, Toral, Natacha, Romero, Alexandre, Slater, Betzabeth","Revista Brasileira de Epidemiologia; 12(4); 627-635","Revista Brasileira de Epidemiologia","Inglês","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400012&lang=pt" 
"S1415-790X2009000400011-spa","Tabagismo e fatores associados em adultos: um estudo de base populacional","Kuhnen, Mirian, Boing, Antonio Fernando, Oliveira, Maria Conceição de, Longo, Giana Zarbato, Njaine, Kathie","Revista Brasileira de Epidemiologia; 12(4); 615-626","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400011&lang=pt" 
"S1415-790X2009000400009-spa","Atendimento pré-hospitalar móvel em Fortaleza, Ceará: a visão dos profissionais envolvidos","Silva, Juliana Guimarães e, Vieira, Luiza Jane Eyre de Souza, Pordeus, Augediva Maria Jucá, Souza, Edinilsa Ramos de, Gonçalves, Marcelo Luiz Carvalho","Revista Brasileira de Epidemiologia; 12(4); 591-603","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400009&lang=pt" 
"S1415-790X2009000400004-spa","Correlation between schizophrenia and seasonality of birth in a tropical region","Mendonça, Fernanda A. S., Machado, Diogo R., Lima, Juliane A. F. de, Bortollotti, Gislaine M. F., Grilo, Roseana C., Santos, Gláucia M. T. dos","Revista Brasileira de Epidemiologia; 12(4); 541-548","Revista Brasileira de Epidemiologia","Inglês","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400004&lang=pt" 
"S1415-790X2009000400008-spa","Acurácia de informações sobre classes de medicamentos obtidas com questionário postal aplicado a idosos - Rio de Janeiro, RJ","Vasconcelos, Maria Estrella L., Fonseca, Maria J. M., Rozenfeld, Suely, Acurcio, Francisco A.","Revista Brasileira de Epidemiologia; 12(4); 578-590","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400008&lang=pt" 
"S1415-790X2009000400006-spa","Mortalidade feminina por hipertensão: análise por causas múltiplas","Oliveira, Bruno Zoca de, Gotlieb, Sabina Léa Davidson, Laurenti, Ruy, Jorge, Maria Helena Prado de Mello","Revista Brasileira de Epidemiologia; 12(4); 556-565","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400006&lang=pt" 
"S1415-790X2009000400001-spa","Risk factors associated with death in patients who initiate treatment for tuberculosis after two different follow-up periods","Albuquerque, Maria de Fátima Pessoa Militão de, Batista, Joanna d&#039;Arc Lyra, Ximenes, Ricardo Arraes de Alencar, Carvalho, Marília Sá, Diniz, George Tadeu Nunes, Rodrigues, Laura Cunha","Revista Brasileira de Epidemiologia; 12(4); 513-522","Revista Brasileira de Epidemiologia","Inglês","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400001&lang=pt" 
"S0004-282X2009000600042-scl","Pain in tropical spastic paraparesis: HTLV-I associated myelopathy patients","Castro-Costa, C M, Campos-Araújo, A Q, Câmara, C C, Ferreira, A S, Santos, T J T, Castro-Costa, S B, Acântara, R N M, Taylor, G P","Arquivos de Neuro-Psiquiatria; 67(4); 1177-1177","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600042&lang=pt" 
"S0004-282X2009000600001-scl","Topographical disorientation in Alzheimer&#039;s disease","Guariglia, Carla Cristina, Nitrini, Ricardo","Arquivos de Neuro-Psiquiatria; 67(4); 967-972","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600001&lang=pt" 
