"S1130-01082008000100008-esp","Metástasis adrenal de carcinoma pulmonar","Rodríguez-Hermosa, J. I., Roig, J., Ortuño, P., Quiles, A. M., Recasens, M., Codina-Cazador, A.","Revista Española de Enfermedades Digestivas; 100(1); 45-46","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100008&lang=pt" 
"S0100-72032008000100007-scl","Utilização da contagem de folículos antrais para predição do padrão de resposta em ciclos de hiperestimulação controlada com antagonista de GnRH","Souza, Maria do Carmo Borges de, Souza, Marcelo Marinho de, Oliveira, João Batista Alcântara, Henriques, Carlos André, Cardoso, Fernanda Freitas Oliveira, Mancebo, Ana Cristina Allemand, Rocha, Christina Albuquerque da","Revista Brasileira de Ginecologia e Obstetrícia; 30(1); 36-41","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008000100007&lang=pt" 
"S0100-72032008000100003-scl","Utilização de medicamentos durante a gravidez na cidade de Natal, Rio Grande do Norte, Brasil","Guerra, Gerlane Coelho Bernardo, Silva, Artur Quintiliano Bezerra da, França, Ludmila Barroso, Assunção, Patrícia Maria Carvalho, Cabral, Rafael Xavier, Ferreira, Aurigena Antunes de Araújo","Revista Brasileira de Ginecologia e Obstetrícia; 30(1); 12-18","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008000100003&lang=pt" 
"S0716-02082008000100001-chl","Constricción neógena en la Cordillera de la Costa, norte de Chile: neotectónica y datación de superficies con 21Ne cosmogónico","Carrizo, Daniel, González, Gabriel, Dunai, Tibor","Revista geológica de Chile; 35(1); 01-38","Revista geológica de Chile","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-02082008000100001&lang=pt" 
"S0716-02082008000100002-chl","Cooling histories and deformation of plutonic rocks along the Liquiñe-Ofqui Fault Zone, Southern Chile (41°-42°15&#039;S)","Adriasola, Alberto C, Stockhert, Bernhard","Revista geológica de Chile; 35(1); 39-61","Revista geológica de Chile","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-02082008000100002&lang=pt" 
"S0716-02082008000100003-chl","Control en la magnitud de desplazamiento de rumbo del Sistema Transformante Fagnano, Tierra del Fuego, Argentina","Torres-Carbonell, Pablo J, Olivero, Eduardo B, Dimieri, Luis V","Revista geológica de Chile; 35(1); 63-77","Revista geológica de Chile","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-02082008000100003&lang=pt" 
"S0716-02082008000100004-chl","New time-constraints on provenance, metamorphism and exhumation of the Bahía Mansa Metamorphic Complex on the Main Chiloé Island, south-central Chile","Duhart, Paul, Adriasola, Alberto C","Revista geológica de Chile; 35(1); 79-104","Revista geológica de Chile","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-02082008000100004&lang=pt" 
"S0716-02082008000100005-chl","Long-term denudation rates from the Central Andes (Chile) estimated from a Digital Elevation Model using the Black Top Hat function and Inverse Distance Weighting: implications for the Neogene climate of the Atacama Desert","Riquelme, Rodrigo, Darrozes, José, Maire, Eric, Hérail, Gérard, Soula, J. C.","Revista geológica de Chile; 35(1); 105-121","Revista geológica de Chile","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-02082008000100005&lang=pt" 
"S0716-02082008000100006-chl","Geochronology of the Lower Cretaceous volcanism from the Coastal Range (29°20&#039;-30°S), Chile","Morata, Diego, Féraud, Gilbert, Aguirre, Luis, Arancibia, Gloria, Belmar, Mauricio, Morales, Salvador, Carrillo, Javier","Revista geológica de Chile; 35(1); 123-145","Revista geológica de Chile","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-02082008000100006&lang=pt" 
"S0716-02082008000100007-chl","Triassic age of the continental Pular Formation, Sierra de Almeida, Antofagasta, northern Chile","Niemeyer, Hans, Zavattieri, Ana María, Ballent, Sara, Zamuner, Alba, Gallego, Oscar","Revista geológica de Chile; 35(1); 147-161","Revista geológica de Chile","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-02082008000100007&lang=pt" 
"S0716-02082008000100008-chl","A Late Pleistocene macrobenthic assemblage in Caleta Patillos, northern Chile: paleoecological and paleobiogeographical interpretations","Rivadeneira, Marcelo M, Carmona, Erico R","Revista geológica de Chile; 35(1); 163-173","Revista geológica de Chile","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-02082008000100008&lang=pt" 
"S0716-02082008000100009-chl","Theropod Dinosaur Trackways from the Lower Cretaceous of the Chacarilla Formation, Chile","Rubilar-Rogers, David, Moreno, Karen, Blanco, Nicolás, Calvo, Jorge O","Revista geológica de Chile; 35(1); 175-184","Revista geológica de Chile","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-02082008000100009&lang=pt" 
"S0716-02082008000100010-chl","ARTURO THOMAS NOVOA (1934-2007)","Klohn H, Erik","Revista geológica de Chile; 35(1); 185-186","Revista geológica de Chile","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-02082008000100010&lang=pt" 
"S0003-25732008000100002-prt","Tragédia, risco e controlo: uma releitura psico-social dos testemunhos do terramoto de 1755","Lima, Maria Luísa Pedroso de","Análise Social; (186); 7-28","Análise Social","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0003-25732008000100002&lang=pt" 
"S0003-25732008000100003-prt","Fecundidade das populações e das gerações em Portugal, 1960-2005","Oliveira, Isabel Tiago de","Análise Social; (186); 29-53","Análise Social","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0003-25732008000100003&lang=pt" 
"S0003-25732008000100004-prt","Produção e reprodução da ciência nos museus portugueses","Delicado, Ana","Análise Social; (186); 55-77","Análise Social","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0003-25732008000100004&lang=pt" 
"S0003-25732008000100005-prt","Conceito de parceria: três projectos locais de promoção do emprego","Carrilho, Tiago","Análise Social; (186); 81-107","Análise Social","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0003-25732008000100005&lang=pt" 
"S0003-25732008000100006-prt","Condomínios fechados em Lisboa: paradigma e paisagem","Raposo, Rita","Análise Social; (186); 109-131","Análise Social","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0003-25732008000100006&lang=pt" 
"S0003-25732008000100007-prt","Caminhos da «ecoviolência»","Soczka, Luis","Análise Social; (186); 133-157","Análise Social","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0003-25732008000100007&lang=pt" 
"S0003-25732008000100008-prt","Robert Dahl e o dilema da igualdade na democracia moderna","Abu-El-Haj, Jawdat","Análise Social; (186); 159-180","Análise Social","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0003-25732008000100008&lang=pt" 
"S0003-25732008000100009-prt","Passagens para África. O Povoamento de Angola e Moçambique com Naturais da Metrópole","Thomaz, Omar Ribeiro","Análise Social; (186); 183-190","Análise Social","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0003-25732008000100009&lang=pt" 
"S0003-25732008000100010-prt","Os Despojos da Aliança. A Grã-Bretanha e a questão colonial portuguesa, 1945-1975","Faria, Pedro Leite","Análise Social; (186); 190-197","Análise Social","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0003-25732008000100010&lang=pt" 
"S0003-25732008000100011-prt","Timor na 2.ª Guerra Mundial - O Diário do Tenente Pires","Alexandre, Valentim","Análise Social; (186); 197-201","Análise Social","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0003-25732008000100011&lang=pt" 
"S0003-25732008000100012-prt","Uma História de Regressos, Império, Guerra Colonial e Pós-Colonialismo","Matos, Patrícia Ferraz de","Análise Social; (186); 202-208","Análise Social","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0003-25732008000100012&lang=pt" 
"S0003-25732008000100001-prt","Apresentação","Lains, Pedro","Análise Social; (186); 3-4","Análise Social","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0003-25732008000100001&lang=pt" 
"S0378-18442008000100012-ven","Modelo estructural de las secuencias cretácico-terciarias a nivel del bloque &quot;b&quot; del área sur del lago de Maracaibo, Venezuela","Martínez, Fernando José, Carrasquel, Mariela","Interciencia; 33(1); 56-60","Interciencia","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100012&lang=pt" 
"S0378-18442008000100013-ven","Composición proximal, evaluación microbiológica y sensorial de una galleta formulada a base de harina de yuca y plasma de bovino","Benítez, Betty, Archile, Anangelina, Rangel, Lisbeth, Ferrer, Kenna, Barboza, Yasmina, Márquez, Enrique","Interciencia; 33(1); 61-65","Interciencia","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100013&lang=pt" 
"S0378-18442008000100010-ven","Wood anatomy and its relation to plant size and latitude in buddleja l. (buddlejaceae)","Terrazas, Teresa, Aguilar-Rodríguez, Silvia, López-Mata, Lauro","Interciencia; 33(1); 46-50","Interciencia","Inglês","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100010&lang=pt" 
"S0378-18442008000100011-ven","Receptividade do estigma e ajuste de protocolo para germinacÃo in vitro de grÃos de pólen de citros","Darlan Ramos, José, Pasqual, Moacir, Aparecida Salles, Leila, Alves Chagas, Edvan, Pio, Rafael","Interciencia; 33(1); 51-55","Interciencia","Português","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100011&lang=pt" 
"S0378-18442008000100016-ven","Extinciones en el mar: mitos y realidades","del Monte-Luna, Pablo, Lluch-Belda, Daniel, Carmona, Roberto, Bonilla, Héctor Reyes, Castro-Aguirre, José Luis, Serviere-Zaragoza, Elisa, Aurioles-Gamboa, David, Guzmán del Próo, Sergio A, Trujillo-Millán, Oscar, Elorduy-Garay, Juan Félix, Brook, Barry W","Interciencia; 33(1); 74-80","Interciencia","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100016&lang=pt" 
"S0378-18442008000100014-ven","Reactivación de material vegetal élite de pinus radiata d. Don. Mediante microinjerto in vitro","Materán, María Elena, Vega, María Carolina, Sánchez-Olate, Manuel, Sáez, Katia, Rodríguez, Roberto, Ríos, Darcy","Interciencia; 33(1); 66-70","Interciencia","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100014&lang=pt" 
"S0378-18442008000100015-ven","Los bio-combustibles y la alimentación humana","Laine, Jorge","Interciencia; 33(1); 71-73","Interciencia","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100015&lang=pt" 
"S0378-18442008000100009-ven","Patrones de distribución de las especies de la tribu meliponini (hymenoptera: apoidea: apidae) en méxico","Yáñez-Ordóñez, Olivia, Trujano Ortega, arysol, Llorente Bousquets, Jorge","Interciencia; 33(1); 41-45","Interciencia","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100009&lang=pt" 
"S0378-18442008000100008-ven","Artesanía con fibra de banano en la perspectiva de la multifuncionalidad en comunidades quilombolas","Eduardo Garavello, Maria Elisa de Paula, da Silva, Márcia Regina, Pacheco dos Santos, Kátia Maria","Interciencia; 33(1); 34-40","Interciencia","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100008&lang=pt" 
"S0378-18442008000100001-ven","Impacto e Influencia","Laufer, Miguel","Interciencia; 33(1); 05-05","Interciencia","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100001&lang=pt" 
"S0378-18442008000100003-ven","Impacto e Influencia","Laufer, Miguel","Interciencia; 33(1); 07-07","Interciencia","Português","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100003&lang=pt" 
"S0378-18442008000100002-ven","Impact and Influence","Laufer, Miguel","Interciencia; 33(1); 06-06","Interciencia","Inglês","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100002&lang=pt" 
"S0378-18442008000100005-ven","Modelado no isotérmico al equilibrio de plaguicidas en fase acuosa sobre carbón activado","Dudamel D, Wilmer J, Wolbert, Dominique","Interciencia; 33(1); 14-21","Interciencia","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100005&lang=pt" 
"S0378-18442008000100004-ven","Estudio comparativo de la Influencia del estilo de liderazgo y la congruencia de valores en la eficacia de empresas privadas e Instituciones Públicas","Pedraja-Rejas, Liliana, Rodríguez-Ponce, Emilio","Interciencia; 33(1); 08-13","Interciencia","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100004&lang=pt" 
"S0378-18442008000100007-ven","Estimación preliminar de la descontaminación atmosférica por el arbolado urbano de la ciudad de méxico","Escobedo, Francisco, Chacalo, Alicia","Interciencia; 33(1); 29-32","Interciencia","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100007&lang=pt" 
"S0378-18442008000100006-ven","Mezclas con potencial coagulante para tratamiento de lixiviados de un relleno sanitario","Laines Canepa, José Ramón, Goñi Arévalo, Jorge Alberto, Adams Schroeder, Randy Howard, Camacho Chiu, Wilder","Interciencia; 33(1); 22-28","Interciencia","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442008000100006&lang=pt" 
"S0100-204X2008000100019-scl","Casein fractions of ultra high temperature milk with different somatic cell counts","Fernandes, Andrezza Maria, Bovo, Fernanda, Moretti, Thais Santos, Rosim, Roice Eliana, Lima, César Gonçalves de, Oliveira, Carlos Augusto Fernandes de","Pesquisa Agropecuária Brasileira; 43(1); 149-152","Pesquisa Agropecuária Brasileira","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100019&lang=pt" 
"S0100-204X2008000100001-scl","Controle associado de Alphitobius diaperinuse efeito de microrganismos eficazes no desenvolvimento de Beauveria bassiana","Santoro, Patricia Helena, Neves, Pedro Manuel Oliveira Janeiro, Cavaguchi, Silvia Akimi, Constanski, Kelly, Amaro, Junio Tavares, Alves, Luis Francisco Angeli, Gomes, Bruno Biazotto","Pesquisa Agropecuária Brasileira; 43(1); 1-8","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100001&lang=pt" 
"S0100-204X2008000100002-scl","Diferentes suplementos no cultivo in vitro de embriões de pinhão-manso","Nunes, Claudinéia Ferreira, Pasqual, Moacir, Santos, Dalilhia Nazaré dos, Custódio, Telde Natel, Araujo, Aparecida Gomes de","Pesquisa Agropecuária Brasileira; 43(1); 9-14","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100002&lang=pt" 
"S0100-204X2008000100006-scl","Comparação bayesiana de modelos de previsão de diferenças esperadas nas progênies no melhoramento genético de gado Nelore","Silva, Fabyano Fonseca e, Sáfadi, Thelma, Muniz, Joel Augusto, Aquino, Luiz Henrique de, Mourão, Gerson Barreto","Pesquisa Agropecuária Brasileira; 43(1); 37-45","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100006&lang=pt" 
"S0100-204X2008000100012-scl","Cultivo de jundiás alimentados com dietas com casca de soja ou de algodão","Pedron, Fabio de Araújo, Radünz Neto, João, Pedron, Tatiana Emanuelli, Silva, Leila Picolli da, Lazzari, Rafael, Corrêia, Viviani, Bergamin, Giovani Taffarel, Veiverberg, Cátia Aline","Pesquisa Agropecuária Brasileira; 43(1); 93-98","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100012&lang=pt" 
"S0100-204X2008000100016-scl","Recuperação do nitrogênio das fontes sulfato e nitrato de amônio pelo milho em sistema semeadura direta","Lange, Anderson, Cabezas, Waldo Alejandro Ruben Lara, Trivelin, Paulo César Ocheuze","Pesquisa Agropecuária Brasileira; 43(1); 123-130","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100016&lang=pt" 
"S0100-204X2008000100017-scl","Zinc adsorption in highly weathered soils","Casagrande, José Carlos, Soares, Marcio Roberto, Mouta, Ernesto Rinaldi","Pesquisa Agropecuária Brasileira; 43(1); 131-139","Pesquisa Agropecuária Brasileira","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100017&lang=pt" 
"S0100-204X2008000100004-scl","Niveles de nitrógeno y su fraccionamiento en el cultivo del gladiolo para suelos Ferralíticos Rojos","Hernández Díaz, María Isabel, Marrero González, Virginia, González Hurtado, Mayra, Salgado Pulido, Julia Mirta, Ojeda Velóz, Anselma","Pesquisa Agropecuária Brasileira; 43(1); 21-27","Pesquisa Agropecuária Brasileira","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100004&lang=pt" 
"S0100-204X2008000100009-scl","Parâmetros genéticos em café Conilon","Ferrão, Romário Gava, Cruz, Cosme Damião, Ferreira, Adésio, Cecon, Paulo Roberto, Ferrão, Maria Amélia Gava, Fonseca, Aymbiré Francisco Almeida da, Carneiro, Pedro Crescêncio de Souza, Silva, Marcia Flores da","Pesquisa Agropecuária Brasileira; 43(1); 61-69","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100009&lang=pt" 
"S0100-204X2008000100020-scl","Mapeamento semidetalhado do uso da terra do Bioma Cerrado","Sano, Edson Eyji, Rosa, Roberto, Brito, Jorge Luís Silva, Ferreira, Laerte Guimarães","Pesquisa Agropecuária Brasileira; 43(1); 153-156","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100020&lang=pt" 
"S0100-204X2008000100003-scl","Enzyme activities and pectin breakdown of sapodilla submitted to 1-methylcyclopropene","Morais, Patrícia Lígia Dantas de, Lima, Luiz Carlos de Oliveira, Miranda, Maria Raquel Alcântara de, Alves, José Donizete, Alves, Ricardo Elesbão, Silva, José Daniel","Pesquisa Agropecuária Brasileira; 43(1); 15-20","Pesquisa Agropecuária Brasileira","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100003&lang=pt" 
"S0100-204X2008000100005-scl","Estado nutricional e produção de laranjeira &#039;Pêra&#039; em função da vegetação intercalar e cobertura morta","Bremer Neto, Horst, Victoria Filho, Ricardo, Mourão Filho, Francisco de Assis Alves, Menezes, Gilberto Mendonça de, Canali, Émerson","Pesquisa Agropecuária Brasileira; 43(1); 29-35","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100005&lang=pt" 
"S0100-204X2008000100007-scl","Controle genético da qualidade da vagem em cruzamento de feijão-vagem e feijão-comum","Mariguele, Keny Henrique, Maluf, Wilson Roberto, Gomes, Luiz Antônio Augusto, Lopes, Marcus José Conceição, Melo, Osvânder David de","Pesquisa Agropecuária Brasileira; 43(1); 47-52","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100007&lang=pt" 
"S0100-204X2008000100008-scl","Correlações genéticas e fenotípicas entre características reprodutivas e produtivas de touros da raça Nelore","Dias, Juliano Cesar, Andrade, Venício José de, Martins, Jorge André Matias, Emerick, Lucas Luz, Vale Filho, Vicente Ribeiro do","Pesquisa Agropecuária Brasileira; 43(1); 53-59","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100008&lang=pt" 
"S0100-204X2008000100010-scl","Avaliação qualitativa e quantitativa da microbiota do solo e da fixação biológica do nitrogênio pela soja","Souza, Rosinei Aparecida de, Hungria, Mariangela, Franchini, Julio Cezar, Chueire, Ligia Maria de Oliveira, Barcellos, Fernando Gomes, Campo, Rubens José","Pesquisa Agropecuária Brasileira; 43(1); 71-82","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100010&lang=pt" 
"S0100-204X2008000100011-scl","Conjunto mínimo de parâmetros para avaliação da microbiota do solo e da fixação biológica do nitrogênio pela soja","Souza, Rosinei Aparecida de, Hungria, Mariangela, Franchini, Julio Cezar, Maciel, Carlos Dias, Campo, Rubens José, Zaia, Dimas Augusto Morozin","Pesquisa Agropecuária Brasileira; 43(1); 83-91","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100011&lang=pt" 
"S0100-204X2008000100013-scl","Acumulação de nutrientes em solos arenosos adubados com esterco bovino","Galvão, Sandra Regina da Silva, Salcedo, Ignacio Hernan, Oliveira, Fabio Freire de","Pesquisa Agropecuária Brasileira; 43(1); 99-105","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100013&lang=pt" 
"S0100-204X2008000100014-scl","Emissão de dióxido de carbono após aplicação de dejetos líquidos e cama sobreposta de suínos","Giacomini, Sandro José, Aita, Celso","Pesquisa Agropecuária Brasileira; 43(1); 107-114","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100014&lang=pt" 
"S0100-204X2008000100015-scl","Macrofauna edáfica associada a plantas de cobertura em plantio direto em um Latossolo Vermelho do Cerrado","Santos, Glenio Guimarães, Silveira, Pedro Marques da, Marchão, Robélio Leandro, Becquer, Thierry, Balbino, Luiz Carlos","Pesquisa Agropecuária Brasileira; 43(1); 115-122","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100015&lang=pt" 
"S0100-204X2008000100018-scl","Hematological, biochemical and ruminant parameters for diagnosis of left displacement of the abomasum in dairy cows from Southern Brazil","Cardoso, Felipe Cardoso de, Esteves, Vanessa Sinnott, Oliveira, Simone Tostes de, Lasta, Camila Serina, Valle, Stella Faria, Campos, Rómulo, González, Félix Hilario Diaz","Pesquisa Agropecuária Brasileira; 43(1); 141-147","Pesquisa Agropecuária Brasileira","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000100018&lang=pt" 
"S1810-634X2008000100001-per","La Educación en el siglo XXI","","Revista de la Sociedad Química del Perú; 74(1); 1-2","Revista de la Sociedad Química del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2008000100001&lang=pt" 
"S1810-634X2008000100003-per","Estudio fractográfico y microcristalino de la pasta de la cerámica Nasca","López Milla, Alcides, Santiago Contrerasa, Julio","Revista de la Sociedad Química del Perú; 74(1); 20-29","Revista de la Sociedad Química del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2008000100003&lang=pt" 
"S1810-634X2008000100004-per","Efecto de aminoácidos sobre la oxidación de vitamina C inducida por Ion Cúprico","Reátegui Arévalo, Óscar, Fukusaki Yoshizawa, Alejandro, Guija Poma, Emilio","Revista de la Sociedad Química del Perú; 74(1); 30-39","Revista de la Sociedad Química del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2008000100004&lang=pt" 
"S1810-634X2008000100007-per","Aplicaciones tecnológicas de las arcillas modificadas","Picasso, Gino, Sun Kou, María del Rosario","Revista de la Sociedad Química del Perú; 74(1); 57-74","Revista de la Sociedad Química del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2008000100007&lang=pt" 
"S1810-634X2008000100002-per","Síntesis y caracterización de arcillas organofílicas y su aplicación como adsorbentes del fenol","Lazo, José C., Navarro, Abel E., Sun-Kou, María R., Llanos, Bertha P.","Revista de la Sociedad Química del Perú; 74(1); 3-19","Revista de la Sociedad Química del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2008000100002&lang=pt" 
"S1810-634X2008000100006-per","Fibra dietaria en variedades peruanas de frutas, tubérculos, cereales y leguminosas","Glorio, P., Repo-Carrasco, R., Velezmoro, C, Anticona, S, Huaranga, R, Martínez, P, Melgarejo, S, Astuhuaman, L, Huamán, N.E, Icochea, J.C, Peña, J.C","Revista de la Sociedad Química del Perú; 74(1); 46-56","Revista de la Sociedad Química del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2008000100006&lang=pt" 
"S1810-634X2008000100005-per","Evaluación de la actividad antioxidante del berro (Nasturtium officinale)","Navarro Cruz, Addí Rhode, Padilla Velazco, Ana Lilia, Dávila Márquez, Rosa María, Pérez Tlahuis, María del Rosario, Sosa Sánchez, Raúl Ávila","Revista de la Sociedad Química del Perú; 74(1); 40-45","Revista de la Sociedad Química del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2008000100005&lang=pt" 
"S1130-01082008000100003-esp","Carcinomas neuroendocrinos de colon y recto: Experiencia de una unidad en seis años","Vilallonga, R., Espín Basany, E., López Cano, M., Landolfi, S., Armengol Carrasco, M.","Revista Española de Enfermedades Digestivas; 100(1); 11-16","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100003&lang=pt" 
"S1130-01082008000100010-esp","Estenosis isquémica tardía tras resección anterior de recto","Zuloaga, J., Arias-Díaz, J., Fernández-Díez, S., Balibrea, J. M., Balibrea, J. L.","Revista Española de Enfermedades Digestivas; 100(1); 49-52","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100010&lang=pt" 
"S1130-01082008000100005-esp","Problemas diagnósticos en la enfermedad celiaca del adulto","Fernández Salazar, L. I., Torre Ferrera, N. de la, Velayos Jiménez, B., Nocito Colón, M., González Hernández, J. M., Garrote Adrados, J. A.","Revista Española de Enfermedades Digestivas; 100(1); 24-28","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100005&lang=pt" 
"S1130-01082008000100004-esp","Tolerancia, seguridad y eficacia de la preparación para colonoscopia con fosfato de sodio: el papel de la edad","Rodríguez-Alcalde, D., Marín-Gabriel, J. C., Rodríguez-Muñoz, S., Cruz Bértolo, J. de la, Barreales-Valbuena, M., Manzano-Alonso, M. L., Solís-Herruzo, J. A.","Revista Española de Enfermedades Digestivas; 100(1); 17-23","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100004&lang=pt" 
