"S1806-11172016000300419-scl","A Teoria de Duffin-Kemmer-Petiau","Cardoso, T.R., Pimentel, B.M.","Revista Brasileira de Ensino de Física; 38(3); -","Revista Brasileira de Ensino de Física","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172016000300419&lang=pt" 
"S0103-51502016000300589-scl","Effects of resistance training in individuals with knee osteoarthritis","Aguiar, Grazielle Cordeiro, Rocha, Samira Gonçalves, Rezende, Gisele Aparecida da Silva, Nascimento, Marcela Rêgo do, Scalzo, Paula Luciana","Fisioterapia em Movimento; 29(3); 589-596","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300589&lang=pt" 
"S0103-51502016000300449-scl","Functional disability for mobility in adults: a population-based study","Yonamine, Cristhiane Yumi, Matsuo, Tiemi, Souza, Regina Kazue Tanno de, Loch, Mathias Roberto, Cabrera, Marcos Aparecido Sarria","Fisioterapia em Movimento; 29(3); 449-459","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300449&lang=pt" 
"S0103-51502016000300533-scl","Association between family poverty and the neuropsychomotor development of children in the administrative districts of Belém","Costa, Elson Ferreira, Cavalcante, Lilia Iêda Chaves, Silva, Mariane Lopes da, Guerreiro, Talitha Buenaño França","Fisioterapia em Movimento; 29(3); 533-542","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300533&lang=pt" 
"S0103-51502016000300469-scl","Diabetic footwear: is it an assistive technology capable of reducing peak plantar pressures in elderly patients with neuropathy?","Oliveira, Alexandre Faraco de, Marchi, Ana Carolina Bertoletti De, Leguisamo, Camila Pereira","Fisioterapia em Movimento; 29(3); 469-476","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300469&lang=pt" 
"S2446-47402016000300243-scl","Image segmentation and particles classification using texture analysis method","Atteya, Mayar Aly, Salem, Mohammed Abdel-Megeed Mohammed, Hegazy, Doaa Abdel Karim Mohamed, Roushdy, Mohammed Ismail","Research on Biomedical Engineering; 32(3); 243-252","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000300243&lang=pt" 
"S0103-51502016000300515-scl","Effect of global postural re-education and isostretching in patients with nonspecific chronic low back pain: a randomized clinical trial","Guastala, Fábio Alexandre Moreschi, Guerini, Mayara Hilda, Klein, Patricia Fernanda, Leite, Vanessa Cristina, Cappellazzo, Renata, Facci, Ligia Maria","Fisioterapia em Movimento; 29(3); 515-525","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300515&lang=pt" 
"S0103-51502016000300609-scl","The Pilates method in the rehabilitation of musculoskeletal disorders: a systematic review","Cruz, Josiane Cristiane, Liberali, Rafaela, Cruz, Ticiane Marcondes Fonseca da, Netto, Maria Ines Artaxo","Fisioterapia em Movimento; 29(3); 609-622","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300609&lang=pt" 
"S0103-51502016000300635-scl","Pelvic floor muscle exercises with or without electric stimulation and post-prostectomy urinary incontinence: a systematic review","Zaidan, Patrícia, Silva, Elirez Bezerra da","Fisioterapia em Movimento; 29(3); 635-649","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000300635&lang=pt" 
"S1683-07892016000200002-bol","Evaluación de Activadores Naturales para Acelerar el Proceso de Compostaje de Residuos Orgánicos en el Municipio de Quillacollo","Azurduy, Sheila, Azero, Mauricio, Ortuño, Noel","Acta Nova; 7(4); 369-388","Acta Nova","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1683-07892016000200002&lang=pt" 
"S1683-07892016000200004-bol","Estudio de Caracterización y Propuestas de Revalorización de Residuos de Construcción y Demolición en la Ciudad de Cochabamba","Vargas Meneses, Rodrigo, Luján Pérez, Marcos","Acta Nova; 7(4); 399-429","Acta Nova","Espanhol","2016","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1683-07892016000200004&lang=pt" 
"S0719-32622016000100002-chl","El impacto de las imágenes en una tarea de recontado: Diseño de un cuento ilustrado para niños basado en la Gramática Visual","Alvarado, Carola, Mangui, Dominique, Crespo, Nina","Logos (La Serena); 26(1); 23-39","Logos (La Serena)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-32622016000100002&lang=pt" 
"S0100-40422016000800979-scl","COMPLEXOS DE INCLUSÃO BINÁRIOS, TERNÁRIOS E QUATERNÁRIOS CONTENDO ÓLEO ESSENCIAL DE Lippia sidoides","Souza, Cláudia R. F., Ferraz-Freitas, Patrícia N., Oliveira, Wanderley P.","Química Nova; 39(8); 979-986","Química Nova","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422016000800979&lang=pt" 
"S0719-32622016000100008-chl","El poder en Foucault: «Un caleidoscopio magnífico»","Toscano López, Daniel","Logos (La Serena); 26(1); 111-124","Logos (La Serena)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-32622016000100008&lang=pt" 
"S1677-54492016000300182-scl","Perfil farmacoterapêutico de pacientes obesos no pós-operatório de cirurgia bariátrica","Kovaleski, Elenara Simoni, Schroeder, Helena, Krause, Mauricio, Dani, Caroline, Bock, Patrícia Martins","Jornal Vascular Brasileiro; 15(3); 182-188","Jornal Vascular Brasileiro","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492016000300182&lang=pt" 
"S0011-85162016000800001-sza","The dental student: paradox or paragon?","Evans, WG","South African Dental Journal; 71(8); 340-340","South African Dental Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162016000800001&lang=pt" 
"S0121-08072016000300001-col","La declaración de interés público de imatinib (Glivec®): entre lo dulce y lo amargo","Vaca, Claudia","Revista de la Universidad Industrial de Santander. Salud; 48(3); 273-274","Revista de la Universidad Industrial de Santander. Salud","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-08072016000300001&lang=pt" 
"S0102-67202016000300173-scl","BRAZILIAN CONSENSUS FOR MULTIMODAL TREATMENT OF COLORECTAL LIVER METASTASES. MODULE 3: CONTROVERSIES AND UNRESECTABLE METASTASES","TORRES, Orlando Jorge Martins, MARQUES, Márcio Carmona, SANTOS, Fabio Nasser, FARIAS, Igor Correia de, COUTINHO, Anelisa Kruschewsky, OLIVEIRA, Cássio Virgílio Cavalcante de, KALIL, Antonio Nocchi, MELLO, Celso Abdon Lopes de, KRUGER, Jaime Arthur Pirola, FERNANDES, Gustavo dos Santos, QUIREZE JR, Claudemiro, MURAD, André M., SILVA, Milton José de BARROS E, ZURSTRASSEN, Charles Edouard, FREITAS, Helano Carioca, CRUZ, Marcelo Rocha, WESCHENFELDER, Rui, LINHARES, Marcelo Moura, CASTRO, Leonaldson dos Santos, VOLLMER, Charles, DIXON, Elijah, RIBEIRO, Héber Salvador de Castro, COIMBRA, Felipe José Fernandez","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 29(3); 173-179","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202016000300173&lang=pt" 
"S2446-47402016000300213-scl","Effects of vibration therapy in the musculoskeletal system in post-surgical breast cancer women: longitudinal controlled clinical study","Mendes, Izabela dos Santos, Lima, Fernanda Pupio Silva, Freitas, Sergio Takeshi Tatsukawa de, Prianti, Tamires de Souza Moreira, Andrade, Adriano Oliveira, Lima, Mario Oliveira","Research on Biomedical Engineering; 32(3); 213-222","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000300213&lang=pt" 
"S1414-462X2016000300317-scl","Consumo de drogas ilícitas como fator de risco para traumatismo dentário em adolescentes","Paiva, Haroldo Neves de, Paiva, Paula Cristina Pelli, Silva, Carlos José de Paula, Lamounier, Joel Alves, Ferreira, Efigênia Ferreira e, Zarzar, Patrícia Maria","Cadernos Saúde Coletiva; 24(3); 317-322","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000300317&lang=pt" 
"S1414-462X2016000300339-scl","Febre maculosa no Brasil: estudo da mortalidade para a vigilância epidemiológica","Araújo, Rachel Paes de, Navarro, Marli Brito Moreira de Albuquerque, Cardoso, Telma Abdalla de Oliveira","Cadernos Saúde Coletiva; 24(3); 339-346","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000300339&lang=pt" 
"S1414-462X2016000300368-scl","Prevalência e fatores associados à experimentação e ao consumo de bebidas alcoólicas entre adolescentes escolares","Veiga, Luciene Dias Bispo, Santos, Vanessa Cruz, Santos, Mayra Gomes dos, Ribeiro, Jamilly Freitas, Amaral, Alda Silva Nery, Nery, Adriana Alves, Casotti, Cezar Augusto","Cadernos Saúde Coletiva; 24(3); 368-375","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000300368&lang=pt" 
"S1414-462X2016000300323-scl","Estratégia Saúde da Família versus centro de saúde: modalidades de serviços na percepção do usuário","Leite, Raquel Sousa, Santos, Ariany Paula Medeiros, Lima, Cássio de Almeida, Ribeiro, Cláudia Danyella Alves Leão, Brito, Maria Fernanda Santos Figueiredo","Cadernos Saúde Coletiva; 24(3); 323-329","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000300323&lang=pt" 
"S1414-462X2016000300282-scl","Tendências da mortalidade por câncer do colo do útero no Piauí, 2000-2011","Madeiro, Alberto, Rufino, Andréa Cronemberger, Brandão, Natália de Sampaio, Santos, Isadora de Sousa","Cadernos Saúde Coletiva; 24(3); 282-285","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000300282&lang=pt" 
"S1414-462X2016000300361-scl","Qualidade sanitária da água distribuída para abastecimento público em Rio Verde, Goiás, Brasil","Morais, Wilker Alves, Saleh, Bruno Botelho, Alves, Wellmo dos Santos, Aquino, Davi Santiago","Cadernos Saúde Coletiva; 24(3); 361-367","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000300361&lang=pt" 
"S1414-462X2016000300286-scl","Health, work, and development: agribusiness and accidents in a state in the Brazilian Amazon region","Nascimento, Darléia Cristina Gross Andrade, Pignatti, Marta Gislene, Leão, Luis Henrique da Costa, Oliveira, Ângela Lúcia Piccini de, Silva, Ageo Mário Cândido da","Cadernos Saúde Coletiva; 24(3); 286-293","Cadernos Saúde Coletiva","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000300286&lang=pt" 
"S1414-462X2016000300330-scl","Comparação do perfil socioeconômico e condições de saúde de idosos residentes em áreas predominantemente rural e urbana da Grande Florianópolis, Sul do Brasil","Confortin, Susana Cararo, Antes, Danielle Ledur, Pessini, Júlia, Schneider, Ione Jayce Ceola, d’Orsi, Eleonora, Barbosa, Aline Rodrigues","Cadernos Saúde Coletiva; 24(3); 330-338","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000300330&lang=pt" 
"S1414-462X2016000300376-scl","Hipertensão arterial e fatores associados em uma comunidade quilombola da Bahia, Brasil","Silva, Thalane Souza Santos, Bomfim, Catharine Abreu, Leite, Túlio César Rodrigues, Moura, Cristiano Soares, Belo, Najara de Oliveira, Tomazi, Laize","Cadernos Saúde Coletiva; 24(3); 376-383","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000300376&lang=pt" 
"S1984-92302016000300487-scl","Participação eletrônica e suas relações com governo eletrônico, efetividade governamental e accountability","Braga, Lamartine Vieira, Gomes, Ricardo Corrêa","Organizações &amp; Sociedade; 23(78); 487-506","Organizações &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302016000300487&lang=pt" 
"S1984-92302016000300438-scl","Aprendizagem de competências, suporte à transferência de aprendizagem e desempenho docente: evidências de validação de escala e teste de relações","Pereira, Lívia Maria Reis, Loiola, Elisabeth, Gondim, Sonia Maria Guedes","Organizações &amp; Sociedade; 23(78); 438-459","Organizações &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302016000300438&lang=pt" 
"S0011-52582016000300755-scl","Activismo y Prácticas Digitales en la Construcción de una Esfera LGTB en España","Grau, Begonya Enguix","Dados; 59(3); 755-787","Dados","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582016000300755&lang=pt" 
"S0011-52582016000300651-scl","Padrões de Participação em Governos de Esquerda na América Latina: Brasil e Venezuela em Perspectiva Comparada","Silva, Fabricio Pereira da","Dados; 59(3); 651-681","Dados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582016000300651&lang=pt" 
"S0011-52582016000300789-scl","Gênero e Representação Política nos Conselhos Gestores no Brasil","Lüchmann, Lígia Helena Hahn, Almeida, Carla, Gimenes, Éder Rodrigo","Dados; 59(3); 789-822","Dados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582016000300789&lang=pt" 
"S0011-52582016000300867-scl","As Organizações Sociais de Saúde e o Desempenho do SUS: Um Estudo sobre a Atenção Básica em São Paulo","Coelho, Vera Schattan P., Greve, Jane","Dados; 59(3); 867-901","Dados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582016000300867&lang=pt" 
"S0011-52582016000300719-scl","Divisão Sexual do Trabalho e Democracia","Biroli, Flávia","Dados; 59(3); 719-754","Dados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582016000300719&lang=pt" 
"S0011-52582016000300903-scl","Realismos Autoritário e Liberal: Aspectos da Imaginação sobre Representação Política em Fins do Século XIX e Princípios do XX","Hollanda, Cristina Buarque de, Coser, Ivo","Dados; 59(3); 903-946","Dados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582016000300903&lang=pt" 
"S0011-52582016000300609-scl","O que Fazem os Conselhos e Quando o Fazem? Padrões Decisórios e o Debate dos Efeitos das Instituições Participativas","Lavalle, Adrian Gurza, Voigt, Jessica, Serafim, Lizandra","Dados; 59(3); 609-650","Dados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582016000300609&lang=pt" 
"S0011-52582016000300683-scl","Redes Informales e Instituciones Democráticas en América Latina","Mascareño, Aldo, Silva, Artur Stamford da, Loewe, Daniel, Rodríguez, Darío","Dados; 59(3); 683-718","Dados","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582016000300683&lang=pt" 
"S0004-06492016000300006-ven","Angioma en penacho congénito: Presentación de un caso de aspecto típico","Pérez-Elizondo, Antonio David","Archivos Venezolanos de Puericultura y Pediatría; 79(3); 108-110","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492016000300006&lang=pt" 
"S0004-06492016000300004-ven","Hallazgos clínicos y citogenéticos en niñas con Sindrome Turner: Reporte de 6 casos","Salas, Ruth, López Calderón, Minijay, Rojas, Carmen","Archivos Venezolanos de Puericultura y Pediatría; 79(3); 99-104","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492016000300004&lang=pt" 
"S0004-06492016000300005-ven","Estenosis glótica por sinequia de cuerdas vocales secundario a cuerpo extraño: A propósito de un caso","Romeo Villarroel, María Alejandra, Hernández Tayupo, Mabel Karina, Collante Becerra, Adriana Carolina, Grisanti, Carmen","Archivos Venezolanos de Puericultura y Pediatría; 79(3); 105-107","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492016000300005&lang=pt" 
"S0004-06492016000300001-ven","Desnutrición grave: Un llamado de atención","Soto de Sanabria, Ingrid","Archivos Venezolanos de Puericultura y Pediatría; 79(3); 85-85","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492016000300001&lang=pt" 
"S0004-06492016000300002-ven","Neumonía complicada con derrame pleural: Características clínicas y microbiológicas en pacientes pediátricos del Hospital de Niños “JM de los Ríos”","López, Diana, Salazar, Marifrancy, Del Moral, Irismar, Aurenty, Lisbeth","Archivos Venezolanos de Puericultura y Pediatría; 79(3); 86-91","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492016000300002&lang=pt" 
"S0004-06492016000300003-ven","Relación de la carga ácida de la dieta y el estado acido-base en niños con Enfermedad Renal Crónica","Lugo, Gustavo, Moreno, Greysi, Marcano, Gilmary, López, Michelle","Archivos Venezolanos de Puericultura y Pediatría; 79(3); 92-98","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492016000300003&lang=pt" 
"S2340-98942016000300002-esp","Desempeño del método cromatográfico para el estudio de estabilidad del aceite de hígado de tiburón microencapsulado empleando acetato de quitosana","García, Caridad, Fernández, Mirna, Castiñeira, Mirta, Martínez, Vivian, López, Orestes, Nogueira, Antonio","Ars Pharmaceutica (Internet); 57(3); 111-119","Ars Pharmaceutica (Internet)","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2340-98942016000300002&lang=pt" 
"S2237-96222016000300637-spa","Método para estimação de indicadores de mortalidade infantil e baixo peso ao nascer para municípios do Brasil, 2012","Matijasevich, Alicia, Cortez-Escalante, Juan José, Rabello Neto, Dacio, Fernandes, Roberto Men, Victora, Cesar Gomes","Epidemiologia e Serviços de Saúde; 25(3); 637-646","Epidemiologia e Serviços de Saúde","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222016000300637&lang=pt" 
"S1516-84842016000300182-scl","Blood group polymorphisms in Brazil","Castilho, Lilian","Revista Brasileira de Hematologia e Hemoterapia; 38(3); 182-183","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000300182&lang=pt" 
"S1516-84842016000300271-scl","Transient red cell aplasia in two brothers with sickle cell anemia and erythrovirus B19 infection","Furtado, Marina dos Santos Brito Silva, Martins, Marina Lobato, Figueiredo, Rosângela Maria de, Viana, Marcos Borato","Revista Brasileira de Hematologia e Hemoterapia; 38(3); 271-273","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000300271&lang=pt" 
"S1516-84842016000300220-scl","Perceptions of donors and recipients regarding blood donation","Conceição, Vander Monteiro da, Araújo, Jeferson Santos, Oliveira, Rafaela Azevedo Abrantes de, Santana, Mary Elizabeth de, Zago, Márcia Maria Fontão","Revista Brasileira de Hematologia e Hemoterapia; 38(3); 220-224","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000300220&lang=pt" 
"S1516-84842016000300267-scl","Renal papillary necrosis in a patient with sickle cell disease","Pereira, Benedito Jorge, Andrade, Raquel de","Revista Brasileira de Hematologia e Hemoterapia; 38(3); 267-270","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000300267&lang=pt" 
"S1516-84842016000300264-scl","Diminished expression of B antigen mimicking B3 phenotype in a patient with AML-M3: a rare case report","Subramaniyan, Rajeswari","Revista Brasileira de Hematologia e Hemoterapia; 38(3); 264-266","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000300264&lang=pt" 
"S1516-84842016000300186-scl","Diffuse large B cell gastric lymphoma a rare disease: the effort to obtain scientific data in a multicenter, multinational retrospective trial","Hamerschlak, Nelson","Revista Brasileira de Hematologia e Hemoterapia; 38(3); 186-187","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000300186&lang=pt" 
"S1516-84842016000300184-scl","Bioengineering coagulation factors for improved hemophilia treatments : Comment on: the mutation F309S increases FVIII secretion in human cell line","Hounkpe, Bidossessi Wilfried, Paula, Erich Vinicius de","Revista Brasileira de Hematologia e Hemoterapia; 38(3); 184-185","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000300184&lang=pt" 
"S1980-57642016000300198-scl","Association of education with occurrence of delirium in patients from an emergency department","Mota, Simone Sieben da, Delgado, Vera Beatriz, Schumacher-Schuh, Artur Francisco, Chaves, Marcia Lorena Fagundes","Dementia &amp; Neuropsychologia; 10(3); 198-203","Dementia &amp; Neuropsychologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-57642016000300198&lang=pt" 
"S1516-84842016000300247-scl","Age-adjusted international prognostic index is a predictor of survival in gastric diffuse B-cell non-Hodgkin lymphoma patients","Delamain, Marcia Torresan, Silva, Maria Gomes da, Miranda, Eliana Cristina Martins, Desterro, Joana, Luminari, Stefano, Fedina, Anna, Merli, Francesco, Chiattone, Carlos Sergio, Pagnano, Katia Borgia Barbosa, Federico, Massimo, Souza, Carmino Antonio de","Revista Brasileira de Hematologia e Hemoterapia; 38(3); 247-251","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000300247&lang=pt" 
"S1414-462X2016000300301-scl","Exposição ocupacional de trabalhadores rurais a agrotóxicos","Santana, Claudiana Mangabeira, Costa, Antonia Rosa da, Nunes, Rafaela Maria Pessoa, Nunes, Nárcia Mariana Fonseca, Peron, Ana Paula, Melo-Cavalcante, Ana Amélia de Carvalho, Ferreira, Paulo Michel Pinheiro","Cadernos Saúde Coletiva; 24(3); 301-307","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000300301&lang=pt" 
"S1414-462X2016000300308-scl","Prevalência de diabetes mellitus e adesão medicamentosa em idosos da Estratégia Saúde da Família de Porto Alegre/RS","Silva, Aline Bueno da, Engroff, Paula, Sgnaolin, Vanessa, Ely, Luísa Scheer, Gomes, Irenio","Cadernos Saúde Coletiva; 24(3); 308-316","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000300308&lang=pt" 
"S1414-462X2016000300294-scl","Mercury in fish and sediment of Purus River, Acre State, Amazon","Castro, Nathália Santos Serrão de, Braga, Camila Margalho, Trindade, Paulo Arthur de Abreu, Giarrizzo, Tommaso, Lima, Marcelo de Oliveira","Cadernos Saúde Coletiva; 24(3); 294-300","Cadernos Saúde Coletiva","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000300294&lang=pt" 
"S2237-96222016000300637-scl","Método para estimação de indicadores de mortalidade infantil e baixo peso ao nascer para municípios do Brasil, 2012","Matijasevich, Alicia, Cortez-Escalante, Juan José, Rabello Neto, Dacio, Fernandes, Roberto Men, Victora, Cesar Gomes","Epidemiologia e Serviços de Saúde; 25(3); 637-646","Epidemiologia e Serviços de Saúde","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-96222016000300637&lang=pt" 
"S1516-84842016000300240-scl","Clinical, hematological and genetic data of a cohort of children with hemoglobin SD","Rezende, Paulo do Val, Costa, Kenia da Silva, Domingues Junior, Jose Carlos, Silveira, Paula Barezani, Belisário, André Rolim, Silva, Celia Maria, Viana, Marcos Borato","Revista Brasileira de Hematologia e Hemoterapia; 38(3); 240-246","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000300240&lang=pt" 
"S2340-98942016000300003-esp","Hospital effluent constitutes a source of vancomycin-resistant enterococci","Nuñez, Lidia, Tornello, Carina, Puentes, Noel, Espigares, Elena, Moreno, Elena, Espigares, Miguel, Moretton, Juan","Ars Pharmaceutica (Internet); 57(3); 121-126","Ars Pharmaceutica (Internet)","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2340-98942016000300003&lang=pt" 
"S2340-98942016000300005-esp","Development and Evaluation of Isoniazid Loaded Silk Fibroin Microsphere","Singh, Narinder, Gautam, Surya Prakash, Harjaskaran, , Amanjot, , Singh, Lovepreet, Verma, Ankit, Rani, Shalu","Ars Pharmaceutica (Internet); 57(3); 137-142","Ars Pharmaceutica (Internet)","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2340-98942016000300005&lang=pt" 
"S1516-84842016000300206-scl","Distribution of serological screening markers at a large hematology and hemotherapy center in Minas Gerais, Southeastern Brazil","Silva, Sônia Mara Nunes da, Oliveira, Milena Batista de, Martinez, Edson Zangiacomi","Revista Brasileira de Hematologia e Hemoterapia; 38(3); 206-213","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000300206&lang=pt" 
"S1516-84842016000300252-scl","Transfusion medicine in medical education: an analysis of curricular grids in Brazil and a review of the current literature","Vaena, Marcella Martins de Vasconcelos, Cotta-de-Almeida, Vinicius, Alves, Luiz Anastacio","Revista Brasileira de Hematologia e Hemoterapia; 38(3); 252-256","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000300252&lang=pt" 
"S1516-84842016000300179-scl","Reactive oxygen species overload promotes apoptosis in JAK2V617F-positive cell lines","Machado-Neto, João Agostinho, Traina, Fabiola","Revista Brasileira de Hematologia e Hemoterapia; 38(3); 179-181","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000300179&lang=pt" 
"S1516-84842016000300225-scl","Assessment of blood sample stability for complete blood count using the Sysmex XN-9000 and Mindray BC-6800 analyzers","Buoro, Sabrina, Mecca, Tommaso, Seghezzi, Michela, Manenti, Barbara, Cerutti, Lorenzo, Dominoni, Paola, Napolitano, Gavino, Resmini, Stefano, Crippa, Alberto, Ottomano, Cosimo, Lippi, Giuseppe","Revista Brasileira de Hematologia e Hemoterapia; 38(3); 225-239","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000300225&lang=pt" 
"S1516-84842016000300214-scl","A new index to discriminate between iron deficiency anemia and thalassemia trait","Matos, Januária F., Dusse, Luci M.S., Borges, Karina B.G., Castro, Ricardo L.V. de, Coura-Vital, Wendel, Carvalho, Maria das G.","Revista Brasileira de Hematologia e Hemoterapia; 38(3); 214-219","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000300214&lang=pt" 
