"S0102-09352009000300034-scl","Aspectos radiográficos de condrodistrofia felina","Feliciano, M.A.R., Leite, C.A.L., Vicente, W.R.R., Silveira, T.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 755-757","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300034&lang=pt" 
"S0103-21002009000300005-scl","Avaliação da qualidade de vida de idosos que recebem cuidados domiciliares","Martins, Josiane de Jesus, Schneider, Dulcinéia Ghizoni, Coelho, Francyne Lee, Nascimento, Eliane Regina Pereira do, Albuquerque, Gelson Luiz de, Erdmann, Alacoque Lorenzini, Gama, Fabiana Oenning da","Acta Paulista de Enfermagem; 22(3); 265-271","Acta Paulista de Enfermagem","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002009000300005&lang=pt" 
"S0103-21002009000300007-scl","Tradução e adaptação para a cultura brasileira do &quot;Nursing Work Index - Revised&quot;","Gasparino, Renata Cristina, Guirardello, Edinêis de Brito","Acta Paulista de Enfermagem; 22(3); 281-287","Acta Paulista de Enfermagem","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002009000300007&lang=pt" 
"S0103-21002009000300008-scl","O olhar dos estudantes sobre sua formação profissional para o Sistema Único de Saúde","Erdmann, Alacoque Lorenzini, Rodrigues, Anna Carolina Ribeiro Lopes, Koerich, Magda Santos, Backes, Dirce Stein, Drago, Livia Crespo, Klock, Patrícia","Acta Paulista de Enfermagem; 22(3); 288-294","Acta Paulista de Enfermagem","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002009000300008&lang=pt" 
"S0103-21002009000300009-scl","Sintomas somáticos de depressão em pacientes portadores de retocolite ulcerativa idiopática","Serafim, Taís de Souza, Costa, Ana Lucia Siqueira","Acta Paulista de Enfermagem; 22(3); 295-300","Acta Paulista de Enfermagem","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002009000300009&lang=pt" 
"S0103-21002009000300010-scl","Anotações do enfermeiro no acompanhamento do crescimento e desenvolvimento infantil","Oliveira, Valéria Conceição de, Cadette, Matilde Meire Miranda","Acta Paulista de Enfermagem; 22(3); 301-306","Acta Paulista de Enfermagem","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002009000300010&lang=pt" 
"S0103-21002009000300011-scl","Prevalência e fatores de risco associados à infecção pelo Vírus da Imunodeficiência Humana em parturientes","Alves, Kelly Cristina de Lima Ramos Pinto, Fram, Daiana Souza, Diccini, Solange, Belasco, Angélica Gonçalves Silva, Barbosa, Dulce Aparecida","Acta Paulista de Enfermagem; 22(3); 307-312","Acta Paulista de Enfermagem","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002009000300011&lang=pt" 
"S0103-21002009000300012-scl","Avaliação da qualidade dos registros de enfermagem no prontuário por meio da auditoria","Setz, Vanessa Grespan, D&#039;Innocenzo, Maria","Acta Paulista de Enfermagem; 22(3); 313-317","Acta Paulista de Enfermagem","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002009000300012&lang=pt" 
"S0103-21002009000300013-scl","Ação terapêutica da própolis em lesões cutâneas","Barbosa, Maria Helena, Zuffi, Fernanda Bonato, Maruxo, Harriet Bárbara, Jorge, Lívia Loamí Ruyz","Acta Paulista de Enfermagem; 22(3); 318-322","Acta Paulista de Enfermagem","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002009000300013&lang=pt" 
"S0103-21002009000300016-scl","A enfermagem e a prevenção do uso indevido de drogas entre adolescentes","Corradi-Webster, Clarissa Mendonça, Esper, Larissa Horta, Pillon, Sandra Cristina","Acta Paulista de Enfermagem; 22(3); 331-334","Acta Paulista de Enfermagem","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002009000300016&lang=pt" 
"S1413-70542009000300014-scl","Fontes e proporção de material orgânico para a produção de mudas de cafeeiro em tubetes","Dias, Ricardo, Melo, Benjamim de, Rufino, Marina de Alcântara, Silveira, Daniel Lima, Morais, Tâmara Prado de, Santana, Denise Garcia de","Ciência e Agrotecnologia; 33(3); 758-764","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300014&lang=pt" 
"S0100-83582009000200007-scl","Habilidade competitiva de plantas de arroz com biótipos de capim-arroz resistente ou suscetível ao quinclorac","Tironi, S.P., Galon, L., Concenço, G., Ferreira, E.A., Silva, A.F., Aspiazú, I., Ferreira, F.A., Silva, A.A., Noldin, J.A.","Planta Daninha; 27(2); 257-263","Planta Daninha","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582009000200007&lang=pt" 
"S0100-39842009000300004-scl","Medidas do tendão do calcâneo no primeiro ano de vida","Bezerra, Ricardo Flávio de Araújo, Campos Júnior, Dioclécio, Bezerra, Vera Lúcia Vilar de Araújo, Pires Júnior, Augusto Cesar Bittencourt, Bezerra, Alexandre Sérgio de Araújo","Radiologia Brasileira; 42(3); 141-144","Radiologia Brasileira","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000300004&lang=pt" 
"S0100-39842009000300005-scl","Análise do masseter, por espectroscopia de próton, em pacientes com esclerose sistêmica","Marcucci, Marcelo, Abdala, Nitamar","Radiologia Brasileira; 42(3); 145-150","Radiologia Brasileira","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000300005&lang=pt" 
"S0100-39842009000300008-scl","Apresentações incomuns no diagnóstico por imagem do pseudotumor intraósseo do hemofílico","Santos, Marcel Koenigkam, Polezi, Mariana Basso, Engel, Edgard Eduard, Pastorello, Mônica Tempest, Simão, Marcelo Novelino, Elias Junior, Jorge, Nogueira-Barbosa, Marcello Henrique","Radiologia Brasileira; 42(3); 159-163","Radiologia Brasileira","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000300008&lang=pt" 
"S0100-39842009000300011-scl","Cadeira especial para o estudo videofluoroscópico da deglutição e suas disfunções","Costa, Milton Melciades Barbosa, Canevaro, Lucia Viviana, Koch, Hilton Augusto, DeBonis, Ricardo","Radiologia Brasileira; 42(3); 179-184","Radiologia Brasileira","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000300011&lang=pt" 
"S1516-18462009000200019-scl","Análise da influência do nistagmo espontâneo e pré-calórico na vectoeletronistagmografia","Munaro, Gisiane, Sleifer, Pricila, Pedroso, Fleming Salvador","Revista CEFAC; 11(2); 331-337","Revista CEFAC","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462009000200019&lang=pt" 
"S0100-39842009000300012-scl","Ressonância magnética da próstata: uma visão geral para o radiologista","Baroni, Ronaldo Hueb, Novis, Maria Ines, Caiado, Ângela Hissae Motoyama, Cerri, Luciana Mendes de Oliveira, Leite, Claudia da Costa, Cerri, Giovanni Guido","Radiologia Brasileira; 42(3); 185-192","Radiologia Brasileira","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000300012&lang=pt" 
"S0066-782X2009000600002-scl","Arquivos e o novo Qualis da Capes","Bacal, Fernando","Arquivos Brasileiros de Cardiologia; 92(6); 428-432","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000600002&lang=pt" 
"S0066-782X2009000600001-scl","Reconhecimento mundial aos Arquivos","Chagas, Antonio Carlos Palandri","Arquivos Brasileiros de Cardiologia; 92(6); 427-427","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000600001&lang=pt" 
"S0103-97332009000300017-scl","Influence of high frequency and moderate energy pulses on DLC deposition onto metallic substrates by magnetron sputtering technique","Oliveira, R. M., Hoshida, L., Ueda, M., Baba, K.","Brazilian Journal of Physics; 39(2); 331-336","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300017&lang=pt" 
"S0103-97332009000300016-scl","Berry&#039;s phase in the two-level model","Aguiar Pinto, A.C., Moutinho, M., Thomaz, M.T.","Brazilian Journal of Physics; 39(2); 326-330","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300016&lang=pt" 
"S0103-97332009000300015-scl","Characteristics of dielectric barrier discharge reactor for material treatment","Kostov, K.G., Honda, R. Y., Alves, L.M.S., Kayama, M.E.","Brazilian Journal of Physics; 39(2); 322-325","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300015&lang=pt" 
"S0103-97332009000300014-scl","Quantum effects in water: proton kinetic energy maxima in stable and supercooled liquid","Pietropaolo, Antonino, Senesi, Roberto, Andreani, Carla, Mayers, Jerry","Brazilian Journal of Physics; 39(2); 318-321","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300014&lang=pt" 
"S0103-97332009000300011-scl","An analytical treatment of the energy spectrum of hydrogen-like atoms perturbed by a generalized van der Waals potential","Amin, M.E., El-Aasser, M.A","Brazilian Journal of Physics; 39(2); 301-305","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300011&lang=pt" 
"S0103-97332009000300009-scl","Dose rate influence on deep dose deposition using a 6 MV x-ray beam from a linear accelerator","Sousa, R.V.","Brazilian Journal of Physics; 39(2); 292-296","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300009&lang=pt" 
"S0103-97332009000300008-scl","Paramagnetic shimming for high-field MRI","Tomasi, D., Wang, R.L.","Brazilian Journal of Physics; 39(2); 287-291","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300008&lang=pt" 
"S0103-97332009000300007-scl","Polarized EMC effect in the Thermodynamical Bag Model","Ganesamurthy, K., Sambasivam, R.","Brazilian Journal of Physics; 39(2); 283-286","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300007&lang=pt" 
"S0103-97332009000300006-scl","Electrical transport phenomenon in the lead bismuth borate glasses","Nadeem, M. Y., Javed, Asim, Wasiq, M. F.","Brazilian Journal of Physics; 39(2); 280-282","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300006&lang=pt" 
"S0103-97332009000300005-scl","Simulation studies for ion beam extraction systems","Abdelrahman, M.M., Zakhary, S.G.","Brazilian Journal of Physics; 39(2); 275-279","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300005&lang=pt" 
"S0103-97332009000300004-scl","VUV spectral line emission measurements in the TCABR tokamak","Machida, M., Daltrini, A.M., Severo, J.H.F., Nascimento, I.C., Sanada, E.K., Elizondo, J.I., Kuznetsov, Y.K.","Brazilian Journal of Physics; 39(2); 270-274","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300004&lang=pt" 
"S0103-97332009000300003-scl","Three cell flying capacitor inverter for dielectric barrier discharge plasma applications","Flores-Fuentes, A., Peña-Eguiluz, R., López-Callejas, , Mercado-Cabrera, A., Valencia-Alvarado, R., Barocio, S. R., de la Piedad-Beneitez, A.","Brazilian Journal of Physics; 39(2); 264-269","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300003&lang=pt" 
"S0103-97332009000300002-scl","Specific induced activity profile at the rotary specimen rack of IPR-R1 TRIGA reactor","Zangirolami, Dante Marco, Ferreira, Andréa Vidal, Oliveira, Arno Heeren de","Brazilian Journal of Physics; 39(2); 260-263","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300002&lang=pt" 
"S0103-97332009000300001-scl","Dynamical properties of a mutualism system in the presence of noise and time delay","Zeng, Chun-Hua, Zhang, Gui-Qin, Zhou, Xiao-Feng","Brazilian Journal of Physics; 39(2); 256-259","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300001&lang=pt" 
"S0103-97332009000300010-scl","Structural and dielectric properties of ZrO2 added (Na1/2Bi1/2)TiO3 ceramic","Kumari, K., Prasad, K., Yadav, K.L., Sen, S.","Brazilian Journal of Physics; 39(2); 297-300","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300010&lang=pt" 
"S0103-97332009000300013-scl","Director profile of a nematic between two concentric cylinders with inhomogeneous boundary conditions","Yednak, C.A.R., Lenzi, E.K., Evangelista, L.R.","Brazilian Journal of Physics; 39(2); 312-317","Brazilian Journal of Physics","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332009000300013&lang=pt" 
"S0103-166X2009000200014-scl","Desenvolvendo jovens leitoras","Witter, Geraldina Porto","Estudos de Psicologia (Campinas); 26(2); 261-262","Estudos de Psicologia (Campinas)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2009000200014&lang=pt" 
"S1413-41522009000200005-scl","Avaliação do processo de fluoretação nos sistemas de abastecimento de água da região de Araçatuba, São Paulo","Daré, Flávio, Dall’Aglio Sobrinho, Milton, Libânio, Marcelo","Engenharia Sanitaria e Ambiental; 14(2); 173-182","Engenharia Sanitaria e Ambiental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522009000200005&lang=pt" 
"S1413-41522009000200004-scl","Processo para remoção de ácido sulfídrico de biogás","Frare, Laercio Mantovani, Gimenes, Marcelino Luiz, Pereira, Nehemias Curvelo","Engenharia Sanitaria e Ambiental; 14(2); 167-172","Engenharia Sanitaria e Ambiental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522009000200004&lang=pt" 
"S1413-41522009000200002-scl","Consórcios intermunicipais para a destinação de RSU em aterros regionais: estudo prospectivo para os municípios no Estado do Paraná","Suzuki, Juliana Akiko Noguchi, Gomes, João","Engenharia Sanitaria e Ambiental; 14(2); 155-158","Engenharia Sanitaria e Ambiental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522009000200002&lang=pt" 
"S1413-41522009000200011-scl","Reúso de água em indústria de reciclagem de plástico tipo PEAD","Bordonalli, Angela Cristina Orsi, Mendes, Carlos Gomes da Nave","Engenharia Sanitaria e Ambiental; 14(2); 235-244","Engenharia Sanitaria e Ambiental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522009000200011&lang=pt" 
"S1413-41522009000200009-scl","Modelação matemática e otimização operacional de processos de membrana de ultrafiltração","Lautenschlager, Sandro Rogério, Ferreira Filho, Sidney Seckler, Pereira, Osni","Engenharia Sanitaria e Ambiental; 14(2); 215-222","Engenharia Sanitaria e Ambiental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522009000200009&lang=pt" 
"S0101-41612009000200007-scl","Dinâmica do emprego e custos de ajustamento na indústria do Rio Grande do Sul","Jacinto, Paulo de Andrade, Ribeiro, Eduardo Pontual","Estudos Econômicos (São Paulo); 39(2); 411-435","Estudos Econômicos (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612009000200007&lang=pt" 
"S0103-166X2009000200011-scl","Body building, travestismo e feminilidade","Próchno, Caio César Sousa Camargo, Nascimento, Maria José de Castro, Romera, Maria Lúcia Castilho","Estudos de Psicologia (Campinas); 26(2); 237-245","Estudos de Psicologia (Campinas)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2009000200011&lang=pt" 
"S0103-166X2009000200013-scl","O ser interior na psicanálise: fundamentos, modelos e processos","Prestes, Cristina Maria Filomena Monzoni","Estudos de Psicologia (Campinas); 26(2); 257-259","Estudos de Psicologia (Campinas)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2009000200013&lang=pt" 
"S0100-39842009000300003-scl","Qual o seu diagnóstico?","Daher, Renato Tavares, Faria, Renato da Silva, Moreira, Rubia Kelly Mendes, Daher, Ricardo Tavares","Radiologia Brasileira; 42(3); XI-XII","Radiologia Brasileira","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000300003&lang=pt" 
"S0100-39842009000300014-scl","Aneurisma venoso na junção esplenomesentérica e emergência da veia porta: relato de caso","Lorenzato, Mário Müller, Granzotto, Enrico, Barros, André Della Barba, Silveira, Natasha Zacharias Arruda, Souza, Pedro Henrique Raffa de","Radiologia Brasileira; 42(3); 199-201","Radiologia Brasileira","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000300014&lang=pt" 
"S1806-37132009000600003-scl","Dimensions of sleepiness and their correlations with sleep-disordered breathing in mild sleep apnea","Martinez, Denis, Lumertz, Magali Santos, Lenz, Maria do Carmo Sfreddo","Jornal Brasileiro de Pneumologia; 35(6); 507-514","Jornal Brasileiro de Pneumologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132009000600003&lang=pt" 
"S1806-37132009000600004-scl","Tratamento cirúrgico das estenoses traqueais congênitas","Terra, Ricardo Mingarini, Minamoto, Helio, Mariano, Lívia Caroline Barbosa, Fernandez, Angelo, Otoch, José Pinhata, Jatene, Fabio Biscegli","Jornal Brasileiro de Pneumologia; 35(6); 515-520","Jornal Brasileiro de Pneumologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132009000600004&lang=pt" 
"S1806-37132009000600007-scl","Avaliação do desempenho diagnóstico e do valor de corte para o índice de respiração rápida e superficial na predição do insucesso da extubação","Danaga, Aline Roberta, Gut, Ana Lúcia, Antunes, Letícia Cláudia de Oliveira, Ferreira, Ana Lúcia dos Anjos, Yamaguti, Fábio Akio, Christovan, José Carlos, Teixeira, Ubirajara, Guedes, Cristina Aparecida Veloso, Sasseron, Ana Beatriz, Martin, Luis Cuadrado","Jornal Brasileiro de Pneumologia; 35(6); 541-547","Jornal Brasileiro de Pneumologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132009000600007&lang=pt" 
"S1806-37132009000600010-scl","Eosinofilia pulmonar","Campos, Luiz Eduardo Mendes, Pereira, Luiz Fernando Ferreira","Jornal Brasileiro de Pneumologia; 35(6); 561-573","Jornal Brasileiro de Pneumologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132009000600010&lang=pt" 
"S1806-37132009000600011-scl","Diretrizes brasileiras para pneumonia adquirida na comunidade em adultos imunocompetentes - 2009","Corrêa, Ricardo de Amorim, Lundgren, Fernando Luiz Cavalcanti, Pereira-Silva, Jorge Luiz, Silva, Rodney Luiz Frare e, Cardoso, Alexandre Pinto, Lemos, Antônio Carlos Moreira, Rossi, Flávia, Michel, Gustavo, Ribeiro, Liany, Cavalcanti, Manuela Araújo de Nóbrega, Figueiredo, Mara Rúbia Fernandes de, Holanda, Marcelo Alcântara, Valery, Maria Inês Bueno de André, Aidê, Miguel Abidon, Chatkin, Moema Nudilemon, Messeder, Octávio, Teixeira, Paulo José Zimermann, Martins, Ricardo Luiz de Melo, Rocha, Rosali Teixeira da","Jornal Brasileiro de Pneumologia; 35(6); 574-601","Jornal Brasileiro de Pneumologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132009000600011&lang=pt" 
"S1519-566X2009000300001-scl","Control of phlebotomine (Diptera: Psychodidae) leishmaniasis vectors","Amóra, Sthenia S A, Bevilaqua, Claudia M L, Feijó, Francisco M C, Alves, Nilza D, Maciel, Michelline do V","Neotropical Entomology; 38(3); 303-310","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300001&lang=pt" 
"S1519-566X2009000300006-scl","Species richness and distribution of blackflies (Diptera: Simuliidae) in the Chapada Diamantina region, Bahia, Brazil","Landeiro, Victor L, Pepinelli, Mateus, Hamada, Neusa","Neotropical Entomology; 38(3); 332-339","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300006&lang=pt" 
"S1519-566X2009000300007-scl","Effects of understory structure on the abundance, richness and diversity of Collembola (Arthropoda) in southern Brazil","Ribeiro-Troian, Vera R, Baldissera, Ronei, Hartz, Sandra M","Neotropical Entomology; 38(3); 340-345","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300007&lang=pt" 
"S1519-566X2009000300010-scl","Larval ontogeny and morphological variations of Psaroniocompsa incrustata (Lutz) (Diptera: Simuliidae) in the State of Rio Grande do Norte, Northeastern Brazil","Silva, Adriele N B, Andrade, Herbet T A, Ríos-Velásquez, Claudia M, Pessoa, Felipe A C, Medeiros, Jansen F","Neotropical Entomology; 38(3); 360-365","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300010&lang=pt" 
"S1519-566X2009000300016-scl","Toxicidade de pesticidas recomendados na produção integrada de maçã (PIM) a populações de Chrysoperla externa (Hagen) (Neuroptera: Chrysopidae)","Moura, Alexandre P, Carvalho, Geraldo A, Moscardini, Valéria F, Marques, Márcio C, Souza, Jander R","Neotropical Entomology; 38(3); 395-404","Neotropical Entomology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300016&lang=pt" 
"S1519-566X2009000300017-scl","Flight activity of Sitophilus oryzae (L) and Sitophilus zeamais Motsch (Coleoptera: Curculionidae) and its relationship with susceptibility to insecticides","Vásquez-Castro, Javier A, Baptista, Gilberto C De, Trevizan, Luiz R P, Gadanha Jr, Casimiro D","Neotropical Entomology; 38(3); 405-409","Neotropical Entomology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300017&lang=pt" 
"S1519-566X2009000300018-scl","Efeitos de variáveis ambientais, irrigação e vespas predadoras sobre Leucoptera coffeella (Guérin-Méneville) (Lepidoptera: Lyonetiidae) no cafeeiro","Fernandes, Flávio L, Mantovani, Everardo C, Bonfim Neto, Hermes, Nunes, Victor De V","Neotropical Entomology; 38(3); 410-417","Neotropical Entomology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300018&lang=pt" 
"S1519-566X2009000300019-scl","Descripción y clave de los estadios inmaduros de las principales especies de Calliphoridae (Diptera) de importancia forense en Colombia","Florez, Eliana, Wolff, Marta","Neotropical Entomology; 38(3); 418-429","Neotropical Entomology","Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2009000300019&lang=pt" 
"S0717-73562009000100001-chl","","","Chungará (Arica); 41(1); 3-4","Chungará (Arica)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73562009000100001&lang=pt" 
"S0717-73562009000100002-chl","CIVILIZACIÓN Y FOMENTO: LA &quot;DESCRIPCIÓN DE TARAPACÁ&quot; DE ANTONIO O&#039;BRIEN, 1765","Hidalgo L, Jorge","Chungará (Arica); 41(1); 5-44","Chungará (Arica)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73562009000100002&lang=pt" 
"S0717-73562009000100003-chl","RÓMULO CÚNEO-VIDAL: PIONERO DE LA ETNOHISTORIA ANDINA","Galdames Rosas, Luis Alberto","Chungará (Arica); 41(1); 45-49","Chungará (Arica)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73562009000100003&lang=pt" 
"S0717-73562009000100004-chl","ACCESO A LA PROPIEDAD DE LA TIERRA, COMUNIDAD E IDENTIDADES COLECTIVAS ENTRE LOS AYMARAS DEL NORTE DE CHILE (1821-1930)","González Cortez, Héctor, Gundermann Kröll, Hans","Chungará (Arica); 41(1); 51-70","Chungará (Arica)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73562009000100004&lang=pt" 
"S0717-73562009000100005-chl","LA PRESENCIA BOLIVIANA EN LA SOCIEDAD DEL SALITRE Y LA NUEVA DEFINICIÓN DE LA FRONTERA: AUGE Y CAÍDA DE UNA DINÁMICA TRANSFRONTERIZA (TARAPACÁ 1880-1930)","González Miranda, Sergio","Chungará (Arica); 41(1); 71-81","Chungará (Arica)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73562009000100005&lang=pt" 
"S0717-73562009000100006-chl","REPRESENTACIONES DEL CUERPO, SEXO Y GÉNERO ENTRE LOS AYMARA DEL NORTE DE CHILE","Carrasco G, Ana María, Gavilán Vega, Vivian","Chungará (Arica); 41(1); 83-100","Chungará (Arica)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73562009000100006&lang=pt" 
"S0717-73562009000100007-chl","FESTIVIDADES ANDINAS Y RELIGIOSIDAD EN EL NORTE CHILENO","Gavilán Vega, Vivian, Carrasco G, Ana María","Chungará (Arica); 41(1); 101-112","Chungará (Arica)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73562009000100007&lang=pt" 
"S0717-73562009000100008-chl","SOCIEDADES INDÍGENAS Y CONOCIMIENTO ANTROPOLÓGICO: AYMARÁS Y ATACAMEÑOS DE LOS SIGLOS XIX Y XX","Gundermann Kröll, Hans, González Cortez, Héctor","Chungará (Arica); 41(1); 113-164","Chungará (Arica)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73562009000100008&lang=pt" 
"S0004-282X2009000300008-scl","Prevalence and impact of headache and migraine among Brazilian Tupiniquim natives","Domingues, Renan Barros, Cezar, Priscila Bacchetti, Schmidt Filho, Jair, Moraes Filho, Milton Nunes de, Pinheiro, Mariana Novaes, Marchiori, João G., Brito, Francine, Domingues, Simone Aires","Arquivos de Neuro-Psiquiatria; 67(2b); 413-415","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300008&lang=pt" 
"S0004-282X2009000300021-scl","Trigeminal sensory neuropathy associated with systemic sclerosis: report of three Brazilian cases","Ribeiro, Reinaldo Teixeira, Fialho, Libânia Melo Nunes, Souza, Larissa Teles de, Barsottini, Orlando Graziani Póvoas","Arquivos de Neuro-Psiquiatria; 67(2b); 494-495","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300021&lang=pt" 
"S0004-282X2009000300028-scl","Acute pancreatitis associated to the use of valproic acid","Guevara-Campos, José, González-Guevara, Lucía, Vacaro-Bolívar, Ixora, Rojas, Juan Manuel","Arquivos de Neuro-Psiquiatria; 67(2b); 513-515","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300028&lang=pt" 
