"S0004-282X2015001201047-scl","The clival canal","Campos, Deivis de, Jotz, Geraldo Pereira, Goulart, Guilherme Reghelin, Malysz, Tais","Arquivos de Neuro-Psiquiatria; 73(12); 1047-1047","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001201047&lang=pt" 
"S1677-54492015000400368-scl","Existem válvulas na veia femoral em ratas Wistar?","Teixeira, Renan Kleber Costa, Yamaki, Vitor Nagai, Valente, André Lopes, Feitosa Júnior, Denilson José Silva, Pinheiro, Mauricio Fortuna, Reis, José Maciel Caldas dos, Silveira, Edvaldo Lima, Barros, Rui Sergio Monteiro de","Jornal Vascular Brasileiro; 14(4); 368-371","Jornal Vascular Brasileiro","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492015000400368&lang=pt" 
"S0037-86822015000600665-scl","Incidence of hepatitis C in Brazil","Hanus, Juliét Silveira, Ceretta, Luciane Bisognin, Simões, Priscyla Waleska, Tuon, Lisiane","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 665-673","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600665&lang=pt" 
"S0080-62342015000601012-scl","Hypertension prevalence among indigenous populations in Brazil: a systematic review with meta-analysis","Souza Filho, Zilmar Augusto de, Ferreira, Alaidistânia Aparecida, Santos, Bernardo dos, Pierin, Angela Maria Geraldo","Revista da Escola de Enfermagem da USP; 49(6); 1012-1022","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000601012&lang=pt" 
"S0004-282X2015001200993-scl","Limb-girdle muscular dystrophy type 2A in Brazilian children","Albuquerque, Marco Antônio Veloso de, Abath Neto, Osório, Silva, Francisco Marcos Alencar da, Zanoteli, Edmar, Reed, Umbertina Conti","Arquivos de Neuro-Psiquiatria; 73(12); 993-997","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001200993&lang=pt" 
"S1807-55092015000400543-scl","Associação do estado nutricional com aptidão física relacionada à saúde em adultos com deficiência intelectual","SOUSA, Gabriel Renaldo de, PINTO, Marília Garcia, SEEBER, Jefferson Roberto, SILVA, Diego Augusto Santos","Revista Brasileira de Educação Física e Esporte; 29(4); 543-550","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000400543&lang=pt" 
"S0037-86822015000600692-scl","Occurrence and sensitivity profile of extended spectrum beta-lactamase-producing Enterobacteriaceae at a tertiary hospital in Southern Brazil","Rugini, Cristina Letícia, Sobottka, Andréa Michel, Fuentefria, Daiane Bopp","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 692-698","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600692&lang=pt" 
"S1677-54492015000400328-scl","Estresse oxidativo e a função endotelial: efeitos do exercício físico associado à lipemia pós-prandial","Krüger, Renata Lopes, Farinha, Juliano Boufleur, Teixeira, Bruno Costa, Reischak-Oliveira, Alvaro","Jornal Vascular Brasileiro; 14(4); 328-340","Jornal Vascular Brasileiro","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492015000400328&lang=pt" 
"S0080-62342015000600995-scl","Effectiveness of heparin versus 0.9% saline solution in maintaining the permeability of central venous catheters: a systematic review","Santos, Eduardo José Ferreira dos, Nunes, Maria Madalena Jesus Cunha, Cardoso, Daniela Filipa Batista, Apóstolo, João Luís Alves, Queirós, Paulo Joaquim Pina, Rodrigues, Manuel Alves","Revista da Escola de Enfermagem da USP; 49(6); 995-1003","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600995&lang=pt" 
"S0080-62342015000600898-scl","Development of premature children: caregivers&#039; understanding according to the Bioecological Theory","Lemos, Rayla Amaral, Veríssimo, Maria de La Ó Ramallo","Revista da Escola de Enfermagem da USP; 49(6); 898-906","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600898&lang=pt" 
"S0037-86822015000600786-scl","Dermatitis caused by the tropical fowl mite Ornithonyssus bursa (Berlese) (Acari: Macronyssidae): a case report in humans","Mentz, Márcia Bohrer, Silva, Guilherme Liberato da, Silva, Carlos Eugênio","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 786-788","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600786&lang=pt" 
"S0004-282X2015001201038-scl","Tourette&#039;s syndrome in famous musicians","Camargo, Carlos Henrique F., Bronzini, Augusto","Arquivos de Neuro-Psiquiatria; 73(12); 1038-1040","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001201038&lang=pt" 
"S0101-41612015000400725-scl","Os determinantes do impacto da crise financeira internacional sobre a taxa de crescimento do PIB","Guimarães, Thaís, Vieira, Flávio Vilela","Estudos Econômicos (São Paulo); 45(4); 725-752","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000400725&lang=pt" 
"S0004-282X2015001201002-scl","Hackathon as a way to raise awareness and foster innovation for stroke","Li, Li Min, Johnson, Sharon","Arquivos de Neuro-Psiquiatria; 73(12); 1002-1004","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001201002&lang=pt" 
"S1807-55092015000400571-scl","A representação social de formação continuada de professores de Educação Física da rede estadual do Espírito Santo","LOUREIRO, Walk, CAPARROZ, Francisco Eduardo, BRACHT, Valter","Revista Brasileira de Educação Física e Esporte; 29(4); 571-581","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000400571&lang=pt" 
"S1677-54492015000400346-scl","Desafios clínicos e psicossociais no tratamento de um paciente com síndrome de Proteus","Bertanha, Matheus, Moura, Regina, Sobreira, Marcone Lima, Pereira, Lied Martins Santiago, Jaldin, Rodrigo Gibin, Segredo, Manuella Pacífico de Freitas, Rollo, Hamilton Almeida, Yoshida, Winston Bonetti","Jornal Vascular Brasileiro; 14(4); 346-350","Jornal Vascular Brasileiro","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492015000400346&lang=pt" 
"S1677-54492015000400351-scl","Correção endovascular de pseudoaneurisma toracoabdominal em paciente com Doença de Behçet","Camargo, Paula Angeleli Bueno de, Bertanha, Matheus, Moura, Regina, Sobreira, Marcone Lima, Jaldin, Rodrigo Gibin, Yoshida, Ricardo de Alvarenga, Pimenta, Rafael Elias Farres, Yoshida, Winston Bonetti","Jornal Vascular Brasileiro; 14(4); 351-355","Jornal Vascular Brasileiro","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492015000400351&lang=pt" 
"S0080-62342015000600944-scl","Validity of the Katz Index to assess activities of daily living by informants in neuropathological studies","Ferretti-Rebustini, Renata Eloah de Lucena, Balbinotti, Marcos Alencar Abaide, Jacob-Filho, Wilson, Rebustini, Flávio, Suemoto, Claudia Kimie, Pasqualucci, Carlos Augusto Gonçalves, Farfel, José Marcelo, Leite, Renata Elaine Paraizo, Grinberg, Lea Tenenholz, Nitrini, Ricardo","Revista da Escola de Enfermagem da USP; 49(6); 944-950","Revista da Escola de Enfermagem da USP","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600944&lang=pt" 
"S1677-54492015000400319-scl","Síndrome metabólica, aterosclerose e inflamação: tríade indissociável?","Barbalho, Sandra Maria, Bechara, Marcelo Dib, Quesada, Karina, Gabaldi, Márcia Rocha, Goulart, Ricardo de Alvares, Tofano, Ricardo José, Gasparini, Rodrigo Galhardi","Jornal Vascular Brasileiro; 14(4); 319-327","Jornal Vascular Brasileiro","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492015000400319&lang=pt" 
"S0080-62342015000600889-scl","Adherence to best care practices in normal birth: construction and validation of an instrument","Carvalho, Elisabete Mesquita Peres de, Göttems, Leila Bernarda Donato, Pires, Maria Raquel Gomes Maia","Revista da Escola de Enfermagem da USP; 49(6); 889-897","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600889&lang=pt" 
"S0101-41612015000400787-scl","Alocação de tempo em trabalho pelas mulheres brasileiras","Queiroz, Vívian dos Santos, Aragón, Jorge Alberto Orellana","Estudos Econômicos (São Paulo); 45(4); 787-819","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000400787&lang=pt" 
"S0080-62342015000600907-scl","Factors affecting the quality of cardiopulmonary resuscitation in inpatient units: perception of nurses","Citolino Filho, Clairton Marcos, Santos, Eduesley Santana, Silva, Rita de Cassia Gengo e, Nogueira, Lilia de Souza","Revista da Escola de Enfermagem da USP; 49(6); 907-913","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600907&lang=pt" 
"S1807-55092015000400653-scl","Como gênero e escolaridade interagem nos padrões de inatividade física em diferentes domínios em adultos?","DEL DUCA, Giovâni Firpo, NAHAS, Markus Vinicius, GARCIA, Leandro Martin Totaro, PERES, Marco Aurélio","Revista Brasileira de Educação Física e Esporte; 29(4); 653-661","Revista Brasileira de Educação Física e Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092015000400653&lang=pt" 
"S0101-41612015000400693-scl","Comportamento de firmas industriais em fluxos de conhecimento: Uma análise para dois aglomerados produtivos","Ruffoni, Janaina, Suzigan, Wilson","Estudos Econômicos (São Paulo); 45(4); 693-724","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000400693&lang=pt" 
"S0037-86822015000600699-scl","Antimicrobial resistance profiles and oxacillinase genes in carbapenem-resistant Acinetobacter baumannii isolated from hospitalized patients in Santa Catarina, Brazil","Cortivo, Giselle Dall, Gutberlet, Andréia, Ferreira, Jéssica Augustini, Ferreira, Leslie Ecker, Deglmann, Roseneide Campos, Westphal, Glauco Adrieno, França, Paulo Henrique Condeixa de","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 699-705","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600699&lang=pt" 
"S0080-62342015000600964-scl","Managerial nursing competencies in the expansion of the Family Health Strategy","Lowen, Ingrid Margareth Voth, Peres, Aida Maris, Crozeta, Karla, Bernardino, Elizabeth, Beck, Carmem Lúcia Colomé","Revista da Escola de Enfermagem da USP; 49(6); 964-970","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600964&lang=pt" 
"S1677-54492015000400290-scl","Real time echo-guided endolaser for thermal ablation without perivenous tumescence","Gaspar, Ricardo José, Castro, André Nóbrega, Simões, Manuel de Jesus, Plapler, Hélio","Jornal Vascular Brasileiro; 14(4); 290-296","Jornal Vascular Brasileiro","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492015000400290&lang=pt" 
"S0037-86822015000600765-scl","Anopheles darlingi and Anopheles marajoara (Diptera: Culicidae) susceptibility to pyrethroids in an endemic area of the Brazilian Amazon","Galardo, Allan Kardec Ribeiro, Póvoa, Marinete Marins, Sucupira, Izis Monica Carvalho, Galardo, Clícia Denis, Santos, Roseli La Corte dos","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 765-769","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600765&lang=pt" 
"S0004-282X2015001201046-scl","Periodic lateralized epileptiform discharges (PLEDs) in herpetic encephalitis","Martins, William Alves, Palmini, André","Arquivos de Neuro-Psiquiatria; 73(12); 1046-1046","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001201046&lang=pt" 
"S0080-62342015000600882-scl","Intimate partner violence against pregnant women: the environment according to Levine&#039;s nursing theory","Teixeira, Selma Villas Boas, Moura, Maria Aparecida Vasconcelos, Silva, Leila Rangel da, Queiroz, Ana Beatriz Azevedo, Souza, Kleyde Ventura de, Albuquerque Netto, Leônidas","Revista da Escola de Enfermagem da USP; 49(6); 882-889","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600882&lang=pt" 
"S0080-62342015000600988-scl","Development of nursing management competencies: guidelines for continuous education services","Sade, Priscila Meyenberg Cunha, Peres, Aida Maris","Revista da Escola de Enfermagem da USP; 49(6); 988-994","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600988&lang=pt" 
"S0080-62342015000600931-scl","Family dynamics in face of Alzheimer&#039;s in one of its members","Vizzachi, Barbara Alana, Daspett, Celina, Cruz, Maria Goreti da Silva, Horta, Ana Lúcia de Moraes","Revista da Escola de Enfermagem da USP; 49(6); 931-936","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600931&lang=pt" 
"S1677-54492015000400360-scl","Pseudoaneurisma da artéria poplítea em um paciente com Síndrome de Ehlers-Danlos Tipo VI","Linardi, Fábio, Zbeidi, Jorge Augusto Leite, Kaida, Carolina Mamy, Brito, Luis Carlos Mendes de, Bolognesi, Luis Eduardo, Angelieri, Fernanda Maria Resegue, Vieira, Marta Wey, Costa, José Augusto","Jornal Vascular Brasileiro; 14(4); 360-363","Jornal Vascular Brasileiro","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492015000400360&lang=pt" 
"S0037-86822015000600770-scl","Aedes aegypti eggs oviposited on water surface collected from field ovitraps in Nova Iguaçu City, Brazil","Wermelinger, Eduardo Dias, Ferreira, Aldo Pacheco, Carvalho, Raimundo Wilson de, Silva, Adriano Anselmo da, Benigno, Ciro Villanova","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 770-772","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600770&lang=pt" 
"S1677-54492015000400305-scl","Estudo comparativo do Índice Tornozelo-Braquial em diabéticos e não diabéticos com isquemia crítica","Santos, Vanessa Prado dos, Alves, Carlos Alberto Silveira, Fidelis, Ronald José Ribeiro, Fidelis, Cícero, Araújo Filho, José Siqueira de","Jornal Vascular Brasileiro; 14(4); 305-310","Jornal Vascular Brasileiro","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492015000400305&lang=pt" 
"S0037-86822015000600658-scl","Evaluation of the World Health Organization 2009 classification of dengue severity in autopsied individuals, during the epidemics of 2011 and 2012 in Brazil","Cavalcanti, Luciano Pamplona de Góes, Braga, Deborah Nunes de Melo, Pompeu, Margarida Maria de Lima, Lima, Antônio Afonso Bezerra, Silva, Lívia Maria Alexandre da, Aguiar, Marina Gondim, Castiglioni, Mariana, Araújo, Fernanda Montenegro de Carvalho, Malta, Daniele Lima, Queiroz, Anastácio","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 658-664","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600658&lang=pt" 
"S0037-86822015000600706-scl","Chagas disease: morbidity profile in an endemic area of Northeastern Brazil","Andrade, Cléber de Mesquita, Câmara, Antônia Cláudia Jácome da, Nunes, Daniela Ferreira, Guedes, Paulo Marcos da Matta, Pereira, Wogelsanger Oliveira, Chiari, Egler, Diniz, Rosiane Viana Zuza, Galvão, Lúcia Maria da Cunha","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 706-715","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600706&lang=pt" 
"S1517-97022015001001119-scl","Quarenta anos de um periódico em educação: celebração de uma longa trajetória (1975-2015)","Rego, Teresa Cristina, Souza, Denise Trento Rebello de","Educação e Pesquisa; 41(spe); 1119-1125","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015001001119&lang=pt" 
"S1516-635X2015001000047-scl","Effects of the Dietary Supplementation of Sucupira (Pterodon Emarginatus Vog.) and Copaiba (Copaifera Langsdorffii) Resinoils on Chicken Breast and Thigh Meat Quality and Oxidative Stability","Lima, CB de, Racanicci, AMC, Oliveira, GR, Migotto, DL, Amador, SA, Souza, TC de, Tanure, CBGS, Vieira, A","Revista Brasileira de Ciência Avícola; 17(spe); 47-55","Revista Brasileira de Ciência Avícola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2015001000047&lang=pt" 
"S0719-04332015000200004-chl","ON THE SUSTAINABILITY AND SYNCHRONIZATION OF FISCAL POLICY IN LATIN AMERICA","Alagidede, Paul, Tweneboah, George","Latin american journal of economics; 52(2); 213-240","Latin american journal of economics","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-04332015000200004&lang=pt" 
"S1413-41522015000400665-scl","Avaliação do tratamento biológico de lixiviado de aterro sanitário em escala real na Região Sul do Brasil","Maia, Iracema Souza, Restrepo, José Julio Barrios, Castilhos Junior, Armando Borges de, Franco, Davide","Engenharia Sanitaria e Ambiental; 20(4); 665-675","Engenharia Sanitaria e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522015000400665&lang=pt" 
"S1517-97022015001001153-scl","Migração e educação: perspectivas socioculturais","Bartlett, Lesley, Rodríguez, Diana, Oliveira, Gabrielle","Educação e Pesquisa; 41(spe); 1153-1171","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015001001153&lang=pt" 
"S1517-97022015001001353-scl","Tomar de empréstimo o sucesso finlandês no PISA? Algumas reflexões críticas, da perspectiva de quem faz este empréstimo","Salokangas, Maija, Kauko, Jaakko","Educação e Pesquisa; 41(spe); 1353-1366","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015001001353&lang=pt" 
"S1678-69712015000600159-scl","DESISTÊNCIA DE COOPERAÇÃO EM REDES INTERORGANIZACIONAIS: REFLEXÕES INSPIRADAS NA AÇÃO SOCIAL WEBERIANA","XAVIER FILHO, JOSE LINDENBERG JULIÃO, PAIVA JÚNIOR, FERNANDO GOMES DE, ALVES, SÉRGIO, MEDEIROS, JANANN JOSLIN","RAM. Revista de Administração Mackenzie; 16(6); 159-189","RAM. Revista de Administração Mackenzie","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712015000600159&lang=pt" 
"S1517-97022015001001229-scl","Os jovens desafiam a comunidade: entre a esperança e a estigmatizaçãoI","Dlamini, S. Nombuso","Educação e Pesquisa; 41(spe); 1229-1255","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015001001229&lang=pt" 
"S1678-69712015000600190-scl","PRÁTICAS COLABORATIVAS EM P&amp;D: UM ESTUDO NA INDÚSTRIA BRASILEIRA DE SEMICONDUTORES","FACCIN, KADÍGIA, BALESTRIN, ALSONES","RAM. Revista de Administração Mackenzie; 16(6); 190-219","RAM. Revista de Administração Mackenzie","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712015000600190&lang=pt" 
"S1678-69712015000600071-scl","BEM-ESTAR NO TRABALHO E PERCEPÇÃO DE SUCESSO NA CARREIRA COMO ANTECEDENTES DE INTENÇÃO DE ROTATIVIDADE","AGAPITO, PAULA RODRIGUES, POLIZZI FILHO, ANGELO, SIQUEIRA, MIRLENE MARIA MATIAS","RAM. Revista de Administração Mackenzie; 16(6); 71-93","RAM. Revista de Administração Mackenzie","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712015000600071&lang=pt" 
"S1678-69712015000600048-scl","RELAÇÕES ENTRE AUTENTICIDADE E CULTURA ORGANIZACIONAL: O AGIR AUTÊNTICO NO AMBIENTE ORGANIZACIONAL","REIS, GERMANO GLUFKE, AZEVEDO, MARCIA CARVALHO DE","RAM. Revista de Administração Mackenzie; 16(6); 48-70","RAM. Revista de Administração Mackenzie","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712015000600048&lang=pt" 
"S2317-64312015000400371-scl","A busca de evidências de validade no desenvolvimento de instrumentos em Fonoaudiologia: revisão sistemática","Gurgel, Léia Gonçalves, Kaiser, Vanessa, Reppold, Caroline Tozzi","Audiology - Communication Research; 20(4); 371-383","Audiology - Communication Research","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312015000400371&lang=pt" 
"S1517-97022015001001191-scl","Práticas de letramento, antropologia linguística e desigualdade social: casos etnográficos e compromissos teóricos","Collins, James","Educação e Pesquisa; 41(spe); 1191-1211","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015001001191&lang=pt" 
"S1517-97022015001001367-scl","Avaliações em larga escala: uma sistematização do debate","Bauer, Adriana, Alavarse, Ocimar Munhoz, Oliveira, Romualdo Portela de","Educação e Pesquisa; 41(spe); 1367-1384","Educação e Pesquisa","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015001001367&lang=pt" 
"S1517-97022015001001257-scl","Más allá de la socialización y de la sociabilidad: jóvenes y bachillerato en México","Weiss, Eduardo","Educação e Pesquisa; 41(spe); 1257-1272","Educação e Pesquisa","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015001001257&lang=pt" 
"S1517-97022015001001313-scl","Recuo ao cientificismo, paradoxos da transparência e corrupção em educação","Afonso, Almerindo Janela","Educação e Pesquisa; 41(spe); 1313-1326","Educação e Pesquisa","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015001001313&lang=pt" 
"S1678-69712015000600126-scl","NECESSIDADES DE TREINAMENTO: UMA PROPOSTA DE AVALIAÇÃO ESTRATÉGICA NO CONTEXTO DE EMPRESAS JUNIORES BRASILEIRAS","CAMPOS, ELZIANE BOUZADA DIAS, ABBAD, GARDÊNIA DA SILVA, MACEDO, ANDRESSA GONZALEZ AZEVEDO PINHEIRO SOARES, SILVA, NATÁLIA PIMENTA","RAM. Revista de Administração Mackenzie; 16(6); 126-158","RAM. Revista de Administração Mackenzie","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712015000600126&lang=pt" 
"S1517-97022015001001487-scl","Entre a entrega e a renúncia: excelência acadêmica em escolas públicas chilenas de alta performance","Quaresma, Maria Luísa","Educação e Pesquisa; 41(spe); 1487-1502","Educação e Pesquisa","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015001001487&lang=pt" 
"S1794-88862015000300005-col","Percepciones e interpretaciones sobre humanismo en el Museo del Hombre Americano","Backx Sanabria, Isabela Soraia","Memorias: Revista Digital de Historia y Arqueología desde el Caribe; (27); 72-106","Memorias: Revista Digital de Historia y Arqueología desde el Caribe","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-88862015000300005&lang=pt" 
"S1794-88862015000300007-col","Arqueología en la capital de la Gran Colombia: Villa del Rosario, un ejemplo de reinvención de un glorioso pasado","Guillermo Martín, Juan, Quiroz, Raquel Sofia","Memorias: Revista Digital de Historia y Arqueología desde el Caribe; (27); 145-177","Memorias: Revista Digital de Historia y Arqueología desde el Caribe","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-88862015000300007&lang=pt" 
"S1794-88862015000300011-col","La tuberculosis pulmonar en Barranquilla, 1930-1960","Chapman Quevedo, William Alfredo, Agudelo González, Ángela Lucía, Morales Rambaut, Jesica Rocío","Memorias: Revista Digital de Historia y Arqueología desde el Caribe; (27); 276-305","Memorias: Revista Digital de Historia y Arqueología desde el Caribe","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-88862015000300011&lang=pt" 
"S1794-88862015000300008-col","En los Montes de María el museo resiste: aproximaciones a la relación entre arqueología, comunidad y patrimonio arqueológico desde el Museo Comunitario San Jacinto, Bolívar, Colombia","Ramírez Corredor, Yvonne Rocío","Memorias: Revista Digital de Historia y Arqueología desde el Caribe; (27); 174-206","Memorias: Revista Digital de Historia y Arqueología desde el Caribe","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-88862015000300008&lang=pt" 
"S1794-88862015000300010-col","Tierras públicas y privadas para la cría de ganados y cultivos de café en una zona de frontera del Caribe colombiano: Valledupar (Magdalena), 1920-1940","Santos Delgado, Adriana, Sánchez Mejía, Huges R, Blanquiceth, Miguel","Memorias: Revista Digital de Historia y Arqueología desde el Caribe; (27); 244-275","Memorias: Revista Digital de Historia y Arqueología desde el Caribe","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-88862015000300010&lang=pt" 
"S1794-88862015000300006-col","Los museos van por aquí y el patrimonio arqueológico por allí: los retos para la continuación de los procesos de preservación en Brasil","Saladino, Alejandra, Azevedo de Moraes Wichers, Camila","Memorias: Revista Digital de Historia y Arqueología desde el Caribe; (27); 107-144","Memorias: Revista Digital de Historia y Arqueología desde el Caribe","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-88862015000300006&lang=pt" 
"S1794-88862015000300004-col","La preservación del patrimonio arqueológico en Brasil: un panorama sobre la actuación del Instituto del Patrimonio Histórico y Artístico Nacional (IPHAN)","Saladino, Alejandra, Azevedo de Moraes Wichers, Camila","Memorias: Revista Digital de Historia y Arqueología desde el Caribe; (27); 36-71","Memorias: Revista Digital de Historia y Arqueología desde el Caribe","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-88862015000300004&lang=pt" 
"S1794-88862015000300009-col","Oro negro del Caribe en la Bahía Blanca. El transporte naval de petróleo en el camino al autoabastecimiento en Argentina (1951-1963)","Mateo Oviedo, José Antonio","Memorias: Revista Digital de Historia y Arqueología desde el Caribe; (27); 207-243","Memorias: Revista Digital de Historia y Arqueología desde el Caribe","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-88862015000300009&lang=pt" 
"S1794-88862015000300012-col","Poderes Regionales, Clientelismo y Estado. Etnografías del poder y la política en Córdoba (Colombia)","Elías-Caro, Jorge Enrique","Memorias: Revista Digital de Historia y Arqueología desde el Caribe; (27); 1-7","Memorias: Revista Digital de Historia y Arqueología desde el Caribe","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-88862015000300012&lang=pt" 
