"S0042-96862007000700012-spa","Unfulfilled potential: using diethylcarbamazine-fortified salt to eliminate lymphatic filariasis","Lammie, Patrick, Milner, Trevor, Houston, Robin","Bulletin of the World Health Organization; 85(7); 545-549","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700012&lang=pt" 
"S0066-782X2007001300005-scl","Prevenção de fibrilação atrial com amiodarona em moderada dosagem no pós-operatório de cirurgia cardíaca é segura e eficaz em pacientes de alto risco para desenvolver essa arritmia","Alves, Renato Jorge, Geovanini, Glaucylara Reis, Brito, Gisele de, Miguel, Gabriel A. S., Glauser, Valéria A., Nakiri, Kenji","Arquivos Brasileiros de Cardiologia; 89(1); 22-27","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001300005&lang=pt" 
"S0066-782X2007001300006-scl","Prevalência de hipertensão do avental branco na atenção primária de saúde","Alves, Leila Maria Marchi, Nogueira, Maria Suely, Godoy, Simone de, Hayashida, Miyeko, Cárnio, Evelin Capellari","Arquivos Brasileiros de Cardiologia; 89(1); 28-35","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001300006&lang=pt" 
"S0066-782X2007001300008-scl","Associação da síndrome metabólica e seus componentes na insuficiência cardíaca encaminhada da atenção primária","Coelho, Flávio Augusto Colucci, Moutinho, Marco Aurélio Espósito, Miranda, Verônica Alcooforado de, Tavares, Leandro Reis, Rachid, Maurício, Rosa, Maria Luiza Garcia, Mesquita, Evandro Tinoco","Arquivos Brasileiros de Cardiologia; 89(1); 42-51","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001300008&lang=pt" 
"S0066-782X2007001300009-scl","Comparação da evolução a longo prazo da valvoplastia mitral percutânea por balão com a técnica de inoue versus a do balão único: análise dos fatores de risco para óbito e eventos maiores","Borges, Ivana Picone, Peixoto, Edison Carvalho Sandoval, Peixoto, Rodrigo Trajano Sandoval, Oliveira, Paulo Sergio de, Salles Netto, Mario, Peixoto, Ricardo Trajano Sandoval, Labrunie, Marta, Labrunie, Pierre, Villela, Ronaldo de Amorim, Siqueira-Filho, Aristarco Gonçalves","Arquivos Brasileiros de Cardiologia; 89(1); 52-59","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001300009&lang=pt" 
"S0066-782X2007001300011-scl","Caso 4/2007: mulher, 21 anos, com cardiomiopatia hipertrófica, que apresentou choque hemorrágico e coagulação intravascular disseminada após ooforectomia por cisto ovariano roto","Lima, Márcio Silva Miguel, Laurinavicius, Antônio, Canzian, Mauro","Arquivos Brasileiros de Cardiologia; 89(1); 64-71","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001300011&lang=pt" 
"S0066-782X2007001300013-scl","Infecção do sítio operatório em cirurgia cardíaca","Gelape, Cláudio Léo","Arquivos Brasileiros de Cardiologia; 89(1); e3-e9","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001300013&lang=pt" 
"S0042-96862007000700008-spa","Economic evaluation of delivering Haemophilus influenzae type b vaccine in routine immunization services in Kenya","Akumu, Angela Oloo, English, Mike, Scott, J Anthony G, Griffiths, Ulla K","Bulletin of the World Health Organization; 85(7); 511-518","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700008&lang=pt" 
"S0042-96862007000700009-spa","Prevalence, intensity and associated morbidity of Schistosoma japonicum infection in the Dongting Lake region, China","Balen, Julie, Zhao, Zheng-Yuan, Williams, Gail M, McManus, Donald P, Raso, Giovanna, Utzinger, Jürg, Zhou, Jie, Li, Yue-Sheng","Bulletin of the World Health Organization; 85(7); 519-526","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700009&lang=pt" 
"S0042-96862007000700010-spa","Population-based evidence of a strong decline in the prevalence of smokers in Brazil (1989-2003)","Monteiro, Carlos Augusto, Cavalcante, Tania Maria, Moura, Erly Catarina, Claro, Rafael Moreira, Szwarcwald, Célia Landmann","Bulletin of the World Health Organization; 85(7); 527-534","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700010&lang=pt" 
"S0042-96862007000700011-spa","Pneumonia case-finding in the RESPIRE Guatemala indoor air pollution trial: standardizing methods for resource-poor settings","Bruce, Nigel, Weber, Martin, Arana, Byron, Diaz, Anaite, Jenny, Alisa, Thompson, Lisa, McCracken, John, Dherani, Mukesh, Juarez, Damaris, Ordonez, Sergio, Klein, Robert, Smith, Kirk R","Bulletin of the World Health Organization; 85(7); 535-544","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700011&lang=pt" 
"S0103-97332007000400041-scl","Dynamical gluon mass in QCD processes","Ducati, M. B. Gay, Sauter, W.","Brazilian Journal of Physics; 37(2b); 683-686","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400041&lang=pt" 
"S0103-97332007000400039-scl","On model-independent analyses of elastic hadron scattering","Ávila, R. F., Campos, S.D., Menon, M.J., Montanha, J.","Brazilian Journal of Physics; 37(2b); 675-677","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400039&lang=pt" 
"S0103-97332007000400038-scl","SPH formalism for second order thermodynamics","Mota, Philipe, Denicol, Gabriel S., Kodama, Takeshi","Brazilian Journal of Physics; 37(2b); 671-674","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400038&lang=pt" 
"S0103-97332007000400037-scl","f0(1370) decay in the Fock-Tani formalism","Silva, Mario L. L. da, Silva, Daniel T. da, Vasconcellos, Cesar A. Z., Hadjimichef, Dimiter","Brazilian Journal of Physics; 37(2b); 668-670","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400037&lang=pt" 
"S0103-97332007000400035-scl","From integral to derivative dispersion relations","Ávila, R. F., Menon, M. J.","Brazilian Journal of Physics; 37(2b); 661-664","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400035&lang=pt" 
"S0103-97332007000400034-scl","Elastic energy loss in an expanding QGP","Ducati, M. B. Gay, Gonçalves, V. P., Mackedanz, L. F.","Brazilian Journal of Physics; 37(2b); 656-660","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400034&lang=pt" 
"S0103-97332007000400033-scl","Non-local effects at the onset of the chiral transition","Palhares, Letícia F., Fraga, Eduardo S., Kodama, Takeshi, Krein, Gastão","Brazilian Journal of Physics; 37(2b); 652-655","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400033&lang=pt" 
"S0103-97332007000400030-scl","Family dependence in 331 models","Martínez, R., Ochoa, F.","Brazilian Journal of Physics; 37(2b); 637-641","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400030&lang=pt" 
"S0103-97332007000400029-scl","Simple hadronic cascade simulations","Sepúlveda, Fernando, Dib, Claudio","Brazilian Journal of Physics; 37(2b); 633-636","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400029&lang=pt" 
"S0103-97332007000400027-scl","Effects of solar neutrinos scale on atmospheric neutrino flux","Grating, D. R., Peres, O. L. G.","Brazilian Journal of Physics; 37(2b); 626-629","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400027&lang=pt" 
"S0103-97332007000400024-scl","Nucleation in the chiral transition with an inhomogeneous background","Taketani, Bruno G., Fraga, Eduardo S.","Brazilian Journal of Physics; 37(2b); 613-616","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400024&lang=pt" 
"S0103-97332007000400012-scl","High-energy gamma-ray production in microquasars","Christiansen, Hugo R., Romero, Gustavo E., Orellana, Mariana","Brazilian Journal of Physics; 37(2b); 545-548","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400012&lang=pt" 
"S0103-97332007000400001-scl","Foreword","Gay Ducati, Maria Beatriz, Sauter, Werner","Brazilian Journal of Physics; 37(2b); iii-iii","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400001&lang=pt" 
"S0103-97332007000400022-scl","Langevin dynamics of the deconfinement transition for pure gauge theory","Mizher, Ana Júlia, Fraga, Eduardo S., Krein, Gastão","Brazilian Journal of Physics; 37(2b); 605-608","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400022&lang=pt" 
"S0103-97332007000400021-scl","Memory effect and fast spinodal decomposition","Koide, T., Krein, G., Ramos, Rudnei O.","Brazilian Journal of Physics; 37(2b); 601-604","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400021&lang=pt" 
"S0103-97332007000400004-scl","Physics of astroparticles","Sciutto, S. J.","Brazilian Journal of Physics; 37(2b); 494-498","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400004&lang=pt" 
"S0103-97332007000400014-scl","Deeply virtual compton scattering in color dipole formalism","Machado, Magno V. T.","Brazilian Journal of Physics; 37(2b); 555-560","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400014&lang=pt" 
"S0103-97332007000400008-scl","Pions in isospin dense media","Loewe, M., Villavicencio, C.","Brazilian Journal of Physics; 37(2b); 520-525","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400008&lang=pt" 
"S0103-97332007000400011-scl","Sea quark and gluon polarization in the nucleon","Florian, D. de, Navarro, G. A., Sassot, R.","Brazilian Journal of Physics; 37(2b); 538-544","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400011&lang=pt" 
"S0103-97332007000400018-scl","NLO QCD corrections to inclusive jet and hadron production in DIS","Daleo, A., Florian, D. de, Sassot, R.","Brazilian Journal of Physics; 37(2b); 585-590","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400018&lang=pt" 
"S0103-97332007000400017-scl","Constraints on the environment depence of the neutrino mass from solar and reactor neutrino data","Holanda, Pedro Cunha de","Brazilian Journal of Physics; 37(2b); 578-584","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400017&lang=pt" 
"S0103-97332007000400020-scl","Lattice results for the QCD phase transition","Mendes, Tereza","Brazilian Journal of Physics; 37(2b); 597-600","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400020&lang=pt" 
"S0103-97332007000400026-scl","Nuclear effects in HERA-B","Ayala Filho, A. L., Gonçalves, V. P., Mariotto, C. Brenner","Brazilian Journal of Physics; 37(2b); 622-625","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400026&lang=pt" 
"S0103-97332007000400028-scl","On new gauge boson signals according to the littlest higgs model in future e+ e- colliders","Almeida Jr., F. M. L. de, Coutinho, Y. A., Martins Simões, J. A., Ramalho, A. J., Wulck, S., Vale, M. A. B. do","Brazilian Journal of Physics; 37(2b); 630-632","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400028&lang=pt" 
"S0103-97332007000400032-scl","BK equation and traveling wave solutions","Amaral, J. T. de Santana, Betemps, M. A., Gay Ducati, M. B., Soyez, G.","Brazilian Journal of Physics; 37(2b); 648-651","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400032&lang=pt" 
"S0103-97332007000400036-scl","Asymmetries in the littlest Higgs model","Almeida Jr., F. M. L. de, Coutinho, Y. A., Simões, J. A. Martins, Ramalho, A. J., Wulck, S., Vale, M. A. B. do","Brazilian Journal of Physics; 37(2b); 665-667","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400036&lang=pt" 
"S0103-97332007000400023-scl","Compact charged stars","Siffert, Beatriz B., Mello Neto, J.R.T. de, Calvão, Maurício O.","Brazilian Journal of Physics; 37(2b); 609-612","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400023&lang=pt" 
"S0103-97332007000400040-scl","Photon-hadron interactions in pA/AA collisions and the QCD dynamics","Gonçalves, V. P., Machado, M. V. T.","Brazilian Journal of Physics; 37(2b); 679-682","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400040&lang=pt" 
"S0103-97332007000400002-scl","Diffraction in QCD","Kopeliovich, Boris, Potashnikova, Irina, Schmidt, Ivan","Brazilian Journal of Physics; 37(2b); 473-483","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400002&lang=pt" 
"S0103-97332007000400003-scl","Propagators, running coupling and condensates in lattice QCD","Cucchieri, Attilio, Mendes, Tereza","Brazilian Journal of Physics; 37(2b); 484-493","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400003&lang=pt" 
"S0103-97332007000400005-scl","Study of bulk properties of QCD matter by the relativistic heavy ion collisions","Kodama, Takeshi","Brazilian Journal of Physics; 37(2b); 499-505","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400005&lang=pt" 
"S0103-97332007000400006-scl","New solutions to the hierarchy problem","Burdman, Gustavo","Brazilian Journal of Physics; 37(2b); 506-513","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400006&lang=pt" 
"S0103-97332007000400007-scl","On the Faddeev-Popov operator eigenspectrum in topological background fields","Maas, Axel","Brazilian Journal of Physics; 37(2b); 514-519","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400007&lang=pt" 
"S0103-97332007000400009-scl","Phase diagram of quark matter in nonlocal chiral models under color and electric charge neutrality conditions","Gómez Dumm, D., Grunfeld, A. G., Scoccola, N. N.","Brazilian Journal of Physics; 37(2b); 526-531","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400009&lang=pt" 
"S0103-97332007000400010-scl","Roles of wave functions in the electroproduction of vector mesons","Ferreira, Erasmo, Baltar, Vera L.","Brazilian Journal of Physics; 37(2b); 532-537","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400010&lang=pt" 
"S0103-97332007000400015-scl","High density QCD through eletromagnetic probes","Betemps, M. A., Gay Ducati, M. B.","Brazilian Journal of Physics; 37(2b); 561-566","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400015&lang=pt" 
"S0103-97332007000400016-scl","Gauge/string duality and hadronic physics","Boschi-Filho, Henrique, Braga, Nelson R. F.","Brazilian Journal of Physics; 37(2b); 567-571","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400016&lang=pt" 
"S0103-97332007000400019-scl","The infrared behavior of the gluon and ghost propagators in SU(2) Yang-Mills theory in the maximal abelian gauge","Capri, M.A.L., Dudal, D., Gracey, J.A., Lemes, V.E.R., Sobreiro, R.F., Sorella, S.P., Thibes, R., Verschelde, H.","Brazilian Journal of Physics; 37(2b); 591-596","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400019&lang=pt" 
"S0103-97332007000400025-scl","Detection of ultra high-energy tau-neutrinos with fluorescence detectors","Moura Jr, C. A., Guzzo, M. M.","Brazilian Journal of Physics; 37(2b); 617-621","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400025&lang=pt" 
"S0103-97332007000400031-scl","Neutrino signals from galactic binaries","Christiansen, Hugo R.","Brazilian Journal of Physics; 37(2b); 642-647","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400031&lang=pt" 
"S0103-97332007000400013-scl","Extending SUSY reach at the CERN large hadron collider using b-tagging","Mercadante, P. G., Mizukoshi, J. K., Tata, Xerxes","Brazilian Journal of Physics; 37(2b); 549-554","Brazilian Journal of Physics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332007000400013&lang=pt" 
"S0718-22012007000100001-chl","PRESENTACIÓN","","Alpha (Osorno); (24); 5-6","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100001&lang=pt" 
"S0718-22012007000100002-chl","CRÓNICAS POLÍTICAS DESDE MARTE: UNA LECTURA TEÓRICO POLÍTICA DE CRÓNICAS MARCIANAS, DE RAY BRADBURY","Alonso Rocafort, Víctor","Alpha (Osorno); (24); 9-36","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100002&lang=pt" 
"S0718-22012007000100003-chl","FREUD Y LÉVINAS: UN DIÁLOGO SOBRE EL PROBLEMA DE LA CONSTITUCIÓN DEL SUJETO Y LAS FRONTERAS DE LO DECIBLE","Bornhauser, Niklas, Jaume, Lorena","Alpha (Osorno); (24); 37-50","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100003&lang=pt" 
"S0718-22012007000100004-chl","CRÍTICA Y POESÍA: ELEMENTOS PARA UNA TRADICIÓN","Calabrese, Elisa","Alpha (Osorno); (24); 51-61","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100004&lang=pt" 
"S0718-22012007000100005-chl","NUEVA BIOGRAFÍA DE UN CONOCIDO PARIA SOCIAL: REAPROPIACIONES DE LA TRADICIÓN GAUCHESCA Y DEL TANGO EN LAS MILONGAS DE JOHN MOREYRA DE HOMERO EXPÓSITO","Sosa, Carlos","Alpha (Osorno); (24); 63-77","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100005&lang=pt" 
"S0718-22012007000100006-chl","INTERROGATORIOS EN LAS CÁRCELES SALVADOREÑAS: DIÁLOGOS Y NEGOCIACIÓN FEMENINA EN LOS MÁRGENES DE LA REVOLUCIÓN","Ruiz, Natalia","Alpha (Osorno); (24); 79-94","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100006&lang=pt" 
"S0718-22012007000100007-chl","REPRESENTACIONES DEL CAMPO INTELECTUAL Y LITERARIO EN LAS INICIALES DE LA TIERRA Y LAS PALABRAS PERDIDAS DE JESÚS DÍAZ","Mellado, Luciana Andrea","Alpha (Osorno); (24); 95-109","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100007&lang=pt" 
"S0718-22012007000100008-chl","SERVICIO MILITAR OBLIGATORIO Y DISCIPLINAMIENTO CULTURAL: APROXIMACIONES AL CASO MAPUCHE-HUILLICHE EN EL SIGLO XX","González Cangas, Yanko","Alpha (Osorno); (24); 111-137","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100008&lang=pt" 
"S0718-22012007000100009-chl","DISCURSOS Y POÉTICA MAPUCHE-HUILLICHE ACTUAL: CAMBIO GENERACIONAL Y DIFERENCIA TERRITORIAL","Park, James","Alpha (Osorno); (24); 139-162","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100009&lang=pt" 
"S0718-22012007000100010-chl","EL DISCURSO NACIONALISTA DE DON SEGUNDO SOMBRA","Intersimone, Luis Alfredo","Alpha (Osorno); (24); 165-176","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100010&lang=pt" 
"S0718-22012007000100011-chl","LA CREACIÓN DE LA FEMME FATALE EN EL FOLLETÍN POLICIAL DE LOS 50","Sepúlveda Eriz, Magda","Alpha (Osorno); (24); 177-185","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100011&lang=pt" 
"S0718-22012007000100012-chl","MEDIO SIGLO POETIZANDO: HORIZONTES Y SUEÑOS, DE MATÍAS RAFIDE","Gallardo, Andrés","Alpha (Osorno); (24); 187-195","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100012&lang=pt" 
"S0718-22012007000100013-chl","MEMORIA POÉTICA DE UN SACRIFICIO: MANNS","Araya G, Juan Gabriel","Alpha (Osorno); (24); 197-204","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100013&lang=pt" 
"S0718-22012007000100014-chl","LA TEMÁTICA FAMILIAR EN LA NARRATIVA BREVE DE JULIO CORTÁZAR: COHESIÓN, ENFERMEDAD Y EMANCIPACIÓN","Chacana Arancibia, Roberto","Alpha (Osorno); (24); 205-214","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100014&lang=pt" 
"S0718-22012007000100015-chl","ARTE RELIGIOSO Y MECENAS EN EL REINO DE CHILE (MENDOZA SIGLO XVIII)","Lacoste, Pablo","Alpha (Osorno); (24); 217-226","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100015&lang=pt" 
"S0718-22012007000100016-chl","“ZAPATISMO: DEMOCRACIA, LIBERTAD Y JUSTICIA”. (ENTREVISTA A AMADO LASCAR)","Huirimilla O, Juan Paulo","Alpha (Osorno); (24); 227-237","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100016&lang=pt" 
"S0718-22012007000100017-chl","Alberto GUZMAN LAVENANT. Poemas: Imágenes en Re Menor","Barraza, Eduardo","Alpha (Osorno); (24); 241-243","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100017&lang=pt" 
"S0718-22012007000100018-chl","Elsa PÉREZ CARRASCO. Baúl sin fondo","Trujillo, Carlos","Alpha (Osorno); (24); 243-247","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100018&lang=pt" 
"S0718-22012007000100019-chl","Myriam BUSTOS ARRATIA. Microvagancias","Martín, Marina","Alpha (Osorno); (24); 247-249","Alpha (Osorno)","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012007000100019&lang=pt" 
"S0100-736X2007000700001-scl","Meningoencefalite por herpesvírus bovino-5","Rissi, Daniel R., Rech, Raquel R., Flores, Eduardo F., Kommers, Glaucia D., Barros, Claudio S.L.","Pesquisa Veterinária Brasileira; 27(7); 251-260","Pesquisa Veterinária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2007000700001&lang=pt" 
"S0100-736X2007000700005-scl","Lesões orofaríngeas e neurológicas em ovinos associadas ao uso de pistolas dosificadoras","Sant&#039;Ana, Fabiano J.F. de, Garcia, Edismair C., Rabelo, Rogério E., Costa, Yara L. da, Schild, Ana L., Riet-Correa, Franklin","Pesquisa Veterinária Brasileira; 27(7); 282-286","Pesquisa Veterinária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2007000700005&lang=pt" 
"S0100-736X2007000700007-scl","Fibrinonecrotic enteritis of piglets in a commercial farm: a postmortem study of the prevalence and the role of lesion associated agents Isospora suis and Clostridium perfringens","Sanz, Macarena G., Venturini, Lucila, Assis, Ronnie A., Uzal, Francisco, Risso, Miguel A., Idiart, Julio R., Perfumo, Carlos J.","Pesquisa Veterinária Brasileira; 27(7); 297-300","Pesquisa Veterinária Brasileira","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2007000700007&lang=pt" 
"S0100-736X2007000700008-scl","ELISA com MSP5 recombinante truncada para detecção de anticorpos contra Anaplasma marginale em bovinos","Melo, Elaine S.P., Araújo, Flábio R., Ramos, Carlos A.N., Soares, Cleber O., Rosinha, Grácia M.S., Elisei, Carina, Madruga, Cláudio R.","Pesquisa Veterinária Brasileira; 27(7); 301-306","Pesquisa Veterinária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2007000700008&lang=pt" 
"S0100-736X2007000700002-scl","Intoxicações por plantas e micotoxinas associadas a plantas em bovinos no Rio Grande do Sul: 461 casos","Rissi, Daniel R., Rech, Raquel R., Pierezan, Felipe, Gabriel, Adriane L., Trost, Maria E., Brum, Juliana S., Kommers, Glaucia D., Barros, Claudio S.L.","Pesquisa Veterinária Brasileira; 27(7); 261-268","Pesquisa Veterinária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2007000700002&lang=pt" 
"S0004-27302007000500001-scl","Câncer de tiróide: passado, presente e futuro","Fagin, James A., Ward, Laura S., Kimura, Edna T.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 641-642","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500001&lang=pt" 
"S0004-27302007000500003-scl","TSH signalling and cancer","García-Jiménez, Custodia, Santisteban, Pilar","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 654-671","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500003&lang=pt" 
"S0004-27302007000500004-scl","The importance of sodium/iodide symporter (NIS) for thyroid cancer management","Carvalho, Denise P., Ferreira, Andrea C.F.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 672-682","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500004&lang=pt" 
