"S0717-554X2016000100004-chl","La sociología sin método: la raíz hegeliana del pensamiento de Luhmann","Casanova, Mauricio","Cinta de moebio; (55); 47-65","Cinta de moebio","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-554X2016000100004&lang=pt" 
"S1809-48642016000100018-scl","Correlation of Vocal Intensity with Velopharyngeal Closing Mechanism in Individuals with and without Complaint of Velopharyngeal Dysfunction","Girelli, Karina, Costa, Sady Selaimen de, Collares, Marcus Vinícius Martins, Dornelles, Silvia","International Archives of Otorhinolaryngology; 20(1); 18-24","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100018&lang=pt" 
"S1809-68912016000100051-scl","GLICERINA BRUTA NAS RAÇÕES PARA LEITÕES NA FASE DE CRECHE","Rocha, Laudiceia Oliveira da, Silva, Juliana Luis e, Rodrigues, Claudia Paula de Freitas, Mascarenhas, Alessandra Gimenez, Nunes, Romao da Cunha","Ciência Animal Brasileira; 17(1); 51-59","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100051&lang=pt" 
"S1809-48642016000100034-scl","Vibrant Soundbridge and Bone Conduction Hearing Aid in Patients with Bilateral Malformation of External Ear","Mondelli, Maria Fernanda Capoani Garcia, Mariano, Thais Cristina Barbosa, Honório, Heitor Marques, Brito, Rubens Vuono de","International Archives of Otorhinolaryngology; 20(1); 34-38","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100034&lang=pt" 
"S1809-68912016000100133-scl","TONOMETRIA DA ARTÉRIA FEMORAL EM CÃES SAUDÁVEIS E COM DOENÇA VALVAR MITRAL DEGENERATIVA CRÔNICA","Nogueira, Rodrigo Bernardes, Pereira, Lucas Anacretto, Gomide, Luciene Barbosa","Ciência Animal Brasileira; 17(1); 133-142","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100133&lang=pt" 
"S1809-68912016000100119-scl","COMPARAÇÃO DA EFICIÊNCIA DAS COLORAÇÕES DE ZIEHL-NEELSEN MODIFICADO E SAFRANINA MODIFICADA NA DETECÇÃO DE OOCISTOS DE Cryptosporidium spp. (EUCOCCIDIORIDA, CRYPTOSPORIDIIDAE) A PARTIR DE AMOSTRAS FECAIS DE BEZERROS DE 0 A 3 MESES","Rodrigues, Renata Dias, Gomes, Lara Reis, Souza, Rafael Rocha de, Barbosa, Fernando Cristino","Ciência Animal Brasileira; 17(1); 119-125","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100119&lang=pt" 
"S1809-48642016000100006-scl","Subcutaneous Immunotherapy Improves the Symptomatology of Allergic Rhinitis","Lourenço, Edmir Américo, Caldeira, Eduardo José, Carvalho, César Alexandre Fabrega, Cunha, Marcelo Rodriques, Carvalho, Marcus Vinícius Henriques, Passos, Saulo Duarte","International Archives of Otorhinolaryngology; 20(1); 6-12","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100006&lang=pt" 
"S1809-48642016000100039-scl","Evaluation of Functional Outcomes after Stapes Surgery in Patients with Clinical Otosclerosis in a Teaching Institution","Souza, José Celso Rodriques de, Bento, Ricardo Ferreira, Pereira, Larissa Vilela, Ikari, Liliane, Souza, Stephanie Rugeri, Torre, Ana Adelina Giantomasi Della, Fonseca, Anna Carolina de Oliveira","International Archives of Otorhinolaryngology; 20(1); 39-42","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100039&lang=pt" 
"S1809-68912016000100090-scl","USE OF HYDROALCOHOLIC EXTRACT OF Schinus terebinthifolius Raddi IN PRE- AND POST-MILKING ANTISEPSIS OF THE TEAT IN DAIRY COWS","Faccin, Ângela, Schuch, Luiz Filipe Damé, Schiavon, Diane Bender Almeida, Gonçalves, Carolina Lambrecht, Mota, Fernanda Voight, Lessa, Lisiane Ferreira","Ciência Animal Brasileira; 17(1); 90-97","Ciência Animal Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100090&lang=pt" 
"S1809-68912016000100070-scl","INFLUÊNCIA DA GORDURA DO LEITE BOVINO E CAPRINO NA RESISTÊNCIA DOMycobacterium fortuitum À PASTEURIZAÇÃO LENTA","Starikoff, Karina Ramirez, Nishimoto, Érika Junko, Ferreira, Fernando, Balian, Simone Carvalho, Telles, Evelise Oliveira","Ciência Animal Brasileira; 17(1); 70-78","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100070&lang=pt" 
"S1809-48642016000100076-scl","Mastoid Obliteration with Autologous Bone in Mastoidectomy Canal Wall Down Surgery: a Literature Overview","Alves, Ricardo Dourado, Cabral Junior, Francisco, Fonseca, Anna Carolina de Oliveira, Bento, Ricardo Ferreira","International Archives of Otorhinolaryngology; 20(1); 76-83","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100076&lang=pt" 
"S1809-48642016000100054-scl","The Impact of Dizziness on the Quality of Life of 235 Individuals who Completed Vestibular Testing in Brazil","Burle, Najlla Lopes de Oliveira, Abreu, Ana Célia Pereira de, Santos, Juliana Nunes, Mancini, Patricia Cotta","International Archives of Otorhinolaryngology; 20(1); 54-60","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100054&lang=pt" 
"S1809-68912016000100011-scl","QUALIDADE FÍSICA E BACTERIOLÓGICA DE OVOS OPACOS DE CODORNAS SANITIZADOS, REFRIGERADOS E CONTAMINADOS EXPERIMENTALMENTE PORSalmonella enterica SER. TYPHIMURIUM","Lacerda, Maria Juliana Ribeiro, Leandro, Nadja Susana Mogyca, Andrade, Maria Auxiliadora, Alcântara, Juliana Bonifácio, Stringhini, Maria Luiza Ferreira, Café, Marcos Barcellos","Ciência Animal Brasileira; 17(1); 11-25","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100011&lang=pt" 
"S1809-48642016000100025-scl","Vocal Parameters of Elderly Female Choir Singers","Aquino, Fernanda Salvatico de, Ferreira, Léslie Piccolotto","International Archives of Otorhinolaryngology; 20(1); 25-29","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100025&lang=pt" 
"S1809-48642016000100048-scl","Self-Assessment of Hearing and Purchase of Hearing Aids by Middle-Aged and Elderly Adults","Otavio, Andressa Colares da Costa, Coradini, Patricia Pérez, Teixeira, Adriane Ribeiro","International Archives of Otorhinolaryngology; 20(1); 48-53","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100048&lang=pt" 
"S1809-68912016000100143-scl","ASPECTOS BIOLÓGICOS DE Holochilus sp., HOSPEDEIRO NATURAL DA ESQUISTOSSOMOSE","Lira, Maria Gabriela Sampaio, Miranda, Guilherme Silva, Rodrigues, João Gustavo Mendes, Nogueira, Ranielly Araújo, Gomes, Gleycka Cristine Carvalho, Cantanhêde, Lorrane Gabrielle, Silva-Souza, Nêuton","Ciência Animal Brasileira; 17(1); 143-153","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100143&lang=pt" 
"S1809-68912016000100126-scl","EFEITOS ANESTÉSICOS DA ADMINISTRAÇÃO INTRANASAL OU INTRAMUSCULAR DA ASSOCIAÇÃO DE MIDAZOLAM E CETAMINA RACÊMICA OU S+ EM PERIQUITO AUSTRALIANO (Melopsittacus undulatus)","Trevisan, Gustavo Aléssio, Silva, Everton Leonardi da, Carvalho, Anderson Luiz de, Luiz, Rafael Messias","Ciência Animal Brasileira; 17(1); 126-132","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100126&lang=pt" 
"S1809-68912016000100079-scl","PRINCIPAIS CAUSAS DE CONDENAÇÃO AO ABATE DE AVES EM MATADOUROS FRIGORÍFICOS REGISTRADOS NO SERVIÇO BRASILEIRO DE INSPEÇÃO FEDERAL ENTRE 2006 E 2011","Oliveira, Adriana Aguiar, Andrade, Maria Auxiliadora, Armendaris, Paulo Marcel, Bueno, Pedro Henrique Salgado","Ciência Animal Brasileira; 17(1); 79-89","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100079&lang=pt" 
"S1809-68912016000100026-scl","USO DE DILUENTES E TEMPERATURAS ALTERNATIVAS NA CONSERVAÇÃO PROLONGADA DO SÊMEN DO VARRÃO","Araújo, Lina Raquel Santos, Barros, Tatyane Bandeira, Guimarães, Daianny Barboza, Cantanhêde, Ludymila Furtado, Dias, Aline Viana, Toniolli, Ricardo","Ciência Animal Brasileira; 17(1); 26-35","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100026&lang=pt" 
"S1809-48642016000100030-scl","Clinical Study of Extrapulmonary Head and Neck Tuberculosis: A Single-Institute 10-year Experience","Oishi, Masahiro, Okamoto, Sachimi, Teranishi, Yuichi, Yokota, Chieko, Takano, Sakurako, Iguchi, Hiroyoshi","International Archives of Otorhinolaryngology; 20(1); 30-33","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100030&lang=pt" 
"S2307-21132016000100001-cub","Información y comunicación desde el Sur: Encuentro Internacional de Investigadores y Estudiosos de la Información y la Comunicación","ALONSO GALBÁN, PATRICIA","Revista Cubana de Información en Ciencias de la Salud; 27(1); 1-3","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2016","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132016000100001&lang=pt" 
"S1809-48642016000100001-scl","Unification of Sinonasal Anatomical Terminology","Voegels, Richard Louis, Melo, Nelson Almeida Davila, Bezerra, Thiago","International Archives of Otorhinolaryngology; 20(1); 1-1","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100001&lang=pt" 
"S1809-48642016000100084-scl","The Video Head Impulse Test in a Case of Suspected Bilateral Loss of Vestibular Function","Albernaz, Pedro L. Mangabeira, Cusin, Flavia Salvaterra","International Archives of Otorhinolaryngology; 20(1); 84-86","International Archives of Otorhinolaryngology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642016000100084&lang=pt" 
"S1809-68912016000100105-scl","EFEITO DA MONENSINA SÓDICA SOBRE O PERFIL METABÓLICO DE OVELHAS ANTES E APÓS O PARTO","Lima, Elizabeth Hortêncio Ferreira, Mendonça, Carla Lopes, Cajueiro, Jobson Filipe de Paula, Carvalho, Cleyton Charles Dantas, Soares, Pierre Castro, Souto, Rodolfo José Cavalcanti, Drummond, Ana Rita Fraga, Afonso, José Augusto Bastos","Ciência Animal Brasileira; 17(1); 105-118","Ciência Animal Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912016000100105&lang=pt" 
"S1984-63982016000100157-scl","O twitter como esfera pública: como foram descritos os candidatos durante os debates presidenciais do 2º turno de 2014?","Recuero, Raquel","Revista Brasileira de Linguística Aplicada; 16(1); 157-180","Revista Brasileira de Linguística Aplicada","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982016000100157&lang=pt" 
"S1984-63982016000100081-scl","Ficções de si: a escrita entre línguas-culturas","Rosa, Marluza T. da","Revista Brasileira de Linguística Aplicada; 16(1); 81-106","Revista Brasileira de Linguística Aplicada","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982016000100081&lang=pt" 
"S1984-63982016000100051-scl","Um estudo com Foco na Forma (IFF): o presente do subjuntivo em espanhol","Moraes, Gisele Benck de","Revista Brasileira de Linguística Aplicada; 16(1); 51-80","Revista Brasileira de Linguística Aplicada","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982016000100051&lang=pt" 
"S1984-63982016000100107-scl","Implicações e problematizações do conceito deintersubjetividade: um enfoque na formação do profissional de línguas","Cerutti-Rizzatti, Mary Elizabeth, Dellagnelo, Adriana Kuerten","Revista Brasileira de Linguística Aplicada; 16(1); 107-132","Revista Brasileira de Linguística Aplicada","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982016000100107&lang=pt" 
"S1984-63982016000100133-scl","Língua como espaço de poder: uma pesquisa de sala de aula na perspectiva crítica ,","Pessoa, Rosane Rocha, Urzêda-Freitas, Marco Túlio de","Revista Brasileira de Linguística Aplicada; 16(1); 133-156","Revista Brasileira de Linguística Aplicada","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982016000100133&lang=pt" 
"S1984-63982016000100001-scl","Mosaico da linguagem das crianças bilíngues bimodais: estudos experimentais","Quadros, Ronice Müller de, Pizzio, Aline Lemos, Cruz, Carina Rebello, Sousa, Aline Nunes de","Revista Brasileira de Linguística Aplicada; 16(1); 1-24","Revista Brasileira de Linguística Aplicada","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982016000100001&lang=pt" 
"S1984-63982016000100025-scl","Reflexões de professores de inglês em formação sobre o uso de Webquests Interativas e Adaptáveis no processo de ensino e aprendizagem da língua inglesa","Canto, Camila Gonçalves dos Santos do","Revista Brasileira de Linguística Aplicada; 16(1); 25-49","Revista Brasileira de Linguística Aplicada","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982016000100025&lang=pt" 
"S0370-44672016000100085-scl","Concentration of manganese tailings via reverse flotation in an acid médium","Souza, Helder Silva, Braga, Andre Soares, Oliveira, Arildo Henrique de, Filho, Laurindo de Salles Leal","Rem: Revista Escola de Minas; 69(1); 85-90","Rem: Revista Escola de Minas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672016000100085&lang=pt" 
"S0370-44672016000100075-scl","Regression model utilization to estimate the mass recovery of a phosphate mine in Brazil","Fernandes, Fernanda Gontijo, Cabral, Ivo Eyer","Rem: Revista Escola de Minas; 69(1); 75-77","Rem: Revista Escola de Minas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672016000100075&lang=pt" 
"S0370-44672016000100079-scl","Feasibility project for implementation of conveyor belts in an iron ore mine. Study case: Fabrica Mine in Minas Gerais State, Brazil","Ribeiro, Breno Gonçalves Cardozo, Sousa, Wilson Trigueiro de, Luz, José Aurélio Medeiros da","Rem: Revista Escola de Minas; 69(1); 79-83","Rem: Revista Escola de Minas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672016000100079&lang=pt" 
"S0370-44672016000100053-scl","Quality management system implementation for fracture toughness testing","Fabricio, Daniel Antonio Kapper, Rocha, Cláudia Lisiane Fanezi da, Caten, Carla Schwengber ten","Rem: Revista Escola de Minas; 69(1); 53-58","Rem: Revista Escola de Minas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672016000100053&lang=pt" 
"S0370-44672016000100059-scl","Texture evolution in the Fe-30.5Mn-8.0Al-1.2C and Fe-30.5Mn-2.1Al-1.2C steels upon cold rolling","Souza, Fabrício Mendes, Padilha, Angelo Fernando, Gutierrez-Urruti, Ivan, Raabe, Dierk","Rem: Revista Escola de Minas; 69(1); 59-65","Rem: Revista Escola de Minas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672016000100059&lang=pt" 
"S0370-44672016000100067-scl","Interconnecting financial performance and internationalization: a case of a rare metal producer","Lukason, Oliver, Vissak, Tiia","Rem: Revista Escola de Minas; 69(1); 67-74","Rem: Revista Escola de Minas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672016000100067&lang=pt" 
"S0370-44672016000100033-scl","Thermobarometry and electron-microprobe Th-U-Pb monazite dating in garnet metapelites from the Capelinha Formation, Araçuaí Orogen, Brazil","Queiroga, Gláucia Nascimento, Schulz, Bernhard, Martins, Maximiliano de Souza, Castro, Marco Paulo de, Pedrosa-Soares, Antônio Carlos, Jordt-Evangelista, Hanna, Silva, Ana Lúcia da","Rem: Revista Escola de Minas; 69(1); 33-44","Rem: Revista Escola de Minas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672016000100033&lang=pt" 
"S0370-44672016000100021-scl","Electron microprobe Th-U-Pb monazite dating and metamorphic evolution of the Acaiaca Granulite Complex, Minas Gerais, Brazil","Medeiros Júnior, Edgar Batista, Jordt-Evangelista, Hanna, Queiroga, Gláucia Nascimento, Schulz, Bernhard, Marques, Rodson Abreu","Rem: Revista Escola de Minas; 69(1); 21-32","Rem: Revista Escola de Minas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672016000100021&lang=pt" 
"S0370-44672016000100091-scl","Development of ball mill test for simulation of industrial circuit","Gomes, Wellington Lacerda, Delboni Júnior, Homero, Chieregati, Ana Carolina, Jatobá, Thiago Luis Alves","Rem: Revista Escola de Minas; 69(1); 91-96","Rem: Revista Escola de Minas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672016000100091&lang=pt" 
"S0370-44672016000100005-scl","Editorial","Coelho, Jório","Rem: Revista Escola de Minas; 69(1); 5-5","Rem: Revista Escola de Minas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672016000100005&lang=pt" 
"S0100-879X2016000300501-scl","Clinical and pathological challenges in the diagnosis of late-onset biliary atresia: four case studies","Fontenele, J.P.U., Schenka, A.A., Hessel, G., Jarry, V.M., Escanhoela, C.A.F.","Brazilian Journal of Medical and Biological Research; 49(3); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000300501&lang=pt" 
"S0100-879X2016000300601-scl","Gene expression profiling analysis of lung adenocarcinoma","Xu, H., Ma, J., Wu, J., Chen, L., Sun, F., Qu, C., Zheng, D., Xu, S.","Brazilian Journal of Medical and Biological Research; 49(3); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000300601&lang=pt" 
"S0100-879X2016000300706-scl","Expression of BAFF and BR3 in patients with systemic lupus erythematosus","Duan, J.H., Jiang, Y., Mu, H., Tang, Z.Q.","Brazilian Journal of Medical and Biological Research; 49(3); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000300706&lang=pt" 
"S0100-879X2016000300701-scl","Inflammatory cytokines and plasma redox status responses in hypertensive subjects after heat exposure","Fonseca, S.F., Mendonça, V.A., Teles, M.C., Ribeiro, V.G.C., Tossige-Gomes, R., Neves, C.D.C., Rocha-Vieira, E., Leite, L.H.R., Soares, D.D., Coimbra, C.C., Lacerda, A.C.R.","Brazilian Journal of Medical and Biological Research; 49(3); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000300701&lang=pt" 
"S0100-879X2016000300604-scl","Combined treatment with caffeic and ferulic acid from Baccharis uncinella C. DC. (Asteraceae) protects against metabolic syndrome in mice","Bocco, B.M., Fernandes, G.W., Lorena, F.B., Cysneiros, R.M., Christoffolete, M.A., Grecco, S.S., Lancellotti, C.L., Romoff, P., Lago, J.H.G., Bianco, A.C., Ribeiro, M.O.","Brazilian Journal of Medical and Biological Research; 49(3); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000300604&lang=pt" 
"S0100-879X2016000300703-scl","Risk factors for pulmonary hypertension in patients receiving maintenance peritoneal dialysis","Zeng, Y., Yang, D.D., Feng, S., Shen, H.Y., Wang, Z., Jiang, S., Shi, Y.B., Fu, J.X.","Brazilian Journal of Medical and Biological Research; 49(3); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000300703&lang=pt" 
"S0100-879X2016000300708-scl","Analysis of fracture healing in osteopenic bone caused by disuse: experimental study","Paiva, A.G., Yanagihara, G.R., Macedo, A.P., Ramos, J., Issa, J.P.M., Shimano, A.C.","Brazilian Journal of Medical and Biological Research; 49(3); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000300708&lang=pt" 
"S0100-879X2016000300605-scl","High-impact exercise in rats prior to and during suspension can prevent bone loss","Yanagihara, G.R., Paiva, A.G., Gasparini, G.A., Macedo, A.P., Frighetto, P.D., Volpon, J.B., Shimano, A.C.","Brazilian Journal of Medical and Biological Research; 49(3); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000300605&lang=pt" 
"S0100-879X2016000300602-scl","Ghrelin attenuates the growth of HO-8910 ovarian cancer cells through the ERK pathway","Bai, R.X., Wang, W.P., Zhao, P.W., Li, C.B.","Brazilian Journal of Medical and Biological Research; 49(3); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000300602&lang=pt" 
"S0100-879X2016000300702-scl","Correlation between heart rate variability and pulmonary function adjusted by confounding factors in healthy adults","Bianchim, M.S., Sperandio, E.F., Martinhão, G.S., Matheus, A.C., Lauria, V.T., da Silva, R.P., Spadari, R.C., Gagliardi, A.R.T., Arantes, R.L., Romiti, M., Dourado, V.Z.","Brazilian Journal of Medical and Biological Research; 49(3); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000300702&lang=pt" 
"S0100-879X2016000300603-scl","Effect of selective β-adrenoceptor blockade and surgical resection of the celiac-superior mesenteric ganglion complex on delayed liquid gastric emptying induced by dipyrone, 4-aminoantipyrine, and antipyrine in rats","Vinagre, A.M., Collares, E.F.","Brazilian Journal of Medical and Biological Research; 49(3); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000300603&lang=pt" 
"S0100-879X2016000300707-scl","Contact force-guided catheter ablation for the treatment of atrial fibrillation: a meta-analysis of randomized, controlled trials","Qi, Z., Luo, X., Wu, B., Shi, H., Jin, B., Wen, Z.","Brazilian Journal of Medical and Biological Research; 49(3); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000300707&lang=pt" 
"S0100-879X2016000300705-scl","Prevalence of child malnutrition at a university hospital using the World Health Organization criteria and bioelectrical impedance data","Pileggi, V.N., Monteiro, J.P., Margutti, A.V.B., Camelo Jr., J.S.","Brazilian Journal of Medical and Biological Research; 49(3); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000300705&lang=pt" 
"S0100-879X2016000300704-scl","Effects of intracutaneous injections of sterile water in patients with acute low back pain: a randomized, controlled, clinical trial","Cui, J.Z., Geng, Z.S., Zhang, Y.H., Feng, J.Y., Zhu, P., Zhang, X.B.","Brazilian Journal of Medical and Biological Research; 49(3); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000300704&lang=pt" 
"S0370-44672016000100013-scl","Structural analyses of reinforced tubular T-joints","Brasil, Douglas, Lima, Luciano, Vellasco, Pedro, Silva, André","Rem: Revista Escola de Minas; 69(1); 13-19","Rem: Revista Escola de Minas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672016000100013&lang=pt" 
"S0370-44672016000100097-scl","Cost modelling of the product mix from mining operations using the activity-based costing approach","Cremonese, Dennis Travagini, Tomi, Giorgio De, Neves, Manoel Rodrigues","Rem: Revista Escola de Minas; 69(1); 97-103","Rem: Revista Escola de Minas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672016000100097&lang=pt" 
"S0370-44672016000100045-scl","Numerical study of the influence of internal heat source in naturally ventilated offices","Rocha, Luiz Joaquim Cardoso, Souza, Henor Artur","Rem: Revista Escola de Minas; 69(1); 45-51","Rem: Revista Escola de Minas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672016000100045&lang=pt" 
"S0370-44672016000100105-scl","An Analysis of the Rate for Controlling, Monitoring and Supervision of Exploration and Mining Activities of Mineral Resources (TFRM)","Takano, Camila Cardoso, Flores, Jose Cruz do Carmo, Lima, Hernani Mota de","Rem: Revista Escola de Minas; 69(1); 105-110","Rem: Revista Escola de Minas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672016000100105&lang=pt" 
"S1806-00132016000100065-scl","Abordagem fisioterápica na dor e na qualidade de vida de um indivíduo com artrite hemofílica. Relato de caso","Jorge, Matheus Santos Gomes, Moreira, Igor Schreiner, Felimberti, Gabriel, Wibelinger, Lia Mara","Revista Dor; 17(1); 65-68","Revista Dor","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-00132016000100065&lang=pt" 
"S1806-00132016000100052-scl","O uso de vitaminas do complexo B em terapêutica analgésica","Gazoni, Fernanda Martins, Malezan, William Rafael, Santos, Fânia Cristina","Revista Dor; 17(1); 52-56","Revista Dor","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-00132016000100052&lang=pt" 
"S1806-00132016000100019-scl","Fatores biopsicossociais do Eixo II dos Critérios de Diagnóstico para Pesquisa das Desordens Temporomandibulares em indivíduos com disfunção temporomandibular muscular e migrânea","Battistella, Claudia Branco, Guimarães, Thatiana Bastos, Quaglio, Camila Leite, Ferreira-Cabrini, Mariana Brandão, Gaspar-Martins, Dinamar Aparecida, Novo, Neil Ferreira, Juliano, Yara, Carvalho, Deusvenir de Souza, Guimarães, Antonio Sérgio, Alonso, Luis Garcia","Revista Dor; 17(1); 19-23","Revista Dor","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-00132016000100019&lang=pt" 
"S1806-00132016000100043-scl","A dimensão da diástase abdominal tem influência sobre a dor lombar durante a gestação?","Santos, Marília Duarte dos, Silva, Rafaela de Melo, Vicente, Mariana Pereira, Palmezoni, Vanessa Pinho, Carvalho, Eliane Maria de, Resende, Ana Paula Magalhães","Revista Dor; 17(1); 43-46","Revista Dor","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-00132016000100043&lang=pt" 
"S1806-00132016000100029-scl","Avaliação do conhecimento fisiológico da dor de estudantes de fisioterapia","Marques, Elen Soares, Xarles, Thiago, Antunes, Thuany Medeiros, Silva, Karla Kristine Dames da, Reis, Felipe José Jandre, Oliveira, Laura Alice Santos de, Nogueira, Leandro Alberto Calazans","Revista Dor; 17(1); 29-33","Revista Dor","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-00132016000100029&lang=pt" 
