"S1405-22532009000100008-mex","Luis Aboites y Luis Jáuregui, Penuria sin fin. Historia de los impuestos en México siglos XVIII -XX","Quintanar Zárate, Iliana Marcela","América Latina en la historia económica; (31); 206-212","América Latina en la historia económica","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532009000100008&lang=pt" 
"S0325-00752009000300008-arg","Seguridad alimentaria y retardo crónico del crecimiento en niños pobres del norte argentino","Bolzán, Andrés, Mercer, Raúl","Archivos argentinos de pediatría; 107(3); 221-228","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300008&lang=pt" 
"S0325-00752009000300009-arg","Cirugía cardíaca neonatal: análisis comparativo de resultados quirúrgicos según el método RACHS-1 de estratificación del riesgo","Ithuralde, Mariano, Ballestrini, María, Ithuralde, Alejandro, Seara, Carlos, García Nani, María A., Campos, Marcelo, Fernández, Nelly, García Delucis, Pablo, Nojek, Carlos","Archivos argentinos de pediatría; 107(3); 229-233","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300009&lang=pt" 
"S0325-00752009000300010-arg","Casi ahogamiento en pediatría: epidemiología y factores pronósticos","Torres, Silvio F., Rodríguez, Mariel, Iolster, Thomas, Siaba Serrate, Alejandro, Cruz Iturrieta, Carmen, Martínez del Valle, Ezequiel, Schnitzler, Eduardo, Roca Rivarola, Manuel","Archivos argentinos de pediatría; 107(3); 234-240","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300010&lang=pt" 
"S0325-00752009000300011-arg","Efectos de la privación de sueño en el desempeño de los médicos residentes de pediatría","Domínguez, Paula, Grosso, María Laura, Pagotto, Betina, Taliercio, Vanina, Allegri, Ricardo","Archivos argentinos de pediatría; 107(3); 241-245","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300011&lang=pt" 
"S0325-00752009000300012-arg","Evaluación etiológica del retardo mental de origen genético: Algoritmo diagnóstico y nuevas técnicas moleculares","del Valle Torrado, María","Archivos argentinos de pediatría; 107(3); 246-255","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300012&lang=pt" 
"S0325-00752009000300013-arg","Loxoscelismo: presentación de un caso cutáneo-visceral con resolución favorable","Cabrerizo, Silvia, Docampo, Patricia C., Cari, Cristina, Ortiz de Rozas, María, Díaz, Mariano, de Roodt, Adolfo, Curci, Osvaldo","Archivos argentinos de pediatría; 107(3); 256-258","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300013&lang=pt" 
"S0325-00752009000300014-arg","Tinea corporis: Descripción del caso presentado en la sección &quot;¿Cuál es su diagnóstico?&quot; del número anterior","Gioseffi, María L., Guerdile, María J., Boscaro, Gabriela, Giachetti, Ana, Greco, Graciela, Nogueiras, Melina, Bocian, Marcela, Carbajosa, Ana, Giardelli, Margarita","Archivos argentinos de pediatría; 107(3); 259-263","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300014&lang=pt" 
"S0325-00752009000300015-arg","Resúmenes de trabajos seleccionados publicados en las revistas de las Sociedades de Pediatría del Cono Sur","","Archivos argentinos de pediatría; 107(3); 264-269","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300015&lang=pt" 
"S0325-00752009000300016-arg","¿Cuál es su diagnóstico?","","Archivos argentinos de pediatría; 107(3); 270-270","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300016&lang=pt" 
"S0325-00752009000300017-arg","Consenso Nacional de Prevención del ahogamiento: &quot;El niño y el agua&quot;. 1ª parte","","Archivos argentinos de pediatría; 107(3); 271-276","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300017&lang=pt" 
"S0325-00752009000300018-arg","Recordar el pasado para afirmar el porvenir: Hospital Zonal Especializado &quot;Dr. Noel H. Sbarra&quot;","Ceriani Cernadas, José M.","Archivos argentinos de pediatría; 107(3); 286-286","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300018&lang=pt" 
"S0325-00752009000300019-arg","Cartas al editor","Grandi, Carlos","Archivos argentinos de pediatría; 107(3); 287-287","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300019&lang=pt" 
"S0325-00752009000300020-arg","El sofisma de las tablas de crecimiento más altas posibles","Fano, Virginia, del Pino, Mariana, Lejarraga, Horacio","Archivos argentinos de pediatría; 107(3); 287-288","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300020&lang=pt" 
"S0325-00752009000300021-arg","El sofisma de las tablas de crecimiento más altas posibles","Fano, Virginia, del Pino, Mariana, Lejarraga, Horacio","Archivos argentinos de pediatría; 107(3); 287-288","Archivos argentinos de pediatría","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000300021&lang=pt" 
"S1852-74342009000200001-arg","Papel de la ecografía en el manejo de la displasia de desarrollo de la cadera","González, Patricio","Revista de la Asociación Argentina de Ortopedia y Traumatología; 74(2); 114-114","Revista de la Asociación Argentina de Ortopedia y Traumatología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-74342009000200001&lang=pt" 
"S1852-74342009000200002-arg","Balance sagital torácico luego de la instrumentación con tornillos pediculares en curvas Lenke 1 A y B","Ortiz, Pablo N., Legarreta, Carlos, Escalada, María, Rositto, Gabriel, Rositto, Víctor","Revista de la Asociación Argentina de Ortopedia y Traumatología; 74(2); 117-121","Revista de la Asociación Argentina de Ortopedia y Traumatología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-74342009000200002&lang=pt" 
"S1852-74342009000200003-arg","Reconstrucciones complejas postraumáticas de los tejidos blandos: Principios de tratamiento y resultados","Allende, Christian, Fattor, Emanuel, Valdez, Diego, Diaz, Paula, Bagliardelli, Julio","Revista de la Asociación Argentina de Ortopedia y Traumatología; 74(2); 122-133","Revista de la Asociación Argentina de Ortopedia y Traumatología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-74342009000200003&lang=pt" 
"S1852-74342009000200004-arg","Condrodisplasia metafisaria de tipo Bellini","Masquijo, Julio Javier, Primomo, Claudio, Fano, Virginia, Miscione, Horacio","Revista de la Asociación Argentina de Ortopedia y Traumatología; 74(2); 134-137","Revista de la Asociación Argentina de Ortopedia y Traumatología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-74342009000200004&lang=pt" 
"S1852-74342009000200005-arg","Fractura del sacro tipo Denis 2 bilateral. Reconstrucción con tornillos transpediculares: Informe de un caso y técnica propuesta","López, Marcelo C., Schuster, Sergio","Revista de la Asociación Argentina de Ortopedia y Traumatología; 74(2); 138-141","Revista de la Asociación Argentina de Ortopedia y Traumatología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-74342009000200005&lang=pt" 
"S1852-74342009000200006-arg","Instrumentación y fractura del sacro: Complicación posquirúrgica de descompresión, artrodesis e instrumentación L4-S1","Miceli, Alberto O., Reartes, Mauricio D., Maldonado, Dante, Zarate, Alberto M., Kees, Samuel H., Rizzi, Pablo E.","Revista de la Asociación Argentina de Ortopedia y Traumatología; 74(2); 142-144","Revista de la Asociación Argentina de Ortopedia y Traumatología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-74342009000200006&lang=pt" 
"S1852-74342009000200007-arg","Artroplastia total de cadera en un paciente con secuela de tuberculosis","Lopreite, Fernando, Garabano, Germán, Mana Pastrián, Diego, Del Sel, Hernán","Revista de la Asociación Argentina de Ortopedia y Traumatología; 74(2); 145-147","Revista de la Asociación Argentina de Ortopedia y Traumatología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-74342009000200007&lang=pt" 
"S1852-74342009000200008-arg","Lesiones producidas en la rodilla durante el enclavado endomedular retrógrado del fémur: Estudio experimental en rodillas cadavéricas","Río, Marcelo, Patricios, Sebastián, Saa, José","Revista de la Asociación Argentina de Ortopedia y Traumatología; 74(2); 148-151","Revista de la Asociación Argentina de Ortopedia y Traumatología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-74342009000200008&lang=pt" 
"S1852-74342009000200009-arg","Estudio comparativo biomecánico experimental de placas de compresión bloqueadas en fracturas diafisarias","Lugones, Alfonso, Cata, Carlos E., Allende, Christian","Revista de la Asociación Argentina de Ortopedia y Traumatología; 74(2); 152-166","Revista de la Asociación Argentina de Ortopedia y Traumatología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-74342009000200009&lang=pt" 
"S1852-74342009000200010-arg","Diagnóstico de infección en la artroplastia total de rodilla","Rivarola Etcheto, Horacio F., Galli Serra, Marcos, Autorino, Carlos María","Revista de la Asociación Argentina de Ortopedia y Traumatología; 74(2); 167-175","Revista de la Asociación Argentina de Ortopedia y Traumatología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-74342009000200010&lang=pt" 
"S1852-74342009000200011-arg","Plantalgias medias","Ortiz, Eugenio F.","Revista de la Asociación Argentina de Ortopedia y Traumatología; 74(2); 176-203","Revista de la Asociación Argentina de Ortopedia y Traumatología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-74342009000200011&lang=pt" 
"S1852-74342009000200012-arg","Rodolfo L. Ferré","Yáñez, Pedro R.","Revista de la Asociación Argentina de Ortopedia y Traumatología; 74(2); 204-206","Revista de la Asociación Argentina de Ortopedia y Traumatología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-74342009000200012&lang=pt" 
"S1668-34982009000100001-arg","Seropositividad para Trypanosoma cruzi en caninos de la localidad de La Para (Córdoba, Argentina)","Graiff, D.S, Zurbriggen, G.F, Aleu, G, Sequeira, G, Faya, M, Marini, V, Mucha, C, Widenhorn, N, Moretti, E, Basso, B","InVet; 11(1); 11-14","InVet","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-34982009000100001&lang=pt" 
"S1668-34982009000100003-arg","Expresión de la integrina avß3 y de las subunidades de integrinas a3 y ß1 durante la placentación porcina","Williamson, D.M, Koncurat, M.A","InVet; 11(1); 31-37","InVet","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-34982009000100003&lang=pt" 
"S1668-34982009000100005-arg","Efecto de la Levadura de cerveza (S. cerevisiae) asociada con vitamina E sobre las variables productivas y la calidad de la canal de pollos parrilleros","Linares, M.J, Peralta, M.F, Miazzo, R.D, Nilson, A.J","InVet; 11(1); 49-54","InVet","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-34982009000100005&lang=pt" 
"S1668-34982009000100007-arg","Escherichia coli verocitotoxigénico (VTEC): Características de virulencia y persistencia en el medio ambiente","Polifroni, R, Etcheverría, A. I, Padola, N. L, Parma, A. E","InVet; 11(1); 65-70","InVet","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-34982009000100007&lang=pt" 
"S1668-34982009000100002-arg","Receptores similares a Toll en peces: el inicio de la divergencia","Rondón-Barragán, IS","InVet; 11(1); 15-30","InVet","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-34982009000100002&lang=pt" 
"S1668-34982009000100004-arg","Riesgos de trabajo en veterinarios del centro-oeste de la provincia de Santa Fe, Argentina","Tarabla, H.D","InVet; 11(1); 39-47","InVet","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-34982009000100004&lang=pt" 
"S1668-34982009000100006-arg","Evaluación del ADN espermático de llamas utilizando azul de toluidina","Carretero, M.I, Giuliano, S.M, Casaretto, C.I, Gambarotta, M.C, Neild, D.M","InVet; 11(1); 55-63","InVet","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-34982009000100006&lang=pt" 
"S0121-52562009000200008-col","TRATAMIENTO DE LA GOTA AGUDA","FERNÁNDEZ A., DANIEL G., LONDOÑO P., JOHN, SANTOS M., PEDRO, REYES S., ELSA, VALLE O., RAFAEL","Revista Med; 17(2); 252-263","Revista Med","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200008&lang=pt" 
"S0121-52562009000200009-col","REPROGRAMACIÓN NUCLEAR Y CÉLULAS PLURIPOTENTES INDUCIDAS","CHAPARRO, ORLANDO, BELTRÁN, ORIETTA","Revista Med; 17(2); 252-263","Revista Med","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200009&lang=pt" 
"S0121-52562009000200002-col","SIR SALVADOR MONCADA","MELGAREJO, ENRIQUE, LÓPEZ-JARAMILLO, PATRICIO","Revista Med; 17(2); 194-195","Revista Med","Inglês, Espanhol, Português","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200002&lang=pt" 
"S0121-52562009000200003-col","MÉTODO GAMMAGRÁFICO SIMPLIFICADO PARA EL ESTUDIO DE PACIENTES PEDIÁTRICOS CON ESTREÑIMIENTO CRÓNICO IDIOPÁTICO","MARTÍNEZ V., MARGARITA, RINCÓN L., LUIS CARLOS, ACOSTA, FÉLIX","Revista Med; 17(2); 200-206","Revista Med","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200003&lang=pt" 
"S0121-52562009000200001-col","PRESENTACIÓN","RINCÓN LA ROTTA, LUIS CARLOS","Revista Med; 17(2); 188-189","Revista Med","Inglês, Espanhol, Português","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200001&lang=pt" 
"S0121-52562009000200006-col","INCIDENCIA DE NEUMONÍA ASOCIADA A LA VENTILACIÓN MECÁNICA EN PACIENTES CON TRAUMA QUE INGRESARON A LA UNIDAD DE CUIDADOS INTENSIVOS EN EL HOSPITAL MILITAR CENTRAL","VILLAMIL C., ANDREA P., VARGAS D., ADRIANA, OLIVEROS R., HENRY","Revista Med; 17(2); 222-230","Revista Med","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200006&lang=pt" 
"S0121-52562009000200007-col","EVALUACIÓN DE LA BIOCOMPATIBILIDAD DE APATITA CARBONATADA DE SÍNTESIS SECA POR MEDIO DEL CULTIVO DE CÉLULAS OSTEOPROGENITORAS DE PORCINO","CARRETERO, CONSTANZA, BERNAL, CLAUDIA, TORRES, MARTHA LUCÍA, THEVI, K. JAMUNA, ZAKARIA, FADZIL AYAD, MIKÁN, JOSÉ","Revista Med; 17(2); 231-244","Revista Med","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200007&lang=pt" 
"S0121-52562009000200004-col","ESTUDIO DE EFECTIVIDAD PARA EL DRENAJE Y DESCOMPRESIÓN ENTÉRICA DE CUATRO DIFERENTES DISEÑOS DE SONDAS INTRALUMINALES","TRÓCHEZ R., ANDREA, RINCÓN L., LUIS CARLOS, ORTÍZ, RAFAEL","Revista Med; 17(2); 207-213","Revista Med","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200004&lang=pt" 
"S0121-52562009000200005-col","DINÁMICA PROBABILISTA TEMPORAL DE LA EPIDEMIA DE MALARIA EN COLOMBIA","RODRÍGUEZ V., JAVIER","Revista Med; 17(2); 214-221","Revista Med","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200005&lang=pt" 
"S0121-52562009000200015-col","LA MEDICINA Y LA GUERRA: EL LENTO DESPLIEGUE DE LA MEDICINA MILITAR EN COLOMBIA","SOTOMAYOR TRIBÍN, HUGO ARMANDO","Revista Med; 17(2); 293-306","Revista Med","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200015&lang=pt" 
"S0121-52562009000200014-col","RECONSTRUCCIÓN FRONTOORBITONASAL CON IMPLANTES PSI: REPORTE DE CASO","ESLAVA J., CAMILO A., NEIRA H., ALEIDA","Revista Med; 17(2); 286-292","Revista Med","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200014&lang=pt" 
"S0121-52562009000200011-col","TOXOPLASMOSIS PULMONAR EN PACIENTE INMUNOCOMPETENTE: REPORTE DE CASO Y REVISIÓN DE LITERATURA","SÁNCHEZ, CAROLINA, YURGAKY, JAMES M., RODRÍGUEZ, FRANCISCO","Revista Med; 17(2); 268-273","Revista Med","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200011&lang=pt" 
"S0121-52562009000200010-col","EVALUACIÓN LAPAROSCÓPICA DE HERNIA INGUINAL CONTRALATERAL EN NIÑOS: ¿ESTÁ JUSTIFICADA SU EXPLORACIÓN?","CASTILLO F., ANA MARÍA, RINCÓN L., LUIS CARLOS, LUENGAS, JUAN PABLO","Revista Med; 17(2); 264-267","Revista Med","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200010&lang=pt" 
"S0121-52562009000200013-col","TUMOR DE FRANTZ: REPORTE DE CASOS","TRÓCHEZ R., ANDREA, PEÑA, RAFAEL R., GÓMEZ T., MARTÍN","Revista Med; 17(2); 280-285","Revista Med","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200013&lang=pt" 
"S0121-52562009000200012-col","CARCINOMA ESCAMOCELULAR INTRAÓSEO PRIMARIO MANDIBULAR: REPORTE DE CASO","SABOGAL G., LUZ ADRIANA, ROJAS, ALEJANDRA, VÉLEZ S, JOSÉ ANTONIO","Revista Med; 17(2); 274-279","Revista Med","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-52562009000200012&lang=pt" 
"S0001-63652009000200012-ven","Tratamiento crio-quirurgico de la neuralgia del trigémino nueva técnica de tratamiento alternativo o paliativo","Vivas Berthier, Pedro","Acta Odontológica Venezolana; 47(2); 362-368","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200012&lang=pt" 
"S0001-63652009000200021-ven","Análisis de las necesidades protésicas de acuerdo a la complejidad del tratamiento de los pacientes que asisten a la Universidad Central de Venezuela en el período 2006 -2007","Vieira N, Jorge","Acta Odontológica Venezolana; 47(2); 425-431","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200021&lang=pt" 
"S0001-63652009000200020-ven","Restablecimiento estético y funcional de la guía anterior utilizando la técnica de estratificación con resina compuesta","Pontons Melo, Juan Carlos, Fernandes da Cunha, Leonardo, Yoshio Furuse, Adilson, Lia Mondelli, Rafael Francisco, Mondelli, José","Acta Odontológica Venezolana; 47(2); 418-424","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200020&lang=pt" 
"S0001-63652009000200023-ven","Colitis pseudomembranosa asociada al uso de antibióticos","Orellana, Alejandra, Esmeralda, Salazar","Acta Odontológica Venezolana; 47(2); 439-445","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200023&lang=pt" 
"S0001-63652009000200025-ven","Carga inmediata en implantes dentales Implantología","Liendo M, Cindy, Herschdorfer F, Tania","Acta Odontológica Venezolana; 47(2); 453-459","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200025&lang=pt" 
"S0001-63652009000200024-ven","Las Mucinas Salivales y sus implicaciones en la reología de la saliva humana y los sustitutos salivales","Gésime, JM, Acevedo, AM, Lalaguna, F","Acta Odontológica Venezolana; 47(2); 446-452","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200024&lang=pt" 
"S0001-63652009000200027-ven","Odontología Basada en la Evidencia: Paradigma del Siglo XXI","Cardozo Montilla, Miguel Angel, Sorate Marcano, Yolymar, Herrera Galarraga, Marvic","Acta Odontológica Venezolana; 47(2); 467-473","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200027&lang=pt" 
"S0001-63652009000200026-ven","Consideraciones actuales en hiperplasia fibrosa inflamatoria","Muñante-Cárdenas, Jose luis, Miguel, Jaimes, Sergio, Olate, Albergaria-Barbosa, José Ricardo","Acta Odontológica Venezolana; 47(2); 460-466","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200026&lang=pt" 
"S0001-63652009000200029-ven","La bioetica y sus principios","Ferro, María, Molina Rodríguez, Luzcarín, Rodríguez G, William A","Acta Odontológica Venezolana; 47(2); 481-487","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200029&lang=pt" 
"S0001-63652009000200028-ven","Caries secundaria","Figueroa-Gordon, M","Acta Odontológica Venezolana; 47(2); 474-480","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200028&lang=pt" 
"S0001-63652009000200022-ven","Capacidad de sellado marginal de los cementos provisionales IRM®, Cavit® y vidrio ionomérico, en dientes tratados endodóncicamente: (Revisión de la Literatura)","Camejo Suárez, María Valentina","Acta Odontológica Venezolana; 47(2); 432-438","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200022&lang=pt" 
"S0001-63652009000200009-ven","Fluconazol: Seguridad y Eficacia en el Control de la Estomatitis Sub-Protésica Asociada a Candida","Salazar, Esmeralda, Cardozo, Elba, Germán, Pardi, Perrone, Marianella","Acta Odontológica Venezolana; 47(2); 341-347","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200009&lang=pt" 
"S0001-63652009000200008-ven","Los tiempos difíciles y la inteligencia emocional en el ejercicio odontológico","Gedler de Herrera, Lourdes Omaira","Acta Odontológica Venezolana; 47(2); 334-340","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200008&lang=pt" 
"S0001-63652009000200003-ven","Gestión en salud en Brasil: la percepción de gestores y trabajadores de la salud sobre modelo de gestión y aspectos gerenciales","Saliba, Nemre Adas, Moimaz, Suzely Adas Saliba, Gonçalves, Patrícia Elaine, de Lima, Daniela Coelho, Santos, Joildo Guimarães, Moimaz, Suzely Adas Saliba, Goncalves, Patricia Elaine","Acta Odontológica Venezolana; 47(2); 299-305","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200003&lang=pt" 
"S0001-63652009000200002-ven","Desigualdades sociales en Salud: Su expresión en niños y adolescentes con cáncer ingresados en el Servicio de Oncohematologia del Hospital de Especialidades Pediátricas de Maracaibo. Estado Zulia","Navas Perozo, Rita, Rojas-Morales, Thais","Acta Odontológica Venezolana; 47(2); 292-298","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200002&lang=pt" 
"S0001-63652009000200001-ven","","","Acta Odontológica Venezolana; 47(2); 290-290","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200001&lang=pt" 
"S0001-63652009000200007-ven","Identificación de lesiones en los tejidos blandos de la cavidad bucal en adolescentes con privacion de libertad en el odontopediátrico de carapa: Septiembre 2005- abril 2006 venezuela","Jiménez Palacios, Cecilia, Ramírez, Reymaira, Ortiz, Virginia, Virgüez, Yaidilis, Benítez, Alejandra","Acta Odontológica Venezolana; 47(2); 327-333","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200007&lang=pt" 
"S0001-63652009000200006-ven","Evaluación de de la eficacia de los procesos de esterilización de consultorios odontológicos del distrito VI de la provincia de buenos aires, argentina 2006 - 2007, mediante la utilización de indicadores biológicos","Riera, Laura Marisa C, Maiztegui, Julio I, Ambrosio, Ana María, Bottale, Alejandro Javier, Nandín, Lourdes, Fassio, Rubén, Saavedra, María del Carmen, Castellano, Laura, Dowhuszko, Adolfo, Di Fulvio, Silvio, Ceuninck, Amanda","Acta Odontológica Venezolana; 47(2); 320-326","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200006&lang=pt" 
"S0001-63652009000200005-ven","Relación entre lactancia materna y transmision del VIH/SIDA","Guerra, María Elena, Rodríguez, Ana, Tovar, Vilma, Blanco-Cedres, Lucila, Garrido, Elinor, Carvajal, Ana, León, José R","Acta Odontológica Venezolana; 47(2); 313-319","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200005&lang=pt" 
"S0001-63652009000200004-ven","La enseñanza de bioestadística en las facultades de odontología de Brasil: Presente o ausente?","Sundefeld, Maria Lúcia Marçal Mazza, Moreno, Amália, Santo, Márcia Regina do Espírito","Acta Odontológica Venezolana; 47(2); 306-312","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200004&lang=pt" 
"S0001-63652009000200030-ven","Rol del Odontopediatra en el Diagnóstico de Maltrato Infantil","Morales Chávez, Mariana C","Acta Odontológica Venezolana; 47(2); 488-494","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200030&lang=pt" 
"S0001-63652009000200014-ven","Osteoma periférico en la mandíbula: Presentación de caso","Carrera, M, Pereira Junior, FB, Santos, JN, Vasconcellos, RJH","Acta Odontológica Venezolana; 47(2); 376-382","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200014&lang=pt" 
"S0001-63652009000200015-ven","Elevación del piso del seno maxilar a través de la cresta ósea alveolar, mediante el uso de osteotomos: Reporte de caso clínico","Di Natale, E","Acta Odontológica Venezolana; 47(2); 383-389","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200015&lang=pt" 
