"S0102-85292016000200567-scl","Explaining Co-operation and Conflict in Southern Africa: State-building, Foreign Policy and Regional Order","Silva, Igor Castellano da","Contexto Internacional; 38(2); 567-591","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000200567&lang=pt" 
"S0100-736X2016000800677-scl","Thromboelastometric evaluation of horses submitted to experimental thrombosis and jugular thrombectomy","Pizzigatti, Dietrich, Gonçalves, Daniele S., Trentin, Thays C., Takahira, Regina K., Alves, Ana L.G., Rodrigues, Celso A., Watanabe, Marcos J., Hussni, Carlos A.","Pesquisa Veterinária Brasileira; 36(8); 677-686","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800677&lang=pt" 
"S0100-736X2016000800737-scl","Cardiac markers in five different breeds of rabbits (Oryctolagus cuniculus Linnaeus, 1758) used for cardiovascular research","Ferreira, Felipp S., Barretto, Flávia L., Fabres, Arianne, Silveira, Leonardo S., Carvalho, Claudio B.","Pesquisa Veterinária Brasileira; 36(8); 737-742","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800737&lang=pt" 
"S0100-736X2016000800767-scl","Identification of ultrastructural and functional damages in sperm from six-banded armadillos (Euphractus sexcinctus) due to cryopreservation","Sousa, Patrícia C., Santos, Erika A.A., Silva, Andréia M., Bezerra, José A.B., Souza, Ana L.P., Lima, Gabriela L., Oliveira, Moacir F., Silva, Alexandre R.","Pesquisa Veterinária Brasileira; 36(8); 767-774","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800767&lang=pt" 
"S0100-736X2016000800749-scl","Gyrostigma rhinocerontis (Diptera: Oestridae, Gasterophilinae) in white rhinoceroses (Ceratotherium simum) imported from South Africa: occurrence in Itatiba, São Paulo, Brazil","Pachaly, José R., Monteiro-Filho, Luiz P.C., Gonçalves, Daniela D., Voltarelli-Pachaly, Evandra M.","Pesquisa Veterinária Brasileira; 36(8); 749-752","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800749&lang=pt" 
"S0100-736X2016000800701-scl","Characterization of Streptococcus suis through serotyping, SE-AFLP and virulence profile","Calderaro, Franco F., Moreno, Luisa Z., Doto, Daniela S., Matajira, Carlos E.C., Gomes, Vasco T.M., Ferreira, Thais S.P., Mesquita, Renan E., Moreno, Andrea M.","Pesquisa Veterinária Brasileira; 36(8); 701-704","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800701&lang=pt" 
"S0100-736X2016000800705-scl","Brucella abortus detected in cheese from the Amazon region: differentiation of a vaccine strain (B19) from the field strain in the states of Pará, Amapá and Rondônia, Brazil","Silva, Jacqueline, Moraes, Carina M. de, Silva, Cleyzer L., Sales, Gustavo A., Keid, Lara B., Matos, Paulo C.M., Lara, Ana P.S.S., Moraes, Carla C.G.","Pesquisa Veterinária Brasileira; 36(8); 705-710","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800705&lang=pt" 
"S0100-736X2016000800775-scl","Effects of intracameral brilliant blue on the corneal endothelium of swine: in vitro study","Terzariol, Mariana, Hünning, Paula S., Brambatti, Gustavo, Albuquerque, Luciane de, Neumann, Carolina, Pigatto, João A.T.","Pesquisa Veterinária Brasileira; 36(8); 775-780","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800775&lang=pt" 
"S0100-736X2016000800743-scl","Determination of left atrial volume in healthy dogs and dogs with myxomatous mitral valve disease","Franco, Rodrigo P., Zacche, Evandro, Camacho, Rafael R., Sousa, Marlos G., Camacho, Aparecido A.","Pesquisa Veterinária Brasileira; 36(8); 743-748","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800743&lang=pt" 
"S0100-736X2016000800761-scl","Insulin binding characteristics in canine muscle tissue: effects of the estrous cycle phases","Pöppl, Álan G., Valle, Sandra C., González, Félix H.D., Kucharski, Luiz C., Silva, Roselis S.M. da","Pesquisa Veterinária Brasileira; 36(8); 761-766","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800761&lang=pt" 
"S0100-736X2016000800724-scl","Investigação clínica e comparação do esfregaço sanguíneo e PCR para diagnóstico de hemoparasitas em equinos de esporte e tração (carroceiros)","Dória, Renata G.S., Passarelli, Daniele, Chequer, Thaís N., Reginato, Gustavo M., Hayasaka, Yumi B., Fantinato Neto, Paulo, Grigoletto, Renan, Freitas, Silvio H.","Pesquisa Veterinária Brasileira; 36(8); 724-730","Pesquisa Veterinária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800724&lang=pt" 
"S0100-736X2016000800787-scl","Células-tronco derivadas do epitélio olfatório: perspectivas terapêuticas na medicina veterinária","Mazzarella, Rosane, Garnica, Taismara K., Roballo, Kelly C.S., Ambrósio, Carlos E.","Pesquisa Veterinária Brasileira; 36(8); 787-792","Pesquisa Veterinária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000800787&lang=pt" 
"S1988-348X2016000200011-esp","Relación lógica entre cuidado y acompañamiento en las etapas de la vida","Díaz Teruel, Virginia","Ene; 10(2); -","Ene","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2016000200011&lang=pt" 
"S1988-348X2016000200010-esp","El autogobierno: una aproximación conceptual a la toma de decisiones y la voluntad en el camino del cuidado","Domínguez del Campo, Marta","Ene; 10(2); -","Ene","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2016000200010&lang=pt" 
"S0101-47142016000200077-scl","Arquiteturas da saúde na segunda metade do século XIX e os modelos de ensino nas academias portuguesas","Miranda, Cybelle Salvador, Grilo, Fernando Jorge Artur","Anais do Museu Paulista: História e Cultura Material; 24(2); 77-113","Anais do Museu Paulista: História e Cultura Material","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47142016000200077&lang=pt" 
"S1988-348X2016000200006-esp","Formalización del concepto de salud a través de la lógica: impacto del lenguaje formal en las ciencias de la salud","Herrero Jaén, Sara","Ene; 10(2); -","Ene","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2016000200006&lang=pt" 
"S1988-348X2016000200008-esp","Los problemas de salud crónicos en las personas: un análisis del impacto desde la agencia y la demanda de autocuidado","Gonzalo de Diego, Blanca","Ene; 10(2); -","Ene","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2016000200008&lang=pt" 
"S1988-348X2016000200009-esp","Correlación entre el modelo conceptual y el modelo profesional del cuidado","España López, Ana María","Ene; 10(2); -","Ene","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2016000200009&lang=pt" 
"S1988-348X2016000200007-esp","Representación formal de la correlación entre las etapas del ciclo vital y la agencia de autocuidado","Nieto Franco, Florentino","Ene; 10(2); -","Ene","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2016000200007&lang=pt" 
"S1988-348X2016000200003-esp","Piel con piel en la primera hora de vida: reflejo de las nueve etapas instintivas","Madero Nogueras, Magdalena, Castro Menéndez, Angélica, Rodríguez Castilla, Francisco","Ene; 10(2); -","Ene","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2016000200003&lang=pt" 
"S0101-47142016000200053-scl","Música no ar... Cachoeira, Santa Maria, Morro Alto e Saltinho. Teixeira Vilela, Hercule Florence e Carlos Gomes, Campinas, século XIX","Ribeiro, Maria Alice Rosa, Nogueira, Lenita Waldige Mendes","Anais do Museu Paulista: História e Cultura Material; 24(2); 53-75","Anais do Museu Paulista: História e Cultura Material","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47142016000200053&lang=pt" 
"S1988-348X2016000200001-esp","Editorial en un Tweet","","Ene; 10(2); -","Ene","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2016000200001&lang=pt" 
"S1988-348X2016000200012-esp","Investigación en metodología y lenguajes enfermeros","","Ene; 10(2); -","Ene","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2016000200012&lang=pt" 
"S1988-348X2016000200002-esp","La enfermería inconsciente","Gancedo, Zulema","Ene; 10(2); -","Ene","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2016000200002&lang=pt" 
"S1988-348X2016000200005-esp","¿Influye el pinzamiento tardío de cordón umbilical en el resultado del ph neonatal?","Tomé-Blanco, Estefanía, López-Sedano, Sonia, González-González, María Esther","Ene; 10(2); -","Ene","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2016000200005&lang=pt" 
"S0101-47142016000200219-scl","A conexão holandesa","Sobral, Luís Felipe","Anais do Museu Paulista: História e Cultura Material; 24(2); 219-229","Anais do Museu Paulista: História e Cultura Material","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47142016000200219&lang=pt" 
"S0101-47142016000200187-scl","Além do &quot;silêncio de um oceano&quot;. Ideias de Brasil nas representações de um crítico e de artistas e arquitetos italianos depois da Segunda Guerra Mundial","Corato, Aline Coelho Sanches","Anais do Museu Paulista: História e Cultura Material; 24(2); 187-215","Anais do Museu Paulista: História e Cultura Material","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47142016000200187&lang=pt" 
"S0101-47142016000200011-scl","Exílio escravista: Hercule Florence e as fronteiras do açúcar e do café no Oeste paulista (1830-1879)","Marquese, Rafael de Bivar","Anais do Museu Paulista: História e Cultura Material; 24(2); 11-51","Anais do Museu Paulista: História e Cultura Material","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47142016000200011&lang=pt" 
"S0101-47142016000200161-scl","A vanguarda tropical de Mário de Andrade","Natal, Caion Meneguello","Anais do Museu Paulista: História e Cultura Material; 24(2); 161-186","Anais do Museu Paulista: História e Cultura Material","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47142016000200161&lang=pt" 
"S0103-49792016000200399-scl","MARTINS, José de Souza. Uma sociologia da vida cotidiana – ensaios na perspectiva de Florestan Fernandes, de Wright Mills e de Henri Lefebvre. Editora Contexto: São Paulo, 2014 224p.","Soto, William Héctor Gómez","Caderno CRH; 29(77); 399-401","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200399&lang=pt" 
"S0103-49792016000200295-scl","DESENVOLVIMENTO ECONÔMICO E MUDANÇA SOCIAL: a Vale e a mineração na Amazônia Oriental","Santos, Rodrigo Salles Pereira dos","Caderno CRH; 29(77); 295-312","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200295&lang=pt" 
"S0103-49792016000200417-scl","Errata","","Caderno CRH; 29(77); 417-417","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200417&lang=pt" 
"S0103-49792016000200403-scl","OCHOA, Juan Andrés Pizzani (Org.). Crítica a los discursos sobre las prácticas sexuales de los pueblos originarios. Caracas: Fundación Editorial el perro y la rana. 2015, 167p.","Fernandes, Estevão Rafael","Caderno CRH; 29(77); 403-407","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200403&lang=pt" 
"S0103-49792016000200415-scl","Errata","","Caderno CRH; 29(77); 415-415","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200415&lang=pt" 
"S0103-49792016000200349-scl","HERÓIS OU PROTEGIDOS? Cidadania e voto na cena intelectual-parlamentar da Primeira República","Hollanda, Cristina Buarque de","Caderno CRH; 29(77); 349-361","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200349&lang=pt" 
"S0103-49792016000200313-scl","TRABALHO, EMPREGO, PRECARIEDADE: dimensões conceituais em debate","Vargas, Francisco Beckenkamp","Caderno CRH; 29(77); 313-331","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200313&lang=pt" 
"S0103-49792016000200409-scl","AMORIM, Henrique; SILVA, Jair Batista da. Classes e lutas de classes: novos questionamentos. São Paulo: Annablume, 2015. 250p.","Gerônimo, André de Oliveira","Caderno CRH; 29(77); 409-412","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200409&lang=pt" 
"S0103-49792016000200413-scl","Errata","","Caderno CRH; 29(77); 413-413","Caderno CRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792016000200413&lang=pt" 
"S0718-34372016000200003-chl","ACCIÓN AFIRMATIVA EN LA JURISPRUDENCIA DEL TRIBUNAL CONSTITUCIONAL","Figueroa G, Rodolfo","Revista chilena de derecho; 43(2); 401-431","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000200003&lang=pt" 
"S0718-34372016000200005-chl","LA JURISDICCIÓN CONSTITUCIONAL EN FRANCIA, DE LA APARENTE EXCEPCIÓN EUROPEA AL FIN DE LA SINGULARIDAD FRANCESA","Sarmiento E, Juan Pablo","Revista chilena de derecho; 43(2); 461-484","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000200005&lang=pt" 
"S0718-34372016000200017-chl","ANÁLISIS DE LOS MODELOS DE VINCULACIÓN DEL CÓDIGO CIVIL Y LA LEGISLACIÓN DE PROTECCIÓN AL CONSUMIDOR: HACIA UN PRINCIPIO GENERAL DE PROTECCIÓN DE LA PARTE DÉBIL EN EL DERECHO PRIVADO","Momberg U, Rodrigo","Revista chilena de derecho; 43(2); 737-756","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000200017&lang=pt" 
"S0718-34372016000200008-chl","LA TEORÍA DE LOS ACTOS PROPIOS EN EL DERECHO DEL TRABAJO CHILENO","López Oneto, Marcos","Revista chilena de derecho; 43(2); 547-571","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000200008&lang=pt" 
"S0718-34372016000200009-chl","CADUCIDAD DE LA RESOLUCIÓN DE CALIFICACIÓN AMBIENTAL Y REGLAMENTO DEL SEIA","Mardones Osorio, Marcelo, Cannoni Mandujano, Nicolás","Revista chilena de derecho; 43(2); 573-600","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000200009&lang=pt" 
"S1988-348X2016000200004-esp","Obstáculos y apoyos percibidos en la aplicación de terapia compresiva en úlceras venosas de la pierna","Raña-Lama, Camilo Daniel, Bouza-Prego, María Ángeles, Saleta-Canosa, Jesús Luís, Rumbo-Prieto, José María, Arantón-Areosa, Luis","Ene; 10(2); -","Ene","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2016000200004&lang=pt" 
"S0101-47142016000200115-scl","A transnacionalização de objetos escolares no fim do século XIX","Alcântara, Wiara","Anais do Museu Paulista: História e Cultura Material; 24(2); 115-159","Anais do Museu Paulista: História e Cultura Material","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47142016000200115&lang=pt" 
"S0103-21002016000400003-scl","O profissional da enfermagem e a criação de valores na saúde","Araujo, Claudia Affonso Silva","Acta Paulista de Enfermagem; 29(4); 3-4","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400003&lang=pt" 
"S1137-66272016000200006-esp","Validación del Cuestionario de Orientación a la Vida (OLQ-13) de Antonovsky en una muestra de estudiantes universitarios en Navarra","Lizarbe-Chocarro, M., Guillén-Grima, F., Aguinaga-Ontoso, I., Canga Armayor, N.","Anales del Sistema Sanitario de Navarra; 39(2); 237-248","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200006&lang=pt" 
"S1137-66272016000200015-esp","Detección de lesiones fuera del intestino delgado con cápsula endoscópica en pacientes con hemorragia digestiva oculta","Juanmartiñena Fernández, J.F., Fernández-Urién, I., Saldaña Dueñas, C., Elosua González, A., Borda Martín, A., Vila Costas, J.J.","Anales del Sistema Sanitario de Navarra; 39(2); 315-318","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200015&lang=pt" 
"S0213-12852016000400004-esp","Enfermedad periodontal y factores relacionados en escolares con síndrome de Down en Cartagena, Colombia","Tirado Amador, L., Ramos Martínez, K., Arrieta Vergara, K.","Avances en Odontoestomatología; 32(4); 205-213","Avances en Odontoestomatología","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852016000400004&lang=pt" 
"S0213-12852016000400002-esp","Histiocitosis de células de Langerhans con implicación oral: a propósito de un caso","Pipa Vallejo, A., Pipa Muñiz, M., Pipa Muñiz, C., Gangoiti Moratinos, Z., Peña González, I., Pipa Muñiz, I., Pipa Muñiz, A., González García, M., De Vicente Rodríguez, J.C.","Avances en Odontoestomatología; 32(4); 187-193","Avances en Odontoestomatología","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852016000400002&lang=pt" 
"S1137-66272016000200007-esp","El hepatocarcinoma en la Comunidad Foral de Navarra: estudio de características y evolución en la práctica clínica habitual","Elizalde Apestegui, I.R., Saldaña Dueñas, C., Goñi Esarte, S., Prieto Martínez, C., Sangro Gómez-Acebo, B., Zozaya Urmeneta, J.M.","Anales del Sistema Sanitario de Navarra; 39(2); 249-260","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200007&lang=pt" 
"S1137-66272016000200014-esp","Condrolisis idiopática de cadera: evolución a largo plazo","García-Mata, S., Jiménez Sarmiento, O., Duart Clemente, J., Hidalgo Ovejero, A.","Anales del Sistema Sanitario de Navarra; 39(2); 309-314","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200014&lang=pt" 
"S1137-66272016000200010-esp","Tuberculosis cecal: la importancia de una alta sospecha diagnóstica","Valdivielso Cortázar, E., Bolado Concejo, F., Jiménez Pérez, F.J., Couto Wörner, I., Alonso Aguirre, P.A.","Anales del Sistema Sanitario de Navarra; 39(2); 291-293","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200010&lang=pt" 
"S1137-66272016000200001-esp","El hepatocarcinoma","Iñarrairaegui, M.","Anales del Sistema Sanitario de Navarra; 39(2); 179-180","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200001&lang=pt" 
"S0103-21002016000400482-scl","Errata","","Acta Paulista de Enfermagem; 29(4); 482-485","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400482&lang=pt" 
"S1137-66272016000200002-esp","Identificación de las carencias asistenciales en la atención clínica del asma en España: resultados de la encuesta OPTIMA-GEMA","Plaza, V., Rodríguez del Río, P., Gómez, F., López Viña, A., Molina, J., Quintano, J.A., Quirce, S., Soler, R., Villa, J.R., Nieto, A.","Anales del Sistema Sanitario de Navarra; 39(2); 181-201","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200002&lang=pt" 
"S0213-12852016000400005-esp","Lesiones de mancha blanca en Ortodoncia: conceptos actuales","Vargas, J., Vargas del Valle, P., Palomino, H.","Avances en Odontoestomatología; 32(4); 215-221","Avances en Odontoestomatología","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852016000400005&lang=pt" 
"S1137-66272016000200017-esp","Detección del paciente paliativo con insuficiencia cardiaca aguda en urgencias","Iglesias López, S., Llopis García, G., Yañez-Palma, M.C., Rodríguez Adrada, E.","Anales del Sistema Sanitario de Navarra; 39(2); 323-324","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200017&lang=pt" 
"S1137-66272016000200020-esp","Comunicación y mindfulness como prevención del burnout","Fuertes Goñi, C., Aranda Auserón, G., Arroyo Anies, M. P.","Anales del Sistema Sanitario de Navarra; 39(2); 331-333","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200020&lang=pt" 
"S1137-66272016000200021-esp","Factores determinantes y coste económico del absentismo de pacientes en consultas externas","Montesino-Semper, M., Rodrigo Rincón, I.","Anales del Sistema Sanitario de Navarra; 39(2); 335-336","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200021&lang=pt" 
"S1137-66272016000200013-esp","Pseudotumor inflamatorio hepático linfoplasmocítico","Valdivielso Córtazar, E., Yáñez López, J.A., Yáñez Gónzalez-Dopeso, L., Diz-Lois Palomares, M., González Conde, B., Alonso Aguirre, P.","Anales del Sistema Sanitario de Navarra; 39(2); 305-308","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200013&lang=pt" 
"S1137-66272016000200008-esp","Valoración del grado de adherencia a la dieta mediterránea en pacientes con insuficiencia cardiaca: estudio DIME-EAHFE","Miró, Ò., Martín-Sánchez, F.J., Jacob, J., Andueza, J.A., Herrero, P., Llorens, P.","Anales del Sistema Sanitario de Navarra; 39(2); 261-268","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200008&lang=pt" 
"S0103-21002016000400421-scl","Construção, validação e adequação cultural do protocolo COMPASSO: Adesão ao autocuidado em diabetes","Fernandes, Bárbara Sgarbi Morgan, Reis, Ilka Afonso, Pagano, Adriana Silvina, Cecilio, Sumaya Giarola, Torres, Heloisa de Carvalho","Acta Paulista de Enfermagem; 29(4); 421-429","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400421&lang=pt" 
"S0103-21002016000400430-scl","Vídeo educativo: estratégia de treinamento para cuidadores de crianças com fissura labiopalatina","Razera, Ana Paula Ribeiro, Trettene, Armando dos Santos, Mondini, Cleide Carolina da Silva Demoro, Cintra, Flavia Maria Ravagnani Neves, Tabaquim, Maria de Lourdes Merighi","Acta Paulista de Enfermagem; 29(4); 430-438","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400430&lang=pt" 
"S0103-21002016000400446-scl","Tempos de acesso a serviços de saúde face ao infarto do miocárdio","Mendes, Andreia Santos, Reis, Virgínia Ramos dos Santos Souza, Santos, Carlos Antonio de Souza Teles, Mussi, Fernanda Carneiro","Acta Paulista de Enfermagem; 29(4); 446-453","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400446&lang=pt" 
"S0103-21002016000400390-scl","Validação para a língua portuguesa do Educational Practices Questionnaire (Student Version)","Almeida, Rodrigo Guimarães dos Santos, Mazzo, Alessandra, Martins, José Carlos Amado, Souza-Junior, Valtuir Duarte de, Mendes, Isabel Amélia Costa","Acta Paulista de Enfermagem; 29(4); 390-396","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400390&lang=pt" 
"S1413-23112016000200333-scl","UM MODELO DE GESTÃO DO RELACIONAMENTO ENTRE OS CIDADÃOS E A ADMINISTRAÇÃO PÚBLICA","Lara, Rodrigo Diniz, Gosling, Marlusa de Sevilha","REAd. Revista Eletrônica de Administração (Porto Alegre); 22(2); 333-362","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112016000200333&lang=pt" 
"S0103-21002016000400454-scl","Sofrimento moral em enfermeiros dos departamentos de fiscalização do Brasil","Silveira, Luciana Ramos, Ramos, Flávia Regina Souza, Schneider, Dulcinéia Ghizoni, Vargas, Mara Ambrosina de Oliveira, Barlem, Edison Luiz Devos","Acta Paulista de Enfermagem; 29(4); 454-462","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400454&lang=pt" 
"S0103-21002016000400463-scl","Acolhimento na atenção primária à saúde na ótica de enfermeiros","Camelo, Marina Shinzato, Lima, Luciano Ramos de, Volpe, Cris Renata Grou, Santos, Walterlânia Silva, Rehem, Tania Cristina Morais Santa Barbara","Acta Paulista de Enfermagem; 29(4); 463-468","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400463&lang=pt" 
"S1413-23112016000200279-scl","ADOÇÃO DE M-LEARNING NO ENSINO SUPERIOR: O PONTO DE VISTA DOS PROFESSORES","Pina, Fernanda, Kurtz, Renata, Ferreira, Jorge Brantes, Freitas, Angilberto, Silva, Jorge Ferreira da, Giovannini, Cristiane Junqueira","REAd. Revista Eletrônica de Administração (Porto Alegre); 22(2); 279-306","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112016000200279&lang=pt" 
"S0103-21002016000400413-scl","Excesso ponderal e marcadores de vulnerabilidade sociodemográfica em adultos jovens escolares","Florêncio, Raquel Sampaio, Santiago, Jênifa Cavalcante dos Santos, Moreira, Thereza Maria Magalhães, Freitas, Teresa Cristina de","Acta Paulista de Enfermagem; 29(4); 413-420","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400413&lang=pt" 
"S1137-66272016000200019-esp","Calidad de vida de pacientes con cáncer de próstata: estudio prospectivo mediante la aplicación del cuestionario CAVIPRES","Arrarás, J.I., Lainez, N., Asín, G., Rico, M.","Anales del Sistema Sanitario de Navarra; 39(2); 327-329","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200019&lang=pt" 
"S0103-21002016000400381-scl","Plataforma Moodle na construção do conhecimento em Terapia Intensiva: estudo experimental","Domenico, Edvane Birelo Lopes De, Cohrs, Cibelli Rizzo","Acta Paulista de Enfermagem; 29(4); 381-389","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400381&lang=pt" 
