"S1415-52732017000100091-scl","Evaluation of a mobile application for estimation of food intake","MESCOLOTO, Samantha Bittencourt, CAIVANO, Simone, DOMENE, Semíramis Martins Álvares","Revista de Nutrição; 30(1); 91-98","Revista de Nutrição","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732017000100091&lang=pt" 
"S1516-14392017000100096-scl","Surface Modification of Aluminized Cu-10Fe Alloy by High Current Pulsed Electron Beam","Zhou, Zhiming, Chen, Baofeng, Chai, Linjiang, Wang, Yaping, Huang, Weijiu, Cao, Minmin, Wei, Bingwei","Materials Research; 20(1); 96-101","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100096&lang=pt" 
"S1516-14392017000100161-scl","Cyclic Polarization Study of Thick Welded Joints of Lean Duplex Stainless Steel for Application in Biodiesel Industry","Sicupira, Dalila Chaves, Cardoso Junior, Ronaldo, Bracarense, Alexandre Queiroz, Frankel, Gerald S., Lins, Vanessa de Freitas Cunha","Materials Research; 20(1); 161-167","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100161&lang=pt" 
"S0034-737X2017000100055-scl","Microbiological viability of bovine amniotic membrane stored in glycerin 99% at room temperature for 48 months","Pontes, Kelly Cristine de Sousa, Ramalho, Camila Almeida, Borges, Andrea Pacheco Batista, Sepúlveda, Rodrigo Viana, Eleotério, Renato Barros","Revista Ceres; 64(1); 55-59","Revista Ceres","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2017000100055&lang=pt" 
"S1516-14392017000100021-scl","Influence of Ferrite Phase Content on the Electrochemical Properties of Duplex Stainless Steels","Souza, Elki Cristina de, Rossitti, Sérgio Mazzer, Fortulan, Carlos Alberto, Rollo, João Manuel Domingos de Almeida","Materials Research; 20(1); 21-29","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100021&lang=pt" 
"S0034-737X2017000100083-scl","Produção de cultivares de alface americana sob dois sistemas de cultivo","Brzezinski, Cristian Rafael, Abati, Julia, Geller, Alexsandro, Werner, Flavia, Zucareli, Claudemir","Revista Ceres; 64(1); 83-89","Revista Ceres","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2017000100083&lang=pt" 
"S1516-14392017000100151-scl","Effect of Rolling in the Recrystallization Temperature Region Associated with a Post-Heat Treatment on the Microstructure, Crystal Orientation, and Mechanical Properties of API 5L X70 Pipeline Steel","Masoumi, Mohammad, Silva, Cleiton Carvalho, Abreu, Hamilton Ferreira Gomes de","Materials Research; 20(1); 151-160","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100151&lang=pt" 
"S0034-737X2017000100047-scl","Modelación espacial de la Sigatoka negra (Mycosphaerella fijiensis M. Morelet) en banano cv. Gran Enano","Gómez-Correa, Juan Camilo, Torres-Aponte, Walter Smith, Cayón-Salinas, Daniel Gerardo, Hoyos-Carvajal, Lilliana María, Castañeda-Sánchez, Darío Antonio","Revista Ceres; 64(1); 47-54","Revista Ceres","Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2017000100047&lang=pt" 
"S1516-14392017000100175-scl","Chemo-Rheological Behavior of Aqueous Titanium Carbide Suspension and Evaluation of the Gelcasted Green Body Properties","Foratirad, Hamze, Baharvandi, Hamid Reza, Maragheh, Mohammad Ghanadi","Materials Research; 20(1); 175-182","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100175&lang=pt" 
"S0102-09352017000100243-scl","Influence of stocking density on growth performance and welfare of juvenile tilapia ( Oreochromis niloticus ) in cages","Costa, Â.A.P., Roubach, R., Dallago, B.S.L., Bueno, G.W., McManus, C., Bernal, F.E.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 69(1); 243-251","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352017000100243&lang=pt" 
"S0102-09352017000100022-scl","Anatomia e segmentação pulmonar de tamanduá-bandeira (Myrmecophaga tridactyla - Linnaeus, 1758) de vida livre","Giraldi, A.C.C., Aires, L.P.N., Rodrigues, R.F., Cruvinel, T.M.A., Melo, A.P.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 69(1); 22-28","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352017000100022&lang=pt" 
"S0104-42302017000200124-scl","Overweight and obesity in preschoolers: Prevalence and relation to food consumption","Araujo, Aretha Matos de, Brandão, Socorro Adriana de Sousa Meneses, Araújo, Marcos Antônio da Mota, Frota, Karoline de Macêdo Gonçalves, Moreira-Araujo, Regilda Saraiva dos Reis","Revista da Associação Médica Brasileira; 63(2); 124-133","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000200124&lang=pt" 
"S1134-80462017000100003-esp","La terapia asistida con perros en el tratamiento de las personas con dolor crónico: una revisión sistemática","Pedrosa, S., Aguado, D., Canfrán, S., Torres, J., Miró, J.","Revista de la Sociedad Española del Dolor; 24(1); 11-18","Revista de la Sociedad Española del Dolor","Espanhol","2017","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462017000100003&lang=pt" 
"S1134-80462017000100009-esp","Dolor: el tratamiento posible","Juárez Ramos, V., Martínez Suárez, P. C.","Revista de la Sociedad Española del Dolor; 24(1); 52-52","Revista de la Sociedad Española del Dolor","Espanhol","2017","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462017000100009&lang=pt" 
"S1134-80462017000100004-esp","Prescripción de opioides mayores en pacientes con dolor no oncológico: descripción de sus características en una zona de salud de atención primaria","Tormo Molina, J., Marín Conde, L., González Urbano, M., Ruiz Pérez de la Blanca, M., Robles Martín, J., Vivar Simón, M.","Revista de la Sociedad Española del Dolor; 24(1); 19-26","Revista de la Sociedad Española del Dolor","Espanhol","2017","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462017000100004&lang=pt" 
"S1134-80462017000100002-esp","Factores asociados con la intensidad del dolor en pacientes mexicanos hospitalizados en periodo postoperatorio","Moreno-Monsiváis, M. G., Fonseca-Niño, E. E., Interial-Guzmán, M. G.","Revista de la Sociedad Española del Dolor; 24(1); 4-10","Revista de la Sociedad Española del Dolor","Espanhol","2017","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462017000100002&lang=pt" 
"S1134-80462017000100006-esp","Infliximab en el manejo del síndrome doloroso regional complejo","Vargas Useche, W. D.","Revista de la Sociedad Española del Dolor; 24(1); 39-46","Revista de la Sociedad Española del Dolor","Espanhol","2017","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462017000100006&lang=pt" 
"S1134-80462017000100001-esp","Dolor postoperatorio: ¿hacia dónde vamos?","Pérez-Guerrero, A. C., Aragón, M. C., Torres, L. M.","Revista de la Sociedad Española del Dolor; 24(1); 1-3","Revista de la Sociedad Española del Dolor","Espanhol","2017","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462017000100001&lang=pt" 
"S1134-80462017000100007-esp","Fibromialgia y niveles de vitamina D","Moreno García, M. S., Río-Martínez, P. S. del, Baltanás Rubio, P.","Revista de la Sociedad Española del Dolor; 24(1); 47-47","Revista de la Sociedad Española del Dolor","Espanhol","2017","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462017000100007&lang=pt" 
"S1134-80462017000100010-esp","Cannabis en el tratamiento del dolor: consideraciones clínicas y de investigación","Alcántara Montero, A., González Curado, A.","Revista de la Sociedad Española del Dolor; 24(1); 52-53","Revista de la Sociedad Española del Dolor","Espanhol","2017","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462017000100010&lang=pt" 
"S1516-14392017000100062-scl","Optical and Electrical Properties of Chemical Bath Deposited Cobalt Sulphide Thin Films","Govindasamy, Geetha, Murugasen, Priya, Sagadevan, Suresh","Materials Research; 20(1); 62-67","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100062&lang=pt" 
"S0034-737X2017000100090-scl","Propagação de porta-enxerto de Prunus spp. por estaquia: efeito do genótipo, do estádio de desenvolvimento do ramo e tipo de estaca","Rosa, Gabriela Gerhardt da, Zanandrea, Ilisandra, Mayer, Newton Alex, Bianchi, Valmor João","Revista Ceres; 64(1); 90-97","Revista Ceres","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2017000100090&lang=pt" 
"S1516-14392017000100088-scl","Morphological, Structural and Optical Properties of ZnO Thin Films Deposited by Dip Coating Method","Marouf, Sara, Beniaiche, Abdelkrim, Guessas, Hocine, Azizi, Amor","Materials Research; 20(1); 88-95","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100088&lang=pt" 
"S1516-14392017000100119-scl","Investigating the Provenance of Iron Artifacts of the Royal Iron Factory of São João de Ipanema by Hierarchical Cluster Analysis of EDS Microanalyses of Slag Inclusions","Mamani-Calcina, Elmer Antonio, Landgraf, Fernando José Gomes, Azevedo, Cesar Roberto de Farias","Materials Research; 20(1); 119-129","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100119&lang=pt" 
"S1516-14392017000100068-scl","Predicting Secondary-Dendrite Arm Spacing of the Al-4.5wt%Cu Alloy During Unidirectional Solidification","Ferreira, Alexandre Furtado, Castro, José Adilson de, Ferreira, Leonardo de Olivé","Materials Research; 20(1); 68-75","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100068&lang=pt" 
"S1516-14392017000100109-scl","Synergistic Effect of EG and Cloisite 15A on the Thermomechanical Properties and Thermal Conductivity of EVA/PCL Blend","Tsotetsi, Tebello Abel, Mochane, Mokgaotsa Jonas, Motaung, Tshwafo Elias, Gumede, Thandi Patricia, Linganiso, Zikhona Linda","Materials Research; 20(1); 109-118","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100109&lang=pt" 
"S1516-14392017000100210-scl","Factors Affecting Kinetics of Strain Aging in S275JRC Steel","Bülbül, Ahmet, Kaçar, Ramazan","Materials Research; 20(1); 210-217","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100210&lang=pt" 
"S1516-14392017000100046-scl","EPR and Optical Absorption Studies of Cu2+ in Boro-Arsenate Glasses","Purnima, M., Edukondalu, Avula, Kumar, K. Siva, Rahman, Syed","Materials Research; 20(1); 46-52","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100046&lang=pt" 
"S1516-14392017000100130-scl","Evaluation of Standard API Casing Connections and Parametric API Buttress Improvement by Finite Element Analysis","Porcaro, Rodrigo Rangel, Cândido, Luiz Cláudio, Trindade, Vicente Braz, Faria, Geraldo Lucio de, Godefroid, Leonardo Barbosa","Materials Research; 20(1); 130-137","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100130&lang=pt" 
"S1516-14392017000100102-scl","Electrical and Optical Transport Characterizations of Electron Beam Evaporated V Doped In2O3 Thin Films","Islam, Md. Ariful, Roy, Ratan Chandra, Hossain, Jaker, Julkarnain, Md., Khan, Khairul Alam","Materials Research; 20(1); 102-108","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100102&lang=pt" 
"S0034-737X2017000100001-scl","Produção de mudas de aroeira-do-sertão (Myracrodruon urundeuva Allemão) em resíduos orgânicos","Lima, Lucas Kennedy Silva, Moura, Maria da Conceição Freitas, Santos, Camila Castro, Nascimento, Karla Pollyanna de Carvalho, Dutra, Alek Sandro","Revista Ceres; 64(1); 1-11","Revista Ceres","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2017000100001&lang=pt" 
"S1516-14392017000100030-scl","Rietveld and Impedance Analysis of Cold and Hot Rolled Duplex and Lean Duplex Steels for Application in Paper and Pulp Industry","Esteves, Luiza, Paiva, Paulo Renato Perdigão, Viana, Adolfo Kalergis do Nascimento, Lins, Vanessa de Freitas Cunha","Materials Research; 20(1); 30-35","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100030&lang=pt" 
"S1516-14392017000100076-scl","A Study on Process Characteristics and Performance of Hot Wire Gas Tungsten Arc Welding Process for High Temperature Materials","Padmanaban MR, Anantha, Neelakandan, Baskar, Kandasamy, Devakumaran","Materials Research; 20(1); 76-87","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100076&lang=pt" 
"S1516-14392017000100001-scl","Investigation of the Elastic Properties of Graphenylene Using Molecular Dynamics Simulations","Rouhi, Saeed, Ghasemi, Ali","Materials Research; 20(1); 1-9","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100001&lang=pt" 
"S1516-14392017000100168-scl","Deposition of Multicomponent Chromium Carbide Coatings Using a Non-Conventional Source of Chromium and Silicon with Micro-Additions of Boron","González Ruíz, Jesús Eduardo, Rodríguez Cristo, Alejandro, Paz Ramos, Adrian, Quintana Puchol, Rafael","Materials Research; 20(1); 168-174","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100168&lang=pt" 
"S1516-14392017000100191-scl","Platinum-Based Alloys: Investigation of the Effect of Impurities Content on Creep Rate, Rupture Time and Relative Elongation at High Temperatures","Trumić, Biserka, Gomidželović, Lidija, Marjanović, Saša, Ivanović, Aleksandra, Krstić, Vesna","Materials Research; 20(1); 191-199","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100191&lang=pt" 
"S1516-14392017000100144-scl","Study of Composites Produced with Recovered Polypropylene and Piassava Fiber","Nunes, Stephanie Gonçalves, Silva, Laís Vasconcelos da, Amico, Sandro Campos, Viana, Josiane Dantas, Amado, Franco Dani Rico","Materials Research; 20(1); 144-150","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100144&lang=pt" 
"S1516-14392017000100183-scl","The Effect of Post-Heat Treatment in MDF Panels","Oliveira, Stefânia Lima, Freire, Ticyane Pereira, Mendes, Lourival Marin, Mendes, Rafael Farinassi","Materials Research; 20(1); 183-190","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100183&lang=pt" 
"S0034-737X2017000100060-scl","Genetic gain in apomictic species of the genus Paspalum","Pereira, Emerson André, Dall’Agnol, Miguel, Saraiva, Karla Médici, Simioni, Carine, Leães, Ana Paula Steiner, Silva, José Antonio Gonzalez da","Revista Ceres; 64(1); 60-67","Revista Ceres","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2017000100060&lang=pt" 
"S1516-14392017000100138-scl","Study HTHP Sintered WC/Co Hardmetal","Mashhadikarimi, Meysam, Gomes, Uilame Umbelino, Oliveira, Michel Picanço, Guimarães, Renan Da Silva, Filgueira, Marcello","Materials Research; 20(1); 138-143","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100138&lang=pt" 
"S0034-737X2017000100077-scl","Production and morphological components of sunflower on soil fertilized with cassava wastewater","Dantas, Mara Suyane Marques, Rolim, Mario Monteiro, Duarte, Anamaria de Sousa, Lima, Luiz Evandro de, Silva, Manassés Mesquita da","Revista Ceres; 64(1); 77-82","Revista Ceres","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2017000100077&lang=pt" 
"S1516-14392017000100279-scl","Polyhydroxybutyrate Composites with Random Mats of Sisal and Coconut Fibers","Hosokawa, Meire Noriko, Darros, Andressa Bella, Moris, Virgínia Aparecida da Silva, Paiva, Jane Maria Faulstich de","Materials Research; 20(1); 279-290","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100279&lang=pt" 
"S1516-14392017000100200-scl","Thick CrN/NbN Multilayer Coating Deposited by Cathodic Arc Technique","Araujo, Juliano Avelar, Souza, Roberto Martins, Lima, Nelson Batista de, Tschiptschin, André Paulo","Materials Research; 20(1); 200-209","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100200&lang=pt" 
"S0034-737X2017000100040-scl","Factors limiting the implementation of mechanical harvesting of sugarcane in Campos dos Goytacazes, RJ, Brazil","Solano, Cristóbal Soto, Ponciano, Niraldo José, Azevedo, Hamilton Jorge de, Souza, Paulo Marcelo de","Revista Ceres; 64(1); 40-46","Revista Ceres","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2017000100040&lang=pt" 
"S1516-14392017000100264-scl","Green Synthesis of Gold Nanoparticles Using Sumac Aqueous Extract and Their Antioxidant Activity","Shabestarian, Hoda, Homayouni-Tabrizi, Masoud, Soltani, Mozhgan, Namvar, Farideh, Azizi, Susan, Mohamad, Rosfarizan, Shabestarian, Hanieh","Materials Research; 20(1); 264-270","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100264&lang=pt" 
"S1516-14392017000100010-scl","Influence of Solution Annealing on Microstructure and Mechanical Properties of Maraging 300 Steel","Lima Filho, Venceslau Xavier, Barros, Isabel Ferreira, Abreu, Hamilton Ferreira Gomes de","Materials Research; 20(1); 10-14","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100010&lang=pt" 
"S1516-14392017000100225-scl","Development and Evaluation of a Controlled Release System of TBH Herbicide Using Alginate Microparticles","Faria, Daniela Macedo, Dourado Júnior, Sidney Macias, Nascimento, João Pedro Lopes do, Nunes, Eloiza da Silva, Marques, Renata Pereira, Rossino, Luciana Sgarbi, Moreto, Jéferson Aparecido","Materials Research; 20(1); 225-235","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100225&lang=pt" 
"S0034-737X2017000100018-scl","Effect of the ketoprofen on the preemptive analgesia in female cats undergoing to ovariohysterectomy","Lucena, Dayvid Vianêis Farias de, Henrique, Fernanda Vieira, Lima, Amara Gyane Alves de, Souza, Almir Pereira de, Nóbrega Neto, Pedro Isidro da","Revista Ceres; 64(1); 18-24","Revista Ceres","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2017000100018&lang=pt" 
"S0034-737X2017000100012-scl","Comparative study of epidural anesthesia in dogs by weight or occipito-coccygeal distance","Leite, Gisele Martins de Paula, Augusto, Luís Eugênio Franklin, Pereira, Vanessa Guedes, Cunha, Adriano França, Pontes, Kelly Cristine de Sousa, Santana, Jader Lúcio Pinheiro","Revista Ceres; 64(1); 12-17","Revista Ceres","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2017000100012&lang=pt" 
"S1516-14392017000100218-scl","Effect of Cross-Rolling on Microstructure, Texture and Magnetic Properties of Non-Oriented Electrical Steels","Mishra, Jitendra, Sahni, Sandeep, Sabat, Ramakrushna, Hiwarkar, Vijay Devidas, Sahoo, Santosh Kumar","Materials Research; 20(1); 218-224","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100218&lang=pt" 
"S0034-737X2017000100031-scl","Fatores associados à percepção e atitude de consumidores de carne bovina com certificação de origem em Uberlândia, Minas Gerais","Lopes, Marcos Aurélio, Maia, Érica Mariz, Bruhn, Fábio Raphael Pascoti, Custódio, Izadora Alvarenga, Rocha, Christiane Maria Barcellos Magalhães da, Faria, Peter Bittencout","Revista Ceres; 64(1); 31-39","Revista Ceres","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2017000100031&lang=pt" 
"S1516-14392017000100236-scl","Effects of Processing Parameters on Microstructure and Mechanical Properties of Powder-Thixoforged SiC p /6061 Al Composite","Cao, Chi, Zhang, Xuezheng, Chen, Tijun, Chen, Yushi","Materials Research; 20(1); 236-248","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100236&lang=pt" 
"S1516-14392017000100053-scl","Few Layer Reduced Graphene Oxide: Evaluation of the Best Experimental Conditions for Easy Production","Pavoski, Giovani, Maraschin, Thuany, Fim, Fabiana de Carvalho, Balzaretti, Naira Maria, Galland, Griselda Barrera, Moura, Cássio Stein, Basso, Nara Regina de Souza","Materials Research; 20(1); 53-61","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100053&lang=pt" 
"S1516-14392017000100256-scl","Effect of Capping Agent on the Morphology, Size and Optical Properties of In2O3 Nanoparticles","Latha, Ch. Kanchana, Raghasudha, Mucherla, Aparna, Y., M, Ramchander., Ravinder, D., K, Jaipal., Veerasomaiah, P., Shridhar, D.","Materials Research; 20(1); 256-263","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100256&lang=pt" 
"S1516-14392017000100249-scl","Sigma Phase in Superduplex Stainless Steel: Formation, Kinetics and Microstructural Path","Fonseca, Gláucio Soares da, Oliveira, Phelipe Matias de, Diniz, Marília Garcia, Bubnoff, Dimitry Valerievitch, Castro, José Adilson de","Materials Research; 20(1); 249-255","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100249&lang=pt" 
"S0034-737X2017000100098-scl","Produtividade e exportação de nutrientes em feijão-vagem adubado com esterco de galinha","Magalhães, Ivan de Paiva Barbosa, Sediyama, Maria Aparecida Nogueira, Silva, Fred Denilson Barbosa da, Vidigal, Sanzio Mollica, Pinto, Cláudia Lúcia Oliveira, Lopes, Iza Paula Carvalho","Revista Ceres; 64(1); 98-107","Revista Ceres","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2017000100098&lang=pt" 
"S1516-14392017000100271-scl","Autocatalysis, Entropic Aspects and the Martensite Transformation Curve in Iron-Base Alloys","Guimarães, José Roberto Costa, Rios, Paulo Rangel","Materials Research; 20(1); 271-278","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100271&lang=pt" 
"S1516-14392017000100015-scl","Facial Synthesis of Carrageenan/Reduced Graphene Oxide/Ag Composite as Efficient SERS Platform","Zheng, Yuhong, Wang, Aiwu, Wang, Zhong, Fu, Li, Peng, Feng","Materials Research; 20(1); 15-20","Materials Research","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392017000100015&lang=pt" 
"S0011-85162017000100011-sza","Local anaesthetics in dentistry: A series","Moodley, DS","South African Dental Journal; 72(1); 32-34","South African Dental Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162017000100011&lang=pt" 
"S0011-85162017000100014-sza","A patient suggests fraudulent behaviour","Govan, P","South African Dental Journal; 72(1); 40-40","South African Dental Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162017000100014&lang=pt" 
"S0004-282X2017000100074-scl","Progressive hearing loss and cerebellar ataxia in anti-Ma2-associated autoimmune encephalitis","Souza, Paulo Victor Sgobbi de, Bortholin, Thiago, Pinto, Wladimir Bocca Vieira de Rezende, Santos, Adrialdo José","Arquivos de Neuro-Psiquiatria; 75(1); 74-75","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100074&lang=pt" 
"S0004-282X2017000100076-scl","Sudden back pain as clinical presentation of spontaneous spinal epidural hematoma","Mendes, Plínio Duarte, Lopes, Clayton Lucas da Silva, Baptista, Guilherme de Sousa, Scaldaferri, Paulo Mallard, Cariri, Gustavo Agra","Arquivos de Neuro-Psiquiatria; 75(1); 76-76","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100076&lang=pt" 
"S0004-282X2017000100001-scl","The new era and paradigms for patient consent","Munhoz, Renato P.","Arquivos de Neuro-Psiquiatria; 75(1); 1-2","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100001&lang=pt" 
"S0004-282X2017000100003-scl","No correlation was observed between vitamin D levels and disability of patients with multiple sclerosis between latitudes 18° and 30° South","Fragoso, Yara Dadalti, Adoni, Tarso, Alves-Leon, Soniza Vieira, Apostolos-Pereira, Samira L., Arruda, Walter Oleschko, Brooks, Joseph B. Bidin, Cal, Henrique S. Rodrigues, Damasceno, Carlos A. Albuquerque, Gama, Paulo Diniz, Goncalves, Marcus V. Magno, Jesus, Carlos A. da Silva de, Machado, Suzana C. Nunes, Mansur, Letícia Fezer, Matta, Andre P. da Cunha, Mendes, Maria Fernanda, Morales, Rogerio Rizo, Nobrega-Jr, Adaucto Wanderley da, Parolin, Monica K. Fiuza, Peres, Mario Pietro, Ribeiro, Marlise de Castro, Ruocco, Heloisa Helena, Scherpenhuijzen, Simone, Siquinelli, Fabio, Stoney, Patrick N., Varela, Daniel Lima, Eboni, Audred Cristina Biondo, Spessotto, Caroline Vieira, Rocha, Elisa Teixeira da, Lacerda, Pamela Emanuele","Arquivos de Neuro-Psiquiatria; 75(1); 3-8","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100003&lang=pt" 
"S0718-33052017000100059-chl","Obtención de la respuesta en frecuencia en transformadores estando en servicio","Gómez-Luna, E., Aponte M., G., Pleite G., J.","Ingeniare. Revista chilena de ingeniería; 25(1); 59-69","Ingeniare. Revista chilena de ingeniería","Espanhol","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100059&lang=pt" 
"S0718-33052017000100085-chl","Estudio estadístico de la incidencia de ciertas variables de síntesis sobre la cristalinidad y otras propiedades de hidrotalcitas Ni, Fe","Mujica-F., Viky-C., Linares, Carlos F., Velásquez, Ingrid","Ingeniare. Revista chilena de ingeniería; 25(1); 85-94","Ingeniare. Revista chilena de ingeniería","Espanhol","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100085&lang=pt" 
"S0718-33052017000100070-chl","Diseño de una estrategia de control difuso aplicada al proceso de ultracongelación de alimentos","García, Rafael J., Torres, Juan M., Pinto, Angel D., González, Jaime A., Rengel, José Eduardo, Pérez, Nelson A.","Ingeniare. Revista chilena de ingeniería; 25(1); 70-84","Ingeniare. Revista chilena de ingeniería","Espanhol","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100070&lang=pt" 
"S0718-33052017000100002-chl","Los desafíos de la gobernanza de la educación superior en Iberoamérica","Brunner, Dr. J.J., Pedraja-Rejas, Dra. Liliana","Ingeniare. Revista chilena de ingeniería; 25(1); 2-7","Ingeniare. Revista chilena de ingeniería","Espanhol","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100002&lang=pt" 
