"S1516-05722014000100015-scl","Effects of Euphorbia milii latex on mitogen-induced lymphocyte proliferation","Delgado, I.F., Paumgartten, F.J.R.","Revista Brasileira de Plantas Medicinais; 16(1); 107-111","Revista Brasileira de Plantas Medicinais","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100015&lang=pt" 
"S0034-75152014000100014-cub","Validación del método de determinación de flavonoides en tabletas de Passiflora incarnata L.","Nápoles López, Raúl, Rodríguez Amado, Jesús Rafael, Rodríguez Antomachi, Maricel, Lafourcade Prada, Ariadna","Revista Cubana de Farmacia; 48(1); 129-138","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100014&lang=pt" 
"S0034-75152014000100015-cub","In vitro effects of policosanol (Saccharum officinarum L wax alcohols) on the 5-lipooxygenase enzyme","Pérez Guerra, Yohani, Oyarzábal Yera, Ambar, Mas Ferreiro, Rosa, Jiménez Despaigne, Sonia, Molina Cuevas, Vivian","Revista Cubana de Farmacia; 48(1); 139-145","Revista Cubana de Farmacia","Inglês","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100015&lang=pt" 
"S0034-75152014000100016-cub","Efectos de extractos de Neopetrosia rosariensis sobre mieloperoxidasa y elastasa con la utilización del modelo neutrófilos","Durán Lengua, Marlene, Gaitán Ibarra, Ricardo, Cano Durán, Larissa","Revista Cubana de Farmacia; 48(1); 146-155","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100016&lang=pt" 
"S0034-75152014000100017-cub","Evolución histórica de las farmacias en Santiago de Cuba en la primera mitad del siglo XX","Zúñiga Moro, Clara Aurora","Revista Cubana de Farmacia; 48(1); 156-162","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100017&lang=pt" 
"S0034-75152014000100010-cub","Perfil de reacciones adversas a medicamentos notificadas en Chaco, Argentina","Osicka Marinich, Rosa Magdalena, Gruszycki Kisiel, Mabel Rosalía, Tauguinas Perez, Alicia Lilián, Soro Mancilla, Ariadna Soledad, Alba Díaz, Daniel Andrés, Gruszycki Kisiel, Ana Elena","Revista Cubana de Farmacia; 48(1); 89-95","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100010&lang=pt" 
"S0034-75152014000100011-cub","Empleo de la Tarjeta Amarilla y el Formato NOM220 para las notificaciones de sospechas de reacciones adversas a medicamentos","Carrillo-Alarcón, Lourdes Cristina, Ponce Monter, Héctor A, López López, Erika, Velázquez Alvarado, Patricia, Ortiz, Mario I","Revista Cubana de Farmacia; 48(1); 96-107","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100011&lang=pt" 
"S0034-75152014000100012-cub","Obtención de sales biliares de magnesio mediante secado por aspersión","Rodríguez Chanfrau, Jorge E, López Hernández, Orestes D, Palmeiro Casanova, Moraima, Nogueira Mendoza, Antonio, López Armas, Marilyn","Revista Cubana de Farmacia; 48(1); 108-117","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100012&lang=pt" 
"S0034-75152014000100013-cub","Formulación de cápsulas duras de Tamarindus indica L.","Rodríguez Amado, Jesús Rafael, Pérez Rondón, Liana, Lafourcade Prada, Ariadna, Escalona Arranz, Julio César, Iraizoz Colarte, Antonio","Revista Cubana de Farmacia; 48(1); 118-128","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100013&lang=pt" 
"S0034-75152014000100003-cub","Validación de un método de análisis para la determinación de raloxifeno en una formulación cubana","Rodríguez Chanfrau, Jorge E, López Armas, Marilyn","Revista Cubana de Farmacia; 48(1); 13-22","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100003&lang=pt" 
"S0034-75152014000100002-cub","Desarrollo tecnológico de dorzolamida 2 % más timolol 0,5 % solución oftálmica","Gato del Monte, Armando, Romero Díaz, Aylema, Bellma Menéndez, Addis, Morales Lacarrere, Iván, Botet García, Martha","Revista Cubana de Farmacia; 48(1); 5-12","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100002&lang=pt" 
"S0034-75152014000100001-cub","Retos de los servicios farmacéuticos en el siglo XXI","Sedeño Argilagos, Caridad","Revista Cubana de Farmacia; 48(1); 1-4","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100001&lang=pt" 
"S0034-75152014000100007-cub","Impacto farmacoeconómico de la revisión diaria de la prescripción de antibióticos controlados","Romero Viamonte, Katherine","Revista Cubana de Farmacia; 48(1); 55-62","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100007&lang=pt" 
"S0034-75152014000100006-cub","Prevalencia y determinantes de automedicación con antibióticos en una comuna de Santiago de Cali, Colombia","Castro Espinosa, Jobany, Arboleda Geovo, Jhon Fredy, Samboni Novoa, Paula Andrea","Revista Cubana de Farmacia; 48(1); 43-54","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100006&lang=pt" 
"S0034-75152014000100005-cub","Tratamiento antimicrobiano en la meningoencefalitis, Hospital Militar Central &quot;Dr. Luis Díaz Soto&quot;, 2004-2011","Jiménez Martínez, María del Carmen, Padilla Docal, Bárbara, Cisneros Hechavarría, Virgen María","Revista Cubana de Farmacia; 48(1); 34-42","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100005&lang=pt" 
"S0034-75152014000100004-cub","Estandarización de un método por HPLC para cuantificar diclofenaco en muestras de microdiálisis mediante fotoderivatización precolumna","Correa Cano, Omar de Jesús, Ruiz Correa, Adriana María, Restrepo Garay, Margarita María","Revista Cubana de Farmacia; 48(1); 23-33","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100004&lang=pt" 
"S0034-75152014000100009-cub","Problemas asociados al uso de digoxina en pacientes geriátricos","Ortega López, Irma Leonor, Espinosa Durán, Roberto, Ibáñez Alcaraz, Mariela, Pelegrín Gamboa, Ángel Luis","Revista Cubana de Farmacia; 48(1); 73-88","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100009&lang=pt" 
"S0034-75152014000100008-cub","Experiencia Uruguaya en Atención Farmacéutica activa en la comunidad","Vázquez, Marta, Ravera, Elizabeth, Fagiolino, Pietro, Eiraldi, Rosa, Maldonado, Cecilia, Alvariza, Silvana, Guevara, Natalia, Magallanes, Laura","Revista Cubana de Farmacia; 48(1); 63-72","Revista Cubana de Farmacia","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152014000100008&lang=pt" 
"S0100-29452014000100030-scl","Propagação de variedades de caramboleira por estaquia herbácea","Nacata, Guilherme, Andrade, Renata Aparecida de, Jasper, Samir Paulo, Prata, Rodrigo Salgado","Revista Brasileira de Fruticultura; 36(1); 248-253","Revista Brasileira de Fruticultura","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452014000100030&lang=pt" 
"S0100-29452014000100008-scl","Blueberry production in Chile: current status and future developments","Retamales, Jorge B., Palma, María J., Morales, Yohanna A., Lobos, Gustavo A., Moggia, Claudia E., Mena, Carlos A.","Revista Brasileira de Fruticultura; 36(1); 58-67","Revista Brasileira de Fruticultura","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452014000100008&lang=pt" 
"S0100-29452014000100033-scl","Quebra de dormência e cultivo protegidona produção de plantas de mirtileiro","Picolotto, Luciano, Pereira, Ivan dos Santos, Vignolo, Gerson Kleinick, Reisser Junior, Carlos, Antunes, Luis Eduardo Corrêa","Revista Brasileira de Fruticultura; 36(1); 271-278","Revista Brasileira de Fruticultura","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452014000100033&lang=pt" 
"S0100-29452014000100022-scl","Produção e atributos de qualidade de cultivares de macadâmia no sudoeste do estado de Säo Paulo","Entelmann, Fábio Albuquerque, Scarpare Filho, Joäo Alexio, Pio, Rafael, Silva, Simone Rodrigues da, Souza, Filipe Bittencourt Machado de","Revista Brasileira de Fruticultura; 36(1); 192-198","Revista Brasileira de Fruticultura","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452014000100022&lang=pt" 
"S0100-29452014000100026-scl","Seleção de genótipos de mirtileiro obtidos a partir de polinização aberta","Fischer, Doralice Lobato de Oliveira, Fachinello, José Carlos, Piana, Clause Fátima de Brum, Bianchi, Valmor Joäo, Machado, Nicácia Portella","Revista Brasileira de Fruticultura; 36(1); 221-231","Revista Brasileira de Fruticultura","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452014000100026&lang=pt" 
"S0100-29452014000100017-scl","Reação de aceroleira (Malpighia emarginata D.C.) à Meloidogyne enterolobii","Cavichioli, José Carlos, Garcia, Maria José de Marchi, Brida, Andressa Lima de, Wilcken, Sílvia Renata Siciliano","Revista Brasileira de Fruticultura; 36(1); 156-160","Revista Brasileira de Fruticultura","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452014000100017&lang=pt" 
"S0101-32892014000100029-scl","The food pyramid adapted to physically active adolescents as a nutrition education tool","Gonçalves, Camila Brandão, Nogueira, Júlia Aparecida Devidé, Costa, Teresa Helena Macedo da","Revista Brasileira de Ciências do Esporte; 36(1); 29-44","Revista Brasileira de Ciências do Esporte","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100029&lang=pt" 
"S0101-32892014000100103-scl","O Clube dos 13 e o novo cenário do futebol brasileiro: uma análise a partir dos campeonatos baiano, Goiano, Paranaense e Pernambucano","Silva Júnior, Antonio de Souza, Salazar, Viviane Santos, Feitosa, Marcos Gilson Gomes","Revista Brasileira de Ciências do Esporte; 36(1); 103-122","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100103&lang=pt" 
"S0101-32892014000100275-scl","A cultura-mundo e a área de educação física/ciências do esporte","Silva, Alan Camargo","Revista Brasileira de Ciências do Esporte; 36(1); 275-279","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100275&lang=pt" 
"S0101-32892014000100225-scl","Fútbol e identidades: la actuación de la selección española de fútbol en los Juegos Olímpicos de Amberes y París a través de su impacto en la prensa","Simón Sanjurjo, Juan Antonio","Revista Brasileira de Ciências do Esporte; 36(1); 225-239","Revista Brasileira de Ciências do Esporte","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100225&lang=pt" 
"S0101-32892014000100009-scl","RBCE: Um novo ciclo se anuncia... Novos desafios por vir","Vaz, Alexandre Fernandez, Almeida, Felipe Quintão de, Bassani, Jaison José","Revista Brasileira de Ciências do Esporte; 36(1); 09-12","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100009&lang=pt" 
"S0101-32892014000100071-scl","Quais comportamentos táticos de jogadores de futebol da categoria sub-14 podem melhorar após 20 sessões de treino?","Souza, Carlos Raphael Braga Corrêa de, Müller, Ezequiel Steckling, Costa, Israel Teoldo, Graça, Amândio Braga Santos","Revista Brasileira de Ciências do Esporte; 36(1); 71-86","Revista Brasileira de Ciências do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892014000100071&lang=pt" 
"S1516-05722014000100009-scl","Morfoanatomia do eixo vegetativo aéreo de Ayapana triplinervis (Vahl) R.M. King &amp; H. Rob. (Asteraceae)","Nery, M.I.S., Potiguara, R.C.V., Kikuchi, T.Y.S., Garcia, T.B., Lins, A.L.F.A.","Revista Brasileira de Plantas Medicinais; 16(1); 62-70","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100009&lang=pt" 
"S1516-05722014000100001-scl","Efeito de fungos micorrízicos arbusculares na bioprodução de fenóis totais e no crescimento de Passiflora alata Curtis","Riter Netto, A.F., Freitas, M.S.M., Martins, M.A., Carvalho, A.J.C., Vitorazi Filho, J.A.","Revista Brasileira de Plantas Medicinais; 16(1); 1-9","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100001&lang=pt" 
"S1516-05722014000100011-scl","Efeito do óleo de capim limão (Cymbopogon flexuosus Stapf) no controle do carrapato dos bovinos","Agnolin, C.A., Olivo, C.J., Parra, C. L. C.","Revista Brasileira de Plantas Medicinais; 16(1); 77-82","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100011&lang=pt" 
"S1516-05722014000100012-scl","Crescimento de mudas de orégano submetidas a doses e frequências de aplicação de Ácido L-glutâmico em sistema orgânico","Bettoni, M.B., Fabbrin, E.G. dos S., Procopiuk, M., Mógor, A.F.","Revista Brasileira de Plantas Medicinais; 16(1); 83-88","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100012&lang=pt" 
"S1516-05722014000100016-scl","Características Fenológicas de Baccharis trimera (Less.) DC. (1836) - Asteraceae - no município de Viçosa, Minas Gerais, Brasil","Sousa, L.A., Venzke, T.S., Martins, S.V., Freitas, G.B.","Revista Brasileira de Plantas Medicinais; 16(1); 112-116","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100016&lang=pt" 
"S1516-05722014000100019-scl","Caracterização anatômica, histoquímica e de classes de metabólitos secundários de folhas de Guzmania lingulata (L.) Mez.","Belotto, E.M., Souza-Leal, T., Paraluppi, A.L., Furtado, A.L.F.F., Gaspi, F.O.G., Pedroso-De-Morares, C.","Revista Brasileira de Plantas Medicinais; 16(1); 127-134","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100019&lang=pt" 
"S1516-05722014000100013-scl","Efeitos do sombreamento na anatomia foliar de Gallesia integrifolia (Spreng) Harms e Schinnus terebinthifolius Raddi","Santos, M.S., Feijó, N.S.A., Secco, T.M., Mielke, M.S., Gomes, F.P., Costa, L.C.B., Silva, D.C.","Revista Brasileira de Plantas Medicinais; 16(1); 89-96","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100013&lang=pt" 
"S1982-21702014000100008-scl","Desenvolvimento de uma plataforma de software para a modelagem digital de terrenos baseada em TIN","Oliveira, F. F., Piteri, M. A., Meneguette, M.","Boletim de Ciências Geodésicas; 20(1); 117-131","Boletim de Ciências Geodésicas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702014000100008&lang=pt" 
"S1982-21702014000100002-scl","Transformação de coordenadas com modelagem de distorções entre SAD69 e SIRGAS2000 com o uso de Thin-Plate Splines","Magna Júnior, João Paulo, Camargo, Paulo De Oliveira, Galo, Maurício","Boletim de Ciências Geodésicas; 20(1); 19-38","Boletim de Ciências Geodésicas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702014000100002&lang=pt" 
"S1982-21702014000100004-scl","The use of three-dimensional visualization tools to detect deficiencies in geometric roadway designs","Figueira, Aurenice da Cruz, Larocca, Ana Paula C., Quintanilha, José Alberto, Kabbach Jr, Felipe Issa","Boletim de Ciências Geodésicas; 20(1); 54-69","Boletim de Ciências Geodésicas","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702014000100004&lang=pt" 
"S1982-21702014000100005-scl","A novel approach for detail surveys by the motorized GPSSIT concept in residentials areas and its application","Kalayci, Ibrahim, Ogutcu, Sermet","Boletim de Ciências Geodésicas; 20(1); 70-83","Boletim de Ciências Geodésicas","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702014000100005&lang=pt" 
"S1982-21702014000100011-scl","DWSI: an approach to solving the polygon intersection-spreading problem with a parallel union algorithm at the feature layer level","Fan, Junfu, Zhou, Chenghu, Ma, Ting, Ji, Min, Zhou, Yuke, Xu, Tao","Boletim de Ciências Geodésicas; 20(1); 159-182","Boletim de Ciências Geodésicas","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702014000100011&lang=pt" 
"S1982-21702014000100003-scl","Análise de modelos troposféricos no posicionamento baseado em redes usando o conceito de VRS","Oliveira, Adeliton Da Fonseca De, Alves, Daniele Barroca Marra, Ferreira, Luiz Danilo Damasceno","Boletim de Ciências Geodésicas; 20(1); 39-53","Boletim de Ciências Geodésicas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702014000100003&lang=pt" 
"S1982-21702014000100001-scl","Improving EGM2008 by GPS and leveling data at local scale","Soycan, Metin","Boletim de Ciências Geodésicas; 20(1); 3-18","Boletim de Ciências Geodésicas","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702014000100001&lang=pt" 
"S1982-21702014000100006-scl","Monitoramento geodésico tridimensional em ensaios estruturais de madeira","Zonta, Camila, Nadal, Carlos Aurélio, Prata, José Guilherme","Boletim de Ciências Geodésicas; 20(1); 84-99","Boletim de Ciências Geodésicas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702014000100006&lang=pt" 
"S1982-21702014000100007-scl","Uso de sombras na correção do efeito vinhete","Imai, Nilton Nobuhiro, Polidório, Airton Marco, Tommaselli, Antonio Maria Garcia, Barros, Anderson de Freitas","Boletim de Ciências Geodésicas; 20(1); 100-116","Boletim de Ciências Geodésicas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702014000100007&lang=pt" 
"S1982-21702014000100010-scl","Assesment of bathymetric maps via GIS for water in reservoir","Ceylan, Ayhan, Ekizoglu, Ilke","Boletim de Ciências Geodésicas; 20(1); 142-158","Boletim de Ciências Geodésicas","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702014000100010&lang=pt" 
"S1982-21702014000100013-scl","Potencial de la percepción remota - estudio basado en desastres naturales ocurridos durante los últimos 5 años en Chile","Staub, Guido, Bähr, Hans-Peter","Boletim de Ciências Geodésicas; 20(1); 204-221","Boletim de Ciências Geodésicas","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702014000100013&lang=pt" 
"S1982-21702014000100012-scl","The computation of the geoid model in the state of São Paulo using two methodologies and GOCE models","Guimarães, Gabriel do Nascimento, Blitzkow, Denizar, Barzaghi, Riccardo, Matos, Ana Cristina Oliveira Cancoro de","Boletim de Ciências Geodésicas; 20(1); 183-203","Boletim de Ciências Geodésicas","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702014000100012&lang=pt" 
"S1982-21702014000100009-scl","Analytical quality assessment of iteratively reweighted least-squares (IRLS) method","Guo, Jianfeng","Boletim de Ciências Geodésicas; 20(1); 132-141","Boletim de Ciências Geodésicas","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702014000100009&lang=pt" 
"S0100-55022014000100019-scl","Formação das mulheres nas escolas de medicina","Ávila, Rebeca Contrera","Revista Brasileira de Educação Médica; 38(1); 142-149","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100019&lang=pt" 
"S0100-55022014000100003-scl","Desenvolvimento discente no estágio em estratégia saúde da família","Cavalcante, João Klínio, Soares, Francisco José Passos, Correia, Divanise Suruagy","Revista Brasileira de Educação Médica; 38(1); 15-24","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100003&lang=pt" 
"S0100-55022014000100002-scl","Autonomia no contexto pedagógico: percepção de estudantes de medicina acerca da aprendizagem baseada em problemas","Smolka, Maria Lúcia Rebello Marra, Gomes, Andréia Patrícia, Siqueira-Batista, Rodrigo","Revista Brasileira de Educação Médica; 38(1); 5-14","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100002&lang=pt" 
"S0100-55022014000100007-scl","A transformação curricular e a escolha da especialidade médica","Costa, José Roberto Bittencourt, Romano, Valéria Ferreira, Costa, Rosane Rodrigues, Gomes, Andréia Patrícia, Alves, Luiz Anastácio, Siqueira-Batista, Rodrigo","Revista Brasileira de Educação Médica; 38(1); 47-58","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100007&lang=pt" 
"S0864-34662014000100001-spa","Proyecciones emanadas del taller &quot;Medicina Social y Salud Colectiva en Cuba siglo XXI&quot;","","Revista Cubana de Salud Pública; 40(1); 1-2","Revista Cubana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662014000100001&lang=pt" 
"S0864-34662014000100005-spa","Consumo de alcohol en población trabajadora española y repercusiones metabólicas","Vicente-Herrero, Mª Teófila, Ramírez Iñiguez de la Torre, Mª Victoria, Capdevila García, Luisa Mercedes, López-González, Ángel Arturo, Terradillos García, Mª Jesús","Revista Cubana de Salud Pública; 40(1); 40-46","Revista Cubana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662014000100005&lang=pt" 
"S0864-34662014000100004-spa","Primera información de los resultados del proyecto &quot;Determinantes individuales y sociales de salud en la medicina familiar&quot;","Fernández Oliva, Regla, Calderón Izquierdo, Isabel, Bormey Quiñones, Martha, Bermúdez Conrado, Sonia, González Caraballo, Marlene, Hernández Pérez, Elena, Padrón Duquesne, Joel, Rizo Escalona, Ester, Rosas Perdomo, Yamilé, Toirac Rodríguez, Marisel, Fernández Travieso, Julio, Reyes Naranjo, Pablo, Illnait Ferrer, José, Thielmann, Klaus","Revista Cubana de Salud Pública; 40(1); 26-39","Revista Cubana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662014000100004&lang=pt" 
"S0864-34662014000100012-spa","Siglo XXI: realidades e incertidumbres en el trabajo de los salubristas","Márquez, Miguel","Revista Cubana de Salud Pública; 40(1); 114-128","Revista Cubana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662014000100012&lang=pt" 
"S0864-34662014000100018-spa","Declaración de TUNEZ - V Foro Social Mundial de la Salud y Seguridad Social","","Revista Cubana de Salud Pública; 40(1); 166-169","Revista Cubana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662014000100018&lang=pt" 
"S0864-34662014000100017-spa","Declaración de San Francisco de Evaluación de la Investigación","","Revista Cubana de Salud Pública; 40(1); 161-165","Revista Cubana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662014000100017&lang=pt" 
"S0864-34662014000100013-spa","Mecanismos de resistencia a betalactámicos en bacterias gramnegativas","García Castellanos, Tersilia, Castillo Marshal, Arianna, Salazar Rodríguez, Daniel","Revista Cubana de Salud Pública; 40(1); 129-135","Revista Cubana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662014000100013&lang=pt" 
"S0864-34662014000100016-spa","El análisis de la situación de salud","PÉREZ MASA, BENITO","Revista Cubana de Salud Pública; 40(1); 159-160","Revista Cubana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662014000100016&lang=pt" 
"S0864-34662014000100003-spa","Representación social de los prestadores de servicios de salud en la discapacidad visual","Díaz Llanes, Guillermo, Prieto Sedano, Judith","Revista Cubana de Salud Pública; 40(1); 18-25","Revista Cubana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662014000100003&lang=pt" 
"S0864-34662014000100007-spa","Factores relacionados con la falta de lectura de carteles que difunden prueba para detectar VIH en gestantes","Padilla Jasso, Patricia Yolanda, Figueroa Damián, Ricardo, Plazola Camacho, Noemí Guadalupe, Chávez Courtois, Mayra Lilia, Torres Cosme, José Luis, Nava Benitez, Alma Araceli","Revista Cubana de Salud Pública; 40(1); 55-66","Revista Cubana de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0864-34662014000100007&lang=pt" 
"S0870-90252014000100012-prt","A formação de profissionais de saúde para a prevenção de lesões musculoesqueléticas ligadas ao trabalho a nível da coluna lombar: uma revisão sistemática","Neves, Margarida, Serranheira, Florentino","Revista Portuguesa de Saúde Pública; 32(1); 89-105","Revista Portuguesa de Saúde Pública","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252014000100012&lang=pt" 
"S0870-90252014000100013-prt","Economias de escala e de diversificação: uma análise da bibliografia no contexto das fusões hospitalares","Azevedo, Helda, Mateus, Céu","Revista Portuguesa de Saúde Pública; 32(1); 106-117","Revista Portuguesa de Saúde Pública","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252014000100013&lang=pt" 
"S0870-90252014000100010-prt","Gestão integrada da doença renal crónica: análise de uma política inovadora em Portugal","Coelho, Anabela, Diniz, Alexandre, Hartz, Zulmira, Dussault, Gilles","Revista Portuguesa de Saúde Pública; 32(1); 69-79","Revista Portuguesa de Saúde Pública","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252014000100010&lang=pt" 
"S0870-90252014000100011-prt","Avaliação das possibilidades de controle da hanseníase a partir da poliquimioterapia","Crespo, Maria Júlia, Gonçalves, Aguinaldo","Revista Portuguesa de Saúde Pública; 32(1); 80-88","Revista Portuguesa de Saúde Pública","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252014000100011&lang=pt" 
"S0870-90252014000100005-prt","Caracterização da pessoa dependente no autocuidado: um estudo de base populacional num concelho do norte de Portugal","Ribeiro, Olga, Pinto, Cândida","Revista Portuguesa de Saúde Pública; 32(1); 27-36","Revista Portuguesa de Saúde Pública","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252014000100005&lang=pt" 
"S0870-90252014000100004-prt","Association between chronic stress and immune response to influenza vaccine in healthcare workers","Sacadura-Leite, Ema, Sousa-Uva, António, Rebelo-de-Andrade, Helena, Ferreira, Sancha, Rocha, Regina","Revista Portuguesa de Saúde Pública; 32(1); 18-26","Revista Portuguesa de Saúde Pública","Inglês","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252014000100004&lang=pt" 
"S0870-90252014000100007-prt","Papéis profissionais de médicos e enfermeiros em Portugal: limites normativos à mudança","Temido, Marta, Dussault, Gilles","Revista Portuguesa de Saúde Pública; 32(1); 45-54","Revista Portuguesa de Saúde Pública","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252014000100007&lang=pt" 
