"S0066-782X2004001600011-scl","Cardiologia baseada em evidência","Victor, Edgar Guimarães, Marco, André de","Arquivos Brasileiros de Cardiologia; 83(4); 355-356","Arquivos Brasileiros de Cardiologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600011&lang=pt" 
"S0102-86502004000500004-scl","Submucosa de intestino delgado no reparo de defeito em parede abdominal de ratos","Greca, Fernando Hintz, Souza Filho, Zacarias Alves de, Rocha, Sergio Luiz, Borsato, Karin Soldatelli, Fernandes, Heitor Augusto Dalarossa, Niiside, Marco Aurelio","Acta Cirurgica Brasileira; 19(5); 471-477","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500004&lang=pt" 
"S0102-86502004000500003-scl","Electric microcurrent in the restoration of the skin undergone a trichloroacetic acid peeling in rats","Santos, Vilma Natividade Silva, Ferreira, Lydia Masako, Horibe, Edith Kawano, Duarte, Ivone da Silva","Acta Cirurgica Brasileira; 19(5); 466-470","Acta Cirurgica Brasileira","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500003&lang=pt" 
"S0102-86502004000500002-scl","Percutaneous endoscopic gastrostomy in porcines performed with standard medical instruments used in a general hospital routine","Nascimento, Luiz Roberto do, Nascimento, Caroline Moreira do, Camargos, Fabiano Andrade, Grecco, Eduardo Carlos","Acta Cirurgica Brasileira; 19(5); 459-465","Acta Cirurgica Brasileira","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500002&lang=pt" 
"S0102-86502004000500012-scl","Avaliação metabólica das lesões de isquemia e reperfusão cerebrais após oclusão bilateral das artérias carótidas comuns: estudo experimental em ratos","Muniz, Luiz Roberto Franklin, Faria, Mário Henrique Girão, Vasconcelos, Paulo Roberto Leitão de","Acta Cirurgica Brasileira; 19(5); 529-534","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500012&lang=pt" 
"S0102-86502004000500009-scl","Quimioembolização transarterial hepática: modelo experimental de tumor em ratos","Zarur, Jamil M., Barreto, Marjorie S. Façanha, Diogenes, Clarissa Alencar, Nascimento, Germana Lopes do, Moraes, Manoel Odorico","Acta Cirurgica Brasileira; 19(5); 511-516","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500009&lang=pt" 
"S0102-86502004000500011-scl","Conseqüências no crescimento de maxila e mandíbula de defeito ósseo cirúrgico no ramo da mandíbula de ratos","Rodrigues, Lucimar, Miyazaki, Luciane Toshie, Luz, João Gualberto de Cerqueira","Acta Cirurgica Brasileira; 19(5); 523-528","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500011&lang=pt" 
"S0102-86502004000500017-scl","Prevalência de Helicobacter em cães oriundos do biotério central da Universidade Estadual de São Paulo (UNESP)-Botucatu","Souza, Maria Lúcia de, Kobayasi, Shoiti, Rodrigues, Maria Aparecida Marchesan, Saad-Hossne, Rogério, Naresse, Luiz Eduardo","Acta Cirurgica Brasileira; 19(5); 571-577","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500017&lang=pt" 
"S0036-36342004000500013-spa","La fiebre del Nilo occidental: una enfermedad emergente en México","Ramos, Celso, Falcón Lezama, Jorge Abelardo","Salud Pública de México; 46(5); 488-490","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500013&lang=pt" 
"S0036-36342004000500002-spa","Detection of antibodies to West Nile and Saint Louis encephalitis viruses in horses","Marlenee, Nicole L, Loroño-Pino, María A, Beaty, Barry J, Blitvich, Bradley J, Fernández Salas, Ildefonso, Contreras Cordero, Juan F, González Rojas, José I","Salud Pública de México; 46(5); 373-375","Salud Pública de México","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500002&lang=pt" 
"S0036-36342004000500012-spa","Estadística de egresos hospitalarios del sector público del Sistema Nacional de Salud, 2003","","Salud Pública de México; 46(5); 464-487","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500012&lang=pt" 
"S0036-36342004000500014-spa","Cuarenta y cinco millones de estadounidenses sin seguro de salud","Gómez Dantés, Octavio","Salud Pública de México; 46(5); 491-491","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500014&lang=pt" 
"S0036-36342004000500001-spa","Factores que intervienen en la génesis de una epidemia por dengue","Mota, Javier","Salud Pública de México; 46(5); 373-373","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500001&lang=pt" 
"S0036-36342004000500003-spa","El derecho a la atención de la salud: ingrediente de la ciudadanía integral","Gómez Dantés, Octavio","Salud Pública de México; 46(5); 376-377","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500003&lang=pt" 
"S0036-36342004000500016-spa","Atlas de la infraestructura cultural de México","Santillana Macedo, Manuel Alberto","Salud Pública de México; 46(5); 493-494","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500016&lang=pt" 
"S0036-36342004000500015-spa","Grave deterioro de la salud del pueblo chino","Gómez Dantés, Octavio","Salud Pública de México; 46(5); 492-492","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500015&lang=pt" 
"S0102-86502004000500001-scl","O trabalho e a manutenção da Revista Acta Cirúrgica Brasileira","Goldenberg, Saul","Acta Cirurgica Brasileira; 19(5); 456-458","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500001&lang=pt" 
"S0036-36342004000500009-spa","Evaluación de una metodología de tamizaje en la enfermedad de Chagas en San Luis, Argentina","Arrieta, Raquel, Daquino, Beatriz, Rosso, Nora, Ferreras, María Gladys, Juárez, Nicanor","Salud Pública de México; 46(5); 430-437","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500009&lang=pt" 
"S0036-36342004000500008-spa","Efecto de algunos agentes físicos y químicos sobre el metacéstodo de Taenia solium presente en carne adobada y chorizo","Rivera-Guerrero, Ma Isabel, Sánchez-Rueda, Leticia, Rodríguez-Bataz, Elvia, Martínez-Villalobos, Ada Nelly, Martínez-Maya, José Juan","Salud Pública de México; 46(5); 425-429","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500008&lang=pt" 
"S0036-36342004000500007-spa","La depresión con inicio temprano: prevalencia, curso natural y latencia para buscar tratamiento","Benjet, Corina, Borges, Guilherme, Medina-Mora, Ma Elena, Fleiz-Bautista, Clara, Zambrano-Ruiz, Joaquín","Salud Pública de México; 46(5); 417-424","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500007&lang=pt" 
"S0102-86502004000500006-scl","Quantificação de capilares no tecido muscular esquelético em animais com insuficiência arterial periférica induzida submetidos a treinamento de endurance","Carvalho, Celina Cordeiro de, Moraes, Sílvia Regina Arruda de, Chalegre, Síntya Tertuliano, Tashiro, Tetsuo","Acta Cirurgica Brasileira; 19(5); 487-494","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500006&lang=pt" 
"S0102-86502004000500007-scl","Estudo do reparo ósseo com matriz óssea bovina desvitalizada e calcitonina em ratos","Sassioto, Maria Cristina Pita, Inouye, Celso Massaschi, Aydos, Ricardo Dutra, Figueiredo, Arthur Silveira de, Pontes, Elenir Rose Jardim Cury, Takita, Luiz Carlos","Acta Cirurgica Brasileira; 19(5); 495-503","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500007&lang=pt" 
"S0102-86502004000500008-scl","Efeitos da irradiação com raios-X em anastomoses colônicas: estudo estereológico experimental em ratos","Lopes-Paulo, Francisco","Acta Cirurgica Brasileira; 19(5); 504-510","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500008&lang=pt" 
"S0102-86502004000500013-scl","Estudo da fração inspirada de oxigênio na isquemia-reperfusão pulmonar em ratos","Silveira, Rafael José, Silva, Fábio May da, Wilhelm Filho, Danilo, Cardoso, José de Deus, Leão, Luiz Eduardo Villaça","Acta Cirurgica Brasileira; 19(5); 535-547","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500013&lang=pt" 
"S0102-86502004000500015-scl","Avaliação manométrica do esfíncter inferior do esôfago de coelhos submetidos a fundoplicatura total e parcial","Oliveira, Walmar Kerche de, Henry, Maria Aparecida Coelho de Arruda, Lerco, Mauro Masson","Acta Cirurgica Brasileira; 19(5); 555-564","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500015&lang=pt" 
"S0036-36342004000500004-spa","Influencia de los sucesos vitales y el apoyo social en una intervención psicoeducativa para mujeres con depresión","Lara, Ma Asunción, Navarro, Claudia, Navarrete, Laura","Salud Pública de México; 46(5); 378-387","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500004&lang=pt" 
"S0036-36342004000500005-spa","Políticas nacionales de salud y decisiones locales en México: el caso del Hospital Mixto de Cuetzalan, Puebla","Duarte-Gómez, María Beatriz, Brachet-Márquez, Viviane, Campos-Navarro, Roberto, Nigenda, Gustavo","Salud Pública de México; 46(5); 388-398","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500005&lang=pt" 
"S0036-36342004000500006-spa","La equidad y la imparcialidad en la reforma del sistema mexicano de salud","Gómez-Dantés, Octavio, Gómez-Jáuregui, Jesica, Inclán, Cristina","Salud Pública de México; 46(5); 399-416","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500006&lang=pt" 
"S0036-36342004000500010-spa","Enfermedad por meningococo, Neisseria meningitidis: perspectiva epidemiológica, clínica y preventiva","Almeida-González, Lourdes, Franco-Paredes, Carlos, Pérez, Luis Fernando, Santos-Preciado, José Ignacio","Salud Pública de México; 46(5); 438-450","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500010&lang=pt" 
"S0036-36342004000500011-spa","El papel de la epidemiología en la investigación de los trastornos mentales","Borges, Guilherme, Medina-Mora, María Elena, López-Moreno, Sergio","Salud Pública de México; 46(5); 451-463","Salud Pública de México","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342004000500011&lang=pt" 
"S0102-86502004000500010-scl","Análise radiológica da veia cava caudal em ratos Wistar","Schmidt, Luciano Rodrigues, Cardoso, Edson José, Schmidt, Rogério Rodrigues, Silva, Carlos Alberto Justo e, d&#039;Acampora, Armando José","Acta Cirurgica Brasileira; 19(5); 517-522","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500010&lang=pt" 
"S0102-86502004000500018-scl","Skeletal muscle ischemia and reperfusion in rats increase lipid peroxidation in rats","Piccinato, Carlos Eli, De Domenico Jr, Armando, Jordão Jr, Alceu Afonso, Vannucchi, Helio","Acta Cirurgica Brasileira; 19(5); 578-581","Acta Cirurgica Brasileira","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500018&lang=pt" 
"S0102-86502004000500019-scl","Expressões médicas errôneas: erros e acertos","Bacelar, Simônides, Galvão, Carmem Cecília, Alves, Elaine, Tubino, Paulo","Acta Cirurgica Brasileira; 19(5); 582-584","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500019&lang=pt" 
"S0104-62762004000200001-scl","Nota do editor","","Opinião Pública; 10(2); i-i","Opinião Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762004000200001&lang=pt" 
"S0104-62762004000200003-scl","Identidade, oposição e pragmatismo: o conteúdo estratégico da decisão eleitoral em 13 anos de eleições","Balbachevsky, Elizabeth, Holzhacker, Denilde Oliveira","Opinião Pública; 10(2); 242-253","Opinião Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762004000200003&lang=pt" 
"S0104-62762004000200008-scl","As percepções sobre democracia, cidadania e direitos","Paiva, Denise, Souza, Marta Rovery, Lopes, Gustavo de Faria","Opinião Pública; 10(2); 368-376","Opinião Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762004000200008&lang=pt" 
"S0104-62762004000200010-scl","","","Opinião Pública; 10(2); 389-420","Opinião Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762004000200010&lang=pt" 
"S0104-62762004000200009-scl","Notas sobre a participação não-eleitoral no Nordeste","Oliveira, Evelina Antunes F. de","Opinião Pública; 10(2); 377-388","Opinião Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762004000200009&lang=pt" 
"S0102-86502004000500005-scl","Atrofia mucosa/translocação bacteriana na sepse experimental em ratos Wistar","d&#039;Acampora, Armando José, Ortellado, Daniel Knabben, Carvalho, Roberta O. M., Serafim, João Daniel May, Farias, Débora Cadore de, Tramonte, Ricardo","Acta Cirurgica Brasileira; 19(5); 478-486","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500005&lang=pt" 
"S0102-86502004000500014-scl","Proposta de um novo modelo experimental de indução de doença inflamatória intestinal","Repka, João Carlos Domingues, Caron, Pedro Ernesto, Belila, Rodrigo Theodoro, Antunes, Michel Wentz, Campos Filho, José Tárcio de, Bortolletto, Juliano Valério","Acta Cirurgica Brasileira; 19(5); 548-554","Acta Cirurgica Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502004000500014&lang=pt" 
"S0104-62762004000200002-scl","As bases do petismo","Samuels, David","Opinião Pública; 10(2); 221-241","Opinião Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762004000200002&lang=pt" 
"S0104-62762004000200004-scl","Associativismo e comportamento eleitoral na eleição de 2002","Kerbauy, Maria Teresa Miceli","Opinião Pública; 10(2); 254-267","Opinião Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762004000200004&lang=pt" 
"S0104-62762004000200005-scl","O índice de participação e a importância da educação","Martins Júnior, José Paulo, Dantas, Humberto","Opinião Pública; 10(2); 268-287","Opinião Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762004000200005&lang=pt" 
"S0104-62762004000200006-scl","Evangélicos no Brasil: perfil socioeconômico, afinidades ideológicas e determinantes do comportamento eleitoral","Bohn, Simone R.","Opinião Pública; 10(2); 288-338","Opinião Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762004000200006&lang=pt" 
"S0104-62762004000200007-scl","Conservadorismo social: opiniões e atitudes no contexto da eleição de 2002","Nishimura, Katia Mika","Opinião Pública; 10(2); 339-367","Opinião Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-62762004000200007&lang=pt" 
"S0034-89102004000500018-scl","Qualidade de vida em transplantados renais: importância do enxerto funcionante","Bittencourt, Zélia Zilda Lourenço de Camargo, Alves Filho, Gentil, Mazzali, Marilda, Santos, Nelson Rodrigues dos","Revista de Saúde Pública; 38(5); 732-734","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500018&lang=pt" 
"S0034-89102004000500018-spa","Qualidade de vida em transplantados renais: importância do enxerto funcionante","Bittencourt, Zélia Zilda Lourenço de Camargo, Alves Filho, Gentil, Mazzali, Marilda, Santos, Nelson Rodrigues dos","Revista de Saúde Pública; 38(5); 732-734","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500018&lang=pt" 
"S0034-89102004000500020-scl","Control of Aedes aegypti with temephos in a Buenos Aires cemetery, Argentina","Vezzani, Darío, Velázquez, Stella Maris, Schweigmann, Nicolás","Revista de Saúde Pública; 38(5); 738-740","Revista de Saúde Pública","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500020&lang=pt" 
"S0034-89102004000500025-scl","Brasil forma rede de investigadores de surtos de infecção em serviço de saúde","","Revista de Saúde Pública; 38(5); 750-750","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500025&lang=pt" 
"S0034-89102004000500023-scl","Estados apóiam produtores e investem em segurança alimentar","","Revista de Saúde Pública; 38(5); 745-747","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500023&lang=pt" 
"S0034-89102004000500022-scl","Investigação de surto de febre maculosa na região de Campinas","","Revista de Saúde Pública; 38(5); 743-744","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500022&lang=pt" 
"S0034-89102004000500021-scl","Relato de caso de raiva humana após exumação no Município de São Paulo","","Revista de Saúde Pública; 38(5); 741-742","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500021&lang=pt" 
"S0034-89102004000500016-scl","Detection of pathogens from periodontal lesions","Malheiros, Veruska de João, Avila-Campos, Mario Julio","Revista de Saúde Pública; 38(5); 723-728","Revista de Saúde Pública","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500016&lang=pt" 
"S0034-89102004000500017-scl","Exposure to larva migrans syndromes in squares and public parks of cities in Chile","Mercado, Rubén, Ueta, Marlene T, Castillo, Douglas, Muñoz, Victor, Schenone, Hugo","Revista de Saúde Pública; 38(5); 729-731","Revista de Saúde Pública","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500017&lang=pt" 
"S0034-89102004000500019-scl","Tyrophagus putrescentiae predando insetos adultos de Aedes aegypti e Aedes albopictus em laboratório","Serpa, Lígia Leandro Nunes, Franzolin, Marcia Regina, Barros-Battesti, Darci Moraes, Kakitani, Iná","Revista de Saúde Pública; 38(5); 735-737","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500019&lang=pt" 
"S0034-89102004000500024-scl","Fórum discute estratégias de combate à falsificação de medicamentos","","Revista de Saúde Pública; 38(5); 748-749","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500024&lang=pt" 
"S0034-89102004000500026-scl","Errata","","Revista de Saúde Pública; 38(5); 744-744","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500026&lang=pt" 
"S0034-89102004000500023-spa","Estados apóiam produtores e investem em segurança alimentar","","Revista de Saúde Pública; 38(5); 745-747","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500023&lang=pt" 
"S0034-89102004000500022-spa","Investigação de surto de febre maculosa na região de Campinas","","Revista de Saúde Pública; 38(5); 743-744","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500022&lang=pt" 
"S0034-89102004000500021-spa","Relato de caso de raiva humana após exumação no Município de São Paulo","","Revista de Saúde Pública; 38(5); 741-742","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500021&lang=pt" 
"S0034-89102004000500020-spa","Control of Aedes aegypti with temephos in a Buenos Aires cemetery, Argentina","Vezzani, Darío, Velázquez, Stella Maris, Schweigmann, Nicolás","Revista de Saúde Pública; 38(5); 738-740","Revista de Saúde Pública","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500020&lang=pt" 
"S0034-89102004000500019-spa","Tyrophagus putrescentiae predando insetos adultos de Aedes aegypti e Aedes albopictus em laboratório","Serpa, Lígia Leandro Nunes, Franzolin, Marcia Regina, Barros-Battesti, Darci Moraes, Kakitani, Iná","Revista de Saúde Pública; 38(5); 735-737","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500019&lang=pt" 
"S0034-89102004000500017-spa","Exposure to larva migrans syndromes in squares and public parks of cities in Chile","Mercado, Rubén, Ueta, Marlene T, Castillo, Douglas, Muñoz, Victor, Schenone, Hugo","Revista de Saúde Pública; 38(5); 729-731","Revista de Saúde Pública","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500017&lang=pt" 
"S0034-89102004000500025-spa","Brasil forma rede de investigadores de surtos de infecção em serviço de saúde","","Revista de Saúde Pública; 38(5); 750-750","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500025&lang=pt" 
"S0034-89102004000500024-spa","Fórum discute estratégias de combate à falsificação de medicamentos","","Revista de Saúde Pública; 38(5); 748-749","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500024&lang=pt" 
"S0034-89102004000500026-spa","Errata","","Revista de Saúde Pública; 38(5); 744-744","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500026&lang=pt" 
"S0034-89102004000500016-spa","Detection of pathogens from periodontal lesions","Malheiros, Veruska de João, Avila-Campos, Mario Julio","Revista de Saúde Pública; 38(5); 723-728","Revista de Saúde Pública","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500016&lang=pt" 
"S0034-89102004000500012-spa","Poluição atmosférica e doenças respiratórias em crianças na cidade de Curitiba, PR","Bakonyi, Sonia Maria Cipriano, Danni-Oliveira, Inês Moresco, Martins, Lourdes Conceição, Braga, Alfésio Luís Ferreira","Revista de Saúde Pública; 38(5); 695-700","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500012&lang=pt" 
"S0034-89102004000500011-spa","Impacto funcional da internação hospitalar de pacientes idosos","Siqueira, Ana Barros, Cordeiro, Renata Cereda, Perracini, Monica Rodrigues, Ramos, Luiz Roberto","Revista de Saúde Pública; 38(5); 687-694","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500011&lang=pt" 
"S0034-89102004000500010-spa","Comunidade fitoplanctônica de um pesqueiro na cidade de São Paulo","Matsuzaki, Mayla, Mucci, José Luiz Negrão, Rocha, Aristides Almeida","Revista de Saúde Pública; 38(5); 679-686","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500010&lang=pt" 
"S0034-89102004000500009-spa","Immunogenicity of WHO-17D and Brazilian 17DD yellow fever vaccines: a randomized trial","Camacho, Luiz Antonio Bastos, Freire, Marcos da Silva, Leal, Maria da Luz Fernandes, Aguiar, Savitri Gomes de, Nascimento, Jussara Pereira do, Iguchi, Takumi, Lozana, José de Azevedo, Farias, Roberto Henrique Guedes","Revista de Saúde Pública; 38(5); 671-678","Revista de Saúde Pública","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500009&lang=pt" 
"S0034-89102004000500007-spa","Vigilância epidemiológica e avaliação da assistência às meningites","Escosteguy, Claudia Caminha, Medronho, Roberto de Andrade, Madruga, Roberto, Dias, Hellen Gruezo, Braga, Ricardo Cerqueira, Azevedo, Otília Pimenta","Revista de Saúde Pública; 38(5); 657-663","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500007&lang=pt" 
"S0034-89102004000500001-spa","Promoção de saúde e a sensibilidade epistemológica da categoria &#039;comunidade&#039;","Castiel, Luis David","Revista de Saúde Pública; 38(5); 615-622","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500001&lang=pt" 
"S0034-89102004000500001-scl","Promoção de saúde e a sensibilidade epistemológica da categoria &#039;comunidade&#039;","Castiel, Luis David","Revista de Saúde Pública; 38(5); 615-622","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500001&lang=pt" 
"S0034-89102004000500002-scl","Suscetibilidade de larvas de Aedes aegypti ao inseticida temefós no Distrito Federal","Carvalho, Maria do Socorro Laurentino de, Caldas, Eloísa Dutra, Degallier, Nicolas, Vilarinhos, Paulo de Tarso Ribeiro, Souza, Luís César Kenupp Rodrigues de, Yoshizawa, Maria Amélia Cavalcanti, Knox, Monique Britto, Oliveira, Cristiane de","Revista de Saúde Pública; 38(5); 623-629","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500002&lang=pt" 
"S0034-89102004000500003-scl","A cor da morte: causas de óbito segundo características de raça no Estado de São Paulo, 1999 a 2001","Batista, Luís Eduardo, Escuder, Maria Mercedes Loureiro, Pereira, Julio Cesar Rodrigues","Revista de Saúde Pública; 38(5); 630-636","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500003&lang=pt" 
"S0034-89102004000500004-scl","Validade da hipertensão arterial auto-referida e seus determinantes (projeto Bambuí)","Lima-Costa, Maria Fernanda, Peixoto, Sérgio Viana, Firmo, Josélia Oliveira Araújo","Revista de Saúde Pública; 38(5); 637-642","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500004&lang=pt" 
"S0034-89102004000500005-scl","Validação de métodos de estimativa da gordura corporal em portadores do HIV/Aids","Florindo, Alex Antonio, Latorre, Maria do Rosario Dias de Oliveira, Santos, Elisabete Cristina Morandi dos, Borelli, Aurélio, Rocha, Manoel de Souza, Segurado, Aluisio Augusto Cotrim","Revista de Saúde Pública; 38(5); 643-649","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500005&lang=pt" 
"S0034-89102004000500006-scl","Prevalência de transtornos mentais em área urbana no norte de Minas Gerais, Brasil","Maia, Luciana Colares, Durante, Ariane M G, Ramos, Luiz Roberto","Revista de Saúde Pública; 38(5); 650-656","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500006&lang=pt" 
"S0034-89102004000500008-scl","Impacto da vacinação contra o Haemophilus influenzae b na redução de meningites, Goiás","Simões, Luciana Leite Pineli, Andrade, Ana Lúcia S S, Laval, Cristina A, Oliveira, Renato M, Silva, Simmone A, Martelli, Celina M T, Alves, Sueli L de A, Almeida, Robmary M, Andrade, João G","Revista de Saúde Pública; 38(5); 664-670","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500008&lang=pt" 
