"S0104-42302011000600018-scl","Risk factors for hypertensive disorders of pregnancy in southern Brazil","Dalmáz, Caroline Abrão, Santos, Kátia Gonçalves dos, Botton, Mariana Rodrigues, Roisenberg, Israel","Revista da Associação Médica Brasileira; 57(6); 692-696","Revista da Associação Médica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600018&lang=pt" 
"S0104-42302011000600019-scl","Modelo assistencial para pacientes com asma na atenção primária","Leal, Renata Cristina de Angelo Calsaverini, Braile, Domingo Marcolino, Souza, Dorotéia Rossi Silva, Batigália, Fernando","Revista da Associação Médica Brasileira; 57(6); 697-701","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600019&lang=pt" 
"S0104-42302011000600022-scl","Original research articles on the cardiopulmonary system recently appeared in Brazilian clinical and surgical journals","Patel, Kavita Kirankumar, Caramelli, Bruno, Silva, Maurício Rocha e","Revista da Associação Médica Brasileira; 57(6); 717-738","Revista da Associação Médica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600022&lang=pt" 
"S0080-62342011000600023-scl","Eficácia de três métodos de degermação das mãos utilizando gluconato de clorexidina degermante (GCH 2%)","Cunha, Érika Rossetto da, Matos, Fabiana Gonçalves de Oliveira Azevedo, Silva, Adriana Maria da, Araújo, Eutália Aparecida Cândido de, Ferreira, Karine Azevedo São Leão, Graziano, Kazuko Uchikawa","Revista da Escola de Enfermagem da USP; 45(6); 1440-1445","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600023&lang=pt" 
"S0080-62342011000600006-scl","O desenvolvimento da sexualidade de crianças em situação de risco","Yano, Karen Murakami, Ribeiro, Moneda Oliveira","Revista da Escola de Enfermagem da USP; 45(6); 1315-1322","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600006&lang=pt" 
"S0080-62342011000600033-scl","Revisão sistemática de teorias: uma ferramenta para avaliação e análise de trabalhos selecionados","Soares, Cassia Baldini, Yonekura, Tatiana","Revista da Escola de Enfermagem da USP; 45(6); 1507-1514","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600033&lang=pt" 
"S1405-22532011000200009-mex","Las alcabalas mexicanas (1821-1857). Los dilemas de la construcción de la Hacienda nacional","Schmit, Roberto","América Latina en la historia económica; (36); 211-214","América Latina en la historia económica","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532011000200009&lang=pt" 
"S1561-30032011000300001-cub","Motivos para actualizar creencias en relación con algunos aspectos de la infección por Toxoplasma gondii","Fonte Galindo, Luís, Rodríguez Peña, Martha","Revista Cubana de Higiene y Epidemiología; 49(3); 322-324","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300001&lang=pt" 
"S1561-30032011000300002-cub","Factores sociales en la incidencia de tuberculosis pulmonar en el municipio &quot;10 de Octubre&quot;","Muñoz Soca, Rafael, Fernández Ávila, Roberto","Revista Cubana de Higiene y Epidemiología; 49(3); 325-335","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300002&lang=pt" 
"S1561-30032011000300003-cub","Intervención educativa en VIH/SIDA a adolescentes del Instituto Preuniversitario Vocacional de Ciencias Exactas &quot;Carlos Marx&quot;, de Matanzas","Achiong Alemañy, Mercy, Achiong Estupiñán, Fernando Jesús","Revista Cubana de Higiene y Epidemiología; 49(3); 336-345","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300003&lang=pt" 
"S1561-30032011000300004-cub","Factores de riesgo coronario en la población mayor de 15 años del Consejo Popular &quot;La Demajagua&quot;, Isla de la Juventud","Terroba Chambi, Cinthia Jennifer, Dávila Gómez, Heenry Luís, Robles Martínez-Pinillo, Julio A","Revista Cubana de Higiene y Epidemiología; 49(3); 346-355","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300004&lang=pt" 
"S1561-30032011000300005-cub","Evaluación de las normas de bioseguridad en el servicio de hemodiálisis del Instituto de Nefrología &quot;Dr. Abelardo Buch López&quot;, 2009","Trincado Agudo, María Teresa, Ramos Valle, Isora, Vázquez Adán, Yanis, Guillén Fonseca, Martha","Revista Cubana de Higiene y Epidemiología; 49(3); 356-372","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300005&lang=pt" 
"S1561-30032011000300006-cub","Intervención en hipertensos no controlados pertenecientes a la provincia de Matanzas en el año 2010","Achiong Estupiñán, Fernando Jesús, Olano Moreno, Miriam, Fong Ramírez, Ernesto, Alfonso León, José A, Achiong Alemañy, Mercy, Achiong Alemañy, Fernando","Revista Cubana de Higiene y Epidemiología; 49(3); 373-383","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300006&lang=pt" 
"S1561-30032011000300007-cub","Principales características de la salud ambiental de la provincia La Habana","Romero Placeres, Manuel, García Melián, Maricel, Álvarez Toste, Mireya","Revista Cubana de Higiene y Epidemiología; 49(3); 384-398","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300007&lang=pt" 
"S1561-30032011000300008-cub","Mapa de ocupaciones, riesgos laborales y recursos en salud ocupacional","Almirall Hernández, Pedro, Martínez Valladares, Miriam, Pastor, María Elena","Revista Cubana de Higiene y Epidemiología; 49(3); 399-409","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300008&lang=pt" 
"S1561-30032011000300009-cub","Protocolos para la contratación y puesta en marcha de plantas de tratamiento de agua para hemodiálisis","Mariné Alonso, María de los Ángeles, García Melián, Maricel","Revista Cubana de Higiene y Epidemiología; 49(3); 410-419","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300009&lang=pt" 
"S1561-30032011000300010-cub","Morbilidad materna extremadamente grave, un problema actual","Álvarez Toste, Mireya, Hinojosa Álvarez, María del Carmen, Álvarez, Sergio Salvador, López Barroso, Reinaldo, González Rodríguez, Guillermo, Carbonell, Isabel, Pérez González, Raúl","Revista Cubana de Higiene y Epidemiología; 49(3); 420-433","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300010&lang=pt" 
"S1561-30032011000300011-cub","Comportamiento funcional y seguridad industrial en el sector de la construcción en el estado de Zulia, Venezuela","Villalobos, Leandro José, Carrasquero Carrasquero, Ender","Revista Cubana de Higiene y Epidemiología; 49(3); 434-449","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300011&lang=pt" 
"S1561-30032011000300012-cub","Eutanasia y valor absoluto de la vida","Collado Madurga, Ana María, Piñón Gámez, Aimeé, Odales Ibarra, Rogelio, Acosta Quintana, Leanne, Serra Larín, Silvia","Revista Cubana de Higiene y Epidemiología; 49(3); -","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300012&lang=pt" 
"S1561-30032011000300013-cub","Inmunoepidemiología del asma bronquial","Fundora Hernández, Hermes, Venero Fernández, Silvia Josefina, Rodríguez Bertheau, Andrea María, Alerm González, Alina, León Toirac, Emigdio, Cubas Dueñas, Ileana","Revista Cubana de Higiene y Epidemiología; 49(3); 459-469","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300013&lang=pt" 
"S1561-30032011000300014-cub","Definiciones acerca del riesgo y sus implicaciones","Echemendía Tocabens, Belkis","Revista Cubana de Higiene y Epidemiología; 49(3); 470-481","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300014&lang=pt" 
"S1561-30032011000300015-cub","El inglés médico y su abordaje desde una perspectiva lingüística en el contexto de la colaboración en salud","Barbón Pérez, Olga Gloria","Revista Cubana de Higiene y Epidemiología; 49(3); 482-489","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300015&lang=pt" 
"S1561-30032011000300016-cub","La interdisciplinariedad en ciencias médicas y la matemática","Alemán Rodríguez, Rafael, Yera Carbonell, Gisela del Carmen","Revista Cubana de Higiene y Epidemiología; 49(3); 490-498","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300016&lang=pt" 
"S1561-30032011000300017-cub","IX Jornada científica nacional de lucha contra el tabaquismo","Varona Pérez, Patricia, Lorenzo Vázquez, Elba","Revista Cubana de Higiene y Epidemiología; 49(3); 499-499","Revista Cubana de Higiene y Epidemiología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032011000300017&lang=pt" 
"S1134-80462011000600001-esp","","Mayoral Rojals, V.","Revista de la Sociedad Española del Dolor; 18(6); 317-319","Revista de la Sociedad Española del Dolor","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462011000600001&lang=pt" 
"S1134-80462011000600009-esp","Metadona en el tratamiento del dolor crónico oncológico","García Hernández, M. G., Sánchez Rodríguez, J. P., Hernández Santos, J. R., Tenopala Villegas, S.","Revista de la Sociedad Española del Dolor; 18(6); 368-368","Revista de la Sociedad Española del Dolor","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462011000600009&lang=pt" 
"S1134-80462011000600007-esp","Técnicas en dolor miofascial: Toxina botulínica","Insausti, J., Djibilian, R., Pellejero, E. M., Mendiola, A.","Revista de la Sociedad Española del Dolor; 18(6); 361-365","Revista de la Sociedad Española del Dolor","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462011000600007&lang=pt" 
"S1405-22532011000200001-mex","Declaración de El Colegio de México","","América Latina en la historia económica; (36); 5-10","América Latina en la historia económica","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532011000200001&lang=pt" 
"S1405-22532011000200012-mex","La industria del gas en Córdoba (1870-2007)","Castro, Claudio","América Latina en la historia económica; (36); 222-226","América Latina en la historia económica","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532011000200012&lang=pt" 
"S1405-22532011000200013-mex","El obispado de Puebla: españoles, indios, mestizos y castas en tiempos del virrey Bucareli, 1777","Talavera Ibarra, Oziel Ulises","América Latina en la historia económica; (36); 227-233","América Latina en la historia económica","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532011000200013&lang=pt" 
"S1405-22532011000200002-mex","Nueva luz sobre viejos problemas: incidencia de la cuantificación en la historiografía sobre la industria temprana en Uruguay","Rodríguez Weber, Javier E.","América Latina en la historia económica; (36); 11-36","América Latina en la historia económica","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532011000200002&lang=pt" 
"S1984-70332011000400002-scl","Resistance gradient of black pod disease in cocoa and selection by leaf disk assay","Santos, Elisa Susilene Lisboa dos, Cerqueira-Silva, Carlos Bernard Moreno, Clement, Didier, Luz, Edna Dora Martins Newman","Crop Breeding and Applied Biotechnology; 11(4); 297-303","Crop Breeding and Applied Biotechnology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332011000400002&lang=pt" 
"S1984-70332011000400003-scl","Genetic diversity in soybean genotypes with resistance to Heterodera glycines","Matsuo, Éder, Sediyama, Tuneo, Cruz, Cosme Damião, Oliveira, Rosângela D&#039;Arc de Lima, Oliveira, Rita de Cássia Teixeira, Nogueira, Ana Paula Oliveira","Crop Breeding and Applied Biotechnology; 11(4); 304-312","Crop Breeding and Applied Biotechnology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332011000400003&lang=pt" 
"S1984-70332011000400004-scl","Diallel analysis of yield and quality traits of melon fruits","Barros, Anne Katherine de Araújo, Nunes, Glauber Henrique de Sousa, Queiróz, Manoel Abílio de, Pereira, Elaíne Welk Lopes, Costa Filho, José Hamilton da","Crop Breeding and Applied Biotechnology; 11(4); 313-319","Crop Breeding and Applied Biotechnology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332011000400004&lang=pt" 
"S1984-70332011000400006-scl","Repeatability of family means in early generations of potato under heat stress","Benavente, César Augusto Ticona, Pinto, César Augusto Brasil Pereira, Figueiredo, Izabel Cristina Rodrigues de, Ribeiro, Guilherme Henrique Martins Rodrigues","Crop Breeding and Applied Biotechnology; 11(4); 330-337","Crop Breeding and Applied Biotechnology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332011000400006&lang=pt" 
"S1984-70332011000400007-scl","In vitro viability and preservation of pollen grain of kiwi (Actinidia chinensis var. deliciosa (A. Chev.) A. Chev)","Borghezan, Marcelo, Clauman, Alan David, Steinmacher, Douglas André, Guerra, Miguel Pedro, Orth, Afonso Inácio","Crop Breeding and Applied Biotechnology; 11(4); 338-344","Crop Breeding and Applied Biotechnology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332011000400007&lang=pt" 
"S1984-70332011000400009-scl","ISSR markers for genetic relationships in Caricaceae and sex differentiation in papaya","Costa, Fabiane Rabelo da, Pereira, Telma Nair Santana, Gabriel, Ana Paula Candido, Pereira, Messias Gonzaga","Crop Breeding and Applied Biotechnology; 11(4); 352-357","Crop Breeding and Applied Biotechnology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332011000400009&lang=pt" 
"S1984-70332011000400010-scl","Minimum number of common bean plants per plot to assess field resistance to white mold","Carneiro, Flávia Fernandes, Zeviani, Walmes Marques, Santos, João Bosco dos, Carvalho, Renato Sérgio Batista, Alves, Felipe Couto, Dias, Juliana Andrade","Crop Breeding and Applied Biotechnology; 11(4); 358-364","Crop Breeding and Applied Biotechnology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332011000400010&lang=pt" 
"S0102-30982011000200004-scl","A evolução do sub-registro de mortes e causas de óbitos mal definidas em Minas Gerais: diferenciais regionais","Lima, Everton Emanuel Campos de, Queiroz, Bernardo Lanza","Revista Brasileira de Estudos de População; 28(2); 303-320","Revista Brasileira de Estudos de População","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982011000200004&lang=pt" 
"S0102-30982011000200005-scl","La reducción de la mortalidad infantil desde un enfoque de derechos: una comparación entre Argentina y Brasil","Santillán Pizarro, María Marta, Rojas Cabrera, Eleonora Soledad, Celton, Dora Estela, Ribotta, Bruno","Revista Brasileira de Estudos de População; 28(2); 321-336","Revista Brasileira de Estudos de População","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982011000200005&lang=pt" 
"S0102-30982011000200006-scl","Incorporando a variabilidade no processo de identificação do modelo de máximo global no Grade of Membership (GoM): considerações metodológicas","Guedes, Gilvan Ramalho, Siviero, Pamila Cristina Lima, Caetano, André Junqueira, Machado, Carla Jorge, Brondízio, Eduardo","Revista Brasileira de Estudos de População; 28(2); 337-347","Revista Brasileira de Estudos de População","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982011000200006&lang=pt" 
"S0102-30982011000200008-scl","As amenidades naturais influenciam a escolha locacional dos trabalhadores? evidências para as regiões metropolitanas brasileiras","Rocha, Roberta de Moraes, Magalhães, André Mato","Revista Brasileira de Estudos de População; 28(2); 369-387","Revista Brasileira de Estudos de População","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982011000200008&lang=pt" 
"S0102-30982011000200010-scl","Von Thünen e o abastecimento madeireiro de centros urbanos pré-industriais","Cabral, Diogo de Carvalho","Revista Brasileira de Estudos de População; 28(2); 405-427","Revista Brasileira de Estudos de População","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982011000200010&lang=pt" 
"S0037-86822011000600002-scl","Quantification of HIV-1 viral RNA in the blood in needles used for venous puncture in HIV-infected individuals","Rossin, Iris Ricardo, Machado, Alcyone Artioli, Junqueira, Érica Maria, Martinez, Roberto","Revista da Sociedade Brasileira de Medicina Tropical; 44(6); 661-664","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822011000600002&lang=pt" 
"S0037-86822011000600006-scl","Molecular characterization of rabies virus isolated from non-haematophagous bats in Brazil","Albas, Avelino, Campos, Angélica Cristine de Almeida, Araujo, Danielle Bastos, Rodrigues, Camila Seabra, Sodré, Miriam Martos, Durigon, Edison Luiz, Favoretto, Silvana Regina","Revista da Sociedade Brasileira de Medicina Tropical; 44(6); 678-683","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822011000600006&lang=pt" 
"S0037-86822011000600010-scl","Study on Chagas disease occurrence in the municipality of Monte Negro, State of Rondônia, Brazilian Amazon","Carvalho, Elaine Oliveira Costa de, Rosa, João Aristeu da, Carvalho, Anderson Antonio de, Chaves, Hialli Cristine Oliveira, Souza, Everton Almeida de, Ostermayer, Alejandro Luquetti, Camargo, Luís Marcelo Aranha de","Revista da Sociedade Brasileira de Medicina Tropical; 44(6); 703-707","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822011000600010&lang=pt" 
"S0037-86822011000600014-scl","Molecular characterization of clinical multiresistant isolates of Acinetobacter sp. from hospitals in Porto Alegre, State of Rio Grande do Sul, Brazil","Ferreira, Alessandra Einsfeld, Marchetti, Desirée Padilha, Cunha, Gabriela Rosa da, Oliveira, Lyvia Moreira de, Fuentefria, Daiane Bopp, Bello, Aline Gehlen Dall, Barth, Afonso Luis, Corção, Gertrudes","Revista da Sociedade Brasileira de Medicina Tropical; 44(6); 725-730","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822011000600014&lang=pt" 
"S0037-86822011000600015-scl","Reduction of catheter-associated bloodstream infections through procedures in newborn babies admitted in a university hospital intensive care unit in Brazil","Resende, Daiane Silva, Ó, Jacqueline Moreira do, Brito, Denise von Dolinger de, Abdallah, Vânia Olivetti Steffen, Gontijo Filho, Paulo Pinto","Revista da Sociedade Brasileira de Medicina Tropical; 44(6); 731-734","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822011000600015&lang=pt" 
"S0037-86822011000600016-scl","Validation of a case definition for leptospirosis diagnosis in patients with acute severe febrile disease admitted in reference hospitals at the State of Pernambuco, Brazil","Albuquerque Filho, Alfredo Pereira Leite de, Araújo, Jéssica Guido de, Souza, Inacelli Queiroz de, Martins, Luciana Cardoso, Oliveira, Marta Iglis de, Silva, Maria Jesuíta Bezerra da, Montarroyos, Ulisses Ramos, Miranda Filho, Demócrito de Barros","Revista da Sociedade Brasileira de Medicina Tropical; 44(6); 735-739","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822011000600016&lang=pt" 
"S0037-86822011000600020-scl","Africanized honeybee stings: how to treat them","Almeida, Ricardo Augusto Monteiro de Barros, Olivo, Taylor Endrigo Toscano, Mendes, Rinaldo Poncio, Barraviera, Silvia Regina Catharino Sartori, Souza, Lenice do Rosário, Martins, Joelma Gonçalves, Hashimoto, Miriam, Fabris, Viciany Erique, Ferreira Junior, Rui Seabra, Barraviera, Benedito","Revista da Sociedade Brasileira de Medicina Tropical; 44(6); 755-761","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822011000600020&lang=pt" 
"S0037-86822011000600012-scl","Risk factors for Leishmania chagasi infection in an endemic area in Raposa, State of Maranhão, Brazil","Ponte, Charlene Barreto, Souza, Natália Coelho, Cavalcante, Maria Neuza, Barral, Aldina Maria Prado, Aquino, Dorlene Maria Cardoso de, Caldas, Arlene de Jesus Mendes","Revista da Sociedade Brasileira de Medicina Tropical; 44(6); 712-721","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822011000600012&lang=pt" 
"S0037-86822011000600007-scl","Molecular characterization of Trypanosoma cruzi Mexican strains and their behavior in the mouse experimental model","Gómez-Hernández, César, Rezende-Oliveira, Karine, Nascentes, Gabriel Antônio Nogueira, Batista, Lara Rocha, Kappel, Henrique Borges, Martinez-Ibarra, José Alejandro, Trujillo Contreras, Francisco, Lages-Silva, Eliane, Ramírez, Luis Eduardo","Revista da Sociedade Brasileira de Medicina Tropical; 44(6); 684-690","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822011000600007&lang=pt" 
"S0037-86822011000600018-scl","Fungemia in a university hospital: an epidemiological approach","Couto, Fabíola Maria Marques do, Macedo, Daniele Patrícia Cerqueira, Neves, Rejane Pereira","Revista da Sociedade Brasileira de Medicina Tropical; 44(6); 745-748","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822011000600018&lang=pt" 
"S0037-86822011000600001-scl","Evaluation of laboratory markers of progression of HIV disease to death","Viana, Graça Maria de Castro, Nascimento, Maria do Desterro Soares Brandão, Ferreira, Aila de Menezes, Rabelo, Érica Milena Fernandes, Diniz Neto, João Arnaud, Galvão, Carolina de Souza, Santos, Alessandro Carvalho dos, Santos Júnior, Onildo Martins, Oliveira, Rodrigo Artur Souza de, Binda Júnior, José Roberto","Revista da Sociedade Brasileira de Medicina Tropical; 44(6); 657-660","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822011000600001&lang=pt" 
"S0100-54052011000400002-scl","Detecção in situ de espécies reativas de oxigênio em feijoeiro tratado com extratos de Pycnoporus sanguineus e inoculado com Colletotrichum lindemuthianum","Baldo, Mauricele, Stangarlin, José Renato, Franzener, Gilmar, Assi, Lindomar, Kuhn, Odair José, Schwan-Estrada, Kátia Regina Freitas","Summa Phytopathologica; 37(4); 174-179","Summa Phytopathologica","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052011000400002&lang=pt" 
"S0100-54052011000400003-scl","Podridão de raízes causada por Pythium aphanidermatum, em cultivares de alface produzidas em sistema hidropônico","Pinto, Zayame Vegette, Cipriano, Matheus Aparecido Pereira, Galvão, José Abrahão Haddad, Bettiol, Wagner, Patrício, Flávia Rodrigues Alves, Santos, Amaury da Silva dos","Summa Phytopathologica; 37(4); 180-186","Summa Phytopathologica","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052011000400003&lang=pt" 
"S0100-54052011000400004-scl","Efeito do tratamento de semente com fungicidas associado à pulverização foliar no controle da ferrugem asiática da soja","Pimenta, Cláudia Barbosa, Juliatti, Fernando Cesar, Nunes Junior, José","Summa Phytopathologica; 37(4); 187-197","Summa Phytopathologica","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052011000400004&lang=pt" 
"S0100-54052011000400005-scl","Effect of phytoplasma infection on the activity of peroxidase, β-1,3 glucanase and chitinase in corn plants","Junqueira, Ana Carolina Bruno, Bedendo, Ivan Paulo, Pascholati, Sérgio Florentino","Summa Phytopathologica; 37(4); 194-198","Summa Phytopathologica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052011000400005&lang=pt" 
"S0037-86822011000600008-scl","Prevalence of Trypanosoma cruzi antibodies and inflammatory markers in uncompensated heart failure","Tobar, Iván Bravo, Parra, Freddy, Pérez, Carlota Nello, Rodríguez-Bonfante, Claudina, Useche, Franco, Bonfante-Cabarcas, Rafael","Revista da Sociedade Brasileira de Medicina Tropical; 44(6); 691-696","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822011000600008&lang=pt" 
"S0102-30982011000200003-scl","Diferenciais de mortalidade: níveis e padrões segundo o sexo no município de São Paulo de 1920 a 2005","Siviero, Pamila Cristina Lima, Turra, Cássio Maldonado, Rodrigues, Roberto do Nascimento","Revista Brasileira de Estudos de População; 28(2); 283-301","Revista Brasileira de Estudos de População","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982011000200003&lang=pt" 
"S0102-30982011000200009-scl","As dimensões demográficas das mudanças climáticas: cenários de mudança do clima e as tendências do crescimento populacional","Ojima, Ricardo","Revista Brasileira de Estudos de População; 28(2); 389-403","Revista Brasileira de Estudos de População","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982011000200009&lang=pt" 
"S0102-30982011000200002-scl","Population and development beyond the first demographic transition: a focus on the experience of east and southeast Asian countries","Jones, Gavin W.","Revista Brasileira de Estudos de População; 28(2); 267-281","Revista Brasileira de Estudos de População","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982011000200002&lang=pt" 
"S0102-30982011000200012-scl","Classificação dos domicílios &quot;indígenas&quot; no Censo Demográfico 2000: subsídios para a análise de condições de saúde","Marinho, Gerson Luiz, Santos, Ricardo Ventura, Pereira, Nilza de Oliveira Martins","Revista Brasileira de Estudos de População; 28(2); 449-466","Revista Brasileira de Estudos de População","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982011000200012&lang=pt" 
"S1806-37132011000600020-scl","Uma posição incomum para alívio postural da dispneia","Martinez, José Antônio Baddini, Rodrigues, Heloise Baldan Otero, Portelinha, Alexandre Martins","Jornal Brasileiro de Pneumologia; 37(6); 829-830","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600020&lang=pt" 
"S0074-02762011000800003-scl","Chikungunya virus outbreak in Kerala, India, 2007: a seroprevalence study","Kumar, Narendran Pradeep, Suresh, Abidha, Vanamail, Perumal, Sabesan, Shanmugavelu, Krishnamoorthy, Kalianna Gounder, Mathew, Jacob, Jose, Varakilparambil Thomas, Jambulingam, Purushothaman","Memórias do Instituto Oswaldo Cruz; 106(8); 912-916","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800003&lang=pt" 
