"S1808-86942016000100001-scl","The judicialization of the medical act","Campos, Roberto Augusto de Carvalho, Camargo, Rosmari Aparecida Elias, Neves, Luciano Rodrigues","Brazilian Journal of Otorhinolaryngology; 82(1); 1-2","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100001&lang=pt" 
"S0021-75572016000100024-scl","Costs of hospitalization in preterm infants: impact of antenatal steroid therapy","Ogata, Joice Fabiola Meneguel, Fonseca, Marcelo Cunio Machado, Miyoshi, Milton Harumi, Almeida, Maria Fernanda Branco de, Guinsburg, Ruth","Jornal de Pediatria; 92(1); 24-31","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000100024&lang=pt" 
"S0482-50042016000100001-scl","Síndromes autoinflamatórias: doenças raras com comprometimento importante da qualidade de vida","Appenzeller, Simone, Martini, Alberto","Revista Brasileira de Reumatologia; 56(1); 1-1","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100001&lang=pt" 
"S0100-39842016000100062-scl","Endometrial osseous metaplasia: sonographic, radiological and histopathological findings","Guerra, Luiz Felipe Alves, Pessanha, Laís Bastos, Oliveira, Gabriel Antonio de, Melo, Adriana Maria Fonseca de, Braga, Flavia Silva, Souza, Rodrigo Stênio Moll de","Radiologia Brasileira; 49(1); 62-63","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100062&lang=pt" 
"S0102-36162016000100029-scl","Effect of removal and reinsertion of force-closed stems on deformation of total hip arthroplasty","Griza, Sandro, Gomes, Luiz Sérgio Marcelino, Cervieri, André, Strohaecker, Telmo Roberto","Revista Brasileira de Ortopedia; 51(1); 29-35","Revista Brasileira de Ortopedia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162016000100029&lang=pt" 
"S0102-36162016000100058-scl","Giant-cell tumor: analysis on the importance of early diagnosis and the epidemiological profile","Ferraz, Diego Firmino de Carvalho Diniz, Santos, César Augusto Torres dos, Costa, Victor Hugo Farias, Souza, Antônio Marcelo Gonçalves, Lima, Paulo Rogerio Gomes","Revista Brasileira de Ortopedia; 51(1); 58-62","Revista Brasileira de Ortopedia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162016000100058&lang=pt" 
"S0102-36162016000100063-scl","Use of superficial peroneal nerve graft for treating peripheral nerve injuries","Ribak, Samuel, Silva Filho, Paulo Roberto Ferreira da, Tietzmann, Alexandre, Hirata, Helton Hiroshi, Mattos, Carlos Augusto de, Gama, Sérgio Augusto Machado da","Revista Brasileira de Ortopedia; 51(1); 63-69","Revista Brasileira de Ortopedia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162016000100063&lang=pt" 
"S0100-39842016000100053-scl","Glenohumeral interposition of rotator cuff stumps: a rare complication of traumatic rotator cuff tear","Agnollitto, Paulo Moraes, Chu, Marcio Wen King, Lorenzato, Mario Muller, Zatiti, Salomão Chade Assan, Nogueira-Barbosa, Marcello Henrique","Radiologia Brasileira; 49(1); 53-55","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100053&lang=pt" 
"S0038-23532016000100002-sza","What&#039;s new from the PAST?","Blumenschine, Robert J., Leenen, Andrea","South African Journal of Science; 112(1-2); 1-3","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000100002&lang=pt" 
"S0038-23532016000100009-sza","Whose knowledge? The politics of scholarship in South(ern) Africa: A critical review of Inside African Anthropology","Vawda, Shahid","South African Journal of Science; 112(1-2); 01-04","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000100009&lang=pt" 
"S1676-24442016000100031-scl","Aggressive papillary tumor of endolymphatic sac: case report of a rare neoplasia","Cambruzzi, Eduardo, Pêgas, Karla Lais, Almeida, Leandro P., Perondi, Gerson Evandro, Dini, Leandro I.","Jornal Brasileiro de Patologia e Medicina Laboratorial; 52(1); 31-34","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442016000100031&lang=pt" 
"S1676-24442016000100035-scl","Aggressive angiomyxoma of the vagina: a case report","Stumpf, Matheo Augusto M., Stival, Rebecca S. M., Merlini, Alexandre B., Mansani, Fábio P., Silvestre, Janicelli B. C. H., Mongruel, Isabela B., Montemór Netto, Mário R.","Jornal Brasileiro de Patologia e Medicina Laboratorial; 52(1); 35-38","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442016000100035&lang=pt" 
"S1413-81232016000200411-spa","Os efeitos da Emenda Constitucional 29 na alocação regional dos gastos públicos no Sistema Único de Saúde no Brasil","Piola, Sérgio Francisco, França, José Rivaldo Mello de, Nunes, André","Ciência &amp; Saúde Coletiva; 21(2); 411-422","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200411&lang=pt" 
"S0034-70942016000100001-scl","Teaching practices of thoracic epidural catheterizations in different grade of anesthesia residents","Alagoz, Ali, Sazak, Hilal, Tunc, Mehtap, Ulus, Fatma, Kokulu, Serdar, Pehlivanoglu, Polat, Sahin, Saziye","Revista Brasileira de Anestesiologia; 66(1); 1-6","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000100001&lang=pt" 
"S1983-41952016000100002-scl","Behavior of reinforced concrete columns strenghtened by partial jacketing","FERREIRA, D. B., GOMES, R. B., CARVALHO, A. L., GUIMARÃES, G. N.","Revista IBRACON de Estruturas e Materiais; 9(1); 1-21","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000100002&lang=pt" 
"S0034-70942016000100007-scl","Effect of nitrous oxide on fentanyl consumption in burned patients undergoing dressing change","Vale, Arthur Halley Barbosa do, Videira, Rogério Luiz da Rocha, Gomez, David Souza, Carmona, Maria José Carvalho, Tsuchie, Sara Yume, Flório, Cláudia, Vane, Matheus Fachini, Posso, Irimar de Paula","Revista Brasileira de Anestesiologia; 66(1); 7-11","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000100007&lang=pt" 
"S0034-70942016000100075-scl","Treatment of patients with painful blind eye using stellate ganglion block","Xavier, Tatiana Vaz Horta, Oliveira, Thiago Robis de, Mendes, Tereza Cristina Bandeira Silva","Revista Brasileira de Anestesiologia; 66(1); 75-77","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000100075&lang=pt" 
"S1413-81232016000200389-spa","Saúde Bucal autorreferida da população adulta brasileira: resultados da Pesquisa Nacional de Saúde 2013","Nico, Lucélia Silva, Andrade, Silvânia Suely Caribé de Araújo, Malta, Deborah Carvalho, Pucca Júnior, Gilberto Alfredo, Peres, Marco Aurelio","Ciência &amp; Saúde Coletiva; 21(2); 389-398","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200389&lang=pt" 
"S1413-81232016000200641-spa","Temporal relationship between rainfall, temperature and occurrence of dengue cases in São Luís, Maranhão, Brazil","Silva, Fabrício Drummond, Santos, Alcione Miranda dos, Corrêa, Rita da Graça Carvalhal Frazão, Caldas, Arlene de Jesus Mendes","Ciência &amp; Saúde Coletiva; 21(2); 641-646","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200641&lang=pt" 
"S0034-70942016000100055-scl","Survey of postoperative residual curarization, acute respiratory events and approach of anesthesiologists","Aytac, Ismail, Postaci, Aysun, Aytac, Betul, Sacan, Ozlem, Alay, Gulcin Hilal, Celik, Bulent, Kahveci, Kadriye, Dikmen, Bayazit","Revista Brasileira de Anestesiologia; 66(1); 55-62","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000100055&lang=pt" 
"S0034-70942016000100105-scl","Profile of drug administration errors in anesthesia among anesthesiologists from Santa Catarina","Erdmann, Thomas Rolf, Garcia, Jorge Hamilton Soares, Loureiro, Marcos Lázaro, Monteiro, Marcelo Petruccelli, Brunharo, Guilherme Muriano","Revista Brasileira de Anestesiologia; 66(1); 105-110","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000100105&lang=pt" 
"S0034-70942016000100094-scl","Translation and transcultural adaptation of Pain Quality Assessment Scale (PQAS) to brazilian version","Carvalho, Anamada Barros, Garcia, João Batista Santos, Silva, Thayanne Kelly Muniz, Ribeiro, João Victor Fonseca","Revista Brasileira de Anestesiologia; 66(1); 94-104","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000100094&lang=pt" 
"S1413-81232016000200647-spa","Feminilidades: corpos e sexualidades em debate","Villela, Wilza Vieira","Ciência &amp; Saúde Coletiva; 21(2); 647-648","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200647&lang=pt" 
"S1413-81232016000200379-spa","Modos de vida entre pessoas que tiveram câncer no Brasil em 2013","Silva, Gulnar Azevedo e, Rezende, Leandro Fórnias Machado de, Gomes, Fabio da Silva, Souza Júnior, Paulo Roberto Borges de, Szwarcwald, Celia Landman, Eluf Neto, José","Ciência &amp; Saúde Coletiva; 21(2); 379-388","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200379&lang=pt" 
"S1413-81232016000200339-spa","Percepção da população brasileira sobre a assistência prestada pelo médico. Brasil, 2013","Szwarcwald, Célia Landman, Damacena, Giseli Nogueira, Souza Júnior, Paulo Roberto Borges de, Almeida, Wanessa da Silva, Malta, Deborah Carvalho","Ciência &amp; Saúde Coletiva; 21(2); 339-350","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200339&lang=pt" 
"S1413-81232016000200485-spa","Study of mortality from infectious diseases in Brazil from 2005 to 2010: risks involved in handling corpses","Cardoso, Telma Abdalla de Oliveira, Vieira, Duarte Nuno","Ciência &amp; Saúde Coletiva; 21(2); 485-496","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200485&lang=pt" 
"S0034-70942016000100029-scl","Comparative effects of vitamin C on the effects of local anesthetics ropivacaine, bupivacaine, and lidocaine on human chondrocytes","Tian, Jun, Li, Yan","Revista Brasileira de Anestesiologia; 66(1); 29-36","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000100029&lang=pt" 
"S1983-41952016000100123-scl","Experimental analysis of reinforced concrete beams strengthened in bending with carbon fiber reinforced polymer","VIEIRA, M. M., SANTOS, A. R. S., MONT&#039;ALVERNE, A. M., BEZERRA, L. M., MONTENEGRO, L. C. S., CABRAL, A. E. B.","Revista IBRACON de Estruturas e Materiais; 9(1); 123-152","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000100123&lang=pt" 
"S1983-41952016000100048-scl","Particle packing of cement and silica fume in pastes using an analytical model","HERMANN, A., LANGARO, E. A., SILVA, S. H. LOPES DA, KLEIN, N. S.","Revista IBRACON de Estruturas e Materiais; 9(1); 48-65","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000100048&lang=pt" 
"S0034-70942016000100063-scl","Digital block with or without the addition of epinephrine in the anesthetic solution","Reis Júnior, Almiro dos, Quinto, Denise","Revista Brasileira de Anestesiologia; 66(1); 63-71","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000100063&lang=pt" 
"S0034-70942016000100012-scl","Effects of a novel method of anesthesia combining propofol and volatile anesthesia on the incidence of postoperative nausea and vomiting in patients undergoing laparoscopic gynecological surgery","Kawano, Hiroaki, Ohshita, Naohiro, Katome, Kimiko, Kadota, Takako, Kinoshita, Michiko, Matsuoka, Yayoi, Tsutsumi, Yasuo M., Kawahito, Shinji, Tanaka, Katsuya, Oshita, Shuzo","Revista Brasileira de Anestesiologia; 66(1); 12-18","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000100012&lang=pt" 
"S1413-81232016000200591-spa","Prevalência e fatores associados à violência por parceiro íntimo em mulheres de uma comunidade em Recife/Pernambuco, Brasil","Barros, Érika Neves de, Silva, Maria Arleide, Falbo Neto, Gilliatt Hanois, Lucena, Sara Gomes, Ponzo, Lucas, Pimentel, Amanda Patrícia","Ciência &amp; Saúde Coletiva; 21(2); 591-598","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200591&lang=pt" 
"S1413-81232016000200431-spa","Salud mental en la comunidad en situaciones de desastre. Una revisión de los modelos de abordaje en la comunidad","Abeldaño, Roberto Ariel, Fernández, Ruth","Ciência &amp; Saúde Coletiva; 21(2); 431-442","Ciência &amp; Saúde Coletiva","Inglês, Espanhol","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200431&lang=pt" 
"S1413-81232016000200497-spa","Qualidade de vida em pacientes da atenção primária do Rio de Janeiro e São Paulo, Brasil: associações com eventos de vida produtores de estresse e saúde mental","Portugal, Flávia Batista, Campos, Mônica Rodrigues, Gonçalves, Daniel Almeida, Mari, Jair de Jesus, Fortes, Sandra Lúcia Correia Lima","Ciência &amp; Saúde Coletiva; 21(2); 497-508","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200497&lang=pt" 
"S1413-81232016000200599-spa","Dificuldades para alimentação saudável entre usuários da atenção básica em saúde e fatores associados","Lindemann, Ivana Loraine, Oliveira, Riceli Rodeghiero, Mendoza-Sassi, Raúl Andres","Ciência &amp; Saúde Coletiva; 21(2); 599-610","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200599&lang=pt" 
"S1983-41952016000100091-scl","Use of 3D laser scanning for flatness and volumetric analysis of mortar in facades","ISRAEL, M. C., PILEGGI, R. G.","Revista IBRACON de Estruturas e Materiais; 9(1); 91-122","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000100091&lang=pt" 
"S1983-41952016000100022-scl","Analytical model for assessing of strengthening the flexural beams with T and rectangular section","ANDREOLLI, I.","Revista IBRACON de Estruturas e Materiais; 9(1); 22-47","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000100022&lang=pt" 
"S1413-81232016000200509-spa","Poluentes do ar e internações devido a doenças cardiovasculares em São José do Rio Preto, Brasil","Mantovani, Kátia Cristina Cota, Nascimento, Luiz Fernando Costa, Moreira, Demerval Soares, Vieira, Luciana Cristina Pompeo Ferreira da Silva, Vargas, Nicole Patto","Ciência &amp; Saúde Coletiva; 21(2); 509-516","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200509&lang=pt" 
"S1413-81232016000200531-spa","Práticas alimentares de estudantes cotistas e não cotistas de uma universidade pública brasileira","Perez, Patrícia Maria Périco, Castro, Inês Rugani Ribeiro de, Franco, Amanda da Silva, Bandoni, Daniel Henrique, Wolkoff, Daisy Blumenberg","Ciência &amp; Saúde Coletiva; 21(2); 531-542","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200531&lang=pt" 
"S1413-81232016000200327-spa","A Cobertura da Estratégia de Saúde da Família (ESF) no Brasil, segundo a Pesquisa Nacional de Saúde, 2013","Malta, Deborah Carvalho, Santos, Maria Aline Siqueira, Stopa, Sheila Rizzato, Vieira, José Eudes Barroso, Melo, Eduardo Alves, Reis, Ademar Arthur Chioro dos","Ciência &amp; Saúde Coletiva; 21(2); 327-338","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200327&lang=pt" 
"S1983-41952016000100066-scl","Potential reactivity of granitic rocks. Petrographic characterization vs accelerated expansion tests","RAMOS, V., FERNANDES, I., SILVA, A. S., SOARES, D., NORONHA, F.","Revista IBRACON de Estruturas e Materiais; 9(1); 66-74","Revista IBRACON de Estruturas e Materiais","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000100066&lang=pt" 
"S1413-81232016000200517-spa","Anemia e deficiência de micronutrientes em lactentes atendidos em unidades básicas de saúde em Rio Branco, Acre, Brasil","Oliveira, Cristieli Sérgio de Menezes, Augusto, Rosângela Aparecida, Muniz, Pascoal Torres, Silva, Sara Araújo da, Cardoso, Marly Augusto","Ciência &amp; Saúde Coletiva; 21(2); 517-530","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200517&lang=pt" 
"S0034-70942016000100037-scl","Effectiveness of dexmedetomidine for emergence agitation in infants undergoing palatoplasty: a randomized controlled trial","Boku, Aiji, Hanamoto, Hiroshi, Oyamaguchi, Aiko, Inoue, Mika, Morimoto, Yoshinari, Niwa, Hitoshi","Revista Brasileira de Anestesiologia; 66(1); 37-43","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000100037&lang=pt" 
"S1413-81232016000200399-spa","Lesões no trânsito e uso de equipamento de proteção na população brasileira, segundo estudo de base populacional","Malta, Deborah Carvalho, Andrade, Silvânia Suely Caribé de Araújo, Gomes, Nayara, Silva, Marta Maria Alves da, Morais Neto, Otaliba Libânio de, Reis, Ademar Arthur Chioro dos, Nardi, Antônio Carlos Figueiredo","Ciência &amp; Saúde Coletiva; 21(2); 399-410","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200399&lang=pt" 
"S1413-81232016000200621-spa","Percepções da população e de profissionais de saúde sobre a leishmaniose visceral","Carmo, Rose Ferraz, Luz, Zélia Maria Profeta da, Bevilacqua, Paula Dias","Ciência &amp; Saúde Coletiva; 21(2); 621-628","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200621&lang=pt" 
"S1413-81232016000200449-spa","Estudos de avaliação do conhecimento nutricional de adultos: uma revisão sistemática","Barbosa, Lídia Bezerra, Vasconcelos, Sandra Mary Lima, Correia, Lourani Oliveira dos Santos, Ferreira, Raphaela Costa","Ciência &amp; Saúde Coletiva; 21(2); 449-462","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200449&lang=pt" 
"S1413-81232016000200629-spa","A construção da sexologia como profissão em Portugal: composição de um grupo profissional e tipos de sexólogos","Alarcão, Violeta, Machado, Fernando Luís, Giami, Alain","Ciência &amp; Saúde Coletiva; 21(2); 629-640","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200629&lang=pt" 
"S0034-70942016000100044-scl","Comparison of tramadol and lornoxicam in intravenous regional anesthesia: a randomized controlled trial","Çelik, Hande, Abdullayev, Ruslan, Akçaboy, Erkan Y., Baydar, Mustafa, Gögüs, Nermin","Revista Brasileira de Anestesiologia; 66(1); 44-49","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000100044&lang=pt" 
"S1983-41952016000100075-scl","The influence of recycled concrete aggregates in pervious concrete","TAVARES, L. M., KAZMIERCZAK, C. S.","Revista IBRACON de Estruturas e Materiais; 9(1); 75-89","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000100075&lang=pt" 
"S1413-81232016000200475-spa","Conhecimento dos pacientes sobre medicamentos prescritos por odontólogos no sul do Brasil","Dresch, Ana Paula, Amador, Tânia Alves, Heineck, Isabela","Ciência &amp; Saúde Coletiva; 21(2); 475-484","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200475&lang=pt" 
"S1413-81232016000200611-spa","Análise de três estratégias de educação em saúde para portadores de hipertensão arterial","Machado, Juliana Costa, Cotta, Rosângela Minardi Mitre, Moreira, Tiago Ricardo, Silva, Luciana Saraiva da","Ciência &amp; Saúde Coletiva; 21(2); 611-620","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200611&lang=pt" 
"S1413-81232016000200423-spa","Osteoarticular diseases and physical performance of Brazilians over 80 years old","Santos, Vanessa Ribeiro dos, Gobbo, Luís Alberto, Christofaro, Diego Giulliano Destro, Gomes, Igor Conterato, Mota, Jorge, Gobbi, Sebastião, Freitas Júnior, Ismael Forte","Ciência &amp; Saúde Coletiva; 21(2); 423-430","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200423&lang=pt" 
"S1413-81232016000200573-spa","Association between untreated dental caries and household food insecurity in schoolchildren","Santin, Gabriela Cristina, Pintarelli, Tatiana Pegoretti, Fraiz, Fabian Calixto, Oliveira, Ana Cristina Borges de, Paiva, Saul Martins, Ferreira, Fernanda Morais","Ciência &amp; Saúde Coletiva; 21(2); 573-584","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200573&lang=pt" 
"S0034-70942016000100019-scl","A randomised comparative study of the effect of Airtraq optical laryngoscope vs. Macintosh laryngoscope on intraocular pressure in non-ophthalmic surgery","Das, Bikramjit, Samal, Rajiv Kumar, Ghosh, Arup, Kundu, Ratul","Revista Brasileira de Anestesiologia; 66(1); 19-23","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000100019&lang=pt" 
"S1413-81232016000200563-spa","Serviços de aborto legal no Brasil – um estudo nacional","Madeiro, Alberto Pereira, Diniz, Debora","Ciência &amp; Saúde Coletiva; 21(2); 563-572","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200563&lang=pt" 
"S1413-81232016000200463-spa","Qualidade de vida relacionada à saúde entre adultos e fatores associados: um estudo de base populacional","Noronha, Daniele Durães, Martins, Andréa Maria Eleutério de Barros Lima, Dias, Diego dos Santos, Silveira, Marise Fagundes, Paula, Alfredo Maurício Batista De, Haikal, Desirée Sant Ana","Ciência &amp; Saúde Coletiva; 21(2); 463-474","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000200463&lang=pt" 
"S0034-70942016000100050-scl","Sphenopalatine ganglion pulsed radiofrequency treatment in patients suffering from chronic face and head pain","Akbas, Mert, Gunduz, Emel, Sanli, Suat, Yegin, Arif","Revista Brasileira de Anestesiologia; 66(1); 50-54","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000100050&lang=pt" 
"S1983-41952016000100001-scl","Editorial","Campos Filho, Américo, Sousa, José Luiz Antunes de Oliveira e, Pileggi, Rafael Giuliano, Pinto, Roberto Caldas de Andrade","Revista IBRACON de Estruturas e Materiais; 9(1); 1-1","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000100001&lang=pt" 
"S0066-782X2016000200097-scl","Alternatives to Aerobic Exercise Prescription in Patients with Chronic Heart Failure","Oliveira, Mayron F, Zanussi, Gabriela, Sprovieri, Bianca, Lobo, Denise M. L., Mastrocolla, Luiz E, Umeda, Iracema I. K., Sperandio, Priscila A","Arquivos Brasileiros de Cardiologia; 106(2); 97-104","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000200097&lang=pt" 
"S0066-782X2016000200105-scl","Association between Functional Variables and Heart Failure after Myocardial Infarction in Rats","Polegato, Bertha F., Minicucci, Marcos F., Azevedo, Paula S., Gonçalves, Andréa F., Lima, Aline F., Martinez, Paula F., Okoshi, Marina P., Okoshi, Katashi, Paiva, Sergio A. R., Zornoff, Leonardo A. M.","Arquivos Brasileiros de Cardiologia; 106(2); 105-112","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000200105&lang=pt" 
"S0066-782X2016000200121-scl","Galectin-3: A Link between Myocardial and Arterial Stiffening in Patients with Acute Decompensated Heart Failure?","Lala, Radu Ioan, Darabantiu, Dan, Pilat, Luminita, Puschita, Maria","Arquivos Brasileiros de Cardiologia; 106(2); 121-129","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000200121&lang=pt" 
"S0066-782X2016000200130-scl","Resilience in Patients with Ischemic Heart Disease","Lemos, Conceição Maria Martins de, Moraes, David William, Pellanda, Lucia Campos","Arquivos Brasileiros de Cardiologia; 106(2); 130-135","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000200130&lang=pt" 
"S0066-782X2016000200113-scl","Maternal Factors and Adverse Perinatal Outcomes in Women with Preeclampsia in Maceió, Alagoas","Oliveira, Alane Cabral Menezes de, Santos, Arianne Albuquerque, Bezerra, Alexandra Rodrigues, Barros, Amanda Maria Rocha de, Tavares, Myrian Cicyanne Machado","Arquivos Brasileiros de Cardiologia; 106(2); 113-120","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000200113&lang=pt" 
"S0066-782X2016000200084-scl","Predictors of Atrial Fibrillation Recurrence in Hyperthyroid and Euthyroid Patients","Gürdoğan, Muhammet, Ari, Hasan, Tenekecioğlu, Erhan, Ari, Selma, Bozat, Tahsin, Koca, Vedat, Melek, Mehmet","Arquivos Brasileiros de Cardiologia; 106(2); 84-91","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000200084&lang=pt" 
