"S0103-90162015000500432-scl","Composting sewage sludge with green waste from tree pruning","Moretti, Sarah Mello Leite, Bertoncini, Edna Ivani, Abreu-Junior, Cassio Hamilton","Scientia Agricola; 72(5); 432-439","Scientia Agricola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162015000500432&lang=pt" 
"S0004-27492015000550086-scl","Epilens membrane simulating cataract in children with uveitis: a report of three cases","Paiva, Roberta, Nascimento, Heloisa, Salomão, Gustavo, Freitas, Lincoln, Muccioli, Cristina, Belfort Jr., Rubens","Arquivos Brasileiros de Oftalmologia; 78(5); 326-327","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550086&lang=pt" 
"S0004-27492015000550081-scl","Traumatic wound dehiscence after corneal keratoplasty","Tzelikis, Patrick Frensel, Fenelon, Eduardo Muniz, Yoshimoto, Rodrigo Rodrigues, Rascop, Gustavo Peixoto, Queiroz, Rodrigo Lafetá, Hida, Wilson Takashi","Arquivos Brasileiros de Oftalmologia; 78(5); 310-312","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550081&lang=pt" 
"S0004-27492015000550083-scl","Successful treatment of ligneous conjunctivitis with topical fresh frozen plasma in an infant","Tunay, Zuhal Özen, Özdemir, Özdemir, Acar, Damla, gül, Ece, Akbay, Serap","Arquivos Brasileiros de Oftalmologia; 78(5); 318-319","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550083&lang=pt" 
"S1413-81232015001003275-scl","Trajetórias de Joaquim Alberto Cardoso de Melo: Quincas, Um berro à vida","Zancan, Lenira, Matida, Álvaro Hideyoshi","Ciência &amp; Saúde Coletiva; 20(10); 3275-3282","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003275&lang=pt" 
"S0004-282X2015001000821-scl","Cognitive deficit and aphasia – a challenging diagnosis","Brucki, Sonia M. D.","Arquivos de Neuro-Psiquiatria; 73(10); 821-822","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000821&lang=pt" 
"S0004-27492015000550073-scl","Visual function and macular architecture in patients with inactive zone 2 and 3 toxoplasmic retinochoroiditis","Azevedo, Mariana Honório de, Moura, Guilherme Lucena, Camilo, Eduardo Nery Rossi, Muccioli, Cristina, Arantes, Tiago Eugênio Faria e","Arquivos Brasileiros de Oftalmologia; 78(5); 273-277","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550073&lang=pt" 
"S0004-27492015000550075-scl","A comparison study of corneal topographic changes following 20-, 23-, and 25-G pars plana vitrectomy","Grandinetti, Alexandre Achille, Kniggendorf, Vinicius, Moreira, Luciane Bugmann, Moreira Junior, Carlos Augusto, Moreira, Ana Tereza Ramos","Arquivos Brasileiros de Oftalmologia; 78(5); 283-285","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550075&lang=pt" 
"S1413-81232015001003163-scl","Uma análise da prevenção do câncer de mama no Brasil","Rodrigues, Juliana Dantas, Cruz, Mércia Santos, Paixão, Adriano Nascimento","Ciência &amp; Saúde Coletiva; 20(10); 3163-3176","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003163&lang=pt" 
"S0004-282X2015001000887-scl","The seminal role played by Pierre Marie in Neurology and Internal Medicine","Almeida, Gustavo M, Germiniani, Francisco M. B., Teive, Hélio A. G.","Arquivos de Neuro-Psiquiatria; 73(10); 887-889","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000887&lang=pt" 
"S1413-81232015001003231-scl","Políticas públicas de humanização: revisão integrativa da literatura","Moreira, Márcia Adriana Dias Meirelles, Lustosa, Abdon Moreira, Dutra, Fernando, Barros, Eveline de Oliveira, Batista, Jaqueline Brito Vidal, Duarte, Marcella Costa Souto","Ciência &amp; Saúde Coletiva; 20(10); 3231-3242","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003231&lang=pt" 
"S0004-282X2015001000852-scl","Analysis of cerebrospinal fluid in racemose form of neurocysticercosis","Bazan, Rodrigo, Odashima, Newton Satoru, Luvizutto, Gustavo José, Hamamoto Filho, Pedro Tadao, Zanini, Marco Antonio, Takayanagui, Osvaldo Massaiti","Arquivos de Neuro-Psiquiatria; 73(10); 852-855","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000852&lang=pt" 
"S0004-282X2015001000856-scl","Electroconvulsive therapy in Parkinson´s disease","Calderón-Fajardo, Humberto, Cervantes-Arriaga, Amin, Llorens-Arenas, Rodrigo, Ramírez-Bermudez, Jesús, Ruiz-Chow, Ángel, Rodríguez-Violante, Mayela","Arquivos de Neuro-Psiquiatria; 73(10); 856-860","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000856&lang=pt" 
"S1413-81232015001003063-scl","Entre &quot;feudos&quot; e cogestão: paradoxos da autonomia em uma experiência de democratização da gestão no âmbito hospitalar","Silva, Atila Mendes da, Sá, Marilene de Castilho, Miranda, Lilian","Ciência &amp; Saúde Coletiva; 20(10); 3063-3072","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003063&lang=pt" 
"S1413-81232015001003021-scl","Produzir saúde suscita adoecimento? As contradições do trabalho em hospitais públicos de urgência e emergência","Rosado, Iana Vasconcelos Moreira, Russo, Gláucia Helena Araújo, Maia, Eulália Maria Chaves","Ciência &amp; Saúde Coletiva; 20(10); 3021-3032","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003021&lang=pt" 
"S0004-27492015000550080-scl","Quantitative analysis of iris parameters in keratoconus patients using optical coherence tomography","Bonfadini, Gustavo, Arora, Karun, Vianna, Lucas M., Campos, Mauro, Friedman, David, Muñoz, Beatriz, Jun, Albert S.","Arquivos Brasileiros de Oftalmologia; 78(5); 305-309","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550080&lang=pt" 
"S0004-27492015000550082-scl","Surgical management of intraocular lens dislocations","Gul, Adem, Duran, Mustafa, Can, Ertugrul, Yucel, Ozlem Eski, Sullu, Yuksel","Arquivos Brasileiros de Oftalmologia; 78(5); 313-317","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550082&lang=pt" 
"S0004-282X2015001000861-scl","Injecction of trigger points in the temporal muscles of patients with miofascial syndrome","Sabatke, Svetlana, Scola, Rosana Herminia, Paiva, Eduardo S., Kowacs, Pedro André","Arquivos de Neuro-Psiquiatria; 73(10); 861-866","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000861&lang=pt" 
"S0004-282X2015001000867-scl","BRBN-T validation: adaptation of the Selective Reminding Test and Word List Generation","Neves, Mariana Rigueiro, Passos, Ana Margarida, Ferreira, Aristides, Sousa, Cláudia, Sá, Andreia, Sá, Maria José","Arquivos de Neuro-Psiquiatria; 73(10); 867-872","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000867&lang=pt" 
"S1413-81232015001002999-scl","Avaliabilidade do Programa de Valorização do Profissional da Atenção Básica (PROVAB): desafios para gestão do trabalho","Oliveira, Catia Martins, Cruz, Marly Marques da, Kanso, Solange, Reis, Ana Cristina, Lima, Antônio, Torres, Raquel Maria Cardoso, Gonçalves, Aline Leal, Carvalho, Silvia Cristina de, Grabois, Victor","Ciência &amp; Saúde Coletiva; 20(10); 2999-3010","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001002999&lang=pt" 
"S1413-81232015001003033-scl","Equipe de saúde: negociações e limites da autonomia, pertencimento e reconhecimento do outro","Silva, Elaine Menezes da, Moreira, Martha Cristina Nunes","Ciência &amp; Saúde Coletiva; 20(10); 3033-3042","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003033&lang=pt" 
"S0004-282X2015001000834-scl","Sensory deficits in ipsilesional upper-extremity in chronic stroke patients","Lima, Núbia Maria Freire Vieira, Menegatti, Karina Cândido, Yu, Érica, Sacomoto, Natália Yumi, Scalha, Thais Botossi, Lima, Illia Nadinne Dantas Florentino, Camara, Saionara Maria Aires da, Souza, Marcelo Cardoso de, Cacho, Roberta de Oliveira, Cacho, Enio Walker de Azevedo, Honorato, Donizeti Cesar","Arquivos de Neuro-Psiquiatria; 73(10); 834-839","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000834&lang=pt" 
"S1413-81232015001003121-scl","Necessidade e alocação de laboratórios regionais de prótese dentária no Brasil: um estudo exploratório","Aguiar, Violeta Rodrigues, Celeste, Roger Keller","Ciência &amp; Saúde Coletiva; 20(10); 3121-3128","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003121&lang=pt" 
"S1413-81232015001003129-scl","O valor social dos dentes e o acesso aos serviços odontológicos","Fonseca, Luciara Leão Viana, Nehmy, Rosa Maria Quadros, Mota, Joaquim Antônio César","Ciência &amp; Saúde Coletiva; 20(10); 3129-3138","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003129&lang=pt" 
"S1413-81232015001003011-scl","A síndrome de burnout em profissionais da Rede de Atenção Primária à Saúde de Aracaju, Brasil","Silva, Salvyana Carla Palmeira Sarmento, Nunes, Marco Antonio Prado, Santana, Vanessa Rocha, Reis, Francisco Prado, Machado Neto, José, Lima, Sonia Oliveira","Ciência &amp; Saúde Coletiva; 20(10); 3011-3020","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003011&lang=pt" 
"S1413-81232015001002973-scl","Orçamento público, região e financiamento em saúde: rendas do petróleo e desigualdades entre municípios","Barros, Delba Machado, Lima, Luciana Dias de","Ciência &amp; Saúde Coletiva; 20(10); 2973-2984","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001002973&lang=pt" 
"S0004-282X2015001000840-scl","Cognitive deficits in post-stroke aphasia","Bonini, Milena V., Radanovic, Márcia","Arquivos de Neuro-Psiquiatria; 73(10); 840-847","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000840&lang=pt" 
"S0004-282X2015001000848-scl","Is a second cycle of immunoglobulin justified in axonal forms of Guillain-Barré syndrome?","Godoy, Daniel Agustin, Rabinstein, Alejandro","Arquivos de Neuro-Psiquiatria; 73(10); 848-851","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000848&lang=pt" 
"S1413-81232015001003051-scl","A arte do improviso: o processo de trabalho dos gestores de um Hospital Universitário Federal","Littike, Denilda, Sodré, Francis","Ciência &amp; Saúde Coletiva; 20(10); 3051-3062","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003051&lang=pt" 
"S1413-81232015001003151-scl","Práticas assistenciais em saúde mental na atenção primária à saúde: análise a partir de experiências desenvolvidas em Florianópolis, Brasil","Frosi, Raquel Valiente, Tesser, Charles Dalcanale","Ciência &amp; Saúde Coletiva; 20(10); 3151-3161","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003151&lang=pt" 
"S1413-81232015001002957-scl","Contribuições das conferências nacionais de saúde na definição de políticas públicas de ambiente e informação em saúde","Stedile, Nilva Lúcia Rech, Guimarães, Maria Cristina Soares, Ferla, Alcindo Antonio, Freire, Rafaela Cordeiro","Ciência &amp; Saúde Coletiva; 20(10); 2957-2971","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001002957&lang=pt" 
"S1413-81232015001003111-scl","A Interface entre a Atenção Primária e os Serviços Odontológicos de Urgência (SOU) no SUS: a interface entre níveis de atenção em saúde bucal","Austregésilo, Silvia Carréra, Leal, Márcia Carréra Campos, Figueiredo, Nilcema, Góes, Paulo Sávio Angeiras de","Ciência &amp; Saúde Coletiva; 20(10); 3111-3120","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003111&lang=pt" 
"S0004-282X2015001000823-scl","Non-progressive cerebellar ataxia and previous undetermined acute cerebellar injury: a mysterious clinical condition","Pinto, Wladimir Bocca Vieira de Rezende, Pedroso, José Luiz, Souza, Paulo Victor Sgobbi de, Albuquerque, Marcus Vinícius Cristino de, Barsottini, Orlando Graziani Povoas","Arquivos de Neuro-Psiquiatria; 73(10); 823-827","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000823&lang=pt" 
"S0004-282X2015001000828-scl","Patients with multiple sclerosis do not necessarily consume more alcohol or tobacco than the general population","Fragoso, Yara Dadalti, Gomes, Sidney, Goncalves, Marcus Vinicius M., Machado, Suzana C. Nunes, Morales, Rogerio de Rizo, Oliveira, Francisco Tomas M. de, Oliveira, João Filipe de, Olmo, Neide R. Simoes, Parolin, Monica K. Fiuza, Siquineli, Fabio, Stoney, Patrick N.","Arquivos de Neuro-Psiquiatria; 73(10); 828-833","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000828&lang=pt" 
"S1413-81232015001003043-scl","A flexibilização das relações de trabalho na saúde: a realidade de um Hospital Universitário Federal","Alves, Sheila Maria Parreira, Coelho, Maria Carlota de Rezende, Borges, Luiz Henrique, Cruz, César Albenes de Mendonça, Massaroni, Leila, Maciel, Paulete Maria Ambrósio","Ciência &amp; Saúde Coletiva; 20(10); 3043-3050","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003043&lang=pt" 
"S0004-27492015000550078-scl","Comparison of 1% cyclosporine eye drops in olive oil and in linseed oil to treat experimentally-induced keratoconjunctivitis sicca in rabbits","Parrilha, Leticia Rodrigues, Nai, Gisele Alborghetti, Giuffrida, Rogério, Barbero, Rafael Cabral, Padovani, Leticia Dias Fabris, Pereira, Ricardo Henrique Zaquir, Silva, Danielle Alves, Silva, Mariele Catherine Alves, Diniz, Miriely Stein, Andrade, Silvia Franco","Arquivos Brasileiros de Oftalmologia; 78(5); 295-299","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550078&lang=pt" 
"S0004-27492015000550079-scl","Evaluation of 2-year outcomes following intravitreal bevacizumab (IVB) for aggressive posterior retinopathy of prematurity","Gunay, Murat, Celik, Gokhan, Gunay, Betul Onal, Aktas, Alev, Karatekin, Guner, Ovali, Fahri","Arquivos Brasileiros de Oftalmologia; 78(5); 300-304","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550079&lang=pt" 
"S0004-27492015000550072-scl","Cataract surgery alone cannot be considered an IOP-lowering procedure for open-angle glaucoma patients: an evidence-based perspective","Prata, Tiago Santos, Ushida, Michele, Dorairaj, Syril","Arquivos Brasileiros de Oftalmologia; 78(5); V-VI","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550072&lang=pt" 
"S0004-27492015000550074-scl","Measurement and clinical implications of choroidal thickness in patients with inflammatory bowel disease","Onal, Ibrahim Koral, Yuksel, Erdem, Bayrakceken, Kemal, Demir, Muhammed Mustafa, Karaca, Emine Esra, Ibis, Mehmet, Alizadeh, Nasser, Sargin, Zeynep Gok, Hondur, Ahmet Murat, Arhan, Mehmet","Arquivos Brasileiros de Oftalmologia; 78(5); 278-282","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550074&lang=pt" 
"S0004-27492015000550076-scl","Phacoemulsificatıon in eyes wıth cataract and high myopia","Cetinkaya, Servet, Acir, Nursen Oncel, Cetinkaya, Yasemin Fatma, Dadaci, Zeynep, Yener, Halil İbrahim, Saglam, Faik","Arquivos Brasileiros de Oftalmologia; 78(5); 286-289","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550076&lang=pt" 
"S0004-27492015000550077-scl","Influence of VEGF-C936T genetic variant on age-related macular degeneration","Gonçalves, Fernanda Tanaka Iasbeck, Cezario, Sabrina Mayara, Calastri, Maria Clara Jessica, Oliveira, Camila Ive Ferreira, Souza, Dorotéia Rossi Silva, Pinhel, Marcela Augusta de Souza, Cotrim, Carina Costa, Jorge, Rodrigo, Siqueira, Rubens Camargo","Arquivos Brasileiros de Oftalmologia; 78(5); 290-294","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550077&lang=pt" 
"S1413-81232015001003139-scl","Considerações sobre a acessibilidade nos Centros de Atenção Psicossocial no Brasil","Costa, Nilson do Rosário, Corrêa, Suzane Gattass de Paula, Silva, Paulo Roberto Fagundes da","Ciência &amp; Saúde Coletiva; 20(10); 3139-3150","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003139&lang=pt" 
"S1413-81232015001003255-scl","Saúde Mental: como as equipes de Saúde da Família podem integrar esse cuidado na Atenção Básica?","Gryschek, Guilherme, Pinto, Adriana Avanzi Marques","Ciência &amp; Saúde Coletiva; 20(10); 3255-3262","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003255&lang=pt" 
"S1413-81232015001002930-scl","A ligação em falta no caminho para a Cobertura Universal de Saúde: a gestão","Dussault, Gilles","Ciência &amp; Saúde Coletiva; 20(10); 2930-2930","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001002930&lang=pt" 
"S0004-282X2015001000873-scl","Current issues in the respiratory care of patients with amyotrophic lateral sclerosis","Orsini, Marco, Lopes, Agnaldo José, Menezes, Sara Lucia Silveira de, Oliveira, Acary Bulle, Freitas, Marcos Raimundo Gomes de, Nascimento, Osvaldo Jose Moreira do, Guimarães, Fernando Silva","Arquivos de Neuro-Psiquiatria; 73(10); 873-876","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000873&lang=pt" 
"S1413-81232015001002933-scl","A scoping review of definitions and frameworks of intersectoral action","Dubois, Alejandra, St-Pierre, Louise, Veras, Mirella","Ciência &amp; Saúde Coletiva; 20(10); 2933-2942","Ciência &amp; Saúde Coletiva","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001002933&lang=pt" 
"S1413-81232015001003099-scl","Hortas comunitárias como atividade promotora de saúde: uma experiência em Unidades Básicas de Saúde","Costa, Christiane Gasparini Araújo, Garcia, Mariana Tarricone, Ribeiro, Silvana Maria, Salandini, Marcia Fernanda de Sousa, Bógus, Cláudia Maria","Ciência &amp; Saúde Coletiva; 20(10); 3099-3110","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003099&lang=pt" 
"S1413-81232015001003191-scl","Análise do perfil de pacientes com HIV/Aids hospitalizados após introdução da terapia antirretroviral (HAART)","Nunes, Altacílio Aparecido, Caliani, Laís Scalone, Nunes, Maíra Souza, Silva, Anderson Soares da, Mello, Luane Marques de","Ciência &amp; Saúde Coletiva; 20(10); 3191-3198","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003191&lang=pt" 
"S1413-81232015001003199-scl","O modelo de atenção diferenciada nos Distritos Sanitários Especiais Indígenas: reflexões a partir do Alto Rio Negro/AM, Brasil","Pontes, Ana Lucia de Moura, Rego, Sergio, Garnelo, Luiza","Ciência &amp; Saúde Coletiva; 20(10); 3199-3210","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003199&lang=pt" 
"S1413-81232015001002943-scl","Programa &quot;Farmácia Popular do Brasil&quot;: caracterização e evolução entre 2004-2012","Silva, Rondineli Mendes da, Caetano, Rosangela","Ciência &amp; Saúde Coletiva; 20(10); 2943-2956","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001002943&lang=pt" 
"S1413-81232015001003073-scl","Configuração das práticas de inovação na atenção primária à saúde: estudo de caso","Nodari, Cristine Hermann, Camargo, Maria Emilia, Olea, Pelayo Munhoz, Dorion, Eric Charles Henri, Claus, Suzete Marchetto","Ciência &amp; Saúde Coletiva; 20(10); 3073-3086","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003073&lang=pt" 
"S0004-282X2015001000891-scl","Brain MRI features in late-onset nonketotic hyperglycinemia","Pinto, Wladimir Bocca Vieira de Rezende, Souza, Paulo Victor Sgobbi de, Santos, Adrialdo José","Arquivos de Neuro-Psiquiatria; 73(10); 891-891","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000891&lang=pt" 
"S0004-282X2015001000892-scl","Stroke: an ongoing revolution","Cabral, Norberto, Conforto, Adriana B.","Arquivos de Neuro-Psiquiatria; 73(10); 892-893","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000892&lang=pt" 
"S0004-282X2015001000890-scl","Chronic stage of Marchiafava-Bignami disease","Lucato, Leandro Tavares, Freua, Fernando, Kok, Fernando","Arquivos de Neuro-Psiquiatria; 73(10); 890-890","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000890&lang=pt" 
"S0004-282X2015001000885-scl","Egas Moniz: twice a double life","Bertolote, José Manoel","Arquivos de Neuro-Psiquiatria; 73(10); 885-886","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000885&lang=pt" 
"S0004-282X2015001000819-scl","Non-progressive cerebellar ataxia with previous acute cerebellar injury of undetermined origin: a puzzling neurological disorder","Teive, Hélio Afonso Ghizoni","Arquivos de Neuro-Psiquiatria; 73(10); 819-820","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000819&lang=pt" 
"S1413-81232015001003283-scl","Telessaúde no Brasil – conceitos e aplicações","Pereira, Claudia Cristina Aguiar, Machado, Carla Jorge","Ciência &amp; Saúde Coletiva; 20(10); 3283-3284","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003283&lang=pt" 
"S1413-81232015001003287-scl","Errata","","Ciência &amp; Saúde Coletiva; 20(10); 3287-3287","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003287&lang=pt" 
"S1413-81232015001003285-scl","A detecção precoce do câncer de mama e o impacto do rastreamento mamográfico nas taxas de sobrevida","Soares, Leonardo Ribeiro, Freitas-Junior, Ruffo, Oliveira, José Carlos","Ciência &amp; Saúde Coletiva; 20(10); 3285-3286","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003285&lang=pt" 
"S0004-282X2015001000877-scl","OnabotulinumtoxinA for trigeminal neuralgia: a review of the available data","Kowacs, Pedro A., Utiumi, Marco A. T., Nascimento, Fábio A., Piovesan, Elcio J., Teive, Helio A. G.","Arquivos de Neuro-Psiquiatria; 73(10); 877-884","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001000877&lang=pt" 
"S1413-81232015001003263-scl","Uso, cuidado e política das práticas integrativas e complementares na Atenção Primária à Saúde","Contatore, Octávio Augusto, Barros, Nelson Filice de, Durval, Melissa Rossati, Barrio, Pedro Cristóvão Carneiro da Cunha, Coutinho, Bernardo Diniz, Santos, Júlia Amorim, Nascimento, Juliana Luporini do, Oliveira, Silene de Lima, Peres, Silvia Miguel de Paula","Ciência &amp; Saúde Coletiva; 20(10); 3263-3273","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003263&lang=pt" 
"S1413-81232015001003211-scl","Estudos de custo-efetividade em saúde no Brasil: uma revisão sistemática","Moraz, Gabriele, Garcez, Anderson da Silva, Assis, Eliseu Miranda de, Santos, Jandira Pereira dos, Barcellos, Nêmora Tregnago, Kroeff, Locimara Ramos","Ciência &amp; Saúde Coletiva; 20(10); 3211-3229","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003211&lang=pt" 
"S1413-81232015001002985-scl","Desigualdades sociais, políticas de saúde e formação de médicos, enfermeiros e dentistas no Brasil e em Portugal","Craveiro, Isabel Maria Rodrigues, Hortale, Virginia Alonso, Oliveira, Ana Paula Cavalcante de, Dussault, Gilles","Ciência &amp; Saúde Coletiva; 20(10); 2985-2998","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001002985&lang=pt" 
"S1413-81232015001003177-scl","Patient delays and system delays in breast cancer treatment in developed and developing countries","Freitas, Angela Gabrielly Quirino, Weller, Mathias","Ciência &amp; Saúde Coletiva; 20(10); 3177-3189","Ciência &amp; Saúde Coletiva","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003177&lang=pt" 
"S1413-81232015001003243-scl","Avaliação de serviços em saúde mental no Brasil: revisão sistemática da literatura","Costa, Pedro Henrique Antunes da, Colugnati, Fernando Antonio Basile, Ronzani, Telmo Mota","Ciência &amp; Saúde Coletiva; 20(10); 3243-3253","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003243&lang=pt" 
