"S0100-204X2014000400237-scl","Simulação do risco de deficit hídrico em regiões de expansão do cultivo de cana-de-açúcar no Brasil","Vianna, Murilo dos Santos, Sentelhas, Paulo Cesar","Pesquisa Agropecuária Brasileira; 49(4); 237-246","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000400237&lang=pt" 
"S0104-026X2014000100003-scl","Vendedoras: género y trabajo en el sector comercial (Buenos Aires, 1910-1950)","Queirolo, Graciela Amalia","Revista Estudos Feministas; 22(1); 29-50","Revista Estudos Feministas","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100003&lang=pt" 
"S0104-026X2014000100019-scl","Estudos de gênero e o cinema francês: entrevista com Geneviève Sellier","Veiga, Ana Maria, Silva, Alberto da","Revista Estudos Feministas; 22(1); 343-359","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100019&lang=pt" 
"S0104-026X2014000100006-scl","Mujeres cuidadoras en contextos de pobreza: el caso de los Programas de Transferencias Condicionados en Argentina","Zibecchi, Carla","Revista Estudos Feministas; 22(1); 91-113","Revista Estudos Feministas","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100006&lang=pt" 
"S0104-026X2014000100016-scl","Políticas públicas de segurança para a população LGBT no Brasil","Mello, Luiz, Avelar, Rezende Bruno de, Brito, Walderes","Revista Estudos Feministas; 22(1); 297-320","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100016&lang=pt" 
"S0104-026X2014000100017-scl","O feminismo bem-comportado de Heleieth Saffioti (presença do marxismo)","Pinto, Céli Regina Jardim","Revista Estudos Feministas; 22(1); 321-333","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100017&lang=pt" 
"S0104-026X2014000100014-scl","Las políticas reparativas del movimiento LGBT peruano: narrativas de afectos queer","Cornejo, Giancarlo","Revista Estudos Feministas; 22(1); 257-275","Revista Estudos Feministas","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100014&lang=pt" 
"S0104-026X2014000100015-scl","De Goiânia a &#039;Gayânia&#039;: notas sobre o surgimento do mercado &quot;GLS&quot; na capital do cerrado","Braz, Camilo","Revista Estudos Feministas; 22(1); 277-296","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100015&lang=pt" 
"S0104-026X2014000100012-scl","Condições e possibilidades de uma tecnopolítica de gênero/sexualidade","Goulart, Lucas Aguiar, Hennigen, Inês","Revista Estudos Feministas; 22(1); 215-236","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100012&lang=pt" 
"S0104-026X2014000100013-scl","Normas de gênero em um currículo escolar: a produção dicotômica de corpos e posições de sujeito meninos-alunos","Reis, Cristina d&#039;Ávila, Paraíso, Marlucy Alves","Revista Estudos Feministas; 22(1); 237-256","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100013&lang=pt" 
"S0104-026X2014000100007-scl","Casamentos mistos: novas sociabilidades e quadros coletivos. Aspectos da imigração de brasileiras na Itália","Tedesco, João Carlos","Revista Estudos Feministas; 22(1); 115-133","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100007&lang=pt" 
"S0104-026X2014000100002-scl","O conceito de liberdade como não dominação sob a perspectiva feminista","Almeida, Carla Cecília Rodrigues, Elias, Maria Ligia Ganacim Granado Rodrigues","Revista Estudos Feministas; 22(1); 13-27","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100002&lang=pt" 
"S0104-026X2014000100010-scl","Nem todas querem ser Madonna: representações sociais da mulher carioca, de 50 anos ou mais","Pereira, Cláudia da Silva, Penalva, Germano Andrade","Revista Estudos Feministas; 22(1); 173-193","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100010&lang=pt" 
"S0104-026X2014000100011-scl","Contando estórias e inventando metodologias para discutir a violência contra as mulheres","Oliveira, Érika Cecília Soares","Revista Estudos Feministas; 22(1); 195-214","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100011&lang=pt" 
"S0103-73072014000100013-scl","Apresentação de &quot;Observações preliminares sobre a percepção social do corpo&quot;","Pulici, Carolina","Pro-Posições; 25(1); 241-246","Pro-Posições","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072014000100013&lang=pt" 
"S1983-80422014000100015-scl","Entendimento do consentimento livremente esclarecido na reprodução assistida","Bazzaco, Amanda Albertoni, Valelongo, Pamela Olivieri, Miziara, Ivan Dieb, Barbosa, Caio Parente","Revista Bioética; 22(1); 134-144","Revista Bioética","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-80422014000100015&lang=pt" 
"S1983-80422014000100014-scl","Direitos sexuais, políticas públicas e educação sexual no discurso de pessoas com cegueira","França, Dalva Nazaré Ornelas","Revista Bioética; 22(1); 126-133","Revista Bioética","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-80422014000100014&lang=pt" 
"S1983-80422014000100009-scl","Adolescência, autonomia e pesquisa em seres humanos","Velho, Maria Teresa Aquino de Campos, Quintana, Alberto Manuel, Rossi, Alvaro Garcia","Revista Bioética; 22(1); 76-84","Revista Bioética","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-80422014000100009&lang=pt" 
"S1983-80422014000100019-scl","Aspectos éticos da obtenção de dentes por estudantes de uma graduação em Odontologia","Felipe, Elaine Fernandes, Costa, Greise Borges Mezzari da, Jank Júnior, Nilton, Costa, Jorge Alexandre da","Revista Bioética; 22(1); 171-175","Revista Bioética","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-80422014000100019&lang=pt" 
"S1983-80422014000100001-scl","Editorial","","Revista Bioética; 22(1); 7-9","Revista Bioética","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-80422014000100001&lang=pt" 
"S0104-87752014000100014-scl","","Corrêa, Carolina Perpétuo","Varia Historia; 30(52); 311-315","Varia Historia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752014000100014&lang=pt" 
"S0104-87752014000100015-scl","A consciência de um império: Portugal e o seu mundo (sécs. XV-XVII)","Panegassi, Rubens","Varia Historia; 30(52); 317-320","Varia Historia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752014000100015&lang=pt" 
"S0104-87752014000100001-scl","Apresentação","Motta, Rodrigo Patto Sá","Varia Historia; 30(52); 07-10","Varia Historia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752014000100001&lang=pt" 
"S0104-87752014000100003-scl","Os partidos de direita e o debate sobre as estratégias anticomunistas (Brasil e Chile, 1945-1950)","Bohoslavsky, Ernesto","Varia Historia; 30(52); 51-66","Varia Historia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752014000100003&lang=pt" 
"S0104-87752014000100004-scl","Conexões transnacionais entre as mulheres de direita Brasil, Chile e Estados Unidos","Power, Margaret","Varia Historia; 30(52); 67-83","Varia Historia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752014000100004&lang=pt" 
"S0104-87752014000100006-scl","&quot;Nosso Terreno&quot; crise moral, política evangélica e a formação da &#039;Nova Direita&#039; brasileira","Cowan, Benjamin Arthur","Varia Historia; 30(52); 101-125","Varia Historia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752014000100006&lang=pt" 
"S0104-87752014000100016-scl","Centering animals in Latin American history","Benevides, Fernanda Cornils Monteiro","Varia Historia; 30(52); 321-324","Varia Historia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752014000100016&lang=pt" 
"S0104-87752014000100010-scl","Os conflitos na mineração e a Justiça Diamantina, Minas Gerais, décadas de 1850-1880","Martins, Marcos Lobato","Varia Historia; 30(52); 207-230","Varia Historia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752014000100010&lang=pt" 
"S0120-386X2014000100003-col","Incidencia de la morosidad de las cuentas por cobrar en la rentabilidad y la liquidez: estudio de caso de una Empresa Social del Estado prestadora de servicios de salud","Cárdenas G, Maribel, Velasco B, Blanca M","Revista Facultad Nacional de Salud Pública; 32(1); 16-25","Revista Facultad Nacional de Salud Pública","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-386X2014000100003&lang=pt" 
"S0120-386X2014000100008-col","Estado nutricional del hierro en gestantes adolescentes: Medellín-Colombia","Escudero V, Luz S, Parra S, Beatriz E, Herrera M, Julián, Restrepo M, Sandra Lucía, Zapata L, Natalia","Revista Facultad Nacional de Salud Pública; 32(1); 71-79","Revista Facultad Nacional de Salud Pública","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-386X2014000100008&lang=pt" 
"S0004-27302014000300251-scl","Hypercholesterolemic diet induces hepatic steatosis and alterations in mRNA expression of NADPH oxidase in rat livers","Abreu, Isabel Cristina Mallosto Emerich de, Guerra, Joyce Ferreira da Costa, Pereira, Renata Rebeca, Silva, Maísa, Lima, Wanderson Geraldo de, Silva, Marcelo Eustáquio, Pedrosa, Maria Lúcia","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(3); 251-259","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000300251&lang=pt" 
"S0004-27302014000300205-scl","Consenso latino-americano de hipertensão em pacientes com diabetes tipo 2 e síndrome metabólica","López-Jaramillo, Patricio, Sánchez, Ramiro A., Diaz, Margarita, Cobos, Leonardo, Bryce, Alfonso, Parra-Carrillo, Jose Z., Lizcano, Fernando, Lanas, Fernando, Sinay, Isaac, Sierra, Iván D., Peñaherrera, Ernesto, Bendersky, Mario, Schmid, Helena, Botero, Rodrigo, Urina, Manuel, Lara, Joffre, Foss, Milton C., Márquez, Gustavo, Harrap, Stephen, Ramírez, Agustín J., Zanchetti, Alberto","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(3); 205-225","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000300205&lang=pt" 
"S1414-81452014000200296-scl","Aspiração endotraqueal por sistema aberto: práticas de profissionais de enfermagem em terapia intensiva","Frota, Oleci Pereira, Loureiro, Marisa Dias Rolan, Ferreira, Adriano Menis","Escola Anna Nery; 18(2); 296-302","Escola Anna Nery","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452014000200296&lang=pt" 
"S0004-27302014000300288-scl","Effects of peptidic growth hormone secretagogue receptor (GHS-R) antagonist [D-Lys3] on some of serum hormonal and biochemical parameters in Wistar rat model","Shahryar, Habib Aghdam, Lotfi, Alireza","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(3); 288-291","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000300288&lang=pt" 
"S0004-27302014000300226-scl","Análise de idosos ambulatoriais quanto ao estado nutricional, sarcopenia, função renal e densidade óssea","Salmaso, Franciany Viana, Vigário, Patrícia dos Santos, Mendonça, Laura Maria Carvalho de, Madeira, Miguel, Netto, Leonardo Vieira, Guimarães, Marcela Rodrigues Moreira, Farias, Maria Lucia Fleiuss de","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(3); 226-231","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000300226&lang=pt" 
"S1029-30192014000400001-cub","Alveoloplastia interseptal: una renovada técnica de cierre de las comunicaciones y fístulas bucoantrales","Díaz Fernández, José Manuel, Agüero Díaz, Alejandro Francisco, Fernández Fernández, Héctor, Vives Folgar, Carmen Beatriz","MEDISAN; 18(4); 459-468","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400001&lang=pt" 
"S1029-30192014000400006-cub","La Economía y su relación con la salud de la población cubana","Labori Ruiz, José Rafael, Cosme Casulo, Jorge, Perrand Robert, Maria Victoria, Valenzuela Rodriguez, Carlos Rafael, Mora García, Guillermo","MEDISAN; 18(4); 504-508","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400006&lang=pt" 
"S1029-30192014000400007-cub","Caracterización de pacientes con hipertensión arterial en un área rural de Santiago de Cuba","Hechavarria Torres, Maricel, Fernández Álvarez, Nelson, Betancourt Llopiz, Ileana","MEDISAN; 18(4); 509-515","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400007&lang=pt" 
"S1029-30192014000400004-cub","Repercusión de los factores de riesgo reproductivos del hombre sobre la salud reproductiva de la mujer y su descendencia","Muguercia Silva, José Luis, Ortiz Angulo, Lisset, Bertrán Bahades, Jacqueline, Kindelán Mercerón, Farah M.","MEDISAN; 18(4); 485-493","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400004&lang=pt" 
"S1029-30192014000400005-cub","Características de la cirugía videolaparoscópica de urgencia en niños de la provincia de Santiago de Cuba","Kassoum Djiré, Mohamed, Gonzálvez Bertot, Jaime, Puente Fonseca, Claudio Julio, Cabrera Salazar, Jesús","MEDISAN; 18(4); 494-503","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400005&lang=pt" 
"S0004-27302014000300301-scl","Maternal obesity and late effects on offspring metabolism","Vido, Daniele Sá, Nejm, Mariana Bocca, Silva, Neila Ribeiro, Silva, Sylvia Maria Affonso, Cravo, Sérgio Luiz, Luz, Jacqueline","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(3); 301-307","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000300301&lang=pt" 
"S1029-30192014000400011-cub","Caracterización de ancianos hospitalizados en una Unidad de Cuidados Intensivos","Badell Pomar, Cecilia Carlota, Riera Santiesteban, Rolando, Pérez Fuentes, Iván Alexei, González Blanco, Juan Carlos","MEDISAN; 18(4); 537-543","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400011&lang=pt" 
"S1029-30192014000400010-cub","Factores de riesgo asociados a la proliferación del Aedes aegipty en el Consejo Popular &quot;Los Maceos","Terazón Miclín, Oneida, Muñiz Savín, Zuzel, Terazón Miclín, María","MEDISAN; 18(4); 528-536","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400010&lang=pt" 
"S1029-30192014000400013-cub","Caracterización de pacientes peruanos operados de catarata traumática","Pérez Sánchez, Rebeca, Frómeta Rivaflechas, Grisel, Fernández González, María Emilia, González Hernández, José Ricardo, Planes Reyes, Mercedes","MEDISAN; 18(4); 551-558","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400013&lang=pt" 
"S1029-30192014000400012-cub","Diagnóstico clínico e histopatológico de los tumores de los anexos oculares","Audivert Hung, Yailin, García Gali, Madeline de Jesús, Duperet Carvajal, Danay, Ortiz Silveira, Marlenis, Audivert Hung, Cossett Teresa","MEDISAN; 18(4); 544-550","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400012&lang=pt" 
"S1029-30192014000400015-cub","Trombosis venosa cerebral en un paciente con colitis ulcerativa idiopática","Bosch Costafreda, Carmen, Sánchez Avalos, Vicia Mercedes","MEDISAN; 18(4); 564-568","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400015&lang=pt" 
"S1029-30192014000400014-cub","Retroperitonitis después de una apendicitis aguda no complicada","Barrabí Díaz, Alejandro, Márquez Hernández, Joaquín, Reyes Balseiro, Evelio Salvador, Armas Pérez, Bárbaro Agustín","MEDISAN; 18(4); 559-563","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400014&lang=pt" 
"S1029-30192014000400019-cub","Tuberculosis en senos paranasales","Calás Rosales, Mireysi, Veranes García, Marelis, López González, Joaquín, Marrero Rodríguez, Haidee, Silva Reyes, Ilena","MEDISAN; 18(4); 588-592","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400019&lang=pt" 
"S1029-30192014000400020-cub","Olores agradables y desagradables en las exposiciones científicas orales","Jiménez Arias, María Elena","MEDISAN; 18(4); 593-599","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400020&lang=pt" 
"S1029-30192014000400017-cub","Dermatomiositis en un adulto","Rodríguez López, Julio, Ariosa Ortiz, Karina, George Carrión, Wilberto, Bell Castillo, Josefa","MEDISAN; 18(4); 575-581","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400017&lang=pt" 
"S0103-73072014000100015-scl","Bebês e adultos no contexto da creche","Silva, Lucélia de Almeida, Müller, Fernanda","Pro-Posições; 25(1); 261-266","Pro-Posições","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072014000100015&lang=pt" 
"S0103-73072014000100014-scl","Notas provisórias sobre a percepção social do corpo","Bourdieu, Pierre","Pro-Posições; 25(1); 247-256","Pro-Posições","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072014000100014&lang=pt" 
"S1029-30192014000400008-cub","Morbilidad y mortalidad por infarto agudo del miocardio","Sánchez Abalos, Vicia Mercedes, Bosch Costafreda, Carmen, Sánchez Abalos, Tamara Mercedes, González Blanco, Juan Carlos","MEDISAN; 18(4); 516-522","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400008&lang=pt" 
"S1029-30192014000400002-cub","Caracterización de los pacientes en fase sida con infecciones del sistema nervioso central","Lamotte Castillo, José Antonio","MEDISAN; 18(4); 469-475","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400002&lang=pt" 
"S1029-30192014000400003-cub","Macrofactores determinantes de la infestación por Aedes aegypti en centros laborales del municipio de Santiago de Cuba","Larrea Aguilera, Lino Robert, Castillo Quesada, Rosa María, Carbonell García, Isabel Cristina","MEDISAN; 18(4); 476-484","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400003&lang=pt" 
"S1029-30192014000400009-cub","Aspectos clínicos y radiográficos de la neumonía típica condensante en menores de 5 años","Tamayo Reus, Caridad Maria, Díaz Terán, Daisy, Leyva Peguero, Yileisy Esperanza","MEDISAN; 18(4); 523-527","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400009&lang=pt" 
"S0103-73072014000100002-scl","Apresentação do dossiê &quot;Catolicismo e Formação Cultural&quot;","Seidl, Ernesto","Pro-Posições; 25(1); 25-30","Pro-Posições","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072014000100002&lang=pt" 
"S0103-73072014000100006-scl","Revista, santuário e escola: a atuação dos saletinos na educação no Brasil","Leonardi, Paula, Mazochi, Letícia Aparecida","Pro-Posições; 25(1); 99-115","Pro-Posições","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072014000100006&lang=pt" 
"S0103-73072014000100007-scl","O livro e o selo: editoras católicas no Brasil","Bittencourt, Agueda Bernardete","Pro-Posições; 25(1); 117-137","Pro-Posições","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072014000100007&lang=pt" 
"S1414-81452014000200192-scl","Difusão da produção científica da Enfermagem em periódicos nacionais","Almeida Filho, Antonio José de","Escola Anna Nery; 18(2); 192-194","Escola Anna Nery","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452014000200192&lang=pt" 
"S1414-81452014000200195-scl","Intervenção educativa sobre violência com adolescentes: possibilidade para a enfermagem no contexto escolar","Brandão Neto, Waldemar, Silva, Andrea Rosane Sousa, Almeida Filho, Antonio José de, Lima, Luciane Soares de, Aquino, Jael Maria de, Monteiro, Estela Maria Leite Meirelles","Escola Anna Nery; 18(2); 195-201","Escola Anna Nery","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452014000200195&lang=pt" 
"S1984-02922014000100016-scl","Avaliação da compreensão de leitura pelo Sistema Orientado de Cloze (SOC)","Joly, Maria Cristina Rodrigues Azevedo, Bonassi, Jaqueline, Dias, Anelise Silva, Piovezan, Nayane Martoni, Silva, Diego Vinícius da","Fractal : Revista de Psicologia; 26(1); 223-242","Fractal : Revista de Psicologia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922014000100016&lang=pt" 
"S1984-02922014000100017-scl","Amor - Ódio: devastação na relação mãe e filha","Bonfim, Flavia Gaze","Fractal : Revista de Psicologia; 26(1); 245-252","Fractal : Revista de Psicologia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922014000100017&lang=pt" 
"S1984-02922014000100006-scl","Abuso sexual, crianças e adolescentes: reflexões para o psicólogo que trabalha no CREAS","Florentino, Bruno Ricardo Bérgamo","Fractal : Revista de Psicologia; 26(1); 59-70","Fractal : Revista de Psicologia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922014000100006&lang=pt" 
"S1984-02922014000100007-scl","Identidades narrativas: construindo sentidos na travessia da juventude","Iriart, Mirela Figueiredo, Bastos, Ana Cecília de Sousa","Fractal : Revista de Psicologia; 26(1); 71-88","Fractal : Revista de Psicologia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922014000100007&lang=pt" 
"S0004-27302014000300282-scl","Iodine insufficiency in pregnant women from the State of São Paulo","Ferreira, Sabrina Maria Saueia, Navarro, Anderson Marliere, Magalhães, Patrícia Künzle Ribeiro, Maciel, Léa Maria Zanini","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(3); 282-287","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000300282&lang=pt" 
"S1029-30192014000400016-cub","Fibroadenoma gigante en una adolescente","Guerra Macías, Ileana, Núñez Quintana, Adrian, Sánchez Ramos, Dailín","MEDISAN; 18(4); 569-574","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400016&lang=pt" 
"S1029-30192014000400018-cub","Neurofibromatosis de tipo 1 en un adulto joven","Gámez Rodríguez, Osiel, Correa Sánchez, Maikel G., Rodríguez Montalván, Mónica, Miyares Duvergel, Anelis G., Romero Calzado, Diana","MEDISAN; 18(4); 582-587","MEDISAN","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192014000400018&lang=pt" 
"S0004-27302014000300270-scl","Celiac disease screening in Brazilian patients with osteoporosis","Gusso, Luiza, Simões, Mariana Cionek, Skare, Thelma L., Nisihara, Renato, Burkiewicz, Claudine C., Utiyama, Shirley","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(3); 270-273","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000300270&lang=pt" 
"S0004-27302014000300274-scl","Exercise is associated with better quality of life in patients on TSH-suppressive therapy with levothyroxine for differentiated thyroid carcinoma","Vigário, Patrícia dos Santos, Chachamovitz, Dhiãnah Santini de Oliveira, Teixeira, Patrícia de Fátima dos Santos, Rocque, Maíra de La, Santos, Maryna Lobo dos, Vaisman, Mário","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(3); 274-281","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000300274&lang=pt" 
"S1684-18242014000200014-cub","Evolución de la medicina familiar matancera","Mc Farlane Martínez, Ena, Amparo Costa, Méndez, Quintana Martínez, Marta Nelia, Cañizares Cárdenas, María Caridad","Revista Médica Electrónica; 36(2); 238-245","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000200014&lang=pt" 
"S1684-18242014000200015-cub","Redacción y edición de documentos. Reseña bibliográfica","Rolo Mantilla, Magdalena, Collado Martínez, Rubén","Revista Médica Electrónica; 36(2); 246-247","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000200015&lang=pt" 
"S1684-18242014000200010-cub","Síndrome de Treacher-Collins. Presentación de un caso","Pollo Medina, Jesús Manuel, Álvarez Escobar, María del Carmen, Torres Álvarez, Arling Yuliett, Placeres Hernández, José Fernando, Morales Carbot, Dimas","Revista Médica Electrónica; 36(2); 211-216","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000200010&lang=pt" 
"S1684-18242014000200011-cub","Uso de la oxigenación hiperbárica en la fractura traumática expuesta. A propósito de un caso","Torres Perdomo, José Enrique, Pascau Ruíz, Yanet, Zayas Benítez, Kenia, Leyva Moreno, Urbano, Martín Tirado, Juan Carlos, Leyva Barrientos, Carlos Rafael","Revista Médica Electrónica; 36(2); 217-222","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000200011&lang=pt" 
"S1684-18242014000200012-cub","Enfermedad de Trevor: presentación de un caso","García Domínguez, Juan de Dios","Revista Médica Electrónica; 36(2); 223-229","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000200012&lang=pt" 
"S1684-18242014000200013-cub","La evaluación médica en la atención primaria de salud","Padilla Suárez, Ernesto, Suárez Isaqui, Lázaro, Troya Borges, Eddy, Martínez Abreu, Judit","Revista Médica Electrónica; 36(2); 230-237","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000200013&lang=pt" 
"S1684-18242014000200009-cub","Adhesivo tisular tisuacryl como sustituto de suturas en autoinjertos de tejidos blandos","Febles Lebrigios, Olga, Corzo Febles, Anne Julee, Domínguez Ganen, Ileana, Collazo Zulueta, María de los Ángeles","Revista Médica Electrónica; 36(2); 204-210","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000200009&lang=pt" 
