"S0102-311X2003000400008-scl","Debate sobre o artigo de Maria Andréa Loyola","Estellita-Lins, Carlos Eduardo","Cadernos de Saúde Pública; 19(4); 892-893","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400008&lang=pt" 
"S0717-75182003000200003-chl","CRECIMIENTO NORMAL Y PATOLÓGICO DEL NIÑO Y DEL ADOLESCENTE","Muzzo B, Santiago","Revista chilena de nutrición; 30(2); 92-100","Revista chilena de nutrición","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182003000200003&lang=pt" 
"S0717-75182003000200004-chl","DIETA LIBRE DE GLUTEN Y DISMINUCIÓN DEL RIESGO DE ASOCIACIÓN DE ENFERMEDADES AUTOINMUNES EN EL PACIENTE CELIACO","Cruchet M., Sylvia, Verbeke P., Sandra","Revista chilena de nutrición; 30(2); 102-105","Revista chilena de nutrición","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182003000200004&lang=pt" 
"S0717-75182003000200005-chl","INTERACCIÓN ENTRE LA NUTRICIÓN Y EL CONTROL BIOMECÁNICO DE LA ESTRUCTURA ÓSEA","Ferretti, José Luis, Capozza, Ricardo F., Cointry, Gustavo R.","Revista chilena de nutrición; 30(2); 107-120","Revista chilena de nutrición","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182003000200005&lang=pt" 
"S0717-75182003000200006-chl","EVOLUCIÓN DE LA ANTROPOMETRÍA MATERNA Y DEL PESO DE NACIMIENTO EN CHILE, 1987-2000","Mardones S, Francisco","Revista chilena de nutrición; 30(2); 122-131","Revista chilena de nutrición","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182003000200006&lang=pt" 
"S0717-75182003000200007-chl","EVALUACIÓN DE LA ACEPTABILIDAD Y CONSUMO DE UN SUPLEMENTO ALIMENTARIO EN LA REPÚBLICA DE PANAMA","Caballero, Eira de, Atalah S, Eduardo","Revista chilena de nutrición; 30(2); 133-140","Revista chilena de nutrición","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182003000200007&lang=pt" 
"S0101-32622003000200007-scl","O ensino de ciências nos atlas escolares municipais: entre temas, professores e pesquisa","Aguiar, Lígia Maria Brochado de","Cadernos CEDES; 23(60); 198-209","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003000200007&lang=pt" 
"S0101-32622003000200009-scl","O uso de atlas municipais escolares e as formas de construção do conhecimento em sala de aula: analisando situações de ensino","Oliveira, Adriano Rodrigo","Cadernos CEDES; 23(60); 218-230","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003000200009&lang=pt" 
"S0101-32622003000200008-scl","As fotografias aéreas verticais como uma possibilidade na construção de conceitos no ensino de geografia","Cazetta, Valéria","Cadernos CEDES; 23(60); 210-217","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003000200008&lang=pt" 
"S0101-32622003000200006-scl","Ipeúna: um lugar de muitos nomes","Machado, Helia Maria de Fátima Gimenez","Cadernos CEDES; 23(60); 189-197","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003000200006&lang=pt" 
"S0101-32622003000200005-scl","As páginas de história","Höfling, Maria Arlete Zülzke","Cadernos CEDES; 23(60); 179-188","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003000200005&lang=pt" 
"S0101-32622003000200001-scl","Apresentação","Oliveira Jr, Wenceslao Machado de, Almeida, Rosângela Doin de","Cadernos CEDES; 23(60); 135-137","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003000200001&lang=pt" 
"S0101-32622003000200004-scl","Um olhar geográfico sobre a construção do atlas municipal e escolar de Rio Claro","Carreiro, Maria Silvia Almeida","Cadernos CEDES; 23(60); 169-178","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003000200004&lang=pt" 
"S0101-32622003000200002-scl","O lugar e o mapa","Aguiar, Lígia Maria Brochado de","Cadernos CEDES; 23(60); 139-148","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003000200002&lang=pt" 
"S0036-36342003000400008-spa","Validación de un instrumento para medir competencias conductuales en personas VIH positivas","Piña-López, Julio Alfonso","Salud Pública de México; 45(4); 293-297","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000400008&lang=pt" 
"S0036-36342003000400001-spa","","Vallejo, Maité, Reyes, Pedro A.","Salud Pública de México; 45(4); 243-244","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000400001&lang=pt" 
"S0036-36342003000400010-spa","Estadística de egresos hospitalarios del sector público del Sistema Nacional de Salud, 2001","","Salud Pública de México; 45(4); 310-327","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000400010&lang=pt" 
"S0036-36342003000400006-spa","Factores que influyen en el abandono temprano de la lactancia por mujeres trabajadoras","Navarro-Estrella, Manuel, Duque-López, María Ximena, Trejo y Pérez, Juan Antonio","Salud Pública de México; 45(4); 276-284","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000400006&lang=pt" 
"S0036-36342003000400005-spa","Hipertirotropinemia en recién nacidos mexicanos","Vela-Amieva, Marcela, Hernández-Osorio, Crescencio, Gamboa-Cardiel, Salvador, González-Contreras, Claudia R, Pérez-Andrade, Martha Elva, Ortiz-Cortés, Joel, Aguirre-Vélez, Blanca E","Salud Pública de México; 45(4); 269-275","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000400005&lang=pt" 
"S0036-36342003000400004-spa","Construcción y validación inicial de un instrumento para medir el estilo de vida en pacientes con diabetes mellitus tipo 2","López-Carmona, Juan Manuel, Ariza-Andraca, Cuauhtémoc Raúl, Rodríguez-Moctezuma, José Raymundo, Munguía-Miranda, Catarina","Salud Pública de México; 45(4); 259-267","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000400004&lang=pt" 
"S0036-36342003000400003-spa","Atención médica de lesiones intencionales provocadas por la violencia familiar","Híjar-Medina, Martha, Flores-Regata, Lilí, Valdez-Santiago, Rosario, Blanco, Julia","Salud Pública de México; 45(4); 252-258","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000400003&lang=pt" 
"S0036-36342003000400002-spa","Information from teachers on viral hepatitis transmission and prevention in Brazil","Gaze, Rosangela, Carvalho, Diana Maul de, Rangel-Tura, Luiz Fernando","Salud Pública de México; 45(4); 245-251","Salud Pública de México","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000400002&lang=pt" 
"S0101-32622003000200003-scl","Atlas municipais elaborados por professores: a experiência conjunta de Limeira, Rio Claro e Ipeúna","Almeida, Rosângela Doin de","Cadernos CEDES; 23(60); 149-168","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003000200003&lang=pt" 
"S0101-32622003000200010-scl","Atlas escolares municipais: a moda e os professores","Miranda, Sérgio Luiz","Cadernos CEDES; 23(60); 231-245","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003000200010&lang=pt" 
"S0036-36342003000400009-spa","Enfrentando el bioterrorismo: aspectos epidemiológicos, clínicos y preventivos de la viruela","Franco-Paredes, Carlos, Río, Carlos del, Nava-Frías, Margarita, Rangel-Frausto, Sigfrido, Téllez, Ildefonso, Santos-Preciado, José Ignacio","Salud Pública de México; 45(4); 298-309","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000400009&lang=pt" 
"S0036-36342003000400007-spa","Gasto de hogares durante la hospitalización de menores derechohabientes, con diagnóstico de leucemia, en dos hospitales en México","Rocha-García, Arnoldo, Hernández-Peña, Patricia, Ruiz-Velazco, Silvia, Avila-Burgos, Leticia, Marín-Palomares, Teresa, Lazcano-Ponce, Eduardo","Salud Pública de México; 45(4); 285-292","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000400007&lang=pt" 
"S0100-19652003000200004-scl","El Mercosur hacia la sociedad de la información","Sena Correa, Emilce Noemi","Ciência da Informação; 32(2); 37-46","Ciência da Informação","Espanhol","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652003000200004&lang=pt" 
"S0036-46652003000400017-scl","A história e suas epidemias: a convivência do homem com os microrganismos","UJVARI, Stefan Cunha","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 212-212","Revista do Instituto de Medicina Tropical de São Paulo","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400017&lang=pt" 
"S0036-46652003000400016-scl","Evaluation of the frequency of parasitism and the survivede period of Pediculus capitis (De Geer, 1778) (Phthiraptera: Pediculidae) specimens away from the host","BASTOS, Sérgio Rúbio Pinto","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 196-196","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400016&lang=pt" 
"S0036-46652003000400015-scl","Tuberculosis treatment with strptomycin: auditory and vestibular profile","LIMA, Maria Luiza Lopes Timóteo de","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 192-192","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400015&lang=pt" 
"S0036-46652003000400014-scl","Authors&#039; reply","Lopes, Antonio Alberto, Costa, Everaldo","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 238-238","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400014&lang=pt" 
"S0036-46652003000400013-scl","Ref.: Penicillin at the late stage of leptospirosis: a randomized controlled trial","Leblebicioglu, Hakan","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 237-237","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400013&lang=pt" 
"S0036-46652003000400003-scl","A preliminary investigation on the gastrointestinal helminths of the Barbados green monkey, Cercopithecus aethiops sabaeus","Mutani, Alex, Rhynd, Kamara, Brown, Gabriel","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 193-195","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400003&lang=pt" 
"S0036-46652003000400008-scl","Fonsecaea pedrosoi cerebral phaeohyphomycosis (&quot;chromoblastomycosis&quot;): first human culture-proven case reported in Brazil","Nóbrega, José Paulo S., Rosemberg, Sergio, Adami, Ana Maria, Heins-Vaccari, Elizabeth Maria, Lacaz, Carlos da Silva, Brito, Thales de","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 217-220","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400008&lang=pt" 
"S0036-46652003000400005-scl","Seroprevalence of antibodies to Venezuelan equine encephalitis complex (subtypes IAB and VI) in humans from General Belgrano Island, Formosa, Argentina","Cámara, Alicia, Díaz, Gladis, Vega, Victor, Basualdo, María, Contigiani, Marta","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 201-204","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400005&lang=pt" 
"S0036-46652003000400007-scl","Genotype distribution of the GB virus C in citizens of São Paulo City, Brazil","Nishiya, Anna S., Ribeiro-Dos-Santos, Gabriela, Bassit, Leda, Focaccia, Roberto, Chamone, Dalton F., Sabino, Ester C.","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 213-216","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400007&lang=pt" 
"S0036-46652003000400010-scl","Detection of non-enterotoxigenic and enterotoxigenic Bacteroides fragilis in stool samples from children in São Paulo, Brazil","Krzyzanowsky, Flávio, Avila-Campos, Mario J.","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 225-227","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400010&lang=pt" 
"S0036-46652003000400011-scl","Prevalence of IgG antibodies specific to Toxoplasma gondii among blood donors in Recife, Northeast Brazil","Coêlho, Raquel A.L., Kobayashi, Masashi, Carvalho Jr., Luiz B.","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 229-231","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400011&lang=pt" 
"S0036-46652003000400009-scl","The venomous toadfish Thalassophryne nattereri (niquim or miquim): report of 43 injuries provoked in fishermen of Salinópolis (Pará State) and Aracaju (Sergipe State), Brazil","Haddad Junior, Vidal, Pardal, Pedro Pereira Oliveira, Cardoso, João Luiz Costa, Martins, Itamar Alves","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 221-223","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400009&lang=pt" 
"S0100-41582003000400021-scl","Tombamento de mudas causado por Fusarium solani: uma nova doença do Paricá no Brasil","Mafia, Reginaldo G., Alfenas, Acelino C., Andrade, Gabriela C. G., Zauza, Edival A. V., Pfenning, Ludwig H., Rosa, Joilson","Fitopatologia Brasileira; 28(4); 450-450","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400021&lang=pt" 
"S0100-41582003000400020-scl","Erysiphe biocellata, um novo patógeno de Mentha arvensis no Brasil","Zauza, Edival A. V, Alfenas, Acelino C., Silva, Clarice N. L.","Fitopatologia Brasileira; 28(4); 449-449","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400020&lang=pt" 
"S0100-41582003000400001-scl","A antracnose do sorgo","Costa, Rodrigo V. da, Casela, Carlos R., Zambolim, Laércio, Ferreira, Alexandre S.","Fitopatologia Brasileira; 28(4); 345-354","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400001&lang=pt" 
"S0100-41582003000400004-scl","Cytogenetics of Colletotrichum lindemuthianum (Glomerella cingulata f. sp. phaseoli)","Roca M., M. Gabriela, Davide, Lisete C., Mendes-Costa, Maria C.","Fitopatologia Brasileira; 28(4); 367-373","Fitopatologia Brasileira","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400004&lang=pt" 
"S0100-41582003000400005-scl","RT-PCR-ELISA for detection of Apple stem grooving virus in apple trees","Marinho, Vera Lúcia A., Daniels, Julio, Kummert, Jean, Chandelier, Anne, Lepoivre, Philippe","Fitopatologia Brasileira; 28(4); 374-379","Fitopatologia Brasileira","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400005&lang=pt" 
"S0100-41582003000400006-scl","Gray mold severity and vase life of rose buds after pulsing with citric acid, salicylic acid, calcium sulfate, sucrose and silver thiosulfate","Capdeville, Guy de, Maffia, Luiz A., Finger, Fernando L., Batista, Ulisses G.","Fitopatologia Brasileira; 28(4); 380-385","Fitopatologia Brasileira","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400006&lang=pt" 
"S0100-41582003000400007-scl","Tratamento térmico solar da água para controle de fitopatógenos","Tanaka, Maria Aparecida S., Ito, Margarida F., Braga, Carlos A. S., Armond, Geraldo","Fitopatologia Brasileira; 28(4); 386-393","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400007&lang=pt" 
"S0100-41582003000400008-scl","Quantificação de componentes monocíclicos da mancha angular do feijoeiro","Dalla Pria, Maristella, Amorim, Lilian, Bergamin Filho, Armando","Fitopatologia Brasileira; 28(4); 394-400","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400008&lang=pt" 
"S0100-41582003000400009-scl","Quantificação de componentes monocíclicos da antracnose do feijoeiro","Dalla Pria, Maristella, Amorim, Lilian, Bergamin Filho, Armando","Fitopatologia Brasileira; 28(4); 401-407","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400009&lang=pt" 
"S0100-41582003000400011-scl","Identification of Rhizoctonia solani associated with soybean in Brazil by rDNA-ITS sequences","Fenille, Roseli C., Ciampi, Maísa B., Kuramae, Eiko E., Souza, Nilton L.","Fitopatologia Brasileira; 28(4); 413-419","Fitopatologia Brasileira","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400011&lang=pt" 
"S0036-46652003000400004-scl","A preliminary study of the prevalence of intestinal parasites in immunocompromised patients with and without gastrointestinal manifestations","Botero, Jorge Humberto, Castaño, Amanda, Montoya, Marta Nelly, Ocampo, Norma Elena, Hurtado, Marta Inés, Lopera, Mónica María","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 197-200","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400004&lang=pt" 
"S0036-46652003000400012-scl","Adenoviruses isolated from civilian and military personnel in the city of Rio de Janeiro, Brazil","Albuquerque, Maria Carolina Maciel de, Silva, Fabiano Murga da, Soares, Caroline Cordeiro, Volotão, Eduardo de Mello, Santos, Norma","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 233-236","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400012&lang=pt" 
"S0036-46652003000400001-scl","Drug trials for treatment of human angiostrongyliasis","Mentz, Márcia Bohrer, Graeff-Teixeira, Carlos","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 179-184","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400001&lang=pt" 
"S0036-46652003000400006-scl","McCoy cell line as a possible model containing CD4+ receptors for the study of HIV-1 replication","Nogueira, Yeda L., Oliveira, Carmen A. Freitas, Ferreira, Antonio Gomes P., Nakamura, Paulo M., Magnanelli, Antonio Carlos","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 205-211","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400006&lang=pt" 
"S0036-46652003000400002-scl","Typhoid fever as cellular microbiological model","Andrade, Dahir Ramos de, Andrade Júnior, Dahir Ramos de","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 185-191","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400002&lang=pt" 
"S0101-73302003000200010-scl","Adorno, arte e educação: negócio da arte como negação","Fabiano, Luiz Hermenegildo","Educação &amp; Sociedade; 24(83); 495-505","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200010&lang=pt" 
"S0101-73302003000200006-scl","Impasses éticos na educação hoje","Lastória, Luiz A. Calmon Nabuco","Educação &amp; Sociedade; 24(83); 429-440","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200006&lang=pt" 
"S0101-73302003000200005-scl","Sobre a atualidade dos tabus com relação aos professores","Zuin, Antonio A. S.","Educação &amp; Sociedade; 24(83); 417-427","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200005&lang=pt" 
"S0101-73302003000200017-scl","Conhecendo seus próprios talentos: jovens de escolas públicas em instituições de pesquisa no Rio de Janeiro","Amâncio, Ana Maria, Neves, Rosa Maria Corrêa das","Educação &amp; Sociedade; 24(83); 645-658","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200017&lang=pt" 
"S0101-73302003000200020-scl","Desafios do conhecimento","Mendes, Paulo Henrique A.","Educação &amp; Sociedade; 24(83); 703-708","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200020&lang=pt" 
"S0101-73302003000200003-scl","A filosofia e a música na formação de Adorno","Pucci, Bruno","Educação &amp; Sociedade; 24(83); 377-389","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200003&lang=pt" 
"S0101-73302003000200004-scl","A filosofia moral negativa de Theodor W. Adorno","Schweppenhäuser, Gerhard","Educação &amp; Sociedade; 24(83); 391-415","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200004&lang=pt" 
"S0101-73302003000200008-scl","Adorno, semiformação e educação","Maar, Wolfgang Leo","Educação &amp; Sociedade; 24(83); 459-475","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200008&lang=pt" 
"S0101-73302003000200015-scl","Conhecimento tácito e conhecimento escolar na formação do professor (por que Donald Schön não entendeu Luria)","Duarte, Newton","Educação &amp; Sociedade; 24(83); 601-625","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200015&lang=pt" 
"S0101-73302003000200016-scl","Tradições e contradições da pós-graduação no Brasil","Santos, Cássio Miranda dos","Educação &amp; Sociedade; 24(83); 627-641","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200016&lang=pt" 
"S0101-73302003000200019-scl","Lições de roteiro, por JLG","Leandro, Anita","Educação &amp; Sociedade; 24(83); 681-701","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200019&lang=pt" 
"S0101-73302003000200018-scl","Educação, prevenção e drogas: resultados e desdobramentos da avaliação de um jogo educativo","Monteiro, Simone Souza, Vargas, Eliane Portes, Rebello, Sandra Monteiro","Educação &amp; Sociedade; 24(83); 659-678","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200018&lang=pt" 
"S0101-74382003000200002-scl","Ordenações parciais nos conjuntos das soluções dos problemas de alocação linear e quadrático","Rangel, Maria Cristina, Abreu, Nair Maria Maia de","Pesquisa Operacional; 23(2); 265-284","Pesquisa Operacional","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382003000200002&lang=pt" 
"S0101-74382003000200003-scl","Avaliação dos programas de pós-graduação em engenharia da UFRJ empregando uma variante desenvolvida do método UTA","Rangel, Luís Alberto Duncan, Gomes, Luiz Flávio Autran Monteiro, Lins, Marcos Pereira Estellita, Fuks, Saul","Pesquisa Operacional; 23(2); 285-299","Pesquisa Operacional","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382003000200003&lang=pt" 
"S0101-74382003000200001-scl","Alocação de fluxos de passageiros em uma rede de transporte público de grande porte formulado como um problema de inequações variacionais","Castro Aragón, Fernando Ramiro, Leal, José Eugenio","Pesquisa Operacional; 23(2); 235-264","Pesquisa Operacional","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382003000200001&lang=pt" 
"S0101-74382003000200004-scl","Sobre a precisão das estimativas de máxima verossimilhança nas distribuições bivariadas de valores extremos","Moretti, Alba Regina, Mendes, Beatriz Vaz de Melo","Pesquisa Operacional; 23(2); 301-324","Pesquisa Operacional","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382003000200004&lang=pt" 
"S0101-74382003000200005-scl","Análise de envoltória de dados no estudo da eficiência e dos benchmarks para companhias aéreas brasileiras","Mello, João Carlos Correia Baptista Soares de, Meza, Lidia Angulo, Gomes, Eliane Gonçalves, Serapião, Bruno Pessôa, Lins, Marcos Pereira Estellita","Pesquisa Operacional; 23(2); 325-345","Pesquisa Operacional","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382003000200005&lang=pt" 
"S0101-74382003000200006-scl","Restringindo flexibilidade de pesos em DEA utilizando análise de regressão MSEA","Alcântara, Antonio Allen Meireles, Sant&#039;Anna, Annibal Parracho, Lins, Marcos Pereira Estellita","Pesquisa Operacional; 23(2); 347-357","Pesquisa Operacional","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382003000200006&lang=pt" 
"S0101-74382003000200007-scl","Uma heurística de busca tabu simples para o problema de carregamento de paletes do produtor","Pureza, Vitória, Morabito, Reinaldo","Pesquisa Operacional; 23(2); 359-378","Pesquisa Operacional","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382003000200007&lang=pt" 
"S0100-39842003000400009-scl","Pseudolesões hepáticas na tomografia computadorizada helicoidal: ensaio iconográfico","Meirelles, Gustavo de Souza Portes, D&#039;Ippolito, Giuseppe","Radiologia Brasileira; 36(4); 229-235","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400009&lang=pt" 
"S0100-39842003000400011-scl","Carcinoma renal sarcomatóide: achados de imagem e anatomopatológicos. A propósito de um caso","Figueirêdo, Sizenildo da Silva, Argollo, Renato Santos, Costa, Marlos Augusto Bittencourt, Ribeiro, Flávia Aparecida de Souza, Nóbrega, Bruno Barcelos da, Pinto, Sebastião Alves, Lôbo, Leonardo Valadares Barbosa, Rebolças, Marise Amaral Moreira, Teixeira, Kim-Ir-Sen Santos","Radiologia Brasileira; 36(4); 243-249","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400011&lang=pt" 
"S0100-39842003000400003-scl","Linfangioliomiomatose pulmonar: aspectos na tomografia computadorizada de alta resolução","Castro Netto, Eduardo Curty, Marchiori, Edson, Souza Jr., Arthur Soares, Irion, Klaus L., Kuroki, Iugiro Roberto","Radiologia Brasileira; 36(4); 193-198","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400003&lang=pt" 
"S0101-73302003000200014-scl","O projeto político pedagógico e a construção da autonomia e da democracia na escola nas representações sociais dos conselheiros","Marques, Luciana Rosa","Educação &amp; Sociedade; 24(83); 577-597","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200014&lang=pt" 
"S0101-73302003000200012-scl","A política educacional paulista: controvérsias em torno dos conceitos de descentralização e autonomia 1983 a 1999","Martins, Ângela Maria","Educação &amp; Sociedade; 24(83); 527-549","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200012&lang=pt" 
