"S0100-67622006000100011-scl","Um modelo de distribuição diamétrica para povoamentos de Tectona grandis submetidos a desbaste","Leite, Helio Garcia, Nogueira, Gilciano Saraiva, Campos, João Carlos Chagas, Takizawa, Fausto Hissashi, Rodrigues, Flávio Lopes","Revista Árvore; 30(1); 89-98","Revista Árvore","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622006000100011&lang=pt" 
"S0004-27492006000100025-scl","Acerca da métrica da percepção do espaço visual","Silva, José Aparecido da, Aznar-Casanova, José Antonio, Pinto-Ribeiro Filho, Nilton, Santillán, Javier Enrique","Arquivos Brasileiros de Oftalmologia; 69(1); 127-135","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000100025&lang=pt" 
"S1677-55382006000100019-scl","Imaging","Prando, Adilson","International braz j urol; 32(1); 105-107","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100019&lang=pt" 
"S1677-55382006000100026-scl","Pediatric urology","Kogan, Barry A.","International braz j urol; 32(1); 121-123","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100026&lang=pt" 
"S1677-55382006000100024-scl","Urological oncology","Bohle, Andreas","International braz j urol; 32(1); 117-119","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100024&lang=pt" 
"S1677-55382006000100001-scl","New era to the true &quot;International&quot; Braz J Urol","","International braz j urol; 32(1); 1-2","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100001&lang=pt" 
"S1677-55382006000100002-scl","Role of vitamins, minerals and supplements in the prevention and management of prostate cancer","Santillo, Vincent M., Lowe, Franklin C.","International braz j urol; 32(1); 3-14","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100002&lang=pt" 
"S1677-55382006000100016-scl","Seminiferous epithelium of rats with food restriction and carbon tetrachloride-induced cirrhosis","Horn, Marilise M., Ramos, Ana R., Winkelmann, Leonardo, Matte, Ursula S., Goldani, Helena A., Silveira, Themis R.","International braz j urol; 32(1); 94-99","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100016&lang=pt" 
"S1677-55382006000100014-scl","The relationship between overactive bladder and sexual activity in women","Patel, Ankur S., O&#039;Leary, Margie L., Stein, Robert J., Leng, Wendy W., Chancellor, Michael B., Patel, Subodh G., Borello-France, Diane","International braz j urol; 32(1); 77-87","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100014&lang=pt" 
"S1413-86702006000100008-scl","Evaluation of blood stream infections by Candida in three tertiary hospitals in Salvador, Brazil: a case-control study","Barberino, Maria Goreth, Silva, Nanci, Rebouças, Carla, Barreiro, Katarine, Alcântara, Ana Paula, Netto, Eduardo M., Albuquerque, Lígia, Brites, Carlos","Brazilian Journal of Infectious Diseases; 10(1); 36-40","Brazilian Journal of Infectious Diseases","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702006000100008&lang=pt" 
"S1413-86702006000100014-scl","Disseminated cysticercosis with asymptomatic involvement of the heart","Sousa, Anastácio de Queiroz, Solon, F. Roberto Neves, Costa Filho, J. Eloy da, Lima, F. Heli Cavalcante","Brazilian Journal of Infectious Diseases; 10(1); 65-65","Brazilian Journal of Infectious Diseases","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702006000100014&lang=pt" 
"S1413-86702006000100013-scl","Papular-purpuric &quot;gloves and socks&quot; syndrome caused by parvovirus B19 infection in Brazil: a case report","Toyoshima, Marcos Tadashi Kakitani, Keller, Lilian Walsh, Barbosa, Maria Luisa, Durigon, Edison Luiz","Brazilian Journal of Infectious Diseases; 10(1); 62-64","Brazilian Journal of Infectious Diseases","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702006000100013&lang=pt" 
"S1413-86702006000100003-scl","Peginterferon alfa-2a (40KD) (PEGASYS®) plus ribavirin (COPEGUS®) in retreatment of chronic hepatitis C patients, nonresponders and relapsers to previous conventional interferon plus ribavirin therapy","Parise, E., Cheinquer, H., Crespo, D., Meirelles, A., Martinelli, A., Sette, H., Gallizi, J., Silva, R., Lacet, C., Correa, E., Cotrim, H., Fonseca, J., Paraná, R., Spinelli, V., Amorim, W., Tatsch, F., Pessoa, M.","Brazilian Journal of Infectious Diseases; 10(1); 11-16","Brazilian Journal of Infectious Diseases","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702006000100003&lang=pt" 
"S1413-86702006000100002-scl","More about human monocytotropic ehrlichiosis in Brazil: serological evidence of nine new cases","Costa, Paulo Sérgio Gonçalves da, Valle, Lena Márcia de Carvalho, Brigatte, Marco Emilio, Greco, Dirceu Bartolomeu","Brazilian Journal of Infectious Diseases; 10(1); 7-10","Brazilian Journal of Infectious Diseases","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702006000100002&lang=pt" 
"S1413-86702006000100005-scl","Comparative in vitro activities of seven new beta-lactams, alone and in combination with beta-lactamase inhibitors, against clinical isolates resistant to third generation cephalosporins","Gupta, Varsha, Datta, Priya, Agnihotri, Nalini, Chander, Jagdish","Brazilian Journal of Infectious Diseases; 10(1); 22-25","Brazilian Journal of Infectious Diseases","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702006000100005&lang=pt" 
"S1413-86702006000100010-scl","Pharmacoeconomics applied to chronic hepatitis C","Tatsch, Fernando Franciosi, Sette Jr., Hoel, Vianna, Denizar","Brazilian Journal of Infectious Diseases; 10(1); 51-54","Brazilian Journal of Infectious Diseases","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702006000100010&lang=pt" 
"S1413-86702006000100007-scl","Compliance with handwashing at two intensive care units in São Paulo","Furtado, Guilherme H.C., Santana, Solange L., Coutinho, Ana Paula, Perdiz, Luciana B., Wey, Sérgio B., Medeiros, Eduardo A.S.","Brazilian Journal of Infectious Diseases; 10(1); 33-35","Brazilian Journal of Infectious Diseases","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702006000100007&lang=pt" 
"S1413-86702006000100009-scl","Human immunodeficiency virus and the central nervous system","Almeida, Sergio Monteiro de, Letendre, Scott, Ellis, Ron","Brazilian Journal of Infectious Diseases; 10(1); 41-50","Brazilian Journal of Infectious Diseases","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702006000100009&lang=pt" 
"S1413-86702006000100012-scl","Profound peripheral T-lymphocyte depletion and activation in disseminated tuberculosis","Rodrigues, Denise Silva, Salomão, Reinaldo, Kallas, Esper Georges","Brazilian Journal of Infectious Diseases; 10(1); 59-61","Brazilian Journal of Infectious Diseases","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702006000100012&lang=pt" 
"S1413-86702006000100001-scl","Comparative two-dimensional gel electrophoresis maps for promastigotes of Leishmania amazonensis and Leishmania major","Brobey, Reynolds K. B., Mei, Fang C., Cheng, Xiaodong, Soong, Lynn","Brazilian Journal of Infectious Diseases; 10(1); 1-6","Brazilian Journal of Infectious Diseases","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702006000100001&lang=pt" 
"S1413-86702006000100006-scl","Profile of antimicrobial resistance of bacteria isolated from cockroaches (Periplaneta americana) in a Brazilian health care institution","Prado, Marinésia Aparecida, Gir, Elucir, Pereira, Milca Severino, Reis, Cleomenes, Pimenta, Fabiana Cristina","Brazilian Journal of Infectious Diseases; 10(1); 26-32","Brazilian Journal of Infectious Diseases","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702006000100006&lang=pt" 
"S1413-86702006000100011-scl","Anti-glomerular basement membrane glomerulonephritis in an HIV positive patient: case report","Monteiro, Eduardo José Bellotto, Caron, Daiane, Balda, Carlos Alberto, Franco, Marcello, Pereira, Aparecido Bernardo, Kirsztajn, Gianna Mastroianni","Brazilian Journal of Infectious Diseases; 10(1); 55-58","Brazilian Journal of Infectious Diseases","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702006000100011&lang=pt" 
"S0036-36342006000100001-mex","Obesidad en niños mexicanos de la frontera norte","Menchaca Martín, Patricia, Zonana Nacach, Abraham","Salud Pública de México; 48(1); 1-1","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000100001&lang=pt" 
"S0036-36342006000100002-mex","Micoplasmas y antibióticos","Rivera-Tapia, José Antonio, Rodríguez-Preval, Nadia","Salud Pública de México; 48(1); 1-2","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000100002&lang=pt" 
"S0036-36342006000100003-mex","Prevalence of risk factors for HIV infection among Mexican migrants and immigrants: probability survey in the north border of Mexico","Gudelia Rangel, M., Martínez-Donate, Ana P., Hovell, Melbourne F., Santibáñez, Jorge, Sipan, Carol L., Izazola-Licea, Jose A.","Salud Pública de México; 48(1); 3-12","Salud Pública de México","Inglês","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000100003&lang=pt" 
"S0036-36342006000100004-mex","Prevalencia de anticuerpos contra Trypanosoma cruzi en donadores de sangre del IMSS, Orizaba, Veracruz, México","Ramos-Ligonio, Angel, Ramírez-Sánchez, Michaía Elián, González-Hernández, Juan Carlos, Rosales-Encina, José Luis, López-Monteon, Aracely","Salud Pública de México; 48(1); 13-21","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000100004&lang=pt" 
"S0036-36342006000100005-mex","Enfermeras con licenciatura en México: estimación de los niveles de deserción escolar y desperdicio laboral","Nigenda, Gustavo, Ruiz, José Arturo, Bejarano, Rosa","Salud Pública de México; 48(1); 22-29","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000100005&lang=pt" 
"S0036-36342006000100007-mex","Participación comunitaria en la prevención del dengue: un abordaje desde la perspectiva de los diferentes actores sociales","Toledo-Romaní, María Eugenia, Baly-Gil, Alberto, Ceballos-Ursula, Enrique, Boelaert, Marleen, Van der Stuyft, Patrick","Salud Pública de México; 48(1); 39-44","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000100007&lang=pt" 
"S0036-36342006000100009-mex","Condom use and migration in a sample of Mexican migrants: potential for HIV/STI transmission","Fosados, Raquel, Caballero-Hoyos, Ramiro, Torres-López, Teresa, Valente, Thomas W.","Salud Pública de México; 48(1); 57-61","Salud Pública de México","Inglês","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000100009&lang=pt" 
"S0036-36342006000100011-mex","Pandemia de influenza: la respuesta de México","Kuri-Morales, Pablo, Betancourt-Cravioto, Miguel, Velázquez-Monroy, Oscar, Alvarez-Lucas, Carlos, Tapia-Conyer, Roberto","Salud Pública de México; 48(1); 72-79","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000100011&lang=pt" 
"S0036-36342006000100008-mex","Enfermedades y padeceres por los que se recurre a terapeutas tradicionales de la Ciudad de México","Berenzon-Gorn, Shoshana, Ito-Sugiyama, Emily, Vargas-Guadarrama, Luis Alberto","Salud Pública de México; 48(1); 45-56","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000100008&lang=pt" 
"S0036-36342006000100006-mex","Experiencias de envejecimiento en el México rural","Treviño-Siller, Sandra, Pelcastre-Villafuerte, Blanca, Márquez-Serrano, Margarita","Salud Pública de México; 48(1); 30-38","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000100006&lang=pt" 
"S0036-36342006000100010-mex","Péptidos antimicrobianos en la inmunidad innata de enfermedades infecciosas","Rivas-Santiago, Bruno, Sada, Eduardo, Hernández-Pando, Rogelio, Tsutsumi, Víctor","Salud Pública de México; 48(1); 62-71","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000100010&lang=pt" 
"S0378-48352006000200002-esp","Nuevas perspectivas en el tratamiento del cáncer de pulmón no microcítico: farmacogenómica","Cobo Dols, M., Gil Calle, S., Villar Chamorro, E., Alés Díaz, I., Montesa Pino, A., Alcaide García, J., Gutiérrez Calderón, V., Carabante Ocón, F., Bretón García, J. J., Benavides Orgaz, M.","Oncología (Barcelona); 29(2); 13-22","Oncología (Barcelona)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0378-48352006000200002&lang=pt" 
"S1677-55382006000100025-scl","Female Urology","Petrou, Steven P.","International braz j urol; 32(1); 119-121","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100025&lang=pt" 
"S1677-55382006000100023-scl","Reconstructive urology","Sievert, Karl-Dietrich, Feil, Gerhard, Stenzl, Arnulf, Nagele, Udo, Kuczyk, Markus","International braz j urol; 32(1); 115-117","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100023&lang=pt" 
"S1677-55382006000100021-scl","Pathology","Billis, Athanase","International braz j urol; 32(1); 110-112","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100021&lang=pt" 
"S1677-55382006000100020-scl","Urogenital trauma","Brandes, Steven B.","International braz j urol; 32(1); 107-110","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100020&lang=pt" 
"S1677-55382006000100015-scl","Using porcine acellular collagen matrix (Pelvicol®) in bladder augmentation: experimental study","Ayyildiz, Ali, Nuhoglu, Baris, Huri, Emre, Ozer, Elif, Gurdal, Mesut, Germiyanoglu, Cankon","International braz j urol; 32(1); 88-93","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100015&lang=pt" 
"S1677-55382006000100009-scl","Penile lesion from gunshot wound: a 43-case experience","Cavalcanti, Andre G., Krambeck, Renato, Araujo, Alexandre, Manes, Carlos H., Favorito, Luciano A.","International braz j urol; 32(1); 56-63","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100009&lang=pt" 
"S1677-55382006000100005-scl","Urinary retention and the role of indwelling catheterization following total knee arthroplasty","Kumar, P., Mannan, K., Chowdhury, A.M., Kong, K.C., Pati, J.","International braz j urol; 32(1); 31-34","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100005&lang=pt" 
"S1677-55382006000100004-scl","A cost-effective technique for pure laparoscopic live donor nephrectomy","Siqueira Jr, Tiberio M, Mitre, Anuar I., Simoes, Fabiano A., Maciel, Andre F., Ferraz, Alvaro M., Arap, Sami","International braz j urol; 32(1); 23-30","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100004&lang=pt" 
"S1677-55382006000100003-scl","Radical nephrectomy performed by open, laparoscopy with or without hand-assistance or robotic methods by the same surgeon produces comparable perioperative results","Nazemi, Tanya, Galich, Anton, Sterrett, Samuel, Klingler, Douglas, Smith, Lynette, Balaji, K.C.","International braz j urol; 32(1); 15-22","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100003&lang=pt" 
"S1677-55382006000100012-scl","Utilization of skin flap for reconstruction of the genitalia after an electric burn","Castro, Rodrigo B., Oliveira, Ana B., Favorito, Luciano A.","International braz j urol; 32(1); 68-69","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100012&lang=pt" 
"S1677-55382006000100011-scl","Paratesticular leiomyosarcoma treated by enucleation","Lopes, Roberto I., Leite, Katia R., Lopes, Roberto N.","International braz j urol; 32(1); 66-67","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100011&lang=pt" 
"S1677-55382006000100006-scl","Analysis of prognostic factors in patients with transitional cell carcinoma of the bladder treated with radical cystectomy","Antunes, Alberto A., Nesrallah, Luciano J., Dall&#039;Oglio, Marcos F., Ferreira, Yuri A., Passerotti, Carlo C., Leite, Katia R., Ortiz, Valdemar, Srougi, Miguel","International braz j urol; 32(1); 35-42","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100006&lang=pt" 
"S1677-55382006000100007-scl","Prostate cancer pathologic stage pT2b (2002 TNM staging system): does it exist?","Quintal, Maisa M., Magna, Luis A., Guimaraes, Marbele S., Ruano, Thais, Ferreira, Ubirajara, Billis, Athanase","International braz j urol; 32(1); 43-47","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100007&lang=pt" 
"S1677-55382006000100008-scl","Age impact in clinicopathologic presentation and the clinical evolution of prostate cancer in patients submitted to radical prostatectomy","Antunes, Alberto A., Crippa, Alexandre, Dall&#039;Oglio, Marcos F., Nesrallah, Luciano J., Leite, Katia R., Srougi, Miguel","International braz j urol; 32(1); 48-55","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100008&lang=pt" 
"S1677-55382006000100010-scl","Primary diffuse large B-cell lymphoma of the prostate in a young patient","Alvarez, Carlos A., Rodriguez, Begona I., Perez, Luis A.","International braz j urol; 32(1); 64-65","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100010&lang=pt" 
"S1677-55382006000100022-scl","Investigative urology","Sampaio, Francisco","International braz j urol; 32(1); 112-114","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100022&lang=pt" 
"S1677-55382006000100018-scl","Endourology &amp; laparoscopy","Kim, Fernando J.","International braz j urol; 32(1); 103-105","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100018&lang=pt" 
"S0482-50042006000100003-scl","Efeito da eutonia no tratamento da fibromialgia","Maeda, Cecília, Martinez, José Eduardo, Neder, Matilde","Revista Brasileira de Reumatologia; 46(1); 3-10","Revista Brasileira de Reumatologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042006000100003&lang=pt" 
"S0482-50042006000100006-scl","Validação da versão brasileira do Fibromyalgia Impact Questionnaire (FIQ)","Marques, Amélia Pasqual, Santos, Adriana M. Barsante, Assumpção, Ana, Matsutani, Luciana Akemi, Lage, Lais V., Pereira, Carlos Alberto B.","Revista Brasileira de Reumatologia; 46(1); 24-31","Revista Brasileira de Reumatologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042006000100006&lang=pt" 
"S0482-50042006000100009-scl","A prevalência de fibromialgia: uma revisão de literatura","Cavalcante, Alane B., Sauer, Juliana F., Chalot, Suellen D., Assumpção, Ana, Lage, Lais V., Matsutani, Luciana Akemi, Marques, Amélia Pasqual","Revista Brasileira de Reumatologia; 46(1); 40-48","Revista Brasileira de Reumatologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042006000100009&lang=pt" 
"S1677-55382006000100013-scl","Comparative analysis of the symptomatology of children with lower urinary tract dysfunction in relation to objective data","Barroso Jr, Ubirajara, Nova, Thiago, Dultra, Anderson, Lordelo, Patricia, Andrade, Juarez, Vinhaes, Antonio J.","International braz j urol; 32(1); 70-76","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100013&lang=pt" 
"S1677-55382006000100017-scl","Stone disease","Pearle, Margaret S.","International braz j urol; 32(1); 101-103","International braz j urol","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382006000100017&lang=pt" 
"S0100-40422006000100015-scl","Desenvolvimento de colunas cromatográficas de meios de acesso restrito proteína-imobilizada e suas avaliações para análise de fármacos com injeção direta de plasma humano","Lima, Virgínia Veronica de, Cassiano, Neila Maria, Cass, Quezia Bezerra","Química Nova; 29(1); 72-78","Química Nova","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422006000100015&lang=pt" 
"S0100-40422006000100016-scl","Uso de lodo de estação de tratamento de água centrifugado em matriz de concreto de cimento portland para reduzir o impacto ambiental","Hoppen, Cinthya, Portella, Kleber F., Joukoski, Alex, Trindade, Eduardo M., Andreóli, Cléverson V.","Química Nova; 29(1); 79-84","Química Nova","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422006000100016&lang=pt" 
"S0100-40422006000100017-scl","Caracterização química de glucanas fúngicas e suas aplicações biotecnológicas","Silva, Maria de Lourdes Corradi da, Martinez, Paula Felippe, Izeli, Nataly Lino, Silva, Iara Ribeiro, Vasconcelos, Ana Flora Dalberto, Cardoso, Marilsa de Stefani, Stelutti, Rosângela Maria, Giese, Ellen Cristine, Barbosa, Aneli de Melo","Química Nova; 29(1); 85-92","Química Nova","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422006000100017&lang=pt" 
"S0100-40422006000100019-scl","Cerâmicas bioativas: estado da arte","Andrade, Ângela Leão, Domingues, Rosana Zacarias","Química Nova; 29(1); 100-104","Química Nova","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422006000100019&lang=pt" 
"S0100-40422006000100020-scl","Utilização de técnicas eletroanalíticas na determinação de pesticidas em alimentos","Galli, Andressa, De Souza, Djenaine, Garbellini, Gustavo S., Coutinho, Cláudia F. B., Mazo, Luiz H., Avaca, Luis A., Machado, Sergio A. S.","Química Nova; 29(1); 105-112","Química Nova","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422006000100020&lang=pt" 
"S0100-40422006000100021-scl","Estresse oxidativo: relação entre geração de espécies reativas e defesa do organismo","Barreiros, André L. B. S., David, Jorge M., David, Juceni P.","Química Nova; 29(1); 113-123","Química Nova","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422006000100021&lang=pt" 
"S0100-40422006000100030-scl","A importância da Química Analítica Qualitativa nos cursos de Química das instituições de ensino superior brasileiras","Alvim, Terezinha Ribeiro, Andrade, João Carlos de","Química Nova; 29(1); 168-172","Química Nova","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422006000100030&lang=pt" 
"S0100-40422006000100023-scl","Filmes de nanodiamantes para aplicações em sistemas eletroquímicos e tecnologia aeroespacial","Azevedo, Adriana Faria, Ferreira, Neidenêi Gomes","Química Nova; 29(1); 129-136","Química Nova","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422006000100023&lang=pt" 
"S1807-59322006000100016-scl","Primary schwannoma of the right atrium: successful surgical resection","Stolf, Noedir A. G., Santos, Gilmar G., Sobral, Marcelo L. P., Haddad, Victor L. S.","Clinics; 61(1); 87-88","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000100016&lang=pt" 
"S1807-59322006000100015-scl","Primary pulmonary paraganglioma: case report and literature review","Silva, Rodrigo Afonso da, Gross, Jefferson Luiz, Haddad, Fábio J., Toledo, Cíntia A. B., Younes, Riad N.","Clinics; 61(1); 83-86","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000100015&lang=pt" 
"S1807-59322006000100014-scl","Atypical choroidal melanoma: report of 3 cases","Nicoletti, André Gustavo Bombana, Costa, Deborah Salerno, Ghanem, Ramon Coral, Carricondo, Pedro Carlos, Santo, Ruth Miyuki, Matayoshi, Suzana","Clinics; 61(1); 79-82","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000100014&lang=pt" 
"S1807-59322006000100003-scl","In vitro sensitivity of dermatophytes to urea","Martins, José Eduardo Costa, Corim, Simone Miwa, Arriagada, Giovanna Letícia Hernández, Melo, Natalina Takahashi de, Heins, Elisabeth Maria","Clinics; 61(1); 9-14","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000100003&lang=pt" 
"S1807-59322006000100004-scl","Use of multiple antimicrobial drugs by clinical patients: a prognostic index of hospital mortality?","Spiandorello, Wilson P., Faintuch, Joel, Ribeiro, Georgia T., Karkow, Francisco J., Alvares, Jacqueline O.","Clinics; 61(1); 15-20","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000100004&lang=pt" 
"S1807-59322006000100005-scl","Intestinal ischemia/reperfusion induces bronchial hyperreactivity and increases serum TNF-alpha in rats","Arruda, Marcio Jose Cristiano de, Poggetti, Renato Sergio, Fontes, Belchor, Younes, Riad N., Souza Jr., Almerindo Lourenço, Birolini, Dario","Clinics; 61(1); 21-28","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000100005&lang=pt" 
"S1807-59322006000100006-scl","Outcome after surgical repair of sealed rupture abdominal aortic aneurysms: a case-control study","Bonamigo, Telmo Pedro, Becker, Monica, Weber, Elton Luiz Schmidt, Bianco, Cláudia, Miranda Jr, Fausto, Figueiredo, Luiz Francisco Poli de","Clinics; 61(1); 29-34","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000100006&lang=pt" 
"S1807-59322006000100007-scl","Delirium in elderly individuals with hip fracture: causes, incidence, prevalence, and risk factors","Furlaneto, Maria Elizabet, Garcez-Leme, Luiz Eugênio","Clinics; 61(1); 35-40","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000100007&lang=pt" 
"S1807-59322006000100002-scl","Seeking harmonization and quality in clinical trials","Dainesi, Sonia Mansoldo","Clinics; 61(1); 3-8","Clinics","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000100002&lang=pt" 
"S1807-59322006000100012-scl","Sepsis: emerging role of nitric oxide and selectins","Chandra, Abhijit, Enkhbaatar, Perenlei, Nakano, Yoshimitshu, Traber, Lillian D, Traber, Daniel L.","Clinics; 61(1); 71-76","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000100012&lang=pt" 
"S0100-40422006000100003-scl","Remoção de cor em soluções de corantes reativos por oxidação com H2O2/UV","Araujo, Fabiana Valéria da Fonseca, Yokoyama, Lídia, Teixeira, Luiz Alberto César","Química Nova; 29(1); 11-14","Química Nova","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422006000100003&lang=pt" 
"S0034-89102006000100002-spa","História da saúde pública no Estado de São Paulo","Mascarenhas, Rodolfo dos Santos","Revista de Saúde Pública; 40(1); 3-13","Revista de Saúde Pública","Português","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102006000100002&lang=pt" 
