"S0718-33052006000100010-chl","TRANSFORMATIONAL AND TRANSACTIONAL LEADERSHIP: A STUDY OF THEIR INFLUENCE IN SMALL COMPANIES","Pedraja-Rejas, Liliana, Rodríguez-Ponce, Emilio, Delgado-Almonte, Milagros, Rodríguez-Ponce, Juan","Ingeniare. Revista chilena de ingeniería; 14(2); 159-166","Ingeniare. Revista chilena de ingeniería","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052006000100010&lang=pt" 
"S1130-01082006000800013-esp","Metástasis esplénica metacrónica de cáncer de colon: Presentación de un caso infrecuente","Lobato, L., Pérez-Lara, J., Moreno, F. J., Oliva, H.","Revista Española de Enfermedades Digestivas; 98(8); 629-631","Revista Española de Enfermedades Digestivas","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800013&lang=pt" 
"S1130-01082006000800016-esp","FE DE ERRATAS","","Revista Española de Enfermedades Digestivas; 98(8); 634-634","Revista Española de Enfermedades Digestivas","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800016&lang=pt" 
"S0365-66912006000800002-esp","Liberación de agentes neuroprotectores en la cavidad vítrea mediante polímeros: un tratamiento potencial para el glaucoma","Young, M.J., Klassen, H.J.","Archivos de la Sociedad Española de Oftalmología; 81(8); 429-432","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000800002&lang=pt" 
"S0365-66912006000800012-esp","Carlos Finlay, oftalmólogo y microbiólogo Puerto Príncipe (Cuba), 1833 - La Habana, 1915","Noguera, J.J.","Archivos de la Sociedad Española de Oftalmología; 81(8); 489-490","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000800012&lang=pt" 
"S0365-66912006000800003-esp","Reflexiones sobre la docencia de la oftalmología","Pérez-Rico, C., Pareja-Esteban, J., Montes-Mollón, M.A.","Archivos de la Sociedad Española de Oftalmología; 81(8); 433-433","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000800003&lang=pt" 
"S0365-66912006000800010-esp","Presentación inusual en el párpado de pilomatricoma","Izquierdo-Rodríguez, C., Mencía-Gutiérrez, E., Gutiérrez-Díaz, E., Suárez-Gauthier, A.","Archivos de la Sociedad Española de Oftalmología; 81(8); 483-485","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000800010&lang=pt" 
"S0365-66912006000800008-esp","Luxación del cristalino: etiología y resultados","González-Castaño, C., Castro, J., Álvarez-Sánchez, M.","Archivos de la Sociedad Española de Oftalmología; 81(8); 471-477","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000800008&lang=pt" 
"S0365-66912006000800005-esp","Biomicroscopía ultrasónica en esclerectomía profunda no perforante con un nuevo implante acrílico","Contreras, I., Noval, S., Muñoz-Negrete, F.J., Rebolleda, G., García-Feijoó, J., Cámara, J. de la","Archivos de la Sociedad Española de Oftalmología; 81(8); 445-449","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000800005&lang=pt" 
"S0365-66912006000800007-esp","Estudio comparativo de la inervación coroidea en el hombre y en el conejo (oryctolagus cuniculus)","De Hoz, R., Salazar, J.J., Ramírez, A.I., Rojas, B., Triviño, A., Ramírez, J.M.","Archivos de la Sociedad Española de Oftalmología; 81(8); 463-470","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000800007&lang=pt" 
"S0365-66912006000800013-esp","Oftalmología","Muñoz-Negrete, Francisco J.","Archivos de la Sociedad Española de Oftalmología; 81(8); 491-492","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000800013&lang=pt" 
"S0365-66912006000800011-esp","Tengo el «plenk» en mis manos...","Arruga-Forgas, A.","Archivos de la Sociedad Española de Oftalmología; 81(8); 487-487","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000800011&lang=pt" 
"S0365-66912006000800009-esp","Neuritis óptica tras vacunación de meningitis","Laria, C., Alió, J., Rodríguez, J.L., Sánchez, J., Galal, A.","Archivos de la Sociedad Española de Oftalmología; 81(8); 479-481","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000800009&lang=pt" 
"S0365-66912006000800001-esp","Ambliopía por anisometropía: ver para creer","Tejedor, J.","Archivos de la Sociedad Española de Oftalmología; 81(8); 427-428","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000800001&lang=pt" 
"S0365-66912006000800006-esp","Metástasis orbitarias: Serie de cuatro casos y revisión de la literatura","González, F., López, C.","Archivos de la Sociedad Española de Oftalmología; 81(8); 451-462","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000800006&lang=pt" 
"S0365-66912006000800004-esp","Manejo terapéutico de la queratopatía asociada a aniridia congénita","López-García, J.S., García-Lozano, I., Rivas, L., Martínez-Garchitorena, J.","Archivos de la Sociedad Española de Oftalmología; 81(8); 435-444","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000800004&lang=pt" 
"S1130-14732006000400006-esp","&quot;Benign&quot; shaken baby syndrome: Case report","Martínez-Lage, J.F., Ros de San Pedro, J., Puche, A., Pérez-Espejo, M.A.","Neurocirugía; 17(4); 348-350","Neurocirugía","Inglês","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732006000400006&lang=pt" 
"S1130-14732006000400005-esp","Glioblastoma familiar múltiple de aparición metácrona: implicaciones etiopatogénicas y pronósticas","Iza, B., Mateo-Sierra, O., Ruiz-Juretszke, F., Garbizu, J., Guzmán de Villoria, J., Carrillo, R.","Neurocirugía; 17(4); 340-347","Neurocirugía","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732006000400005&lang=pt" 
"S1130-14732006000400002-esp","Malformaciones arteriovenosas intracraneales y radiocirugía con LINAC: artículo de revisión","Moreno-Jiménez, S., Celis-López, M.A., Lárraga-Gutiérrez, J.M., Herrera-Gómez, L., Suárez-Campos, J.J., García-Garduño, A., Hernández-Bojórquez, M.","Neurocirugía; 17(4); 317-324","Neurocirugía","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732006000400002&lang=pt" 
"S1130-14732006000400007-esp","Obliteración del seno frontal mediante injerto de tibia y plasma rico en plaquetas para el tratamiento de la osteomielitis crónica","Acosta-Feria, M., Infante-Cossío, P., Hernández-Guisado, J.M., Torres-Carranza, E., García-Perla, A., Belmonte-Caro, R., Gutiérrez-Pérez, J.L.","Neurocirugía; 17(4); 351-356","Neurocirugía","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732006000400007&lang=pt" 
"S1130-14732006000400003-esp","Calidad de vida en pacientes con aneurismas intracraneales: cirugía versus tratamiento endovascular","Katati, M.J., Santiago-Ramajo, S., Saura, E., Jorques, A., Pérez-García, M., Martín-Linares, J.M., Mínguez-Castellano, A., Escamilla-Sevilla, F., Arjona, V.","Neurocirugía; 17(4); 325-332","Neurocirugía","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732006000400003&lang=pt" 
"S1130-14732006000400009-esp","Recensión de libros","","Neurocirugía; 17(4); 376-378","Neurocirugía","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732006000400009&lang=pt" 
"S1130-14732006000400008-esp","Revisión de revistas","","Neurocirugía; 17(4); 358-372","Neurocirugía","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732006000400008&lang=pt" 
"S0327-95452006000200001-arg","Determination of vanadium accumulation in onion root cells (Allium cep a L.) and its correlation with toxicity","Marcano, Letty, Carruyo, Ingrid, Fernández, Yusmary, Montiel, Xiomara, Torrealba, Zaida","Biocell; 30(2); 259-267","Biocell","Inglês","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452006000200001&lang=pt" 
"S0327-95452006000200002-arg","Construction of engineered murine Embryonic stem cells with conditional knockout of FGFR2 depending on Cre-loxP","Wang, Jianmin, Song, Ruihua, Chen, Lei, Yin, Liangjun, Chen, Bo, Sun, Jing, Gou, Yuanbing, Zhao, Ling, Chen, Lin","Biocell; 30(2); 269-278","Biocell","Inglês","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452006000200002&lang=pt" 
"S0327-95452006000200003-arg","Comparative fine structure of the epididymal spermatozoa from three korean shrews with considerations on their phylogenetic relationships","Soon-Jeong, Jeong, Joo-Cheol, Park, Heung-Joong, Kim, Chun, Sik Bae, Myung-Hee, Yoon, Do-Seon, Lim, Moon-Jin, Jeong","Biocell; 30(2); 279-286","Biocell","Inglês","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452006000200003&lang=pt" 
"S0327-95452006000200004-arg","Morphology and histology of P. argentinus (Crustacea, Decapoda, Caridea) digestive tract","Sousa, Liliana, Petriella, Ana María","Biocell; 30(2); 287-294","Biocell","Inglês","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452006000200004&lang=pt" 
"S0327-95452006000200005-arg","Effects of the ascorbic acid supplementation on NADH-diaphorase myenteric neurons in the duodenum of diabetic rats","Pereira, Marli Aparecida Dos Santos, Bagatin, Maria Claúdia, Zanoni, Jacqueline Nelisis","Biocell; 30(2); 295-300","Biocell","Inglês","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452006000200005&lang=pt" 
"S0327-95452006000200006-arg","Evaluation of a multiplex PCR method to detect enteroaggregative Escherichia coli","Rüttler, M.E., Yanzón, C.S., Cuitiño, M.J., Renna, N.F., Pizarro, M.A., Ortiz, A.M.","Biocell; 30(2); 301-308","Biocell","Inglês","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452006000200006&lang=pt" 
"S0327-95452006000200007-arg","CAS role in the brain apoptosis of Bufo arenarum induced by Cypermethrin","Izaguirre, M. F., Vergara, M. N., Casco, V. H.","Biocell; 30(2); 309-320","Biocell","Inglês","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452006000200007&lang=pt" 
"S0327-95452006000200008-arg","Salicylic acid permeation: A comparative study with different vehicles and membranes","Olivella, Mónica S., Debattista, Nora B., Pappano, Nora B.","Biocell; 30(2); 321-324","Biocell","Inglês","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452006000200008&lang=pt" 
"S0327-95452006000200009-arg","AlejandraLaura Estebenet: 1960-2005","","Biocell; 30(2); 327-327","Biocell","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452006000200009&lang=pt" 
"S0327-95452006000200010-arg","Conchological variation in Pomacea canaliculata and other South American Ampullariidae (Caenogastropoda, Architaenioglossa)","Estebenet, Alejandra L., Martín, Pablo R., Silvana, Burela","Biocell; 30(2); 329-335","Biocell","Inglês","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452006000200010&lang=pt" 
"S0327-95452006000200011-arg","Fossil record of Pomacea (Caenogastropoda: Ampullariidae) in Argentina and its paleoenvironmental implications","Martín, Pablo R., de Francesco, Claudio G.","Biocell; 30(2); 337-343","Biocell","Inglês","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452006000200011&lang=pt" 
"S0327-95452006000200012-arg","An integrative view to structure, function, ontogeny and phylogenetical significance of the male genital system in Pomacea canaliculata (Caenogastropoda, Ampullariidae)","Gamarra-Luques, C., Winik, B.C., Vega, I.A., Albrecht, E.A., Catalan, N.M., Castro-Vazquez, A.","Biocell; 30(2); 345-357","Biocell","Inglês","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452006000200012&lang=pt" 
"S0327-95452006000200013-arg","Biochemical composition, tissue origin and functional properties of egg perivitellins from Pomacea canaliculata","Dreon, Marcos S., Heras, Horacio, Pollero, Ricardo J.","Biocell; 30(2); 359-365","Biocell","Inglês","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452006000200013&lang=pt" 
"S0327-95452006000200014-arg","Facultative and obligate symbiotic associations of Pomacea canaliculata (Caenogastropoda, Ampullariidae)","Vega, I.A., Damborenea, M.C., Gamarra-Luques, C., Koch, E., Cueto, J.A., Castro-Vazquez, A.","Biocell; 30(2); 367-375","Biocell","Inglês","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-95452006000200014&lang=pt" 
"S1665-11462006000400001-mex","Conducta suicida y adolescencia","del Bosque-Garza, Jesús","Boletín médico del Hospital Infantil de México; 63(4); 221-222","Boletín médico del Hospital Infantil de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462006000400001&lang=pt" 
"S1665-11462006000400010-mex","Uso de tacrolimus en pediatría","Reyes-Pérez, Herlinda, Medeiros-Domingo, Mara","Boletín médico del Hospital Infantil de México; 63(4); 276-285","Boletín médico del Hospital Infantil de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462006000400010&lang=pt" 
"S1665-11462006000400002-mex","Violencia autodirigida en la adolescencia: el intento de suicidio","Sauceda-García, Juan Manuel, Lara-Muñoz, Ma. del Carmen, Fócil-Márquez, Mónica","Boletín médico del Hospital Infantil de México; 63(4); 223-231","Boletín médico del Hospital Infantil de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462006000400002&lang=pt" 
"S1665-11462006000400003-mex","Discrepancia entre los diagnósticos clínicos y por autopsia en un hospital pediátrico de tercer nivel","Richardson-López Collada, Vesta, Coronel-Martínez, Diana Leticia","Boletín médico del Hospital Infantil de México; 63(4); 232-240","Boletín médico del Hospital Infantil de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462006000400003&lang=pt" 
"S1665-11462006000400004-mex","Factores etiológicos relacionados al pronóstico de la epilepsia en niños con síndrome de Möebius","Cruz-Martínez, Enoé, Escobar-Mendoza, Edil, Santana-García, Feliciano, Urrutia-Ruíz, Marco, Barragán-Pérez, Eduardo, Espinoza-Montero, Rubén, Pérez-Ramírez, Mariel, Hernández-Aguilar, Juan, Hernández-Hernández, Marisela, Garza-Morales, Saúl","Boletín médico del Hospital Infantil de México; 63(4); 241-246","Boletín médico del Hospital Infantil de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462006000400004&lang=pt" 
"S1665-11462006000400005-mex","Frecuencia y mecanismos de exposición accidental a productos biológicos potencialmente infecciosos en personal de salud","Morales-Aguirre, José Juan","Boletín médico del Hospital Infantil de México; 63(4); 247-254","Boletín médico del Hospital Infantil de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462006000400005&lang=pt" 
"S1665-11462006000400006-mex","Aplasia adquirida de la serie roja por infección por parvovirus B19 en una adolescente con trasplante renal","Portillo-Carrillo, Martha, Velásquez-Jones, Luis, Gómezchico-Velasco, Rebeca, Medeiros-Domingo, Mara, Valverde-Rosas, Saúl, Reséndiz-Núñez, Verónica, Cuervo-Moreno, Eunice, Muñiz-Ronquillo, Teodoro, Varela-Fascinetto, Gustavo, Romero-Navarro, Benjamín","Boletín médico del Hospital Infantil de México; 63(4); 255-263","Boletín médico del Hospital Infantil de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462006000400006&lang=pt" 
"S1665-11462006000400007-mex","Lesiones cutáneas no cicatrizales como único dato clínico del síndrome de varicela congénita: reporte de un caso","Reyna-Figueroa, Jesús, Ortiz-Ibarra, Federico Javier, Pérez-Antonio, Beatriz","Boletín médico del Hospital Infantil de México; 63(4); 264-267","Boletín médico del Hospital Infantil de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462006000400007&lang=pt" 
"S1665-11462006000400008-mex","Toes hair thread tourniquet syndrome: Case report","Gutiérrez-Gómez MD, Claudia, Hernández- Antúnez MD, Blanca G.","Boletín médico del Hospital Infantil de México; 63(4); 268-268","Boletín médico del Hospital Infantil de México","Inglês","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462006000400008&lang=pt" 
"S1665-11462006000400009-mex","Maltrato infantil y síndrome de muerte súbita del lactante: estrategias para el diagnóstico diferencial","Loredo-Abdalá, Arturo, Trejo-Hernández, Jorge, Jordán-González, Nancy Teresa, López-Navarrete, Gloria, Muñoz-García, Armando, Perea-Martínez, Arturo, Ridaura-Sainz, Cecilia","Boletín médico del Hospital Infantil de México; 63(4); 269-275","Boletín médico del Hospital Infantil de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462006000400009&lang=pt" 
"S1519-70772006000200008-scl","Efectos de la normalización contable internacional en españa y Portugal para un sector económico estratégico","Falcón Pérez, C. Esther, Fuentes Perdomo, Juana","Revista Contabilidade &amp; Finanças; 17(41); 100-109","Revista Contabilidade &amp; Finanças","Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000200008&lang=pt" 
"S1519-70772006000200001-scl","Editorial: a sustentabilidade na pós-graduação em contabilidade","Frezatti, Fábio","Revista Contabilidade &amp; Finanças; 17(41); 3-3","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000200001&lang=pt" 
"S1519-70772006000400001-scl","Editorial","Nakagawa, Masayuki","Revista Contabilidade &amp; Finanças; 17(spe); 3-3","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000400001&lang=pt" 
"S1519-70772006000400009-scl","Gestão baseada em valor aplicada ao terceiro setor","Assaf Neto, Alexandre, Araújo, Adriana Maria Procópio de, Fregonesi, Mariana Simões Ferraz do Amaral","Revista Contabilidade &amp; Finanças; 17(spe); 105-118","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000400009&lang=pt" 
"S1519-70772006000400003-scl","Remuneração em opções de ações: o SFAS 123 revisado","Galdi, Fernando Caio, Carvalho, L Nelson","Revista Contabilidade &amp; Finanças; 17(spe); 23-35","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000400003&lang=pt" 
"S1519-70772006000400002-scl","Em busca de um melhor entendimento da contabilidade gerencial através da integração de conceitos da psicologia, cultura organizacional e teoria institucional","Guerreiro, Reinaldo, Frezatti, Fábio, Casado, Tânia","Revista Contabilidade &amp; Finanças; 17(spe); 7-21","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000400002&lang=pt" 
"S1519-70772006000400005-scl","A teoria das estruturas organizacionais de Mintzberg e a gestão estratégica de custos: um estudo nas ONGs paulistas","Aguiar, Andson Braga de, Martins, Gilberto de Andrade","Revista Contabilidade &amp; Finanças; 17(spe); 51-64","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000400005&lang=pt" 
"S1519-70772006000400006-scl","Governança corporativa: nível de evidenciação das informações e sua relação com a volatilidade das ações do Ibovespa","Malacrida, Mara Jane Contrera, Yamamoto, Marina Mitiyo","Revista Contabilidade &amp; Finanças; 17(spe); 65-79","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000400006&lang=pt" 
"S1519-70772006000400007-scl","Lógica nebulosa para avaliar riscos na auditoria","Antunes, Jerônimo","Revista Contabilidade &amp; Finanças; 17(spe); 80-91","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000400007&lang=pt" 
"S1519-70772006000400008-scl","El estudio del anuncio de la adhesión a los niveles diferenciados de gobierno corporativo con la utilización de estudio de evento","Lima, Gerlando Augusto Sampaio Franco de, Barbosa, Alexandro, Marzal, José Luis Sarto, Lima, Iran Siqueira, Corrar, Luiz J","Revista Contabilidade &amp; Finanças; 17(spe); 92-104","Revista Contabilidade &amp; Finanças","Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000400008&lang=pt" 
"S1519-70772006000200002-scl","Conservadorismo em cinco países da América do Sul","Costa, Fábio Moraes da, Lopes, Alexsandro Broedel, Costa, Alessandra Cristina de Oliveira","Revista Contabilidade &amp; Finanças; 17(41); 7-20","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000200002&lang=pt" 
"S1519-70772006000200004-scl","Planejamento e controle dos custos da qualidade: uma investigação da prática empresarial","Souza, Marcos Antonio de, Collaziol, Elisandra","Revista Contabilidade &amp; Finanças; 17(41); 38-55","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000200004&lang=pt" 
"S1519-70772006000200007-scl","Seleção de índices na análise de balanços: uma aplicação da técnica estatística &#039;ACP&#039;","Morozini, João Francisco, Olinquevitch, José Leonidas, Hein, Nelson","Revista Contabilidade &amp; Finanças; 17(41); 87-99","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000200007&lang=pt" 
"S1519-70772006000200009-scl","Earnings management: estudo de caso do Banco Nacional","Cupertino, César Medeiros","Revista Contabilidade &amp; Finanças; 17(41); 110-120","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000200009&lang=pt" 
"S1519-70772006000200005-scl","O custo de abandono nas empresas petrolíferas","Santos, Odilanei Morais dos, Marques, José Augusto Veiga da Costa, Silva, Paula Danyelle Almeida da","Revista Contabilidade &amp; Finanças; 17(41); 56-71","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000200005&lang=pt" 
"S1519-70772006000400004-scl","O custo de arrecadação de tributos federais","Bertolucci, Aldo V, Nascimento, Diogo Toledo do","Revista Contabilidade &amp; Finanças; 17(spe); 36-50","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000400004&lang=pt" 
"S1981-81222006000200001-scl","Apresentação","Furtado, Lourdes Gonçalves","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 1(2); -","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222006000200001&lang=pt" 
"S1981-81222006000200008-scl","Estatísticas das produções de pescado estuarino e marítimo do estado do Pará e políticas pesqueiras","Furtado Júnior, Ivan, Tavares, Márcia Cristina da Silva, Brito, Carla Suzy Freire de","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 1(2); 95-111","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222006000200008&lang=pt" 
"S1981-81222006000200002-scl","Pescadores de Sonhos: um olhar sobre as mudanças nas relações de trabalho e na organização social entre as famílias dos pescadores diante do veraneio e do turismo balnear em Salinópolis, Pará","Adrião, Denize","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 1(2); 11-21","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222006000200002&lang=pt" 
"S1981-81222006000200003-scl","Tempo de fartura e tempo de famitura no litoral do Pará","Nascimento, Ivete","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 1(2); 23-33","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222006000200003&lang=pt" 
"S1981-81222006000200005-scl","Pescadores insulares e mercados: aspectos das relações de reciprocidade no comércio de pescado no Pará","Leitão, Wilma Marques, Sousa, Isabel Soares de","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 1(2); 53-64","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222006000200005&lang=pt" 
"S1981-81222006000200006-scl","Mudanças e continuidades do aviamento na pesca artesanal","Alves, Elio de Jesus Pantoja","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 1(2); 65-76","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222006000200006&lang=pt" 
"S1981-81222006000200007-scl","A pesca artesanal e a empresa pesqueira no município de Óbidos, Pará","Aviz, Adriana de","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 1(2); 77-94","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222006000200007&lang=pt" 
"S1981-81222006000200009-scl","Fibras vegetais utilizadas na pesca artesanal na microrregião do Salgado, Pará","Oliveira, Jorge, Potiguara, Raimunda Conceição de Vilhena, Lobato, Luiz Carlos Batista","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 1(2); 113-127","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222006000200009&lang=pt" 
"S1981-81222006000200010-scl","Nutrição e adaptação humana em áreas de pesca na Amazônia: sugestões para políticas em saúde","Aguiar, Gilberto Ferreira de Souza","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 1(2); 129-138","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222006000200010&lang=pt" 
"S1981-81222006000200011-scl","Turismo como instrumento de ação coletiva em áreas pesqueiras do litoral da Amazônia","Quaresma, Helena Doris de Almeida Barbosa, Campos, Raul Ivan Raiol de","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 1(2); 139-147","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222006000200011&lang=pt" 
"S1981-81222006000200012-scl","&quot;Ainda um rio&quot;: afastamento e aproximação entre dois povos indígenas","Barata, Maria Helena","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 1(2); 149-158","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222006000200012&lang=pt" 
