"S0718-58392014000200015-chl","Influence of breed and feeding on the main quality characteristics of sheep carcass and meat: A review","Ramírez-Retamal, Jorge, Morales, Rodrigo","Chilean journal of agricultural research; 74(2); 225-233","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000200015&lang=pt" 
"S1413-81232014000401041-spa","A sociologia da saúde no Brasil - a construção de uma identidade","Nunes, Everardo Duarte","Ciência &amp; Saúde Coletiva; 19(4); 1041-1052","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401041&lang=pt" 
"S1413-81232014000401065-spa","A narrativa nas pesquisas qualitativas em saúde","Castellanos, Marcelo Eduardo Pfeiffer","Ciência &amp; Saúde Coletiva; 19(4); 1065-1076","Ciência &amp; Saúde Coletiva","Inglês, Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401065&lang=pt" 
"S1413-81232014000401103-spa","Reflexividade como éthos da pesquisa qualitativa","Minayo, Maria Cecília de Souza, Guerriero, Iara Coelho Zito","Ciência &amp; Saúde Coletiva; 19(4); 1103-1112","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401103&lang=pt" 
"S1413-81232014000401113-spa","Rastreio do câncer do colo do útero: limites etários, periodicidade e exame ideal: revisão da evidência recente e comparação com o indicador de desempenho avaliado em Portugal","Castro, Bárbara, Ribeiro, Daniela Pinheiro, Oliveira, Joana, Pereira, Miguel Basto, Sousa, Jaime Correia de, Yaphe, John","Ciência &amp; Saúde Coletiva; 19(4); 1113-1122","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401113&lang=pt" 
"S1413-81232014000401135-spa","Grupo etário e periodicidade recomendados para a mamografia de rastreio: uma revisão sistemática","Pereira, Miguel Basto, Oliveira, Joana, Ribeiro, Daniela Pinheiro, Castro, Bárbara, Yaphe, John, Sousa, Jaime Correia de","Ciência &amp; Saúde Coletiva; 19(4); 1135-1140","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401135&lang=pt" 
"S1413-81232014000401141-spa","Validación del cuestionario de medida del conocimiento del paciente sobre su medicamento adaptado al portugués","Rubio, Joaquín Salmerón, García-Delgado, Pilar, Ferreira, Paula Iglésias, Santos, Henrique Mateus, Martínez-Martínez, Fernando","Ciência &amp; Saúde Coletiva; 19(4); 1141-1150","Ciência &amp; Saúde Coletiva","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401141&lang=pt" 
"S1413-81232014000401163-spa","Rastreamento do câncer do colo do útero no Estado do Maranhão, Brasil","Silva, Diego Salvador Muniz da, Silva, Ana Maria Nogueira, Brito, Luciane Maria Oliveira, Gomes, Sinara Regina Lisboa, Nascimento, Maria do Desterro Soares Brandão, Chein, Maria Bethânia da Costa","Ciência &amp; Saúde Coletiva; 19(4); 1163-1170","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401163&lang=pt" 
"S1413-81232014000401171-spa","Occupation and factors associated with exposure to the sun among beach workers","Lucena, Eudes Euler de Souza, Costa, Danielle Clarisse Barbosa, Silveira, Éricka Janine Dantas da, Lima, Kenio Costa","Ciência &amp; Saúde Coletiva; 19(4); 1171-1178","Ciência &amp; Saúde Coletiva","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401171&lang=pt" 
"S1413-81232014000401179-spa","An ecological study on suicide and homicide in Brazil","Bando, Daniel Hideki, Lester, David","Ciência &amp; Saúde Coletiva; 19(4); 1179-1189","Ciência &amp; Saúde Coletiva","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401179&lang=pt" 
"S1413-81232014000401209-spa","Anemia e deficiência de vitamina A em crianças menores de cinco anos assistidas pela Estratégia Saúde da Família no Estado de Pernambuco, Brasil","Paula, Weslla Karla Albuquerque Silva de, Caminha, Maria de Fátima Costa, Figueirôa, José Natal, Batista Filho, Malaquias","Ciência &amp; Saúde Coletiva; 19(4); 1209-1222","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401209&lang=pt" 
"S1413-81232014000401233-spa","Acesso ao diagnóstico da tuberculose em serviços de saúde do município de Vitória, ES, Brasil","Loureiro, Rafaela Borges, Villa, Tereza Cristina Scatena, Ruffino-Netto, Antônio, Peres, Renata Lyrio, Braga, Jose Ueleres, Zandonade, Eliana, Maciel, Ethel Leonor Noia","Ciência &amp; Saúde Coletiva; 19(4); 1233-1244","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401233&lang=pt" 
"S1413-81232014000401245-spa","Os gastos tributários e seus impactos sobre o desempenho da saúde e da educação","Paes, Nelson Leitão","Ciência &amp; Saúde Coletiva; 19(4); 1245-1253","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401245&lang=pt" 
"S1413-81232014000401255-spa","Violência conjugal: as controvérsias no relato dos parceiros íntimos em inquéritos policiais","Silva, Anne Caroline Luz Grüdtner da, Coelho, Elza Berger Salema, Njaine, Kathie","Ciência &amp; Saúde Coletiva; 19(4); 1255-1262","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401255&lang=pt" 
"S1413-81232014000401263-spa","Fatores associados à procura por serviços de saúde numa perspectiva relacional de gênero","Levorato, Cleice Daiana, Mello, Luane Marques de, Silva, Anderson Soares da, Nunes, Altacílio Aparecido","Ciência &amp; Saúde Coletiva; 19(4); 1263-1274","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401263&lang=pt" 
"S1413-81232014000401275-spa","Clinical and epidemiological aspects of scorpion stings in the northeast region of Brazil","Barros, Rafaella Moreno, Pasquino, Jackeline Araujo, Peixoto, Laisla Rangel, Targino, Isabely Tamarys Gomes, Sousa, Jorge Alves de, Leite, Renner de Souza","Ciência &amp; Saúde Coletiva; 19(4); 1275-1282","Ciência &amp; Saúde Coletiva","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401275&lang=pt" 
"S1413-81232014000401283-spa","Do normativo à realidade do Sistema Único de Saúde: revelando barreiras de acesso na rede de cuidados assistenciais","Sousa, Fabiana de Oliveira Silva, Medeiros, Kátia Rejane de, Gurgel Júnior, Garibaldi Dantas, Albuquerque, Paulette Cavalcanti de","Ciência &amp; Saúde Coletiva; 19(4); 1283-1293","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401283&lang=pt" 
"S1413-81232014000401295-spa","Método de mineração de dados para identificação de câncer de mama baseado na seleção de variáveis","Holsbach, Nicole, Fogliatto, Flávio Sanson, Anzanello, Michel Jose","Ciência &amp; Saúde Coletiva; 19(4); 1295-1304","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401295&lang=pt" 
"S1413-81232014000401305-spa","Yoga e promoção da saúde","Barros, Nelson Filice de, Siegel, Pamela, Moura, Soraia Maria de, Cavalari, Thaís Adriana, Silva, Luis Geraldo da, Furlanetti, Maria Renata, Gonçalves, Andrea Vasconcelos","Ciência &amp; Saúde Coletiva; 19(4); 1305-1314","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401305&lang=pt" 
"S1132-05592014000100007-esp","Psychosocial adjustment in aggressive popular and aggressive rejected adolescents at school","Estévez, Estefanía, Emler, Nicholas P., Cava, María J., Inglés, Cándido J.","Psychosocial Intervention; 23(1); 57-67","Psychosocial Intervention","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592014000100007&lang=pt" 
"S1132-05592014000100004-esp","Estrés parental, estrategias de afrontamiento y evaluación del riesgo en madres de familias en riesgo usuarias de los Servicios Sociales","Pérez Padilla, Javier, Álvarez-Dardet, Susana Menéndez, Victoria Hidalgo, María","Psychosocial Intervention; 23(1); 25-32","Psychosocial Intervention","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592014000100004&lang=pt" 
"S1132-05592014000100005-esp","Supporting Portuguese residential child care staff: an exploratory study with the Incredible Years Basic Parent Programme","Simões Silva, Isabel, da Fonseca Gaspar, Maria Filomena","Psychosocial Intervention; 23(1); 33-41","Psychosocial Intervention","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592014000100005&lang=pt" 
"S1132-05592014000100008-esp","Contextos de socialización y consumo de drogas ilegales en adolescentes escolarizados","Sánchez-Sosa, Juan Carlos, Villarreal-González, María Elena, Ávila Guerrero, María Elena, Vera Jiménez, Alejandro, Musitu, Gonzalo","Psychosocial Intervention; 23(1); 69-78","Psychosocial Intervention","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592014000100008&lang=pt" 
"S1132-05592014000100006-esp","&quot;It&#039;s like you&#039;re actually playing as yourself&quot;: development and preliminary evaluation of &#039;Green Acres High&#039;, a serious game-based primary intervention to combat adolescent dating violence","Bowen, Erica, Walker, Kate, Mawer, Matthew, Holdsworth, Emma, Sorbring, Emma, Helsing, Bo, Bolin, Annette, Leen, Eline, Held, Paul, Awouters, Valère, Jans, Sebastiaan","Psychosocial Intervention; 23(1); 43-55","Psychosocial Intervention","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592014000100006&lang=pt" 
"S1132-05592014000100002-esp","La reducción del prejuicio hacia la población gitana en la vida real: efectos de la visita a la exposición &quot;Vidas Gitanas (Lungo Drom)&quot;","Urbiola, Ana, Willis, Guillermo B., Ruiz-Romero, Josefa, Moya, Miguel","Psychosocial Intervention; 23(1); 11-16","Psychosocial Intervention","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592014000100002&lang=pt" 
"S1132-05592014000100003-esp","La predicción de la satisfacción con la vida en personas mayores de Angola: el efecto moderador del género","Gutiérrez, Melchor, Galiana, Laura, Tomás, José Manuel, Sancho, Patricia, Sanchís, Enrique","Psychosocial Intervention; 23(1); 17-23","Psychosocial Intervention","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592014000100003&lang=pt" 
"S1132-05592014000100001-esp","The guys told us crying that they saw how they were killing her and they could not do anything&quot;: psychosocial explorations of migrant journeys to the U.S.","Sládková, Jana","Psychosocial Intervention; 23(1); 1-9","Psychosocial Intervention","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592014000100001&lang=pt" 
"S0212-16112014000400015-esp","Factores asociados a la deficiencia de zinc en niños colombianos: resultados de la Encuesta Nacional de Salud 2010; estudio transversal","Martínez-Torres, Javier, Ramírez-Vélez, Robinson","Nutrición Hospitalaria; 29(4); 832-837","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400015&lang=pt" 
"S0212-16112014000400006-esp","Menú de textura modificada y su utilidad en pacientes con situaciones de riesgo nutricional","Luis, Daniel A. de, Aller, Rocío, Izaola, Olatz","Nutrición Hospitalaria; 29(4); 751-759","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400006&lang=pt" 
"S0212-16112014000400031-esp","Procesamiento emocional en pacientes con trastornos de conducta alimentaria adultas vs adolescentes: reconocimiento emocional y teoría de la mente","Calvo Sagardoy, Rosa, Gallego Morales, Luis Tomás, Solórzano Ostolaza, Gloria, Kassem García, Soledad, Morales Martínez, Carmen, Codesal Julián, Rosana, Blanco Fernández, Ascensión","Nutrición Hospitalaria; 29(4); 941-952","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400031&lang=pt" 
"S0212-16112014000400026-esp","Dietary intake and nutritional status in cancer patients: comparing adults and older adults","Gómez Valiente da Silva, Henyse, Fonseca de Andrade, Camila, Seixas Bello Moreira, Annie","Nutrición Hospitalaria; 29(4); 907-912","Nutrición Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400026&lang=pt" 
"S0212-16112014000400005-esp","A clinical approach to the nutritional care process in protein-energy wasting hemodialysis patients","Ruperto, Mar, Sánchez-Muniz, Francisco J., Barril, Guillermina","Nutrición Hospitalaria; 29(4); 735-750","Nutrición Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400005&lang=pt" 
"S0212-16112014000400002-esp","Ingesta de grasas trans: situación en España","Riobó, Pilar, Bretón, Irene","Nutrición Hospitalaria; 29(4); 704-711","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400002&lang=pt" 
"S1555-79602014000200005-spa","Epidemiology of chronic kidney disease in adults of Salvadoran agricultural communities","Orantes, Carlos M., Herrera, Raúl, Almaguer, Miguel, Brizuela, Elsy G., Núñez, Lilian, Alvarado, Nelly P., Jackeline Fuentes, E., Bayarre, Héctor D., Amaya, Juan Carlos, Calero, Denis J., Vela, Xavier F., Zelaya, Susana M., Granados, Delmy V., Orellana, Patricia","MEDICC Review; 16(2); 23-30","MEDICC Review","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1555-79602014000200005&lang=pt" 
"S1555-79602014000200006-spa","Spatial distribution of unspecified chronic kidney disease in El Salvador by crop area cultivated and ambient temperature","VanDervort, Darcy R., López, Dina L., Orantes, Carlos M., Rodríguez, David S.","MEDICC Review; 16(2); 31-38","MEDICC Review","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1555-79602014000200006&lang=pt" 
"S0212-16112014000400011-esp","Nutritional screening: control of clinical undernutrition with analytical parameters","Ulíbarri Pérez, José Ignacio de, Fernández, Guillermo, Rodríguez Salvanés, Francisco, Díaz López, Ana María","Nutrición Hospitalaria; 29(4); 797-811","Nutrición Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400011&lang=pt" 
"S0212-16112014000400007-esp","Hiperuricemia y gota: el papel de la dieta","Álvarez-Lario, Bonifacio, Alonso-Valdivielso, J. L.","Nutrición Hospitalaria; 29(4); 760-770","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400007&lang=pt" 
"S0212-16112014000400001-esp","A personal view of nutrition in Spain","Zamora, Salvador","Nutrición Hospitalaria; 29(4); 699-703","Nutrición Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400001&lang=pt" 
"S0212-16112014000400004-esp","Chinchón declaration: decalogue on low- and no-calorie sweeteners (LNCS)","Serra-Majem, Lluís, Riobó Serván, Pilar, Belmonte Cortés, Susana, Anadón Navarro, Arturo, Aranceta Bartrina, Javier, Franco Vargas, Eladia, García-Closas, Reina, Gómez-Candela, Carmen, Herrero Sancho, Elvira, La Vecchia, Carlo, López Díaz-Ufano, M.ª Luisa, Varela-Moreiras, Gregorio, Vázquez Castro, Jesús, Ribas-Barba, Lourdes, Alcaraz-Cebrián, Francisca, García-Luna, Pedro Pablo, González-Gomis, Mercedes, González-Gross, Marcela, Granado de la Orden, Susana, López-Sobaler, Ana María, Moreno Villares, José Manuel, Ortega Anta, Rosa María, Pérez-Rodrigo, Carmen, Polanco Allué, Isabel, Urrialde de Andrés, Rafael","Nutrición Hospitalaria; 29(4); 719-734","Nutrición Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400004&lang=pt" 
"S0100-879X2014000400349-scl","Effect of vitamin D therapy in addition to amitriptyline on migraine attacks in pediatric patients","Cayir, A., Turan, M.I., Tan, H.","Brazilian Journal of Medical and Biological Research; 47(4); 349-354","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000400349&lang=pt" 
"S0100-879X2014000400265-scl","Efficacy of cognitive behavioral therapy in reducing psychiatric symptoms in patients with implantable cardioverter defibrillator: an integrative review","Maia, A.C.C.O., Braga, A.A., Soares-Filho, G., Pereira, V., Nardi, A.E., Silva, A.C.","Brazilian Journal of Medical and Biological Research; 47(4); 265-272","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000400265&lang=pt" 
"S0100-879X2014000400321-scl","Acute effect of alcohol intake on sine-wave Cartesian and polar contrast sensitivity functions","Cavalcanti-Galdino, M.K., da Silva, J.A., Mendes, L.C., dos Santos, N.A., Simas, M.L.B.","Brazilian Journal of Medical and Biological Research; 47(4); 321-327","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000400321&lang=pt" 
"S0100-879X2014000400316-scl","Chronotype ontogeny related to gender","Duarte, L.L., Menna-Barreto, L., Miguel, M.A.L., Louzada, F., Araújo, J., Alam, M., Areas, R., Pedrazzoli, M.","Brazilian Journal of Medical and Biological Research; 47(4); 316-320","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000400316&lang=pt" 
"S0100-879X2014000400299-scl","Notch ligand Delta-like 1 promotes the metastasis of melanoma by enhancing tumor adhesion","Zhang, J.P., Li, N., Bai, W.Z., Qiu, X.C., Ma, B.A., Zhou, Y., Fan, Q.Y., Shan, L.Q.","Brazilian Journal of Medical and Biological Research; 47(4); 299-306","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000400299&lang=pt" 
"S0100-879X2014000400307-scl","Trypan blue exclusion assay by flow cytometry","Avelar-Freitas, B.A., Almeida, V.G., Pinto, M.C.X., Mourão, F.A.G., Massensini, A.R., Martins-Filho, O.A., Rocha-Vieira, E., Brito-Melo, G.E.A.","Brazilian Journal of Medical and Biological Research; 47(4); 307-315","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000400307&lang=pt" 
"S0100-879X2014000400345-scl","Salivary testosterone and immunoglobulin A were increased by resistance training in adults with Down syndrome","Fornieles, G., Rosety, M.A., Elosegui, S., Rosety, J.M., Alvero-Cruz, J.R., Garcia, N., Rosety, M., Rodriguez-Pareja, T., Toro, R., Rosety-Rodriguez, M., Ordonez, F.J., Rosety, I.","Brazilian Journal of Medical and Biological Research; 47(4); 345-348","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000400345&lang=pt" 
"S0100-879X2014000400340-scl","Detection of human cytomegalovirus DNA in various blood components after liver transplantation","Chen, X.Y., Hou, P.F., Bi, J., Ying, C.M.","Brazilian Journal of Medical and Biological Research; 47(4); 340-344","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000400340&lang=pt" 
"S0100-879X2014000400273-scl","CIAPIN1 gene silencing enhances chemosensitivity in a drug-resistant animal model in vivo","Wang, X.M., Gao, S.J., Guo, X.F., Sun, W.J., Yan, Z.Q., Wang, W.X., Xu, Y.Q., Lu, D.","Brazilian Journal of Medical and Biological Research; 47(4); 273-278","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000400273&lang=pt" 
"S0100-879X2014000400328-scl","Effects of eugenol on resting tension of rat atria","Olivoto, R.R., Damiani, C.E.N., Kassouf Silva, I., Lofrano-Alves, M.S., Oliveira, M.A., Fogaça, R.T.H.","Brazilian Journal of Medical and Biological Research; 47(4); 328-333","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000400328&lang=pt" 
"S0100-879X2014000400334-scl","Development and validation of a genotype 3 recombinant protein-based immunoassay for hepatitis E virus serology in swine","van der Poel, W.H.M., Pavio, N., van der Goot, J., van Es, M., Martin, M., Engel, B.","Brazilian Journal of Medical and Biological Research; 47(4); 334-339","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000400334&lang=pt" 
"S0100-879X2014000400287-scl","Compounds used to produce cloned animals are genotoxic and mutagenic in mammalian assays in vitro and in vivo","Oliveira, R.J., Mantovani, M.S., da Silva, A.F., Pesarini, J.R., Mauro, M.O., Ribeiro, L.R.","Brazilian Journal of Medical and Biological Research; 47(4); 287-298","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000400287&lang=pt" 
"S0100-879X2014000400279-scl","Delivery of the Sox9 gene promotes chondrogenic differentiation of human umbilical cord blood-derived mesenchymal stem cells in an in vitro model","Wang, Z.H., Li, X.L., He, X.J., Wu, B.J., Xu, M., Chang, H.M., Zhang, X.H., Xing, Z., Jing, X.H., Kong, D.M., Kou, X.H., Yang, Y.Y.","Brazilian Journal of Medical and Biological Research; 47(4); 279-286","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000400279&lang=pt" 
"S0103-21002014000200001-scl","Editorial","Pereira, Mauricio Gomes","Acta Paulista de Enfermagem; 27(2); IV-IV","Acta Paulista de Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002014000200001&lang=pt" 
"S0103-21002014000200007-scl","Revelações manifestas por crianças pré-escolares portadoras de doenças crônicas em tratamento ambulatorial","Matos, Ana Paula Keller de, Canela, Priscilla Caires, Silveira, Aline Oliveira, Wernet, Monika","Acta Paulista de Enfermagem; 27(2); 126-132","Acta Paulista de Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002014000200007&lang=pt" 
"S0185-16592014000100016-mex","Los niños, el hogar y la calle","Escalante Gonzalbo, María de la Paloma","Cuicuilco; 21(59); 323-326","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100016&lang=pt" 
"S0185-16592014000100014-mex","Ideología lingüística y uso del silencio como formas cotidianas de resistencia","Sánchez Pichardo, Pablo","Cuicuilco; 21(59); 315-318","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100014&lang=pt" 
"S0185-16592014000100015-mex","San Andrés Huixtac o la pasión por la imagen","Topete, Hilario","Cuicuilco; 21(59); 319-322","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100015&lang=pt" 
"S0185-16592014000100012-mex","Homenaje al maestro César Huerta Ríos","Padrón Herrera, María Elena, Sepúlveda Garza, Manola, Münch, Guido, Rodríguez Villesca, Rosario, Topete Lara, Hilario, Huerta Ríos, César","Cuicuilco; 21(59); 267-301","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100012&lang=pt" 
"S0185-16592014000100013-mex","Nómadas en un mundo de trampas, primer lugar XXXII Concurso de Fotografía Antropológica &quot;Migraciones&quot;","Ferrer Gudiño, Salvador","Cuicuilco; 21(59); 304-312","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100013&lang=pt" 
"S0185-16592014000100010-mex","Experiencias de familias homoparentales con profesionales de la psicología en México, Distrito Federal: Una aproximación cualitativa","Angulo Menassé, Andrea, Granados Cosme, José Arturo, González Rodríguez, M-Mar","Cuicuilco; 21(59); 211-236","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100010&lang=pt" 
"S0185-16592014000100011-mex","Parámetros del grosor del tejido blando facial de la población española","Valencia Caballero, Lorena","Cuicuilco; 21(59); 237-263","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100011&lang=pt" 
"S0185-16592014000100001-mex","Comentario editorial","Escalante Gonzalbo, María de la Paloma","Cuicuilco; 21(59); 05-06","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100001&lang=pt" 
"S0185-16592014000100003-mex","W. H. R. Rivers: médico, psicólogo, etnólogo y antropólogo británico, y en todo carismático","Korsbaek, Leif","Cuicuilco; 21(59); 41-64","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100003&lang=pt" 
"S0185-16592014000100002-mex","Mujeres indígenas a través de la lente de Frida Hartz","Quiñones Martínez, Marcela","Cuicuilco; 21(59); 9-39","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100002&lang=pt" 
"S0185-16592014000100005-mex","Sobre la orilla del agua: en torno a la dignidad de atenpanecatl y de ciertos espacios de culto a Toci en México-Tenochtitlan","Mazzetto, Elena, Rovira Morgado, Rossend","Cuicuilco; 21(59); 93-120","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100005&lang=pt" 
"S0185-16592014000100004-mex","Resiliencia cultural comunitaria como quehacer político femenino de las mujeres williche del Chaurakawin (Región de los Lagos, Chile)","Duquesnoy, Michel","Cuicuilco; 21(59); 65-91","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100004&lang=pt" 
"S0185-16592014000100007-mex","Las relaciones de poder y sus expresiones territoriales: Signos de lucha en la Patagonia mapuche actual","Schiaffini, Hernán Horacio","Cuicuilco; 21(59); 145-170","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100007&lang=pt" 
"S0185-16592014000100006-mex","Saberes y prácticas en torno al proceso salud/enfermedad/atención entre habitantes del Mezquital, Hidalgo","Bautista Aguilar, Natalia","Cuicuilco; 21(59); 121-144","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100006&lang=pt" 
"S0185-16592014000100009-mex","Funcionalidad y perversión del mito: entorno lacandón","Cabrera Baz, Ángel Fernando","Cuicuilco; 21(59); 193-209","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100009&lang=pt" 
"S0185-16592014000100008-mex","El espejo nacional para leer lo local: El antichinismo en el Chiapas posrevolucionario","Lisbona Guillén, Miguel","Cuicuilco; 21(59); 171-192","Cuicuilco","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592014000100008&lang=pt" 
