"S1516-89132014000100018-scl","Plant cells in the context of climate change","Machado, Marcelo Rubens","Brazilian Archives of Biology and Technology; 57(1); 126-137","Brazilian Archives of Biology and Technology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132014000100018&lang=pt" 
"S1413-81232014000200553-spa","Prevalencia de habitos de succao nao nutritivos em pre-escolares e a percepcao dos pais sobre sua relacao com maloclusoes","Garbin, Clea Adas Saliba, Garbin, Artenio Jose Isper, Martins, Ronald Jefferson, Souza, Neila Paula de, Moimaz, Suzely Adas Saliba","Ciência &amp; Saúde Coletiva; 19(2); 553-558","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200553&lang=pt" 
"S1413-81232014000200333-spa","Pesquisa Nacional de Saude no Brasil: concepcao e metodologia de aplicacao","Szwarcwald, Celia Landmann, Malta, Deborah Carvalho, Pereira, Cimar Azeredo, Vieira, Maria Lucia Franca Pontes, Conde, Wolney Lisboa, Souza Junior, Paulo Roberto Borges de, Damacena, Giseli Nogueira, Azevedo, Luiz Otavio, Azevedo e Silva, Gulnar, Theme Filha, Mariza Miranda, Lopes, Claudia de Souza, Romero, Dalia Elena, Almeida, Wanessa da Silva de, Monteiro, Carlos Augusto","Ciência &amp; Saúde Coletiva; 19(2); 333-342","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200333&lang=pt" 
"S1413-81232014000200343-spa","A atencao primaria a saude na coordenacao das redes de atencao: uma revisao integrativa","Rodrigues, Ludmila Barbosa Bandeira, Silva, Patricia Costa dos Santos, Peruhype, Rarianne Carvalho, Palha, Pedro Fredemir, Popolin, Marcela Paschoal, Crispim, Juliane de Almeida, Pinto, Ione Carvalho, Monroe, Aline Aparecida, Arcencio, Ricardo Alexandre","Ciência &amp; Saúde Coletiva; 19(2); 343-352","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200343&lang=pt" 
"S1413-81232014000200353-spa","Avaliacao do enfoque familiar e orientacao para a comunidade na Estrategia Saude da Familia","Alencar, Monyk Neves de, Coimbra, Liberata Campos, Morais, Ana Patricia Pereira, Silva, Antonio Augusto Moura da, Pinheiro, Siane Rocha de Almeida, Queiroz, Rejane Christine de Sousa","Ciência &amp; Saúde Coletiva; 19(2); 353-364","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200353&lang=pt" 
"S1413-81232014000200365-spa","Atencao Primaria e saude materno-infantil: a percepcao de cuidadores em uma comunidade rural quilombola","Marques, Amaro Sergio, Freitas, Daniel Antunes, Leao, Claudia Danyella Alves, Oliveira, Stephany Ketllin Mendes, Pereira, Mayane Moura, Caldeira, Antonio Prates","Ciência &amp; Saúde Coletiva; 19(2); 365-371","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200365&lang=pt" 
"S1413-81232014000200373-spa","A inclusao da equipe de saude bucal na Estrategia Saude da Familia: entraves, avancos e desafios","Mattos, Grazielle Christine Maciel, Ferreira, Efigenia Ferreira e, Leite, Isabel Cristina Goncalves, Greco, Rosangela Maria","Ciência &amp; Saúde Coletiva; 19(2); 373-382","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200373&lang=pt" 
"S1413-81232014000200383-spa","A resolutividade em saude bucal na atencao basica como instrumento para avaliacao dos modelos de atencao","Bulgareli, Jaqueline, Cortellazzi, Karine Laura, Ambrosano, Glaucia Maria Bovi, Meneghim, Marcelo de Castro, Faria, Eduardo Tanajura de, Mialhe, Fabio Luiz, Pereira, Antonio Carlos","Ciência &amp; Saúde Coletiva; 19(2); 383-391","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200383&lang=pt" 
"S1413-81232014000200393-spa","Perfil dos gerentes de Atencao Primaria a Saude de municipios de pequeno porte do norte do Parana, Brasil","Ohira, Regina Hitomi Fukuda, Cordoni Junior, Luiz, Nunes, Elisabete de Fatima Polo de Almeida","Ciência &amp; Saúde Coletiva; 19(2); 393-400","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200393&lang=pt" 
"S1413-81232014000200401-spa","Adesao ao Programa de Educacao Permanente para medicos de familia de um Estado da Regiao Sudeste do Brasil","d&#039;Avila, Luciana Souza, Assis, Lucilia Nunes de, Melo, Marilene Barros de, Brant, Luiz Carlos","Ciência &amp; Saúde Coletiva; 19(2); 401-416","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200401&lang=pt" 
"S1413-81232014000200417-spa","Sentidos de saude e modos de cuidar de si elaborados por homens usuarios de Unidade Basica de Saude - UBS","Silva, Fabiane Aguiar, Silva, Iolete Ribeiro da","Ciência &amp; Saúde Coletiva; 19(2); 417-428","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200417&lang=pt" 
"S1413-81232014000200429-spa","Atencao a saude dos homens no ambito da Estrategia Saude da Familia","Moura, Erly Catarina de, Santos, Wallace dos, Neves, Alice Cristina Medeiros das, Gomes, Romeu, Schwarz, Eduardo","Ciência &amp; Saúde Coletiva; 19(2); 429-438","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200429&lang=pt" 
"S1413-81232014000200439-spa","Acoes voltadas para o tabagismo: analise de sua implementacao na Atencao Primaria a Saude","Portes, Leonardo Henriques, Campos, Estela Marcia Saraiva, Teixeira, Maria Teresa Bustamante, Caetano, Rosangela, Ribeiro, Luiz Claudio","Ciência &amp; Saúde Coletiva; 19(2); 439-448","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200439&lang=pt" 
"S1413-81232014000200449-spa","Ortodontia preventiva e interceptativa na rede de atencao basica do SUS: perspectiva dos cirurgioes-dentistas da Prefeitura Municipal de Florianopolis, Brasil","Guzzo, Samuel Carlos, Finkler, Mirelle, Reibnitz Junior, Calvino, Reibnitz, Marynes Terezinha","Ciência &amp; Saúde Coletiva; 19(2); 449-460","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200449&lang=pt" 
"S1413-81232014000200461-spa","Morbidade autorreferida por trabalhadores das Equipes de Saude da Familia","Pereira, Ivelisa Vilela Silva, Rocha, Maria de Jesus Loredo, Silva, Valquiria Macedo da, Caldeira, Antonio Prates","Ciência &amp; Saúde Coletiva; 19(2); 461-468","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200461&lang=pt" 
"S1413-81232014000200475-spa","Contradicoes das politicas publicas voltadas para doencas raras: o exemplo do Programa de Tratamento da Osteogenese Imperfeita no SUS","Lima, Maria Angelica de Faria Domingues de, Horovitz, Dafne Dain Gandelman","Ciência &amp; Saúde Coletiva; 19(2); 475-480","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200475&lang=pt" 
"S1413-81232014000200481-spa","A interface entre Saude Publica e Cibercultura","Honorato, Eduardo Jorge Sant Ana","Ciência &amp; Saúde Coletiva; 19(2); 481-485","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200481&lang=pt" 
"S1413-81232014000200487-spa","Participacao social e saude no Brasil: revisao sistematica sobre o tema","Paiva, Fernando Santana de, Stralen, Cornelis Johannes Van, Costa, Pedro Henrique Antunes da","Ciência &amp; Saúde Coletiva; 19(2); 487-498","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200487&lang=pt" 
"S1413-81232014000200499-spa","Politicas de saude para o controle do tabagismo na America Latina e Caribe: uma revisao integrativa","Fagundes, Luis Gustavo da Silva, Martins, Marlene das Gracas, Magalhaes, Evandro Monteiro de Sa, Palmieri, Patricia de Cassia Ruela, Silva Junior, Sinezio Inacio da","Ciência &amp; Saúde Coletiva; 19(2); 499-510","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200499&lang=pt" 
"S0035-001X2014000100014-mex","Black holes from Myers-Perry solution","López, L. A.","Revista mexicana de física; 60(1); 95-101","Revista mexicana de física","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100014&lang=pt" 
"S0035-001X2014000100012-mex","Generation of solutions of the Hamilton-Jacobi equation","Torres del Castillo, G. F.","Revista mexicana de física; 60(1); 75-79","Revista mexicana de física","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100012&lang=pt" 
"S0035-001X2014000100013-mex","Estimación de parámetros concentrados de un proceso estocástico de segundo orden","Medel J., J. J., Urbieta P., R., García I., J. C.","Revista mexicana de física; 60(1); 80-87","Revista mexicana de física","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100013&lang=pt" 
"S0035-001X2014000100010-mex","Thermodynamic response functions and Maxwell relations for a Kerr black hole","Escamilla, L., Torres-Arenas, J.","Revista mexicana de física; 60(1); 59-68","Revista mexicana de física","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100010&lang=pt" 
"S0035-001X2014000100011-mex","Right- and left-handed twist in optical fibers","Tentori, D., Garcia-Weidner, A.","Revista mexicana de física; 60(1); 69-74","Revista mexicana de física","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100011&lang=pt" 
"S0035-001X2014000100015-mex","Graphite thin film characterization using a simplified resonant near field scanning microwave microscope","López-Maldonado, G., Qureshi, N., Kolokoltsev, O. V., Vargas-Hernández, H., Ordóñez-Romero, C. L.","Revista mexicana de física; 60(1); 88-94","Revista mexicana de física","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100015&lang=pt" 
"S0034-737X2014000100013-scl","Aplicação de extrato etanólico de própolis no crescimento e produtividade do feijoeiro comum","Pereira, Cassiano Spaziani, Maia, Luiz Fernando Pereira, Paula, Francielen Silva de","Revista Ceres; 61(1); 98-104","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100013&lang=pt" 
"S0034-737X2014000100017-scl","Carotenoides totais em resíduos do camarão Litopenaeus vannamei","Seabra, Larissa Mont&#039;Alverne Jucá, Damasceno, Karla Suzanne Florentino da Silva Chaves, Silva, Camila Ricioli da, Gomes, Camila de Carvalho, Pedrosa, Lucia Fátima Campos","Revista Ceres; 61(1); 130-133","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100017&lang=pt" 
"S0035-001X2014000100002-mex","Experimental accelerated method for determining fatigue in aluminum 2024 alloy","Yermishkin, V. A., Tamayo Meza, P. A., Ovchinnikov, I. N., Sandoval Pineda, J. M., Flores Herrera, L. A., Gutiérrez Paredes, G. J.","Revista mexicana de física; 60(1); 8-13","Revista mexicana de física","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100002&lang=pt" 
"S0035-001X2014000100009-mex","Láser de Brillouin con cavidad corta de fibra estabilizado pasivamente en la resonancia de bombeo por fenómeno de auto-encadenamiento por inyección óptica","López-Mercado, C. A., Spirin, V. V., Nava-Vega, A., Mégret, Patrice, Fotiadi, A. A.","Revista mexicana de física; 60(1); 53-58","Revista mexicana de física","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100009&lang=pt" 
"S0035-001X2014000100008-mex","Geophysical exploration to estimate conductivity and permittivity model of an excavated soil block","Uribe, F., Zuñiga, P., Gómez, P.","Revista mexicana de física; 60(1); 46-52","Revista mexicana de física","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100008&lang=pt" 
"S0035-001X2014000100001-mex","Improved spatial resolution in time-resolved transillumination imaging using temporal extrapolation with the cumulant expansion solution to the transport equation","Ortiz-Rascón, E., Bruce, N. C., Rodríguez-Rosales, A. A., Garduño-Mejía, J., Ortega-Martínez, R.","Revista mexicana de física; 60(1); 01-07","Revista mexicana de física","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100001&lang=pt" 
"S0035-001X2014000100003-mex","One pot synthesis of PbS/Cu2S core-shell nanoparticles and their optical properties","Serrano, T., Gómez, I.","Revista mexicana de física; 60(1); 14-21","Revista mexicana de física","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100003&lang=pt" 
"S0035-001X2014000100005-mex","Aluminum-doped ZnO polycrystalline films prepared by co-sputtering of a ZnO-Al target","Becerril, M., Silva-López, H., Guillen-Cervantes, A., Zelaya-Ángel, O.","Revista mexicana de física; 60(1); 27-31","Revista mexicana de física","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100005&lang=pt" 
"S0035-001X2014000100004-mex","Propiedades de transporte en el transistor δ-FET","Oubram, O., Cisneros-Villalobos, L., Gaggero-Sager, L. M., Abatal, M.","Revista mexicana de física; 60(1); 22-26","Revista mexicana de física","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100004&lang=pt" 
"S0035-001X2014000100007-mex","First-principles study of electronic structure of Bi2Sr2Ca2Cu3O10","Camargo-Martínez, J. A., Espitia, Diego, Baquero, R.","Revista mexicana de física; 60(1); 39-45","Revista mexicana de física","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100007&lang=pt" 
"S0035-001X2014000100006-mex","A physical interpretation of fractional calculus in observables terms: analysis of the fractional time constant and the transitory response","Gómez-Aguilar, J.F., Razo-Hernández, R., Granados-Lieberman, D.","Revista mexicana de física; 60(1); 32-38","Revista mexicana de física","Inglês","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0035-001X2014000100006&lang=pt" 
"S0325-00752014000100008-arg","Orientación empática de estudiantes de medicina en tres universidades de Barranquilla, Colombia y en una universidad de República Dominicana","Díaz Narváez, Víctor Patricio, Alonso Palacio, Luz Marina, Caro, Sara Elvira, Silva, María Guadalupe, Castillo, Joel Arboleda, Bilbao, Jorge Luis, Acosta, Jesús Iglesias","Archivos argentinos de pediatría; 112(1); 41-49","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100008&lang=pt" 
"S0325-00752014000100009-arg","Morbimortalidad por cáncer infantil en la República Argentina: 2006-2008","Aurelie Pujol, Celine Jeanne, Bertone, Carola Leticia, Acosta, Laura Débora","Archivos argentinos de pediatría; 112(1); 50-54","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100009&lang=pt" 
"S0325-00752014000100006-arg","Epidemiología de Bordetella pertussis en un hospital pediátrico","Gentile, Ángela, Romanin, Viviana S., Juárez, María del Valle, Lución, María Florencia, Marques, María de los Ángeles, Mistchenko, Alicia S.","Archivos argentinos de pediatría; 112(1); 26-32","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100006&lang=pt" 
"S0325-00752014000100007-arg","Diseño visual: Un paso hacia la atención multicultural","Álvarez, Juliana","Archivos argentinos de pediatría; 112(1); 33-40","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100007&lang=pt" 
"S0325-00752014000100004-arg","Actividad físico-deportiva, gasto calórico y consumo de tabaco en adolescentes de Murcia (España)","Rodríguez García, Pedro Luis, López Villalba, Francisco José, López Miñarro, Pedro Ángel, García Cantó, Eliseo","Archivos argentinos de pediatría; 112(1); 12-18","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100004&lang=pt" 
"S0325-00752014000100005-arg","Implementación de un cuestionario de calidad de vida relacionada con la salud para niños y adolescentes con enfermedad celíaca","Pico, Mercedes, Spirito, María Florencia","Archivos argentinos de pediatría; 112(1); 19-25","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100005&lang=pt" 
"S0325-00752014000100002-arg","Ventilación de alta frecuencia en neonatología: veinte años después","Osio, Cristina","Archivos argentinos de pediatría; 112(1); 4-5","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100002&lang=pt" 
"S0325-00752014000100003-arg","Correlación entre el clima educacional y el síndrome de desgaste profesional en los programas de residencia de un hospital universitario","Llera, Julián, Durante, Eduardo","Archivos argentinos de pediatría; 112(1); 6-11","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100003&lang=pt" 
"S0325-00752014000100001-arg","Los desafíos y dilemas no resueltos de la prematuridad","Ceriani Cernadas, José M","Archivos argentinos de pediatría; 112(1); 2-3","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100001&lang=pt" 
"S0025-76802014000100029-arg","","Kantor, Isabel N.","Medicina (Buenos Aires); 74(1); 91-92","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100029&lang=pt" 
"S0025-76802014000100026-arg","A propósito de un artículo sobre la mortalidad relacionada al día de la cirugía comentado en el Caveat lector","Arce, Hugo E.","Medicina (Buenos Aires); 74(1); 87-87","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100026&lang=pt" 
"S0025-76802014000100027-arg","Trombosis venosa plantar como causa de dolor local","Bruetman, Julio E., Andrews, José A., Finn, Bárbara C., Young, Pablo","Medicina (Buenos Aires); 74(1); 88-88","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100027&lang=pt" 
"S0025-76802014000100024-arg","Farmacovigilancia hospitalaria en Buenos Aires","Brodsky, Paula T., Papale, Rosa M., Bignone, Inés M.I.","Medicina (Buenos Aires); 74(1); 84-85","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100024&lang=pt" 
"S0025-76802014000100025-arg","¿Existe diferencia en la investigación básica entre medicina veterinaria y humana?","Luque, Enrique H.","Medicina (Buenos Aires); 74(1); 86-86","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100025&lang=pt" 
"S0025-76802014000100022-arg","Prevención cuaternaria y prevención primordial","Magirena, Sandra P. R.","Medicina (Buenos Aires); 74(1); 83-83","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100022&lang=pt" 
"S0025-76802014000100023-arg","Prevención cuaternaria y el aporte de la lectura crítica de la bibliografía en medicina","Catalano, Hugo N.","Medicina (Buenos Aires); 74(1); 84-84","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100023&lang=pt" 
"S0325-00752014000100019-arg","Retraso en el diagnóstico de un cuadro grave de enfermedad de Huntington juvenil: un reporte de caso","Meza Escobar, Luis Enrique, Orozco, Jorge Luis, Takeuchi, Yuri, Ariza, Yoseth, Pachajoa, Harry","Archivos argentinos de pediatría; 112(1); e23-e26","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100019&lang=pt" 
"S0325-00752014000100018-arg","Distrofa miotónica congénita en una Unidad de Cuidados Intensivos Neonatales: serie de casos","Domingues, Sara, Alves Pereira, Clara, Machado, Ángela, Pereira, Sandra, Machado, Leonilde, Fraga, Carla, Oliveira, Abílio, Vale, Isabel, Quelhas, Ilídio","Archivos argentinos de pediatría; 112(1); e18-e22","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100018&lang=pt" 
"S0325-00752014000100015-arg","Himen imperforado como causa de dolor abdominal en la adolescencia: A propósito de un caso","Ibarrola Vidaurre, María, Arribas García, Sara, Gimeno Ballester, Juan, Gil Sáenz, Francisco José, Fonseca Pérez, Marta, Durán Urdániz, Gabriel","Archivos argentinos de pediatría; 112(1); e6-e8","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100015&lang=pt" 
"S0325-00752014000100014-arg","Síndrome aspirativo por hendidura laríngea en un lactante","Cuestas, Giselle, Demarchi, Victoria, Zanetta, Adrián, Urquizo, Mauricio, Lobos, Pablo, Razetti, Juan","Archivos argentinos de pediatría; 112(1); e1-e5","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100014&lang=pt" 
"S0325-00752014000100017-arg","Diagnóstico clínico en el síndrome de Kabuki: fenotipo y anomalías asociadas en dos casos nuevos","Andersen, María Soledad, Menazzi, Sebastián, Brun, Paloma, Cocah, Cecilia, Merla, Giuseppe, Solari, Andrea","Archivos argentinos de pediatría; 112(1); 26-32","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100017&lang=pt" 
"S0325-00752014000100016-arg","Persistencia intracardíaca de la vaina de fibrina pericatéter en un neonato: informe de un caso","Ríos-Méndez, Raúl Enrique, Giménez, Pedro","Archivos argentinos de pediatría; 112(1); e9-e12","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100016&lang=pt" 
"S0325-00752014000100011-arg","Cognición implícita: un factor para considerar en la educación médica","Ríos, Mariana, Durante, Eduardo, Eymann, Alfredo, Argibay, Pablo","Archivos argentinos de pediatría; 112(1); 59-64","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100011&lang=pt" 
"S0325-00752014000100010-arg","La gestión hospitalaria centrada en el paciente","Rodríguez, Josefa, Dackiewicz, Nora, Toer, Daniel","Archivos argentinos de pediatría; 112(1); 55-58","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100010&lang=pt" 
"S0325-00752014000100013-arg","Infección respiratoria por bocavirus humano en lactantes de Córdoba, Argentina","Moreno, Laura, Eguizábal, Leticia, Ghietto, Lucía María, Bujedo, Elizabeth, Adamo, María Pilar","Archivos argentinos de pediatría; 112(1); 70-74","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100013&lang=pt" 
"S0325-00752014000100012-arg","Vulvovaginitis en una población pediátrica: relación entre el agente etiológico, la edad y el estadio de Tanner mamario","Giugno, Silvina, Risso, Paula, Ocampo, Dolores, Rahman, Gisel, Rubinstein, Dra. Anahí V.","Archivos argentinos de pediatría; 112(1); 65-70","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100012&lang=pt" 
"S0325-00752014000100020-arg","Laringitis graves asociadas a reflujo gastroesofágico","Botto, Hugo, Antonioli, Cintia, Nieto, Mary, Cocciaglia, Alejandro, Cuestas, Giselle, Roques Revol, Magdalena, López Marti, Jessica, Rodríguez, Hugo","Archivos argentinos de pediatría; 112(1); 78-82","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100020&lang=pt" 
"S0325-00752014000100021-arg","Embarazo adolescente no diagnosticado: análisis de un evento centinela","Marciano, Beatriz E., García Arrigoni, Patricia, Challer, Eduardo, Califano, Paula, Dackiewicz, Nora","Archivos argentinos de pediatría; 112(1); 83-88","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100021&lang=pt" 
"S0325-00752014000100022-arg","Indicaciones actuales para el uso de la hormona de crecimiento","","Archivos argentinos de pediatría; 112(1); 89-95","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100022&lang=pt" 
"S0325-00752014000100023-arg","Infecciones de piel y partes blandas en pediatría: consenso sobre diagnóstico y tratamiento","","Archivos argentinos de pediatría; 112(1); 96-102","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100023&lang=pt" 
"S0325-00752014000100024-arg","Malformación de Dandy-Walker","Treviño Alanís, Ma. Guadalupe, González Cantú, Nelly, Montes Cruz, Joselyn V, García Flores, Juan Bernardo, Martínez Menchaca, Héctor R, Rivera Silva, Gerardo","Archivos argentinos de pediatría; 112(1); 103-104","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100024&lang=pt" 
"S0325-00752014000100025-arg","Correo de la SAP","","Archivos argentinos de pediatría; 112(1); 106-109","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100025&lang=pt" 
"S0325-00752014000100026-arg","Cartas al editor","","Archivos argentinos de pediatría; 112(1); e27-e35","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000100026&lang=pt" 
"S0025-76802014000100001-arg","Trasplante renal y disminución de la mortalidad en los programas de diálisis crónica","Douthat, Walter G., Fernández, Pehuén, Rechene, Jessica, Chiurchiu, Carlos R., De Arteaga, Javier, Massari, Pablo U., De La Fuente, Jorge","Medicina (Buenos Aires); 74(1); 1-8","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100001&lang=pt" 
"S0025-76802014000100002-arg","Tratamiento de la tuberculosis pulmonar en un área urbana de baja prevalencia: Cumplimiento y negativización bacteriológica","Stoffel, Carina, Lorenz, Rosana, Arce, Marta, Rico, Marina, Fernández, Liliana, Imaz, María S.","Medicina (Buenos Aires); 74(1); 9-18","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100002&lang=pt" 
"S0025-76802014000100003-arg","Neumonía asociada al cuidado de la salud","Ceccato, Adrián, González, Alejandra, Heres, Marcela, Peluffo, Graciela, Monteverde, Alfredo","Medicina (Buenos Aires); 74(1); 19-23","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100003&lang=pt" 
